TEXT,SET,TYPE,ID,NAME,FACTION,RARITY,COST,MECHANICS,HEALTH,INPLAYTEXT,ATTACK,PLAYERCLASS,DURABILITY,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
"Infligge 2 danni a tutti i nemici.","Missions","Spell","TU4c_004","Urto a Terra","Neutral","Common",2,,,,,,,,,,,,,
"+8 Attacco per questo turno.","Missions","Enchantment","TU4c_008e","Vigore di Mukla",,,,OneTurnEffect,,,,,,,,,,,,
"Rigenera 8 Salute.","Missions","Spell","TU4c_008","Volontà di Mukla",,"Common",3,,,,,,,,,,,,,
"<b>Provocazione</b>","Classic","Minion","CS1_069","Aberrazione delle Paludi","Alliance","Common",5,Taunt,6,,3,,,True,"Monica Langlois","Era stato chiamato Bestia della Palude ma confondeva i giocatori perché effettivamente non è una bestia. TAAAC nome nuovo!",,,,
"<b>Provocazione</b>. <b>Rantolo di Morte:</b> infligge 2 danni a TUTTI i personaggi.","Classic","Minion","EX1_097","Abominio","Neutral","Rare",5,Deathrattle|Taunt,4,,4,,,True,"Alex Horley Orlandelli","Puoi sentirne il fetore molto prima di riuscire a vederli.",,,,
"Quando subisce danni pesca una carta.","Classic","Minion","EX1_007","Accolito del Dolore",,"Common",3,,3,,1,,,True,"Dave Kendall",""È stato imbarazzante... Ogni volta che subiva un colpo gli scappavano dei gridolini di piacere."",,,,
"<b>Potere Eroe</b>
Infligge 2 danni.","Classic","Hero Power","EX1_625t","Aculeo Mentale",,,2,,,,,"Priest",,,,,,,,
"+1 Integrità.","Classic","Enchantment","CS2_146o","Affilata",,,,,,,,,,,,,,,,
"<b>Combo:</b> infligge 2 danni.","Classic","Minion","EX1_134","Agente dell'IR:7","Neutral","Rare",3,Combo,3,,3,"Rogue",,True,"Chris Moeller","Gli agenti dell'IR:7 eseguono le operazioni segrete di Roccavento tra cui lo spionaggio l'assassinio e l'organizzazione di feste di compleanno a sorpresa per la famiglia reale.",,,,
"<b>Furia del Vento</b>. <b>Carica</b>. <b>Scudo Divino</b>. <b>Provocazione</b>","Classic","Minion","NEW1_010","Al'Akir",,"Legendary",8,Charge|Divine Shield|Taunt|Windfury,5,,3,"Shaman",,True,"Raymond Swanland","È il più debole dei quattro Signori Elementali e gli altri tre fanno in modo che non se lo dimentichi mai.",True,,,
"<b>Grido di Battaglia:</b> distrugge TUTTI gli altri servitori e scarta le carte che hai in mano.","Classic","Minion","NEW1_030","Alamorte",,"Legendary",10,Battlecry,12,,12,,,True,"Bernie Kang","Alamorte in passato un nobile drago noto come Neltharion impazzì scatenando il Cataclisma su Azeroth ma infine fu sconfitto. Che fosse stato maltrattato da piccolo?",True,"Dragon",,
"<b>Grido di Battaglia:</b> scambia Attacco e Salute di un altro servitore.","Classic","Minion","EX1_059","Alchimista Folle","Neutral","Rare",2,Battlecry,2,,2,,,True,"Tom Fleming",""<i>Adorerai</i> la mia nuova ricetta!" dice... specialmente se il numero attuale dei tuoi arti non ti soddisfa.",,,,
"<b>Grido di Battaglia:</b> la Salute restante di un eroe diventa pari a 15.","Classic","Minion","EX1_561","Alexstrasza","Neutral","Legendary",9,Battlecry,8,,8,,,True,"Raymond Swanland","Alexstrasza porta vita e speranza a tutti. Tranne che ad Alamorte. E a Malygos. E a Nekros.",True,"Dragon",,
"All'inizio del tuo turno scambia questo servitore con un altro a caso nella tua mano.","Classic","Minion","EX1_006","Allarm-Bot",,"Rare",3,,3,,0,,,True,"Sean O’Daniels","PERICOLO. PERICOLO. PERICOLO.",,"Mech",,
"<b>Rantolo di Morte:</b> evoca due Iene 2/2.","Classic","Minion","EX1_534","Altocrine delle Savane",,"Rare",6,Deathrattle,5,"",6,"Hunter",,True,"Milivoj Ceran","Il leone si è addormentato e la iena lo sbranerà.",,"Beast",,
"Infligge $2 danni. Se il bersaglio muore evoca un Demone casuale.","Classic","Spell","EX1_320","Anatema della Rovina","Neutral","Epic",5,,,,,"Warlock",,True,"Raymond Swanland","Il mio consiglio è di evitare la rovina sempre se possibile.",,,,
"<b>Rantolo di Morte:</b> evoca un Treant 2/2.","Classic","Enchantment","EX1_158e","Anima della Foresta",,,,,,,,"Druid",,,,,,,,
"Fornisce "<b>Rantolo di Morte:</b> evoca un Treant 2/2" ai tuoi servitori.","Classic","Spell","EX1_158","Anima della Foresta","Neutral","Common",4,,,,,"Druid",,True,"Markus Erdt",""Riforestazione" diventa improvvisamente una parola terrificante.",,,,
"<b>Scegli:</b> pesca 2 carte <b>o</b> rigenera 5 Salute.","Classic","Minion","NEW1_008","Antico del Sapere",,"Epic",7,,5,,5,"Druid",,True,"Patrik Hjelm","Coraggio prova a incidere le tue iniziali su di lui!",,,,
"<b>Scegli:</b> ottiene +5 Salute e <b>Provocazione</b> <b>o</b> +5 Attacco.","Classic","Minion","EX1_178","Antico della Guerra","Neutral","Epic",7,,5,,5,"Druid",,True,"Sean O’Daniels","I giovani Elfi della Notte amano giocare a "Sradica l'Antico della Guerra". Perde chi viene ridotto in poltiglia.",,,,
,"Classic","Minion","NEW1_026t","Apprendista Violaceo",,,0,,1,,1,,,,,,,,,
"Ottiene +2/+2 se controlli un <b>Segreto</b> alla fine del tuo turno.","Classic","Minion","EX1_274","Arcanista Etereo",,"Rare",4,,3,,3,"Mage",,True,"Michael Komarck","Gli Eterei indossano i vestiti per dare forma alla loro essenza incorporea. E perché sono modaioli.",False,,,
"Quando lanci una Magia mette nella tua mano una carta Palla di Fuoco.","Classic","Minion","EX1_559","Arcimago Antonidas","Neutral","Legendary",7,,7,"",5,"Mage",,True,"Wayne Reynolds","Antonidas era il Gran Magus del Kirin Tor e il mentore di Jaina. Prima era solo il Gran Magus delle Ciambelle alla Crema.",True,,,
"Ottiene +1 Integrità quando viene rivelato un tuo <b>Segreto</b>.","Classic","Weapon","EX1_536","Arco del Falco",,"Rare",3,,,,3,"Hunter",2,True,"Cyril Van Der Haegen","Prima lezione: la parte appuntita dev'essere indirizzata verso l'avversario.",,,,
"Il tuo eroe è <b>Immune</b> quando attacca.","Classic","Weapon","DS1_188","Arco del Gladiatore","Neutral","Epic",7,,,,5,"Hunter",2,True,"Peter C. Lee","Gli archi lunghi possono colpire da molto lontano il che è utile quando bisogna colpire bersagli particolarmente maleodoranti.",,,,
"<b>Furia del Vento</b>","Classic","Minion","EX1_033","Arpia Furia del Vento","Alliance","Common",6,Windfury,5,,4,,,True,"Luke Mancini","La cosa migliore che si può dire sulle Arpie è che sono stonate.",,,,
"+1/+1 dal Bucaniere Acquanera.","Classic","Enchantment","NEW1_027e","Arrr!",,,,,,,,,,,,,,,,
,"Classic","Weapon","EX1_398t","Ascia da Battaglia",,,1,,,,2,"Warrior",2,,,,,,,
"<b>Sovraccarico:</b> (1)","Classic","Weapon","EX1_247","Ascia dei Forgiatuono","Neutral","Common",2,,,,2,"Shaman",3,True,"Nate Bowden","Accidenti questa sì che è una bella ascia.",,,,
,"Classic","Weapon","EX1_409t","Ascia Pesante",,,1,,,,1,"Warrior",3,,,,,,,
"Infligge $4 danni. Se il tuo eroe ha Salute pari a 12 o inferiore infligge $6 danni.","Classic","Spell","EX1_408","Assalto Mortale","Neutral","Rare",4,,,,,"Warrior",,True,"Zoltan & Gabor",""Nel dubbio usa Assalto Mortale." - Il Codice del Guerriero riga 6",,,,
"<b>Furtività</b>. Distrugge qualsiasi servitore danneggiato da questo servitore.","Classic","Minion","EX1_522","Assassino Paziente","Neutral","Epic",2,Poisonous|Stealth,1,"",1,"Rogue",,True,"Ben Olson","In realtà non è poi così paziente. Solo che ci vuole tempo prima che la vittima si avvicini abbastanza.",,,,
"Ottiene +1/+1 quando giochi una carta.","Classic","Minion","EX1_044","Avventuriero Risoluto","Alliance","Rare",3,,2,"",2,,,True,"Attila Adorjany",""Qualcuno ha delle Pelli di Cinghiale che gli avanzano?"",,,,
,"Classic","Minion","EX1_110t","Baine",,"Legendary",4,,5,,4,,,,,,True,,,
"+1/+1.","Classic","Enchantment","EX1_014te","Banana",,,,,,,,,,,,,,,,
"+1/+1 a un servitore.","Classic","Spell","EX1_014t","Banana",,,1,,,,,,,,,,,,,
,"Classic","Minion","EX1_131t","Bandito dei Defias","Neutral",,1,,1,,2,"Rogue",,,,,,,,
"Quando lanci una Magia pesca una carta.","Classic","Minion","EX1_095","Banditore di Meccania","Neutral","Rare",6,,4,"",4,,,True,"Matt Dixon","Gestiva l'asta del mercato nero di Meccania ma c'era troppa violenza e si è dovuto trasferire.",,,,
"Alla fine del tuo turno infligge 2 danni a TUTTI gli altri personaggi.","Classic","Minion","EX1_249","Barone Geddon","Neutral","Legendary",7,,5,,7,,,True,"Ian Ameling","Il Barone Geddon era il primo luogotenente di Ragnaros finché un giorno non l'ha svegliato TROPPO PRESTO.",True,,,
"<b>Segreto:</b> quando il tuo eroe viene attaccato ottiene 8 Armatura.","Classic","Spell","EX1_289","Barriera di Ghiaccio","Neutral","Common",3,Secret,,,,"Mage",,True,"Alex Garner","Questo è il Grado 1. Il Grado 2 è una barriera di cioccolato al latte.",,,,
"Attacco e Salute aumentati.","Classic","Enchantment","EX1_531e","Ben Nutrita",,,,,,,,"Hunter",,,,,,,,
"Seleziona un servitore. Quando attacca pesca una carta.","Classic","Spell","EX1_363","Benedizione: Saggezza",,"Common",1,,,,,"Paladin",,True,"Chippy","Insieme alla saggezza fornisce anche la consapevolezza che è meglio attaccare a ogni turno.",,,,
"Quando questo servitore attacca l'avversario pesca una carta.","Classic","Enchantment","EX1_363e2","Benedizione: Saggezza",,,,,,,,"Paladin",,,,,,,,
"Quando questo servitore attacca il giocatore che lo ha benedetto pesca una carta.","Classic","Enchantment","EX1_363e","Benedizione: Saggezza",,,,,,,,"Paladin",,,,,,,,
"Tutti i servitori perdono <b>Furtività</b>. Distrugge tutti i <b>Segreti</b> nemici. Pesca una carta.","Classic","Spell","EX1_544","Bengala","Neutral","Rare",2,,,,,"Hunter",,True,"Tyler Walpole","Perfetto per rivelare nemici invisibili e per una serata con fuochi d'artificio.",,,,
"Attacco aumentato.","Classic","Enchantment","EX1_604o","Berserk",,,,,,,,"Warrior",,,,,,,,
"<b>Rabbia:</b> +3 Attacco.","Classic","Minion","EX1_393","Berserker Amani","Neutral","Common",2,Enrage,3,,2,,,True,"Chippy","Se un Berserker Amani chiede "Parli con me cumpà?" la risposta giusta è "No cumpà!".",,,,
"Ottiene +1 Attacco quando un servitore subisce danni.","Classic","Minion","EX1_604","Berserker Rabbioso","Neutral","Rare",3,,4,"",2,"Warrior",,True,"Simon Bisley","Un tempo faceva il contabile prima di lasciarsi tentare dalle esperienze forti.",,,,
"Attacco aumentato.","Classic","Enchantment","EX1_509e","Blarghghl",,,,,,,,,,,,,,,,
"<b>Segreto:</b> quando il tuo eroe subisce danni fatali li previene e diventa <b>Immune</b> per quel turno.","Classic","Spell","EX1_295","Blocco di Ghiaccio","Neutral","Epic",3,Secret,,,,"Mage",,True,"Carl Frank","Ottimo durante le estati più torride!",,,,
"Il tuo eroe è <b>Immune</b> per questo turno.","Classic","Enchantment","EX1_295o","Blocco di Ghiaccio",,,,OneTurnEffect,,,,"Mage",,,,,,,,
"Alla fine del tuo turno evoca uno Gnoll 2/2 con <b>Provocazione</b>.","Classic","Minion","NEW1_040","Boccalarga",,"Legendary",6,,4,,4,,,True,"Laurel D. Austin","Boccalarga è potentissimo. Se lo uccidi è solo perché lui <i>te lo ha permesso</i>.",True,,,
"<b>Grido di Battaglia:</b> infligge 3 danni suddivisi casualmente tra TUTTI gli altri personaggi.","Classic","Minion","EX1_082","Bombarolo Pazzo","Alliance","Common",2,Battlecry,2,,3,,,True,"Mike Sass","Non è così pazzo come sembra solo non è così attento con gli esplosivi come dovrebbe.",,,,
,"Classic","Weapon","EX1_383t","Brandicenere",,"Legendary",5,,,,5,"Paladin",3,,,,,,,
"Gli altri tuoi Pirati hanno +1/+1.","Classic","Minion","NEW1_027","Bucaniere Acquanera",,"Epic",3,Aura,3,,3,,,True,"Ken Steacy","Quando avrà accumulato abbastanza bottino ha intenzione di commissionare un enorme cappello da capitano. Ha la mania dei cappelli.",,"Pirate",,
"<b>Grido di Battaglia:</b> prendi il controllo di un servitore nemico con Attacco pari a 2 o inferiore.","Classic","Minion","EX1_091","Cabalista dell'Ombra","Neutral","Epic",6,Battlecry,5,,4,"Priest",,True,"Chippy","Nessuno sa chi stia segretamente lavorando per questa tizia...",,,,
"Attacco aumentato.","Classic","Enchantment","NEW1_018e","Cacciatore di Tesori",,,,,,,,,,,,,,,,
"<b>Rantolo di Morte:</b> evoca Baine 4/5.","Classic","Minion","EX1_110","Cairne","Alliance","Legendary",6,Deathrattle,5,,4,,,True,"Wayne Reynolds","Cairne è stato ucciso da Garrosh quindi... non metterlo nel mazzo del Guerriero. Sarebbe da insensibili.",True,,,
"Attacco raddoppiato.","Classic","Enchantment","EX1_355e","Campione Benedetto",,,,,,,,"Paladin",,,,,,,,
"Raddoppia l'Attacco di un servitore.","Classic","Spell","EX1_355","Campione Benedetto",,"Rare",5,,,,,"Paladin",,True,"Tyler Walpole","Questa carta raddoppia i problemi E il divertimento.",,,,
"<b>Provocazione</b>. <b>Scudo Divino</b>.","Classic","Minion","EX1_032","Campionessa del Sole","Alliance","Rare",6,Divine Shield|Taunt,5,,4,,,True,"Andrea Uderzo","D'estate le Campionesse del Sole non hanno paura di scottarsi. Al massimo usano Scudo Divino.",,,,
"Attacco aumentato.","Classic","Enchantment","tt_004o","Cannibalismo",,,,,,,,,,,,,,,,
"<b>Grido di Battaglia:</b> +1/+1 alla tua arma.","Classic","Minion","NEW1_024","Capitano Pelleverde",,"Legendary",5,Battlecry,4,,5,,,True,"Dan Scott","Ancora <i>pochissimo</i> e avrebbe pilotato un'enorme nave da guerra nel Porto di Roccavento. Se solo quella peste non avesse schiacciato il tasto dell'autodistruzione...",True,"Pirate",,
"<b>Combo:</b> evoca un Bandito dei Defias 2/1.","Classic","Minion","EX1_131","Capo dei Defias","Neutral","Common",2,Combo,2,,2,"Rogue",,True,"Dany Orizio","Un buon capobanda ha <i>sempre</i> qualche bandito pronto a combattere al suo posto.",,,,
"+1/+1.","Classic","Enchantment","EX1_160be","Capobranco",,,,,,,,"Druid",,,,,,,,
"+1/+1 a tutti i tuoi servitori.","Classic","Spell","EX1_160b","Capobranco","Neutral",,,,,,,"Druid",,,,,,,,
"<b>Grido di Battaglia:</b> TUTTI i servitori perdono <b>Scudo Divino</b>. Ottiene +3/+3 per ogni Scudo Divino dissolto.","Classic","Minion","EX1_590","Cavaliere del Sangue","Neutral","Epic",3,Battlecry,3,,3,,,True,"Trent Kaniuga","I Cavalieri del Sangue traggono il loro potere sacro dal Pozzo Solare nel quale NON dovresti mai fare il bagno.",,,,
"<b>Grido di Battaglia:</b> evoca uno Scudiero 2/2.","Classic","Minion","CS2_151","Cavaliere Mano d'Argento","Alliance","Common",5,Battlecry,4,,4,,,True,"Matt Starbuck","È sempre bello esser cavalieri. Molto meno esser gli scudieri.",,,,
"<b>Grido di Battaglia:</b> distrugge un servitore nemico con <b>Provocazione</b>.","Classic","Minion","EX1_002","Cavaliere Nero",,"Legendary",6,Battlecry,5,,4,,,True,"Alex Horley Orlandelli","Era stato mandato dal Re dei Lich per interrompere il Torneo d'Argento. Possiamo tranquillamente dire che ha fallito miseramente.",True,,,
"<b>Scegli:</b> +2/+2 a tutti gli altri tuoi servitori <b>o</b> evoca due Treant 2/2 con <b>Provocazione</b>.","Classic","Minion","EX1_573","Cenarius","Neutral","Legendary",9,,8,"",5,"Druid",,True,"Alex Horley Orlandelli","Sì è un semidio. No non ha bisogno di indossare una maglietta.",True,,,
"Rigenera #4 Salute a TUTTI i servitori.","Classic","Spell","EX1_621","Circolo di Guarigione",,"Common",0,,,,,"Priest",,True,"Daarken","Non è esattamente un circolo.",,,,
"Distrugge qualsiasi servitore danneggiato da questo servitore.","Classic","Minion","EX1_170","Cobra Imperatore","Neutral","Rare",3,Poisonous,3,"",2,,,True,"Lars Grant-West","Il Bacino di Sholazar ospita alcune delle creature più letali. Se hai intenzione di visitarlo usa un insetticida... e un'armatura a piastre.",,"Beast",,
"Infligge $2 danni all'eroe nemico. <b>Combo:</b> torna nella tua mano alla fine del turno.","Classic","Spell","EX1_137","Colpo alla Testa","Neutral","Rare",3,Combo,,,,"Rogue",,True,"James Zhang","Quando gli altri rimedi falliscono nulla funziona meglio di una sonora mazzata in testa.",,,,
"<b>Segreto:</b> quando l'avversario gioca un servitore questo subisce $4 danni.","Classic","Spell","EX1_609","Colpo da Cecchino","Neutral","Common",2,Secret,,,,"Hunter",,True,"Lorenzo Minaca","Un buon cecchino deve avere un'ottima mira. Un po' come la sfiga.",,,,
"Infligge 1 danno a un servitore per ogni punto Armatura del tuo eroe.","Classic","Spell","EX1_410","Colpo di Scudo","Neutral","Epic",1,AffectedBySpellPower,,,,"Warrior",,True,"Raymond Swanland",""Qual è l'arma migliore? Quella tagliente che il nemico si aspetta o quella contundente che egli ignora?" - L'Arte del Guerriero capitolo 9",,,,
"<b>Grido di Battaglia:</b> infligge 1 danno a un altro servitore ma gli fornisce +2 Attacco.","Classic","Minion","EX1_603","Comandante Crudele","Neutral","Common",2,Battlecry,2,,2,"Warrior",,True,"Phroilan Gardner",""Ho bisogno che tu venga al lavoro questa domenica." - Comandante Crudele",,,,
"Cambio di schieramento per questo turno.","Classic","Enchantment","EX1_334e","Comando Oscuro",,,,,,,,"Priest",,,,,,,,
"TUTTI gli altri Murloc hanno +2/+1.","Classic","Minion","EX1_507","Condottiero Murloc","Neutral","Epic",3,Aura,3,,3,,,True,"Tim McBurnie","Ma i Murloc non si stancano mai di ripetere sempre lo stesso verso? NO. Mrglglrglglglglglglgl!",,"Murloc",,
"Infligge $1 |4(dannodanni) a un servitore e a quelli adiacenti e li <b>Congela</b>.","Classic","Spell","EX1_275","Cono di Freddo","Neutral","Common",4,Freeze,,,,"Mage",,True,"Leo Che","I Maghi del Kirin Tor capaci di lanciare questo incantesimo sono molto ricercati sulle spiagge di Azeroth.",,,,
"Statistiche aumentate.","Classic","Enchantment","EX1_304e","Consumo",,,,,,,,"Warlock",,,,,,,,
"<b>Segreto:</b> quando l'avversario usa una Magia questa subisce <b>Contrasto</b>.","Classic","Spell","EX1_287","Controincantesimo","Neutral","Rare",3,Secret,,,,"Mage",,True,"Jason Chan","Qual è la differenza tra un Mago con Controincantesimo e un Mago senza? Il Mago senza si becca una Pirosfera sui denti.",,,,
,"Classic","Enchantment","EX1_tk31","Controllo Mentale","Neutral","Common",,Summoned,,,,"Priest",,,,,,,,
"Infligge $2 danni a un servitore. Se sopravvive pesca una carta.","Classic","Spell","EX1_391","Contusione","Neutral","Common",2,,,,,"Warrior",,True,"E.M. Gist",""Dun da dun dun da dun": se senti un Ogre cantarlo ormai è troppo tardi.",,,,
"Fornisce <b>Furtività</b> ai tuoi servitori fino al tuo turno successivo.","Classic","Spell","EX1_128","Copertura","Neutral","Common",1,,,,,"Rogue",,True,"Steve Hui","I Ladri nascondono tutto tranne le loro emozioni. Non puoi farli smettere di parlare dei loro sentimenti.",,,,
"<b>Provocazione</b>. Costa (1) Mana in meno per ogni punto Attacco della tua arma.","Classic","Minion","NEW1_022","Corsaro del Terrore",,"Common",4,Taunt,3,,3,,,True,"Trent Kaniuga",""Yarrrr" è una parola piratesca che significa: "Buongiorno ser".",,"Pirate",,
"<b>Grido di Battaglia:</b> rimuove 1 Integrità dall'arma dell'avversario.","Classic","Minion","NEW1_025","Corsaro Velerosse",,"Rare",1,Battlecry,2,,1,,,True,"Randy Gallegos","Ogni pirata usa le stesse 4 cifre per accedere al Distributore Automatico di Oro. Si chiama "Codice dei Pirati".",,"Pirate",,
"Gruul sta crescendo...","Classic","Enchantment","NEW1_038o","Crescita",,,,,,,,,,,,,,,,
"<b>Scudo Divino</b>","Classic","Minion","EX1_020","Crociata Scarlatta","Alliance","Common",3,Divine Shield,1,,3,,,True,"Gonzalo Ordonez","Non lavare mai i tuoi capi chiari insieme a quelli di una Crociata Scarlatta.",,,,
"Ottiene +1/+1 quando viene giocato un <b>Segreto</b>.","Classic","Minion","EX1_080","Custode dei Segreti","Alliance","Rare",1,,2,"",1,,,True,"Gonzalo Ordonez","Ha promesso di non dire a nessuno ciò che hai fatto la scorsa notte con una certa persona.",,,,
"<b>Scegli:</b> infligge 2 danni <b>o</b> <b>Silenzia</b> un servitore.","Classic","Minion","EX1_166","Custode del Bosco","Neutral","Rare",4,,4,,2,"Druid",,True,"Gabor Szikszai","Quando compaiono queste creature iniziano subito a custodire boschetti senza nemmeno chiedere il permesso.",,,,
"Ottiene +2 Attacco quando un personaggio viene curato.","Classic","Minion","EX1_001","Custode della Luce",,"Rare",1,,2,,1,,,True,"Erik Ko","Costa meno delle sue sorelle Custode del Gas e Custode dell'Affitto.",,,,
"<b>Provocazione</b>","Classic","Minion","EX1_396","Custode Mogu'shan","Neutral","Common",4,Taunt,7,,1,,,True,"Cole Eastburn","Sempre a parlare del Re del Tuono... CHE NOIAAAAAAA!",,,,
"Infligge $3 danni. <b>Sovraccarico:</b> (1)","Classic","Spell","EX1_238","Dardo Fulminante","Neutral","Common",1,,,,,"Shaman",,True,"Daarken","Sparane 10 e hai vinto! Peccato tu possa averne solo 2 nel mazzo...",,,,
"All'inizio del tuo turno infligge 2 danni a un nemico casuale.","Classic","Minion","EX1_102","Demolitore","Neutral","Rare",3,,4,"",1,,,True,"Raymond Swanland","Costruire macchine d'assedio non è più utile come una volta. Specialmente ora che tutti hanno una cavalcatura volante.",,"Mech",,
"<b>Carica</b>. <b>Grido di Battaglia:</b> scarta due carte casuali.","Classic","Minion","EX1_310","Demone Guardiano","Neutral","Rare",5,Battlecry|Charge,7,,5,"Warlock",,True,"Lucas Graciano","Evocare un Demone Guardiano è pericoloso. <i>Qualcuno</i> di sicuro morirà.",,"Demon",,
"<b>Segreto:</b> quando un personaggio attacca il tuo eroe attacca invece un altro personaggio casuale.","Classic","Spell","EX1_533","Depistaggio","Neutral","Rare",2,Secret,,,,"Hunter",,True,"Daren Bader","A volte basta mettersi un paio di baffi finti e indicare qualcun altro.",,,,
"<b>Furia del Vento</b>. <b>Sovraccarico:</b> (2)","Classic","Minion","EX1_243","Diavolo di Sabbia","Neutral","Common",1,Windfury,1,,3,"Shaman",,True,"Raymond Swanland","Le Marche Occidentali sono piene di Diavoli di Sabbia. E di Condor. E di Golem Impazziti. E di pirati. Perché uno dovrebbe vivere lì?",,,,
,"Classic","Minion","EX1_130a","Difensore","Neutral","Common",1,,1,,2,"Paladin",,,,,,,,
"<b>Grido di Battaglia:</b> +1/+1 e <b>Provocazione</b> ai servitori adiacenti.","Classic","Minion","EX1_093","Difensore di Argus","Alliance","Rare",4,Battlecry,3,,2,,,True,"Alex Horley Orlandelli","Non penseresti mai che Argus abbia bisogno di tutta questa difesa. Eppure è così.",,,,
"<b>Silenzia</b> un servitore.","Classic","Spell","EX1_166b","Dissoluzione","Neutral",,,Silence,,,,"Druid",,,,,,,,
"<b>Silenzia</b> tutti i servitori nemici. Pesca una carta.","Classic","Spell","EX1_626","Dissoluzione di Massa",,"Rare",4,Silence,,,,"Priest",,True,"Sean O'Daniels","Dissolve benefici poteri speranze e sogni.",,,,
"Distrugge TUTTI i servitori.","Classic","Spell","EX1_312","Distorsione Fatua","Neutral","Epic",8,,,,,"Warlock",,True,"Dave Allsop","La Distorsione Fatua è un luogo senza forma pervaso da magia illusioni e servitori annientati.",,,,
