MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,ELITE,RACE,DURABILITY,FACTION
,Blackrock Mountain,Ala Nera,<b>Potere Eroe</b>Evoca un Dragoide 3/1. Ottiene un nuovo Potere Eroe.,,1,,Hero Power,BRMA09_4,,,,,,,,,,,
,Blackrock Mountain,Alafurion,,,,30,Hero,BRMA10_1,,,,,,,,,,,
,Blackrock Mountain,Alafurion,,,,30,Hero,BRMA10_1H,,,,,,,,,,,
,Blackrock Mountain,Alchimista,<b>Potere Eroe Passivo</b>Scambia Attacco e Salute dei servitori.+2/+2 ai tuoi servitori.,,,,Hero Power,BRMA15_2H,,,,,,,,,,,
,Blackrock Mountain,Alchimista,<b>Potere Eroe Passivo</b>Quando viene evocato un servitore ne scambia Attacco e Salute.,,,,Hero Power,BRMA15_2,,,,,,,,,,,
,Blackrock Mountain,Alleati Segreti,Seleziona un servitore e mettine 3 copie nel tuo mazzo.,,2,,Spell,BRM_007,True,Jim Nelson,Common,Può essere creata dopo aver sconfitto il Gran Giudice Tetrapietra nei Sotterranei di Roccianera.,Se stai pensando di visitare Rivoluna ti conviene andarci con un sacco di amici.,Sbloccata sconfiggendo il Gran Giudice Tetrapietra nei Sotterranei di Roccianera.,Rogue,,,,
,Blackrock Mountain,Ammucchiata!,<b>Potere Eroe</b>Mette in gioco due servitori dal tuo mazzo e uno da quello dell&sbquo;avversario.,,0,,Hero Power,BRMA01_2H,,,,,,,,,,,
,Blackrock Mountain,Ammucchiata!,<b>Potere Eroe</b>Mette in gioco un servitore dal mazzo di ogni giocatore.,,0,,Hero Power,BRMA01_2,,,,,,,,,,,
,Blackrock Mountain,Apertura dei Cancelli,<b>Potere Eroe</b>Evoca tre Draghetti 2/2. Ottiene un nuovo Potere Eroe.,,2,,Hero Power,BRMA09_2H,,,,,,,,,,,
,Blackrock Mountain,Apertura dei Cancelli,<b>Potere Eroe</b>Evoca tre Draghetti 1/1. Ottiene un nuovo Potere Eroe.,,2,,Hero Power,BRMA09_2,,,,,,,,,,,
Spellpower,Blackrock Mountain,Arcanotron,Fornisce <b>+2 Danni Magici</b> a ogni giocatore.,2,0,2,Minion,BRMA14_3,,,Legendary,,,,,True,Mech,,
,Blackrock Mountain,Artigli di Alafurion,Ottiene +1 Attacco quando un Uovo Corrotto muore.,1,1,,Weapon,BRMA10_6,,,,,,,,,,5,
,Blackrock Mountain,Artiglio di Onyxia,,2,2,,Weapon,BRMA17_9,,,,,,,,,,6,
,Blackrock Mountain,Atramedes,,,,30,Hero,BRMA16_1H,,,,,,,,,,,
,Blackrock Mountain,Atramedes,,,,30,Hero,BRMA16_1,,,,,,,,,,,
,Blackrock Mountain,Attivazione Arcanotron,<b>Potere Eroe</b>Attiva Arcanotron!,,0,,Hero Power,BRMA14_2H,,,,,,,,,,,
,Blackrock Mountain,Attivazione Arcanotron,<b>Potere Eroe</b>Attiva Arcanotron!,,2,,Hero Power,BRMA14_2,,,,,,,,,,,
,Blackrock Mountain,Attivazione Electron,<b>Potere Eroe</b>Attiva Electron!,,6,,Hero Power,BRMA14_6,,,,,,,,,,,
,Blackrock Mountain,Attivazione Electron,<b>Potere Eroe</b>Attiva Electron!,,4,,Hero Power,BRMA14_6H,,,,,,,,,,,
,Blackrock Mountain,Attivazione Magmatron,<b>Potere Eroe</b>Attiva Magmatron!,,8,,Hero Power,BRMA14_8,,,,,,,,,,,
,Blackrock Mountain,Attivazione Magmatron,<b>Potere Eroe</b>Attiva Magmatron!,,6,,Hero Power,BRMA14_8H,,,,,,,,,,,
,Blackrock Mountain,Attivazione Toxitron,<b>Potere Eroe</b>Attiva Toxitron!,,4,,Hero Power,BRMA14_4,,,,,,,,,,,
,Blackrock Mountain,Attivazione Toxitron,<b>Potere Eroe</b>Attiva Toxitron!,,2,,Hero Power,BRMA14_4H,,,,,,,,,,,
,Blackrock Mountain,Attivazione!,<b>Potere Eroe</b>Attiva un Tron casuale.,,2,,Hero Power,BRMA14_10H,,,,,,,,,,,
,Blackrock Mountain,Attivazione!,<b>Potere Eroe</b>Attiva un Tron casuale.,,4,,Hero Power,BRMA14_10,,,,,,,,,,,
,Blackrock Mountain,Barone Geddon,,,,50,Hero,BRMA05_1H,,,,,,,,,,,
,Blackrock Mountain,Barone Geddon,,,,30,Hero,BRMA05_1,,,,,,,,,,,
,Blackrock Mountain,Bomba Vivente,Seleziona un servitore nemico: se sopravvive fino al tuo prossimo turno infligge $10 danni a tutti i suoi alleati.,,3,,Spell,BRMA05_3H,,,,,,,,,,,
,Blackrock Mountain,Bomba Vivente,Nel turno di Geddon infligge 10 danni a tutti i personaggi alleati.,,,,Enchantment,BRMA05_3He,,,,,,,,,,,
,Blackrock Mountain,Bomba Vivente,Seleziona un servitore nemico: se sopravvive fino al tuo prossimo turno infligge $5 danni a tutti i nemici.,,4,,Spell,BRMA05_3,,,,,,,,,,,
,Blackrock Mountain,Bomba Vivente,Nel turno di Geddon infligge 5 danni a tutti i personaggi alleati.,,,,Enchantment,BRMA05_3e,,,,,,,,,,,
,Blackrock Mountain,Buttafuori Ferroscuro,Vince sempre ogni Rissa.,4,6,8,Minion,BRMA01_3,,,,,,,,,,,
,Blackrock Mountain,Capobanda Imp,Quando subisce danni evoca un Imp 1/1.,2,3,4,Minion,BRM_006,True,Steve Prescott,Common,Può essere creata dopo aver sconfitto il Maggiordomo Executus nel Nucleo Ardente.,La sua banda di Imp adora entrare di nascosto a Roccavento e scrivere con la vernice spray &bdquo;Ragnaros spakka&bdquo; sulle pareti del Santuario della Magia.,Sbloccata sconfiggendo il Maggiordomo Executus nel Nucleo Ardente.,Warlock,,Demon,,
,Blackrock Mountain,Cliente Torvo,Quando subisce danni e sopravvive evoca un altro Cliente Torvo.,3,5,3,Minion,BRM_019,True,Bobby Chiu,Rare,Può essere creata dopo aver sconfitto Coren Birranera nei Sotterranei di Roccianera.,Se ti piace prendere cazzotti non dimenticare di fare un salto al Torvo Beone!,Sbloccata sconfiggendo Coren Birranera nei Sotterranei di Roccianera.,,,,,
,Blackrock Mountain,Comando di Drakkisath,Distrugge un servitore. Fornisce 10 Armatura.,,1,,Spell,BRMA08_3,,,,,,,,,,,
Battlecry,Blackrock Mountain,Consorte del Drago,<b>Grido di Battaglia:</b> il prossimo Drago che giochi costa (2) Mana in meno.,5,5,5,Minion,BRM_018,True,Raymond Swanland,Rare,Può essere creata dopo aver sconfitto il Generale Drakkisath nei Bastioni di Roccianera.,Tutti vogliono qualcuno da abbracciare. Anche i giganteschi mostri armati di scaglie portatori di distruzione.,Sbloccata sconfiggendo il Generale Drakkisath nei Bastioni di Roccianera.,Paladin,,Dragon,,
,Blackrock Mountain,Coren Birranera,,,,30,Hero,BRMA01_1H,,,,,,,,,,,
,Blackrock Mountain,Coren Birranera,,,,30,Hero,BRMA01_1,,,,,,,,,,,
Battlecry,Blackrock Mountain,Corruttore Ala Nera,<b>Grido di Battaglia:</b> infligge 3 danni se hai un Drago in mano.,5,5,4,Minion,BRM_034,True,Greg Staples,Common,Può essere creata dopo aver sconfitto Maloriak nel Laboratorio Segreto.,Ha ottenuto questo nome quando ha regalato ad Ala Nera dei fumetti rari e dei dischi rock praticamente introvabili.,Sbloccata sconfiggendo Maloriak nel Laboratorio Segreto.,,,,,Neutral
,Blackrock Mountain,Costrutto d&sbquo;Ossa,,4,1,2,Minion,BRMA17_6H,,,,,,,,,,,
,Blackrock Mountain,Costrutto d&sbquo;Ossa,,2,1,1,Minion,BRMA17_6,,,,,,,,,,,
,Blackrock Mountain,Cromaggus,,,,30,Hero,BRMA12_1,,,,,,,,,,,
,Blackrock Mountain,Cromaggus,Quando peschi una carta ne mette una copia nella tua mano.,6,8,8,Minion,BRM_031,True,Todd Lockwood,Legendary,Può essere creata dopo aver completato la Fortezza dell&sbquo;Ala Nera.,La testa sinistra e la testa destra non sono mai d&sbquo;accordo su cosa cucinare per cena così finiscono sempre per ordinare una pizza.,Sbloccata completando la Fortezza dell&sbquo;Ala Nera.,,True,Dragon,,
,Blackrock Mountain,Cromaggus,,,,60,Hero,BRMA12_1H,,,,,,,,,,,
,Blackrock Mountain,Cuor Fiammante,Pesca 2 carte. Fornisce 4 Armatura.,,3,,Spell,BRMA_01,,,,,,,,,,,
,Blackrock Mountain,Denti di Drago,Ottiene +1 Attacco quando l&sbquo;avversario gioca una carta.,0,1,,Weapon,BRMA16_5,,,,,,,,,,6,
,Blackrock Mountain,Destafiamme,Dopo che hai lanciato una Magia infligge 2 danni suddivisi casualmente tra tutti i nemici.,2,3,4,Minion,BRM_002,True,Alex Horley Orlandelli,Rare,Può essere creata dopo aver sconfitto Vaelastrasz nella Fortezza dell&sbquo;Ala Nera.,I Destafiamme odiano essere confusi con i Calcafiamme. Si limitano a risvegliare le fiamme non a calpestarle. Chi è così folle da camminarci sopra?,Sbloccata sconfiggendo Vaelastrasz nella Fortezza dell&sbquo;Ala Nera.,Mage,,,,
,Blackrock Mountain,Difesa Omnotron,,,,30,Hero,BRMA14_1H,,,,,,,,,,,
,Blackrock Mountain,Difesa Omnotron,,,,30,Hero,BRMA14_1,,,,,,,,,,,
,Blackrock Mountain,Discesa,<b>Potere Eroe</b>Evoca Gyth. Ottiene un nuovo Potere Eroe.,,4,,Hero Power,BRMA09_5H,,,,,,,,,,,
,Blackrock Mountain,Discesa,<b>Potere Eroe</b>Evoca Gyth. Ottiene un nuovo Potere Eroe.,,4,,Hero Power,BRMA09_5,,,,,,,,,,,
Battlecry,Blackrock Mountain,Distruttore del Fuoco,<b>Grido di Battaglia:</b> ottiene da 1 a 4 Attacco. <b>Sovraccarico:</b> (1),3,4,6,Minion,BRM_012,True,Paul Mafayon,Common,Può essere creata dopo aver sconfitto Victor Nefarius nella Fortezza dell&sbquo;Ala Nera.,Sono centinaia gli Elementali del Fuoco che si fanno avanti per il ruolo di &bdquo;Distruttore&bdquo; ma solo in pochi riescono a passare il primo colloquio con Ragnaros.,Sbloccata sconfiggendo Victor Nefarius nella Fortezza dell&sbquo;Ala Nera.,Shaman,,,,
Battlecry,Blackrock Mountain,Distruttore Draconide,<b>Grido di Battaglia:</b> ottiene +3/+3 se l&sbquo;eroe avversario ha Salute pari a 15 o inferiore.,6,6,6,Minion,BRM_024,True,Slawomir Maniak,Common,Può essere creata dopo aver sconfitto Atramedes nel Laboratorio Segreto.,I Draconidi sono stati creati per possedere tutte le parti peggiori di un drago in forma umanoide. Ma perché?,Sbloccata sconfiggendo Atramedes nel Laboratorio Segreto.,,,Dragon,,
,Blackrock Mountain,Draco Cromatico,,7,4,3,Minion,BRMA10_5,,,,,,,,,,,
,Blackrock Mountain,Draco Cromatico,,7,4,7,Minion,BRMA10_5H,,,,,,,,,,,
,Blackrock Mountain,Draco Vulcanico,Costa (1) Mana in meno per ogni servitore morto in questo turno.,6,6,4,Minion,BRM_025,True,Lucas Graciano,Common,Può essere creata dopo aver sconfitto la Difesa Omnotron nel Laboratorio Segreto.,I Drachi Vulcanici soffiano lava invece del fuoco. Il venditore di antiacidi al Presidio del Torio fa ottimi affari con loro.,Sbloccata sconfiggendo la Difesa Omnotron nel Laboratorio Segreto.,,,Dragon,,
,Blackrock Mountain,Draghetto,,1,1,1,Minion,BRM_004t,,,,,,,,,,,
,Blackrock Mountain,Draghetto,,1,1,1,Minion,BRMA09_2t,,,,,,,,,Dragon,,
,Blackrock Mountain,Draghetto,,2,1,2,Minion,BRMA09_2Ht,,,,,,,,,Dragon,,
,Blackrock Mountain,Draghetto Nero,,2,1,1,Minion,BRM_022t,,Jaemin Kim,Common,,,,,,Dragon,,
Battlecry,Blackrock Mountain,Draghetto Oscuro,<b>Grido di Battaglia:</b> +2 Salute se c&sbquo;è un Drago nella tua mano.,2,1,1,Minion,BRM_004,True,Sam Nielson,Common,Può essere creata dopo aver completato la Sfida di Classe del Sacerdote nel Massiccio Roccianera.,Sono fatti della stessa sostanza degli incubi.,Sbloccata completando la Sfida di Classe del Sacerdote nel Massiccio Roccianera.,Priest,,Dragon,,
Battlecry,Blackrock Mountain,Drago Affamato,<b>Grido di Battaglia:</b> evoca un servitore casuale da 1 Mana sotto il controllo dell&sbquo;avversario.,5,4,6,Minion,BRM_026,True,John Polidora,Common,Può essere creata dopo aver sconfitto Cromaggus nella Fortezza dell&sbquo;Ala Nera.,Un Drago Affamato affamato non è per nulla divertente!,Sbloccata sconfiggendo Cromaggus nella Fortezza dell&sbquo;Ala Nera.,,,Dragon,,
,Blackrock Mountain,Dragoide,,5,1,4,Minion,BRMA09_4Ht,,,,,,,,,Dragon,,
,Blackrock Mountain,Dragoide,,3,1,1,Minion,BRMA09_4t,,,,,,,,,Dragon,,
,Blackrock Mountain,Dragoide Cromatico,Ottiene +2/+2 quando l&sbquo;avversario lancia una Magia.,2,2,3,Minion,BRMA12_8t,,,,,,,,,Dragon,,
,Blackrock Mountain,Dragoide Cromatico,,,,30,Hero,BRMA12_9,,,,,,,,,,,
,Blackrock Mountain,Dragoide Occultista,Ottiene +1/+1 quando è il bersaglio di una tua Magia.,3,4,5,Minion,BRM_020,True,Edouard Guiton & Stuido HIVE,Common,Può essere creata dopo aver sconfitto Nefarian nel Laboratorio Segreto.,Sono capaci tutti a fare i Maghi con la magia degli altri.,Sbloccata sconfiggendo Nefarian nel Laboratorio Segreto.,,,Dragon,,
,Blackrock Mountain,Druida delle Fiamme,,2,3,5,Minion,BRM_010t2,,Hideaki Takamura,Common,,,,Druid,,Beast,,
,Blackrock Mountain,Druida delle Fiamme,<b>Scegli:</b> si trasforma in un servitore 5/2 <b>o</b> in un servitore 2/5.,2,3,2,Minion,BRM_010,True,Stanley Lau,Common,Può essere creata dopo aver sconfitto Garr nel Nucleo Ardente.,I Druidi che avevano combattuto troppo a lungo a Nordania vennero facilmente sedotti da Ragnaros: una semplice tazza di cioccolata calda fu sufficiente in molti casi.,Sbloccata sconfiggendo Garr nel Nucleo Ardente.,Druid,,,,
,Blackrock Mountain,Druida delle Fiamme,,5,3,2,Minion,BRM_010t,,Ben Zhang,Common,,,,Druid,,Beast,,
,Blackrock Mountain,Ecolocazione,<b>Potere Eroe</b>Equipaggia un&sbquo;arma che diventa più potente quando l&sbquo;avversario gioca una carta.,,1,,Hero Power,BRMA16_2,,,,,,,,,,,
,Blackrock Mountain,Ecolocazione,<b>Potere Eroe</b>Equipaggia un&sbquo;arma che diventa più potente quando l&sbquo;avversario gioca una carta.,,0,,Hero Power,BRMA16_2H,,,,,,,,,,,
Aura,Blackrock Mountain,Electron,Tutte le Magie costano (3) Mana in meno.,5,3,5,Minion,BRMA14_7,,,Legendary,,,,,True,Mech,,
,Blackrock Mountain,Electron,Tutte le Magie costano (3) Mana in meno.,6,3,6,Minion,BRMA14_7H,,,Legendary,,,,,True,Mech,,
,Blackrock Mountain,Essenza del Rosso,<b>Potere Eroe</b>Ogni giocatore pesca 2 carte.,,0,,Hero Power,BRMA11_2,,,,,,,,,,,
,Blackrock Mountain,Essenza del Rosso,<b>Potere Eroe</b>Ottiene 1 Cristallo di Mana. Ogni giocatore pesca 3 carte.,,0,,Hero Power,BRMA11_2H,,,,,,,,,,,
,Blackrock Mountain,Executus,,,,30,Hero,BRMA06_1H,,,,,,,,,,,
Deathrattle,Blackrock Mountain,Executus,<b>Rantolo di Morte:</b> sostituisce il tuo eroe con Ragnaros il Signore del Fuoco.,9,9,7,Minion,BRM_027,True,Alex Horley Orlandelli,Legendary,Può essere creata dopo aver completato il Nucleo Ardente.,Puoi credere che Executus ti abbia trasformato in Ragnaros ma in realtà Ragnaros è sempre stato dentro di te.,Sbloccata completando il Nucleo Ardente.,,True,,,
,Blackrock Mountain,Executus,,,,30,Hero,BRMA06_1,,,,,,,,,,,
,Blackrock Mountain,Falco di Fuoco,Si trasforma in un servitore 2/5.,,,,Spell,BRM_010b,,,Common,,,,Druid,,Beast,,
,Blackrock Mountain,Favore Imperiale,Costa (1) Mana in meno.,,,,Enchantment,BRM_028e,,,,,,,,,,,
Deathrattle,Blackrock Mountain,Fedele del Fuoco,<b>Rantolo di Morte:</b> infligge 3 danni all&sbquo;eroe nemico per ogni Fedele del Fuoco morto in questo turno.,0,0,5,Minion,BRMA04_3H,,,,,,,,,,,
Deathrattle,Blackrock Mountain,Fedele del Fuoco,<b>Rantolo di Morte:</b> infligge 1 danno all&sbquo;eroe nemico per ogni Fedele del Fuoco morto in questo turno.,0,0,5,Minion,BRMA04_3,,,,,,,,,,,
Battlecry,Blackrock Mountain,Ferroscuro Furtivo,<b>Grido di Battaglia:</b> infligge 2 danni a tutti i servitori nemici non danneggiati.,4,5,3,Minion,BRM_008,True,Eric Braddock,Rare,Può essere creata dopo aver completato la Sfida di Classe del Ladro nel Massiccio Roccianera.,Adora aggirarsi furtivamente. Lo fa anche quando non serve per il gusto di farlo. I suoi amici temono che prima o poi incontri un malintenzionato...,Sbloccata completando la Sfida di Classe del Ladro nel Massiccio Roccianera.,Rogue,,,,
Battlecry,Blackrock Mountain,Figlio della Fiamma,<b>Grido di Battaglia:</b> infligge 6 danni.,6,0,3,Minion,BRMA13_5,,,,,,,,,,,
,Blackrock Mountain,Folgore di Lava,Infligge $2 danni. Sblocca i Cristalli di Mana in <b>Sovraccarico</b>.,,2,,Spell,BRM_011,True,Zoltan Boros,Rare,Può essere creata dopo aver completato la Sfida di Classe dello Sciamano nel Massiccio Roccianera.,Oooh! Lava come lava!,Sbloccata completando la Sfida di Classe dello Sciamano nel Massiccio Roccianera.,Shaman,,,,
OneTurnEffect,Blackrock Mountain,Folgore di Lava,Le carte giocate in questo turno non causano <b>Sovraccarico</b>.,,,,Enchantment,BRM_011t,,,,,,,Shaman,,,,
,Blackrock Mountain,Folla Beffarda,<b>Potere Eroe</b>Evoca uno Spettatore 1/1 con <b>Provocazione</b>.,,1,,Hero Power,BRMA02_2,,,,,,,,,,,
,Blackrock Mountain,Folla Beffarda,<b>Potere Eroe</b>Evoca uno Spettatore 1/1 con <b>Provocazione</b>.,,0,,Hero Power,BRMA02_2H,,,,,,,,,,,
,Blackrock Mountain,Furia Cieca,Attacco aumentato.,,,,Enchantment,BRMA10_6e,,,,,,,,,,,
Battlecry,Blackrock Mountain,Furioso del Nucleo,<b>Grido di Battaglia:</b> se la tua mano è vuota ottiene +3/+3.,4,4,4,Minion,BRM_014,True,Jomaro Kindred,Rare,Può essere creata dopo aver sconfitto il Gran Signore Omokk nei Bastioni di Roccianera.,Solo il più coraggioso dei Cacciatori osa avventurarsi in una fossa di lava per convincere il mostro che vive al suo interno a diventare il suo tenero cucciolone.,Sbloccata sconfiggendo il Gran Signore Omokk nei Bastioni di Roccianera.,Hunter,,Beast,,
OneTurnEffect,Blackrock Mountain,Fusione,Attacco pari a 0 per questo turno.,,,,Enchantment,BRM_001e,,,,,,,Priest,,,,
,Blackrock Mountain,Garr,,,,30,Hero,BRMA04_1,,,,,,,,,,,
,Blackrock Mountain,Garr,,,,45,Hero,BRMA04_1H,,,,,,,,,,,
,Blackrock Mountain,Generale Drakkisath,,,,50,Hero,BRMA08_1,,,,,,,,,,,
,Blackrock Mountain,Generale Drakkisath,,,,50,Hero,BRMA08_1H,,,,,,,,,,,
,Blackrock Mountain,Gong Risonante,Distrugge l&sbquo;arma dell&sbquo;avversario.,,1,,Spell,BRMA16_4,,,,,,,,,,,
,Blackrock Mountain,Gran Giudice Tetrapietra,,,,30,Hero,BRMA02_1,,,,,,,,,,,
,Blackrock Mountain,Gran Giudice Tetrapietra,,,,30,Hero,BRMA02_1H,,,,,,,,,,,
,Blackrock Mountain,Gran Signore Omokk,,,,30,Hero,BRMA07_1H,,,,,,,,,,,
,Blackrock Mountain,Gran Signore Omokk,,,,30,Hero,BRMA07_1,,,,,,,,,,,
,Blackrock Mountain,Grandi Artigli,+3/+3.,,,,Enchantment,BRM_024e,,,,,,,,,,,
,Blackrock Mountain,Gyth,,8,3,4,Minion,BRMA09_5t,,,Legendary,,,,,True,Dragon,,
,Blackrock Mountain,Gyth,,8,3,8,Minion,BRMA09_5Ht,,,Legendary,,,,,True,Dragon,,
,Blackrock Mountain,Imp,,1,1,1,Minion,BRM_006t,,,,,,,Warlock,,Demon,,
,Blackrock Mountain,Impulso Magmatico,<b>Potere Eroe</b>Infligge 1 danno a TUTTI i servitori.,,1,,Hero Power,BRMA04_2,,,,,,,,,,,
,Blackrock Mountain,In fiamme!,Attacco aumentato.,,,,Enchantment,BRM_012e,,,,,,,,,,,
,Blackrock Mountain,Incubazione,Salute aumentata.,,,,Enchantment,BRMA10_3e,,,,,,,,,,,
,Blackrock Mountain,Infuriato,+3/+3.,,,,Enchantment,BRM_014e,,,,,,,Hunter,,,,
,Blackrock Mountain,IO SCHIACCIARE,<b>Potere Eroe</b>Distrugge un servitore nemico casuale.,,0,,Hero Power,BRMA07_2H,,,,,,,,,,,
,Blackrock Mountain,IO SCHIACCIARE,<b>Potere Eroe</b>Distrugge un servitore nemico danneggiato casuale.,,1,,Hero Power,BRMA07_2,,,,,,,,,,,
AffectedBySpellPower,Blackrock Mountain,Ira Demoniaca,Infligge $2 danni a tutti i servitori non Demoni.,,3,,Spell,BRM_005,True,Raymond Swanland,Rare,Può essere creata dopo aver completato la Sfida di Classe dello Stregone nel Massiccio Roccianera.,È difficile vedere dei demoni veramente arrabbiati ma quando succede è meglio non essere presenti.,Sbloccata completando la Sfida di Classe dello Stregone nel Massiccio Roccianera.,Warlock,,,,
,Blackrock Mountain,Lanciatore d&sbquo;Asce,Quando subisce danni infligge 2 danni all&sbquo;eroe nemico.,2,4,5,Minion,BRM_016,True,Efrem Palacios,Common,Può essere creata dopo aver completato la Sfida di Classe del Guerriero nel Massiccio Roccianera.,Un tempo era un semplice &bdquo;Lanciatore di Bastoni&bdquo; ma ora continua senza sosta verso la realizzazione del suo sogno: diventare un &bdquo;Lanciatore di Tauren&bdquo;.,Sbloccata completando la Sfida di Classe del Guerriero nel Massiccio Roccianera.,Warrior,,,,
Taunt,Blackrock Mountain,Lava Vivente,<b>Provocazione</b>,6,0,6,Minion,BRMA13_6,,,,,,,,,,,
,Blackrock Mountain,LAVA!,Infligge $2 danni a TUTTI i servitori.,,2,,Spell,BRMA17_4,,,,,,,,,,,
,Blackrock Mountain,Liberato!,Il prossimo Drago costa (2) Mana in meno.,,,,Enchantment,BRM_018e,,,,,,,Paladin,,,,
,Blackrock Mountain,Lince di Fuoco,Si trasforma in un servitore 5/2.,,,,Spell,BRM_010a,,,Common,,,,Druid,,Beast,,
,Blackrock Mountain,Maggiordomo,<b>Potere Eroe</b>Evoca un Accolito Destafiamme 3/3.,,2,,Hero Power,BRMA06_2H,,,,,,,,,,,
,Blackrock Mountain,Maggiordomo,<b>Potere Eroe</b>Evoca un Accolito Destafiamme 1/3.,,2,,Hero Power,BRMA06_2,,,,,,,,,,,
,Blackrock Mountain,Magia Selvaggia,<b>Potere Eroe</b>Mette nella tua mano una Magia casuale della classe dell&sbquo;avversario.,,1,,Hero Power,BRMA13_4,,,,,,,,,,,
,Blackrock Mountain,Magia Selvaggia,<b>Potere Eroe</b>Mette nella tua mano una Magia casuale della classe dell&sbquo;avversario.,,1,,Hero Power,BRMA13_4H,,,,,,,,,,,
,Blackrock Mountain,Magmatron,Quando un giocatore gioca una carta Magmatron infligge 2 danni al suo eroe.,8,5,8,Minion,BRMA14_9H,,,Legendary,,,,,True,Mech,,
Aura,Blackrock Mountain,Magmatron,Quando un giocatore gioca una carta Magmatron infligge 2 danni al suo eroe.,7,5,7,Minion,BRMA14_9,,,Legendary,,,,,True,Mech,,
,Blackrock Mountain,Maloriak,,,,30,Hero,BRMA15_1,,,,,,,,,,,
,Blackrock Mountain,Maloriak,,,,30,Hero,BRMA15_1H,,,,,,,,,,,
,Blackrock Mountain,Mana Ardente,<b>Potere Eroe</b>Infligge 5 danni all&sbquo;eroe nemico se non ha usato tutto il Mana.,,0,,Hero Power,BRMA05_2,,,,,,,,,,,
,Blackrock Mountain,Mana Ardente,<b>Potere Eroe</b>Infligge 10 danni all&sbquo;eroe nemico se non ha utilizzato tutto il Mana.,,0,,Hero Power,BRMA05_2H,,,,,,,,,,,
Aura,Blackrock Mountain,Moira Barbabronzea,Impedisce l&sbquo;uso del Potere Eroe di Thaurissan.Attacca solo i servitori con <b>Provocazione</b>.,3,2,1,Minion,BRMA03_3H,,,,,,,,,,,
