MECHANICS,SET,NAME,TEXT,TYPE,ID,PLAYERCLASS,COLLECTIBLE,FACTION,RARITY,HEALTH,ARTIST,ATTACK,COST,HOWTOGETGOLD,FLAVOR,HOWTOGET,DURABILITY,INPLAYTEXT,RACE
,Basic,Brama di Sangue,+3 Attacco ai tuoi servitori per questo turno.,Spell,CS2_046,Shaman,True,Neutral,Common,,Luca Zontini,,5,Sbloccata al livello 40.,BlaarghghLLGHRHARAAHAHHH!!,Sbloccata al livello 2.,,,
Battlecry,Basic,Cacciatrice Lamaspina,<b>Grido di Battaglia:</b> evoca un Cinghiale 1/1.,Minion,CS2_196,,True,Horde,Common,3,Clint Langley,2,3,Sbloccata al livello 55 del Cacciatore.,Una volta qualcuno ha sfidato Tusker. Una SOLA volta.,,,,
Taunt,Basic,Campione dell&sbquo;Arena,<b>Provocazione</b>,Minion,CS2_162,,True,Alliance,Common,5,E.M. Gist,6,6,Sbloccata al livello 59 del Sacerdote.,Anni fa il suo indice d&sbquo;arena era oltre 2.100 ma non avrà mai i suoi spallacci perché c&sbquo;è sempre della gente che non glieli vuole far prendere.,,,,
Aura,Basic,Campione di Roccavento,Gli altri tuoi servitori hanno +1/+1.,Minion,CS2_222,,True,Alliance,Common,6,Doug Alexander,6,7,Sbloccata al livello 59 del Paladino.,Quando Alamorte assaltò la capitale questo soldato fu l&sbquo;unico della sua squadriglia a sopravvivere. Ora si sente un po&sbquo; solo...,,,,
,Basic,Capitano Cantaguerra,Quando evochi un servitore con Attacco pari a 3 o inferiore gli fornisce <b>Carica</b>.,Minion,EX1_084,Warrior,True,Neutral,Free,3,Wei Wang,2,3,Sbloccata al livello 36.,Grommash Garrosh... con comandanti così non sarei tanto felice di diventare un Capitano Cantaguerra.,Sbloccata al livello 1.,,,
Aura,Basic,Capoincursione,Gli altri tuoi servitori hanno +1 Attacco.,Minion,CS2_122,,True,,Free,2,Phill Gonzales,2,3,Sbloccata al livello 57 del Guerriero.,&bdquo;Meno 50 DKP!&bdquo;,,,,
,Basic,Carica,+2 Attacco e <b>Carica</b> a un tuo servitore.,Spell,CS2_103,Warrior,True,Neutral,Free,,Alex Horley Orlandelli,,3,Sbloccata al livello 23.,&bdquo;Ragazzi! Ragazzi! Rallentate!&bdquo; - Un servitore non Guerriero,Sbloccata al livello 1.,,,
,Basic,Carica,<b>Carica</b> dal Rinoceronte Furioso.,Enchantment,DS1_178e,Hunter,,,,,,,,,,,,,
,Basic,Carica,<b>Carica</b> dal Capitano Cantaguerra.,Enchantment,EX1_084e,Warrior,,,,,,,,,,,,,
,Basic,Carica,<b>Carica</b> e +2 Attacco.,Enchantment,CS2_103e2,Warrior,,,,,,,,,,,,,
Charge,Basic,Cavalcalupi,<b>Carica</b>,Minion,CS2_124,,True,Horde,Free,1,Dany Orizio,3,3,Sbloccata al livello 59 del Guerriero.,Gli Orchi cavalcano i lupi perché si adattano meglio negli ambienti ostili... e perché sono soffici e coccolosi.,,,,
Charge,Basic,Cavalcarazzi Folle,<b>Carica</b>,Minion,CS2_213,,True,Horde,Free,2,John Polidora,5,6,Sbloccata al livello 59 dello Sciamano.,Una Cavalcarazzi Folle. Un razzo carico di esplosivo. Divertimento garantito!,,,,
Charge,Basic,Cavaliere di Roccavento,<b>Carica</b>,Minion,CS2_131,,True,Alliance,Common,5,Ladronn,2,4,Sbloccata al livello 55 del Paladino.,Si sentono ancora a disagio per &bdquo;L&sbquo;Incidente di Alamorte&bdquo;.,,,,
HealTarget,Basic,Chierica della Contea,Quando un servitore danneggiato viene curato pesca una carta.,Minion,CS2_235,Priest,True,,Free,3,Terese Nielsen,1,1,Sbloccata al livello 40.,Aiutano gli oppressi e gli afflitti. E vendono anche i biscotti.,Sbloccata al livello 1.,,,
Battlecry,Basic,Chierica Sole Infranto,<b>Grido di Battaglia:</b> +1/+1 a un altro tuo servitore.,Minion,EX1_019,,True,Neutral,Common,2,Doug Alexander,3,3,Sbloccata al livello 53 del Sacerdote.,Hanno sempre da parte qualche fiaschetta di Bevanda Energetica del Pozzo Solare™!,,,,
,Basic,Cinghiale,,Minion,CS2_boar,,,Neutral,Common,1,,1,1,,,,,,Beast
Charge,Basic,Cinghiale Scagliadura,<b>Carica</b>,Minion,CS2_171,,True,Neutral,Free,1,Howard Lyon,1,1,Sbloccata al livello 53 del Cacciatore.,&bdquo;Tu sei un cinghiale... un cinghiale un cinghiale!&bdquo; - Noto ipnotizzatore di Uldum,,,,Beast
Spellpower,Basic,Coboldo Geomante,<b>+1 Danni Magici</b>,Minion,CS2_142,,True,Horde,Common,2,Gabor Szikszai,2,2,Sbloccata al livello 59 dello Stregone.,Toglietegli tutto ma non la sua candela.- Fabrizio D.R.,,,,
,Basic,Colonna di Fuoco,Infligge $4 danni a tutti i servitori nemici.,Spell,CS2_032,Mage,True,Neutral,Common,,Romain De Santi,,7,Sbloccata al livello 51.,Ottima anche per le grigliate con gli amici.- Mattia C.,Sbloccata al livello 10.,,,
,Basic,Coltello Perverso,,Weapon,CS2_082,Rogue,,Neutral,Free,,,1,1,,,,2,,
Battlecry,Basic,Commando Piccatonante,<b>Grido di Battaglia:</b> infligge 2 danni.,Minion,CS2_150,,True,Alliance,Common,2,Kev Walker,4,5,Sbloccata al livello 51 del Paladino.,I Commando Piccatonante sono esperti in demolizioni ma preparano dei pasticcini veramente orrendi... evitateli!,,,,
,Basic,Condor Affamato,Quando evochi una Bestia pesca una carta.,Minion,CS2_237,Hunter,True,,Common,2,Bernie Kang,3,5,Sbloccata al livello 47.,Se gli dai da mangiare perde la sua <i>identità</i>.,Sbloccata al livello 4.,,,Beast
,Basic,Consacrazione,Infligge $2 danni a tutti i nemici.,Spell,CS2_093,Paladin,True,Neutral,Common,,Vance Kovacs,,4,Sbloccata al livello 43.,Il terreno consacrato brilla di energia sacra. Però puzza anche un po&sbquo;.,Sbloccata al livello 4.,,,
,Basic,Controllo Mentale,Prendi il controllo di un servitore nemico.,Spell,CS1_113,Priest,True,Neutral,Common,,Sean O’Daniels,,10,Sbloccata al livello 49.,Attenzione ha effetti collaterali: il tuo avversario potrebbe iniziare a prendere a testate il muro.,Sbloccata al livello 10.,,,
,Basic,Controllo Mentale,Cambio di schieramento.,Enchantment,CS1_113e,Priest,,Neutral,Common,,,,,,,,,,
,Basic,Conversione Vitale,<b>Potere Eroe</b>Pesca una carta e subisce 2 danni.,Hero Power,CS2_056,Warlock,,Neutral,Free,,,,2,,,,,,
,Basic,Corruzione,Seleziona un servitore nemico: all&sbquo;inizio del tuo turno viene distrutto.,Spell,CS2_063,Warlock,True,Neutral,Common,,Wayne Reynolds,,1,Sbloccata al livello 32.,Si comincia rubando una penna al lavoro e in men che non si dica... BOOM! Sei corrotto!,Sbloccata al livello 2.,,,
,Basic,Corruzione,Distrutto all&sbquo;inizio del turno del giocatore che ha lanciato la maledizione.,Enchantment,CS2_063e,Warlock,,,,,,,,,,,,,
Battlecry,Basic,Costruttrice di Draghi,<b>Grido di Battaglia:</b> evoca un Minidrago Meccanico 2/1.,Minion,EX1_025,,True,Alliance,Common,4,Warren Mahy,2,4,Sbloccata al livello 53 del Mago.,Sta ancora cercando di installare un lanciarazzi su Mordino.,,,,
,Basic,Crescita Rigogliosa,Fornisce 1 Cristallo di Mana vuoto.,Spell,CS2_013,Druid,True,Neutral,Free,,James Ryman,,2,Sbloccata al livello 23.,Produci in casa i tuoi Cristalli di Mana con questo stupendo kit pronto all&sbquo;uso a soli 3999!,Sbloccata al livello 1.,,,
,Basic,Crocolisco di Fiume,,Minion,CS2_120,,True,,Free,3,Daren Bader,2,2,Sbloccata al livello 55 del Druido.,&bdquo;Cercare di catturare questa creatura per farne una borsa è stata una pessima idea.&bdquo; - Edward &bdquo;il Monco&bdquo; Smith,,,,Beast
,Basic,Cura Inferiore,<b>Potere Eroe</b>Rigenera 2 Salute.,Hero Power,CS1h_001,Priest,,Neutral,Free,,,,2,,,,,,
,Basic,Dardo d&sbquo;Ombra,Infligge $4 danni a un servitore.,Spell,CS2_057,Warlock,True,Neutral,Free,,Dave Allsop,,3,Sbloccata al livello 47.,È un dardo. È fatto d&sbquo;ombra. Cos&sbquo;altro vuoi sapere?,Sbloccata al livello 1.,,,
Freeze,Basic,Dardo di Gelo,Infligge $3 danni e <b>Congela</b>.,Spell,CS2_024,Mage,True,Neutral,Common,,Steve Ellis,,2,Sbloccata al livello 40.,Quando si gioca questa carta si è soliti urlare &bdquo;Stai fresco!&bdquo; o &bdquo;Ma che freddo fa!&bdquo;.,Sbloccata al livello 2.,,,
,Basic,Detonazione di Fuoco,<b>Potere Eroe</b>Infligge 1 danno.,Hero Power,CS2_034,Mage,,Neutral,Free,,,,2,,,,,,
,Basic,Detonazione Mentale,Infligge $5 danni all&sbquo;eroe nemico.,Spell,DS1_233,Priest,True,Neutral,Free,,Dave Allsop,,2,Sbloccata al livello 15.,Questo incantesimo esplode direttamente nella mente.,Sbloccata al livello 1.,,,
,Basic,Eccesso di Mana,Pesca una carta <i>(puoi avere al massimo 10 Cristalli di Mana)</i>.,Spell,CS2_013t,Druid,,,,,,,0,,,,,,
Battlecry,Basic,Elementale del Fuoco,<b>Grido di Battaglia:</b> infligge 3 danni.,Minion,CS2_042,Shaman,True,Neutral,Common,5,Ralph Horsley,6,6,Sbloccata al livello 49.,Non si è mai fatto una doccia. Bleah!,Sbloccata al livello 10.,,,
Freeze,Basic,Elementale dell&sbquo;Acqua,<b>Congela</b> i personaggi che danneggia.,Minion,CS2_033,Mage,True,Neutral,Common,6,John Avon,3,4,Sbloccata al livello 49.,Mai evocarlo vicino a un albero di limoni. Un Elementale della Limonata è molto meno efficiente.,Sbloccata al livello 8.,,,
Charge,Basic,Élite Kor&sbquo;kron,<b>Carica</b>,Minion,NEW1_011,Warrior,True,,Common,3,Alex Horley Orlandelli,4,4,Sbloccata al livello 44.,I Kor&sbquo;kron sono le forze d&sbquo;élite di Garrosh Malogrido. Diciamo solamente che non ti piacerebbe incontrarli se indossi un&sbquo;insegna blu.,Sbloccata al livello 4.,,,
,Basic,Esecuzione,Distrugge un servitore nemico danneggiato.,Spell,CS2_108,Warrior,True,Neutral,Free,,Dany Orizio,,1,Sbloccata al livello 47.,Non preoccuparti... se lo meritava.,Sbloccata al livello 1.,,,
,Basic,Esplosione Arcana,Infligge $1 |4(dannodanni) a tutti i servitori nemici.,Spell,CS2_025,Mage,True,Neutral,Free,,Howard Lyon,,2,Sbloccata al livello 28.,Questa magia è molto meglio di Implosione Arcana.,Sbloccata al livello 1.,,,
Freeze,Basic,Esplosione Gelida,<b>Congela</b> tutti i servitori nemici.,Spell,CS2_026,Mage,True,Neutral,Common,,Josh Tallman,,3,Sbloccata al livello 23.,Accidenti che freddura. Letteralmente e metaforicamente.,Sbloccata al livello 6.,,,
,Basic,Esplosione Sacra,Infligge $2 danni a tutti i nemici. Rigenera #2 Salute a tutti i tuoi personaggi.,Spell,CS1_112,Priest,True,Neutral,Common,,Luca Zontini,,5,Sbloccata al livello 45.,Se non segui più la Luce Sacra buona fortuna con questa magia.,Sbloccata al livello 6.,,,
,Basic,Evocazione Totemica,<b>Potere Eroe</b>Evoca un totem casuale.,Hero Power,CS2_049,Shaman,,Neutral,Free,,,,2,,,,,,
,Basic,Famiglio Animale,Evoca una Bestia casuale.,Spell,NEW1_031,Hunter,True,,Common,,Wei Wang,,3,Sbloccata al livello 45.,Potresti evocare Misha Leokk o Huffer! Ma probabilmente per Huffer non ne vale la pena.,Sbloccata al livello 2.,,,
Taunt,Basic,Fante di Borgodoro,<b>Provocazione</b>,Minion,CS1_042,,True,Alliance,Common,2,Donato Giancola,1,1,Sbloccata al livello 57 del Paladino.,Se dei servitori 1/2 sono tutto ciò che difende Borgodoro verrebbe da domandarsi perché non sia stata distrutta anni fa.,,,,
,Basic,Fendente,Infligge $2 danni a due servitori nemici casuali.,Spell,CS2_114,Warrior,True,Neutral,Common,,Phroilan Gardner,,2,Sbloccata al livello 40.,Ehi voi due. Potreste mettervi vicini per un attimo?,Sbloccata al livello 2.,,,
Freeze,Basic,Folgore del Gelo,Infligge $1 |4(dannodanni) a un personaggio nemico e lo <b>Congela</b>.,Spell,CS2_037,Shaman,True,Neutral,Free,,Alex Horley Orlandelli,,1,Sbloccata al livello 32.,Perfetta per rompere il ghiaccio a inizio partita.,Sbloccata al livello 1.,,,
,Basic,Fortuna della Moneta,Cominciare per secondo ti fornisce Salute aumentata.,Enchantment,GAME_001,,,,,,,,,,,,,,
Battlecry,Basic,Fuciliere Nano,<b>Grido di Battaglia:</b> infligge 1 danno.,Minion,CS2_141,,True,Alliance,Common,2,Tooth,2,3,Sbloccata al livello 55 del Mago.,&bdquo;Carico e pronto a colpire... ma prima passami da bere!&bdquo;,,,,
,Basic,Fuoco dell&sbquo;Anima,Infligge $4 danni. Scarta una carta casuale.,Spell,EX1_308,Warlock,True,Neutral,Common,,Raymond Swanland,,1,Sbloccata al livello 28.,Illumini un&sbquo;anima che va a fuoco o dai fuoco a qualcuno con la TUA anima? Sembra una precisazione piuttosto importante da fare.,Sbloccata al livello 6.,,,
,Basic,Fuoco Infernale,Infligge $3 danni a TUTTI i personaggi.,Spell,CS2_062,Warlock,True,Neutral,Free,,Chippy,,4,Sbloccata al livello 49.,È proprio a causa di questo genere di incantesimi che gli Stregoni hanno pochi amici.,Sbloccata al livello 1.,,,
,Basic,Fuoco Lunare,Infligge $1 |4(dannodanni).,Spell,CS2_008,Druid,True,Neutral,Common,,Richard Wright,,0,Sbloccata al livello 40.,&bdquo;Lancia Fuoco Lunare e non fermarti mai.&bdquo; - Manuale del giovane Druido capitolo 5 paragrafo 3,Sbloccata al livello 6.,,,
,Basic,Fuoco Stellare,Infligge $5 danni. Pesca una carta.,Spell,EX1_173,Druid,True,Neutral,Common,,Alex Horley Orlandelli,,6,Sbloccata al livello 45.,L&sbquo;equilibrio è importante per i Druidi. Questa carta infatti è perfettamente equilibrata.,Sbloccata al livello 2.,,,
,Basic,Furia del Vento,Fornisce <b>Furia del Vento</b> a un servitore.,Spell,CS2_039,Shaman,True,Neutral,Free,,Justin Sweet,,2,Sbloccata al livello 23.,Furia del Vento è come Furia della Terra e Furia del Fuoco solo un po&sbquo; più fresca e leggera.,Sbloccata al livello 1.,,,
,Basic,Furia di Magma,,Minion,CS2_118,,True,,Free,1,Matt Gaser,5,3,Sbloccata al livello 51 dello Sciamano.,Gli piace pensare di essere potente ma ormai praticamente chiunque può affrontare Nucleo Ardente in solitaria.,,,,
,Basic,Garrosh Malogrido,,Hero,HERO_01,Warrior,True,Neutral,Free,30,,,,,,,,,
,Basic,Giustizia della Luce,,Weapon,CS2_091,Paladin,True,Neutral,Free,,Glenn Rane,1,1,Sbloccata al livello 36.,Il Principe Malchezaar era un grande collezionista di armi rare. Si divertiva ad animarle e a farle ballare per lui.,Sbloccata al livello 1.,4,,
Battlecry,Basic,Gnoma Inventrice,<b>Grido di Battaglia:</b> pesca una carta.,Minion,CS2_147,,True,Alliance,Common,4,Court Jones,2,4,Sbloccata al livello 57 del Sacerdote.,Prima inventa poi decide a cosa servirà l&sbquo;invenzione.,,,,
,Basic,Golem da Guerra,,Minion,CS2_186,,True,Neutral,Common,7,Dave Kendall,7,7,Sbloccata al livello 51 del Ladro.,I Golem non possono spaventarsi ma per qualche strano motivo scappano ugualmente quando viene lanciata Paura su di loro. Istinto? Voglia di integrarsi?,,,,
Taunt,Basic,Grizzly Peloduro,<b>Provocazione</b>,Minion,CS2_125,,True,Neutral,Common,3,Lars Grant-West,3,3,Sbloccata al livello 59 del Cacciatore.,&bdquo;Carcasse d&sbquo;Orso 1/10&bdquo;,,,,Beast
Taunt,Basic,Grunt dei Lupi Bianchi,<b>Provocazione</b>,Minion,CS2_121,,True,Neutral,Common,2,Richie Marella,2,2,Sbloccata al livello 57 dello Sciamano.,Prima di lui suo nonno e suo padre erano Grunt. Essere Grunt è più che un semplice lavoro è un affare di famiglia!,,,,
Battlecry,Basic,Guardiano dei Re,<b>Grido di Battaglia:</b> rigenera 6 Salute al tuo eroe.,Minion,CS2_088,Paladin,True,Neutral,Common,6,E.M. Gist,5,7,Sbloccata al livello 47.,Le entità sacre provenienti da altri piani sono davvero inflazionate!,Sbloccata al livello 8.,,,
Taunt,Basic,Guardiano di Sen&sbquo;jin,<b>Provocazione</b>,Minion,CS2_179,,True,Horde,Free,5,Brian Despain,3,4,Sbloccata al livello 59 del Ladro.,Nel dubbio... Taz&sbquo;dingo!- Luca Z.,,,,
,Basic,Guarigione Ancestrale,Rigenera la Salute di un servitore al massimo e gli fornisce <b>Provocazione</b>.,Spell,CS2_041,Shaman,True,Neutral,Free,,Dan Scott,,0,Sbloccata al livello 15.,Personalmente preferisco le cure moderne a quelle ancestrali... sono troppo fuori moda! Questione di gusti.,Sbloccata al livello 1.,,,
Battlecry,Basic,Guaritrice Scagliascura,<b>Grido di Battaglia:</b> rigenera 2 Salute a tutti i tuoi personaggi.,Minion,DS1_055,,True,Neutral,Common,5,Jesper Ejsing,4,5,Sbloccata al livello 55 del Sacerdote.,Curare è una cosa che fa solo nel tempo libero. È più un hobby in realtà.,,,,
,Basic,Gul&sbquo;dan,,Hero,HERO_07,Warlock,True,Neutral,Free,30,,,,,,,,,
Charge,Basic,Huffer,<b>Carica</b>,Minion,NEW1_034,Hunter,,,Common,2,,4,3,,,,,,Beast
Taunt,Basic,Immagine Speculare,<b>Provocazione</b>,Minion,CS2_mirror,Mage,,Neutral,Common,2,,0,0,,,,,,
,Basic,Immagine Speculare,Evoca due servitori 0/2 con <b>Provocazione</b>.,Spell,CS2_027,Mage,True,Neutral,Common,,Jim Nelson,,1,Sbloccata al livello 36.,Oh guarda è Immagine Speculare! !eralucepS enigammI é adraug hO,Sbloccata al livello 4.,,,
,Basic,Imposizione: Protezione,Fornisce <b>Scudo Divino</b> a un servitore.,Spell,EX1_371,Paladin,True,Neutral,Free,,Clint Langley,,1,Sbloccata al livello 23.,Questa magia è stata rinominata talmente tante volte che nemmeno i Paladini sanno come si chiama veramente.,Sbloccata al livello 1.,,,
Battlecry,Basic,Infernale del Terrore,<b>Grido di Battaglia:</b> infligge 1 danno a TUTTI gli altri personaggi.,Minion,CS2_064,Warlock,True,Neutral,Common,6,Zoltan & Gabor,6,6,Sbloccata al livello 23.,&bdquo;INFERNOOOOOOOOOO!&bdquo; - Jaraxxus Signore Eredar della Legione Infuocata,Sbloccata al livello 10.,,,Demon
Taunt,Basic,Infusione Ancestrale,<b>Provocazione</b>.,Enchantment,CS2_041e,Shaman,,,,,,,,,,,,,
Battlecry,Basic,Ingegnera Novizia,<b>Grido di Battaglia:</b> pesca una carta.,Minion,EX1_015,,True,Alliance,Free,1,Karl Richardson,1,2,Sbloccata al livello 59 del Druido.,&bdquo;Molti degli studenti di questa classe non verranno promossi... dato che saranno stati trasformati in galline.&bdquo; - Mastro Meccanista Granfavilla lezione introduttiva di Ingegneria,,,,
,Basic,Innervazione,Fornisce 2 Cristalli di Mana solo per questo turno.,Spell,EX1_169,Druid,True,Neutral,Free,,Doug Alexander,,0,Sbloccata al livello 36.,Alcuni Druidi hanno ancora gli incubi di gente sconosciuta che grida loro &bdquo;Innervami!&bdquo;.,Sbloccata al livello 1.,,,
,Basic,Intelletto Arcano,Pesca 2 carte.,Spell,CS2_023,Mage,True,Neutral,Free,,Dave Berggren,,3,Sbloccata al livello 15.,Giocare questa carta ti rende più intelligente. E ammettiamolo la cosa non può di certo fare male.,Sbloccata al livello 1.,,,
,Basic,Jaina Marefiero,,Hero,HERO_08,Mage,True,Neutral,Free,30,,,,,,,,,
,Basic,Lama dell&sbquo;Assassino,,Weapon,CS2_080,Rogue,True,Neutral,Common,,Brian Huang,3,5,Sbloccata al livello 32.,Posseduta realmente da un vero assassino. Certificato di assassinio incluso.,Sbloccata al livello 2.,4,,
Battlecry,Basic,Lamascura,<b>Grido di Battaglia:</b> infligge 3 danni all&sbquo;eroe nemico.,Minion,EX1_593,,True,Neutral,Free,4,Raymond Swanland,4,5,Sbloccata al livello 53 del Druido.,La tua faccia è l&sbquo;ultimo posto nel quale vorresti un pugnale ed è esattamente dove un Ladro te lo infilzerebbe.,,,,
,Basic,Leokk,Gli altri tuoi servitori hanno +1 Attacco.,Minion,NEW1_033,Hunter,,,Common,4,,2,3,,,,,,Beast
,Basic,Lingua di Fuoco,+2 Attacco dal Totem del Fuoco.,Enchantment,EX1_565o,Shaman,,,,,,,,,,,,,
,Basic,Luce Sacra,Rigenera #6 Salute.,Spell,CS2_089,Paladin,True,Neutral,Free,,Zoltan & Gabor,,2,Sbloccata al livello 15.,Se sei frequentemente esposto alla Luce Sacra usa una protezione solare.,Sbloccata al livello 1.,,,
Aura,Basic,Lupo della Foresta,Le altre tue Bestie hanno +1 Attacco.,Minion,DS1_175,Hunter,True,Neutral,Free,1,Malcolm Davis,1,1,Sbloccata al livello 23.,Le altre bestie adorano uscire con i lupi della foresta.,Sbloccata al livello 1.,,,Beast
,Basic,Maestria nei Pugnali,<b>Potere Eroe</b>Equipaggia un Pugnale 1/2.,Hero Power,CS2_083b,Rogue,,Neutral,Free,,,,2,,,,,,
Battlecry,Basic,Maestro dei Segugi,<b>Grido di Battaglia:</b> +2/+2 e <b>Provocazione</b> a una tua Bestia.,Minion,DS1_070,Hunter,True,Neutral,Free,3,Dan Brereton,4,4,Sbloccata al livello 28.,&bdquo;Chi ha fatto uscire il cane?&bdquo; chiede. Una domanda retorica.,Sbloccata al livello 1.,,,
Spellpower,Basic,Mago di Dalaran,<b>+1 Danni Magici</b>,Minion,EX1_582,,True,Neutral,Common,4,Jim Nelson,1,3,Sbloccata al livello 59 del Mago.,Una volta mio cugino ha visto un Guerriero di Dalaran.,,,,
Spellpower,Basic,Magus Ogre,<b>+1 Danni Magici</b>,Minion,CS2_197,,True,Neutral,Common,4,James Ryman,4,4,Sbloccata al livello 55 dello Stregone.,Insegnare agli Ogre la nobile arte della magia è una decisione molto discutibile...,,,,
Morph,Basic,Maledetto,Trasformato.,Enchantment,EX1_246e,Shaman,,,,,,,,,,,,,
,Basic,Maleficio,Trasforma un servitore in una Rana 0/1 con <b>Provocazione</b>.,Spell,EX1_246,Shaman,True,Neutral,Free,,Steve Hui,,3,Sbloccata al livello 47.,Se si lanciasse un maleficio su un Murloc... chi si accorgerebbe della differenza?,Sbloccata al livello 1.,,,
,Basic,Malfurion Grantempesta,,Hero,HERO_06,Druid,True,Neutral,Free,30,,,,,,,,,
,Basic,Marchio del Cacciatore,Salute pari a 1.,Enchantment,CS2_084e,Hunter,,,,,,,,,,,,,
,Basic,Marchio del Cacciatore,La Salute di un servitore diventa pari a 1.,Spell,CS2_084,Hunter,True,Neutral,Common,,Jimmy Lo,,0,Sbloccata al livello 40.,Mai giocare a nascondino con un Cacciatore.,Sbloccata al livello 6.,,,
,Basic,Marchio Selvaggio,+2/+2 e <b>Provocazione</b> a un servitore.,Spell,CS2_009,Druid,True,Neutral,Free,,Brad Vancata,,2,Sbloccata al livello 28.,Da non confondere con il Mucchio Selvaggio.,Sbloccata al livello 1.,,,
,Basic,Marchio Selvaggio,+2/+2 e <b>Provocazione</b>.,Enchantment,CS2_009e,Druid,,,,,,,,,,,,,
