MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,ELITE,DURABILITY,RACE
Aura,Curse of Naxxramas,Barone Fieramorte,I tuoi servitori attivano due volte il proprio <b>Rantolo di Morte</b>.,1,4,7,Minion,FP1_031,True,Ralph Horsley,Legendary,Può essere creata dopo aver completato l&sbquo;Ala dei Combattenti.,Ha il mal di testa dopo tutte le lamentele di Dama Blaumeux che avrebbe voluto si chiamassero i &bdquo;Cavalieri e la Dama dell&sbquo;Apocalisse&bdquo;.,Sbloccata completando l&sbquo;Ala dei Combattenti.,,True,,
,Curse of Naxxramas,Barone Fieramorte,,,,7,Hero,NAX9_01,,,,,,,,,,
,Curse of Naxxramas,Becchino,Ottiene +1 Attacco quando evochi un servitore con <b>Rantolo di Morte</b>.,1,1,2,Minion,FP1_028,True,Jonboy Meyers,Common,Può essere creata dopo aver sconfitto Pezzacarne nell&sbquo;Ala dei Costrutti.,In un mondo dove basta parlare con uno Spirito Guaritore per tornare in vita i becchini fanno scarsi affari.,Sbloccata sconfiggendo Pezzacarne nell&sbquo;Ala dei Costrutti.,,,,
,Curse of Naxxramas,Cambio di Polarità,<b>Potere Eroe</b>Scambia Attacco e Salute di TUTTI i servitori.,,0,,Hero Power,NAX13_02,,,,,,,,,,
Aura,Curse of Naxxramas,Campione Congelato,Permanentemente <b>Congelato</b>. I servitori adiacenti sono <b>Immuni</b> a Soffio di Ghiaccio.,2,5,10,Minion,NAX14_03,,,,,,,,,,
,Curse of Naxxramas,Catene,<b>Potere Eroe</b>Prende il controllo di un servitore nemico casuale fino alla fine del turno.,,8,,Hero Power,NAX15_04,,,,,,,,,,
,Curse of Naxxramas,Catene,<b>Potere Eroe</b>Prende il controllo di un servitore nemico casuale.,,8,,Hero Power,NAX15_04H,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Cavaliere Inarrestabile,<b>Rantolo di Morte:</b> evoca un Cavaliere Spettrale sotto il controllo dell&sbquo;avversario.,5,6,6,Minion,NAX8_05,,,,,,,,,,
,Curse of Naxxramas,Cavaliere Spettrale,All&sbquo;inizio del tuo turno infligge 1 danno al tuo eroe.,0,5,6,Minion,NAX8_05t,,,,,,,,,,
,Curse of Naxxramas,Comandante Spettrale,Non può essere il bersaglio di Magie o Poteri Eroe.,4,5,6,Minion,FP1_008,True,Chris Rahn,Common,Può essere creata dopo aver sconfitto Gothik il Falciatore nell&sbquo;Ala dei Combattenti.,Che cos&sbquo;hanno in comune i Draghi Fatati e i Comandanti Spettrali? Entrambi adorano il sushi!,Sbloccata sconfiggendo Gothik il Falciatore nell&sbquo;Ala dei Combattenti.,,,,
,Curse of Naxxramas,Consumo,Statistiche aumentate.,,,,Enchantment,FP1_005e,,,,,,,,,,
,Curse of Naxxramas,Crescita Fungina,Attacco aumentato.,,,,Enchantment,NAX6_03te,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Cultista Oscuro,<b>Rantolo di Morte:</b> +3 Salute a un altro tuo servitore casuale.,3,3,4,Minion,FP1_023,True,Phroilan Gardner,Common,Può essere creata dopo aver completato la Sfida di Classe del Sacerdote a Naxxramas.,Il Culto dei Dannati ha scoperto che è più semplice reclutare proseliti se non si menziona il nome della loro organizzazione.,Sbloccata completando la Sfida di Classe del Sacerdote a Naxxramas.,Priest,,,
,Curse of Naxxramas,Dama Blaumeux,Il tuo eroe è <b>Immune</b>.,1,3,7,Minion,NAX9_02,,,,,,,,True,,
,Curse of Naxxramas,Dama Blaumeux,Il tuo eroe è <b>Immune</b>.,2,3,7,Minion,NAX9_02H,,,,,,,,True,,
,Curse of Naxxramas,Decimazione,<b>Potere Eroe</b>La Salute di TUTTI i servitori diventa pari a 1.,,2,,Hero Power,NAX12_02,,,,,,,,,,
,Curse of Naxxramas,Decimazione,<b>Potere Eroe</b>La Salute di tutti i servitori nemici diventa pari a 1.,,0,,Hero Power,NAX12_02H,,,,,,,,,,
,Curse of Naxxramas,Decimazione,Salute pari a 1.,,,,Enchantment,NAX12_02e,,,,,,,,,,
,Curse of Naxxramas,Denti Aggiuntivi,Attacco aumentato.,,,,Enchantment,NAX12_03e,,,,,,,,,,
Freeze,Curse of Naxxramas,Detonazione del Gelo,<b>Potere Eroe</b>Infligge 2 danni all&sbquo;eroe nemico e lo <b>Congela</b>.,,0,,Hero Power,NAX15_02,,,,,,,,,,
Freeze,Curse of Naxxramas,Detonazione del Gelo,<b>Potere Eroe</b>Infligge 3 danni all&sbquo;eroe nemico e lo <b>Congela</b>.,,0,,Hero Power,NAX15_02H,,,,,,,,,,
Secret,Curse of Naxxramas,Duplicazione,<b>Segreto:</b> quando un tuo servitore muore ne ottieni 2 copie in mano.,,3,,Spell,FP1_018,True,Alex Garner,Common,Può essere creata dopo aver completato la Sfida di Classe del Mago a Naxxramas.,L&sbquo;unico modo per duplicare le tue carte senza rischiare la sospensione dell&sbquo;account!,Sbloccata completando la Sfida di Classe del Mago a Naxxramas.,Mage,,,
,Curse of Naxxramas,Eruzione,<b>Potere Eroe</b>Infligge 2 danni al servitore nemico più a sinistra.,,1,,Hero Power,NAX5_02,,,,,,,,,,
,Curse of Naxxramas,Eruzione,<b>Potere Eroe</b>Infligge 3 danni al servitore nemico più a sinistra.,,0,,Hero Power,NAX5_02H,,,,,,,,,,
,Curse of Naxxramas,Esplosione di Spore,Infligge $1 |4(dannodanni) a tutti i servitori nemici. Evoca una Spora.,,1,,Spell,NAX6_04,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Fabbro Scheletrico,<b>Rantolo di Morte:</b> distrugge l&sbquo;arma dell&sbquo;avversario.,4,3,3,Minion,NAXM_002,,,,,,,,,,
,Curse of Naxxramas,Faerlina la Vedova Nera,,,,30,Hero,NAX2_01,,,,,,,,,,
,Curse of Naxxramas,Faerlina la Vedova Nera,,,,45,Hero,NAX2_01H,,,,,,,,,,
,Curse of Naxxramas,Fanghiglia Tossica,,2,1,2,Minion,NAX11_03,,,,,,,,,,
,Curse of Naxxramas,Feugen,,4,5,7,Minion,NAX13_04H,,,Legendary,,,,,True,,
Deathrattle,Curse of Naxxramas,Feugen,<b>Rantolo di Morte:</b> se anche Stalagg è morto in questa partita evoca Thaddius.,4,5,7,Minion,FP1_015,True,Dany Orizio,Legendary,Può essere creata dopo aver completato l&sbquo;Ala dei Costrutti.,Feugen è triste perché tutti preferiscono Stalagg.,Sbloccata completando l&sbquo;Ala dei Costrutti.,,True,,
,Curse of Naxxramas,Fiore Mortale,Infligge $5 danni a un servitore nemico. Evoca una Spora.,,4,,Spell,NAX6_03,,,,,,,,,,
Deathrattle|Windfury,Curse of Naxxramas,Gancio,<b>Furia del Vento</b>. <b>Rantolo di Morte:</b> torna nella tua mano.,4,3,,Weapon,NAX10_02H,,,,,,,,,8,
Deathrattle,Curse of Naxxramas,Gancio,<b>Rantolo di Morte:</b> torna nella tua mano.,5,3,,Weapon,NAX10_02,,,,,,,,,8,
,Curse of Naxxramas,Gargoyle Pellepietrosa,All&sbquo;inizio del tuo turno rigenera la sua Salute al massimo.,1,3,4,Minion,FP1_027,True,Matt Smith,Common,Può essere creata dopo aver sconfitto Noth l&sbquo;Araldo della Piaga nell&sbquo;Ala della Pestilenza.,I Gargoyle Pellepietrosa adorano giocare a &bdquo;Un due tre stella&bdquo;!,Sbloccata sconfiggendo Noth l&sbquo;Araldo della Piaga nell&sbquo;Ala della Pestilenza.,,,,
Freeze,Curse of Naxxramas,Gelo Puro,Infligge $8 danni all&sbquo;eroe nemico e lo <b>Congela</b>.,,5,,Spell,NAX14_04,,,,,,,,,,
Deathrattle|Taunt,Curse of Naxxramas,Ghoul Instabile,<b>Provocazione</b>. <b>Rantolo di Morte:</b> infligge 1 danno a TUTTI i servitori.,1,2,3,Minion,FP1_024,True,Mike Nicholson,Common,Può essere creata dopo aver sconfitto Heigan l&sbquo;Impuro nell&sbquo;Ala della Pestilenza.,Riempire i Ghoul con carburante per razzi va molto di moda nella scuola per Negromanti.,Sbloccata sconfiggendo Heigan l&sbquo;Impuro nell&sbquo;Ala della Pestilenza.,,,,
,Curse of Naxxramas,Gluth,,,,45,Hero,NAX12_01H,,,,,,,,,,
,Curse of Naxxramas,Gluth,,,,30,Hero,NAX12_01,,,,,,,,,,
,Curse of Naxxramas,Gothik il Falciatore,,,,45,Hero,NAX8_01H,,,,,,,,,,
,Curse of Naxxramas,Gothik il Falciatore,,,,30,Hero,NAX8_01,,,,,,,,,,
,Curse of Naxxramas,Grobbulus,,,,45,Hero,NAX11_01H,,,,,,,,,,
,Curse of Naxxramas,Grobbulus,,,,30,Hero,NAX11_01,,,,,,,,,,
Taunt,Curse of Naxxramas,Guardiano del Gelo,<b>Provocazione</b>,5,4,5,Minion,NAX15_03t,,,,,,,,,,
Taunt,Curse of Naxxramas,Guardiano del Gelo,<b>Provocazione</b>,3,4,3,Minion,NAX15_03n,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Guerriero Inarrestabile,<b>Rantolo di Morte:</b> evoca un Guerriero Spettrale sotto il controllo dell&sbquo;avversario.,3,3,4,Minion,NAX8_04,,,,,,,,,,
,Curse of Naxxramas,Guerriero Spettrale,All&sbquo;inizio del tuo turno infligge 1 danno al tuo eroe.,0,3,4,Minion,NAX8_04t,,,,,,,,,,
,Curse of Naxxramas,Heigan l&sbquo;Impuro,,,,45,Hero,NAX5_01H,,,,,,,Warlock,,,
,Curse of Naxxramas,Heigan l&sbquo;Impuro,,,,30,Hero,NAX5_01,,,,,,,Warlock,,,
,Curse of Naxxramas,Iniezione Mutante,+4/+4 e <b>Provocazione</b> a un servitore.,,3,,Spell,NAX11_04,,,,,,,,,,
,Curse of Naxxramas,Iniezione Mutante,+4/+4 e <b>Provocazione</b>.,,,,Enchantment,NAX11_04e,,,,,,,,,,
,Curse of Naxxramas,Intruso!,,,,,Enchantment,NAX15_01e,,,,,,,,,,
,Curse of Naxxramas,Intruso!,,,,,Enchantment,NAX15_01He,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Invocatore del Vuoto,<b>Rantolo di Morte:</b> mette sul campo di battaglia un Demone casuale dalla tua mano.,3,4,4,Minion,FP1_022,True,Robb Shoberg,Common,Può essere creata dopo aver completato la Sfida di Classe dello Stregone a Naxxramas.,&bdquo;Vuoto! Ehi Vuoto! Vieni qui bello!&bdquo;,Sbloccata completando la Sfida di Classe dello Stregone a Naxxramas.,Warlock,,,Demon
,Curse of Naxxramas,Istruttore Razuvious,,,,40,Hero,NAX7_01,,,,,,,,,,
,Curse of Naxxramas,Istruttore Razuvious,,,,55,Hero,NAX7_01H,,,,,,,,,,
,Curse of Naxxramas,Kel&sbquo;Thuzad,,,,30,Hero,NAX15_01,,,,,,,,,,
,Curse of Naxxramas,Kel&sbquo;Thuzad,Alla fine di ogni turno evoca tutti i tuoi servitori morti durante quel turno.,6,8,8,Minion,FP1_013,True,Chris Robinson,Legendary,Può essere creata dopo aver sconfitto tutti i boss di Naxxramas!,Kel&sbquo;Thuzad non ha potuto resistere alla chiamata del Re dei Lich anche se era un&sbquo;intercontinentale a carico del destinatario.,Sbloccata sconfiggendo tutti i boss di Naxxramas!,,True,,
,Curse of Naxxramas,Kel&sbquo;Thuzad,,,,45,Hero,NAX15_01H,,,,,,,,,,
,Curse of Naxxramas,Lama Runica,+6 Attacco se gli altri Cavalieri dell&sbquo;Apocalisse sono morti.,2,3,,Weapon,NAX9_05H,,,,,,,,,3,
,Curse of Naxxramas,Lama Runica,+3 Attacco se gli altri Cavalieri dell&sbquo;Apocalisse sono morti.,1,3,,Weapon,NAX9_05,,,,,,,,,3,
,Curse of Naxxramas,Lama Runica Massiccia,Infligge il doppio dei danni agli eroi.,10,3,,Weapon,NAX7_04H,,,,,,,,,2,
,Curse of Naxxramas,Lama Runica Massiccia,Infligge il doppio dei danni agli eroi.,5,3,,Weapon,NAX7_04,,,,,,,,,2,
Battlecry,Curse of Naxxramas,Loatheb,<b>Grido di Battaglia:</b> nel turno successivo le Magie del nemico costano (5) Mana in più.,5,5,5,Minion,FP1_030,True,Samwise,Legendary,Può essere creata dopo aver completato l&sbquo;Ala della Pestilenza.,Loatheb un tempo era una Bestia della Palude. È per questo che sono richieste regole più severe sull&sbquo;estrazione e l&sbquo;agricoltura.,Sbloccata completando l&sbquo;Ala della Pestilenza.,,True,,
,Curse of Naxxramas,Loatheb,,,,75,Hero,NAX6_01,,,,,,,,,,
,Curse of Naxxramas,Loatheb,,,,99,Hero,NAX6_01H,,,,,,,,,,
Poisonous,Curse of Naxxramas,Maexxna,Distrugge qualsiasi servitore danneggiato da questo servitore.,2,6,8,Minion,FP1_010,True,Howard Lyon,Legendary,Può essere creata dopo aver completato l&sbquo;Ala degli Aracnidi.,Maexxna si arrabbia quando la chiamano &bdquo;Maxina&bdquo; o &bdquo;Maxxy&bdquo;.,Sbloccata completando l&sbquo;Ala degli Aracnidi.,,True,,Beast
,Curse of Naxxramas,Maexxna,,,,45,Hero,NAX3_01H,,,,,,,,,,
,Curse of Naxxramas,Maexxna,,,,30,Hero,NAX3_01,,,,,,,,,,
,Curse of Naxxramas,Marchio dell&sbquo;Apocalisse,+1/+1.,,,,Enchantment,NAX9_07e,,,,,,,,,,
,Curse of Naxxramas,Marchio dell&sbquo;Apocalisse,+1/+1 ai tuoi servitori e alla tua arma.,,5,,Spell,NAX9_07,,,,,,,,,,
,Curse of Naxxramas,Mascelle,Ottiene +2 Attacco quando muore un servitore con <b>Rantolo di Morte</b>.,3,1,,Weapon,NAX12_03H,,,,,,,,,5,
,Curse of Naxxramas,Mascelle,Ottiene +2 Attacco quando muore un servitore con <b>Rantolo di Morte</b>.,1,1,,Weapon,NAX12_03,,,,,,,,,5,
Deathrattle,Curse of Naxxramas,Masticatore Zombi,<b>Rantolo di Morte:</b> rigenera 5 Salute all&sbquo;eroe nemico.,2,1,3,Minion,FP1_001,True,E. M. Gist,Common,Può essere creata dopo aver sconfitto Gluth nell&sbquo;Ala dei Costrutti.,Zombi. Il piatto del giorno.,Sbloccata sconfiggendo Gluth nell&sbquo;Ala dei Costrutti.,,,,
Taunt,Curse of Naxxramas,Melma,<b>Provocazione</b>,1,1,2,Minion,FP1_012t,,,,,,,,,,
Battlecry,Curse of Naxxramas,Melma Echeggiante,<b>Grido di Battaglia:</b> alla fine del turno evoca una copia esatta di questo servitore.,1,2,2,Minion,FP1_003,True,Eric Browning,Epic,Può essere creata dopo aver sconfitto Zaffirion nell&sbquo;Antro del Gelo.,MELMA... melma... melma... (melma...),Sbloccata sconfiggendo Zaffirion nell&sbquo;Antro del Gelo.,,,,
,Curse of Naxxramas,Mietitura,<b>Potere Eroe</b>Pesca una carta.,,2,,Hero Power,NAX8_02,,,,,,,,,,
,Curse of Naxxramas,Mietitura,<b>Potere Eroe</b>Pesca una carta e ottiene 1 Cristallo di Mana.,,1,,Hero Power,NAX8_02H,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Morso della Morte,<b>Rantolo di Morte:</b> infligge 1 danno a TUTTI i servitori.,4,4,,Weapon,FP1_021,True,Jim Nelson,Common,Può essere creata dopo aver completato la Sfida di Classe del Guerriero a Naxxramas.,Quasi terribile quanto il Morso della Fame...,Sbloccata completando la Sfida di Classe del Guerriero a Naxxramas.,Warrior,,2,
Deathrattle,Curse of Naxxramas,Necrocavaliere,<b>Rantolo di Morte:</b> distrugge i servitori adiacenti.,5,4,6,Minion,NAXM_001,,,,,,,,,,
Charge|Deathrattle,Curse of Naxxramas,Nerodestriero,<b>Carica</b>. <b>Rantolo di Morte:</b> infligge 3 danni al tuo eroe.,2,1,3,Minion,FP1_006,,,,,,,,,,
,Curse of Naxxramas,Nerubiano,,3,2,1,Minion,NAX1_03,,,,,,,,,,
,Curse of Naxxramas,Nerubiano,,4,2,4,Minion,NAX1h_03,,,,,,,,,,
,Curse of Naxxramas,Nerubiano,,4,3,4,Minion,FP1_007t,,,Rare,,,,,,,
,Curse of Naxxramas,Noth l&sbquo;Araldo della Piaga,,,,45,Hero,NAX4_01H,,,,,,,Mage,,,
,Curse of Naxxramas,Noth l&sbquo;Araldo della Piaga,,,,30,Hero,NAX4_01,,,,,,,Mage,,,
,Curse of Naxxramas,Nube di Veleno,<b>Potere Eroe</b>Infligge 2 danni a tutti i nemici ed evoca una Fanghiglia per ogni servitore morto.,,0,,Hero Power,NAX11_02H,,,,,,,,,,
,Curse of Naxxramas,Nube di Veleno,<b>Potere Eroe</b>Infligge 1 danno a TUTTI i servitori ed evoca una Fanghiglia per ogni servitore morto.,,2,,Hero Power,NAX11_02,,,,,,,,,,
Stealth,Curse of Naxxramas,Ombra di Naxxramas,<b>Furtività</b>. All&sbquo;inizio del tuo turno ottiene +1/+1.,2,3,2,Minion,FP1_005,True,Ittoku Seta,Epic,Può essere creata dopo aver sconfitto Kel&sbquo;Thuzad nell&sbquo;Antro del Gelo.,Le Ombre di Naxxramas <i>odiano</i> i vivi. Hanno perfino coniato un termine dispregiativo per riferirsi a essi: <i>vividi</i>.,Sbloccata sconfiggendo Kel&sbquo;Thuzad nell&sbquo;Antro del Gelo.,,,,
,Curse of Naxxramas,Ombra Empia,<b>Potere Eroe</b>Pesca 2 carte.,,5,,Hero Power,NAX9_06,,,,,,,,,,
,Curse of Naxxramas,Pestilenza,Distrugge TUTTI i servitori che non sono Scheletri.,,6,,Spell,NAX4_05,,,,,,,,,,
,Curse of Naxxramas,Pezzacarne,,,,30,Hero,NAX10_01,,,,,,,,,,
,Curse of Naxxramas,Pezzacarne,,,,45,Hero,NAX10_01H,,,,,,,,,,
,Curse of Naxxramas,Pietra del Controllo,Prendi il controllo degli Allievi.,,1,,Spell,NAX7_05,,,,,,,,,,
ImmuneToSpellpower,Curse of Naxxramas,Pioggia di Fuoco,<b>Potere Eroe</b>Infligge 1 danno a un nemico casuale per ogni carta nella mano dell&sbquo;avversario.,,2,,Hero Power,NAX2_03,,,,,,,,,,
ImmuneToSpellpower,Curse of Naxxramas,Pioggia di Fuoco,<b>Potere Eroe</b>Infligge 1 danno a un nemico casuale per ogni carta nella mano dell&sbquo;avversario.,,1,,Hero Power,NAX2_03H,,,,,,,,,,
,Curse of Naxxramas,Polarità,Attacco e Salute scambiati.,,,,Enchantment,NAX13_02e,,,,,,,,,,
,Curse of Naxxramas,Potere della Ziggurat,+3 Salute.,,,,Enchantment,FP1_023e,,,,,,,Priest,,,
,Curse of Naxxramas,Proliferazione,<b>Potere Eroe</b>Evoca un Nerubiano 4/4.,,2,,Hero Power,NAX1h_04,,,,,,,,,,
,Curse of Naxxramas,Proliferazione,<b>Potere Eroe</b>Evoca un Nerubiano 3/1.,,2,,Hero Power,NAX1_04,,,,,,,,,,
,Curse of Naxxramas,Rabbia,+6 Attacco al tuo eroe per questo turno.,,3,,Spell,NAX12_04,,,,,,,,,,
OneTurnEffect,Curse of Naxxramas,Rabbia,+6 Attacco per questo turno.,,,,Enchantment,NAX12_04e,,,,,,,,,,
,Curse of Naxxramas,Ragnatela Avvolgente,<b>Potere Eroe</b>Fa tornare un servitore nemico casuale nella mano dell&sbquo;avversario.,,3,,Hero Power,NAX3_02,,,,,,,,,,
,Curse of Naxxramas,Ragnatela Avvolgente,<b>Potere Eroe</b>Fa tornare due servitori nemici casuali nella mano dell&sbquo;avversario.,,0,,Hero Power,NAX3_02H,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Ragno Infestato,<b>Rantolo di Morte:</b> evoca due Ragni Spettrali 1/1.,1,2,2,Minion,FP1_002,True,Jeremy Cranford,Common,Può essere creata dopo aver sconfitto Anub&sbquo;rekhan nell&sbquo;Ala degli Aracnidi.,Aracnophasmofobia: paura dei ragni fantasma.,Sbloccata sconfiggendo Anub&sbquo;rekhan nell&sbquo;Ala degli Aracnidi.,,,,Beast
,Curse of Naxxramas,Ragno Spettrale,,1,1,1,Minion,FP1_002t,,,,,,,,,,
,Curse of Naxxramas,Reincarnazione,Distrugge un servitore e lo riporta in vita con la Salute al massimo.,,2,,Spell,FP1_025,True,Dan Scott,Common,Può essere creata dopo aver completato la Sfida di Classe dello Sciamano a Naxxramas.,Spera solo di non reincarnarti in uno scarafaggio.,Sbloccata completando la Sfida di Classe dello Sciamano a Naxxramas.,Shaman,,,
,Curse of Naxxramas,Rianima Cadavere,<b>Potere Eroe Passivo</b>Quando un servitore nemico muore evoca uno Scheletro 1/1.,,0,,Hero Power,NAX4_04,,,,,,,,,,
,Curse of Naxxramas,Rianima Cadavere,<b>Potere Eroe Passivo</b>Quando un servitore nemico muore evoca uno Scheletro 5/5.,,0,,Hero Power,NAX4_04H,,,,,,,,,,
,Curse of Naxxramas,Richiamo Oscuro,Statistiche aumentate.,,,,Enchantment,FP1_028e,,,,,,,,,,
Secret,Curse of Naxxramas,Ritorsione,<b>Segreto:</b> quando un tuo servitore muore fornisce +3/+2 a un altro tuo servitore casuale.,,1,,Spell,FP1_020,True,Zoltan & Gabor,Common,Può essere creata dopo aver completato la Sfida di Classe del Paladino a Naxxramas.,La vendetta è un piatto che va servito... subito!,Sbloccata completando la Sfida di Classe del Paladino a Naxxramas.,Paladin,,,
,Curse of Naxxramas,Scheletro,,1,1,1,Minion,NAX4_03,,,,,,,,,,
,Curse of Naxxramas,Scheletro,,5,5,5,Minion,NAX4_03H,,,,,,,,,,
,Curse of Naxxramas,Schiavo di Kel&sbquo;Thuzad,MIO!,,,,Enchantment,NAX15_04a,,,,,,,,,,
,Curse of Naxxramas,Sciame di Locuste,Infligge $3 danni a tutti i servitori nemici. Rigenera #3 Salute al tuo eroe.,,7,,Spell,NAX1_05,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Scienziato Pazzo,<b>Rantolo di Morte:</b> mette in gioco un <b>Segreto</b> dal tuo mazzo.,2,2,2,Minion,FP1_004,True,James Ryman,Common,Può essere creata dopo aver sconfitto Grobbulus nell&sbquo;Ala dei Costrutti.,Sua madre voleva che diventasse un Mago o uno Stregone ma no... è voluto diventare uno scienziato come suo padre.,Sbloccata sconfiggendo Grobbulus nell&sbquo;Ala dei Costrutti.,,,,
,Curse of Naxxramas,Semi Venefici,Distrugge TUTTI i servitori ed evoca al loro posto dei Treant 2/2.,,4,,Spell,FP1_019,True,Brian Despain,Common,Può essere creata dopo aver completato la Sfida di Classe del Druido a Naxxramas.,Incredibile a dirsi ma i panini ai Semi Venefici vanno a ruba a Naxxramas.,Sbloccata completando la Sfida di Classe del Druido a Naxxramas.,Druid,,,
,Curse of Naxxramas,Ser Zeliek,Il tuo eroe è <b>Immune</b>.,1,3,7,Minion,NAX9_04,,,,,,,,True,,
,Curse of Naxxramas,Ser Zeliek,Il tuo eroe è <b>Immune</b>.,2,3,7,Minion,NAX9_04H,,,,,,,,True,,
,Curse of Naxxramas,Signor Bigolo,<i>Questo è il gatto di Kel&sbquo;Thuzad.</i>,1,0,1,Minion,NAX15_05,,,Legendary,,,,,True,,Beast
Deathrattle|Taunt,Curse of Naxxramas,Signore della Morte,<b>Provocazione</b>. <b>Rantolo di Morte:</b> l&sbquo;avversario mette sul campo di battaglia un servitore casuale dal suo mazzo.,2,3,8,Minion,FP1_009,True,Ben Olson,Rare,Può essere creata dopo aver sconfitto i Cavalieri dell&sbquo;Apocalisse nell&sbquo;Ala dei Combattenti.,&bdquo;Risorgi dalla fossa!&bdquo; - Kel&sbquo;Thuzad,Sbloccata sconfiggendo i Cavalieri dell&sbquo;Apocalisse nell&sbquo;Ala dei Combattenti.,,,,
Aura,Curse of Naxxramas,Signore delle Tele,I servitori con <b>Grido di Battaglia</b> costano (2) Mana in più.,1,2,4,Minion,FP1_017,True,Alex Horley Orlandelli,Common,Può essere creata dopo aver sconfitto Faerlina la Vedova Nera nell&sbquo;Ala degli Aracnidi.,Può sembrare strano ma l&sbquo;hobby preferito dei Signori delle Tele è dipingere...,Sbloccata sconfiggendo Faerlina la Vedova Nera nell&sbquo;Ala degli Aracnidi.,,,,
,Curse of Naxxramas,Soffio di Ghiaccio,<b>Potere Eroe</b>Distrugge tutti i servitori nemici non <b>Congelati</b>.,,0,,Hero Power,NAX14_02,,,,,,,,,,
,Curse of Naxxramas,Sovraccarico,+2 Salute ai tuoi servitori.,,2,,Spell,NAX13_03,,,,,,,,,,
