SET,NAME,TEXT,TYPE,ID,PLAYERCLASS,COLLECTIBLE,ARTIST,RARITY,COST,FLAVOR,ATTACK,HEALTH,RACE,MECHANICS,ELITE,DURABILITY
Goblins vs Gnomes,Bombarolo Più Pazzo,<b>Grido di Battaglia:</b> infligge 6 danni suddivisi casualmente tra TUTTI gli altri personaggi.,Minion,GVG_090,,True,Alex Horley Orlandelli,Rare,5,Come se il suo predecessore non fosse già abbastanza pericoloso.,5,4,,Battlecry,,
Goblins vs Gnomes,Bruto Ogre,Probabilità del 50% di attaccare il nemico sbagliato.,Minion,GVG_065,,True,Vinod Rams,Common,3,Gli Ogre non sono noti per la loro memoria ferrea.,4,4,,,,
Goblins vs Gnomes,Cannone Nautico,Quando giochi un Pirata infligge 2 danni a un nemico casuale.,Minion,GVG_075,,True,Warren Mahy,Common,2,Se senti qualcuno urlare &bdquo;A bomba!&bdquo; stai per essere bagnato. O spiaccicato.,2,3,,,,
Goblins vs Gnomes,Carroragno,,Minion,GVG_044,,True,Dany Orizio,Common,3,Cosa ne dite se ci aggiungiamo dei cannoni? - Fizzblitz mentre osserva una Ragnomobile,3,4,Mech,,,
Goblins vs Gnomes,Castigo,Attacco aumentato.,Enchantment,GVG_063a,,,,,,,,,,,,
Goblins vs Gnomes,Cecchino Spargifumo,Il tuo Potere Eroe può essere usato sui servitori.,Minion,GVG_087,Hunter,True,Jun Kang,Epic,2,I Goblin di rado hanno la pazienza per fare i cecchini. Preferiscono metodi più... esplosivi.,2,3,,,,
Goblins vs Gnomes,Commutatore,Scambia Attacco e Salute di un servitore.,Spell,PART_006,,,Nutthapon Petthai,,1,,,,,,,
Goblins vs Gnomes,Corno Arrugginito,Fornisce <b>Provocazione</b> a un servitore.,Spell,PART_003,,,Peerasak Senalai,,1,,,,,,,
Goblins vs Gnomes,Crepitio,Infligge da $3 a $6 danni. <b>Sovraccarico:</b> (1),Spell,GVG_038,Shaman,True,Warren Mahy,Common,2,Funziona bene anche per far smettere la gente di parlare al telefono.,,,,,,
Goblins vs Gnomes,Cuore Demoniaco,Infligge $5 danni a un servitore. Se il bersaglio è un tuo Demone gli fornisce +5/+5.,Spell,GVG_019,Warlock,True,Kerem Beyit,Epic,5,Praticamente tutti i membri dell&sbquo;Associazione per la Protezione dei Demoni sono Stregoni. Che strano.,,,,,,
Goblins vs Gnomes,Cuore Demoniaco,+5/+5.,Enchantment,GVG_019e,Warlock,,,,,,,,,,,
Goblins vs Gnomes,Curabot Antico,<b>Grido di Battaglia:</b> rigenera 8 Salute al tuo eroe.,Minion,GVG_069,,True,Jesper Esjing,Common,5,Non se ne trovano più come una volta... principalmente perché sono tutti esplosi.,3,3,Mech,Battlecry,,
Goblins vs Gnomes,Dono di Carte,Ogni giocatore pesca una carta.,Spell,GVG_032b,Druid,,,,,,,,,,,
Goblins vs Gnomes,Dono di Mana,Ogni giocatore ottiene 1 Cristallo di Mana.,Spell,GVG_032a,Druid,,,,,,,,,,,
Goblins vs Gnomes,Dott. Boom,<b>Grido di Battaglia:</b> evoca due Robobombe 1/1. <i>ATTENZIONE: le Robobombe possono esplodere.</i>,Minion,GVG_110,,True,Alex Garner,Legendary,7,Esperto in esplosioni!,7,7,,Battlecry,True,
Goblins vs Gnomes,Driade dei Boschi,<b>Scegli:</b> fornisce 1 Cristallo di Mana a ogni giocatore <b>o</b> ogni giocatore pesca una carta.,Minion,GVG_032,Druid,True,Chris Rahn,Rare,3,Ama le passeggiate nei boschi odia i Segatronchi e i sandali... non ne trova mai un modello che le vada bene.,2,4,,,,
Goblins vs Gnomes,Druido della Zanna,<b>Grido di Battaglia:</b> si trasforma in un servitore 7/7 se controlli una Bestia.,Minion,GVG_080,Druid,True,Brandon Kitkouski,Common,5,I Druidi della Zanna vivono nella Caverna dei Lamenti. Indossano camicie pitonate raccontano barzellette sui serpenti e ascoltano la musica ad alto volume.,4,4,,Battlecry,,
Goblins vs Gnomes,Druido della Zanna,,Minion,GVG_080t,Druid,,Massive Black,,5,,7,7,Beast,,,
Goblins vs Gnomes,Eco di Medivh,Mette una copia di ogni tuo servitore sul campo di battaglia nella tua mano.,Spell,GVG_005,Mage,True,Alex Garner,Epic,4,L&sbquo;Eco di Medivh infesta Karazhan eternamente pronta a imbrogliare a Scacchi e a Hearthstone.,,,,,,
Goblins vs Gnomes,Epuratore Scarlatto,<b>Grido di Battaglia:</b> infligge 2 danni a TUTTI i servitori con <b>Rantolo di Morte</b>.,Minion,GVG_101,Paladin,True,Anton Zemskov,Rare,3,La Crociata Scarlatta sta facendo un&sbquo;inchiesta di mercato per scoprire se il nome &bdquo;Crociata Malva&bdquo; otterrebbe maggiore consenso.,4,3,,Battlecry,,
Goblins vs Gnomes,Fante di Gnomeregan,<b>Carica</b>. <b>Provocazione</b>.,Minion,GVG_098,,True,Zoltan & Gabor,Common,3,Gli Gnomi non temono il pericolo e sono pronti a tutto per tornare nella loro claustrofobica e radioattiva patria!,1,4,,Charge|Taunt,,
Goblins vs Gnomes,Fastidiobot,<b>Provocazione</b>. <b>Scudo Divino</b>.,Minion,GVG_085,,True,Matt Dixon,Common,2,L&sbquo;inventore del Fastidiobot è stato prontamente cacciato dalla scuola di Rabberciopoli ed esiliato dai Regni Orientali.,1,2,Mech,Divine Shield|Taunt,,
Goblins vs Gnomes,Folgoratic Rotante,<b>Furia del Vento</b>,Minion,GVG_037,Shaman,True,Jim Nelson,Common,2,Con un piccolo extra lo si può ottenere di colore rosso ciliegia.,3,2,Mech,Windfury,,
Goblins vs Gnomes,Gahz&sbquo;rilla,Quando subisce danni il suo Attacco raddoppia.,Minion,GVG_049,Hunter,True,Raymond Swanland,Legendary,7,L&sbquo;arroganza dei Troll è pensare che &sbquo;a natura sia sotto &sbquo;o controllo loro e nun l&sbquo;esatto contrario. - Uno studioso di Sen&sbquo;jin,6,9,Beast,,True,
Goblins vs Gnomes,Gallina,,Minion,GVG_092t,,,,,1,,1,1,Beast,,,
Goblins vs Gnomes,Gattorso Robot,Quando subisce danni mette nella tua mano una carta <b>Gadget</b>.,Minion,GVG_034,Druid,True,Trent Kaniuga,Rare,6,Metà gatto metà orso: completamente robot!,7,6,Mech,,,
Goblins vs Gnomes,Geniere Goblin,Ha +4 Attacco fintanto che l&sbquo;avversario ha 6 o più carte in mano.,Minion,GVG_095,,True,Jesper Esjing,Rare,3,È meglio disinnescare o far brillare gli esplosivi? Non conviene chiedere il suo parere al riguardo.,2,4,,Aura,,
Goblins vs Gnomes,Gigante Meccanico,Costa (1) Mana in meno per ogni carta nella mano dell&sbquo;avversario.,Minion,GVG_121,,True,Dan Scott,Epic,12,Non va per niente d&sbquo;accordo con il Gigante di Montagna.,8,8,Mech,,,
Goblins vs Gnomes,Gnomo Aggiustatutto,<b>Grido di Battaglia:</b> ottiene +1/+1 e mette nella tua mano una carta <b>Gadget</b> se controlli un Robot.,Minion,GVG_102,,True,Gabor Szikszai,Common,3,Il suo concetto di &bdquo;aggiustato&bdquo; potrebbe non coincidere con il tuo...,3,3,,Battlecry,,
Goblins vs Gnomes,Gnomo Meccanico,<b>Rantolo di Morte:</b> mette nella tua mano una carta <b>Gadget</b>.,Minion,GVG_082,,True,Matt Dixon,Common,1,Quando gli Gnomi Meccanici muoiono vogliono essere... cromati.,2,1,Mech,Deathrattle,,
Goblins vs Gnomes,Golem dell&sbquo;Anima,Alla fine di ogni turno distruggi questo servitore se è l&sbquo;unico che controlli.,Minion,GVG_077,Warlock,True,Josh Harris,Epic,6,L&sbquo;Animus Oscuro è cattivo e misterioso e grande e incapace di scrivere rispettando le più elementari regole grammaticali.,9,9,Mech,,,
Goblins vs Gnomes,Guardia di Cobalto,Ottiene <b>Scudo Divino</b> quando giochi un Robot.,Minion,GVG_062,Paladin,True,Jim Nelson,Rare,5,La serie &bdquo;Guardia&bdquo; è stata prodotta per anni in adamantio fino a quando non hanno spostato la produzione a Meccania dove il cobalto è più a buon mercato.,6,3,Mech,,,
Goblins vs Gnomes,Hemet Nesingwary,<b>Grido di Battaglia:</b> distrugge una Bestia.,Minion,GVG_120,,True,Ralph Horsley,Legendary,5,Non è facile guadagnarsi da vivere facendo il cacciatore in un mondo dove le bestie riappaiono poco dopo che le hai uccise.,6,3,,Battlecry,True,
Goblins vs Gnomes,Hobgoblin,Quando giochi un servitore con 1 Attacco gli fornisce +2/+2.,Minion,GVG_104,,True,Laurel D. Austin,Epic,3,Gli Hobgoblin si riuniranno la settimana prossima per discutere delle cure mediche. Al primo posto i rimborsi dentistici.,2,3,,,,
Goblins vs Gnomes,Illuminatrice,Se controlli un <b>Segreto</b> alla fine del tuo turno rigenera 4 Salute al tuo eroe.,Minion,GVG_089,,True,Jim Nelson,Rare,3,Non dicono &bdquo;LUMOS!&bdquo;. Non siamo mica a Hogwarts.,2,4,,,,
Goblins vs Gnomes,Imp,,Minion,GVG_045t,Warlock,,,,1,,1,1,Demon,,,
Goblins vs Gnomes,Imp-losione,Infligge da $2 a $4 danni a un servitore. Evoca un Imp 1/1 per ogni danno inflitto.,Spell,GVG_045,Warlock,True,Jaemin Kim,Rare,4,Tutti sanno che le schegge sono l&sbquo;elemento più pericoloso delle esplosioni.,,,,,,
Goblins vs Gnomes,Inseguitore Branclin,<b>Furtività</b>,Minion,GVG_081,,True,Seamus Gallagher,Common,2,&bdquo;Shhh mi sembra di aver sentito qualcosa.&bdquo;&bdquo;Mah sarà stata la tua immaginazione.&bdquo; - Le ultime parole di ogni sentinella,2,3,,Stealth,,
Goblins vs Gnomes,Lama Rimbalzante,Infligge $1 |4(dannodanni) a un servitore casuale. Continua fin quando un servitore non muore.,Spell,GVG_050,Warrior,True,Andrew Hou,Epic,3,Solo i Goblin potevano pensare che fosse una buona idea. E anche loro iniziano ad avere dubbi.,,,,,,
Goblins vs Gnomes,Lame Turbinanti,+1 Attacco a un servitore.,Spell,PART_007,,,Nutchapol Thitinunthakorn,,1,,,,,,,
Goblins vs Gnomes,Lame Turbinanti,+1 Attacco.,Enchantment,PART_007e,,,,,,,,,,,,
Goblins vs Gnomes,Lamiera Energizzata,+2/+2.,Enchantment,GVG_055e,Warrior,,,,,,,,,,,
Goblins vs Gnomes,Lanciatore di Bombe,<b>Grido di Battaglia:</b> infligge 4 danni a un servitore nemico casuale.,Minion,GVG_099,,True,Luca Zontini,Rare,5,Il suo è un lavoro pericoloso ma qualcuno deve pur farlo.,3,3,,Battlecry,,
Goblins vs Gnomes,Leviatano delle Fiamme,Quando peschi questa carta infligge 2 danni a TUTTI i personaggi.,Minion,GVG_007,Mage,True,Aleksi Briclot,Legendary,7,Mimiron adora guidare a tutta velocità il Leviatano delle Fiamme per i sentieri di Nordania.,7,7,Mech,,True,
Goblins vs Gnomes,Luce dei Naaru,Rigenera #3 Salute. Se il bersaglio è ancora danneggiato evoca una Custode della Luce.,Spell,GVG_012,Priest,True,Jesper Ejsing,Rare,1,&bdquo;L&sbquo;accendiamo!&bdquo; - Tipica espressione delle Custodi della Luce e dei Goblin muniti di Sputafiamme.,,,,,,
Goblins vs Gnomes,Lupo di Mare,,Minion,GVG_070,,True,Alex Horley Orlandelli,Common,5,Un tipo alquanto scorbutico praticamente scorbuto.,7,4,Pirate,,,
Goblins vs Gnomes,Macchina d&sbquo;Assedio,Ottiene +1 Attacco quando il tuo eroe ottiene Armatura.,Minion,GVG_086,Warrior,True,Zero Yue,Rare,5,L&sbquo;unica e inimitabile direttamente dalla Fortezza di Lungoinverno.,5,5,Mech,,,
Goblins vs Gnomes,Macchina Volante,<b>Furia del Vento</b>,Minion,GVG_084,,True,Matt Dixon,Common,3,Per poter funzionare è fondamentale la presenza di una Bambola di Hula. Nessun ingegnere ne ha ancora capito il motivo.,1,4,Mech,Windfury,,
Goblins vs Gnomes,Maglio degli Ogre,Probabilità del 50% di attaccare il nemico sbagliato.,Weapon,GVG_054,Warrior,True,Richard Wright,Common,3,Semplicistico difficile da impugnare e assolutamente pericoloso. Più o meno come tutte le creazioni degli Ogre.,4,,,,,2
Goblins vs Gnomes,Mal&sbquo;Ganis,Gli altri tuoi Demoni hanno +2/+2. Il tuo eroe è <b>Immune</b>.,Minion,GVG_021,Warlock,True,Wayne Reynolds,Legendary,9,Mal&sbquo;Ganis non ama essere tradito per cui si sconsiglia di sostituirlo all&sbquo;inizio di una partita.,9,7,Demon,Aura,True,
Goblins vs Gnomes,Malorne,<b>Rantolo di Morte:</b> torna nel tuo mazzo.,Minion,GVG_035,Druid,True,Oliver Chipping,Legendary,7,Quando Malorne non è impegnato a calpestare orde di demoni passa il suo tempo a impomatarsi le corna.,9,7,Beast,Deathrattle,True,
Goblins vs Gnomes,Manichino a Molla,<b>Provocazione</b>,Minion,GVG_093,,True,Matt Dixon,Rare,0,Ottimo anche per provare i completi di sartoria.,0,2,Mech,Taunt,,
Goblins vs Gnomes,Mastodonte di Ferro,<b>Grido di Battaglia:</b> mette una mina nel mazzo dell&sbquo;avversario. Quando viene pescata infligge 10 danni.,Minion,GVG_056,Warrior,True,Raymond Swanland,Legendary,6,Il Mastodonte di Ferro protegge Orgrimmar e ha recentemente ottenuto il premio di &bdquo;Impiegato del Mese&bdquo;!,6,5,Mech,Battlecry,True,
Goblins vs Gnomes,Mastro Riduttore,<b>Grido di Battaglia:</b> -2 Attacco a un altro servitore per questo turno.,Minion,GVG_011,Priest,True,Jim Nelson,Common,2,Dopo i problemi creati dall&sbquo;uso dell&sbquo;Allargamondo gli Gnomi diffidano delle invenzioni che modificano le dimensioni.,3,2,,Battlecry,,
Goblins vs Gnomes,Mazza Protonica,<b>Rantolo di Morte:</b> +2/+2 a un tuo Robot casuale.,Weapon,GVG_036,Shaman,True,Zoltan and Gabor,Rare,3,La gente crede che gli Sciamani controllino gli elementi ma in realtà devono chiedere le cose con gentilezza.,3,,,Deathrattle,,2
Goblins vs Gnomes,Meccanomazza,<b>Grido di Battaglia:</b> fornisce <b>Scudo Divino</b> e <b>Provocazione</b> a un tuo servitore casuale.,Weapon,GVG_059,Paladin,True,Danny Orizio,Epic,3,Hai staccato un pezzo da un marchingegno ci hai inciso sopra delle rune gli hai messo un manico e adesso è un&sbquo;arma dai poteri divini? Certo come no...,2,,,Battlecry,,3
Goblins vs Gnomes,Mekgeniere Termospin,Quando un servitore nemico muore evoca uno Gnomo Contaminato.,Minion,GVG_116,,True,Trent Kaniuga,Legendary,9,È stato ossessionato dagli esplosivi fin quando non ha scoperto l&sbquo;uncinetto. Ora urla: &bdquo;MAGLIONI PIÙ MAGLIONI!&bdquo;.,9,7,Mech,,True,
Goblins vs Gnomes,Micro-Macchina,Ottiene +1 Attacco all&sbquo;inizio di ogni turno.,Minion,GVG_103,,True,Skan Srisuwan,Common,2,Addirittura meglio dell&sbquo;originale.,1,2,Mech,,,
Goblins vs Gnomes,Mietinemici 4000,Danneggia anche i servitori adiacenti a quello attaccato.,Minion,GVG_113,,True,James Ryman,Legendary,8,Alla fin fine mietere i nemici non è diverso dal mietere i campi.,6,9,Mech,,True,
Goblins vs Gnomes,Mina Sotterranea,Quando viene pescata questa carta infligge 10 danni al tuo eroe. Pesca una carta.,Spell,GVG_056t,Warrior,,Chris Seaman,,0,,,,,ImmuneToSpellpower,,
Goblins vs Gnomes,Miniabiuratrice,I servitori adiacenti non possono essere il bersaglio di Magie o Poteri Eroe.,Minion,GVG_122,Mage,True,Jonboy Meyers,Epic,4,Il miglior regalo per i figli del tuo peggior nemico.,2,5,,Aura,,
Goblins vs Gnomes,Minibot Scudato,<b>Scudo Divino</b>,Minion,GVG_058,Paladin,True,Raymond Swanland,Common,2,Ha deciso di credere solo a ciò per cui è stato programmato!,2,2,Mech,Divine Shield,,
Goblins vs Gnomes,Minimago,<b>Furtività</b>. <b>+1 Danni Magici</b>.,Minion,GVG_109,,True,Ben Olson,Epic,4,Ogni tanto gli piace nascondersi nella cassa del tesoro dell&sbquo;Arena dei Gurubashi.,4,1,,Spellpower|Stealth,,
Goblins vs Gnomes,Mistica di Kezan,<b>Grido di Battaglia:</b> prendi il controllo di un <b>Segreto</b> casuale dell&sbquo;avversario.,Minion,GVG_074,,True,Jakub Kasper,Rare,4,Pretendono di essere sagge e illuminate ma in realtà si offendono se non sono rese partecipi dei segreti altrui.,4,3,,Battlecry,,
Goblins vs Gnomes,Modalità d&sbquo;Attacco,+1 Attacco.,Spell,GVG_030a,Druid,,,,,,,,,,,
Goblins vs Gnomes,Modalità d&sbquo;Attacco,+1 Attacco.,Enchantment,GVG_030ae,Druid,,,,,,,,,,,
Goblins vs Gnomes,Modalità di Difesa,+1 Salute.,Spell,GVG_030b,Druid,,,,,,,,,,,
Goblins vs Gnomes,Modalità di Difesa,+1 Salute.,Enchantment,GVG_030be,Druid,,,,,,,,,,,
Goblins vs Gnomes,Mogor l&sbquo;Ogre,TUTTI i servitori hanno una probabilità del 50% di attaccare il nemico sbagliato.,Minion,GVG_112,,True,Michal Ivan,Legendary,6,Mogor ha contribuito alla riapertura del Portale Oscuro. Sai di essere nei guai quando devi fare affidamento su un Ogre.,7,6,,,True,
Goblins vs Gnomes,Moneta di Gallywix,Fornisce 1 Cristallo di Mana solo per questo turno.<i>(Non attiva Gallywix)</i>,Spell,GVG_028t,,,,,0,,,,,,,
Goblins vs Gnomes,Morte Apparente,Tutti i tuoi servitori attivano il proprio <b>Rantolo di Morte</b>.,Spell,GVG_026,Hunter,True,Luca Zontini,Epic,2,Per rendere davvero convincente &bdquo;Morte Apparente&bdquo; bisogna riuscire a emettere il giusto odore. Richiede molto impegno.,,,,,,
Goblins vs Gnomes,Murloc Cavalcaspiriti,Quando un altro tuo Murloc muore pesca una carta. <b>Sovraccarico:</b> (1),Minion,GVG_040,Shaman,True,Clint Langley,Epic,4,Gli elementi rispondono a chiunque li richiami per una giusta causa anche se lo fa urlando &bdquo;MRGRGLGLGL!&bdquo;.,2,5,Murloc,,,
Goblins vs Gnomes,Neptulon,<b>Grido di Battaglia:</b> mette nella tua mano 4 Murloc casuali. <b>Sovraccarico:</b> (3),Minion,GVG_042,Shaman,True,Ruan Jia,Legendary,7,Neptulon è &bdquo;il Cacciatore delle Maree&bdquo; uno dei quattro Signori Elementali. Spesso si ritrova con Ragnaros per delle meravigliose saune.,7,7,,Battlecry,True,
Goblins vs Gnomes,Nullificatore X-21,<b>Provocazione</b>. Non può essere il bersaglio di Magie o Poteri Eroe.,Minion,GVG_091,,True,Zero Yue,Rare,4,I Maghi e gli Ingegneri Gnomi si sono contesi a lungo la proprietà intellettuale di questo robot.,2,5,Mech,Taunt,,
Goblins vs Gnomes,Occultato,Furtivo fino al tuo turno successivo.,Enchantment,PART_004e,,,,,,,,,,,,
Goblins vs Gnomes,Ogre Ninja,<b>Furtività</b>. Probabilità del 50% di attaccare il nemico sbagliato.,Minion,GVG_088,Rogue,True,Samwise,Rare,5,Non aveva tutti i requisiti per entrare nella scuola di Ninja ma suo padre aveva delle conoscenze altolocate.,6,6,,Stealth,,
Goblins vs Gnomes,Ombromante Torva,<b>Grido di Battaglia:</b> infligge 3 danni a entrambi gli eroi.,Minion,GVG_009,Priest,True,Matt Dixon,Epic,1,Gli Ombromanti fanno il proprio lavoro ma non perdono l&sbquo;occasione per guardarti storto.,2,1,,Battlecry,,
Goblins vs Gnomes,Orotron 3000,<b>Grido di Battaglia:</b> ogni giocatore equipaggia un&sbquo;arma casuale.,Minion,GVG_119,,True,Jomaro Kindred,Legendary,5,PREPARARE I SERVOCOMANDI PER UNA FESTA COI FIOCCHI.,3,4,Mech,Battlecry,True,
Goblins vs Gnomes,Orsetto Anodizzato,<b>Provocazione</b>. <b>Scegli:</b> +1 Attacco <b>o</b> +1 Salute.,Minion,GVG_030,Druid,True,Eva Widermann,Common,2,È adorabi... ODDIO MI STA SMANGIUCCHIANDO UNA MANO!,2,2,Mech,Taunt,False,
Goblins vs Gnomes,Osservatore,Ottiene +2/+2 quando il tuo eroe subisce danni nel tuo turno.,Minion,GVG_100,Warlock,True,Todd Lockwood,Common,5,Il nome originale era &bdquo;Truce Osservatore della Rovina&bdquo; ma il marketing ha ritenuto fosse troppo aggressivo.,4,4,Demon,,,
Goblins vs Gnomes,Pecora Esplosiva,<b>Rantolo di Morte:</b> infligge 2 danni a TUTTI i servitori.,Minion,GVG_076,,True,Ralph Horsley,Common,2,Qual è la logica? I nemici dovrebbero pensare &bdquo;Ma che bella pecorella!&bdquo; e avvicinarsi ad accarezzarla?,1,1,Mech,Deathrattle,,
Goblins vs Gnomes,Pestapaludi,,Minion,GVG_064,,True,Jaemin Kim,Common,2,Rende omaggio a Morgl il grande Oracolo Murloc. Chi non lo fa del resto?,3,2,Murloc,,,
Goblins vs Gnomes,Piccola Esorcista,<b>Provocazione</b>. <b>Grido di Battaglia:</b> ottiene +1/+1 per ogni servitore nemico con <b>Rantolo di Morte</b>.,Minion,GVG_097,,True,Jim Nelson,Rare,3,Gli Stregoni hanno sempre il numero dell&sbquo;Esorcista a portata di mano nel caso dovessero evocare il demone sbagliato.,2,3,,Battlecry|Taunt,,
Goblins vs Gnomes,Piegalamiere,<b>Grido di Battaglia:</b> +2/+2 a un altro tuo Robot.,Minion,GVG_055,Warrior,True,Jesper Esjing,Rare,4,Normalmente lavora in coppia con sua cugina la Stiralamiere.,2,5,Mech,Battlecry,,
Goblins vs Gnomes,Pistoni,Attacco aumentato.,Enchantment,GVG_076a,,,,,,,,,,,,
Goblins vs Gnomes,Placche Rinforzate,Attacco aumentato.,Enchantment,GVG_086e,Warrior,,,,,,,,,,,
Goblins vs Gnomes,Portale Instabile,Mette nella tua mano un servitore casuale. Il suo costo si riduce di (3) Mana.,Spell,GVG_003,Mage,True,Sean O&sbquo;Daniels,Rare,2,I cittadini di Azeroth non si immaginano quanto lavoro serva per stabilizzare un portale. Si spende quasi il 30% del PIL per il loro mantenimento.,,,,,,
Goblins vs Gnomes,Potenziabot,<b>Grido di Battaglia:</b> fornisce casualmente agli altri tuoi servitori <b>Furia del Vento</b> <b>Provocazione</b> o <b>Scudo Divino</b>.,Minion,GVG_107,,True,Zoltan Boros,Epic,4,I suoi potenziamenti sono tutti senza glutine!,3,2,Mech,Battlecry,,
Goblins vs Gnomes,Potenziato,+2/+2.,Enchantment,GVG_036e,Shaman,,,,,,,,,,,
Goblins vs Gnomes,Potere ai piccoli,+2/+2.,Enchantment,GVG_104a,,,,,,,,,,,,
Goblins vs Gnomes,Prescelto da Velen,Fornisce +2/+4 e <b>+1 Danni Magici</b> a un servitore.,Spell,GVG_010,Priest,True,Alex Horley Orlandelli,Common,3,Profeta non è lui il Prescelto? Colui che distruggerà la Legione e riporterà equilibrio nella Luce? - Accolito Draenei,,,,,,
Goblins vs Gnomes,Prescelto da Velen,+2/+4 e <b>+1 Danni Magici</b>.,Enchantment,GVG_010b,,,,,,,,,,,,
Goblins vs Gnomes,Principe Gallywix,Quando l&sbquo;avversario lancia una Magia ne ottieni una copia ma gli fornisci una Moneta.,Minion,GVG_028,Rogue,True,Wei Wang,Legendary,6,Gallywix crede nella domanda e nell&sbquo;offerta. Lui domanda una ricompensa e ottiene sempre un&sbquo;offerta!,5,8,,,True,
Goblins vs Gnomes,Purezza,Statistiche aumentate.,Enchantment,GVG_101e,Paladin,,,,,,,,,,,
Goblins vs Gnomes,Quartiermastro,<b>Grido di Battaglia:</b> fornisce +2/+2 alle tue Reclute Mano d&sbquo;Argento.,Minion,GVG_060,Paladin,True,Phroilan Gardner,Epic,5,Io sono il Quartiermastro vostro Capo Istruttore. Da questo momento potete parlare soltanto quando vi sarà richiesto e la prima e l&sbquo;ultima parola che dovrà uscire dalle vostre fogne sarà &bdquo;signore&bdquo;.,2,5,,Battlecry,,
Goblins vs Gnomes,Rabbia Cieca,Statistiche aumentate.,Enchantment,GVG_100e,Warlock,,,,,,,,,,,
Goblins vs Gnomes,Raggio Riduttore,-2 Attacco per questo turno.,Enchantment,GVG_011a,,,,,,,,,,OneTurnEffect,,
Goblins vs Gnomes,Re delle Bestie,<b>Provocazione</b>. <b>Grido di Battaglia:</b> ottiene +1 Attacco per ogni altra Bestia che controlli.,Minion,GVG_046,Hunter,True,Seamus Gallagher,Rare,5,Ogni mattina nelle Savane quando sorge il sole un leone si sveglia e sa che dovrà correre più dei servitori nemici o morirà di fame.,2,6,Beast,Battlecry|Taunt,,
Goblins vs Gnomes,Re Indiscusso,Attacco aumentato.,Enchantment,GVG_046e,Hunter,,,,,,,,,,,
Goblins vs Gnomes,Refrigerante Rapido,<b>Congela</b> un servitore.,Spell,PART_005,,,Peerasak Senalai,,1,,,,,Freeze,,
Goblins vs Gnomes,Regressore Temporale,Fa tornare un tuo servitore nella tua mano.,Spell,PART_002,,,Nutthapon Petthai,,1,,,,,,,
