MECHANICS,COLLECTIBLE,SET,NAME,FACTION,TEXT,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,TYPE,ID,PLAYERCLASS,ELITE,RACE,INPLAYTEXT,DURABILITY
,,Classic,Duch przodków,,<b>Agonia:</b> Przywróć tego stronnika na pole bitwy.,,,,,,,Enchantment,CS2_038e,Shaman,,,,
,True,Classic,Duch przodków,Neutral,Daj stronnikowi zdolność „<b>Agonia:</b> Przywróć tego stronnika na pole bitwy”.,Zoltan & Gabor,Rare,,2,,To była powierzchowna rana.,Spell,CS2_038,Shaman,,,,
Taunt,,Classic,Duchowy wilk,Neutral,<b>Prowokacja</b>,,Rare,2,2,3,,Minion,EX1_tk11,Shaman,,,,
,,Classic,Dusza kniei,,Agonia: Przyzwij Drzewca 2/2.,,,,,,,Enchantment,EX1_158e,Druid,,,,
,True,Classic,Dusza kniei,Neutral,Daj swoim stronnikom zdolność „<b>Agonia:</b> Przyzwij Drzewca 2/2”.,Markus Erdt,Common,,4,,Słowo „zalesienie” nagle nabiera przerażającego znaczenia.,Spell,EX1_158,Druid,,,,
Battlecry,True,Classic,Dziarski gorzelnik,Alliance,<b>Okrzyk bojowy:</b> Cofnij przyjaznego stronnika na twoją rękę.,Wei Wang,Common,3,2,2,Jego młodzieńczy entuzjazm nie zawsze idzie w parze z jakością trunków. Lepiej nie pij pasteryzowanego „Pandarena”!,Minion,EX1_049,,,,,
,True,Classic,Dziki duch,Neutral,Przyzwij dwa Duchowe wilki 2/3 z <b>Prowokacją</b>. <b>Przeciążenie:</b> (2),Clint Langley,Rare,,3,,Duchowe wilki wyglądają jak zwykłe tylko z pomponami.,Spell,EX1_248,Shaman,,,,
,True,Classic,Dziki piromanta,,Gdy rzucisz zaklęcie zadaj 1 pkt. obrażeń WSZYSTKIM stronnikom.,Alex Horley Orlandelli,Rare,3,2,2,Po godzinach dorabia jako strażak.,Minion,NEW1_020,,,,,
AffectedBySpellPower,True,Classic,Dzikość,Neutral,Zadaj stronnikowi obrażenia równe atakowi twojego bohatera.,Dave Rapoza,Rare,,1,,Druid dziki druid zły i ma bardzo ostre kły!,Spell,EX1_578,Druid,,,,
Combo,True,Classic,Edwin VanCleef,Neutral,<b>Kombinacja:</b> Otrzymuje +2/+2 za każdą kartę zagraną wcześniej w tej turze.,Efrem Palacios,Legendary,2,3,2,Dowodził murarzami którzy zrekonstruowali Wichrogród a kiedy szlachta odmówiła zapłaty założył bractwo Nieskornych żeby <i>zdekonstruować</i> Wichrogród.,Minion,EX1_613,Rogue,True,,,
,,Classic,Eksperymenty!,,Atak i zdrowie zostały zamienione przez szalonego alchemika.,,,,,,,Enchantment,EX1_059e,,,,,
,True,Classic,Eksplozja lawy,Neutral,Zadaj $5 pkt. obrażeń. <b>Przeciążenie:</b> (2),Dan Scott,Rare,,3,,„Lawa którą palisz mnieMagiczna siła boję się...”- fragment „Mojej Lawy” z szamańskiej listy przebojów,Spell,EX1_241,Shaman,,,,
,True,Classic,Eteryczny arkanista,,Otrzymuje +2/+2 jeśli pod koniec twojej tury kontrolujesz <b>Sekret</b>.,Michael Komarck,Rare,3,4,3,Eteryczni owijają się materiałem aby nadać kształt swoim bezcielesnym postaciom. No i lubią jak im miękko i cieplutko.,Minion,EX1_274,Mage,False,,,
,,Classic,Finkosz Rogoźnik,Neutral,,,Legendary,3,2,3,,Minion,EX1_finkle,,True,,,
,True,Classic,Flara,Neutral,Wszyscy stronnicy tracą <b>Ukrycie</b>. Zniszcz wszystkie wrogie <b>Sekrety</b>. Dobierz kartę.,Tyler Walpole,Rare,,2,,Nie tylko ujawnia ukrytych przeciwników ale też świetnie sprawdza się na imprezach!,Spell,EX1_544,Hunter,,,,
,,Classic,Giermek,Alliance,,,Common,2,1,2,,Minion,CS2_152,,,,,
Divine Shield,True,Classic,Giermek Argentu,Alliance,<b>Boska tarcza</b>,Zoltan & Gabor,Common,1,1,1,„Uroczyście przysięgam walczyć w obronie Światłości oczyścić świat z ciemności i mieć z tego dużo radości!” - Przysięga Argentowego Brzasku,Minion,EX1_008,,,,,
Battlecry,True,Classic,Głodny krab,,<b>Okrzyk bojowy:</b> Zniszcz Murloka a krab otrzyma +2/+2.,Jaemin Kim,Epic,1,1,2,Murlok doda ci skrzy... znaczy siły siły doda.,Minion,NEW1_017,,,Beast,,
,True,Classic,Gniew,Neutral,<b>Wybierz jedno:</b> Zadaj $3 pkt. obrażeń stronnikowi; lub zadaj $1 pkt. obrażeń stronnikowi i dobierz kartę.,Raymond Swanland,Common,,2,,Panuje ogólna opinia że ta karta jest za mocna i powinna być legendarna.,Spell,EX1_154,Druid,,,,
,,Classic,Gniew,Neutral,Zadaj $1 pkt. obrażeń stronnikowi. Dobierz kartę.,,,,,,,Spell,EX1_154b,Druid,,,,
,,Classic,Gniew,Neutral,Zadaj $3 pkt. obrażeń stronnikowi.,,,,,,,Spell,EX1_154a,Druid,,,,
ImmuneToSpellpower,True,Classic,Gniew zemsty,Neutral,Zadaj $8 pkt. obrażeń losowo rozdzielone pomiędzy wszystkimi wrogami.,Alex Garner,Epic,,6,,Zemsta zemsta zemsta na wroga! Aż z bólu będzie krzyczeć „Olaboga”!,Spell,EX1_384,Paladin,,,,
Taunt,,Classic,Gnol,,<b>Prowokacja</b>,,,2,2,2,,Minion,NEW1_040t,,,,,
,,Classic,Godzina zmierzchu,,Zwiększone zdrowie.,,,,,,,Enchantment,EX1_043e,,,,,
Deathrattle,True,Classic,Golem zbożowy,Neutral,<b>Agonia:</b> Przyzwij Uszkodzonego golema 2/1.,Brian Despain,Common,2,3,3,„Przekroczono próg przegrzania. Awaria systemu. Kłąb owsa w porcie drugim. Wyłączanie”.,Minion,EX1_556,,,Mech,,
,True,Classic,Górski olbrzym,Neutral,Kosztuje (1) mniej za każdą pozostałą kartę w twojej ręce.,Samwise,Epic,8,12,8,Nie jest otyły ma po prostu grube kości.,Minion,EX1_105,,,,,
Battlecry,True,Classic,Grabieżca Krwawych Żagli,,<b>Okrzyk bojowy:</b> Otrzymuje +1 do ataku za każdy punkt ataku twojej broni.,Jim Nelson,Common,2,2,3,Jej ulubiona broń to grabie.,Minion,NEW1_018,,,Pirate,,
Charge|Enrage,True,Classic,Grommasz Piekłorycz,Neutral,<b>Szarża</b><b>Szał:</b> +6 do ataku.,Glenn Rane,Legendary,4,8,9,Grommasz wypił splugawioną krew Mannorota skazując orków na zieloną skórę i czerwone oczy. To chyba nie była najlepsza decyzja.,Minion,EX1_414,Warrior,True,,,
Battlecry,True,Classic,Grubiański sierżant,Alliance,<b>Okrzyk bojowy:</b> Daj stronnikowi +2 do ataku w tej turze.,Luca Zontini,Common,2,1,1,DODAJ MNIE DO SWOJEJ TALII ŚMIECIU!,Minion,CS2_188,,,,,
,True,Classic,Gruul,,Na koniec każdej tury otrzymuje +1/+1.,Kev Walker,Legendary,7,8,7,Gruul bardzo lubi smoki. Niestety jego pełne serdeczności uściski zyskały mu przydomek „Smokobójca”.,Minion,NEW1_038,,True,,,
AffectedBySpellPower,True,Classic,Grzmotnięcie tarczą,Neutral,Zadaj 1 pkt. obrażeń stronnikowi za każdy posiadany punkt pancerza.,Raymond Swanland,Epic,,1,,„Jaki oręż jest lepszy? Ostry którego spodziewa się przeciwnik czy tępy który zostanie zignorowany?” - Sztuka wojownika rozdział 9,Spell,EX1_410,Warrior,,,,
Battlecry,True,Classic,Harrison Jones,Neutral,<b>Okrzyk bojowy:</b> Zniszcz broń przeciwnika i dobierz tyle kart ile wynosiła jej wytrzymałość.,Matt Dixon,Legendary,5,5,4,„Jestem poszukiwaczem zaginionej parki!”,Minion,EX1_558,,True,,,
OneTurnEffect,,Classic,Hartowanie,,+2 do ataku w tej turze.,,,,,,,Enchantment,EX1_046e,,,,,
Combo,True,Classic,Herszt kręgu Nieskornych,Neutral,<b>Kombinacja:</b> Przyzwij Bandytę Nieskornych 2/1.,Dany Orizio,Common,2,2,2,Chciałby żeby mówić do niego per Hegemon. Sęk w tym że nie ma jeszcze swojego kaprala.,Minion,EX1_131,Rogue,,,,
,,Classic,Hiena,,,Andrew Robinson,Rare,2,2,2,,Minion,EX1_534t,Hunter,,Beast,,
,,Classic,Igła umysłu,,<b>Moc specjalna</b>Zadaj 2 pkt. obrażeń.,,,,2,,,Hero Power,EX1_625t,Priest,,,,
,True,Classic,Illidan Burzogniewny,Neutral,Za każdym razem gdy zagrasz kartę przyzwij Płomień Azzinotha 2/1.,Alex Horley Orlandelli,Legendary,7,6,5,Brat Illidana Malfurion uwięził go pod górą Hyjal na 10 000 lat. Burzogniewni niełatwo zapominają urazy.,Minion,EX1_614,,True,Demon,,
,,Classic,Infernal,Neutral,,,Common,6,6,6,,Minion,EX1_tk34,Warlock,,Demon,,
,,Classic,INFERNO!,Neutral,<b>Moc specjalna</b>Przyzwij Infernala 6/6.,,,,2,,,Hero Power,EX1_tk33,Warlock,,,,
,,Classic,Infuzja,,+3 do zdrowia.,,,,,,,Enchantment,EX1_623e,Priest,,,,
OneTurnEffect,,Classic,Inspiracja,,Ten stronnik ma +2 do ataku w tej turze.,,,,,,,Enchantment,CS2_188o,,,,,
Battlecry,True,Classic,Kabalistka cieni,Neutral,<b>Okrzyk bojowy:</b> Przejmij kontrolę nad wrogim stronnikiem z atakiem 2 lub mniejszym.,Chippy,Epic,4,6,5,Nigdy nie wiesz kto może dla niej pracować...,Minion,EX1_091,Priest,,,,
Deathrattle,True,Classic,Kairn Krwawe Kopyto,Alliance,<b>Agonia:</b> Przyzwij Baina Krwawe Kopyto 4/5.,Wayne Reynolds,Legendary,4,6,5,Kairn został zabity przez Garosza więc... lepiej nie wkładaj go do talii wojownika. Świadczyłoby to o braku wrażliwości.,Minion,EX1_110,,True,,,
,,Classic,Kanibalizm,,Zwiększony atak.,,,,,,,Enchantment,tt_004o,,,,,
Aura,True,Classic,Kapitan Południowych Mórz,,Twoi pozostali Piraci otrzymują +1/+1.,Ken Steacy,Epic,3,3,3,Kiedy zbierze dość łupów zamówi sobie olbrzymi kapitański kapelusz. Ma kompleks kapelusznika.,Minion,NEW1_027,,,Pirate,,
Battlecry,True,Classic,Kapitan Zielonoskóry,,<b>Okrzyk bojowy:</b> Daj twojej broni +1/+1.,Dan Scott,Legendary,5,5,4,Przykład wspaniałego awansu społecznego wśród goblinów.,Minion,NEW1_024,,True,Pirate,,
Aura,True,Classic,Kapłanka Auchenaiów,Neutral,Twoje karty i moce zamiast przywracać zdrowie zadają teraz obrażenia.,Doug Alexander,Rare,3,4,5,Auchenaiowie wiedzą że nadchodzi koniec. Nie są tylko pewni kiedy to nastąpi.,Minion,EX1_591,Priest,,,,
Battlecry,True,Classic,Kapłanka Eluny,Neutral,<b>Okrzyk bojowy:</b> Przywróć 4 pkt. zdrowia twojemu bohaterowi.,Dan Scott,Common,5,6,4,Jako kapłanka Eluny ma specjalizację w lunatykowaniu.,Minion,EX1_583,,,,,
,True,Classic,Klątwa zagłady,Neutral,Zadaj $2 pkt. obrażeń dowolnej postaci. Jeśli ją tym zabijesz przyzwij losowego Demona.,Raymond Swanland,Epic,,5,,Jeśli to możliwe radzę unikać zagłady.,Spell,EX1_320,Warlock,,,,
,,Classic,Konsumpcja,,Zwiększone statystyki.,,,,,,,Enchantment,EX1_304e,Warlock,,,,
Secret,True,Classic,Kontr-zaklęcie,Neutral,<b>Sekret:</b> Gdy przeciwnik rzuci zaklęcie <b>Kontrujesz</b> je.,Jason Chan,Rare,,3,,Jaka jest różnica pomiędzy magiem stosującym kontr-zaklęcie a takim który tego nie robi? Ten drugi obrywa pirowybuchem po gębie.,Spell,EX1_287,Mage,,,,
Summoned,,Classic,Kontrolowanie umysłu,Neutral,,,Common,,,,,Enchantment,EX1_tk31,Priest,,,,
Battlecry,True,Classic,Korsarz Krwawych Żagli,,<b>Okrzyk bojowy:</b> Zmniejsz wytrzymałość broni przeciwnika o 1.,Randy Gallegos,Rare,1,1,2,Każdy pirat słyszał o skarbie zwącym się „Wielki Łup” który podobno otwiera drzwi do innego świata.,Minion,NEW1_025,,,Pirate,,
,,Classic,Koszmar,,Daj stronnikowi +5/+5. Zniszcz go na początku twojej następnej tury.,,,,0,,,Spell,DREAM_05,Dream,,,,
,,Classic,Koszmar,,Ten stronnik ma +5/+5 ale wkrótce zostanie zniszczony.,,,,,,,Enchantment,DREAM_05e,,,,,
,True,Classic,Kradzież myśli,Neutral,Skopiuj dwie karty z talii przeciwnika i umieść je w twojej ręce.,Alex Garner,Common,,3,,„Co dostaniesz jak rzucisz kradzież myśli na orka? Nic!” - taureński dowcip,Spell,EX1_339,Priest,,,,
,True,Classic,Krąg uzdrawiania,,Przywróć #4 pkt. zdrowia WSZYSTKIM stronnikom.,Daarken,Common,,0,,Po Katakliźmie to zaklęcie trafiło na listę uzdrowień nierefundowanych.,Spell,EX1_621,Priest,,,,
Battlecry,True,Classic,Krasnolud z Czarnorytnych,Alliance,<b>Okrzyk bojowy:</b> Daj stronnikowi +2 do ataku w tej turze.,Scott Hampton,Common,4,4,4,Strażnicy rudy czarnorytu. Ruda ta jak wskazuje nazwa jest czarna a nie ruda.,Minion,EX1_046,,,,,
,True,Classic,Krok w cień,Neutral,Cofnij przyjaznego stronnika na twoją rękę i zmniejsz jego koszt o (2).,Graven Tung,Common,,0,,Grupy taneczne łotrów czasami robią krok w cień na końcu występu. Publiczność to uwielbia.,Spell,EX1_144,Rogue,,,,
Charge,True,Classic,Król Kruszor,Neutral,<b>Szarża</b>,Alex Horley Orlandelli,Legendary,8,9,8,Najlepsza obrona przed Królem Kruszorem to podsunięcie mu kogoś kogo nie lubisz.,Minion,EX1_543,Hunter,True,Beast,,
Battlecry,True,Classic,Król Mukla,,<b>Okrzyk bojowy:</b> Daj przeciwnikowi 2 banany.,Sunny Gho,Legendary,5,3,5,Ulubiona potrawa Króla Mukli to oczywiście banany. I bułka!,Minion,EX1_014,,True,Beast,,
,,Classic,Krwawa furia,,,,,3,3,,,Weapon,EX1_323w,Warlock,,,,8
