SET,NAME,FACTION,TEXT,RARITY,COST,TYPE,ID,MECHANICS,HEALTH,INPLAYTEXT,DURABILITY,ATTACK,PLAYERCLASS,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
Classic,Bestialski gniew,,+2 do ataku oraz <b>Niewrażliwość</b> w tej turze.,,,Enchantment,EX1_549o,OneTurnEffect,,,,,Hunter,,,,,,,
Classic,Bestialski gniew,Neutral,Daj przyjaznej Bestii +2 do ataku oraz <b>Niewrażliwość</b> w tej turze.,Epic,1,Spell,EX1_549,,,,,,Hunter,True,Alex Horley Orlandelli,Bestialski to on jest tylko z nazwy.,,,,
Classic,Beztwarzowy manipulator,Neutral,<b>Okrzyk bojowy:</b> Wybierz stronnika a stanie się jego kopią.,Epic,5,Minion,EX1_564,Battlecry,3,,,3,,True,Raymond Swanland,Beztwarzowi są sługami Yogg-Sarona i żywią się strachem. Obecnie żywią się twoim strachem przed przypadkowym odczarowaniem najlepszych kart.,,,,
Classic,Bitewny szał,Neutral,Dobierz kartę za każdą zranioną przyjazną postać.,Common,2,Spell,EX1_392,,,,,,Warrior,True,Alex Horley Orlandelli,Bo zupa była za słona...,,,,
Classic,Bitewny topór,,,,1,Weapon,EX1_398t,,,,2,2,Warrior,,,,,,,
Classic,Blarghghl,,Zwiększony atak.,,,Enchantment,EX1_509e,,,,,,,,,,,,,
Classic,Błogosławiony czempion,,Podwajasz atak stronnika.,Rare,5,Spell,EX1_355,,,,,,Paladin,True,Tyler Walpole,Podwójny atak to podwójna frajda!,,,,
Classic,Błogosławiony Czempion,,Atak tego stronnika został podwojony.,,,Enchantment,EX1_355e,,,,,,Paladin,,,,,,,
Classic,Błyskawica,Neutral,Zadaj $3 pkt. obrażeń. <b>Przeciążenie:</b> (1),Common,1,Spell,EX1_238,,,,,,Shaman,True,Daarken,A niech to jasny piorun strzeli!,,,,
Classic,Bójka,Neutral,Zniszcz wszystkich stronników oprócz jednego. <i>(wybranego losowo)</i>,Epic,5,Spell,EX1_407,,,,,,Warrior,True,Wayne Reynolds,Wiesz jaka jest pierwsza zasada klubu bójek?,,,,
Classic,Boska łaska,Neutral,Dobieraj karty tak długo aż będziesz mieć ich tyle co przeciwnik.,Rare,3,Spell,EX1_349,,,,,,Paladin,True,Lucas Graciano,Tak dla pewności przypominamy. To „łaska” a nie „laska”.,,,,
Classic,Burza z piorunami,Neutral,Zadaj $2-$3 pkt. obrażeń wszystkim wrogim stronnikom. <b>Przeciążenie:</b> (2),Rare,3,Spell,EX1_259,,,,,,Shaman,True,Christopher Moeller,Parasol zbytnio tu nie pomoże.,,,,
Classic,Burzowierny Topór,Neutral,<b>Przeciążenie:</b> (1),Common,2,Weapon,EX1_247,,,,3,2,Shaman,True,Nate Bowden,Burzowiernym toporem można zadawać piorunujące ciosy.,,,,
Classic,Burzyciel,Neutral,Na początku twojej tury zadaj 2 pkt. obrażeń losowemu wrogowi.,Rare,3,Minion,EX1_102,,4,,,1,,True,Raymond Swanland,Prowadzenie oblężeń nie jest już zabawne. Ani też skuteczne odkąd każdy ma latającego wierzchowca.,,Mech,,
Classic,Cenarius,Neutral,<b>Wybierz jedno:</b> Daj wszystkim swoim pozostałym stronnikom +2/+2; lub przyzwij dwa Drzewce 2/2 z <b>Prowokacją</b>.,Legendary,9,Minion,EX1_573,,8,,,5,Druid,True,Alex Horley Orlandelli,Tak to półbóg. Nie nie musi nosić koszuli.,True,,,
Classic,Cesarska kobra,Neutral,Zniszcz każdego stronnika zranionego przez tego stronnika.,Rare,3,Minion,EX1_170,Poisonous,3,,,2,,True,Lars Grant-West,Był plan żeby zrzucić kilka tych gadów z maszyny latającej na Śmiercioskrzydłego i zakończyć Kataklizm. Niestety kobry pogryzły wszystkich pasażerów. Powstała o tym opowieść pod tytułem „Kobry w żyrokopterze”.,,Beast,,
Classic,Chochlik,Neutral,,Rare,1,Minion,EX1_598,,1,,,1,,,,,,Demon,,
Classic,Chochlik krwi,Neutral,<b>Ukrycie</b>. Na koniec twojej tury daj innemu losowemu przyjaznemu stronnikowi +1 do zdrowia.,Common,1,Minion,CS2_059,Stealth,1,,,0,Warlock,True,Bernie Kang,Chochliki uwielbiają chować się w cieniu i złośliwie działać wszystkim na nerwy.,,Demon,,
Classic,Chochlistrzyni,Neutral,Na koniec twojej tury zadaj temu stronnikowi 1 pkt. obrażeń i przyzwij Chochlika 1/1.,Rare,3,Minion,EX1_597,,5,,,1,,True,Mark Gibbons,Znacznie bardziej lubiłaby swoją pracę gdyby chochliki w końcu przestały JĄ KĄSAĆ!,,,,
Classic,Cień nicości,,Starcie umysłów przegrane! Twój przeciwnik nie ma stronników!,Epic,0,Minion,EX1_345t,,1,,,0,Priest,,,,,,,
Classic,Cienie M&sbquo;uru,,Ten stronnik wchłonął boskie tarcze i ma zwiększony atak i zdrowie.,Common,,Enchantment,EX1_590e,,,,,,,,,,,,,
Classic,Cienisty płomień,Neutral,Zniszcz przyjaznego stronnika i zadaj obrażenia o wartości jego ataku wszystkim wrogim stronnikom.,Rare,4,Spell,EX1_303,AffectedBySpellPower,,,,,Warlock,True,Dave Kendall,Dobry stronnik trochę cienistego płomienia i na planszy wszystko się zmienia!,,,,
Classic,Cierpliwy skrytobójca,Neutral,<b>Ukrycie</b>. Zniszcz każdego stronnika zranionego przez tego stronnika.,Epic,2,Minion,EX1_522,Poisonous|Stealth,1,,,1,Rogue,True,Ben Olson,Tak naprawdę wcale nie jest cierpliwy. Po prostu rzadko pojawia się ktoś kogo jest w stanie dosięgnąć.,,,,
Classic,Ciężki topór,,,,1,Weapon,EX1_409t,,,,3,1,Warrior,,,,,,,
Classic,Czarny Rycerz,,<b>Okrzyk bojowy:</b> Zniszcz wrogiego stronnika posiadającego <b>Prowokację</b>.,Legendary,6,Minion,EX1_002,Battlecry,5,,,4,,True,Alex Horley Orlandelli,Pilnowanie mostu to JEGO obowiązek. Będzie o to walczył do ostatniej kończyny i jeszcze dalej!,True,,,
Classic,Czeladnik Purpurowych,,,,0,Minion,NEW1_026t,,1,,,1,,,,,,,,
Classic,Czysta moc!,,Zwiększone statystyki.,,,Enchantment,EX1_274e,,,,,,Mage,,,,,,,
Classic,Dalekowidzenie,,Jedna z twoich kart kosztuje (3) mniej.,,,Enchantment,CS2_053e,,,,,,Shaman,,Lars Grant-West,,,,,
Classic,Dalekowidzenie,Neutral,Dobierz kartę. Ta karta kosztuje (3) mniej.,Epic,3,Spell,CS2_053,,,,,,Shaman,True,Lars Grant-West,Podstawowe narzędzie każdego odkrywcy i taktyka. Zwiedzaj i szpieguj bez ruszania się z miejsca!,,,,
Classic,Dar mądrości,,Wybierz stronnika. Dobierz kartę za każdym razem gdy zaatakuje.,Common,1,Spell,EX1_363,,,,,,Paladin,True,Chippy,Nabyta wiedza podpowiada ci że wypadałoby atakować co turę.,,,,
Classic,Dar mądrości,,Gdy ten stronnik zaatakuje przeciwnik dobiera kartę.,,,Enchantment,EX1_363e2,,,,,,Paladin,,,,,,,
Classic,Dar mądrości,,Gdy ten stronnik zaatakuje gracz który go pobłogosławił dobiera kartę.,,,Enchantment,EX1_363e,,,,,,Paladin,,,,,,,
Classic,Demoniczny ogień,Neutral,Zadaj $2 pkt. obrażeń stronnikowi. Jeśli jest przyjaznym Demonem daj mu zamiast tego +2/+2.,Common,2,Spell,EX1_596,,,,,,Warlock,True,Ben Wootten,Demoniczny ogień przypomina zwykły z tym że NIE MOŻNA GO UGASIĆ! POMOOOOOCYYYYY!,,,,
Classic,Demoniczny ogień,Neutral,Ten Demon ma +2/+2.,Common,0,Enchantment,EX1_596e,,,,,,Warlock,,,,,,,
Classic,Diabłozaur,Neutral,,Common,5,Minion,EX1_tk29,,5,,,5,,,,,,Beast,,
Classic,Długi Łuk Gladiatora,Neutral,Twój bohater posiada <b>Niewrażliwość</b> podczas ataku.,Epic,7,Weapon,DS1_188,,,,2,5,Hunter,True,Peter C. Lee,Ten długi łuk pozwala na ostrzał z naprawdę daleka i przydaje się do likwidowania szczególnie cuchnących celów.,,,,
Classic,Dowódca Argentu,Neutral,<b>Szarża</b>. <b>Boska tarcza</b>.,Rare,6,Minion,EX1_067,Charge|Divine Shield,2,,,4,,True,James Ryman,Należał do Argentu zanim to było modne.,,,,
Classic,Dowódca murloków,Neutral,WSZYSTKIE pozostałe Murloki otrzymują +2/+1.,Epic,3,Minion,EX1_507,Aura,3,,,3,,True,Tim McBurnie,Mrglglrglglglglglglgl - jak cudownie to brzmi!,,Murloc,,
Classic,Druid Szponów,Neutral,<b>Wybierz jedno:</b> <b>Szarża</b>; lub +2 do zdrowia oraz <b>Prowokacja</b>.,Common,5,Minion,EX1_165,,4,,,4,Druid,True,Luca Zontini,„Wcześniej nazywaliśmy się Druidami Pazura ale wciąż pytano nas o pokrewieństwo z jakimś Czarkiem”. - Starszy Druid Szponów,,,,
Classic,Druid Szponów,,<b>Szarża</b>,Common,5,Minion,EX1_165t1,Charge,4,,,4,Druid,,,,,Beast,,
Classic,Druid Szponów,,<b>Prowokacja</b>,Common,5,Minion,EX1_165t2,Taunt,6,,,4,Druid,,,,,Beast,,
Classic,Drwiąca siostra,,Nie może zostać wybrana jako cel zaklęć lub mocy specjalnych.,,3,Minion,DREAM_01,,5,,,3,Dream,,,,,,,
Classic,Drzewiec,Neutral,<b>Szarża</b>. Na koniec tury zniszcz tego stronnika.,Common,1,Minion,EX1_tk9,Charge,2,,,2,Druid,,,,,,,
Classic,Drzewiec,,<b>Prowokacja</b>,,1,Minion,EX1_573t,Taunt,2,,,2,Druid,,,,,,,
Classic,Drzewiec,Neutral,,,1,Minion,EX1_158t,,2,,,2,Druid,,,,,,,
Classic,Drzewiec wiedzy,,<b>Wybierz jedno:</b> Dobierz 2 karty; lub przywróć 5 pkt. zdrowia.,Epic,7,Minion,NEW1_008,,5,,,5,Druid,True,Patrik Hjelm,No dalej. Wyryj na nim swoje inicjały.,,,,
Classic,Drzewiec wojny,Neutral,<b>Wybierz jedno:</b> +5 do ataku; lub +5 do zdrowia oraz <b>Prowokacja</b>.,Epic,7,Minion,EX1_178,,5,,,5,Druid,True,Sean O’Daniels,Młode nocne elfy uwielbiają zabawę „Stary drzewiec mocno śpi”. Przegrywasz jak zadepcze cię na śmierć.,,,,
Classic,Duch przodków,,<b>Agonia:</b> Przywróć tego stronnika na pole bitwy.,,,Enchantment,CS2_038e,,,,,,Shaman,,,,,,,
Classic,Duch przodków,Neutral,Daj stronnikowi zdolność „<b>Agonia:</b> Przywróć tego stronnika na pole bitwy”.,Rare,2,Spell,CS2_038,,,,,,Shaman,True,Zoltan & Gabor,To była powierzchowna rana.,,,,
Classic,Duchowy wilk,Neutral,<b>Prowokacja</b>,Rare,2,Minion,EX1_tk11,Taunt,3,,,2,Shaman,,,,,,,
Classic,Dusza kniei,,Agonia: Przyzwij Drzewca 2/2.,,,Enchantment,EX1_158e,,,,,,Druid,,,,,,,
Classic,Dusza kniei,Neutral,Daj swoim stronnikom zdolność „<b>Agonia:</b> Przyzwij Drzewca 2/2”.,Common,4,Spell,EX1_158,,,,,,Druid,True,Markus Erdt,Słowo „zalesienie” nagle nabiera przerażającego znaczenia.,,,,
Classic,Dziarski gorzelnik,Alliance,<b>Okrzyk bojowy:</b> Cofnij przyjaznego stronnika na twoją rękę.,Common,2,Minion,EX1_049,Battlecry,2,,,3,,True,Wei Wang,Jego młodzieńczy entuzjazm nie zawsze idzie w parze z jakością trunków. Lepiej nie pij pasteryzowanego „Pandarena”!,,,,
Classic,Dziki duch,Neutral,Przyzwij dwa Duchowe wilki 2/3 z <b>Prowokacją</b>. <b>Przeciążenie:</b> (2),Rare,3,Spell,EX1_248,,,,,,Shaman,True,Clint Langley,Duchowe wilki wyglądają jak zwykłe tylko z pomponami.,,,,
Classic,Dziki piromanta,,Gdy rzucisz zaklęcie zadaj 1 pkt. obrażeń WSZYSTKIM stronnikom.,Rare,2,Minion,NEW1_020,,2,,,3,,True,Alex Horley Orlandelli,Po godzinach dorabia jako strażak.,,,,
Classic,Dzikość,Neutral,Zadaj stronnikowi obrażenia równe atakowi twojego bohatera.,Rare,1,Spell,EX1_578,AffectedBySpellPower,,,,,Druid,True,Dave Rapoza,Druid dziki druid zły i ma bardzo ostre kły!,,,,
Classic,Edwin VanCleef,Neutral,<b>Kombinacja:</b> Otrzymuje +2/+2 za każdą kartę zagraną wcześniej w tej turze.,Legendary,3,Minion,EX1_613,Combo,2,,,2,Rogue,True,Efrem Palacios,Dowodził murarzami którzy zrekonstruowali Wichrogród a kiedy szlachta odmówiła zapłaty założył bractwo Nieskornych żeby <i>zdekonstruować</i> Wichrogród.,True,,,
Classic,Eksperymenty!,,Atak i zdrowie zostały zamienione przez szalonego alchemika.,,,Enchantment,EX1_059e,,,,,,,,,,,,,
Classic,Eksplozja lawy,Neutral,Zadaj $5 pkt. obrażeń. <b>Przeciążenie:</b> (2),Rare,3,Spell,EX1_241,,,,,,Shaman,True,Dan Scott,„Lawa którą palisz mnieMagiczna siła boję się...”- fragment „Mojej Lawy” z szamańskiej listy przebojów,,,,
Classic,Eteryczny arkanista,,Otrzymuje +2/+2 jeśli pod koniec twojej tury kontrolujesz <b>Sekret</b>.,Rare,4,Minion,EX1_274,,3,,,3,Mage,True,Michael Komarck,Eteryczni owijają się materiałem aby nadać kształt swoim bezcielesnym postaciom. No i lubią jak im miękko i cieplutko.,False,,,
Classic,Finkosz Rogoźnik,Neutral,,Legendary,2,Minion,EX1_finkle,,3,,,3,,,,,True,,,
Classic,Flara,Neutral,Wszyscy stronnicy tracą <b>Ukrycie</b>. Zniszcz wszystkie wrogie <b>Sekrety</b>. Dobierz kartę.,Rare,2,Spell,EX1_544,,,,,,Hunter,True,Tyler Walpole,Nie tylko ujawnia ukrytych przeciwników ale też świetnie sprawdza się na imprezach!,,,,
Classic,Giermek,Alliance,,Common,1,Minion,CS2_152,,2,,,2,,,,,,,,
Classic,Giermek Argentu,Alliance,<b>Boska tarcza</b>,Common,1,Minion,EX1_008,Divine Shield,1,,,1,,True,Zoltan & Gabor,„Uroczyście przysięgam walczyć w obronie Światłości oczyścić świat z ciemności i mieć z tego dużo radości!” - Przysięga Argentowego Brzasku,,,,
Classic,Głodny krab,,<b>Okrzyk bojowy:</b> Zniszcz Murloka a krab otrzyma +2/+2.,Epic,1,Minion,NEW1_017,Battlecry,2,,,1,,True,Jaemin Kim,Murlok doda ci skrzy... znaczy siły siły doda.,,Beast,,
Classic,Gniew,Neutral,<b>Wybierz jedno:</b> Zadaj $3 pkt. obrażeń stronnikowi; lub zadaj $1 pkt. obrażeń stronnikowi i dobierz kartę.,Common,2,Spell,EX1_154,,,,,,Druid,True,Raymond Swanland,Panuje ogólna opinia że ta karta jest za mocna i powinna być legendarna.,,,,
Classic,Gniew,Neutral,Zadaj $1 pkt. obrażeń stronnikowi. Dobierz kartę.,,,Spell,EX1_154b,,,,,,Druid,,,,,,,
Classic,Gniew,Neutral,Zadaj $3 pkt. obrażeń stronnikowi.,,,Spell,EX1_154a,,,,,,Druid,,,,,,,
Classic,Gniew zemsty,Neutral,Zadaj $8 pkt. obrażeń losowo rozdzielone pomiędzy wszystkimi wrogami.,Epic,6,Spell,EX1_384,ImmuneToSpellpower,,,,,Paladin,True,Alex Garner,Zemsta zemsta zemsta na wroga! Aż z bólu będzie krzyczeć „Olaboga”!,,,,
Classic,Gnol,,<b>Prowokacja</b>,,2,Minion,NEW1_040t,Taunt,2,,,2,,,,,,,,
Classic,Godzina zmierzchu,,Zwiększone zdrowie.,,,Enchantment,EX1_043e,,,,,,,,,,,,,
Classic,Golem zbożowy,Neutral,<b>Agonia:</b> Przyzwij Uszkodzonego golema 2/1.,Common,3,Minion,EX1_556,Deathrattle,3,,,2,,True,Brian Despain,„Przekroczono próg przegrzania. Awaria systemu. Kłąb owsa w porcie drugim. Wyłączanie”.,,Mech,,
Classic,Górski olbrzym,Neutral,Kosztuje (1) mniej za każdą pozostałą kartę w twojej ręce.,Epic,12,Minion,EX1_105,,8,,,8,,True,Samwise,Nie jest otyły ma po prostu grube kości.,,,,
Classic,Grabieżca Krwawych Żagli,,<b>Okrzyk bojowy:</b> Otrzymuje +1 do ataku za każdy punkt ataku twojej broni.,Common,2,Minion,NEW1_018,Battlecry,3,,,2,,True,Jim Nelson,Jej ulubiona broń to grabie.,,Pirate,,
Classic,Grommasz Piekłorycz,Neutral,<b>Szarża</b><b>Szał:</b> +6 do ataku.,Legendary,8,Minion,EX1_414,Charge|Enrage,9,,,4,Warrior,True,Glenn Rane,Grommasz wypił splugawioną krew Mannorota skazując orków na zieloną skórę i czerwone oczy. To chyba nie była najlepsza decyzja.,True,,,
Classic,Grubiański sierżant,Alliance,<b>Okrzyk bojowy:</b> Daj stronnikowi +2 do ataku w tej turze.,Common,1,Minion,CS2_188,Battlecry,1,,,2,,True,Luca Zontini,DODAJ MNIE DO SWOJEJ TALII ŚMIECIU!,,,,
Classic,Gruul,,Na koniec każdej tury otrzymuje +1/+1.,Legendary,8,Minion,NEW1_038,,7,,,7,,True,Kev Walker,Gruul bardzo lubi smoki. Niestety jego pełne serdeczności uściski zyskały mu przydomek „Smokobójca”.,True,,,
Classic,Grzmotnięcie tarczą,Neutral,Zadaj 1 pkt. obrażeń stronnikowi za każdy posiadany punkt pancerza.,Epic,1,Spell,EX1_410,AffectedBySpellPower,,,,,Warrior,True,Raymond Swanland,„Jaki oręż jest lepszy? Ostry którego spodziewa się przeciwnik czy tępy który zostanie zignorowany?” - Sztuka wojownika rozdział 9,,,,
Classic,Harrison Jones,Neutral,<b>Okrzyk bojowy:</b> Zniszcz broń przeciwnika i dobierz tyle kart ile wynosiła jej wytrzymałość.,Legendary,5,Minion,EX1_558,Battlecry,4,,,5,,True,Matt Dixon,„Jestem poszukiwaczem zaginionej parki!”,True,,,
Classic,Hartowanie,,+2 do ataku w tej turze.,,,Enchantment,EX1_046e,OneTurnEffect,,,,,,,,,,,,
Classic,Herszt kręgu Nieskornych,Neutral,<b>Kombinacja:</b> Przyzwij Bandytę Nieskornych 2/1.,Common,2,Minion,EX1_131,Combo,2,,,2,Rogue,True,Dany Orizio,Chciałby żeby mówić do niego per Hegemon. Sęk w tym że nie ma jeszcze swojego kaprala.,,,,
Classic,Hiena,,,Rare,2,Minion,EX1_534t,,2,,,2,Hunter,,Andrew Robinson,,,Beast,,
Classic,Igła umysłu,,<b>Moc specjalna</b>Zadaj 2 pkt. obrażeń.,,2,Hero Power,EX1_625t,,,,,,Priest,,,,,,,
Classic,Illidan Burzogniewny,Neutral,Za każdym razem gdy zagrasz kartę przyzwij Płomień Azzinotha 2/1.,Legendary,6,Minion,EX1_614,,5,,,7,,True,Alex Horley Orlandelli,Brat Illidana Malfurion uwięził go pod górą Hyjal na 10 000 lat. Burzogniewni niełatwo zapominają urazy.,True,Demon,,
Classic,Infernal,Neutral,,Common,6,Minion,EX1_tk34,,6,,,6,Warlock,,,,,Demon,,
Classic,INFERNO!,Neutral,<b>Moc specjalna</b>Przyzwij Infernala 6/6.,,2,Hero Power,EX1_tk33,,,,,,Warlock,,,,,,,
Classic,Infuzja,,+3 do zdrowia.,,,Enchantment,EX1_623e,,,,,,Priest,,,,,,,
Classic,Inspiracja,,Ten stronnik ma +2 do ataku w tej turze.,,,Enchantment,CS2_188o,OneTurnEffect,,,,,,,,,,,,
