MECHANICS,COLLECTIBLE,SET,NAME,ARTIST,TEXT,RARITY,ATTACK,COST,HEALTH,FLAVOR,TYPE,ID,ELITE,RACE,PLAYERCLASS,DURABILITY
,True,Goblins vs Gnomes,Działo okrętowe,Warren Mahy,Za każdym razem gdy przyzwiesz Pirata zadaj 2 pkt. obrażeń losowemu wrogowi.,Common,2,2,3,Kiedy w powietrzu zaczynają świszczeć kule armatnie najwyższy czas zabrać się za klecenie tratwy.,Minion,GVG_075,,,,
,True,Goblins vs Gnomes,Działo Spaczenia,Matt Gaser,Na koniec twojej tury zadaj 2 pkt. obrażeń losowemu stronnikowi niebędącemu Mechem.,Rare,3,4,5,Na opakowaniu napisano: „Zupełna nowość! 200% więcej Spaczenia!”,Minion,GVG_020,,Mech,Warlock,
,True,Goblins vs Gnomes,Echo Medivha,Alex Garner,Umieść w twojej ręce kopię każdego przyjaznego stronnika.,Epic,,4,,Echo Medivha nawiedza Karazhan wiecznie oszukując podczas gry w szachy oraz <i>Hearthstone</i>.,Spell,GVG_005,,,Mage,
Divine Shield,True,Goblins vs Gnomes,Ekranowany minibot,Raymond Swanland,<b>Boska tarcza</b>,Common,2,2,2,Święcie wierzy w jeden powszechny i międzyrobotowy program.,Minion,GVG_058,,Mech,Paladin,
Deathrattle,True,Goblins vs Gnomes,Elektrobuława,Zoltan and Gabor,<b>Agonia:</b> Daj losowemu przyjaznemu Mechowi +2/+2.,Rare,3,3,,Wszyscy myślą że szamani rozkazują żywiołom a tak naprawdę muszą o wszystko grzecznie prosić.,Weapon,GVG_036,,,Shaman,2
Windfury,True,Goblins vs Gnomes,Fruwająca maszyna,Matt Dixon,<b>Furia wichru</b>,Common,1,3,4,Aby to ustrojstwo działało prawidłowo należy posmarować je maścią latania i użyć magicznych słów: „Pole las woda wieś nadszedł czas maszyno leć”.,Minion,GVG_084,,Mech,,
,True,Goblins vs Gnomes,Gahz&sbquo;rilla,Raymond Swanland,Za każdym razem gdy ten stronnik zostanie zraniony podwaja wartość swojego ataku.,Legendary,6,7,9,Co trzy głowy to nie jedna.,Minion,GVG_049,True,Beast,Hunter,
,True,Goblins vs Gnomes,Gazol,Luke Mancini,Za każdym razem gdy rzucasz zaklęcie za 1 many umieść w ręce losowego Mecha.,Legendary,3,6,6,W szkole Gazolowi nie pozwalano wykonywać doświadczeń po tym jak niechcący wysadził w powietrze kantorek chemików.,Minion,GVG_117,True,,,
,,Goblins vs Gnomes,Glewiozuka,,+1 do ataku.,,,,,,Enchantment,GVG_043e,,,Hunter,
Battlecry,True,Goblins vs Gnomes,Glewiozuka,Gino Whitehall,<b>Okrzyk bojowy:</b> Daj losowemu przyjaznemu stronnikowi +1 do ataku.,Common,2,2,,Przydaje się w sytuacjach w których normalna bazuka nie wystarcza.,Weapon,GVG_043,,,Hunter,2
,True,Goblins vs Gnomes,Głowa Mimirona,Trent Kaniuga,Jeśli na początku twojej tury kontrolujesz co najmniej 3 Mechy niszczysz je i tworzysz V-07-TR-0Na.,Legendary,4,5,5,Naciskanie wielkiego czerwonego guzika surowo wzbronione!,Minion,GVG_111,True,Mech,,
Battlecry,True,Goblins vs Gnomes,Gnom eksperymentator,Jesper Esjing,<b>Okrzyk bojowy:</b> Dobierz kartę. Jeśli to stronnik zamieni się w Kurczaka.,Rare,3,3,2,A gdyby tak skrzyżować smoka z wiewiórką? Czy otrzymalibyśmy smokowiewiórkę?,Minion,GVG_092,,,,
Battlecry,True,Goblins vs Gnomes,Goblin grzmotnik,Glenn Rane,<b>Okrzyk bojowy:</b> Jeśli kontrolujesz Mecha zadaj 4 punkty obrażeń losowo rozdzielone pomiędzy wszystkimi wrogami.,Rare,5,4,4,Jeśli nie masz na podorędziu żadnej bomby wystarczy dowolny inny gobliński wynalazek.,Minion,GVG_004,,,Mage,
Battlecry,True,Goblins vs Gnomes,Gobliński fryzuromat,Zolton Boros,<b>Okrzyk bojowy</b>: Daj twojej broni +1 do ataku.,Common,3,2,2,Przytnie twoją fryzurę lub ciebie – korzystasz na własne ryzyko.,Minion,GVG_023,,Mech,Rogue,
Aura,True,Goblins vs Gnomes,Gobliński saper,Jesper Esjing,Ma +4 do ataku kiedy twój przeciwnik ma w ręce 6 lub więcej kart.,Rare,2,3,4,Kiedyś detonował nałogowo. Teraz eksploduje tylko dla towarzystwa.,Minion,GVG_095,,,,
,True,Goblins vs Gnomes,Golem Animusa,Josh Harris,Na końcu każdej tury zniszcz tego stronnika jeśli nie posiadasz innych w grze.,Epic,9,6,9,Golem Animusa ma niezły animusz!,Minion,GVG_077,,Mech,Warlock,
,True,Goblins vs Gnomes,Grabieżca Spaczenia,Zoltan & Gabor,Za każdym razem gdy przeciwnik zagra kartę odrzuć 3 górne karty z twojej talii.,Epic,8,5,8,Tyle grabienia. Takie spaczenie. Łał.,Minion,GVG_016,,Mech,,
Battlecry,True,Goblins vs Gnomes,Hemet Nesingwary,Ralph Horsley,<b>Okrzyk bojowy:</b> Zniszcz Bestię.,Legendary,6,5,3,Nigdy nie żegna się z bronią.,Minion,GVG_120,True,,,
,True,Goblins vs Gnomes,Hobgoblin,Laurel D. Austin,Za każdym razem gdy zagrywasz stronnika z atakiem 1 daj mu +2/+2.,Epic,2,3,3,Podczas najbliższego walnego zebrania związek zawodowy hobgoblinów zajmie stanowisko w sprawie planów przedłużenia wieku emerytalnego do siedmiu lat.,Minion,GVG_104,,,,
,,Goblins vs Gnomes,Hobomoc!,,+2/+2.,,,,,,Enchantment,GVG_104a,,,,
Deathrattle,,Goblins vs Gnomes,Hukobot,,<b>Agonia:</b> Zadaj 1-4 pkt. obrażeń losowemu wrogowi.,,1,1,1,,Minion,GVG_110t,,Mech,,
,True,Goblins vs Gnomes,Jan,Matt Dixon,Każdy gracz kończący turę musi dobrać karty aż będzie mieć ich 3 na ręce.,Rare,1,4,4,W profesji lokaja najbardziej ceni sobie dobieranie opon.,Minion,GVG_094,,Mech,,
,True,Goblins vs Gnomes,Jednooki szubrawiec,Danny Beck,Otrzymuje <b>Ukrycie</b> za każdym razem gdy przyzwiesz Pirata.,Rare,4,2,1,Jest groźniejszy od jednorękiego bandyty.,Minion,GVG_025,,Pirate,Rogue,
,True,Goblins vs Gnomes,Jutrzenka,Jim Nelson,Jeśli na koniec twojej tury kontrolujesz <b>Sekret</b> przywróć 4 pkt. zdrowia twojemu bohaterowi.,Rare,2,3,4,„LUMOS!” – nie należy do ich repertuaru zawołań. Nie jesteśmy w Hogwarcie.,Minion,GVG_089,,,,
,True,Goblins vs Gnomes,Kałużniak,Jaemin Kim,,Common,3,2,2,Żyje w zbiorniku wodnym o znikomym znaczeniu strategicznym ale nie spędza mu to snu z powiek.,Minion,GVG_064,,Murloc,,
,,Goblins vs Gnomes,Kamuflaż,,Ukrycie trwa do następnej tury.,,,,,,Enchantment,PART_004e,,,,
Battlecry,True,Goblins vs Gnomes,Klekotnik Wyśrubny,Jesper Esjing,<b>Okrzyk bojowy:</b> Daj przyjaznemu Mechowi +2/+2.,Rare,2,4,5,Zawodowo zajmuje się klekotacją i wyśrubowywaniem.,Minion,GVG_055,,Mech,Warrior,
,True,Goblins vs Gnomes,Kobaltowy strażnik,Jim Nelson,Otrzymuje <b>Boską tarczę</b> za każdym razem gdy przyzywasz Mecha.,Rare,6,5,3,Dawniej strażników robiono z adamantium ale produkcję przeniesiono do Gadżetonu gdzie kobalt był po taniości.,Minion,GVG_062,,Mech,Paladin,
ImmuneToSpellpower,,Goblins vs Gnomes,Krecia mina,Chris Seaman,Kiedy dobierasz tę kartę eksploduje. Otrzymujesz 10 pkt. obrażeń i dobierasz kartę.,,,0,,,Spell,GVG_056t,,,Warrior,
,,Goblins vs Gnomes,Król,,Zwiększony atak.,,,,,,Enchantment,GVG_046e,,,Hunter,
Battlecry|Taunt,True,Goblins vs Gnomes,Król bestii,Seamus Gallagher,<b>Prowokacja</b>. <b>Okrzyk bojowy:</b> Otrzymuje +1 do ataku za każdą Bestię którą kontrolujesz.,Rare,2,5,6,Na ciebie czekam lwie. Bo hiena chyba nie zżarła cię.,Minion,GVG_046,,Beast,Hunter,
,True,Goblins vs Gnomes,Kupiecki Książę Galiwiasz,Wei Wang,Za każdym razem gdy przeciwnik rzuci zaklęcie otrzymujesz jego kopię zaś on dostaje Monetę.,Legendary,5,6,8,Galiwiasz potrafi doskonale liczyć dlatego liczy wyłącznie na siebie.,Minion,GVG_028,True,,Rogue,
,,Goblins vs Gnomes,Kurczak,,,,1,1,1,,Minion,GVG_092t,,Beast,,
Battlecry,True,Goblins vs Gnomes,Kwatermistrz,Phroilan Gardner,<b>Okrzyk bojowy:</b> Daj twoim Rekrutom Srebrnej Dłoni +2/+2.,Epic,2,5,5,Jego specjalność? Wolne kwatery nad morzem.,Minion,GVG_060,,,Paladin,
,True,Goblins vs Gnomes,Lewitujący obserwator,Todd Lockwood,Otrzymuje +2/+2 za każdym razem  gdy twój bohater otrzymuje obrażenia w twojej turze.,Common,4,5,4,Na początku nazywał się Złe Oko Pewnej Zguby ale nazwa odstraszała potencjalnych stronników.,Minion,GVG_100,,Demon,Warlock,
Enrage,True,Goblins vs Gnomes,Łomotobot,Tyler Walpole,<b>Szał:</b> +1 do ataku.,Common,1,1,3,Miał być „robotobotem” ale jego projektant seplenił.,Minion,GVG_051,,Mech,Warrior,
,True,Goblins vs Gnomes,Machina oblężnicza,Zero Yue,Za każdym razem gdy otrzymujesz pancerz daj temu stronnikowi +1 do ataku.,Rare,5,5,5,Nieźle się prezentuje na polu bitwy ale czy ma jakieś zastosowanie praktyczne?,Minion,GVG_086,,Mech,Warrior,
Aura,True,Goblins vs Gnomes,Mal&sbquo;Ganis,Wayne Reynolds,Twoje pozostałe Demony otrzymują +2/+2.Twój bohater posiada <b>Niewrażliwość</b>.,Legendary,9,9,7,Gdy się Mal&sbquo;Ganisa gani ten okrutnie wszystkich rani!,Minion,GVG_021,True,Demon,Warlock,
Battlecry|Taunt,True,Goblins vs Gnomes,Mała egzorcystka,Jim Nelson,<b>Prowokacja</b> <b>Okrzyk bojowy:</b> Otrzymuje +1/+1 za każdego wrogiego stronnika z <b>Agonią</b>.,Rare,2,3,3,Potrafi zamienić agonię w pelargonię!,Minion,GVG_097,,,,
Deathrattle,True,Goblins vs Gnomes,Malorn,Oliver Chipping,<b>Agonia:</b> Wtasuj tego stronnika do twojej talii.,Legendary,9,7,7,Od czasu pamiętnego pojedynku z Archimondem Malorn nie pozwala się już wyjelenić.,Minion,GVG_035,True,Beast,Druid,
Deathrattle,True,Goblins vs Gnomes,Mechaniczny yeti,Chris Seaman,<b>Agonia:</b> Daj każdemu z graczy po karcie <b>Części zamiennej</b>.,Common,4,4,5,Yeti z Zimnych Wichrów są źródłem inspiracji dla wielu wynalazców – kiedy akurat nie ścigają ich w celach konsumpcji.,Minion,GVG_078,,Mech,,
Battlecry,True,Goblins vs Gnomes,Mechano Wzmacniano,Zoltan Boros,<b>Okrzyk bojowy:</b> Twoi pozostali stronnicy otrzymują <b>Furię wichru</b> <b>Prowokację</b> lub <b>Boską tarczę</b>.<i>(losowo)</i>,Epic,3,4,2,Jego dopalacze są zakazane w niektórych krajach.,Minion,GVG_107,,Mech,,
,True,Goblins vs Gnomes,Mechinżynier Termowtyk,Trent Kaniuga,Za każdym razem gdy ginie wrogi stronnik przyzywasz Trędowatego gnoma.,Legendary,9,9,7,Chciał przejąć kontrolę nad Gnomoreganem ale wszyscy wiemy jak na tym wyszedł.,Minion,GVG_116,True,Mech,,
,True,Goblins vs Gnomes,Mecho-koto-dźwiedź,Trent Kaniuga,Za każdym razem gdy ten stronnik otrzyma obrażenia dodaj kartę <b>Części zamiennej</b> do twojej ręki.,Rare,7,6,6,Jego najlepszym kumplem jest Zwierzo-człeko-upiór.,Minion,GVG_034,,Mech,Druid,
,,Goblins vs Gnomes,Metalowe zęby,,+2 do ataku.,,,,,,Enchantment,GVG_048e,,,Hunter,
,True,Goblins vs Gnomes,Mikromaszyna,Skan Srisuwan,Na początku każdej tury otrzymuje +1 do ataku.,Common,1,2,2,Jest w związku z mikrokomputerem.,Minion,GVG_103,,Mech,,
Spellpower|Stealth,True,Goblins vs Gnomes,Minimag,Ben Olson,<b>Ukrycie</b><b>Obrażenia zaklęć +1</b>,Epic,4,4,1,Czasem ukrywa się w kufrze ze skarbami na Arenie Gurubaszi.,Minion,GVG_109,,,,
Battlecry,True,Goblins vs Gnomes,Mistyczka z Kezanu,Jakub Kasper,<b>Okrzyk bojowy:</b> Przejmij kontrolę nad losowym <b>Sekretem</b> przeciwnika.,Rare,4,4,3,Doznała oświecenia kontemplując kwiat lotosu unoszący się na przezroczystej tafli jeziora.,Minion,GVG_074,,,,
,,Goblins vs Gnomes,Moneta Galiwiasza,,Otrzymujesz 1 kryształ many w tej turze.<i>(Nie uaktywnia to Galiwiasza.)</i>,,,0,,,Spell,GVG_028t,,,,
Aura,True,Goblins vs Gnomes,Naganiacz mechów,Phil Saunders,Twoje Mechy kosztują (1) mniej.,Common,2,2,3,Mechy które przywołują mechy? A potem co? Pączkujące pączki? Hmm w sumie...,Minion,GVG_006,,Mech,,
Deathrattle,True,Goblins vs Gnomes,Nakręcany gnom,Matt Dixon,<b>Agonia:</b> Dodaj kartę <b>Części zamiennej</b> do twojej ręki.,Common,2,1,1,Może i jest powolny ale jak się rozkręci…,Minion,GVG_082,,Mech,,
,True,Goblins vs Gnomes,Nakręcany olbrzym,Dan Scott,Kosztuje (1) mniej za każdą kartę w ręce przeciwnika.,Epic,8,12,8,Nie może znaleźć wspólnego języka z resztą olbrzymów.,Minion,GVG_121,,Mech,,
,,Goblins vs Gnomes,Naprawa!,,+4 do zdrowia.,,,,,,Enchantment,GVG_069a,,,Priest,
Battlecry,True,Goblins vs Gnomes,Neptulon,Ruan Jia,<b>Okrzyk bojowy:</b> Dodaj 4 losowe Murloki do twojej ręki. <b>Przeciążenie:</b> (3),Legendary,7,7,7,Neptulon nie ogarnia murloków bo ostatnio coraz częściej jest zalany.,Minion,GVG_042,True,,Shaman,
,,Goblins vs Gnomes,Niestabilny kamuflaż,Nutchapol Thitinunthakorn,Daj przyjaznemu stronnikowi <b>Ukrycie</b> do twojej następnej tury.,,,1,,,Spell,PART_004,,,,
,True,Goblins vs Gnomes,Niestabilny portal,Sean O&sbquo;Daniels,Dodaj losowego stronnika do twojej ręki. Kosztuje (3) mniej.,Rare,,2,,Mieszkańcy Azeroth nie zdają sobie sprawy ile kosztuje stabilizacja portali. Na ich utrzymanie leci jakieś 30% PKB!,Spell,GVG_003,,,Mage,
Battlecry,True,Goblins vs Gnomes,Obłąkany bombiarz,Alex Horley Orlandelli,<b>Okrzyk bojowy:</b> Zadaj 6 pkt. obrażeń losowo rozdzielone pomiędzy wszystkimi innymi postaciami.,Rare,5,5,4,Bombiarz ma bardzo wybuchowy charakter.,Minion,GVG_090,,,,
Taunt,True,Goblins vs Gnomes,Odmagiczniacz X-21,Zero Yue,<b>Prowokacja</b>Nie może zostać wybrany jako cel zaklęć lub mocy specjalnych.,Rare,2,4,5,Gnomi magowie odbyli na temat tego mecha kilka bardzo poważnych rozmów z gnomimi inżynierami.,Minion,GVG_091,,Mech,,
,True,Goblins vs Gnomes,Ogniki błędniki,Trent Kaniuga,<b>Wybierz jedno:</b> Przyzwij 5 Ogników; lub daj stronnikowi +5/+5 oraz <b>Prowokację</b>.,Epic,,6,,Nad nazwą tej karty pracowały najtęższe umysły!,Spell,GVG_041,,,Druid,
,,Goblins vs Gnomes,Ogniki błędniki,,+5/+5 oraz <b>Prowokacja</b>.,,,,,,Enchantment,GVG_041c,,,Druid,
,,Goblins vs Gnomes,Ogniki błędniki,,Przyzwij 5 Ogników.,,,,,,Spell,GVG_041b,,,Druid,
,,Goblins vs Gnomes,Ogniki błędniki,,+5/+5 oraz <b>Prowokacja</b>.,,,,,,Spell,GVG_041a,,,Druid,
,True,Goblins vs Gnomes,Ogniste działo,Mauricio Herrera,Zadaj $4 pkt. obrażeń losowemu wrogiemu stronnikowi.,Common,,2,,Ogniste działo doskonale wpisuje się w długą tradycję zabójczych goblińskich wynalazków.,Spell,GVG_001,,,Mage,
,True,Goblins vs Gnomes,Ogr mięśniak,Vinod Rams,50% szans na zaatakowanie niewłaściwegowroga.,Common,4,3,4,„JA MIEĆ LEPSZE STATY ZA NIŻSZOM CENE!”,Minion,GVG_065,,,,
,True,Goblins vs Gnomes,Ogr Mogor,Michal Ivan,Wszyscy stronnicy mają 50% szans na zaatakowanie niewłaściwego wroga.,Legendary,7,6,6,Mogor uczestniczył w ponownym otwarciu Mrocznego Portalu. Jeśli o pomoc w tak odpowiedzialnym zadaniu musisz prosić ogra to wiedz że jesteś w poważnych tarapatach.,Minion,GVG_112,True,,,
Stealth,True,Goblins vs Gnomes,Ogr ninja,Samwise,<b>Ukrycie</b>50% szans na zaatakowanie niewłaściwego wroga.,Rare,6,5,6,Co prawda nie zdał egzaminu wstępnego do akademii ninja ale załapał się na dodatkowy nabór.,Minion,GVG_088,,,Rogue,
,True,Goblins vs Gnomes,Ogrzy Haratacz,Richard Wright,50% szans na zaatakowanie niewłaściwegowroga.,Common,4,3,,Brutalnie prosty – jak większość przejawów kultury ogrów.,Weapon,GVG_054,,,Warrior,2
,,Goblins vs Gnomes,Olejek osełkowy,,+3 do ataku.,,,,,,Enchantment,GVG_022a,,,,
Combo,True,Goblins vs Gnomes,Olejek osełkowy,Den,Daj twojej broni +3 do ataku. <b>Kombinacja:</b> Daj losowemu przyjaznemu stronnikowi +3 do ataku.,Common,,4,,„Gotowi do smarowania!” - okrzyk bojowy łapówkarzy.,Spell,GVG_022,,,Rogue,
,,Goblins vs Gnomes,Olejek osełkowy,,+3 do ataku.,,,,,,Enchantment,GVG_022b,,,,
,,Goblins vs Gnomes,Opancerzenie,,+1 do zdrowia.,,,,,,Enchantment,PART_001e,,,,
,True,Goblins vs Gnomes,Pajęczy czołg,Dany Orizio,,Common,3,3,4,„A może by tak zamontować na nim takie wielgachne działa?” – inżynier Migbłysk podczas odbioru Pajęczego Transportera Kroczącego.,Minion,GVG_044,,Mech,,
,True,Goblins vs Gnomes,Pani Bólu,Carl Critchlow,Za każdym razem gdy ten stronnik zadaje obrażenia przywraca tyle samo zdrowia twojemu bohaterowi.,Rare,1,2,4,Jej siostra Pani Bulu zsyła cierpienie na władców królestwa Beznadzieji.,Minion,GVG_018,,Demon,Warlock,
,,Goblins vs Gnomes,Pełne wyposażenie,,+2/+2.,,,,,,Enchantment,GVG_060e,,,Paladin,
,True,Goblins vs Gnomes,Piastunka Gaju,Chris Rahn,<b>Wybierz jedno:</b> Daj każdemu z graczy kryształ many; lub każdy z graczy dobiera kartę.,Rare,2,3,4,Lubi piesze wycieczki w leśnej głuszy. Nie lubi goblińskich szatkowników i sandałów (żadne na nią nie pasują).,Minion,GVG_032,,,Druid,
Charge|Taunt,True,Goblins vs Gnomes,Piechota Gnomoreganu,Zoltan & Gabor,<b>Szarża</b><b>Prowokacja</b>,Common,1,3,4,Szarżuje prowokuje wrogów rozgnomuje!,Minion,GVG_098,,,,
ImmuneToSpellpower,True,Goblins vs Gnomes,Pieczęć Światłości,Jason Chan,Przywróć #4 pkt. zdrowia twojemu bohaterowi i zyskaj +2 do ataku w tej turze.,Common,,2,,A Pieczeń Światłości ponoć przywraca aż OSIEM punktów zdrowia!,Spell,GVG_057,,,Paladin,
OneTurnEffect,,Goblins vs Gnomes,Pieczęć Światłości,,+2 do ataku w tej turze.,,,,,,Enchantment,GVG_057a,,,,
,True,Goblins vs Gnomes,Płomienny Lewiatan,Aleksi Briclot,Gdy dobierzesz tę kartę zadaj $2 pkt. obrażeń wszystkim postaciom.,Legendary,7,7,7,Mimiron często zabiera Płomiennego Lewiatana na szalone przejażdżki po Ulduarze.,Minion,GVG_007,True,Mech,Mage,
Spellpower,,Goblins vs Gnomes,Podkręcenie,,Obrażenia zaklęć +2.,,,,,,Enchantment,GVG_123e,,,Mage,
,,Goblins vs Gnomes,Pomsta,,Zwiększony atak,,,,,,Enchantment,GVG_063a,,,,
,,Goblins vs Gnomes,Poszycie,,Zwiększony atak.,,,,,,Enchantment,GVG_086e,,,Warrior,
,,Goblins vs Gnomes,Poszycie,Nutchapol Thitinunthakorn,Daj stronnikowi +1 do zdrowia.,,,1,,,Spell,PART_001,,,,
,,Goblins vs Gnomes,Potęga Majsterkowa,,+1/+1.,,,,,,Enchantment,GVG_102e,,,,
,,Goblins vs Gnomes,Potęga Zul&sbquo;Farrak,,Zwielokrotnienie ataku.,,,,,,Enchantment,GVG_049e,,,Hunter,
,True,Goblins vs Gnomes,Pozorowanie śmierci,Luca Zontini,Aktywuj <b>Agonię</b> u wszystkich twoich stronników.,Epic,,2,,Pozorując śmierć najtrudniej jest wydzielać odpowiedni zapach – wymaga to wielkiego poświęcenia (lub pomocy niedźwiedzia).,Spell,GVG_026,,,Hunter,
OneTurnEffect,,Goblins vs Gnomes,Promień skurczający,,-2 do ataku w tej turze.,,,,,,Enchantment,GVG_011a,,,,
,,Goblins vs Gnomes,Przerdzewiały klakson,Peerasak Senalai,Daj stronnikowi <b>Prowokację</b>.,,,1,,,Spell,PART_003,,,,
Aura,,Goblins vs Gnomes,Przetrawiona magia,,Zwiększony atak.,,,,,,Enchantment,GVG_068a,,,,
Aura,,Goblins vs Gnomes,Przetrawiona magia,,Zwiększony atak.,,,,,,Enchantment,GVG_067a,,,,
,True,Goblins vs Gnomes,Przyzwanie zwierza,E.M. Gist,Dobierz kartę.Jeśli jest to Bestia kosztuje (4) mniej.,Rare,,2,,Prawdziwi łowcy potrafią nawet wpaść na trop owcy!,Spell,GVG_017,,,Hunter,
