COLLECTIBLE,SET,NAME,FACTION,RARITY,HEALTH,TYPE,ID,PLAYERCLASS,MECHANICS,TEXT,ARTIST,ATTACK,COST,HOWTOGETGOLD,FLAVOR,HOWTOGET,DURABILITY,RACE,INPLAYTEXT
True,Basic,Elita Kor&sbquo;kronu,,Common,3,Minion,NEW1_011,Warrior,Charge,<b>Szarża</b>,Alex Horley Orlandelli,4,4,Odblokowane na poziomie 44.,Kor&sbquo;kron to doborowa jednostka Garosza Piekłorycza. Powiedzmy że nie chcesz znaleźć się z nimi w jednym pomieszczeniu.,Odblokowane na poziomie 4.,,,
,Basic,Eteryczny totem,Neutral,Free,2,Minion,CS2_052,Shaman,Spellpower,<b>Obrażenia zaklęć +1</b>,,0,1,,,,,Totem,
True,Basic,Fala płomieni,Neutral,Common,,Spell,CS2_032,Mage,,Zadaj $4 pkt. obrażeń wszystkim wrogim stronnikom.,Romain De Santi,,7,Odblokowane na poziomie 51.,Kiedy wszystko wokół płonie zacznij klaskać raźno w dłonie!,Odblokowane na poziomie 10.,,,
True,Basic,Furia wichru,Neutral,Free,,Spell,CS2_039,Shaman,,Daj stronnikowi <b>Furię wichru</b>.,Justin Sweet,,2,Odblokowane na poziomie 23.,Furia wichru świetnie nadaje się także do zamiatania ulic.,Odblokowane na poziomie 1.,,,
True,Basic,Garosz Piekłorycz,Neutral,Free,30,Hero,HERO_01,Warrior,,,,,,,,,,,
True,Basic,Gnomka wynalazca,Alliance,Common,4,Minion,CS2_147,,Battlecry,<b>Okrzyk bojowy:</b> Dobierz kartę.,Court Jones,2,4,Odblokowane na 57 poziomie kapłana.,Nigdy nie jest pewna co właściwie wymyśla. Ale wie jedno - będzie ODJAZDOWE!,,,,
True,Basic,Gobliński ochroniarz,Horde,Common,4,Minion,CS2_187,,Taunt,<b>Prowokacja</b>,Matt Cavotta,5,5,Odblokowane na 55 poziomie szamana.,Możesz go wynająć... aż ktoś zapłaci mu dość złota by wbił ci nóż w plecy.,,,,
,Basic,Gorejący totem,Neutral,Free,1,Minion,CS2_050,Shaman,,,,1,1,,,,,Totem,
True,Basic,Gorliwa kapłanka,,Free,3,Minion,CS2_235,Priest,HealTarget,Za każdym razem gdy stronnik zostanie uleczony dobierz kartę.,Terese Nielsen,1,1,Odblokowane na poziomie 40.,Pomaga cierpiącym i potrzebującym. No i jeszcze sprzedaje ciasteczka.,Odblokowane na poziomie 1.,,,
True,Basic,Grizli żelaznoskóry,Neutral,Common,3,Minion,CS2_125,,Taunt,<b>Prowokacja</b>,Lars Grant-West,3,3,Odblokowane na 59 poziomie łowcy.,„O grizli?” „Nie strielali”.,,,Beast,
True,Basic,Gul&sbquo;dan,Neutral,Free,30,Hero,HERO_07,Warlock,,,,,,,,,,,
True,Basic,Gwałtowny wzrost,Neutral,Free,,Spell,CS2_013,Druid,,Otrzymujesz pusty kryształ many.,James Ryman,,2,Odblokowane na poziomie 23.,Wyhoduj własne kryształy many za pomocą naszego zestawu! Tylko 10 sztuk złota plus podatek od many!,Odblokowane na poziomie 1.,,,
True,Basic,Gwiezdny ogień,Neutral,Common,,Spell,EX1_173,Druid,,Zadaj $5 pkt. obrażeńDobierz kartę.,Alex Horley Orlandelli,,6,Odblokowane na poziomie 45.,Równowaga jest bardzo ważna dla druidów. Ta karta jest idealnie zrównoważona.,Odblokowane na poziomie 2.,,,
,Basic,Heroiczny cios,,,,Enchantment,CS2_105e,Warrior,OneTurnEffect,+4 do ataku w tej turze.,,,,,,,,,
True,Basic,Heroiczny cios,Neutral,Free,,Spell,CS2_105,Warrior,,Daj twojemu bohaterowi +4 do ataku w tej turze.,Jonboy Meyers,,2,Odblokowane na poziomie 15.,Tak naprawdę to w przypadku bohatera <i>każdy</i> cios jest heroiczny.,Odblokowane na poziomie 1.,,,
True,Basic,Jaina Proudmoore,Neutral,Free,30,Hero,HERO_08,Mage,,,,,,,,,,,
,Basic,Jątrzący nóż,Neutral,Free,,Weapon,CS2_082,Rogue,,,,1,1,,,,2,,
True,Basic,Kapłanka Straceńczego Słońca,Neutral,Common,2,Minion,EX1_019,,Battlecry,<b>Okrzyk bojowy:</b> Daj przyjaznemu stronnikowi +1/+1.,Doug Alexander,3,3,Odblokowane na 53 poziomie kapłana.,Zawsze ma pod ręką napój energetyczny „Słoneczna Studnia™”!,,,,
True,Basic,Kobold geomanta,Horde,Common,2,Minion,CS2_142,,Spellpower,<b>Obrażenia zaklęć +1</b>,Gabor Szikszai,2,2,Odblokowane na 59 poziomie czarnoksiężnika.,Dawno dawno temu koboldy były najlepszymi wytwórcami świec na świecie. A później im odbiło...,,,,
True,Basic,Komandos Gromdardy,Alliance,Common,2,Minion,CS2_150,,Battlecry,<b>Okrzyk bojowy:</b> Zadaj 2 pkt. obrażeń.,Kev Walker,4,5,Odblokowane na 51 poziomie paladyna.,Komandosi Gromdardy to eksperci od materiałów wybuchowych. Wypiekają także przepyszne babeczki.,,,,
True,Basic,Konsekracja,Neutral,Common,,Spell,CS2_093,Paladin,,Zadaj $2 pkt. obrażeń wszystkim wrogom.,Vance Kovacs,,4,Odblokowane na poziomie 43.,Konsekrowana ziemia jaśnieje świętą energią. Podczas rytuału nie wdychaj za dużo kadzidła.,Odblokowane na poziomie 4.,,,
True,Basic,Kontrola umysłu,Neutral,Common,,Spell,CS1_113,Priest,,Przejmij kontrolę nad wrogim stronnikiem.,Sean O’Daniels,,10,Odblokowane na poziomie 49.,Nominacja w kategorii „Zaklęcie najłatwiej doprowadzające przeciwnika do furii”.,Odblokowane na poziomie 10.,,,
,Basic,Kontrola umysłu,Neutral,Common,,Enchantment,CS1_113e,Priest,,Kontrola nad tym stronnikiem została zamieniona.,,,,,,,,,
True,Basic,Kosior,Neutral,Common,,Spell,EX1_278,Rogue,,Zadaj $1 pkt. obrażeń. Dobierz kartę.,Alex Garner,,2,Odblokowane na poziomie 45.,Zadaje więcej obrażeń wraz z okrzykiem bojowym „Kosi kosi łapci!”,Odblokowane na poziomie 6.,,,
,Basic,Kruszyskalny oręż,,,,Enchantment,CS2_045e,Shaman,OneTurnEffect,Ta postać ma +3 do ataku podczas tej tury.,,,,,,,,,
True,Basic,Kruszyskalny oręż,Neutral,Free,,Spell,CS2_045,Shaman,,Daj przyjaznej postaci +3 do ataku w tej turze.,Alex Horley Orlandelli,,1,Odblokowane na poziomie 36.,Dobrze sprawdza się jeśli przeciwnik jest z kamienia.,Odblokowane na poziomie 1.,,,
True,Basic,Księżycowy ogień,Neutral,Common,,Spell,CS2_008,Druid,,Zadaj $1 pkt. obrażeń.,Richard Wright,,0,Odblokowane na poziomie 40.,„Co ja mam co ja mam - księżycowy ogień”. - Piosenki małego druida księga V,Odblokowane na poziomie 6.,,,
True,Basic,Kula ognia,Neutral,Free,,Spell,CS2_029,Mage,,Zadaj $6 pkt. obrażeń.,Ralph Horsley,,4,Odblokowane na poziomie 44.,Na widok takiej kuli większość ludzi też się kuli. Ze strachu.,Odblokowane na poziomie 1.,,,
,Basic,Leok,,Common,4,Minion,NEW1_033,Hunter,,Pozostali przyjaźni stronnicy otrzymują +1 do ataku.,,2,3,,,,,Beast,
True,Basic,Leśny wilk,Neutral,Free,1,Minion,DS1_175,Hunter,Aura,Twoje pozostałe Bestie otrzymują +1 do ataku.,Malcolm Davis,1,1,Odblokowane na poziomie 23.,Leśne wilki mają spore powodzenie wśród innych bestii.,Odblokowane na poziomie 1.,,Beast,
True,Basic,Łowczyni z Brzytwoskórych,Horde,Common,3,Minion,CS2_196,,Battlecry,<b>Okrzyk bojowy:</b> Przyzwij Dzika 1/1.,Clint Langley,2,3,Odblokowane na 55 poziomie łowcy.,Ktoś raz zadarł z Kłoryjem. Ino RAZ.,,,,
True,Basic,Lustrzane odbicie,Neutral,Common,,Spell,CS2_027,Mage,,Przyzwij dwóch stronników 0/2 z <b>Prowokacją</b>.,Jim Nelson,,1,Odblokowane na poziomie 36.,Hej to Lustrzane odbicie! !eicibdo enazrtsuL ot jeH,Odblokowane na poziomie 4.,,,
,Basic,Lustrzane odbicie,Neutral,Common,2,Minion,CS2_mirror,Mage,Taunt,<b>Prowokacja</b>,,0,0,,,,,,
True,Basic,Mag z Dalaranu,Neutral,Common,4,Minion,EX1_582,,Spellpower,<b>Obrażenia zaklęć +1</b>,Jim Nelson,1,3,Odblokowane na 59 poziomie maga.,Wojowników z Dalaranu jakoś się nie widuje.,,,,
True,Basic,Malfurion Burzogniewny,Neutral,Free,30,Hero,HERO_06,Druid,,,,,,,,,,,
,Basic,Mechaniczny smokor,Neutral,Common,1,Minion,EX1_025t,,,,,2,1,,,,,Mech,
,Basic,Misza,,Common,4,Minion,NEW1_032,Hunter,Taunt,<b>Prowokacja</b>,,4,3,,,,,Beast,
,Basic,Mlarggragllabl!,,,,Enchantment,EX1_508o,,,Ten Murlok ma +1 do ataku.,,,,,,,,,
True,Basic,Młodsza inżynier,Alliance,Free,1,Minion,EX1_015,,Battlecry,<b>Okrzyk bojowy:</b> Dobierz kartę.,Karl Richardson,1,2,Odblokowane na 59 poziomie druida.,„Połowa klasy nie otrzyma promocji... ponieważ zostaną zamienieni w kurczaki”. - Złote myśli dla nauczycieli autorstwa Nadiskrownika Opiłka.,,,,
True,Basic,Młot Gniewu,Neutral,Free,,Spell,CS2_094,Paladin,,Zadaj $3 pkt. obrażeńDobierz kartę.,Efrem Palacios,,4,Odblokowane na poziomie 32.,Dobry paladyn ma wiele narzędzi. Młot Gniewu. Szczypce Zemsty. Piła Sprawiedliwości i tym podobne.,Odblokowane na poziomie 1.,,,
True,Basic,Młyniec,Neutral,Common,,Spell,EX1_400,Warrior,,Zadaj $1 pkt. obrażeń WSZYSTKIM stronnikom.,Jonboy Meyers,,1,Odblokowane na poziomie 32.,Sposób na rozróżnienie doświadczonych wojowników od żółtodziobów: ci drudzy wołają „fruuuu” rozpoczynając młyniec.,Odblokowane na poziomie 6.,,,
,Basic,Moc krwi,Neutral,Free,,Hero Power,CS2_056,Warlock,,<b>Moc specjalna</b>Dobierz kartę i otrzymaj 2 pkt. obrażeń.,,,2,,,,,,
,Basic,Moneta,,,,Spell,GAME_005,,,Otrzymujesz 1 kryształ many w tej turze.,,,,,,,,,
,Basic,Moneta,,,,Enchantment,GAME_005e,,,,,,,,,,,,
True,Basic,Monterka smokorów,Alliance,Common,4,Minion,EX1_025,,Battlecry,<b>Okrzyk bojowy:</b> Przyzwij Mechanicznego smokora 2/1.,Warren Mahy,2,4,Odblokowane na 53 poziomie maga.,Cały czas pracuje nad przystawką z wyrzutnią rakiet dla Pana Kąsacza.,,,,
True,Basic,Mówca wiatru,Neutral,Common,3,Minion,EX1_587,Shaman,Battlecry,<b>Okrzyk bojowy:</b> Daj przyjaznemu stronnikowi <b>Furię wichru</b>.,Vance Kovacs,3,4,Odblokowane na poziomie 45.,Czy jest coś gorszego niż mówca puszczający wiatry?,Odblokowane na poziomie 8.,,,
True,Basic,Mroźne porażenie,Neutral,Free,,Spell,CS2_037,Shaman,Freeze,Zadaj $1 pkt. obrażeń wrogiej postaci i ją <b>Zamroź</b>.,Alex Horley Orlandelli,,1,Odblokowane na poziomie 32.,Idzie mróz idzie mróz niesie śniegu cały wóz!,Odblokowane na poziomie 1.,,,
True,Basic,Murlok brzegowiec,Neutral,Common,1,Minion,EX1_506,,Battlecry,<b>Okrzyk bojowy:</b> Przyzwij Murloka zwiadowcę 1/1.,Dan Scott,2,2,Odblokowane na 53 poziomie łotra.,Jak pisał poeta „Przy brzegu gdzie rów głęboki kły szczerzą okrutne murloki!”,,,Murloc,
True,Basic,Murlok grabieżca,Alliance,Free,1,Minion,CS2_168,,,,Dan Scott,2,1,Odblokowane na 51 poziomie kapłana.,Mrrraggglhlhghghlgh śpiewać... mrgaaag... każdy... blarrghlgaahahle... może mrgggg... trochę lepiej... glhalhah a bghhll... lub trochę gorzej... mglhlhlh mrghlhlhl!!,,,Murloc,
,Basic,Murlok zwiadowca,Neutral,Common,1,Minion,EX1_506a,,,,,1,0,,,,,Murloc,
,Basic,Nadmiar many,,,,Spell,CS2_013t,Druid,,Dobierz kartę. <i>(Możesz mieć maksymalnie 10 many w zasobniku).</i>,,,0,,,,,,
,Basic,NIEEEEEEEE!,,,,Spell,GAME_006,,,Jakimś cudem używana przez ciebie karta została skasowana. Weź tę w zamian!,,,2,,Nawet tekst opisu został skasowan....,,,,
True,Basic,Ogień duszy,Neutral,Common,,Spell,EX1_308,Warlock,,Zadaj $4 pkt. obrażeń. Odrzuć losową kartę.,Raymond Swanland,,1,Odblokowane na poziomie 28.,Chodzi o ogień z duszy. Nie z dyszy. To jednak spora różnica.,Odblokowane na poziomie 6.,,,
True,Basic,Ogłuszenie,Neutral,Free,,Spell,EX1_581,Rogue,,Cofnij wrogiego stronnika na rękę przeciwnika.,Scott Altmann,,2,Odblokowane na poziomie 40.,Dzięki umiejętności ogłuszania wielu łotrów dorabia na boku jako anestezjolodzy.,Odblokowane na poziomie 1.,,,
,Basic,Ognisty język,,,,Enchantment,EX1_565o,Shaman,,+2 do ataku od Totemu ognistego języka.,,,,,,,,,
True,Basic,Ognisty ogar,,Common,5,Minion,CS2_201,,,,E.M. Gist,9,7,Odblokowane na 51 poziomie łowcy.,Nie da się obłaskawić ognistych ogarów. Po prostu szkolisz je żeby cię nie zżarły.,,,Beast,
,Basic,Ognisty pocisk,Neutral,Free,,Hero Power,CS2_034,Mage,,<b>Moc specjalna</b>Zadaj 1 pkt. obrażeń.,,,2,,,,,,
True,Basic,Ognisty wojenny topór,Neutral,Free,,Weapon,CS2_106,Warrior,,,Lucas Graciano,3,2,Odblokowane na poziomie 49.,W czasach pokoju i ogólnej harmonii broń ta znana jest pod mniej popularną nazwą: Pieligrządek Pokoju.,Odblokowane na poziomie 1.,2,,
True,Basic,Ogr z Głazograbych,,Free,7,Minion,CS2_200,,,,Brian Despain,6,6,Odblokowane na 51 poziomie czarnoksiężnika.,„JA MIEĆ DOBRE STATY ZA NISKOM CENE!”,,,,
True,Basic,Ogrzy mag,Neutral,Common,4,Minion,CS2_197,,Spellpower,<b>Obrażenia zaklęć +1</b>,James Ryman,4,4,Odblokowane na 55 poziomie czarnoksiężnika.,Nauczanie ogrów magii to dość kontrowersyjny pomysł.,,,,
,Basic,Oko na niebie,,,,Enchantment,NEW1_033o,Hunter,,Leok daje temu stronnikowi +1 do ataku.,,,,,,,,,
True,Basic,Orzeźwienie,Neutral,Free,,Spell,EX1_169,Druid,,Otrzymujesz 2 kryształy many w tej turze.,Doug Alexander,,0,Odblokowane na poziomie 36.,Niektórzy druidzi wciąż pamiętają nieznajomych którzy krzyczeli „Orzeźwij mnie!”,Odblokowane na poziomie 1.,,,
,Basic,Ostrość,,,,Enchantment,CS2_083e,Rogue,OneTurnEffect,+1 do ataku w tej turze.,,,,,,,,,
True,Basic,Ostrze Nocy,Neutral,Free,4,Minion,EX1_593,,Battlecry,<b>Okrzyk bojowy:</b> Zadaj 3 pkt. obrażeń wrogiemu bohaterowi.,Raymond Swanland,4,5,Odblokowane na 53 poziomie druida.,Ostrze Nocy zawsze jest chętne do skrytej pomocy.,,,,
True,Basic,Ostrze skrytobójcy,Neutral,Common,,Weapon,CS2_080,Rogue,,,Brian Huang,3,5,Odblokowane na poziomie 32.,Gwarantujemy że poprzednio należało do prawdziwego skrytobójcy. Załączamy certyfikat autentyczności.,Odblokowane na poziomie 2.,4,,
,Basic,Owca,Neutral,Common,1,Minion,CS2_tk1,,,,,1,0,,,,,Beast,
True,Basic,Pakt ofiarny,,Common,,Spell,NEW1_003,Warlock,,Zniszcz Demona. Przywróć #5 pkt. zdrowia twojemu bohaterowi.,Jim Nelson,,0,Odblokowane na poziomie 15.,Z tego właśnie powodu demony nigdy nie przyjaźnią się z czarnoksiężnikami.,Odblokowane na poziomie 8.,,,
,Basic,Pancerz!,Neutral,Free,,Hero Power,CS2_102,Warrior,,<b>Moc specjalna</b>Otrzymujesz 2 pkt. pancerza.,,,2,,,,,,
,Basic,Pazur,,,,Enchantment,CS2_005o,Druid,OneTurnEffect,+2 do ataku w tej turze.,,,,,,,,,
True,Basic,Pazur,Neutral,Free,,Spell,CS2_005,Druid,,Daj twojemu bohaterowi +2 do ataku w tej turze oraz +2 pkt. pancerza.,Dany Orizio,,1,Odblokowane na poziomie 32.,Gdy druid pokazuje pazury nie musi to oznaczać agresji. Może zwyczajnie prosi o manicure.,Odblokowane na poziomie 1.,,,
,Basic,Pazury,,,,Enchantment,CS2_017o,Druid,OneTurnEffect,Twój bohater ma +1 do ataku w tej turze.,,,,,,,,,
,Basic,Pewny strzał,Neutral,Free,,Hero Power,DS1h_292,Hunter,,<b>Moc specjalna</b>Zadaj 2 pkt. obrażeń wrogiemu bohaterowi.,,,2,,,,,,
True,Basic,Piechur ze Złotych Włości,Alliance,Common,2,Minion,CS1_042,,Taunt,<b>Prowokacja</b>,Donato Giancola,1,1,Odblokowane na 57 poziomie paladyna.,Jeśli na straży Złotych Włości stoją takie zuchy to i tak cud że nie zostały jeszcze spalone.,,,,
True,Basic,Piekielny ogień,Neutral,Free,,Spell,CS2_062,Warlock,,Zadaj $3 pkt. obrażeń WSZYSTKIM postaciom.,Chippy,,4,Odblokowane na poziomie 49.,To przez takie zaklęcia czarnoksiężnicy mają problemy ze znalezieniem pomocników.,Odblokowane na poziomie 1.,,,
True,Basic,Pocisk cienia,Neutral,Free,,Spell,CS2_057,Warlock,,Zadaj $4 pkt. obrażeń stronnikowi.,Dave Allsop,,3,Odblokowane na poziomie 47.,To pocisk. Stworzony z cienia. Nic więcej wiedzieć nie trzeba.,Odblokowane na poziomie 1.,,,
True,Basic,Pocisk lodu,Neutral,Common,,Spell,CS2_024,Mage,Freeze,Zadaj $3 pkt. obrażeń dowolnej postaci i ją <b>Zamroź</b>.,Steve Ellis,,2,Odblokowane na poziomie 40.,Przy zagraniu tej karty zwykło się wołać „Mrożonka!” albo „Bałwan!” ewentualnie „Zostawiam cię na lodzie”.,Odblokowane na poziomie 2.,,,
True,Basic,Podstępne uderzenie,Neutral,Free,,Spell,CS2_075,Rogue,,Zadaj $3 pkt. obrażeń wrogiemu bohaterowi.,Frank Cho,,1,Odblokowane na poziomie 15.,W tym uderzeniu jest coś nietypowego. A nawet podstępnego!,Odblokowane na poziomie 1.,,,
True,Basic,Pokora,Neutral,Common,,Spell,EX1_360,Paladin,,Zmień atak stronnika na 1.,Daren Bader,,1,Odblokowane na poziomie 28.,Nie wiedzieć czemu pierwotna nazwa tej karty to „Wojciech”.,Odblokowane na poziomie 6.,,,
,Basic,Pokora,Neutral,,,Enchantment,EX1_360e,Paladin,,Atak został zmieniony na 1.,,,,,,,,,
,Basic,Polimorfia,Neutral,Common,,Enchantment,CS2_022e,Mage,Morph,Ten stronnik został przemieniony w owcę 1/1.,,,,,,,,,
True,Basic,Polimorfia,Neutral,Free,,Spell,CS2_022,Mage,,Przemień stronnika w owcę 1/1.,Vance Kovacs,,4,Odblokowane na poziomie 47.,Mieliśmy tu napisać jakiś fajny tekst ale wyszedł beeeeeee-znadziejnie.,Odblokowane na poziomie 1.,,,
,Basic,Pomniejsze uzdrowienie,Neutral,Free,,Hero Power,CS1h_001,Priest,,<b>Moc specjalna</b>Przywróć 2 pkt. zdrowia.,,,2,,,,,,
,Basic,Potęga Wichrogrodu,,,,Enchantment,CS2_222o,,,Ma +1/+1.,,,,,,,,,
,Basic,Pradawna infuzja,,,,Enchantment,CS2_041e,Shaman,Taunt,Prowokacja,,,,,,,,,
True,Basic,Pradawne uzdrowienie,Neutral,Free,,Spell,CS2_041,Shaman,,Przywróć stronnika do pełni zdrowia i daj mu <b>Prowokację</b>.,Dan Scott,,0,Odblokowane na poziomie 15.,Podczas bitwy możesz przywołać siłę swoich przodków! Więc lepiej mieć dużą rodzinę!,Odblokowane na poziomie 1.,,,
True,Basic,Prawo Światłości,Neutral,Free,,Weapon,CS2_091,Paladin,,,Glenn Rane,1,1,Odblokowane na poziomie 36.,W wersji dla mańkutów oręż ten nosi nazwę „Lewo Światłości”.,Odblokowane na poziomie 1.,4,,
,Basic,Prychacz,,Common,2,Minion,NEW1_034,Hunter,Charge,<b>Szarża</b>,,4,3,,,,,Beast,
True,Basic,Przerażający infernal,Neutral,Common,6,Minion,CS2_064,Warlock,Battlecry,<b>Okrzyk bojowy:</b> Zadaj 1 pkt. obrażeń WSZYSTKIM pozostałym postaciom.,Zoltan & Gabor,6,6,Odblokowane na poziomie 23.,„INFERNOOOOO!” - Jaraxxus Lord Płonącego Legionu,Odblokowane na poziomie 10.,,Demon,
True,Basic,Ręka ochrony,Neutral,Free,,Spell,EX1_371,Paladin,,Daj stronnikowi <b>Boską tarczę</b>.,Clint Langley,,1,Odblokowane na poziomie 23.,To zaklęcie zmieniało nazwę tyle razy że nawet paladyni już nie wiedzą jaka jest ostateczna wersja.,Odblokowane na poziomie 1.,,,
,Basic,Rekrut Srebrnej Dłoni,,Free,1,Minion,CS2_101t,Paladin,,,,1,1,,,,,,
True,Basic,Rexxar,Neutral,Free,30,Hero,HERO_05,Hunter,,,,,,,,,,,
True,Basic,Rozbłysk mrozu,Neutral,Common,,Spell,CS2_026,Mage,Freeze,<b>Zamroź</b> wszystkich wrogich stronników.,Josh Tallman,,3,Odblokowane na poziomie 23.,Zimno wszędzie mroźno wszędzie co to będzie co to będzie.,Odblokowane na poziomie 6.,,,
True,Basic,Rozbłysk świętości,Neutral,Common,,Spell,CS1_112,Priest,,Zadaj $2 pkt. obrażeń wszystkim wrogom. Przywróć #2 pkt. zdrowia wszystkim przyjaznym postaciom.,Luca Zontini,,5,Odblokowane na poziomie 45.,Przyjdzie kryska na matyska kiedy świętość mu rozbłyska.,Odblokowane na poziomie 6.,,,
