MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,ELITE,RARITY,RACE,PLAYERCLASS,COLLECTIBLE,ARTIST,HOWTOGETGOLD,FLAVOR,HOWTOGET,FACTION,DURABILITY
Battlecry,Blackrock Mountain,Drakonid miażdżyciel,<b>Okrzyk bojowy:</b> Otrzymuje +3/+3 jeśli twój przeciwnik ma 15 zdrowia lub mniej.,6,6,6,Minion,BRM_024,,Common,Dragon,,True,Slawomir Maniak,Można wykonać po pokonaniu Atramedesaw Ukrytym Laboratorium.,Ponieważ dobry przeciwnik to płaski przeciwnik.,Aby odblokować pokonaj Atramedesa w Ukrytym Laboratorium.,,
,Blackrock Mountain,Druidka Płomieni,,2,3,5,Minion,BRM_010t2,,Common,Beast,Druid,,Hideaki Takamura,,,,,
,Blackrock Mountain,Druidka Płomieni,,5,3,2,Minion,BRM_010t,,Common,Beast,Druid,,Ben Zhang,,,,,
,Blackrock Mountain,Druidka Płomieni,<b>Wybierz jedno:</b> Przemień w stronnika 5/2; lub w stronnika 2/5.,2,3,2,Minion,BRM_010,,Common,,Druid,True,Stanley Lau,Można wykonać po pokonaniu Garraw Ognistej Czeluści.,Druidzi zbyt długo walczący na Północnej Grani bardzo łatwo wpadali w sidła Ragnarosa. W zasadzie wystarczył kubek gorącej czekolady…,Aby odblokować pokonaj Garra w Ognistej Czeluści.,,
,Blackrock Mountain,Dzika magia,<b>Moc specjalna</b>Umieść losowe zaklęcie z klasy przeciwnika w twojej ręce.,,1,,Hero Power,BRMA13_4H,,,,,,,,,,,
,Blackrock Mountain,Dzika magia,<b>Moc specjalna</b>Umieść losowe zaklęcie z klasy przeciwnika w twojej ręce.,,1,,Hero Power,BRMA13_4,,,,,,,,,,,
,Blackrock Mountain,Echolokacja,<b>Moc specjalna</b>Wyposaż się w broń która staje się potężniejsza gdy przeciwnik zagrywa karty.,,1,,Hero Power,BRMA16_2,,,,,,,,,,,
,Blackrock Mountain,Echolokacja,<b>Moc specjalna</b>Wyposaż się w broń która staje się potężniejsza gdy przeciwnik zagrywa karty.,,0,,Hero Power,BRMA16_2H,,,,,,,,,,,
,Blackrock Mountain,Elektron,Wszystkie zaklęcia kosztują (3) mniej.,6,3,6,Minion,BRMA14_7H,True,Legendary,Mech,,,,,,,,
Aura,Blackrock Mountain,Elektron,Wszystkie zaklęcia kosztują (3) mniej.,5,3,5,Minion,BRMA14_7,True,Legendary,Mech,,,,,,,,
,Blackrock Mountain,Esencja Czerwieni,<b>Moc specjalna</b>Każdy gracz dobiera 2 karty.,,0,,Hero Power,BRMA11_2,,,,,,,,,,,
,Blackrock Mountain,Esencja Czerwieni,<b>Moc specjalna</b>Każdy gracz dobiera 3 karty. Otrzymujesz kryształ many.,,0,,Hero Power,BRMA11_2H,,,,,,,,,,,
,Blackrock Mountain,Furiat mocy,+3/+3,,,,Enchantment,BRM_014e,,,,Hunter,,,,,,,
,Blackrock Mountain,Garr,,,,45,Hero,BRMA04_1H,,,,,,,,,,,
,Blackrock Mountain,Garr,,,,30,Hero,BRMA04_1,,,,,,,,,,,
,Blackrock Mountain,Generał Drakkisat,,,,50,Hero,BRMA08_1H,,,,,,,,,,,
,Blackrock Mountain,Generał Drakkisat,,,,50,Hero,BRMA08_1,,,,,,,,,,,
,Blackrock Mountain,GIŃ ROBAKU!,<b>Moc specjalna</b>Zadaj 8 pkt. obrażeń losowemu wrogowi.,,2,,Hero Power,BRM_027p,,,,,,,,,,,
AffectedBySpellPower,Blackrock Mountain,GIŃ ROBAKU!,Zadaj $8 pkt. obrażeń losowemu wrogowi.,,0,,Spell,BRMA13_8,,,,,,,,,,,
,Blackrock Mountain,GIŃCIE ROBAKI!,<b>Moc specjalna</b>Zadaj 8 pkt. obrażeń losowemu wrogowi. DWUKROTNIE.,,2,,Hero Power,BRM_027pH,,,,,,,,,,,
Battlecry,Blackrock Mountain,Głodny smok,<b>Okrzyk bojowy:</b> Przyzwij losowego stronnika o koszcie 1 twojemu przeciwnikowi.,5,4,6,Minion,BRM_026,,Common,Dragon,,True,John Polidora,Można wykonać po pokonaniu Chromagusaw Leżu Czarnoskrzydłego.,Szczególnie chętnie zeżarłby Dratewkę.,Aby odblokować pokonaj Chromagusa w Leżu Czarnoskrzydłego.,,
AffectedBySpellPower,Blackrock Mountain,Gniew demona,Zadaj $2 pkt. obrażeń wszystkim stronnikom nie będącym Demonami.,,3,,Spell,BRM_005,,Rare,,Warlock,True,Raymond Swanland,Można wykonać po ukończeniu wyzwania klasowego dla czarnoksiężnika w Czarnej Górze.,Demony zwykle są dość spolegliwe. Musisz zagrać tę kartę aby naprawdę je rozgniewać.,Aby odblokować ukończ wyzwanie klasowe dla czarnoksiężnika w Czarnej Górze.,,
,Blackrock Mountain,Gyth,,8,3,4,Minion,BRMA09_5t,True,Legendary,Dragon,,,,,,,,
,Blackrock Mountain,Gyth,,8,3,8,Minion,BRMA09_5Ht,True,Legendary,Dragon,,,,,,,,
,Blackrock Mountain,Imperator Thaurissan,Na koniec twojej tury zmniejsz koszt kart w twojej ręce o (1).,5,6,5,Minion,BRM_028,True,Legendary,,,True,Wayne Reynolds,Można wykonać po ukończeniuOtchłani Czarnej Góry.,Miałby całkiem klawe życie gdyby nie fakt że wezwany przez niego zły Władca Ognia zniewolił cały jego lud.,Aby odblokować ukończ Otchłań Czarnej Góry.,,
,Blackrock Mountain,Imperator Thaurissan,,,,30,Hero,BRMA03_1H,,,,,,,,,,,
,Blackrock Mountain,Imperator Thaurissan,,,,30,Hero,BRMA03_1,,,,,,,,,,,
,Blackrock Mountain,Inkubacja,Zwiększone zdrowie.,,,,Enchantment,BRMA10_3e,,,,,,,,,,,
,Blackrock Mountain,Intensywne spojrzenie,<b>Pasywna moc specjalna</b>Wszystkie karty kosztują (1). Gracze mają limit 1 kryształu many.,,,,Hero Power,BRMA08_2,,,,,,,,,,,
,Blackrock Mountain,Intensywne spojrzenie,<b>Pasywna moc specjalna</b>Wszystkie karty kosztują (1). Masz limit 2 kryształów many a przeciwnik 1.,,,,Hero Power,BRMA08_2H,,,,,,,,,,,
,Blackrock Mountain,JA WALIĆ!,<b>Moc specjalna</b>Zniszcz losowego wrogiego stronnika.,,0,,Hero Power,BRMA07_2H,,,,,,,,,,,
,Blackrock Mountain,JA WALIĆ!,<b>Moc specjalna</b>Zniszcz losowego rannego wrogiego stronnika.,,1,,Hero Power,BRMA07_2,,,,,,,,,,,
,Blackrock Mountain,Kamieniowanie,Przyzwij 3 Sługi Ognia. <b>Przeciążenie:</b> (2),,3,,Spell,BRMA04_4H,,,,,,,,,,,
,Blackrock Mountain,Kamieniowanie,Przyzwij 3 Sługi Ognia. <b>Przeciążenie:</b> (2),,3,,Spell,BRMA04_4,,,,,,,,,,,
Taunt,Blackrock Mountain,Kibic Czarnorytnych,<b>Prowokacja</b>,1,1,1,Minion,BRMA02_2t,,,,,,,,,,,
,Blackrock Mountain,Kościani stronnicy,<b>Moc specjalna</b>Przyzwij dwa Kościane konstrukty 2/1.,,2,,Hero Power,BRMA17_5,,,,,,,,,,,
,Blackrock Mountain,Kościani stronnicy,<b>Moc specjalna</b>Przyzwij dwa Kościane konstrukty 4/2.,,2,,Hero Power,BRMA17_5H,,,,,,,,,,,
,Blackrock Mountain,Kościany konstrukt,,2,1,1,Minion,BRMA17_6,,,,,,,,,,,
,Blackrock Mountain,Kościany konstrukt,,4,1,2,Minion,BRMA17_6H,,,,,,,,,,,
,Blackrock Mountain,Łaska Imperatora,Kosztuje (1) mniej.,,,,Enchantment,BRM_028e,,,,,,,,,,,
,Blackrock Mountain,LAWA!,Zadaj $2 pkt. obrażeń wszystkim stronnikom.,,2,,Spell,BRMA17_4,,,,,,,,,,,
,Blackrock Mountain,Lord Victor Nefarius,,,,30,Hero,BRMA13_1H,,,,,,,,,,,
,Blackrock Mountain,Lord Victor Nefarius,,,,30,Hero,BRMA13_1,,,,,,,,,,,
,Blackrock Mountain,Magmatron,Za każdym razem gdy gracz zagra kartę Magmatron zada mu 2 pkt. obrażeń.,8,5,8,Minion,BRMA14_9H,True,Legendary,Mech,,,,,,,,
Aura,Blackrock Mountain,Magmatron,Za każdym razem gdy gracz zagra kartę Magmatron zada mu 2 pkt. obrażeń.,7,5,7,Minion,BRMA14_9,True,Legendary,Mech,,,,,,,,
Taunt,Blackrock Mountain,Magmor,<b>Prowokacja</b>,10,5,2,Minion,BRMA14_12,True,Legendary,,,,,,,,,
,Blackrock Mountain,Majordomus,<b>Moc specjalna</b>Przyzwij Żarzyciela Akolitę 3/3.,,2,,Hero Power,BRMA06_2H,,,,,,,,,,,
,Blackrock Mountain,Majordomus,<b>Moc specjalna</b>Przyzwij Żarzyciela Akolitę 1/3.,,2,,Hero Power,BRMA06_2,,,,,,,,,,,
,Blackrock Mountain,Majordomus Egzekutus,,,,30,Hero,BRMA06_1,,,,,,,,,,,
,Blackrock Mountain,Majordomus Egzekutus,,,,30,Hero,BRMA06_1H,,,,,,,,,,,
Deathrattle,Blackrock Mountain,Majordomus Egzekutus,<b>Agonia:</b> Zastąp twojego bohatera Ragnarosem Władcą Ognia.,9,9,7,Minion,BRM_027,True,Legendary,,,True,Alex Horley Orlandelli,Można wykonać po ukończeniuOgnistej Czeluści.,Ogień. Nosisz go w sobie!,Aby odblokować ukończ Ognistą Czeluść.,,
,Blackrock Mountain,Maloriak,,,,30,Hero,BRMA15_1,,,,,,,,,,,
,Blackrock Mountain,Maloriak,,,,30,Hero,BRMA15_1H,,,,,,,,,,,
,Blackrock Mountain,Mikstura mocy,+2/+2.,,,,Enchantment,BRMA15_2He,,,,,,,,,,,
,Blackrock Mountain,Miotacz toporów,Za każdym razem gdy ten stronnik otrzyma obrażenia zadaj 2 pkt. obrażeń wrogiemu bohaterowi.,2,4,5,Minion,BRM_016,,Common,,Warrior,True,Efrem Palacios,Można wykonać po ukończeniu wyzwania klasowego dla wojownika w Czarnej Górze.,Zawsze chciał zostać miotaczem ognia ale okrutny los zadecydował inaczej.,Aby odblokować ukończ wyzwanie klasowe dla wojownika w Czarnej Górze.,,
Aura,Blackrock Mountain,Moira Miedziobroda,Moc specjalna Thaurissana nie może zostać użyta. Moira nie atakuje stronników bez <b>Prowokacji</b>.,1,2,3,Minion,BRMA03_3,,,,,,,,,,,
Aura,Blackrock Mountain,Moira Miedziobroda,Moc specjalna Thaurissana nie może zostać użyta. Moira nie atakuje stronników bez <b>Prowokacji</b>.,3,2,1,Minion,BRMA03_3H,,,,,,,,,,,
,Blackrock Mountain,Mutacja,<b>Moc specjalna:</b>Odrzuć losową kartę.,,1,,Hero Power,BRMA12_10,,,,,,,,,,,
,Blackrock Mountain,Nadzorca Omokk,,,,30,Hero,BRMA07_1,,,,,,,,,,,
,Blackrock Mountain,Nadzorca Omokk,,,,30,Hero,BRMA07_1H,,,,,,,,,,,
,Blackrock Mountain,Najwyższy Sędzia Groźnoskały,,,,30,Hero,BRMA02_1,,,,,,,,,,,
,Blackrock Mountain,Najwyższy Sędzia Groźnoskały,,,,30,Hero,BRMA02_1H,,,,,,,,,,,
,Blackrock Mountain,Nefarian,,,,30,Hero,BRMA17_2,,,,,,,,,,,
,Blackrock Mountain,Nefarian,,,,30,Hero,BRMA13_3,,,,,,,,,,,
,Blackrock Mountain,Nefarian,,,,30,Hero,BRMC_02,,,,,,,,,,,
,Blackrock Mountain,Nefarian,,,,30,Hero,BRMA13_3H,,,,,,,,,,,
Battlecry,Blackrock Mountain,Nefarian,<b>Okrzyk bojowy:</b> Dodaj 2 losowe zaklęcia do twojej ręki <i>(z klasy przeciwnika)</i>.,8,9,8,Minion,BRM_030,True,Legendary,Dragon,,True,Ruan Jia,Można wykonać po ukończeniuUkrytego Laboratorium.,Mówią na niego „Czarnoskrzydły” bo jest czarnym smokiem... i ma te jak im tam... skrzydła!,Aby odblokować pokonaj wszystkich bossów w Czarnej Górze!,,
,Blackrock Mountain,Nefarian,,,,30,Hero,BRMA17_2H,,,,,,,,,,,
,Blackrock Mountain,Nefarian uderza!,<b>Moc specjalna</b>Nefarian zsyła ognisty deszcz!,,0,,Hero Power,BRMA17_8H,,,,,,,,,,,
,Blackrock Mountain,Nefarian uderza!,<b>Moc specjalna</b>Nefarian zsyła ognisty deszcz!,,0,,Hero Power,BRMA17_8,,,,,,,,,,,
,Blackrock Mountain,Niebieskie Piętno,Gdy masz tę kartę w ręce zaklęcia Chromagusa kosztują (3) mniej.,,3,,Spell,BRMA12_5H,,,,,,,,,,,
,Blackrock Mountain,Niebieskie Piętno,Gdy masz tę kartę w ręce zaklęcia Chromagusa kosztują (1) mniej.,,1,,Spell,BRMA12_5,,,,,,,,,,,
Battlecry,Blackrock Mountain,Niszczyciel Ogniostraży,<b>Okrzyk bojowy:</b> Otrzymuje 1-4 do ataku. <b>Przeciążenie:</b> (1),3,4,6,Minion,BRM_012,,Common,,Shaman,True,Paul Mafayon,Można wykonać po pokonaniu Lorda Victora Nefariusa w Leżu Czarnoskrzydłego.,Ragnaros przesłuchał setki kandydatów na stanowisko „Niszczyciela” ale rzadko który do czegoś się nadawał.,Aby odblokować pokonaj Lorda Victora Nefariusa w Leżu Czarnoskrzydłego.,,
,Blackrock Mountain,Ogień!,Zwiększony atak.,,,,Enchantment,BRM_012e,,,,,,,,,,,
,Blackrock Mountain,Ogniste Serce,Dobierz 2 karty.Otrzymujesz 4 pkt. pancerza.,,3,,Spell,BRMA_01,,,,,,,,,,,
Battlecry,Blackrock Mountain,Ognisty furiat,<b>Okrzyk bojowy:</b> Otrzymuje +3/+3 jeśli masz pustą rękę.,4,4,4,Minion,BRM_014,,Rare,Beast,Hunter,True,Jomaro Kindred,Można wykonać po pokonaniu Nadzorcy Omokka w Iglicy Czarnej Góry.,Trzeba mieć spory dar przekonywania aby obłaskawić potwora żyjącego w gorącym sercu wulkanu i zrobić z niego zwierzątko domowe.,Aby odblokować pokonaj Nadzorcę Omokka w Iglicy Czarnej Góry.,,
,Blackrock Mountain,Onyxia,,,,15,Hero,BRMA17_3,,,,,,,,,,,
,Blackrock Mountain,Onyxia,,,,30,Hero,BRMA17_3H,,,,,,,,,,,
Taunt,Blackrock Mountain,Opoj,<b>Prowokacja</b>,1,1,1,Minion,BRMA01_4t,,,,,,,,,,,
Battlecry,Blackrock Mountain,Oprawca z Czarnorytnych,<b>Okrzyk bojowy:</b> Zadaj 2 pkt. obrażeń wszystkim niezranionym wrogim stronnikom.,4,5,3,Minion,BRM_008,,Rare,,Rogue,True,Eric Braddock,Można wykonać po ukończeniu wyzwania klasowego dla łotra w Czarnej Górze.,Odpowiada za odpowiednią oprawę podczas imprez.,Aby odblokować ukończ wyzwanie klasowe dla łotra w Czarnej Górze.,,
Taunt,Blackrock Mountain,Ork z Dawnej Hordy,<b>Prowokacja</b>,2,1,2,Minion,BRMA09_3Ht,,,,,,,,,,,
Taunt,Blackrock Mountain,Ork z Dawnej Hordy,<b>Prowokacja</b>,1,1,1,Minion,BRMA09_3t,,,,,,,,,,,
,Blackrock Mountain,Otwarcie wrót,<b>Moc specjalna</b>Przyzwij trzy Pisklęta 2/2. Otrzymujesz nową moc specjalną.,,2,,Hero Power,BRMA09_2H,,,,,,,,,,,
,Blackrock Mountain,Otwarcie wrót,<b>Moc specjalna</b>Przyzwij trzy Pisklęta 1/1. Otrzymujesz nową moc specjalną.,,2,,Hero Power,BRMA09_2,,,,,,,,,,,
,Blackrock Mountain,Piętno,<b>Moc specjalna</b>Na koniec twojej tury dodaj kartę Piętna do ręki przeciwnika.,,0,,Hero Power,BRMA12_2,,,,,,,,,,,
,Blackrock Mountain,Piętno,<b>Moc specjalna</b>Na koniec twojej tury dodaj kartę Piętna do ręki przeciwnika.,,0,,Hero Power,BRMA12_2H,,,,,,,,,,,
,Blackrock Mountain,Pisklę,,2,1,2,Minion,BRMA09_2Ht,,,Dragon,,,,,,,,
,Blackrock Mountain,Pisklę,,1,1,1,Minion,BRMA09_2t,,,Dragon,,,,,,,,
,Blackrock Mountain,Pisklę,,1,1,1,Minion,BRM_004t,,,,,,,,,,,
Battlecry,Blackrock Mountain,Pisklę Zmierzchu,<b>Okrzyk bojowy:</b> Otrzymuje +2 do zdrowia jeśli masz w ręku Smoka.,2,1,1,Minion,BRM_004,,Common,Dragon,Priest,True,Sam Nielson,Można wykonać po ukończeniu wyzwania klasowego dla kapłana w Czarnej Górze.,Mimo że Pisklęta Zmierzchu są w zasadzie magicznymi wampirami nie mają nic wspólnego z żadną popularną serią książek.,Aby odblokować ukończ wyzwanie klasowe dla kapłana w Czarnej Górze.,,
,Blackrock Mountain,Płonąca adrenalina,Zadaj $2 pkt. obrażeń wrogiemu bohaterowi.,,0,,Spell,BRMA11_3,,,,,,,,,,,
Battlecry,Blackrock Mountain,Plugawiciel,<b>Okrzyk bojowy:</b> Zadaj 3 pkt. obrażeń jeśli masz w ręku Smoka.,5,5,4,Minion,BRM_034,,Common,,,True,Greg Staples,Można wykonać po pokonaniu Maloriakaw Ukrytym Laboratorium.,Dla Plugawiciela Czarnoskrzydłego profesjonalne plugawienie to nie zawód – to powołanie.,Aby odblokować pokonaj Maloriaka w Ukrytym Laboratorium.,Neutral,
,Blackrock Mountain,Ponury klient,Za każdym razem gdy ten stronnik przetrwa otrzymanie obrażeń przyzwij kolejnego Ponurego klienta.,3,5,3,Minion,BRM_019,,Rare,,,True,Bobby Chiu,Można wykonać po pokonaniu Ponurego Opoja w Otchłani Czarnej Góry.,Jeśli lubisz obrywać po buzi zapraszamy do karczmy „Pod Ponurym Opojem”!,Aby odblokować pokonaj Ponurego Opoja w Otchłani Czarnej Góry.,,
,Blackrock Mountain,Postać żarokota,Przemień w stronnika 5/2.,,,,Spell,BRM_010a,,Common,Beast,Druid,,,,,,,
,Blackrock Mountain,Postać żaroptaka,Przemień w stronnika 2/5.,,,,Spell,BRM_010b,,Common,Beast,Druid,,,,,,,
,Blackrock Mountain,Potęga Władcy Ognia,<b>Moc specjalna</b>Zadaj 30 pkt. obrażeń.,,2,,Hero Power,BRMA03_2,,,,,,,,,,,
,Blackrock Mountain,Prawdziwa postać,<b>Moc specjalna</b>Niech rozpocznie się gra!,,1,,Hero Power,BRMA13_2,,,,,,,,,,,
,Blackrock Mountain,Prawdziwa postać,<b>Moc specjalna</b>Niech rozpocznie się gra!,,1,,Hero Power,BRMA13_2H,,,,,,,,,,,
,Blackrock Mountain,Prawdziwy Wódz,Zniszcz legendarnego stronnika.,,1,,Spell,BRMA09_6,,,,,,,,,,,
,Blackrock Mountain,Puls magmy,<b>Moc specjalna</b>Zadaj 1 pkt. obrażeń wszystkim stronnikom.,,1,,Hero Power,BRMA04_2,,,,,,,,,,,
,Blackrock Mountain,Ragnaros Władca Ognia,,,,30,Hero,BRMA06_3H,,,,,,,,,,,
,Blackrock Mountain,Ragnaros Władca Ognia,,,,30,Hero,BRMC_01,,,,,,,,,,,
,Blackrock Mountain,Ragnaros Władca Ognia,,,,8,Hero,BRMA06_3,,,,,,,,,,,
,Blackrock Mountain,Ragnaros Władca Ognia,,,,8,Hero,BRM_027h,,,,,,,,,,,
,Blackrock Mountain,Rozbrzmiewający gong,Zniszcz broń przeciwnika.,,1,,Spell,BRMA16_4,,,,,,,,,,,
