MECHANICS,SET,NAME,TEXT,TYPE,ID,COLLECTIBLE,FACTION,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,ELITE,PLAYERCLASS,RACE,INPLAYTEXT,DURABILITY
Battlecry,"Classic","Ancient Brewmaster","<b>Battlecry:</b> Return a friendly minion from the battlefield to your hand.","Minion","EX1_057",True,"Alliance","Bernie Kang","Common",5,4,4,"Most pandaren say his brew tastes like yak.  But apparently that's a compliment.",,,,,
Battlecry,"Classic","Ancient Mage","<b>Battlecry:</b> Give adjacent minions <b>Spell Damage +1</b>.","Minion","EX1_584",True,"Neutral","Howard Lyon","Rare",2,4,5,"Sometimes he forgets and just wanders into someone else's game.",,,,,
,"Classic","Ancient of Lore","<b>Choose One -</b> Draw 2 cards; or Restore 5 Health.","Minion","NEW1_008",True,,"Patrik Hjelm","Epic",5,7,5,"Go ahead carve your initials in him.",,"Druid",,,
,"Classic","Ancient of War","<b>Choose One</b> -
+5 Attack; or +5 Health and <b>Taunt</b>.","Minion","EX1_178",True,"Neutral","Sean O’Daniels","Epic",5,7,5,"Young Night Elves love to play "Who can get the Ancient of War to Uproot?"  You lose if you get crushed to death.",,"Druid",,,
,"Classic","Ancient Secrets","Restore 5 Health.","Spell","NEW1_008b",,,,,,,,,,"Druid",,,
,"Classic","Ancient Teachings","Draw 2 cards.","Spell","NEW1_008a",,,,,,,,,,"Druid",,,
,"Classic","Ancient Watcher","Can't Attack.","Minion","EX1_045",True,"Alliance","Richard Wright","Rare",4,2,5,"Why do its eyes seem to follow you as you walk by?",,,,,
Enrage,"Classic","Angry Chicken","<b>Enrage:</b> +5 Attack.","Minion","EX1_009",True,,"Mike Sass","Rare",1,1,1,"There is no beast more frightening (or ridiculous) than a fully enraged chicken.",,,"Beast",,
Battlecry,"Classic","Arathi Weaponsmith","<b>Battlecry:</b> Equip a 2/2 weapon.","Minion","EX1_398",True,"Neutral","Samwise","Common",3,4,3,"50% off fist weapons limited time only!",,"Warrior",,,
Battlecry|Charge,"Classic","Arcane Golem","<b>Charge</b>. <b>Battlecry:</b> Give your opponent a Mana Crystal.","Minion","EX1_089",True,"Neutral","Sedhayu Ardian","Rare",4,3,2,"Having Arcane golems at home really classes up the place and as a bonus they are great conversation pieces.",,,,,
,"Classic","Archmage Antonidas","Whenever you cast a spell add a 'Fireball' spell to your hand.","Minion","EX1_559",True,"Neutral","Wayne Reynolds","Legendary",5,7,7,"Antonidas was the Grand Magus of the Kirin Tor and Jaina's mentor.  This was a big step up from being Grand Magus of Jelly Donuts.",True,"Mage",,"Grand Magus",
Charge|Divine Shield,"Classic","Argent Commander","<b>Charge</b> <b>Divine Shield</b>","Minion","EX1_067",True,"Neutral","James Ryman","Rare",4,6,2,"The Argent Dawn stands vigilant against the Scourge as well as people who cut in line at coffee shops.",,,,,
Battlecry,"Classic","Argent Protector","<b>Battlecry:</b> Give a friendly minion <b>Divine Shield</b>.","Minion","EX1_362",True,"Neutral","Doug Alexander","Common",2,2,2,""I'm not saying you can dodge fireballs.  I'm saying with this shield you won't have to."",,"Paladin",,,
Divine Shield,"Classic","Argent Squire","<b>Divine Shield</b>","Minion","EX1_008",True,"Alliance","Zoltan & Gabor","Common",1,1,1,""I solemnly swear to uphold the Light purge the world of darkness and to eat only burritos." - The Argent Dawn Oath",,,,,
,"Classic","Armorsmith","Whenever a friendly minion takes damage gain 1 Armor.","Minion","EX1_402",True,"Neutral","Greg Hildebrandt","Rare",1,2,4,"She accepts guild funds for repairs!",,"Warrior",,"Smithing",
,"Classic","Ashbringer",,"Weapon","EX1_383t",,,,"Legendary",5,5,,,,"Paladin",,,3
Aura,"Classic","Auchenai Soulpriest","Your cards and powers that restore Health now deal damage instead.","Minion","EX1_591",True,"Neutral","Doug Alexander","Rare",3,4,5,"The Auchenai know the end is coming but they're not sure when.",,"Priest",,,
ImmuneToSpellpower,"Classic","Avenging Wrath","Deal $8 damage randomly split among enemy characters.","Spell","EX1_384",True,"Neutral","Alex Garner","Epic",,6,,"Wham! Wham! Wham! Wham! Wham! Wham! Wham! Wham!",,"Paladin",,,
Battlecry|Spellpower,"Classic","Azure Drake","<b>Spell Damage +1</b>. <b>Battlecry:</b> Draw a card.","Minion","EX1_284",True,"Neutral","Ben Zhang","Rare",4,5,4,"They initially planned to be the Beryl or Cerulean drakes but those felt a tad too pretentious.",,,"Dragon",,
,"Classic","Baine Bloodhoof",,"Minion","EX1_110t",,,,"Legendary",4,4,5,,True,,,,
,"Classic","Bananas","Has +1/+1.","Enchantment","EX1_014te",,,,,,,,,,,,,
,"Classic","Bananas","Give a minion +1/+1.","Spell","EX1_014t",,,,,,1,,,,,,,
,"Classic","Bane of Doom","Deal $2 damage to a character. If that kills it summon a random Demon.","Spell","EX1_320",True,"Neutral","Raymond Swanland","Epic",,5,,"My advice to you is to avoid Doom if possible.",,"Warlock",,,
,"Classic","Baron Geddon","At the end of your turn deal 2 damage to ALL other characters.","Minion","EX1_249",True,"Neutral","Ian Ameling","Legendary",7,7,5,"Baron Geddon was Ragnaros's foremost lieutenant until he got FIRED.",True,,,,
,"Classic","Battle Axe",,"Weapon","EX1_398t",,,,,2,1,,,,"Warrior",,,2
,"Classic","Battle Rage","Draw a card for each damaged friendly character.","Spell","EX1_392",True,"Neutral","Alex Horley Orlandelli","Common",,2,,""You won't like me when I'm angry."",,"Warrior",,,
,"Classic","Bear Form","+2 Health and <b>Taunt</b>.","Spell","EX1_165b",,"Neutral",,"Common",,,,,,"Druid",,,
,"Classic","Berserk","Increased Attack.","Enchantment","EX1_604o",,,,,,,,,,"Warrior",,,
,"Classic","Bestial Wrath","Give a friendly Beast +2 Attack and <b>Immune</b> this turn.","Spell","EX1_549",True,"Neutral","Alex Horley Orlandelli","Epic",,1,,"The seething wrath is just beneath the surface.  Beneath that is wild abandon followed by slight annoyance.",,"Hunter",,,
OneTurnEffect,"Classic","Bestial Wrath","+2 Attack and <b>Immune</b> this turn.","Enchantment","EX1_549o",,,,,,,,,,"Hunter",,,
,"Classic","Betrayal","Force an enemy minion to deal its damage to the minions next to it.","Spell","EX1_126",True,"Neutral","Lucas Graciano","Common",,2,,"Everyone has a price. Gnomes for example can be persuaded by stuffed animals and small amounts of chocolate.",,"Rogue",,,
Battlecry,"Classic","Big Game Hunter","<b>Battlecry:</b> Destroy a minion with an Attack of 7 or more.","Minion","EX1_005",True,,"Chris Seaman","Epic",4,3,2,"Mere devilsaurs no longer excite him.  Soon he'll be trying to catch Onyxia with only a dull Krol Blade.",,,,,
,"Classic","Bite","Give your hero +4 Attack this turn and 4 Armor.","Spell","EX1_570",True,"Neutral","Tom Baxa","Rare",,4,,"Chew your food!",,"Druid",,,
OneTurnEffect,"Classic","Bite","+4 Attack this turn.","Enchantment","EX1_570e",,,,,,,,,,,,,
AffectedBySpellPower,"Classic","Blade Flurry","Destroy your weapon and deal its damage to all enemies.","Spell","CS2_233",True,"Neutral","Hideaki Takamura","Rare",,2,,""Look it's not just about waving daggers around really fast.  It's a lot more complicated than that." - Shan Rogue Trainer",,"Rogue",,,
,"Classic","Blarghghl","Increased Attack.","Enchantment","EX1_509e",,,,,,,,,,,,,
,"Classic","Blessed Champion","This minion's Attack has been doubled.","Enchantment","EX1_355e",,,,,,,,,,"Paladin",,,
,"Classic","Blessed Champion","Double a minion's Attack.","Spell","EX1_355",True,,"Tyler Walpole","Rare",,5,,"This card causes double the trouble AND double the fun.",,"Paladin",,,
,"Classic","Blessing of Wisdom","Choose a minion. Whenever it attacks draw a card.","Spell","EX1_363",True,,"Chippy","Common",,1,,"Apparently with wisdom comes the knowledge that you should probably be attacking every turn.",,"Paladin",,,
,"Classic","Blessing of Wisdom","When this minion attacks the player who blessed it draws a card.","Enchantment","EX1_363e",,,,,,,,,,"Paladin",,,
,"Classic","Blessing of Wisdom","When this minion attacks the enemy player draws a card.","Enchantment","EX1_363e2",,,,,,,,,,"Paladin",,,
Freeze,"Classic","Blizzard","Deal $2 damage to all enemy minions and <b>Freeze</b> them.","Spell","CS2_028",True,"Neutral","Chris Seaman","Rare",,6,,"This spell can be very Entertaining.",,"Mage",,,
,"Classic","Blood Fury",,"Weapon","EX1_323w",,,,,3,3,,,,"Warlock",,,8
Stealth,"Classic","Blood Imp","<b>Stealth</b>. At the end of your turn give another random friendly minion +1 Health.","Minion","CS2_059",True,"Neutral","Bernie Kang","Common",0,1,1,"Imps are content to hide and viciously taunt everyone nearby.",,"Warlock","Demon","Blood Pact",
Battlecry,"Classic","Blood Knight","<b>Battlecry:</b> All minions lose <b>Divine Shield</b>. Gain +3/+3 for each Shield lost.","Minion","EX1_590",True,"Neutral","Trent Kaniuga","Epic",3,3,3,"The Blood Knights get their holy powers from the Sunwell which you should NOT bathe in.",,,,,
,"Classic","Blood Pact","Increased Health.","Enchantment","CS2_059o",,,,,,,,,,"Warlock",,,
Deathrattle|Spellpower,"Classic","Bloodmage Thalnos","<b>Spell Damage +1</b>. <b>Deathrattle:</b> Draw a card.","Minion","EX1_012",True,"Neutral","Alex Horley Orlandelli","Legendary",1,2,1,"He's in charge of the Annual Scarlet Monastery Blood Drive!",True,,,,
,"Classic","Bloodrage","No durability loss.","Enchantment","EX1_411e",,,,,,,,,,"Warrior",,,
Battlecry,"Classic","Bloodsail Corsair","<b>Battlecry:</b> Remove 1 Durability from your opponent's weapon.","Minion","NEW1_025",True,,"Randy Gallegos","Rare",1,1,2,"Every pirate uses the same four digits to access Automated Gold Dispensers.  It's called the "Pirate's Code".",,,"Pirate",,
Battlecry,"Classic","Bloodsail Raider","<b>Battlecry:</b> Gain Attack equal to the Attack of your weapon.","Minion","NEW1_018",True,,"Jim Nelson","Common",2,2,3,""I only plunder on days that end in 'y'."",,,"Pirate",,
,"Classic","Bolstered","Increased Health.","Enchantment","NEW1_025e",,,,,,,,,,,,,
,"Classic","Brawl","Destroy all minions except one. <i>(chosen randomly)</i>","Spell","EX1_407",True,"Neutral","Wayne Reynolds","Epic",,5,,"Do you know the first rule of Brawl Club?",,"Warrior",,,
Battlecry,"Classic","Cabal Shadow Priest","<b>Battlecry:</b> Take control of an enemy minion that has 2 or less Attack.","Minion","EX1_091",True,"Neutral","Chippy","Epic",4,6,5,"You never know who may be secretly working for the Cabal....",,"Priest",,,
Deathrattle,"Classic","Cairne Bloodhoof","<b>Deathrattle:</b> Summon a 4/5 Baine Bloodhoof.","Minion","EX1_110",True,"Alliance","Wayne Reynolds","Legendary",4,6,5,"Cairne was killed by Garrosh so... don't put this guy in a Warrior deck.  It's pretty insensitive.",True,,,,
,"Classic","Cannibalize","Increased Attack.","Enchantment","tt_004o",,,,,,,,,,,,,
Battlecry,"Classic","Captain Greenskin","<b>Battlecry:</b> Give your weapon +1/+1.","Minion","NEW1_024",True,,"Dan Scott","Legendary",5,5,4,"He was <i>this close</i> to piloting a massive juggernaut into Stormwind Harbor. If it weren't for those pesky kids!",True,,"Pirate",,
,"Classic","Cat Form","<b>Charge</b>","Spell","EX1_165a",,"Neutral",,"Common",,,,,,"Druid",,,
,"Classic","Cenarius","<b>Choose One</b> - Give your other minions +2/+2; or Summon two 2/2 Treants with <b>Taunt</b>.","Minion","EX1_573",True,"Neutral","Alex Horley Orlandelli","Legendary",5,9,8,"Yes he's a demigod. No he doesn't need to wear a shirt.",True,"Druid",,"Demigod",
,"Classic","Circle of Healing","Restore #4 Health to ALL minions.","Spell","EX1_621",True,,"Daarken","Common",,0,,"It isn't really a circle.",,"Priest",,,
,"Classic","Cold Blood","+2 Attack.","Enchantment","CS2_073e",,,,,,,,,,"Rogue",,,
Combo,"Classic","Cold Blood","Give a minion +2 Attack. <b>Combo:</b> +4 Attack instead.","Spell","CS2_073",True,"Neutral","Alex Horley Orlandelli","Common",,1,,""I'm cold blooded check it and see!"",,"Rogue",,,
,"Classic","Cold Blood","+4 Attack.","Enchantment","CS2_073e2",,,,,,,,,,"Rogue",,,
Battlecry,"Classic","Coldlight Oracle","<b>Battlecry:</b> Each player draws 2 cards.","Minion","EX1_050",True,"Neutral","Steve Prescott","Rare",2,3,2,"They can see the future.   In that future both players draw more cards.   Spoooky.",,,"Murloc",,
Battlecry,"Classic","Coldlight Seer","<b>Battlecry:</b> Give ALL other Murlocs +2 Health.","Minion","EX1_103",True,"Neutral","Arthur Gimaldinov","Rare",2,3,3,"The Coldlight murlocs reside in the darkest pits of the Abyssal Depths.  So no there's no getting away from murlocs.",,,"Murloc",,
OneTurnEffect,"Classic","Commanding Shout","Your minions can't be reduced below 1 Health this turn.","Enchantment","NEW1_036e2",,,,,,,,,,"Warrior",,,
,"Classic","Commanding Shout","Your minions can't be reduced below 1 Health this turn. Draw a card.","Spell","NEW1_036",True,,"Wayne Reynolds","Rare",,2,,""Shout! Shout! Let it all out!" - Advice to warriors-in-training",,"Warrior",,,
OneTurnEffect,"Classic","Commanding Shout","Can't be reduced below 1 Health this turn.","Enchantment","NEW1_036e",,,,,,,,,,"Warrior",,,
,"Classic","Conceal","Give your minions <b>Stealth</b> until your next turn.","Spell","EX1_128",True,"Neutral","Steve Hui","Common",,1,,"Rogues conceal everything but their emotions.  You can't get 'em to shut up about feelings.",,"Rogue",,,
,"Classic","Concealed","Stealthed until your next turn.","Enchantment","EX1_128e",,,,,,,,,,"Rogue",,,
Freeze,"Classic","Cone of Cold","<b>Freeze</b> a minion and the minions next to it and deal $1 damage to them.","Spell","EX1_275",True,"Neutral","Leo Che","Common",,4,,"Magi of the Kirin Tor were casting Cubes of Cold for many years before Cones came into fashion some 90 years ago.",,"Mage",,,
,"Classic","Consume","Increased stats.","Enchantment","EX1_304e",,,,,,,,,,"Warlock",,,
Secret,"Classic","Counterspell","<b>Secret:</b> When your opponent casts a spell <b>Counter</b> it.","Spell","EX1_287",True,"Neutral","Jason Chan","Rare",,3,,"What's the difference between a mage playing with Counterspell and a mage who isn't?  The mage who isn't is getting Pyroblasted in the face.",,"Mage",,,
Battlecry,"Classic","Crazed Alchemist","<b>Battlecry:</b> Swap the Attack and Health of a minion.","Minion","EX1_059",True,"Neutral","Tom Fleming","Rare",2,2,2,""You'll <i>love</i> my new recipe!" he says... especially if you're not happy with your current number of limbs.",,,,,
Battlecry,"Classic","Cruel Taskmaster","<b>Battlecry:</b> Deal 1 damage to a minion and give it +2 Attack.","Minion","EX1_603",True,"Neutral","Phroilan Gardner","Common",2,2,2,""I'm going to need you to come in on Sunday." - Cruel Taskmaster",,"Warrior",,,
,"Classic","Cult Master","Whenever one of your other minions dies draw a card.","Minion","EX1_595",True,"Neutral","Raymond Swanland","Common",4,4,2,"She may be an evil cult master but she still calls her parents once a week.",,,,"Cultist",
,"Classic","Damaged Golem",,"Minion","skele21",,"Neutral",,"Common",2,1,1,,,,"Mech",,
,"Classic","Dark Command","This minion has switched controllers this turn.","Enchantment","EX1_334e",,,,,,,,,,"Priest",,,
Battlecry,"Classic","Dark Iron Dwarf","<b>Battlecry:</b> Give a minion +2 Attack this turn.","Minion","EX1_046",True,"Alliance","Scott Hampton","Common",4,4,4,"Guardians of Dark Iron Ore.  Perhaps the most annoying ore given where you have to forge it.",,,,,
,"Classic","Deadly Shot","Destroy a random enemy minion.","Spell","EX1_617",True,"Neutral","Steve Prescott","Common",,3,,"Accuracy is not a highly valued trait among the mok'nathal.  Deadliness is near the top though.",,"Hunter",,,
Battlecry,"Classic","Deathwing","<b>Battlecry:</b> Destroy all other minions and discard your hand.","Minion","NEW1_030",True,,"Bernie Kang","Legendary",12,10,12,"Once a noble dragon known as Neltharion Deathwing lost his mind and shattered Azeroth before finally being defeated.  Daddy issues?",True,,"Dragon",,
,"Classic","Defender",,"Minion","EX1_130a",,"Neutral",,"Common",2,1,1,,,"Paladin",,,
Battlecry,"Classic","Defender of Argus","<b>Battlecry:</b> Give adjacent minions +1/+1 and <b>Taunt</b>.","Minion","EX1_093",True,"Alliance","Alex Horley Orlandelli","Rare",2,4,3,"You wouldn’t think that Argus would need this much defending.  But it does.",,,,,
,"Classic","Defias Bandit",,"Minion","EX1_131t",,"Neutral",,,2,1,1,,,"Rogue",,,
Combo,"Classic","Defias Ringleader","<b>Combo:</b> Summon a 2/1 Defias Bandit.","Minion","EX1_131",True,"Neutral","Dany Orizio","Common",2,2,2,"He stole the deed to town years ago so technically the town <i>is</i> his. He just calls people Scrub to be mean.",,"Rogue",,,
,"Classic","Demigod's Favor","+2/+2.","Enchantment","EX1_573ae",,"Neutral",,,,,,,,"Druid",,,
,"Classic","Demigod's Favor","Give your other minions +2/+2.","Spell","EX1_573a",,"Neutral",,,,,,,,"Druid",,,
,"Classic","Demolisher","At the start of your turn deal 2 damage to a random enemy.","Minion","EX1_102",True,"Neutral","Raymond Swanland","Rare",1,3,4,"Laying siege isn't fun for anyone.  It's not even all that effective now that everyone has a flying mount.",,,"Mech","Catapult",
,"Classic","Demonfire","Deal $2 damage to a minion. If it’s a friendly Demon give it +2/+2 instead.","Spell","EX1_596",True,"Neutral","Ben Wootten","Common",,2,,"Demonfire is like regular fire except for IT NEVER STOPS BURNING HELLLPPP",,"Warlock",,,
,"Classic","Demonfire","This Demon has +2/+2.","Enchantment","EX1_596e",,"Neutral",,"Common",,0,,,,"Warlock",,,
OneTurnEffect,"Classic","Demoralizing Roar","This minion has -3 Attack this turn.","Enchantment","EX1_161o",,,,,,,,,,"Druid",,,
,"Classic","Devilsaur",,"Minion","EX1_tk29",,"Neutral",,"Common",5,5,5,,,,"Beast",,
AdjacentBuff|Aura,"Classic","Dire Wolf Alpha","Adjacent minions have +1 Attack.","Minion","EX1_162",True,"Neutral","John Dickenson","Common",2,2,2,"We are pretty excited about the upcoming release of Dire Wolf Beta just repost this sign for a chance at a key.",,,"Beast","Alpha Dog",
Silence,"Classic","Dispel","<b>Silence</b> a minion.","Spell","EX1_166b",,"Neutral",,,,,,,,"Druid",,,
,"Classic","Divine Favor","Draw cards until you have as many in hand as your opponent.","Spell","EX1_349",True,"Neutral","Lucas Graciano","Rare",,3,,"This is not just a favor but a divine one like helping someone move a couch with a fold out bed!",,"Paladin",,,
Battlecry|Charge,"Classic","Doomguard","<b>Charge</b>. <b>Battlecry:</b> Discard two random cards.","Minion","EX1_310",True,"Neutral","Lucas Graciano","Rare",5,5,7,"Summoning a doomguard is risky. <i>Someone</i> is going to die.",,"Warlock","Demon",,
Windfury,"Classic","Doomhammer","<b>Windfury Overload:</b> (2)","Weapon","EX1_567",True,"Neutral","John Polidora","Epic",2,5,,"Orgrim Doomhammer gave this legendary weapon to Thrall.  His name is a total coincidence.",,"Shaman",,,8
,"Classic","Doomsayer","At the start of your turn destroy ALL minions.","Minion","NEW1_021",True,,"Alex Horley Orlandelli","Epic",0,2,7,"He's almost been right so many times. He was <i>sure</i> it was coming during the Cataclysm.",,,,,
Taunt,"Classic","Dread Corsair","<b>Taunt.</b> Costs (1) less per Attack of your weapon.","Minion","NEW1_022",True,,"Trent Kaniuga","Common",3,4,3,""Yarrrr" is a pirate word that means "Greetings milord."",,,"Pirate",,
,"Classic","Dream","Return a minion to its owner's hand.","Spell","DREAM_04",,,,,,0,,,,"Dream",,,
Taunt,"Classic","Druid of the Claw","<b>Taunt</b>","Minion","EX1_165t2",,,,"Common",4,5,6,,,"Druid","Beast",,
,"Classic","Druid of the Claw","<b>Choose One -</b> <b>Charge</b>; or +2 Health and <b>Taunt</b>.","Minion","EX1_165",True,"Neutral","Luca Zontini","Common",4,5,4,"Cat or Bear?  Cat or Bear?!  I just cannot CHOOSE!",,"Druid",,,
Charge,"Classic","Druid of the Claw","<b>Charge</b>","Minion","EX1_165t1",,,,"Common",4,5,4,,,"Druid","Beast",,
Windfury,"Classic","Dust Devil","<b>Windfury</b>. <b>Overload:</b> (2)","Minion","EX1_243",True,"Neutral","Raymond Swanland","Common",3,1,1,"Westfall is full of dust devils. And buzzards. And crazed golems. And pirates. Why does anyone live here?",,"Shaman",,,
,"Classic","Eaglehorn Bow","Whenever a friendly <b>Secret</b> is revealed gain +1 Durability.","Weapon","EX1_536",True,,"Cyril Van Der Haegen","Rare",3,3,,"First Lesson: Put the pointy end in the other guy.",,"Hunter",,,2
Taunt,"Classic","Earth Elemental","<b>Taunt</b>. <b>Overload:</b> (3)","Minion","EX1_250",True,"Neutral","Dan Scott","Epic",7,5,8,"Nothing beats rock.",,"Shaman",,,
Silence,"Classic","Earth Shock","<b>Silence</b> a minion then deal $1 damage to it.","Spell","EX1_245",True,"Neutral","Kevin Chin","Common",,1,,"Earth Shock? Shouldn't it be "Azeroth Shock"?",,"Shaman",,,
Battlecry,"Classic","Earthen Ring Farseer","<b>Battlecry:</b> Restore 3 Health.","Minion","CS2_117",True,,"Alex Horley Orlandelli","Common",3,3,3,"He can see really far and he doesn't use a telescope like those filthy pirates.",,,,,
Combo,"Classic","Edwin VanCleef","<b>Combo:</b> Gain +2/+2 for each card played earlier this turn.","Minion","EX1_613",True,"Neutral","Efrem Palacios","Legendary",2,3,2,"He led the Stonemasons in the reconstruction of Stormwind and when the nobles refused to pay he founded the Defias Brotherhood to well <i>deconstruct</i> Stormwind.",True,"Rogue",,,
,"Classic","Elune's Grace","Increased Health.","Enchantment","EX1_004e",,,,,,,,,,,,,
,"Classic","Emerald Drake",,"Minion","DREAM_03",,,,,7,4,6,,,"Dream","Dragon",,
Poisonous,"Classic","Emperor Cobra","Destroy any minion damaged by this minion.","Minion","EX1_170",True,"Neutral","Lars Grant-West","Rare",2,3,3,"The Sholazar Basin is home to a lot of really horrible things. If you're going to visit wear bug spray.  And plate armor.",,,"Beast","Fanged",
OneTurnEffect,"Classic","Empowered","Mana Addict has increased Attack.","Enchantment","EX1_055o",,,,,,,,,,,,,
,"Classic","Equality","Health changed to 1.","Enchantment","EX1_619e",,,,,,,,,,"Paladin",,,
,"Classic","Equality","Change the Health of ALL minions to 1.","Spell","EX1_619",True,"Neutral","Michal Ivan","Rare",,2,,"We are all special unique snowflakes... with 1 Health.",,"Paladin",,,
,"Classic","Equipped","Increased Attack.","Enchantment","NEW1_037e",False,,,,,,,,,,,,
,"Classic","Ethereal Arcanist","If you control a <b>Secret</b> at the end of your turn gain +2/+2.","Minion","EX1_274",True,,"Michael Komarck","Rare",3,4,3,"The ethereals are wrapped in cloth to give form to their non-corporeal bodies. Also because it's nice and soft.",False,"Mage",,,
Combo,"Classic","Eviscerate","Deal $2 damage. <b>Combo:</b> Deal $4 damage instead.","Spell","EX1_124",True,"Neutral","Ariel Olivetti","Common",,2,,"There is a high cost to Eviscerating your opponent:  It takes a long time to get blood stains out of leather armor.",,"Rogue",,,
,"Classic","Experiments!","Attack and Health have been swapped by Crazed Alchemist.","Enchantment","EX1_059e",,,,,,,,,,,,,
,"Classic","Explosive Shot","Deal $5 damage to a minion and $2 damage to adjacent ones.","Spell","EX1_537",True,"Neutral","Tom Baxa","Rare",,5,,"Pull the pin count to 5 then shoot.  Then duck.",,"Hunter",,,
Secret,"Classic","Explosive Trap","<b>Secret:</b> When your hero is attacked deal $2 damage to all enemies.","Spell","EX1_610",True,"Neutral","Brandon Kitkouski","Common",,2,,"It traps your food AND cooks it for you!",,"Hunter",,,
Secret,"Classic","Eye for an Eye","<b>Secret:</b> When your hero takes damage deal that much damage to the enemy hero.","Spell","EX1_132",True,"Neutral","James Ryman","Common",,1,,"Justice sometimes takes the form of a closed fist into a soft cheek.",,"Paladin",,,
Battlecry,"Classic","Faceless Manipulator","<b>Battlecry:</b> Choose a minion and become a copy of it.","Minion","EX1_564",True,"Neutral","Raymond Swanland","Epic",3,5,3,"The Faceless Ones are servants of Yogg-Saron and they feed on fear. Right now they are feeding on your fear of accidentally disenchanting all your good cards.",,,,,
,"Classic","Faerie Dragon","Can't be targeted by spells or Hero Powers.","Minion","NEW1_023",True,,"Samwise","Common",3,2,2,"Adorable.  Immune to Magic.  Doesn't pee on the rug.  The perfect pet!",,,"Dragon",,
,"Classic","Far Sight","One of your cards costs (3) less.","Enchantment","CS2_053e",,,"Lars Grant-West",,,,,,,"Shaman",,,
,"Classic","Far Sight","Draw a card. That card costs (3) less.","Spell","CS2_053",True,"Neutral","Lars Grant-West","Epic",,3,,"Drek'thar can't see but he can <i>see</i>. You know what I mean? It's ok if you don't.",,"Shaman",,,
Battlecry|Taunt,"Classic","Felguard","<b>Taunt</b>. <b>Battlecry:</b> Destroy one of your Mana Crystals.","Minion","EX1_301",True,"Neutral","John Polidora","Rare",3,3,5,"Yes he'll fight for you.  BUT HE'S NOT GOING TO LIKE IT.",,"Warlock","Demon",,
Taunt,"Classic","Fen Creeper","<b>Taunt</b>","Minion","CS1_069",True,"Alliance","Monica Langlois","Common",3,5,6,"He used to be called Bog Beast but it confused people because he wasn't an actual beast.   Boom New Name!",,,,,
,"Classic","Feral Spirit","Summon two 2/3 Spirit Wolves with <b>Taunt</b>. <b>Overload:</b> (2)","Spell","EX1_248",True,"Neutral","Clint Langley","Rare",,3,,"Spirit wolves are like regular wolves with pom-poms.",,"Shaman",,,
,"Classic","Finkle Einhorn",,"Minion","EX1_finkle",,"Neutral",,"Legendary",3,2,3,,True,,,,
