COLLECTIBLE,SET,NAME,ARTIST,TEXT,RARITY,COST,FLAVOR,TYPE,ID,PLAYERCLASS,ATTACK,HEALTH,RACE,MECHANICS,ELITE,DURABILITY
,Goblins vs Gnomes,Attack Mode,,+1 Attack.,,,,Enchantment,GVG_030ae,Druid,,,,,,
True,Goblins vs Gnomes,Blingtron 3000,Jomaro Kindred,<b>Battlecry:</b> Equip a random weapon for each player.,Legendary,5,PREPARE PARTY SERVOS FOR IMMEDIATE DEPLOYMENT.,Minion,GVG_119,,3,4,Mech,Battlecry,True,
True,Goblins vs Gnomes,Bolvar Fordragon,Tooth,Whenever a friendly minion dies while this is in your hand gain +1 Attack.,Legendary,5,Spoiler alert: Bolvar gets melted and then sits on an ice throne and everyone forgets about him.,Minion,GVG_063,Paladin,1,7,,,True,
True,Goblins vs Gnomes,Bomb Lobber,Luca Zontini,<b>Battlecry:</b> Deal 4 damage to a random enemy minion.,Rare,5,He lobbies Orgrimmar daily on behalf of bombs.,Minion,GVG_099,,3,3,,Battlecry,,
,Goblins vs Gnomes,Boom Bot,,<b>Deathrattle</b>: Deal 1-4 damage to a random enemy.,,1,,Minion,GVG_110t,,1,1,Mech,Deathrattle,,
True,Goblins vs Gnomes,Bouncing Blade,Andrew Hou,Deal $1 damage to a random minion. Repeat until a minion dies.,Epic,3,Only goblins would think this was a good idea. Even they are starting to have their doubts.,Spell,GVG_050,Warrior,,,,,,
,Goblins vs Gnomes,Brow Furrow,,Increased stats.,,,,Enchantment,GVG_100e,Warlock,,,,,,
True,Goblins vs Gnomes,Burly Rockjaw Trogg,Chris Rahn,Whenever your opponent casts a spell gain +2 Attack.,Common,4,He&sbquo;s burly because he does CrossFit.,Minion,GVG_068,,3,5,,,,
,Goblins vs Gnomes,Burrowing Mine,Chris Seaman,When you draw this it explodes. You take 10 damage and draw a card.,,0,,Spell,GVG_056t,Warrior,,,,ImmuneToSpellpower,,
True,Goblins vs Gnomes,Call Pet,E.M. Gist,Draw a card.If it&sbquo;s a Beast it costs (4) less.,Rare,2,Real hunters tame hungry crabs.,Spell,GVG_017,Hunter,,,,,,
,Goblins vs Gnomes,Chicken,,,,1,,Minion,GVG_092t,,1,1,Beast,,,
,Goblins vs Gnomes,Cloaked,,Stealthed until your next turn.,,,,Enchantment,PART_004e,,,,,,,
True,Goblins vs Gnomes,Clockwork Giant,Dan Scott,Costs (1) less for each card in your opponent&sbquo;s hand.,Epic,12,He and Mountain Giant don&sbquo;t get along.,Minion,GVG_121,,8,8,Mech,,,
True,Goblins vs Gnomes,Clockwork Gnome,Matt Dixon,<b>Deathrattle:</b> Add a <b>Spare Part</b> card to your hand.,Common,1,Clockwork gnomes are always asking what time it is.,Minion,GVG_082,,2,1,Mech,Deathrattle,,
True,Goblins vs Gnomes,Cobalt Guardian,Jim Nelson,Whenever you summon a Mech gain <b>Divine Shield</b>.,Rare,5,Guardians used to be built out of Adamantium but production got moved to Gadgetzan and Cobalt was cheap.,Minion,GVG_062,Paladin,6,3,Mech,,,
True,Goblins vs Gnomes,Cobra Shot,Howard Lyon,Deal $3 damage to a minion and the enemy hero.,Common,5,&bdquo;Cobra Shot&bdquo; hurts way way way more than &bdquo;Cobra Cuddle.&bdquo;,Spell,GVG_073,Hunter,,,,,,
True,Goblins vs Gnomes,Coghammer,Danny Orizio,<b>Battlecry:</b> Give a random friendly minion <b>Divine Shield</b> and <b>Taunt</b>.,Epic,3,So you ripped this out of a machine carved some runes on it stuck it on a handle and now it&sbquo;s a weapon of great divine power? Seems legit.,Weapon,GVG_059,Paladin,2,,,Battlecry,,3
True,Goblins vs Gnomes,Cogmaster,Trent Kaniuga,Has +2 Attack while you have a Mech.,Common,1,After a while you don&sbquo;t see the cogs and sprockets. All you see is a robot a spider tank a deathray...,Minion,GVG_013,,1,2,,Aura,,
True,Goblins vs Gnomes,Cogmaster&sbquo;s Wrench,Richard Wright,Has +2 Attack while you have a Mech.,Epic,3,For tightening cogs and smashin&sbquo; troggs!,Weapon,GVG_024,Rogue,1,,,Aura,,3
True,Goblins vs Gnomes,Crackle,Warren Mahy,Deal $3-$6 damage. <b>Overload: (1)</b>,Common,2,Snap! This card! Pop!,Spell,GVG_038,Shaman,,,,,,
True,Goblins vs Gnomes,Crush,Michael Sutfin,Destroy a minion. If you have a damaged minion this costs (4) less.,Epic,7,Using this card on your enemies is one of the best things in life according to some barbarians.,Spell,GVG_052,Warrior,,,,,,
True,Goblins vs Gnomes,Dark Wispers,Trent Kaniuga,<b>Choose One -</b> Summon 5 Wisps; or Give a minion +5/+5 and <b>Taunt</b>.,Epic,6,Don&sbquo;t worry; we fired the person who named this card.,Spell,GVG_041,Druid,,,,,,
,Goblins vs Gnomes,Dark Wispers,,Summon 5 Wisps.,,,,Spell,GVG_041b,Druid,,,,,,
,Goblins vs Gnomes,Dark Wispers,,+5/+5 and <b>Taunt</b>.,,,,Spell,GVG_041a,Druid,,,,,,
,Goblins vs Gnomes,Dark Wispers,,+5/+5 and <b>Taunt</b>.,,,,Enchantment,GVG_041c,Druid,,,,,,
True,Goblins vs Gnomes,Darkbomb,Jeff Haynie,Deal $3 damage.,Common,2,If you&sbquo;re looking to make an &bdquo;Emo&bdquo; deck this card is perfect!,Spell,GVG_015,Warlock,,,,,,
True,Goblins vs Gnomes,Demonheart,Kerem Beyit,Deal $5 damage to a minion.  If it&sbquo;s a friendly Demon give it +5/+5 instead.,Epic,5,Virtually every member of the pro demon lobby is a warlock. Weird.,Spell,GVG_019,Warlock,,,,,,
,Goblins vs Gnomes,Demonheart,,+5/+5.,,,,Enchantment,GVG_019e,Warlock,,,,,,
True,Goblins vs Gnomes,Dr. Boom,Alex Garner,<b>Battlecry</b>: Summon two 1/1 Boom Bots. <i>WARNING: Bots may explode.</i>,Legendary,7,MARVEL AT HIS MIGHT!,Minion,GVG_110,,7,7,,Battlecry,True,
,Goblins vs Gnomes,Druid of the Fang,Massive Black,,,5,,Minion,GVG_080t,Druid,7,7,Beast,,,
True,Goblins vs Gnomes,Druid of the Fang,Brandon Kitkouski,<b>Battlecry:</b> If you have a Beast transform this minion into a 7/7.,Common,5,The Druids of the Fang live in the Wailing Caverns. They wear cool snake shirts and tell snake jokes and say &bdquo;bro&bdquo; a lot.,Minion,GVG_080,Druid,4,4,,Battlecry,,
True,Goblins vs Gnomes,Dunemaul Shaman,José Ladrönn,<b>Windfury Overload: (1)</b>50% chance to attack the wrong enemy.,Rare,4,He just closes his eyes and goes for it. Raarararrrarar!,Minion,GVG_066,Shaman,5,4,,Windfury,,
True,Goblins vs Gnomes,Echo of Medivh,Alex Garner,Put a copy of each friendly minion into your hand.,Epic,4,Medivh&sbquo;s echo haunts Karazhan eternally cheating at chess and <i>Hearthstone</i>.,Spell,GVG_005,Mage,,,,,,
,Goblins vs Gnomes,Emergency Coolant,Peerasak Senalai,<b>Freeze</b> a minion.,,1,,Spell,PART_005,,,,,Freeze,,
True,Goblins vs Gnomes,Enhance-o Mechano,Zoltan Boros,<b>Battlecry:</b> Give your other minions <b>Windfury</b> <b>Taunt</b> or <b>Divine Shield</b>.<i>(at random)</i>,Epic,4,His enhancements are gluten free!,Minion,GVG_107,,3,2,Mech,Battlecry,,
True,Goblins vs Gnomes,Explosive Sheep,Ralph Horsley,<b>Deathrattle:</b> Deal 2 damage to all minions.,Common,2,How is this supposed to work?  Your enemies think &bdquo;<i>Hey!</i> Cute sheep!&bdquo; and run over to cuddle it?,Minion,GVG_076,,1,1,Mech,Deathrattle,,
,Goblins vs Gnomes,Extra Sharp,,+1 Attack.,,,,Enchantment,GVG_023a,,,,,,,
True,Goblins vs Gnomes,Feign Death,Luca Zontini,Trigger all <b>Deathrattles</b> on your minions.,Epic,2,The hardest part about doing a &bdquo;Feign Death&bdquo; convincingly is learning how to make the right smell. It takes a lot of commitment.,Spell,GVG_026,Hunter,,,,,,
True,Goblins vs Gnomes,Fel Cannon,Matt Gaser,At the end of your turn deal 2 damage to a non-Mech minion.,Rare,4,The box says &bdquo;New and improved with 200% more fel!&bdquo;,Minion,GVG_020,Warlock,3,5,Mech,,,
True,Goblins vs Gnomes,Fel Reaver,Zoltan & Gabor,Whenever your opponent plays a card discard the top 3 cards of your deck.,Epic,5,So reaver. Much fel. Wow.,Minion,GVG_016,,8,8,Mech,,,
,Goblins vs Gnomes,Finicky Cloakfield,Nutchapol Thitinunthakorn,Give a friendly minion <b>Stealth</b> until your next turn.,,1,,Spell,PART_004,,,,,,,
True,Goblins vs Gnomes,Flame Leviathan,Aleksi Briclot,When you draw this deal 2 damage to all characters.,Legendary,7,Mimiron likes to take the Flame Leviathan out on some sweet joyrides.,Minion,GVG_007,Mage,7,7,Mech,,True,
True,Goblins vs Gnomes,Flamecannon,Mauricio Herrera,Deal $4 damage to a random enemy minion.,Common,2,Calling something a flamecannon really doesn&sbquo;t do much to distinguish it from other goblin devices.,Spell,GVG_001,Mage,,,,,,
True,Goblins vs Gnomes,Floating Watcher,Todd Lockwood,Whenever your hero takes damage on your turn gain +2/+2.,Common,5,&bdquo;Evil Eye Watcher of Doom&bdquo; was the original name but marketing felt it was a bit too aggressive.,Minion,GVG_100,Warlock,4,4,Demon,,,
True,Goblins vs Gnomes,Flying Machine,Matt Dixon,<b>Windfury</b>,Common,3,To operate this contraption needs a hula doll on the dashboard. Otherwise it&sbquo;s just a “falling machine.”,Minion,GVG_084,,1,4,Mech,Windfury,,
True,Goblins vs Gnomes,Foe Reaper 4000,James Ryman,Also damages the minions next to whomever he attacks.,Legendary,8,Foe reaping is really not so different from harvest reaping at the end of the day.,Minion,GVG_113,,6,9,Mech,,True,
True,Goblins vs Gnomes,Force-Tank MAX,Nutchapol Thitinunthakorn,<b>Divine Shield</b>,Common,8,There is a factory in Tanaris for crafting force-tanks but it only ever made two because of cost overruns.,Minion,GVG_079,,7,7,Mech,Divine Shield,,
True,Goblins vs Gnomes,Gahz&sbquo;rilla,Raymond Swanland,Whenever this minion takes damage double its Attack.,Legendary,7,The Sen&sbquo;jin High football team is The Gahz&sbquo;rillas.,Minion,GVG_049,Hunter,6,9,Beast,,True,
,Goblins vs Gnomes,Gallywix&sbquo;s Coin,,Gain 1 Mana Crystal this turn only.<i>(Won&sbquo;t trigger Gallywix.)</i>,,0,,Spell,GVG_028t,,,,,,,
True,Goblins vs Gnomes,Gazlowe,Luke Mancini,Whenever you cast a 1-mana spell add a random Mech to your hand.,Legendary,6,Gazlowe was voted &bdquo;Most Likely to Explode&bdquo; in high school.,Minion,GVG_117,,3,6,,,True,
,Goblins vs Gnomes,Gift of Cards,,Each player draws a card.,,,,Spell,GVG_032b,Druid,,,,,,
,Goblins vs Gnomes,Gift of Mana,,Give each player a Mana Crystal.,,,,Spell,GVG_032a,Druid,,,,,,
True,Goblins vs Gnomes,Gilblin Stalker,Seamus Gallagher,<b>Stealth</b>,Common,2,&bdquo;Shhh I think I hear something.&bdquo;&bdquo;Ah it&sbquo;s probably nothing.&bdquo; - Every Henchman,Minion,GVG_081,,2,3,,Stealth,,
,Goblins vs Gnomes,Glaivezooka,,+1 Attack.,,,,Enchantment,GVG_043e,Hunter,,,,,,
True,Goblins vs Gnomes,Glaivezooka,Gino Whitehall,<b>Battlecry:</b> Give a random friendly minion +1 Attack.,Common,2,For the times when a regular bazooka just isn&sbquo;t enough.,Weapon,GVG_043,Hunter,2,,,Battlecry,,2
True,Goblins vs Gnomes,Gnomeregan Infantry,Zoltan & Gabor,<b>Charge</b><b>Taunt</b>,Common,3,The gnomes are valiant and ready to return to their irradiated poorly ventilated homeland!,Minion,GVG_098,,1,4,,Charge|Taunt,,
True,Goblins vs Gnomes,Gnomish Experimenter,Jesper Esjing,<b>Battlecry:</b> Draw a card. If it&sbquo;s a minion transform it into a Chicken.,Rare,3,He&sbquo;s legitimately surprised every time he turns himself into a chicken.,Minion,GVG_092,,3,2,,Battlecry,,
True,Goblins vs Gnomes,Goblin Auto-Barber,Zolton Boros,<b>Battlecry</b>: Give your weapon +1 Attack.,Common,2,This guy is excellent at adjusting your haircut and/or height.,Minion,GVG_023,Rogue,3,2,Mech,Battlecry,,
True,Goblins vs Gnomes,Goblin Blastmage,Glenn Rane,<b>Battlecry:</b> If you have a Mech deal 4 damage randomly split among all enemies.,Rare,4,If you can&sbquo;t find a bomb to throw just pick up any goblin invention and throw that.,Minion,GVG_004,Mage,5,4,,Battlecry,,
True,Goblins vs Gnomes,Goblin Sapper,Jesper Esjing,Has +4 Attack while your opponent has 6 or more cards in hand.,Rare,3,He’s not such a binge exploder anymore. These days he only explodes socially.,Minion,GVG_095,,2,4,,Aura,,
,Goblins vs Gnomes,Grasp of Mal&sbquo;Ganis,,Mal&sbquo;Ganis is granting +2/+2.,,,,Enchantment,GVG_021e,Warlock,,,,,,
True,Goblins vs Gnomes,Grove Tender,Chris Rahn,<b>Choose One -</b> Give each player a Mana Crystal; or Each player draws a card.,Rare,3,Likes: Hiking and the great outdoors. Dislikes: Goblin shredders and sandals. (Can’t find any that fit!).,Minion,GVG_032,Druid,2,4,,,,
True,Goblins vs Gnomes,Hemet Nesingwary,Ralph Horsley,<b>Battlecry:</b> Destroy a Beast.,Legendary,5,It&sbquo;s hard to make a living as a hunter in a world where beasts instantly reappear minutes after you kill them.,Minion,GVG_120,,6,3,,Battlecry,True,
,Goblins vs Gnomes,HERE TAKE BUFF.,,+2/+2.,,,,Enchantment,GVG_104a,,,,,,,
True,Goblins vs Gnomes,Hobgoblin,Laurel D. Austin,Whenever you play a 1-Attack minion give it +2/+2.,Epic,3,Hobgoblins are meeting next week to discuss union benefits.  First on the list: dental plan.,Minion,GVG_104,,2,3,,,,
True,Goblins vs Gnomes,Illuminator,Jim Nelson,If you control a <b>Secret</b> at the end of your turn restore 4 health to your hero.,Rare,3,&bdquo;LUMOS!&bdquo; is not what they yell. What do you think this is Hogwarts?,Minion,GVG_089,,2,4,,,,
,Goblins vs Gnomes,Imp,,,,1,,Minion,GVG_045t,Warlock,1,1,Demon,,,
True,Goblins vs Gnomes,Imp-losion,Jaemin Kim,Deal $2-$4 damage to a minion. Summon a 1/1 Imp for each damage dealt.,Rare,4,The shrapnel is waaaaay worse than the explosion.,Spell,GVG_045,Warlock,,,,,,
True,Goblins vs Gnomes,Iron Juggernaut,Raymond Swanland,<b>Battlecry:</b> Shuffle a Mine into your opponent&sbquo;s deck. When drawn it explodes for 10 damage.,Legendary,6,The Iron Juggernaut guards Orgrimmar and has just earned the &bdquo;Employee of the Month&bdquo; award!,Minion,GVG_056,Warrior,6,5,Mech,Battlecry,True,
True,Goblins vs Gnomes,Iron Sensei,Brian Despain,At the end of your turn give another friendly Mech +2/+2.,Rare,3,Mechs like learning from him because he really speaks their language.0110100001101001,Minion,GVG_027,Rogue,2,2,Mech,,,
,Goblins vs Gnomes,Ironed Out,,Increased stats.,,,,Enchantment,GVG_027e,Rogue,,,,,,
True,Goblins vs Gnomes,Jeeves,Matt Dixon,At the end of each player&sbquo;s turn that player draws until they have 3 cards.,Rare,4,This robot is a lean mean butlerin&sbquo; machine.,Minion,GVG_094,,1,4,Mech,,,
True,Goblins vs Gnomes,Junkbot,Zoltan Boros,Whenever a friendly Mech dies gain +2/+2.,Epic,5,One bot&sbquo;s junk is another bot&sbquo;s AWESOME UPGRADE!,Minion,GVG_106,,1,5,Mech,,,
,Goblins vs Gnomes,Junked Up,,Increased stats.,,,,Enchantment,GVG_106e,,,,,,,
True,Goblins vs Gnomes,Kezan Mystic,Jakub Kasper,<b>Battlecry:</b> Take control of a random enemy <b>Secret</b>.,Rare,4,They pretend to be wise and enlightened but they mostly just hate to be left out of a secret.,Minion,GVG_074,,4,3,,Battlecry,,
True,Goblins vs Gnomes,King of Beasts,Seamus Gallagher,<b>Taunt</b>. <b>Battlecry:</b> Gain +1 Attack for each other Beast you have.,Rare,5,He never sleeps.  Not even in the mighty jungle.,Minion,GVG_046,Hunter,2,6,Beast,Battlecry|Taunt,,
True,Goblins vs Gnomes,Light of the Naaru,Jesper Ejsing,Restore #3 Health. If the target is still damaged summon a Lightwarden.,Rare,1,&bdquo;Light it up!&bdquo; - Command given to both Lightwardens and Goblins holding Flamecannons.,Spell,GVG_012,Priest,,,,,,
True,Goblins vs Gnomes,Lightbomb,Luca Zontini,Deal damage to each minion equal to its Attack.,Epic,6,This is what happens when you allow goblins to be priests.,Spell,GVG_008,Priest,,,,AffectedBySpellPower,,
True,Goblins vs Gnomes,Lil&sbquo; Exorcist,Jim Nelson,<b>Taunt</b><b>Battlecry:</b> Gain +1/+1 for each enemy <b>Deathrattle</b> minion.,Rare,3,Warlocks have the town exorcist on speed dial in case they unleash the wrong demon.,Minion,GVG_097,,2,3,,Battlecry|Taunt,,
True,Goblins vs Gnomes,Lost Tallstrider,Benjamin Zhang,,Common,4,The message &bdquo;If found please return to Mulgore&bdquo; is tattooed on his rear.,Minion,GVG_071,,5,4,Beast,,,
True,Goblins vs Gnomes,Madder Bomber,Alex Horley Orlandelli,<b>Battlecry:</b> Deal 6 damage randomly split between all other characters.,Rare,5,Dang Bomber calm down.,Minion,GVG_090,,5,4,,Battlecry,,
True,Goblins vs Gnomes,Mal&sbquo;Ganis,Wayne Reynolds,Your other Demons have +2/+2.Your hero is <b>Immune</b>.,Legendary,9,Mal&sbquo;Ganis doesn&sbquo;t like being betrayed so if you discard him watch out.,Minion,GVG_021,Warlock,9,7,Demon,Aura,True,
True,Goblins vs Gnomes,Malorne,Oliver Chipping,<b>Deathrattle:</b> Shuffle this minion into your deck.,Legendary,7,When Malorne isn&sbquo;t mauling hordes of demons he enjoys attending parties though he prefers to go stag.,Minion,GVG_035,Druid,9,7,Beast,Deathrattle,True,
True,Goblins vs Gnomes,Mech-Bear-Cat,Trent Kaniuga,Whenever this minion takes damage add a <b>Spare Part</b> card to your hand.,Rare,6,Crushes buildings with his BEAR hands.,Minion,GVG_034,Druid,7,6,Mech,,,
True,Goblins vs Gnomes,Mechanical Yeti,Chris Seaman,<b>Deathrattle:</b> Give each player a <b>Spare Part.</b>,Common,4,The yetis of Chillwind Point are a source of both inspiration and savage beatings.,Minion,GVG_078,,4,5,Mech,Deathrattle,,
True,Goblins vs Gnomes,Mechwarper,Phil Saunders,Your Mechs cost (1) less.,Common,2,Mechs that summon mechs? What&sbquo;s next? Donuts that summon donuts? Mmmmm.,Minion,GVG_006,,2,3,Mech,Aura,,
True,Goblins vs Gnomes,Mekgineer Thermaplugg,Trent Kaniuga,Whenever an enemy minion dies summon a Leper Gnome.,Legendary,9,He was obsessed with explosives until he discovered knitting. Now he yells “SWEATERS! MORE SWEATERS!”,Minion,GVG_116,,9,7,Mech,,True,
,Goblins vs Gnomes,Metabolized Magic,,Increased Attack.,,,,Enchantment,GVG_067a,,,,,Aura,,
,Goblins vs Gnomes,Metabolized Magic,,Increased Attack.,,,,Enchantment,GVG_068a,,,,,Aura,,
,Goblins vs Gnomes,Metal Teeth,,+2 Attack.,,,,Enchantment,GVG_048e,Hunter,,,,,,
True,Goblins vs Gnomes,Metaltooth Leaper,Hideaki Takamura,<b>Battlecry</b>: Give your other Mechs +2 Attack.,Rare,3,Don&sbquo;t leave them out in the rain. In Un&sbquo;Goro Crater there is a whole colony of rust-tooth leapers.,Minion,GVG_048,Hunter,3,3,Mech,Battlecry,,
True,Goblins vs Gnomes,Micro Machine,Skan Srisuwan,At the start of each turn gain +1 Attack.,Common,2,This card is the real thing.,Minion,GVG_103,,1,2,Mech,,,
,Goblins vs Gnomes,Might of Tinkertown,,+1/+1.,,,,Enchantment,GVG_102e,,,,,,,
,Goblins vs Gnomes,Might of Zul&sbquo;Farrak,,Multiplying Attack.,,,,Enchantment,GVG_049e,Hunter,,,,,,
True,Goblins vs Gnomes,Mimiron&sbquo;s Head,Trent Kaniuga,At the start of your turn if you have at least 3 Mechs destroy them all and form V-07-TR-0N.,Legendary,5,Do not push the big red button!,Minion,GVG_111,,4,5,Mech,,True,
True,Goblins vs Gnomes,Mini-Mage,Ben Olson,<b>Stealth</b><b>Spell Damage +1</b>,Epic,4,He is sometimes found hiding in the treasure chest in the Gurubashi Arena.,Minion,GVG_109,,4,1,,Spellpower|Stealth,,
True,Goblins vs Gnomes,Mistress of Pain,Carl Critchlow,Whenever this minion deals damage restore that much Health to your hero.,Rare,2,Her sister is the Mistress of Pane who sells windows and shower doors.,Minion,GVG_018,Warlock,1,4,Demon,,,
True,Goblins vs Gnomes,Mogor the Ogre,Michal Ivan,All minions have a 50% chance to attack the wrong enemy.,Legendary,6,Mogor helped reopen the Dark Portal once. You know you&sbquo;re in trouble when you have to rely on an ogre.,Minion,GVG_112,,7,6,,,True,
True,Goblins vs Gnomes,Muster for Battle,Mike Hayes,Summon three 1/1 Silver Hand Recruits. Equip a 1/4 Weapon.,Rare,3,&bdquo;I&sbquo;m bringing the guacamole!&bdquo; – One of the most successful (yet rare) Silver Hand rallying cries,Spell,GVG_061,Paladin,,,,,,
True,Goblins vs Gnomes,Neptulon,Ruan Jia,<b>Battlecry:</b> Add 4 random Murlocs to your hand. <b>Overload: (3)</b>,Legendary,7,Neptulon is &bdquo;The Tidehunter&bdquo;. He’s one of the four elemental lords. And he and Ragnaros get together and make really amazing saunas.,Minion,GVG_042,Shaman,7,7,,Battlecry,True,
True,Goblins vs Gnomes,Ogre Brute,Vinod Rams,50% chance to attack the wrong enemy.,Common,3,Ogres have really terrible short-term chocolate.,Minion,GVG_065,,4,4,,,,
True,Goblins vs Gnomes,Ogre Ninja,Samwise,<b>Stealth</b>50% chance to attack the wrong enemy.,Rare,5,He didn&sbquo;t have the grades to get into ninja school but his dad pulled some strings.,Minion,GVG_088,Rogue,6,6,,Stealth,,
True,Goblins vs Gnomes,Ogre Warmaul,Richard Wright,50% chance to attack the wrong enemy.,Common,3,Simple misguided and incredibly dangerous. You know like most things ogre.,Weapon,GVG_054,Warrior,4,,,,,2
True,Goblins vs Gnomes,One-eyed Cheat,Danny Beck,Whenever you summon a Pirate gain <b>Stealth</b>.,Rare,2,When pirates say there is no &bdquo;Eye&bdquo; in &bdquo;team&bdquo; they are very literal about it.,Minion,GVG_025,Rogue,4,1,Pirate,,,
,Goblins vs Gnomes,Overclocked,,Spell Damage +2.,,,,Enchantment,GVG_123e,Mage,,,,Spellpower,,
True,Goblins vs Gnomes,Piloted Shredder,Dan Scott,<b>Deathrattle:</b> Summon a random 2-Cost minion.,Common,4,Once upon a time only goblins piloted shredders. These days everyone from Doomsayer to Lorewalker Cho seems to ride one.,Minion,GVG_096,,4,3,Mech,Deathrattle,,
True,Goblins vs Gnomes,Piloted Sky Golem,Michael Phillippi,<b>Deathrattle:</b> Summon a random 4-Cost minion.,Epic,6,The pinnacle of goblin engineering. Includes an espresso machine and foot massager.,Minion,GVG_105,,6,4,Mech,Deathrattle,,
,Goblins vs Gnomes,Pistons,,Increased Attack.,,,,Enchantment,GVG_076a,,,,,,,
,Goblins vs Gnomes,Powered,,+2/+2.,,,,Enchantment,GVG_036e,Shaman,,,,,,
True,Goblins vs Gnomes,Powermace,Zoltan and Gabor,<b>Deathrattle</b>: Give a random friendly Mech +2/+2.,Rare,3,People assume that shamans control the elements but really they have to ask them stuff and the elements are like &bdquo;Yeah ok sure.&bdquo;,Weapon,GVG_036,Shaman,3,,,Deathrattle,,2
True,Goblins vs Gnomes,Puddlestomper,Jaemin Kim,,Common,2,He pays homage to Morgl the great murloc oracle! (Who doesn&sbquo;t??),Minion,GVG_064,,3,2,Murloc,,,
,Goblins vs Gnomes,Pure,,Increased Stats.,,,,Enchantment,GVG_101e,Paladin,,,,,,
True,Goblins vs Gnomes,Quartermaster,Phroilan Gardner,<b>Battlecry:</b> Give your Silver Hand Recruits +2/+2.,Epic,5,His specialty? Dividing things into four pieces.,Minion,GVG_060,Paladin,2,5,,Battlecry,,
True,Goblins vs Gnomes,Recombobulator,Ben Olson,<b>Battlecry:</b> Transform a friendly minion into a random minion with the same Cost.,Epic,2,For when you didn’t combobulate quite right the first time around.,Minion,GVG_108,,3,2,,Battlecry,,
True,Goblins vs Gnomes,Recycle,Brandon Kitkouski,Shuffle an enemy minion into your opponent&sbquo;s deck.,Rare,6,Druidic recycling involves putting plastics in one bin and enemy minions in another bin.,Spell,GVG_031,Druid,,,,,,
,Goblins vs Gnomes,Repairs!,,+4 Health.,,,,Enchantment,GVG_069a,Priest,,,,,,
,Goblins vs Gnomes,Retribution,,Increased Attack,,,,Enchantment,GVG_063a,,,,,,,
,Goblins vs Gnomes,Reversing Switch,Nutthapon Petthai,Swap a minion&sbquo;s Attack and Health.,,1,,Spell,PART_006,,,,,,,
,Goblins vs Gnomes,Rusty Horn,Peerasak Senalai,Give a minion <b>Taunt</b>.,,1,,Spell,PART_003,,,,,,,
True,Goblins vs Gnomes,Sabotage,Dave Allsop,Destroy a random enemy minion. <b>Combo</b>: And your opponent&sbquo;s weapon.,Epic,4,Rogues can&sbquo;t stand it. They know you planned it! They are going to set you straight!,Spell,GVG_047,Rogue,,,,Combo,,
True,Goblins vs Gnomes,Salty Dog,Alex Horley Orlandelli,,Common,5,He&sbquo;s recently recovered from being a &bdquo;scurvy dog.&bdquo;,Minion,GVG_070,,7,4,Pirate,,,
True,Goblins vs Gnomes,Scarlet Purifier,Anton Zemskov,<b>Battlecry</b>: Deal 2 damage to all minions with <b>Deathrattle</b>.,Rare,3,The Scarlet Crusade is doing market research to find out if the &bdquo;Mauve Crusade&bdquo; would be better received.,Minion,GVG_101,Paladin,4,3,,Battlecry,,
