MECHANICS,COLLECTIBLE,SET,NAME,ARTIST,TEXT,RARITY,ATTACK,COST,HEALTH,HOWTOGETGOLD,FLAVOR,HOWTOGET,TYPE,ID,PLAYERCLASS,ELITE,DURABILITY,RACE
,,Curse of Naxxramas,Lady Blaumeux,,Your hero is <b>Immune</b>.,,1,3,7,,,,Minion,NAX9_02,,True,,
,,Curse of Naxxramas,Loatheb,,,,,,99,,,,Hero,NAX6_01H,,,,
,,Curse of Naxxramas,Loatheb,,,,,,75,,,,Hero,NAX6_01,,,,
Battlecry,True,Curse of Naxxramas,Loatheb,Samwise,<b>Battlecry:</b> Enemy spells cost (5) more next turn.,Legendary,5,5,5,Can be crafted after completing the Plague Quarter.,Loatheb used to be a simple Bog Beast.  This is why we need stricter regulations on mining and agriculture.,Unlocked by completing the Plague Quarter.,Minion,FP1_030,,True,,
,,Curse of Naxxramas,Locust Swarm,,Deal $3 damage to all enemy minions. Restore #3 Health to your hero.,,,7,,,,,Spell,NAX1_05,,,,
Deathrattle,True,Curse of Naxxramas,Mad Scientist,James Ryman,<b>Deathrattle:</b> Put a <b>Secret</b> from your deck into the battlefield.,Common,2,2,2,Can be crafted after defeating Grobbulus in the Construct Quarter.,His mother wanted him to be a mage or a warlock but noooooooo he had to go and be a scientist like his father.,Unlocked by defeating Grobbulus in the Construct Quarter.,Minion,FP1_004,,,,
,,Curse of Naxxramas,Maexxna,,,,,,45,,,,Hero,NAX3_01H,,,,
Poisonous,True,Curse of Naxxramas,Maexxna,Howard Lyon,Destroy any minion damaged by this minion.,Legendary,2,6,8,Can be crafted after completing the Arachnid Quarter.,Maexxna gets super mad when people introduce her as &bdquo;Maxina&bdquo; or &bdquo;Maxxy&bdquo;.,Unlocked by completing the Arachnid Quarter.,Minion,FP1_010,,True,,Beast
,,Curse of Naxxramas,Maexxna,,,,,,30,,,,Hero,NAX3_01,,,,
,,Curse of Naxxramas,Mark of the Horsemen,,+1/+1.,,,,,,,,Enchantment,NAX9_07e,,,,
,,Curse of Naxxramas,Mark of the Horsemen,,Give your minions and your weapon +1/+1.,,,5,,,,,Spell,NAX9_07,,,,
,,Curse of Naxxramas,Massive Runeblade,,Deals double damage to heroes.,,10,3,,,,,Weapon,NAX7_04H,,,2,
,,Curse of Naxxramas,Massive Runeblade,,Deals double damage to heroes.,,5,3,,,,,Weapon,NAX7_04,,,2,
,,Curse of Naxxramas,Mind Control Crystal,,Activate the Crystal to control the Understudies!,,,1,,,,,Spell,NAX7_05,,,,
,,Curse of Naxxramas,Mindpocalypse,,Both players draw 2 cards and gain a Mana Crystal.,,,2,,,,,Spell,NAX5_03,,,,
,,Curse of Naxxramas,Mr. Bigglesworth,,<i>This is Kel&sbquo;Thuzad&sbquo;s kitty.</i>,Legendary,1,0,1,,,,Minion,NAX15_05,,True,,Beast
,,Curse of Naxxramas,Mutating Injection,,Give a minion +4/+4 and <b>Taunt</b>.,,,3,,,,,Spell,NAX11_04,,,,
,,Curse of Naxxramas,Mutating Injection,,+4/+4 and <b>Taunt</b>.,,,,,,,,Enchantment,NAX11_04e,,,,
Deathrattle,,Curse of Naxxramas,Necroknight,,<b>Deathrattle:</b> Destroy the minions next to this one as well.,,5,4,6,,,,Minion,NAXM_001,,,,
,,Curse of Naxxramas,Necrotic Aura,,<b>Hero Power</b>
Deal 3 damage to the enemy hero.,,,2,,,,,Hero Power,NAX6_02,,,,
,,Curse of Naxxramas,Necrotic Aura,,<b>Hero Power</b>
Deal 3 damage to the enemy hero.,,,0,,,,,Hero Power,NAX6_02H,,,,
,,Curse of Naxxramas,Necrotic Aura,,Your spells cost (5) more this turn.,,,,,,,,Enchantment,FP1_030e,,,,
,,Curse of Naxxramas,Necrotic Poison,,Destroy a minion.,,,2,,,,,Spell,NAX3_03,,,,
Aura,True,Curse of Naxxramas,Nerub&sbquo;ar Weblord,Alex Horley Orlandelli,Minions with <b>Battlecry</b> cost (2) more.,Common,1,2,4,Can be crafted after defeating Grand Widow Faerlina in the Arachnid Quarter.,Weblords spend all day making giant trampoline parks.,Unlocked by defeating Grand Widow Faerlina in the Arachnid Quarter.,Minion,FP1_017,,,,
,,Curse of Naxxramas,Nerubian,,,,4,2,4,,,,Minion,NAX1h_03,,,,
,,Curse of Naxxramas,Nerubian,,,,3,2,1,,,,Minion,NAX1_03,,,,
,,Curse of Naxxramas,Nerubian,,,Rare,4,3,4,,,,Minion,FP1_007t,,,,
Deathrattle,True,Curse of Naxxramas,Nerubian Egg,Justin Thavirat,<b>Deathrattle:</b> Summon a 4/4 Nerubian.,Rare,0,2,2,Can be crafted after defeating Maexxna in the Arachnid Quarter.,Eggs are a good source of protein and Nerubians.,Unlocked by defeating Maexxna in the Arachnid Quarter.,Minion,FP1_007,,,,
,,Curse of Naxxramas,Noth the Plaguebringer,,,,,,30,,,,Hero,NAX4_01,Mage,,,
,,Curse of Naxxramas,Noth the Plaguebringer,,,,,,45,,,,Hero,NAX4_01H,Mage,,,
,,Curse of Naxxramas,Patchwerk,,,,,,30,,,,Hero,NAX10_01,,,,
,,Curse of Naxxramas,Patchwerk,,,,,,45,,,,Hero,NAX10_01H,,,,
,,Curse of Naxxramas,Plague,,Destroy all non-Skeleton minions.,,,6,,,,,Spell,NAX4_05,,,,
,,Curse of Naxxramas,Poison Cloud,,<b>Hero Power</b>
Deal 1 damage to all minions. If any die summon a slime.,,,2,,,,,Hero Power,NAX11_02,,,,
,,Curse of Naxxramas,Poison Cloud,,<b>Hero Power</b>
Deal 2 damage to all enemies. If any die summon a slime.,,,0,,,,,Hero Power,NAX11_02H,,,,
,True,Curse of Naxxramas,Poison Seeds,Brian Despain,Destroy all minions and summon 2/2 Treants to replace them.,Common,,4,,Can be crafted after completing the Druid Class Challenge in Naxxramas.,&bdquo;Poisonseed Bagel&bdquo; is the least popular bagel at McTiggin&sbquo;s Druidic Bagel Emporium.,Unlocked by completing the Druid Class Challenge in Naxxramas.,Spell,FP1_019,Druid,,,
,,Curse of Naxxramas,Polarity,,Attack and Health swapped.,,,,,,,,Enchantment,NAX13_02e,,,,
,,Curse of Naxxramas,Polarity Shift,,<b>Hero Power</b>
Swap the Attack and Health of all minions.,,,0,,,,,Hero Power,NAX13_02,,,,
,,Curse of Naxxramas,Power of the Ziggurat,,+3 Health.,,,,,,,,Enchantment,FP1_023e,Priest,,,
Freeze,,Curse of Naxxramas,Pure Cold,,Deal $8 damage to the enemy hero and <b>Freeze</b> it.,,,5,,,,,Spell,NAX14_04,,,,
ImmuneToSpellpower,,Curse of Naxxramas,Rain of Fire,,<b>Hero Power</b>
Fire a missile for each card in your opponent&sbquo;s hand.,,,2,,,,,Hero Power,NAX2_03,,,,
ImmuneToSpellpower,,Curse of Naxxramas,Rain of Fire,,<b>Hero Power</b>
Fire a missile for each card in your opponent&sbquo;s hand.,,,1,,,,,Hero Power,NAX2_03H,,,,
,,Curse of Naxxramas,Raise Dead,,<b>Passive Hero Power</b>
Whenever an enemy dies raise a 1/1 Skeleton.,,,0,,,,,Hero Power,NAX4_04,,,,
,,Curse of Naxxramas,Raise Dead,,<b>Passive Hero Power</b>
Whenever an enemy dies raise a 5/5 Skeleton.,,,0,,,,,Hero Power,NAX4_04H,,,,
,True,Curse of Naxxramas,Reincarnate,Dan Scott,Destroy a minion then return it to life with full Health.,Common,,2,,Can be crafted after completing the Shaman Class Challenge in Naxxramas.,It&sbquo;s like birth except you&sbquo;re an adult and you were just dead a second ago.,Unlocked by completing the Shaman Class Challenge in Naxxramas.,Spell,FP1_025,Shaman,,,
,,Curse of Naxxramas,Runeblade,,Has +6 Attack if the other Horsemen are dead.,,2,3,,,,,Weapon,NAX9_05H,,,3,
,,Curse of Naxxramas,Runeblade,,Has +3 Attack if the other Horsemen are dead.,,1,3,,,,,Weapon,NAX9_05,,,3,
,,Curse of Naxxramas,Sapphiron,,,,,,45,,,,Hero,NAX14_01H,,,,
,,Curse of Naxxramas,Sapphiron,,,,,,30,,,,Hero,NAX14_01,,,,
Stealth,True,Curse of Naxxramas,Shade of Naxxramas,Ittoku Seta,<b>Stealth.</b> At the start of your turn gain +1/+1.,Epic,2,3,2,Can be crafted after defeating Kel&sbquo;Thuzad in the Frostwyrm Lair.,The Shades of Naxxramas <i>hate</i> the living. They even have a slur they use to refer them: <i>Livers</i>.,Unlocked by defeating Kel&sbquo;Thuzad in the Frostwyrm Lair.,Minion,FP1_005,,,,
,,Curse of Naxxramas,Sir Zeliek,,Your hero is <b>Immune</b>.,,1,3,7,,,,Minion,NAX9_04,,True,,
,,Curse of Naxxramas,Sir Zeliek,,Your hero is <b>Immune</b>.,,2,3,7,,,,Minion,NAX9_04H,,True,,
Deathrattle,,Curse of Naxxramas,Skeletal Smith,,<b>Deathrattle:</b> Destroy your opponent&sbquo;s weapon.,,4,3,3,,,,Minion,NAXM_002,,,,
,,Curse of Naxxramas,Skeleton,,,,5,5,5,,,,Minion,NAX4_03H,,,,
,,Curse of Naxxramas,Skeleton,,,,1,1,1,,,,Minion,NAX4_03,,,,
,,Curse of Naxxramas,Skitter,,<b>Hero Power</b>
Summon a 3/1 Nerubian.,,,2,,,,,Hero Power,NAX1_04,,,,
,,Curse of Naxxramas,Skitter,,<b>Hero Power</b>
Summon a 4/4 Nerubian.,,,2,,,,,Hero Power,NAX1h_04,,,,
,,Curse of Naxxramas,Slave of Kel&sbquo;Thuzad,,MINE!,,,,,,,,Enchantment,NAX15_04a,,,,
Taunt,,Curse of Naxxramas,Slime,,<b>Taunt</b>,,1,1,2,,,,Minion,FP1_012t,,,,
Deathrattle|Taunt,True,Curse of Naxxramas,Sludge Belcher,Nate Bowden,<b>Taunt.
Deathrattle:</b> Summon a 1/2 Slime with <b>Taunt</b>.,Rare,3,5,5,Can be crafted after defeating Loatheb in the Plague Quarter.,DO NOT GIVE HIM A ROOT BEER.,Unlocked by defeating Loatheb in the Plague Quarter.,Minion,FP1_012,,,,
,True,Curse of Naxxramas,Spectral Knight,Chris Rahn,Can&sbquo;t be targeted by spells or Hero Powers.,Common,4,5,6,Can be crafted after defeating Gothik the Harvester in the Military Quarter.,What do Faerie Dragons and Spectral Knights have in common?  They both love pasta!,Unlocked by defeating Gothik the Harvester in the Military Quarter.,Minion,FP1_008,,,,
,,Curse of Naxxramas,Spectral Rider,,At the start of your turn deal 1 damage to your hero.,,0,5,6,,,,Minion,NAX8_05t,,,,
,,Curse of Naxxramas,Spectral Spider,,,,1,1,1,,,,Minion,FP1_002t,,,,
,,Curse of Naxxramas,Spectral Trainee,,At the start of your turn deal 1 damage to your hero.,,0,1,2,,,,Minion,NAX8_03t,,,,
,,Curse of Naxxramas,Spectral Warrior,,At the start of your turn deal 1 damage to your hero.,,0,3,4,,,,Minion,NAX8_04t,,,,
Deathrattle,,Curse of Naxxramas,Spore,,<b>Deathrattle:</b> Give all enemy minions +8 Attack.,,0,0,1,,,,Minion,NAX6_03t,,,,
,,Curse of Naxxramas,Sporeburst,,Deal $1 damage to all enemy minions. Summon a Spore.,,,1,,,,,Spell,NAX6_04,,,,
,,Curse of Naxxramas,Stalagg,,,Legendary,7,5,4,,,,Minion,NAX13_05H,,True,,
Deathrattle,True,Curse of Naxxramas,Stalagg,Dany Orizio,<b>Deathrattle:</b> If Feugen also died this game summon Thaddius.,Legendary,7,5,4,Can be crafted after completing the Construct Quarter.,Stalagg want to write own flavor text.  &bdquo;STALAGG AWESOME!&bdquo;,Unlocked by completing the Construct Quarter.,Minion,FP1_014,,True,,
,True,Curse of Naxxramas,Stoneskin Gargoyle,Matt Smith,At the start of your turn restore this minion to full Health.,Common,1,3,4,Can be crafted after defeating Noth the Plaguebringer in the Plague Quarter.,Stoneskin Gargoyles love freeze tag.,Unlocked by defeating Noth the Plaguebringer in the Plague Quarter.,Minion,FP1_027,,,,
,,Curse of Naxxramas,Supercharge,,Give your minions +2 Health.,,,2,,,,,Spell,NAX13_03,,,,
,,Curse of Naxxramas,Supercharged,,+2 Health.,,,,,,,,Enchantment,NAX13_03e,,,,
,,Curse of Naxxramas,Thaddius,,,,,,45,,,,Hero,NAX13_01H,,,,
,,Curse of Naxxramas,Thaddius,,,,,,30,,,,Hero,NAX13_01,,,,
,,Curse of Naxxramas,Thaddius,,,Legendary,11,10,11,,,,Minion,FP1_014t,,True,,
,,Curse of Naxxramas,Thane Korth&sbquo;azz,,Your hero is <b>Immune</b>.,,2,3,7,,,,Minion,NAX9_03H,,True,,
,,Curse of Naxxramas,Thane Korth&sbquo;azz,,Your hero is <b>Immune</b>.,,1,3,7,,,,Minion,NAX9_03,,True,,
,,Curse of Naxxramas,Treant,,,,2,1,2,,,,Minion,FP1_019t,Druid,,,
,,Curse of Naxxramas,Unbalancing Strike,,<b>Hero Power</b>
Deal 3 damage.,,,2,,,,,Hero Power,NAX7_03,,,,
,,Curse of Naxxramas,Unbalancing Strike,,<b>Hero Power</b>
Deal 4 damage.,,,1,,,,,Hero Power,NAX7_03H,,,,
Taunt,,Curse of Naxxramas,Understudy,,<b>Taunt</b>,,0,2,7,,,,Minion,NAX7_02,,,,
,True,Curse of Naxxramas,Undertaker,Jonboy Meyers,Whenever you summon a minion with <b>Deathrattle</b> gain +1 Attack.,Common,1,1,2,Can be crafted after defeating Patchwerk in the Construct Quarter.,In a world where you can run to a spirit healer and resurrect yourself Undertakers do pretty light business.,Unlocked by defeating Patchwerk in the Construct Quarter.,Minion,FP1_028,,,,
,,Curse of Naxxramas,Unholy Shadow,,<b>Hero Power</b>
Draw 2 cards.,,,5,,,,,Hero Power,NAX9_06,,,,
Deathrattle,,Curse of Naxxramas,Unrelenting Rider,,<b>Deathrattle:</b> Summon a Spectral Rider for your opponent.,,5,6,6,,,,Minion,NAX8_05,,,,
Deathrattle,,Curse of Naxxramas,Unrelenting Trainee,,<b>Deathrattle:</b> Summon a Spectral Trainee for your opponent.,,2,1,2,,,,Minion,NAX8_03,,,,
Deathrattle,,Curse of Naxxramas,Unrelenting Warrior,,<b>Deathrattle:</b> Summon a Spectral Warrior for your opponent.,,3,3,4,,,,Minion,NAX8_04,,,,
Deathrattle|Taunt,True,Curse of Naxxramas,Unstable Ghoul,Mike Nicholson,<b>Taunt</b>. <b>Deathrattle:</b> Deal 1 damage to all minions.,Common,1,2,3,Can be crafted after defeating Heigan the Unclean in the Plague Quarter.,Filling your Ghouls with Rocket Fuel is all the rage at Necromancer school.,Unlocked by defeating Heigan the Unclean in the Plague Quarter.,Minion,FP1_024,,,,
,,Curse of Naxxramas,Vengeance,,+3/+2.,,,,,,,,Enchantment,FP1_020e,Paladin,,,
Deathrattle,True,Curse of Naxxramas,Voidcaller,Robb Shoberg,<b>Deathrattle:</b> Put a random Demon from your hand into the battlefield.,Common,3,4,4,Can be crafted after completing the Warlock Class Challenge in Naxxramas.,&bdquo;Void!  Here void!  Here buddy!&bdquo;,Unlocked by completing the Warlock Class Challenge in Naxxramas.,Minion,FP1_022,Warlock,,,Demon
Battlecry,True,Curse of Naxxramas,Wailing Soul,Glenn Rane,<b>Battlecry: Silence</b> your other minions.,Rare,3,4,5,Can be crafted after defeating Thaddius in the Construct Quarter.,This soul just <i>wails</i> on you. Dang soul let up already.,Unlocked by defeating Thaddius in the Construct Quarter.,Minion,FP1_016,,,,
,,Curse of Naxxramas,Web Wrap,,<b>Hero Power</b>
Return a random enemy minion to your opponent&sbquo;s hand.,,,3,,,,,Hero Power,NAX3_02,,,,
,,Curse of Naxxramas,Web Wrap,,<b>Hero Power</b>
Return 2 random enemy minions to your opponent&sbquo;s hand.,,,0,,,,,Hero Power,NAX3_02H,,,,
Deathrattle,True,Curse of Naxxramas,Webspinner,Dan Brereton,<b>Deathrattle:</b> Add a random Beast card to your hand.,Common,1,1,1,Can be crafted after completing the Hunter Class Challenge in Naxxramas.,Spider cocoons are like little piñatas!,Unlocked by completing the Hunter Class Challenge in Naxxramas.,Minion,FP1_011,Hunter,,,Beast
Aura,,Curse of Naxxramas,Worshipper,,Your hero has +1 Attack on your turn.,,1,3,4,,,,Minion,NAX2_05,,,,
Aura,,Curse of Naxxramas,Worshipper,,Your hero has +3 Attack on your turn.,,2,3,4,,,,Minion,NAX2_05H,,,,
Deathrattle,True,Curse of Naxxramas,Zombie Chow,E. M. Gist,<b>Deathrattle:</b> Restore 5 Health to the enemy hero.,Common,2,1,3,Can be crafted after defeating Gluth in the Construct Quarter.,Zombie.  It&sbquo;s what&sbquo;s for dinner.,Unlocked by defeating Gluth in the Construct Quarter.,Minion,FP1_001,,,,
