TEXT,SET,TYPE,ID,NAME,FACTION,RARITY,COST,MECHANICS,HEALTH,INPLAYTEXT,ATTACK,DURABILITY,PLAYERCLASS,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
Your cards and powers that restore Health now deal damage instead.,Classic,Minion,EX1_591,Auchenai Soulpriest,Neutral,Rare,4,Aura,5,,3,,Priest,True,Doug Alexander,The Auchenai know the end is coming but they're not sure when.,,,,
Deal $8 damage randomly split among enemy characters.,Classic,Spell,EX1_384,Avenging Wrath,Neutral,Epic,6,ImmuneToSpellpower,,,,,Paladin,True,Alex Garner,Wham! Wham! Wham! Wham! Wham! Wham! Wham! Wham!,,,,
<b>Spell Damage +1</b>. <b>Battlecry:</b> Draw a card.,Classic,Minion,EX1_284,Azure Drake,Neutral,Rare,5,Battlecry|Spellpower,4,,4,,,True,Ben Zhang,They initially planned to be the Beryl or Cerulean drakes but those felt a tad too pretentious.,,Dragon,,
,Classic,Minion,EX1_110t,Baine Bloodhoof,,Legendary,4,,5,,4,,,,,,True,,,
Has +1/+1.,Classic,Enchantment,EX1_014te,Bananas,,,,,,,,,,,,,,,,
Give a minion +1/+1.,Classic,Spell,EX1_014t,Bananas,,,1,,,,,,,,,,,,,
Deal $2 damage to a character. If that kills it summon a random Demon.,Classic,Spell,EX1_320,Bane of Doom,Neutral,Epic,5,,,,,,Warlock,True,Raymond Swanland,My advice to you is to avoid Doom if possible.,,,,
At the end of your turn deal 2 damage to ALL other characters.,Classic,Minion,EX1_249,Baron Geddon,Neutral,Legendary,7,,5,,7,,,True,Ian Ameling,Baron Geddon was Ragnaros's foremost lieutenant until he got FIRED.,True,,,
,Classic,Weapon,EX1_398t,Battle Axe,,,1,,,,2,2,Warrior,,,,,,,
Draw a card for each damaged friendly character.,Classic,Spell,EX1_392,Battle Rage,Neutral,Common,2,,,,,,Warrior,True,Alex Horley Orlandelli,"You won't like me when I'm angry.",,,,
+2 Health and <b>Taunt</b>.,Classic,Spell,EX1_165b,Bear Form,Neutral,Common,,,,,,,Druid,,,,,,,
Increased Attack.,Classic,Enchantment,EX1_604o,Berserk,,,,,,,,,Warrior,,,,,,,
Give a friendly Beast +2 Attack and <b>Immune</b> this turn.,Classic,Spell,EX1_549,Bestial Wrath,Neutral,Epic,1,,,,,,Hunter,True,Alex Horley Orlandelli,The seething wrath is just beneath the surface.  Beneath that is wild abandon followed by slight annoyance.,,,,
+2 Attack and <b>Immune</b> this turn.,Classic,Enchantment,EX1_549o,Bestial Wrath,,,,OneTurnEffect,,,,,Hunter,,,,,,,
Force an enemy minion to deal its damage to the minions next to it.,Classic,Spell,EX1_126,Betrayal,Neutral,Common,2,,,,,,Rogue,True,Lucas Graciano,Everyone has a price. Gnomes for example can be persuaded by stuffed animals and small amounts of chocolate.,,,,
<b>Battlecry:</b> Destroy a minion with an Attack of 7 or more.,Classic,Minion,EX1_005,Big Game Hunter,,Epic,3,Battlecry,2,,4,,,True,Chris Seaman,Mere devilsaurs no longer excite him.  Soon he'll be trying to catch Onyxia with only a dull Krol Blade.,,,,
Give your hero +4 Attack this turn and 4 Armor.,Classic,Spell,EX1_570,Bite,Neutral,Rare,4,,,,,,Druid,True,Tom Baxa,Chew your food!,,,,
+4 Attack this turn.,Classic,Enchantment,EX1_570e,Bite,,,,OneTurnEffect,,,,,,,,,,,,
Destroy your weapon and deal its damage to all enemies.,Classic,Spell,CS2_233,Blade Flurry,Neutral,Rare,2,AffectedBySpellPower,,,,,Rogue,True,Hideaki Takamura,"Look it's not just about waving daggers around really fast.  It's a lot more complicated than that." - Shan Rogue Trainer,,,,
Increased Attack.,Classic,Enchantment,EX1_509e,Blarghghl,,,,,,,,,,,,,,,,
This minion's Attack has been doubled.,Classic,Enchantment,EX1_355e,Blessed Champion,,,,,,,,,Paladin,,,,,,,
Double a minion's Attack.,Classic,Spell,EX1_355,Blessed Champion,,Rare,5,,,,,,Paladin,True,Tyler Walpole,This card causes double the trouble AND double the fun.,,,,
Choose a minion. Whenever it attacks draw a card.,Classic,Spell,EX1_363,Blessing of Wisdom,,Common,1,,,,,,Paladin,True,Chippy,Apparently with wisdom comes the knowledge that you should probably be attacking every turn.,,,,
When this minion attacks the player who blessed it draws a card.,Classic,Enchantment,EX1_363e,Blessing of Wisdom,,,,,,,,,Paladin,,,,,,,
When this minion attacks the enemy player draws a card.,Classic,Enchantment,EX1_363e2,Blessing of Wisdom,,,,,,,,,Paladin,,,,,,,
Deal $2 damage to all enemy minions and <b>Freeze</b> them.,Classic,Spell,CS2_028,Blizzard,Neutral,Rare,6,Freeze,,,,,Mage,True,Chris Seaman,This spell can be very Entertaining.,,,,
,Classic,Weapon,EX1_323w,Blood Fury,,,3,,,,3,8,Warlock,,,,,,,
<b>Stealth</b>. At the end of your turn give another random friendly minion +1 Health.,Classic,Minion,CS2_059,Blood Imp,Neutral,Common,1,Stealth,1,Blood Pact,0,,Warlock,True,Bernie Kang,Imps are content to hide and viciously taunt everyone nearby.,,Demon,,
<b>Battlecry:</b> All minions lose <b>Divine Shield</b>. Gain +3/+3 for each Shield lost.,Classic,Minion,EX1_590,Blood Knight,Neutral,Epic,3,Battlecry,3,,3,,,True,Trent Kaniuga,The Blood Knights get their holy powers from the Sunwell which you should NOT bathe in.,,,,
Increased Health.,Classic,Enchantment,CS2_059o,Blood Pact,,,,,,,,,Warlock,,,,,,,
<b>Spell Damage +1</b>. <b>Deathrattle:</b> Draw a card.,Classic,Minion,EX1_012,Bloodmage Thalnos,Neutral,Legendary,2,Deathrattle|Spellpower,1,,1,,,True,Alex Horley Orlandelli,He's in charge of the Annual Scarlet Monastery Blood Drive!,True,,,
No durability loss.,Classic,Enchantment,EX1_411e,Bloodrage,,,,,,,,,Warrior,,,,,,,
<b>Battlecry:</b> Remove 1 Durability from your opponent's weapon.,Classic,Minion,NEW1_025,Bloodsail Corsair,,Rare,1,Battlecry,2,,1,,,True,Randy Gallegos,Every pirate uses the same four digits to access Automated Gold Dispensers.  It's called the "Pirate's Code".,,Pirate,,
<b>Battlecry:</b> Gain Attack equal to the Attack of your weapon.,Classic,Minion,NEW1_018,Bloodsail Raider,,Common,2,Battlecry,3,,2,,,True,Jim Nelson,"I only plunder on days that end in 'y'.",,Pirate,,
Increased Health.,Classic,Enchantment,NEW1_025e,Bolstered,,,,,,,,,,,,,,,,
Destroy all minions except one. <i>(chosen randomly)</i>,Classic,Spell,EX1_407,Brawl,Neutral,Epic,5,,,,,,Warrior,True,Wayne Reynolds,Do you know the first rule of Brawl Club?,,,,
<b>Battlecry:</b> Take control of an enemy minion that has 2 or less Attack.,Classic,Minion,EX1_091,Cabal Shadow Priest,Neutral,Epic,6,Battlecry,5,,4,,Priest,True,Chippy,You never know who may be secretly working for the Cabal....,,,,
<b>Deathrattle:</b> Summon a 4/5 Baine Bloodhoof.,Classic,Minion,EX1_110,Cairne Bloodhoof,Alliance,Legendary,6,Deathrattle,5,,4,,,True,Wayne Reynolds,Cairne was killed by Garrosh so... don't put this guy in a Warrior deck.  It's pretty insensitive.,True,,,
Increased Attack.,Classic,Enchantment,tt_004o,Cannibalize,,,,,,,,,,,,,,,,
<b>Battlecry:</b> Give your weapon +1/+1.,Classic,Minion,NEW1_024,Captain Greenskin,,Legendary,5,Battlecry,4,,5,,,True,Dan Scott,He was <i>this close</i> to piloting a massive juggernaut into Stormwind Harbor. If it weren't for those pesky kids!,True,Pirate,,
<b>Charge</b>,Classic,Spell,EX1_165a,Cat Form,Neutral,Common,,,,,,,Druid,,,,,,,
<b>Choose One</b> - Give your other minions +2/+2; or Summon two 2/2 Treants with <b>Taunt</b>.,Classic,Minion,EX1_573,Cenarius,Neutral,Legendary,9,,8,Demigod,5,,Druid,True,Alex Horley Orlandelli,Yes he's a demigod. No he doesn't need to wear a shirt.,True,,,
Restore #4 Health to ALL minions.,Classic,Spell,EX1_621,Circle of Healing,,Common,0,,,,,,Priest,True,Daarken,It isn't really a circle.,,,,
+2 Attack.,Classic,Enchantment,CS2_073e,Cold Blood,,,,,,,,,Rogue,,,,,,,
Give a minion +2 Attack. <b>Combo:</b> +4 Attack instead.,Classic,Spell,CS2_073,Cold Blood,Neutral,Common,1,Combo,,,,,Rogue,True,Alex Horley Orlandelli,"I'm cold blooded check it and see!",,,,
+4 Attack.,Classic,Enchantment,CS2_073e2,Cold Blood,,,,,,,,,Rogue,,,,,,,
<b>Battlecry:</b> Each player draws 2 cards.,Classic,Minion,EX1_050,Coldlight Oracle,Neutral,Rare,3,Battlecry,2,,2,,,True,Steve Prescott,They can see the future.   In that future both players draw more cards.   Spoooky.,,Murloc,,
<b>Battlecry:</b> Give ALL other Murlocs +2 Health.,Classic,Minion,EX1_103,Coldlight Seer,Neutral,Rare,3,Battlecry,3,,2,,,True,Arthur Gimaldinov,The Coldlight murlocs reside in the darkest pits of the Abyssal Depths.  So no there's no getting away from murlocs.,,Murloc,,
Your minions can't be reduced below 1 Health this turn.,Classic,Enchantment,NEW1_036e2,Commanding Shout,,,,OneTurnEffect,,,,,Warrior,,,,,,,
Your minions can't be reduced below 1 Health this turn. Draw a card.,Classic,Spell,NEW1_036,Commanding Shout,,Rare,2,,,,,,Warrior,True,Wayne Reynolds,"Shout! Shout! Let it all out!" - Advice to warriors-in-training,,,,
Can't be reduced below 1 Health this turn.,Classic,Enchantment,NEW1_036e,Commanding Shout,,,,OneTurnEffect,,,,,Warrior,,,,,,,
Give your minions <b>Stealth</b> until your next turn.,Classic,Spell,EX1_128,Conceal,Neutral,Common,1,,,,,,Rogue,True,Steve Hui,Rogues conceal everything but their emotions.  You can't get 'em to shut up about feelings.,,,,
Stealthed until your next turn.,Classic,Enchantment,EX1_128e,Concealed,,,,,,,,,Rogue,,,,,,,
<b>Freeze</b> a minion and the minions next to it and deal $1 damage to them.,Classic,Spell,EX1_275,Cone of Cold,Neutral,Common,4,Freeze,,,,,Mage,True,Leo Che,Magi of the Kirin Tor were casting Cubes of Cold for many years before Cones came into fashion some 90 years ago.,,,,
Increased stats.,Classic,Enchantment,EX1_304e,Consume,,,,,,,,,Warlock,,,,,,,
<b>Secret:</b> When your opponent casts a spell <b>Counter</b> it.,Classic,Spell,EX1_287,Counterspell,Neutral,Rare,3,Secret,,,,,Mage,True,Jason Chan,What's the difference between a mage playing with Counterspell and a mage who isn't?  The mage who isn't is getting Pyroblasted in the face.,,,,
<b>Battlecry:</b> Swap the Attack and Health of a minion.,Classic,Minion,EX1_059,Crazed Alchemist,Neutral,Rare,2,Battlecry,2,,2,,,True,Tom Fleming,"You'll <i>love</i> my new recipe!" he says... especially if you're not happy with your current number of limbs.,,,,
<b>Battlecry:</b> Deal 1 damage to a minion and give it +2 Attack.,Classic,Minion,EX1_603,Cruel Taskmaster,Neutral,Common,2,Battlecry,2,,2,,Warrior,True,Phroilan Gardner,"I'm going to need you to come in on Sunday." - Cruel Taskmaster,,,,
Whenever one of your other minions dies draw a card.,Classic,Minion,EX1_595,Cult Master,Neutral,Common,4,,2,Cultist,4,,,True,Raymond Swanland,She may be an evil cult master but she still calls her parents once a week.,,,,
,Classic,Minion,skele21,Damaged Golem,Neutral,Common,1,,1,,2,,,,,,,Mech,,
This minion has switched controllers this turn.,Classic,Enchantment,EX1_334e,Dark Command,,,,,,,,,Priest,,,,,,,
<b>Battlecry:</b> Give a minion +2 Attack this turn.,Classic,Minion,EX1_046,Dark Iron Dwarf,Alliance,Common,4,Battlecry,4,,4,,,True,Scott Hampton,Guardians of Dark Iron Ore.  Perhaps the most annoying ore given where you have to forge it.,,,,
Destroy a random enemy minion.,Classic,Spell,EX1_617,Deadly Shot,Neutral,Common,3,,,,,,Hunter,True,Steve Prescott,Accuracy is not a highly valued trait among the mok'nathal.  Deadliness is near the top though.,,,,
<b>Battlecry:</b> Destroy all other minions and discard your hand.,Classic,Minion,NEW1_030,Deathwing,,Legendary,10,Battlecry,12,,12,,,True,Bernie Kang,Once a noble dragon known as Neltharion Deathwing lost his mind and shattered Azeroth before finally being defeated.  Daddy issues?,True,Dragon,,
,Classic,Minion,EX1_130a,Defender,Neutral,Common,1,,1,,2,,Paladin,,,,,,,
<b>Battlecry:</b> Give adjacent minions +1/+1 and <b>Taunt</b>.,Classic,Minion,EX1_093,Defender of Argus,Alliance,Rare,4,Battlecry,3,,2,,,True,Alex Horley Orlandelli,You wouldn’t think that Argus would need this much defending.  But it does.,,,,
,Classic,Minion,EX1_131t,Defias Bandit,Neutral,,1,,1,,2,,Rogue,,,,,,,
<b>Combo:</b> Summon a 2/1 Defias Bandit.,Classic,Minion,EX1_131,Defias Ringleader,Neutral,Common,2,Combo,2,,2,,Rogue,True,Dany Orizio,He stole the deed to town years ago so technically the town <i>is</i> his. He just calls people Scrub to be mean.,,,,
+2/+2.,Classic,Enchantment,EX1_573ae,Demigod's Favor,Neutral,,,,,,,,Druid,,,,,,,
Give your other minions +2/+2.,Classic,Spell,EX1_573a,Demigod's Favor,Neutral,,,,,,,,Druid,,,,,,,
At the start of your turn deal 2 damage to a random enemy.,Classic,Minion,EX1_102,Demolisher,Neutral,Rare,3,,4,Catapult,1,,,True,Raymond Swanland,Laying siege isn't fun for anyone.  It's not even all that effective now that everyone has a flying mount.,,Mech,,
Deal $2 damage to a minion. If it’s a friendly Demon give it +2/+2 instead.,Classic,Spell,EX1_596,Demonfire,Neutral,Common,2,,,,,,Warlock,True,Ben Wootten,Demonfire is like regular fire except for IT NEVER STOPS BURNING HELLLPPP,,,,
This Demon has +2/+2.,Classic,Enchantment,EX1_596e,Demonfire,Neutral,Common,0,,,,,,Warlock,,,,,,,
This minion has -3 Attack this turn.,Classic,Enchantment,EX1_161o,Demoralizing Roar,,,,OneTurnEffect,,,,,Druid,,,,,,,
,Classic,Minion,EX1_tk29,Devilsaur,Neutral,Common,5,,5,,5,,,,,,,Beast,,
Adjacent minions have +1 Attack.,Classic,Minion,EX1_162,Dire Wolf Alpha,Neutral,Common,2,AdjacentBuff|Aura,2,Alpha Dog,2,,,True,John Dickenson,We are pretty excited about the upcoming release of Dire Wolf Beta just repost this sign for a chance at a key.,,Beast,,
<b>Silence</b> a minion.,Classic,Spell,EX1_166b,Dispel,Neutral,,,Silence,,,,,Druid,,,,,,,
Draw cards until you have as many in hand as your opponent.,Classic,Spell,EX1_349,Divine Favor,Neutral,Rare,3,,,,,,Paladin,True,Lucas Graciano,This is not just a favor but a divine one like helping someone move a couch with a fold out bed!,,,,
<b>Charge</b>. <b>Battlecry:</b> Discard two random cards.,Classic,Minion,EX1_310,Doomguard,Neutral,Rare,5,Battlecry|Charge,7,,5,,Warlock,True,Lucas Graciano,Summoning a doomguard is risky. <i>Someone</i> is going to die.,,Demon,,
<b>Windfury Overload:</b> (2),Classic,Weapon,EX1_567,Doomhammer,Neutral,Epic,5,Windfury,,,2,8,Shaman,True,John Polidora,Orgrim Doomhammer gave this legendary weapon to Thrall.  His name is a total coincidence.,,,,
At the start of your turn destroy ALL minions.,Classic,Minion,NEW1_021,Doomsayer,,Epic,2,,7,,0,,,True,Alex Horley Orlandelli,He's almost been right so many times. He was <i>sure</i> it was coming during the Cataclysm.,,,,
<b>Taunt.</b> Costs (1) less per Attack of your weapon.,Classic,Minion,NEW1_022,Dread Corsair,,Common,4,Taunt,3,,3,,,True,Trent Kaniuga,"Yarrrr" is a pirate word that means "Greetings milord.",,Pirate,,
Return a minion to its owner's hand.,Classic,Spell,DREAM_04,Dream,,,0,,,,,,Dream,,,,,,,
<b>Taunt</b>,Classic,Minion,EX1_165t2,Druid of the Claw,,Common,5,Taunt,6,,4,,Druid,,,,,Beast,,
<b>Choose One -</b> <b>Charge</b>; or +2 Health and <b>Taunt</b>.,Classic,Minion,EX1_165,Druid of the Claw,Neutral,Common,5,,4,,4,,Druid,True,Luca Zontini,Cat or Bear?  Cat or Bear?!  I just cannot CHOOSE!,,,,
<b>Charge</b>,Classic,Minion,EX1_165t1,Druid of the Claw,,Common,5,Charge,4,,4,,Druid,,,,,Beast,,
<b>Windfury</b>. <b>Overload:</b> (2),Classic,Minion,EX1_243,Dust Devil,Neutral,Common,1,Windfury,1,,3,,Shaman,True,Raymond Swanland,Westfall is full of dust devils. And buzzards. And crazed golems. And pirates. Why does anyone live here?,,,,
Whenever a friendly <b>Secret</b> is revealed gain +1 Durability.,Classic,Weapon,EX1_536,Eaglehorn Bow,,Rare,3,,,,3,2,Hunter,True,Cyril Van Der Haegen,First Lesson: Put the pointy end in the other guy.,,,,
<b>Taunt</b>. <b>Overload:</b> (3),Classic,Minion,EX1_250,Earth Elemental,Neutral,Epic,5,Taunt,8,,7,,Shaman,True,Dan Scott,Nothing beats rock.,,,,
<b>Silence</b> a minion then deal $1 damage to it.,Classic,Spell,EX1_245,Earth Shock,Neutral,Common,1,Silence,,,,,Shaman,True,Kevin Chin,Earth Shock? Shouldn't it be "Azeroth Shock"?,,,,
<b>Battlecry:</b> Restore 3 Health.,Classic,Minion,CS2_117,Earthen Ring Farseer,,Common,3,Battlecry,3,,3,,,True,Alex Horley Orlandelli,He can see really far and he doesn't use a telescope like those filthy pirates.,,,,
<b>Combo:</b> Gain +2/+2 for each card played earlier this turn.,Classic,Minion,EX1_613,Edwin VanCleef,Neutral,Legendary,3,Combo,2,,2,,Rogue,True,Efrem Palacios,He led the Stonemasons in the reconstruction of Stormwind and when the nobles refused to pay he founded the Defias Brotherhood to well <i>deconstruct</i> Stormwind.,True,,,
Increased Health.,Classic,Enchantment,EX1_004e,Elune's Grace,,,,,,,,,,,,,,,,
,Classic,Minion,DREAM_03,Emerald Drake,,,4,,6,,7,,Dream,,,,,Dragon,,
