MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,COLLECTIBLE,ARTIST,ELITE,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,DURABILITY,PLAYERCLASS,RACE
,Curse of Naxxramas,Dezimieren,Leben auf 1 gesetzt.,,,,Enchantment,NAX12_02e,,,,,,,,,,
,Curse of Naxxramas,Dezimieren,<b>Heldenfähigkeit</b>
Setzt das Leben aller feindlichen Diener auf 1.,,0,,Hero Power,NAX12_02H,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Dunkler Kultist,<b>Todesröcheln:</b> Verleiht einem zufälligen befreundeten Diener +3 Leben.,3,3,4,Minion,FP1_023,True,Phroilan Gardner,,Common,Kann nach dem Abschluss der Klassenherausforderung des Priesters in Naxxramas hergestellt werden.,Seit der Kult der Verdammten bei Rekrutierungsveranstaltungen seinen Namen verschweigt sind die Mitgliederzahlen sprunghaft angestiegen.,Wird durch das Abschließen der Klassenherausforderung des Priesters in Naxxramas freigeschaltet.,,Priest,
Secret,Curse of Naxxramas,Duplizieren,<b>Geheimnis:</b> Wenn ein befreundeter Diener stirbt erhaltet Ihr 2 Kopien dieses Dieners auf Eure Hand.,,3,,Spell,FP1_018,True,Alex Garner,,Common,Kann nach dem Abschluss der Klassenherausforderung des Magiers in Naxxramas hergestellt werden.,Die einmalige Gelegenheit Karten zu duplizieren ohne dafür mit einer Account-Sperre bestraft zu werden!,Wird durch das Abschließen der Klassenherausforderung des Magiers in Naxxramas freigeschaltet.,,Mage,
Battlecry,Curse of Naxxramas,Echoschlamm,<b>Kampfschrei:</b> Beschwört am Ende des Zuges eine exakte Kopie dieses Dieners.,1,2,2,Minion,FP1_003,True,Eric Browning,,Epic,Kann nach dem Sieg über Saphiron in der Spitze der Nekropole hergestellt werden.,Schlamm-amm-amm-amm-amm.,Wird durch den Sieg über Saphiron in der Spitze der Nekropole freigeschaltet.,,,
,Curse of Naxxramas,Eindringling!,,,,,Enchantment,NAX15_01e,,,,,,,,,,
,Curse of Naxxramas,Eindringling!,,,,,Enchantment,NAX15_01He,,,,,,,,,,
Aura,Curse of Naxxramas,Eingefrorener Champion,Dauerhaft eingefroren. Benachbarte Diener sind immun gegen Frostatem.,2,5,10,Minion,NAX14_03,,,,,,,,,,
,Curse of Naxxramas,Ernten,<b>Heldenfähigkeit</b>
Zieht eine Karte.,,2,,Hero Power,NAX8_02,,,,,,,,,,
,Curse of Naxxramas,Ernten,<b>Heldenfähigkeit</b>
Zieht eine Karte. Erhaltet 1 Manakristall.,,1,,Hero Power,NAX8_02H,,,,,,,,,,
,Curse of Naxxramas,Eruption,<b>Heldenfähigkeit</b>
Fügt dem feindlichen Diener der sich ganz links befindet 2 Schaden zu.,,1,,Hero Power,NAX5_02,,,,,,,,,,
,Curse of Naxxramas,Eruption,<b>Heldenfähigkeit</b>
Fügt dem feindlichen Diener der sich ganz links befindet 3 Schaden zu.,,0,,Hero Power,NAX5_02H,,,,,,,,,,
,Curse of Naxxramas,Fangnetz,<b>Heldenfähigkeit</b>
Lasst zwei zufällige feindliche Diener auf die Hand Eures Gegners zurückkehren.,,0,,Hero Power,NAX3_02H,,,,,,,,,,
,Curse of Naxxramas,Fangnetz,<b>Heldenfähigkeit</b>
Lasst einen zufälligen feindlichen Diener auf die Hand Eures Gegners zurückkehren.,,3,,Hero Power,NAX3_02,,,,,,,,,,
ImmuneToSpellpower,Curse of Naxxramas,Feuerregen,<b>Heldenfähigkeit</b>
Feuert für jede Karte in der Hand Eures Gegners ein Geschoss ab.,,2,,Hero Power,NAX2_03,,,,,,,,,,
ImmuneToSpellpower,Curse of Naxxramas,Feuerregen,<b>Heldenfähigkeit</b>
Feuert für jede Karte in der Hand Eures Gegners ein Geschoss ab.,,1,,Hero Power,NAX2_03H,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Feugen,<b>Todesröcheln:</b> Ruft Thaddius herbei wenn Stalagg in diesem Duell bereits gestorben ist.,4,5,7,Minion,FP1_015,True,Dany Orizio,True,Legendary,Kann nach dem Abschluss des Konstruktviertels hergestellt werden.,Feugen traurig. Alle Stalagg lieber mögen.,Wird durch das Abschließen des Konstruktviertels freigeschaltet.,,,
,Curse of Naxxramas,Feugen,,4,5,7,Minion,NAX13_04H,,,True,Legendary,,,,,,
,Curse of Naxxramas,Flickwerk,,,,45,Hero,NAX10_01H,,,,,,,,,,
,Curse of Naxxramas,Flickwerk,,,,30,Hero,NAX10_01,,,,,,,,,,
,Curse of Naxxramas,Frostatem,<b>Heldenfähigkeit</b>
Vernichtet alle feindlichen Diener die nicht <b>eingefroren</b> sind.,,0,,Hero Power,NAX14_02,,,,,,,,,,
Freeze,Curse of Naxxramas,Frostschlag,<b>Heldenfähigkeit</b>
Fügt dem feindlichen Helden 3 Schaden zu und <b>friert</b> ihn ein.,,0,,Hero Power,NAX15_02H,,,,,,,,,,
Freeze,Curse of Naxxramas,Frostschlag,<b>Heldenfähigkeit</b>
Fügt dem feindlichen Helden 2 Schaden zu und <b>friert</b> ihn ein.,,0,,Hero Power,NAX15_02,,,,,,,,,,
,Curse of Naxxramas,Gedankenapokalypse,Beide Spieler ziehen 2 Karten und erhalten 1 Manakristall.,,2,,Spell,NAX5_03,,,,,,,,,,
,Curse of Naxxramas,Gedankenkontrollstein,Aktiviert den Stein um die Reservisten zu kontrollieren!,,1,,Spell,NAX7_05,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Geisterhafter Krabbler,<b>Todesröcheln:</b> Ruft zwei Spektrale Spinnen (1/1) herbei.,1,2,2,Minion,FP1_002,True,Jeremy Cranford,,Common,Kann nach dem Sieg über Anub&sbquo;Rekhan im Arachnidenviertel hergestellt werden.,Arachnofoppie: die Angst vor Spinnen die einen hänseln.,Wird durch den Sieg über Anub&sbquo;Rekhan im Arachnidenviertel freigeschaltet.,,,Beast
,Curse of Naxxramas,Giftsamen,Vernichtet alle Diener und ruft für jeden einen Treant (2/2) als Ersatz herbei.,,4,,Spell,FP1_019,True,Brian Despain,,Common,Kann nach dem Abschluss der Klassenherausforderung des Druiden in Naxxramas hergestellt werden.,Der Druide McTiggin kann einfach nicht verstehen warum sich sein neues Giftsamenbrötchen so schlecht verkauft.,Wird durch das Abschließen der Klassenherausforderung des Druiden in Naxxramas freigeschaltet.,,Druid,
,Curse of Naxxramas,Giftwolke,<b>Heldenfähigkeit</b>
Fügt allen Feinden 2 Schaden zu. Ruft einen Schleim herbei wenn dabei ein Feind stirbt.,,0,,Hero Power,NAX11_02H,,,,,,,,,,
,Curse of Naxxramas,Giftwolke,<b>Heldenfähigkeit</b>
Fügt allen Dienern 1 Schaden zu. Ruft einen Schleim herbei wenn dabei ein Diener stirbt.,,2,,Hero Power,NAX11_02,,,,,,,,,,
,Curse of Naxxramas,Gluth,,,,45,Hero,NAX12_01H,,,,,,,,,,
,Curse of Naxxramas,Gluth,,,,30,Hero,NAX12_01,,,,,,,,,,
,Curse of Naxxramas,Gothik der Ernter,,,,30,Hero,NAX8_01,,,,,,,,,,
,Curse of Naxxramas,Gothik der Ernter,,,,45,Hero,NAX8_01H,,,,,,,,,,
,Curse of Naxxramas,Grobbulus,,,,45,Hero,NAX11_01H,,,,,,,,,,
,Curse of Naxxramas,Grobbulus,,,,30,Hero,NAX11_01,,,,,,,,,,
,Curse of Naxxramas,Großwitwe Faerlina,,,,30,Hero,NAX2_01,,,,,,,,,,
,Curse of Naxxramas,Großwitwe Faerlina,,,,45,Hero,NAX2_01H,,,,,,,,,,
Deathrattle|Windfury,Curse of Naxxramas,Haken,<b>Windzorn</b>
<b>Todesröcheln:</b> Erhaltet diese Waffe auf Eure Hand.,4,3,,Weapon,NAX10_02H,,,,,,,,8,,
Deathrattle,Curse of Naxxramas,Haken,<b>Todesröcheln:</b> Erhaltet diese Waffe auf Eure Hand.,5,3,,Weapon,NAX10_02,,,,,,,,8,,
,Curse of Naxxramas,Hasserfüllter Stoß,<b>Heldenfähigkeit</b>
Vernichtet einen Diener.,,4,,Hero Power,NAX10_03,,,,,,,,,,
,Curse of Naxxramas,Hasserfüllter Stoß,<b>Heldenfähigkeit</b>
Vernichtet einen Diener.,,4,,Hero Power,NAX10_03H,,,,,,,,,,
,Curse of Naxxramas,Heigan der Unreine,,,,30,Hero,NAX5_01,,,,,,,,,Warlock,
,Curse of Naxxramas,Heigan der Unreine,,,,45,Hero,NAX5_01H,,,,,,,,,Warlock,
,Curse of Naxxramas,Heuschreckenschwarm,Fügt allen feindlichen Dienern $3 Schaden zu. Stellt bei Eurem Helden #3 Leben wieder her.,,7,,Spell,NAX1_05,,,,,,,,,,
,Curse of Naxxramas,Huschen,<b>Heldenfähigkeit</b>
Beschwört einen Neruber (4/4).,,2,,Hero Power,NAX1h_04,,,,,,,,,,
,Curse of Naxxramas,Huschen,<b>Heldenfähigkeit</b>
Beschwört einen Neruber (3/1).,,2,,Hero Power,NAX1_04,,,,,,,,,,
Deathrattle|Taunt,Curse of Naxxramas,Instabiler Ghul,<b>Spott</b>. <b>Todesröcheln:</b> Fügt allen Dienern 1 Schaden zu.,1,2,3,Minion,FP1_024,True,Mike Nicholson,,Common,Kann nach dem Sieg über Heigan den Unreinen im Seuchenviertel hergestellt werden.,Mit Raketentreibstoff gefüllte Ghule sind unter angehenden Nekromanten der letzte Schrei.,Wird durch den Sieg über Heigan den Unreinen im Seuchenviertel freigeschaltet.,,,
,Curse of Naxxramas,Instrukteur Razuvious,,,,40,Hero,NAX7_01,,,,,,,,,,
,Curse of Naxxramas,Instrukteur Razuvious,,,,55,Hero,NAX7_01H,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Irrer Wissenschaftler,<b>Todesröcheln:</b> Legt ein <b>Geheimnis</b> aus Eurem Deck auf das Schlachtfeld.,2,2,2,Minion,FP1_004,True,James Ryman,,Common,Kann nach dem Sieg über Grobbulus im Konstruktviertel hergestellt werden.,Seine Mutter wollte dass er Magier oder Hexenmeister wird aber neeein er musste ja Wissenschaftler werden genau wie sein Vater.,Wird durch den Sieg über Grobbulus im Konstruktviertel freigeschaltet.,,,
,Curse of Naxxramas,Kel&sbquo;Thuzad,,,,45,Hero,NAX15_01H,,,,,,,,,,
,Curse of Naxxramas,Kel&sbquo;Thuzad,Ruft am Ende jedes Zuges alle befreundeten Diener herbei die in diesem Zug gestorben sind.,6,8,8,Minion,FP1_013,True,Chris Robinson,True,Legendary,Kann nach dem Bezwingen aller Bosse in Naxxramas hergestellt werden.,Kel&sbquo;Thuzad konnte dem Ruf des Lichkönigs nicht widerstehen. Wenn der Eismann ruft wird er einfach schwach.,Wird durch das Bezwingen aller Bosse in Naxxramas freigeschaltet.,,,
,Curse of Naxxramas,Kel&sbquo;Thuzad,,,,30,Hero,NAX15_01,,,,,,,,,,
,Curse of Naxxramas,Kel&sbquo;Thuzads Sklave,MEINS!,,,,Enchantment,NAX15_04a,,,,,,,,,,
,Curse of Naxxramas,Ketten,<b>Heldenfähigkeit</b>
Übernehmt die Kontrolle über einen zufälligen feindlichen Diener.,,8,,Hero Power,NAX15_04H,,,,,,,,,,
,Curse of Naxxramas,Ketten,<b>Heldenfähigkeit</b>
Übernehmt bis zum Ende des Zuges die Kontrolle über einen zufälligen feindlichen Diener.,,8,,Hero Power,NAX15_04,,,,,,,,,,
Battlecry,Curse of Naxxramas,Klagende Seele,<b>Kampfschrei:</b> Bringt Eure anderen Diener zum <b>Schweigen</b>.,3,4,5,Minion,FP1_016,True,Glenn Rane,,Rare,Kann nach dem Sieg über Thaddius im Konstruktviertel hergestellt werden.,Diese Seele macht den lieben langen Tag nichts anderes als klagen. Irgendwann reicht&sbquo;s auch mal.,Wird durch den Sieg über Thaddius im Konstruktviertel freigeschaltet.,,,
,Curse of Naxxramas,Lady Blaumeux,Euer Held ist <b>immun</b>.,2,3,7,Minion,NAX9_02H,,,True,,,,,,,
,Curse of Naxxramas,Lady Blaumeux,Euer Held ist <b>immun</b>.,1,3,7,Minion,NAX9_02,,,True,,,,,,,
Deathrattle,Curse of Naxxramas,Leerrufer,<b>Todesröcheln:</b> Legt einen zufälligen Dämon aus Eurer Hand auf das Schlachtfeld.,3,4,4,Minion,FP1_022,True,Robb Shoberg,,Common,Kann nach dem Abschluss der Klassenherausforderung des Hexenmeisters in Naxxramas hergestellt werden.,„Bei Fuß! Na komm schon her! So ist&sbquo;s fein. Brave Leere.“,Wird durch das Abschließen der Klassenherausforderung des Hexenmeisters in Naxxramas freigeschaltet.,,Warlock,Demon
,Curse of Naxxramas,Loatheb,,,,75,Hero,NAX6_01,,,,,,,,,,
Battlecry,Curse of Naxxramas,Loatheb,<b>Kampfschrei:</b> Im nächsten Zug kosten Zauber für Euren Gegner (5) mehr.,5,5,5,Minion,FP1_030,True,Samwise,True,Legendary,Kann nach dem Abschluss des Seuchenviertels hergestellt werden.,Früher war Loatheb nur eine Sumpfbestie. Heute ist diese Kreatur das Hauptargument für strengere Vorschriften in der Landwirtschaft.,Wird durch das Abschließen des Seuchenviertels freigeschaltet.,,,
,Curse of Naxxramas,Loatheb,,,,99,Hero,NAX6_01H,,,,,,,,,,
,Curse of Naxxramas,Macht der Zikkurat,+3 Leben.,,,,Enchantment,FP1_023e,,,,,,,,,Priest,
,Curse of Naxxramas,Maexxna,,,,30,Hero,NAX3_01,,,,,,,,,,
,Curse of Naxxramas,Maexxna,,,,45,Hero,NAX3_01H,,,,,,,,,,
Poisonous,Curse of Naxxramas,Maexxna,Vernichtet jeden Diener der von diesem Diener verletzt wurde.,2,6,8,Minion,FP1_010,True,Howard Lyon,True,Legendary,Kann nach dem Abschluss des Arachnidenviertels hergestellt werden.,Achtung Maexxna kann es nicht ausstehen wenn man sie Maxina oder Maxxi nennt.,Wird durch das Abschließen des Arachnidenviertels freigeschaltet.,,,Beast
,Curse of Naxxramas,Mal der Reiter,+1/+1.,,,,Enchantment,NAX9_07e,,,,,,,,,,
,Curse of Naxxramas,Mal der Reiter,Verleiht Euren Dienern und Eurer Waffe +1/+1.,,5,,Spell,NAX9_07,,,,,,,,,,
,Curse of Naxxramas,Mr. Bigglesworth,<i>Dieses Kätzchen gehört Kel&sbquo;Thuzad.</i>,1,0,1,Minion,NAX15_05,,,True,Legendary,,,,,,Beast
,Curse of Naxxramas,Mutagene Injektion,+4/+4 und <b>Spott</b>.,,,,Enchantment,NAX11_04e,,,,,,,,,,
,Curse of Naxxramas,Mutagene Injektion,Verleiht einem Diener +4/+4 und <b>Spott</b>.,,3,,Spell,NAX11_04,,,,,,,,,,
Stealth,Curse of Naxxramas,Naxxramasschemen,<b>Verstohlenheit</b>. Erhält zu Beginn Eures Zuges +1/+1.,2,3,2,Minion,FP1_005,True,Ittoku Seta,,Epic,Kann nach dem Sieg über Kel&sbquo;Thuzad in der Spitze der Nekropole hergestellt werden.,Die Schemen von Naxxramas sind nicht sehr einfallsreiche Kämpfer. Man könnte fast sagen sie gehen nach Schema vor.,Wird durch den Sieg über Kel&sbquo;Thuzad in der Spitze der Nekropole freigeschaltet.,,,
Deathrattle,Curse of Naxxramas,Nekroritter,<b>Todesröcheln:</b> Vernichtet benachbarte Diener.,5,4,6,Minion,NAXM_001,,,,,,,,,,
,Curse of Naxxramas,Nekrotische Aura,Eure Zauber kosten in diesem Zug (5) mehr.,,,,Enchantment,FP1_030e,,,,,,,,,,
,Curse of Naxxramas,Nekrotische Aura,<b>Heldenfähigkeit</b>
Fügt dem feindlichen Helden 3 Schaden zu.,,2,,Hero Power,NAX6_02,,,,,,,,,,
,Curse of Naxxramas,Nekrotische Aura,<b>Heldenfähigkeit</b>
Fügt dem feindlichen Helden 3 Schaden zu.,,0,,Hero Power,NAX6_02H,,,,,,,,,,
,Curse of Naxxramas,Nekrotisches Gift,Vernichtet einen Diener.,,2,,Spell,NAX3_03,,,,,,,,,,
,Curse of Naxxramas,Neruber,,3,2,1,Minion,NAX1_03,,,,,,,,,,
,Curse of Naxxramas,Neruber,,4,2,4,Minion,NAX1h_03,,,,,,,,,,
,Curse of Naxxramas,Neruber,,4,3,4,Minion,FP1_007t,,,,Rare,,,,,,
Deathrattle,Curse of Naxxramas,Nerubisches Ei,<b>Todesröcheln:</b> Ruft einen Neruber (4/4) herbei.,0,2,2,Minion,FP1_007,True,Justin Thavirat,,Rare,Kann nach dem Sieg über Maexxna im Arachnidenviertel hergestellt werden.,Eier sind eine gute Quelle für Protein ... und für Neruber.,Wird durch den Sieg über Maexxna im Arachnidenviertel freigeschaltet.,,,
Aura,Curse of Naxxramas,Netzfürst der Nerub&sbquo;ar,Diener mit <b>Kampfschrei</b> kosten (2) mehr.,1,2,4,Minion,FP1_017,True,Alex Horley Orlandelli,,Common,Kann nach dem Sieg über Großwitwe Faerlina im Arachnidenviertel hergestellt werden.,Netzfürsten verdienen sich einen kleinen Zuschuss indem sie für Trampolinparks riesige Netze weben.,Wird durch den Sieg über Großwitwe Faerlina im Arachnidenviertel freigeschaltet.,,,
Deathrattle,Curse of Naxxramas,Netzweber,<b>Todesröcheln:</b> Fügt Eurer Hand ein zufälliges Wildtier hinzu.,1,1,1,Minion,FP1_011,True,Dan Brereton,,Common,Kann nach dem Abschluss der Klassenherausforderung des Jägers in Naxxramas hergestellt werden.,Spinnenkokons sind wie kleine Piñatas!,Wird durch das Abschließen der Klassenherausforderung des Jägers in Naxxramas freigeschaltet.,,Hunter,Beast
,Curse of Naxxramas,Noch mehr Zähne,Erhöhter Angriff.,,,,Enchantment,NAX12_03e,,,,,,,,,,
,Curse of Naxxramas,Noth der Seuchenfürst,,,,45,Hero,NAX4_01H,,,,,,,,,Mage,
,Curse of Naxxramas,Noth der Seuchenfürst,,,,30,Hero,NAX4_01,,,,,,,,,Mage,
,Curse of Naxxramas,Pilzbefall,Erhöhter Angriff.,,,,Enchantment,NAX6_03te,,,,,,,,,,
,Curse of Naxxramas,Polarität,Angriff und Leben vertauscht.,,,,Enchantment,NAX13_02e,,,,,,,,,,
,Curse of Naxxramas,Polaritätsveränderung,<b>Heldenfähigkeit</b>
Vertauscht Angriff und Leben aller Diener.,,0,,Hero Power,NAX13_02,,,,,,,,,,
Freeze,Curse of Naxxramas,Pure Kälte,Fügt dem feindlichen Helden $8 Schaden zu und <b>friert</b> ihn ein.,,5,,Spell,NAX14_04,,,,,,,,,,
,Curse of Naxxramas,Rache,+3/+2.,,,,Enchantment,FP1_020e,,,,,,,,,Paladin,
Secret,Curse of Naxxramas,Rächer,<b>Geheimnis:</b> Wenn einer Eurer Diener stirbt erhält ein zufälliger befreundeter Diener +3/+2.,,1,,Spell,FP1_020,True,Zoltan & Gabor,,Common,Kann nach dem Abschluss der Klassenherausforderung des Paladins in Naxxramas hergestellt werden.,Einige Paladine haben sich zum „Hammer der Gerechten“ zusammengeschlossen und sorgen jetzt gemeinsam für Gerechtigkeit. Ihre Anwälte konnten sie mit Müh und Not davon abbringen sich die „Liga der Gerechten“ zu nennen.,Wird durch das Abschließen der Klassenherausforderung des Paladins in Naxxramas freigeschaltet.,,Paladin,
,Curse of Naxxramas,Reinkarnation,Vernichtet einen Diener und bringt ihn dann mit vollem Leben wieder auf das Schlachtfeld zurück.,,2,,Spell,FP1_025,True,Dan Scott,,Common,Kann nach dem Abschluss der Klassenherausforderung des Schamanen in Naxxramas hergestellt werden.,Wie geboren werden nur ist man dabei schon erwachsen und war gerade eben noch mausetot.,Wird durch das Abschließen der Klassenherausforderung des Schamanen in Naxxramas freigeschaltet.,,Shaman,
,Curse of Naxxramas,Reißzähne,Erhält jedes Mal +2 Angriff wenn ein Diener mit <b>Todesröcheln</b> stirbt.,1,1,,Weapon,NAX12_03,,,,,,,,5,,
,Curse of Naxxramas,Reißzähne,Erhält jedes Mal +2 Angriff wenn ein Diener mit <b>Todesröcheln</b> stirbt.,3,1,,Weapon,NAX12_03H,,,,,,,,5,,
Taunt,Curse of Naxxramas,Reservist,<b>Spott</b>,0,2,7,Minion,NAX7_02,,,,,,,,,,
,Curse of Naxxramas,Riesige Runenklinge,Fügt Helden doppelt so viel Schaden zu.,10,3,,Weapon,NAX7_04H,,,,,,,,2,,
,Curse of Naxxramas,Riesige Runenklinge,Fügt Helden doppelt so viel Schaden zu.,5,3,,Weapon,NAX7_04,,,,,,,,2,,
,Curse of Naxxramas,Ruf der Dunkelheit,Erhöhte Werte.,,,,Enchantment,FP1_028e,,,,,,,,,,
,Curse of Naxxramas,Runenklinge,Erhält +3 Angriff wenn die anderen Reiter tot sind.,1,3,,Weapon,NAX9_05,,,,,,,,3,,
,Curse of Naxxramas,Runenklinge,Erhält +6 Angriff wenn die anderen Reiter tot sind.,2,3,,Weapon,NAX9_05H,,,,,,,,3,,
,Curse of Naxxramas,Saphiron,,,,45,Hero,NAX14_01H,,,,,,,,,,
,Curse of Naxxramas,Saphiron,,,,30,Hero,NAX14_01,,,,,,,,,,
Taunt,Curse of Naxxramas,Schleim,<b>Spott</b>,1,1,2,Minion,FP1_012t,,,,,,,,,,
Deathrattle|Taunt,Curse of Naxxramas,Schlickspucker,<b>Spott.
Todesröcheln:</b> Ruft einen Schleim (1/2) mit <b>Spott</b> herbei.,3,5,5,Minion,FP1_012,True,Nate Bowden,,Rare,Kann nach dem Sieg über Loatheb im Seuchenviertel hergestellt werden.,Wenn ihm doch bloß mal die Spucke wegbleiben würde.,Wird durch den Sieg über Loatheb im Seuchenviertel freigeschaltet.,,,
,Curse of Naxxramas,Seuche,Vernichtet alle Diener die keine Skelette sind.,,6,,Spell,NAX4_05,,,,,,,,,,
,Curse of Naxxramas,Sir Zeliek,Euer Held ist <b>immun</b>.,2,3,7,Minion,NAX9_04H,,,True,,,,,,,
,Curse of Naxxramas,Sir Zeliek,Euer Held ist <b>immun</b>.,1,3,7,Minion,NAX9_04,,,True,,,,,,,
,Curse of Naxxramas,Skelett,,5,5,5,Minion,NAX4_03H,,,,,,,,,,
,Curse of Naxxramas,Skelett,,1,1,1,Minion,NAX4_03,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Skelettschmied,<b>Todesröcheln:</b> Zerstört die Waffe Eures Gegners.,4,3,3,Minion,NAXM_002,,,,,,,,,,
,Curse of Naxxramas,Spektrale Spinne,,1,1,1,Minion,FP1_002t,,,,,,,,,,
,Curse of Naxxramas,Spektraler Krieger,Fügt Eurem Helden zu Beginn Eures Zuges 1 Schaden zu.,0,3,4,Minion,NAX8_04t,,,,,,,,,,
,Curse of Naxxramas,Spektraler Lehrling,Fügt Eurem Helden zu Beginn Eures Zuges 1 Schaden zu.,0,1,2,Minion,NAX8_03t,,,,,,,,,,
,Curse of Naxxramas,Spektraler Reiter,Fügt Eurem Helden zu Beginn Eures Zuges 1 Schaden zu.,0,5,6,Minion,NAX8_05t,,,,,,,,,,
,Curse of Naxxramas,Spektraler Ritter,Kann nicht als Ziel von Zaubern oder Heldenfähigkeiten gewählt werden.,4,5,6,Minion,FP1_008,True,Chris Rahn,,Common,Kann nach dem Sieg über Gothik den Ernter im Militärviertel hergestellt werden.,Wie ein echter Ritter nur durchsichtig.,Wird durch den Sieg über Gothik den Ernter im Militärviertel freigeschaltet.,,,
Deathrattle,Curse of Naxxramas,Spore,<b>Todesröcheln:</b> Verleiht allen feindlichen Dienern +8 Angriff.,0,0,1,Minion,NAX6_03t,,,,,,,,,,
,Curse of Naxxramas,Sporenexplosion,Fügt allen feindlichen Dienern $1 Schaden zu. Ruft eine Spore herbei.,,1,,Spell,NAX6_04,,,,,,,,,,
,Curse of Naxxramas,Stalagg,,7,5,4,Minion,NAX13_05H,,,True,Legendary,,,,,,
Deathrattle,Curse of Naxxramas,Stalagg,<b>Todesröcheln:</b> Ruft Thaddius herbei wenn Feugen in diesem Duell bereits gestorben ist.,7,5,4,Minion,FP1_014,True,Dany Orizio,True,Legendary,Kann nach dem Abschluss des Konstruktviertels hergestellt werden.,Stalagg selber Beschreibung schreiben. „STALAGG SPITZE!“,Wird durch das Abschließen des Konstruktviertels freigeschaltet.,,,
,Curse of Naxxramas,Steinhautgargoyle,Stellt zu Beginn Eures Zuges das volle Leben dieses Dieners wieder her.,1,3,4,Minion,FP1_027,True,Matt Smith,,Common,Kann nach dem Sieg über Noth den Seuchenfürsten im Seuchenviertel hergestellt werden.,Steinhautgargoyles gewinnen jede Partie Beamtenmikado.,Wird durch den Sieg über Noth den Seuchenfürsten im Seuchenviertel freigeschaltet.,,,
,Curse of Naxxramas,Supergeladen,+2 Leben.,,,,Enchantment,NAX13_03e,,,,,,,,,,
,Curse of Naxxramas,Superladung,Verleiht Euren Dienern +2 Leben.,,2,,Spell,NAX13_03,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Tanzende Schwerter,<b>Todesröcheln:</b> Euer Gegner zieht eine Karte.,4,3,4,Minion,FP1_029,True,Jon McConnell,,Common,Kann nach dem Sieg über Instrukteur Razuvious im Militärviertel hergestellt werden.,Keiner beherrscht den Todestango so wie sie.,Wird durch den Sieg über Instrukteur Razuvious im Militärviertel freigeschaltet.,,,
,Curse of Naxxramas,Thaddius,,,,45,Hero,NAX13_01H,,,,,,,,,,
,Curse of Naxxramas,Thaddius,,11,10,11,Minion,FP1_014t,,,True,Legendary,,,,,,
,Curse of Naxxramas,Thaddius,,,,30,Hero,NAX13_01,,,,,,,,,,
,Curse of Naxxramas,Than Korth&sbquo;azz,Euer Held ist <b>immun</b>.,2,3,7,Minion,NAX9_03H,,,True,,,,,,,
,Curse of Naxxramas,Than Korth&sbquo;azz,Euer Held ist <b>immun</b>.,1,3,7,Minion,NAX9_03,,,True,,,,,,,
,Curse of Naxxramas,Todesblüte,Fügt einem Diener $5 Schaden zu. Ruft eine Spore herbei.,,4,,Spell,NAX6_03,,,,,,,,,,
