SET,NAME,TEXT,COST,TYPE,ID,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,MECHANICS,ELITE,ATTACK,HEALTH,RACE,DURABILITY,FACTION
Blackrock Mountain,Ausbrüten,Erhöhtes Leben.,,Enchantment,BRMA10_3e,,,,,,,,,,,,,,
Blackrock Mountain,Axtwerfer,Fügt dem feindlichen Helden jedes Mal 2 Schaden zu wenn dieser Diener Schaden erleidet.,4,Minion,BRM_016,True,Efrem Palacios,Common,Kann nach dem Abschluss der Kriegerherausforderung im Schwarzfels hergestellt werden.,Es gibt eine ganze Menge Dinge die man werfen kann: Äxte Speere Hämmer und sogar Kuchenteller. Aber Zwerge? Ein Zwerg wird von niemandem geworfen!,Wird durch das Abschließen der Kriegerherausforderung im Schwarzfels freigeschaltet.,Warrior,,,2,5,,,
Blackrock Mountain,Baron Geddon,,,Hero,BRMA05_1,,,,,,,,,,,30,,,
Blackrock Mountain,Baron Geddon,,,Hero,BRMA05_1H,,,,,,,,,,,50,,,
Blackrock Mountain,Blind vor Wut,Erhöhter Angriff.,,Enchantment,BRMA10_6e,,,,,,,,,,,,,,
Blackrock Mountain,Boss der Wichtelgang,Beschwört jedes Mal einen Wichtel (1/1) wenn dieser Diener Schaden erleidet.,3,Minion,BRM_006,True,Steve Prescott,Common,Kann nach dem Sieg über Majordomus Exekutus im Geschmolzenen Kern hergestellt werden.,Der größte Coup den die Wichtelgang jemals gelandet hat war sich nachts nach Sturmwind reinzuschleichen und „Varian stinkt“ an den Magierturm zu sprühen.,Wird durch den Sieg über Majordomus Exekutus im Geschmolzenen Kern freigeschaltet.,Warlock,,,2,4,Demon,,
Blackrock Mountain,Brandwachenzerstörer,<b>Kampfschrei:</b> Erhält 1–4 Angriff. <b>Überladung:</b> (1),4,Minion,BRM_012,True,Paul Mafayon,Common,Kann nach dem Sieg über Lord Victor Nefarius im Pechschwingenhort hergestellt werden.,Brandwachenzerstörer ist unter Feuerelementaren eine sehr beliebte Position aber nur die wenigsten schaffen es überhaupt ein Bewerbungsschreiben dafür aufzusetzen.,Wird durch den Sieg über Lord Victor Nefarius im Pechschwingenhort freigeschaltet.,Shaman,Battlecry,,3,6,,,
Blackrock Mountain,Brennendes Adrenalin,Fügt dem feindlichen Helden $2 Schaden zu.,0,Spell,BRMA11_3,,,,,,,,,,,,,,
Blackrock Mountain,Brutgebrechen,<b>Heldenfähigkeit</b>Fügt der Hand Eures Gegners am Ende Eures Zuges eine Brutgebrechen-Karte hinzu.,0,Hero Power,BRMA12_2,,,,,,,,,,,,,,
Blackrock Mountain,Brutgebrechen,<b>Heldenfähigkeit</b>Fügt der Hand Eures Gegners am Ende Eures Zuges eine Brutgebrechen-Karte hinzu.,0,Hero Power,BRMA12_2H,,,,,,,,,,,,,,
Blackrock Mountain,Brutgebrechen: Blau,Chromaggus&sbquo; Zauber kosten (3) weniger solange Ihr diese Karte auf der Hand habt.,3,Spell,BRMA12_5H,,,,,,,,,,,,,,
Blackrock Mountain,Brutgebrechen: Blau,Chromaggus&sbquo; Zauber kosten (1) weniger solange Ihr diese Karte auf der Hand habt.,1,Spell,BRMA12_5,,,,,,,,,,,,,,
Blackrock Mountain,Brutgebrechen: Bronze,Chromaggus&sbquo; Diener kosten (3) weniger solange Ihr diese Karte auf der Hand habt.,3,Spell,BRMA12_7H,,,,,,,,,,,,,,
Blackrock Mountain,Brutgebrechen: Bronze,Chromaggus&sbquo; Diener kosten (1) weniger solange Ihr diese Karte auf der Hand habt.,1,Spell,BRMA12_7,,,,,,,,,,,,,,
Blackrock Mountain,Brutgebrechen: Grün,Stellt zu Beginn Eures Zuges beim feindlichen Helden 2 Leben wieder her solange Ihr diese Karte auf der Hand habt.,1,Spell,BRMA12_4,,,,,,,,,,,,,,
Blackrock Mountain,Brutgebrechen: Grün,Stellt zu Beginn Eures Zuges beim feindlichen Helden 6 Leben wieder her solange Ihr diese Karte auf der Hand habt.,3,Spell,BRMA12_4H,,,,,,,,,,,,,,
Blackrock Mountain,Brutgebrechen: Rot,Erleidet zu Beginn Eures Zuges 1 Schaden solange Ihr diese Karte auf der Hand habt.,1,Spell,BRMA12_3,,,,,,,,ImmuneToSpellpower,,,,,,
Blackrock Mountain,Brutgebrechen: Rot,Erleidet zu Beginn Eures Zuges 3 Schaden solange Ihr diese Karte auf der Hand habt.,3,Spell,BRMA12_3H,,,,,,,,ImmuneToSpellpower,,,,,,
Blackrock Mountain,Brutgebrechen: Schwarz,Chromaggus erhält jede von ihm gezogene Karte doppelt solange Ihr diese Karte auf der Hand habt.,3,Spell,BRMA12_6H,,,,,,,,,,,,,,
Blackrock Mountain,Brutgebrechen: Schwarz,Chromaggus erhält jede von ihm gezogene Karte doppelt solange Ihr diese Karte auf der Hand habt.,1,Spell,BRMA12_6,,,,,,,,,,,,,,
Blackrock Mountain,Chromaggus,,,Hero,BRMA12_1H,,,,,,,,,,,60,,,
Blackrock Mountain,Chromaggus,Jedes Mal wenn Ihr eine Karte zieht erhaltet Ihr eine Kopie davon auf die Hand.,8,Minion,BRM_031,True,Todd Lockwood,Legendary,Kann nach dem Abschluss des Pechschwingenhorts hergestellt werden.,Der linke und der rechte Kopf sind sich nie einig was sie abends essen wollen und bestellen letztendlich jedes Mal einfach Pizza.,Wird durch das Abschließen des Pechschwingenhorts freigeschaltet.,,,True,6,8,Dragon,,
Blackrock Mountain,Chromaggus,,,Hero,BRMA12_1,,,,,,,,,,,30,,,
Blackrock Mountain,Chromatische Mutation,Verwandelt einen Diener in einen Chromatischen Drachkin (2/2).,2,Spell,BRMA12_8,,,,,,,,,,,,,,
Blackrock Mountain,Chromatischer Drache,,4,Minion,BRMA10_5,,,,,,,,,,7,3,,,
Blackrock Mountain,Chromatischer Drache,,4,Minion,BRMA10_5H,,,,,,,,,,7,7,,,
Blackrock Mountain,Chromatischer Drachkin,Erhält jedes Mal +2/+2 wenn Euer Gegner einen Zauber wirkt.,2,Minion,BRMA12_8t,,,,,,,,,,2,3,Dragon,,
Blackrock Mountain,Chromatischer Drachkin,,,Hero,BRMA12_9,,,,,,,,,,,30,,,
Blackrock Mountain,Chromatischer Prototyp,<b>Spott</b>,2,Minion,BRMA17_7,,,,,,,,Taunt,,1,4,,,
Blackrock Mountain,Coren Düsterbräu,,,Hero,BRMA01_1,,,,,,,,,,,30,,,
Blackrock Mountain,Coren Düsterbräu,,,Hero,BRMA01_1H,,,,,,,,,,,30,,,
Blackrock Mountain,Dämonenzorn,Fügt allen nicht dämonischen Dienern $2 Schaden zu.,3,Spell,BRM_005,True,Raymond Swanland,Rare,Kann nach dem Abschluss der Hexenmeisterherausforderung im Schwarzfels hergestellt werden.,Dämonen sind normalerweise gar nicht zornig. Ihr müsst schon diese Karte ausspielen wenn Ihr sie so richtig auf die Palme bringen wollt.,Wird durch das Abschließen der Hexenmeisterherausforderung im Schwarzfels freigeschaltet.,Warlock,AffectedBySpellPower,,,,,,
Blackrock Mountain,Der Alchemist,<b>Passive Heldenfähigkeit</b>Vertauscht jedes Mal wenn ein Diener herbeigerufen wird dessen Angriff und Leben.,,Hero Power,BRMA15_2,,,,,,,,,,,,,,
Blackrock Mountain,Der Alchemist,<b>Passive Heldenfähigkeit</b>Vertauscht jedes Mal wenn ein Diener herbeigerufen wird dessen Angriff und Leben.Verleiht Euren Dienern +2/+2.,,Hero Power,BRMA15_2H,,,,,,,,,,,,,,
Blackrock Mountain,Der Majordomus,<b>Heldenfähigkeit</b>Ruft einen Flammenschürerakolythen (1/3) herbei.,2,Hero Power,BRMA06_2,,,,,,,,,,,,,,
Blackrock Mountain,Der Majordomus,<b>Heldenfähigkeit</b>Ruft einen Flammenschürerakolythen (3/3) herbei.,2,Hero Power,BRMA06_2H,,,,,,,,,,,,,,
Blackrock Mountain,Die alte Horde,<b>Heldenfähigkeit</b>Ruft zwei Orcs (1/1) mit <b>Spott</b> herbei. Erhaltet eine neue Heldenfähigkeit.,2,Hero Power,BRMA09_3,,,,,,,,,,,,,,
Blackrock Mountain,Die alte Horde,<b>Heldenfähigkeit</b>Ruft zwei Orcs (2/2) mit <b>Spott</b> herbei. Erhaltet eine neue Heldenfähigkeit.,2,Hero Power,BRMA09_3H,,,,,,,,,,,,,,
Blackrock Mountain,Die Brutstätte,<b>Heldenfähigkeit</b>Gewährt allen Verderbten Eiern +1 Leben und ruft ein Ei herbei.,0,Hero Power,BRMA10_3H,,,,,,,,,,,,,,
Blackrock Mountain,Die Brutstätte,<b>Heldenfähigkeit</b>Gewährt allen Verderbten Eiern +1 Leben und ruft ein Ei herbei.,1,Hero Power,BRMA10_3,,,,,,,,,,,,,,
Blackrock Mountain,Drachenblut,+1/+1.,,Enchantment,BRM_033e,,,,,,,,,,,,,,
Blackrock Mountain,Drachenei,Ruft jedes Mal einen Welpling (2/1) herbei wenn dieser Diener Schaden erleidet.,1,Minion,BRM_022,True,Jaemin Kim,Rare,Kann nach dem Sieg über Rend Schwarzfaust in der Schwarzfelsspitze hergestellt werden.,Schlafende Drachen soll man nicht wecken.,Wird durch den Sieg über Rend Schwarzfaust in der Schwarzfelsspitze freigeschaltet.,,,,0,2,,,
Blackrock Mountain,Drachengefährte,<b>Kampfschrei:</b> Der nächste Drache den Ihr ausspielt kostet (2) weniger.,5,Minion,BRM_018,True,Raymond Swanland,Rare,Kann nach dem Sieg über General Drakkisath in der Schwarzfelsspitze hergestellt werden.,Eigentlich wollen wir doch alle einfach jemanden zum Kuscheln. Und da bilden auch riesige furchterregende Drachenbestien keine Ausnahme.,Wird durch den Sieg über General Drakkisath in der Schwarzfelsspitze freigeschaltet.,Paladin,Battlecry,,5,5,Dragon,,
Blackrock Mountain,Drachenodem,Verursacht $4 Schaden. Kostet (1) weniger für jeden Diener der in diesem Zug gestorben ist.,5,Spell,BRM_003,True,Mauricio Herrera,Common,Kann nach dem Abschluss der Magierherausforderung im Schwarzfels hergestellt werden.,Ja Drachen spucken Feuer aber wusstet Ihr dass sie auch Zuckerwatte spucken können? Meist ist es nur schwer sie dazu zu bringen.,Wird durch das Abschließen der Magierherausforderung im Schwarzfels freigeschaltet.,Mage,,,,,,,
Blackrock Mountain,Drachenzähne,Erhält jedes Mal +1 Angriff wenn Euer Gegner eine Karte ausspielt.,1,Weapon,BRMA16_5,,,,,,,,,,0,,,6,
Blackrock Mountain,Drachkin,,1,Minion,BRMA09_4Ht,,,,,,,,,,5,4,Dragon,,
Blackrock Mountain,Drachkin,,1,Minion,BRMA09_4t,,,,,,,,,,3,1,Dragon,,
Blackrock Mountain,Drachkinzauberer,Erhält jedes Mal +1/+1 wenn Ihr diesen Diener als Ziel eines Zaubers wählt.,4,Minion,BRM_020,True,Edouard Guiton & Stuido HIVE,Common,Kann nach dem Sieg über Nefarian im Geheimlabor hergestellt werden.,Ihr werdet sehen einige Zaubererfamilien sind besser als andere. Und Ihr wollt Euch doch bestimmt nicht mit der falschen Sorte abgeben.,Wird durch den Sieg über Nefarian im Geheimlabor freigeschaltet.,,,,3,5,Dragon,,
Blackrock Mountain,Drakkisaths Befehl,Vernichtet einen Diener. Erhaltet 10 Rüstung.,1,Spell,BRMA08_3,,,,,,,,,,,,,,
Blackrock Mountain,Drakonidenzermalmer,<b>Kampfschrei:</b> Erhält +3/+3 wenn Euer Gegner max. 15 Leben hat.,6,Minion,BRM_024,True,Slawomir Maniak,Common,Kann nach dem Sieg über Atramedes im Geheimlabor hergestellt werden.,Drakoniden vereinen alle schlechten Eigenschaften von Drachen in Humanoidenform. Hat die Welt das wirklich gebraucht?,Wird durch den Sieg über Atramedes im Geheimlabor freigeschaltet.,,Battlecry,,6,6,Dragon,,
Blackrock Mountain,Dreierbande,Wählt einen Diener. Mischt 3 Kopien davon in Euer Deck.,2,Spell,BRM_007,True,Jim Nelson,Common,Kann nach dem Sieg in der Dunkeleisenarena in den Schwarzfelstiefen hergestellt werden.,Willkommen in Mondbruch. 34 Seelen und ein ausgelasteter Totengräber.,Wird durch den Sieg in der Dunkeleisenarena in den Schwarzfelstiefen freigeschaltet.,Rogue,,,,,,,
Blackrock Mountain,Dröhnender Gong,Zerstört die Waffe Eures Gegners.,1,Spell,BRMA16_4,,,,,,,,,,,,,,
Blackrock Mountain,Druidin der Flamme,,3,Minion,BRM_010t,,Ben Zhang,Common,,,,Druid,,,5,2,Beast,,
Blackrock Mountain,Druidin der Flamme,,3,Minion,BRM_010t2,,Hideaki Takamura,Common,,,,Druid,,,2,5,Beast,,
Blackrock Mountain,Druidin der Flamme,<b>Wählt aus:</b> Verwandelt sich in eine Feuerkatze (5/2); oder in einen Feuerfalken (2/5).,3,Minion,BRM_010,True,Stanley Lau,Common,Kann nach dem Sieg über Garr im Geschmolzenen Kern hergestellt werden.,Druiden die von einer langen Kampagne in Nordend zurückkehrten waren ein gefundenes Fressen für Ragnaros ... sie wurden schon beim Angebot einer heißen Schokolade schwach.,Wird durch den Sieg über Garr im Geschmolzenen Kern freigeschaltet.,Druid,,,2,2,,,
Blackrock Mountain,Dunkeleisenlauerer,<b>Kampfschrei:</b> Fügt allen unverletzten feindlichen Dienern 2 Schaden zu.,5,Minion,BRM_008,True,Eric Braddock,Rare,Kann nach dem Abschluss der Schurkenherausforderung im Schwarzfels hergestellt werden.,Er lauert fürs Leben gern. Manchmal lauert er auch nach Feierabend zum Spaß weiter – meist auf Mauern. Seine Freunde machen sich Sorgen dass er sich übernimmt.,Wird durch das Abschließen der Schurkenherausforderung im Schwarzfels freigeschaltet.,Rogue,Battlecry,,4,3,,,
Blackrock Mountain,Dunkeleisenzuschauer,<b>Spott</b>,1,Minion,BRMA02_2t,,,,,,,,Taunt,,1,1,,,
Blackrock Mountain,Echo-Ortung,<b>Heldenfähigkeit</b>Legt eine Waffe an die stärker wird wenn Euer Gegner Karten ausspielt.,1,Hero Power,BRMA16_2,,,,,,,,,,,,,,
Blackrock Mountain,Echo-Ortung,<b>Heldenfähigkeit</b>Legt eine Waffe an die stärker wird wenn Euer Gegner Karten ausspielt.,0,Hero Power,BRMA16_2H,,,,,,,,,,,,,,
Blackrock Mountain,Elektron,Alle Zauber kosten (3) weniger.,3,Minion,BRMA14_7,,,Legendary,,,,,Aura,True,5,5,Mech,,
Blackrock Mountain,Elektron,Alle Zauber kosten (3) weniger.,3,Minion,BRMA14_7H,,,Legendary,,,,,,True,6,6,Mech,,
Blackrock Mountain,Elektron aktivieren,<b>Heldenfähigkeit</b>Aktiviert Elektron!,4,Hero Power,BRMA14_6H,,,,,,,,,,,,,,
Blackrock Mountain,Elektron aktivieren,<b>Heldenfähigkeit</b>Aktiviert Elektron!,6,Hero Power,BRMA14_6,,,,,,,,,,,,,,
Blackrock Mountain,Energieschub,Füllt alle leeren Manakristalle auf.,0,Spell,BRMA14_11,,,,,,,,,,,,,,
Blackrock Mountain,Entartung,<b>Ansturm</b>,1,Minion,BRMA15_4,,,,,,,,Charge,,1,1,,,
Blackrock Mountain,Entartungen freilassen,Ruft 3 Entartungen herbei.,2,Spell,BRMA15_3,,,,,,,,,,,,,,
Blackrock Mountain,Entfesselt!,Euer nächster Drache kostet (2) weniger.,,Enchantment,BRM_018e,,,,,,,Paladin,,,,,,,
Blackrock Mountain,Essenz der Roten,<b>Heldenfähigkeit</b>Jeder Spieler zieht 2 Karten.,0,Hero Power,BRMA11_2,,,,,,,,,,,,,,
Blackrock Mountain,Essenz der Roten,<b>Heldenfähigkeit</b>Jeder Spieler zieht 3 Karten. Erhaltet 1 Manakristall.,0,Hero Power,BRMA11_2H,,,,,,,,,,,,,,
Blackrock Mountain,Feuer vom Himmel,<b>Heldenfähigkeit</b>Nefarian lässt Feuer vom Himmel regnen!,0,Hero Power,BRMA17_8,,,,,,,,,,,,,,
Blackrock Mountain,Feuer vom Himmel,<b>Heldenfähigkeit</b>Nefarian lässt Feuer vom Himmel regnen!,0,Hero Power,BRMA17_8H,,,,,,,,,,,,,,
Blackrock Mountain,Feueranbeter,<b>Todesröcheln:</b> Fügt dem feindlichen Helden für jeden Feueranbeter der in diesem Zug gestorben ist 3 Schaden zu.,0,Minion,BRMA04_3H,,,,,,,,Deathrattle,,0,5,,,
Blackrock Mountain,Feueranbeter,<b>Todesröcheln:</b> Fügt dem feindlichen Helden für jeden Feueranbeter der in diesem Zug gestorben ist 1 Schaden zu.,0,Minion,BRMA04_3,,,,,,,,Deathrattle,,0,5,,,
Blackrock Mountain,Feuereifer,Erhöhter Angriff.,,Enchantment,BRM_012e,,,,,,,,,,,,,,
Blackrock Mountain,Feuerfalkengestalt,In einen Feuerfalken (2/5) verwandelt.,,Spell,BRM_010b,,,Common,,,,Druid,,,,,Beast,,
Blackrock Mountain,Feuerkatzengestalt,In eine Feuerkatze (5/2) verwandelt.,,Spell,BRM_010a,,,Common,,,,Druid,,,,,Beast,,
Blackrock Mountain,Feuerkralle der Ungezähmte,,,Hero,BRMA10_1,,,,,,,,,,,30,,,
Blackrock Mountain,Feuerkralle der Ungezähmte,,,Hero,BRMA10_1H,,,,,,,,,,,30,,,
Blackrock Mountain,Feuerkralles Klauen,Erhält jedes Mal +1 Angriff wenn ein Verderbtes Ei vernichtet wird.,1,Weapon,BRMA10_6,,,,,,,,,,1,,,5,
Blackrock Mountain,Flammenherz,Zieht 2 Karten. Erhaltet 4 Rüstung.,3,Spell,BRMA_01,,,,,,,,,,,,,,
Blackrock Mountain,Flammenschürer,Verursacht 2 Schaden nachdem Ihr einen Zauber gewirkt habt. Der Schaden wird zufällig auf alle Feinde verteilt.,3,Minion,BRM_002,True,Alex Horley Orlandelli,Rare,Kann nach dem Sieg über Vaelastrasz im Pechschwingenhort hergestellt werden.,„Ich liebe den Geruch von Feuer am Morgen. Es riecht nach Sieg.“,Wird durch den Sieg über Vaelastrasz im Pechschwingenhort freigeschaltet.,Mage,,,2,4,,,
Blackrock Mountain,Flammenschürerakolyth,,2,Minion,BRMA06_4,,,,,,,,,,1,3,,,
Blackrock Mountain,Flammenschürerakolyth,,2,Minion,BRMA06_4H,,,,,,,,,,3,3,,,
Blackrock Mountain,Garr,,,Hero,BRMA04_1,,,,,,,,,,,30,,,
Blackrock Mountain,Garr,,,Hero,BRMA04_1H,,,,,,,,,,,45,,,
Blackrock Mountain,General Drakkisath,,,Hero,BRMA08_1H,,,,,,,,,,,50,,,
Blackrock Mountain,General Drakkisath,,,Hero,BRMA08_1,,,,,,,,,,,50,,,
Blackrock Mountain,Grimmiger Gast,Ruft jedes Mal wenn dieser Diener Schaden erleidet und überlebt einen weiteren Grimmigen Gast herbei.,5,Minion,BRM_019,True,Bobby Chiu,Rare,Kann nach dem Sieg im Grimmigen Säufer in den Schwarzfelstiefen hergestellt werden.,Der Grimmige Säufer passt zu einem durstigen Abenteurer wie die Faust aufs Auge.,Wird durch den Sieg im Grimmigen Säufer in den Schwarzfelstiefen freigeschaltet.,,,,3,3,,,
Blackrock Mountain,Gunst des Imperators,Kostet (1) weniger.,,Enchantment,BRM_028e,,,,,,,,,,,,,,
Blackrock Mountain,Gyth,,3,Minion,BRMA09_5t,,,Legendary,,,,,,True,8,4,Dragon,,
Blackrock Mountain,Gyth,,3,Minion,BRMA09_5Ht,,,Legendary,,,,,,True,8,8,Dragon,,
Blackrock Mountain,Hochlord Omokk,,,Hero,BRMA07_1H,,,,,,,,,,,30,,,
Blackrock Mountain,Hochlord Omokk,,,Hero,BRMA07_1,,,,,,,,,,,30,,,
Blackrock Mountain,Hungriger Drache,<b>Kampfschrei:</b> Ruft für Euren Gegner einen zufälligen Diener herbei der (1) kostet.,4,Minion,BRM_026,True,John Polidora,Common,Kann nach dem Sieg über Chromaggus im Pechschwingenhort hergestellt werden.,Heißhunger kann man bei diesem Drachen wörtlich nehmen.,Wird durch den Sieg über Chromaggus im Pechschwingenhort freigeschaltet.,,Battlecry,,5,6,Dragon,,
Blackrock Mountain,ICH HAUEN,<b>Heldenfähigkeit</b>Vernichtet einen zufälligen feindlichen Diener.,0,Hero Power,BRMA07_2H,,,,,,,,,,,,,,
Blackrock Mountain,ICH HAUEN,<b>Heldenfähigkeit</b>Vernichtet einen zufälligen verletzten Diener des Feindes.,1,Hero Power,BRMA07_2,,,,,,,,,,,,,,
Blackrock Mountain,Ich höre Euch ...,Erhöhter Angriff.,,Enchantment,BRMA16_5e,,,,,,,,,,,,,,
Blackrock Mountain,Imperator Thaurissan,,,Hero,BRMA03_1H,,,,,,,,,,,30,,,
Blackrock Mountain,Imperator Thaurissan,,,Hero,BRMA03_1,,,,,,,,,,,30,,,
Blackrock Mountain,Imperator Thaurissan,Verringert die Kosten Eurer Handkarten am Ende Eures Zuges um (1).,6,Minion,BRM_028,True,Wayne Reynolds,Legendary,Kann nach dem Abschluss der Schwarzfelstiefen hergestellt werden.,Sein zweitgrößtes Bedauern ist einen bösen Feuerlord beschworen zu haben der sein gesamtes Volk versklavte.,Wird durch das Abschließen der Schwarzfelstiefen freigeschaltet.,,,True,5,5,,,
Blackrock Mountain,Intensiver Blick,<b>Passive Heldenfähigkeit</b>Alle Karten kosten (1). Ihr könnt nicht mehr als 2 Manakristalle haben Euer Gegner nicht mehr als einen.,,Hero Power,BRMA08_2H,,,,,,,,,,,,,,
Blackrock Mountain,Intensiver Blick,<b>Passive Heldenfähigkeit</b>Alle Karten kosten (1). Spieler können nicht mehr als 1 Manakristall haben.,,Hero Power,BRMA08_2,,,,,,,,,,,,,,
Blackrock Mountain,Johlende Menge,<b>Heldenfähigkeit</b>Ruft einen Zuschauer (1/1) mit <b>Spott</b> herbei.,0,Hero Power,BRMA02_2H,,,,,,,,,,,,,,
Blackrock Mountain,Johlende Menge,<b>Heldenfähigkeit</b>Ruft einen Zuschauer (1/1) mit <b>Spott</b> herbei.,1,Hero Power,BRMA02_2,,,,,,,,,,,,,,
Blackrock Mountain,Kernwüterich,<b>Kampfschrei:</b> Erhält +3/+3 wenn Ihr keine Karten auf der Hand habt.,4,Minion,BRM_014,True,Jomaro Kindred,Rare,Kann nach dem Sieg über Hochlord Omokk in der Schwarzfelsspitze hergestellt werden.,Man muss schon ein besonderer Schlag Jäger sein um ein Monster aus einer feurigen Lavagrube als knuddeliges Haustier adoptieren zu wollen.,Wird durch den Sieg über Hochlord Omokk in der Schwarzfelsspitze freigeschaltet.,Hunter,Battlecry,,4,4,Beast,,
Blackrock Mountain,Knochendiener,<b>Heldenfähigkeit</b>Ruft zwei Knochenkonstrukte (4/2) herbei.,2,Hero Power,BRMA17_5H,,,,,,,,,,,,,,
Blackrock Mountain,Knochendiener,<b>Heldenfähigkeit</b>Ruft zwei Knochenkonstrukte (2/1) herbei.,2,Hero Power,BRMA17_5,,,,,,,,,,,,,,
Blackrock Mountain,Knochenkonstrukt,,1,Minion,BRMA17_6H,,,,,,,,,,4,2,,,
Blackrock Mountain,Knochenkonstrukt,,1,Minion,BRMA17_6,,,,,,,,,,2,1,,,
Blackrock Mountain,Lange Klauen,+3/+3.,,Enchantment,BRM_024e,,,,,,,,,,,,,,
Blackrock Mountain,LAVA!,Fügt allen Dienern $2 Schaden zu.,2,Spell,BRMA17_4,,,,,,,,,,,,,,
Blackrock Mountain,Lavaschock,Karten die Ihr in diesem Zug ausspielt lösen keine <b>Überladung</b> aus.,,Enchantment,BRM_011t,,,,,,,Shaman,OneTurnEffect,,,,,,
Blackrock Mountain,Lavaschock,Verursacht $2 Schaden. <b>Überladene</b> Manakristalle sind wieder nutzbar.,2,Spell,BRM_011,True,Zoltan Boros,Rare,Kann nach dem Abschluss der Schamanenherausforderung im Schwarzfels hergestellt werden.,Wenn Euch das nicht heiß macht wissen wir auch keinen Rat mehr.,Wird durch das Abschließen der Schamanenherausforderung im Schwarzfels freigeschaltet.,Shaman,,,,,,,
Blackrock Mountain,Lebende Bombe,Wählt einen feindlichen Diener. Wenn dieser zu Beginn Eures nächsten Zuges noch lebt fügt er allen Feinden $10 Schaden zu.,3,Spell,BRMA05_3H,,,,,,,,,,,,,,
Blackrock Mountain,Lebende Bombe,Fügt allen verbündeten Charakteren 10 Schaden zu wenn Geddon am Zug ist.,,Enchantment,BRMA05_3He,,,,,,,,,,,,,,
Blackrock Mountain,Lebende Bombe,Wählt einen feindlichen Diener. Wenn dieser zu Beginn Eures nächsten Zuges noch lebt fügt er allen Feinden $5 Schaden zu.,4,Spell,BRMA05_3,,,,,,,,,,,,,,
Blackrock Mountain,Lebende Bombe,Fügt allen verbündeten Charakteren 5 Schaden zu wenn Geddon am Zug ist.,,Enchantment,BRMA05_3e,,,,,,,,,,,,,,
Blackrock Mountain,Lebendige Lava,<b>Spott</b>,0,Minion,BRMA13_6,,,,,,,,Taunt,,6,6,,,
Blackrock Mountain,Lord Victor Nefarius,,,Hero,BRMA13_1,,,,,,,,,,,30,,,
Blackrock Mountain,Lord Victor Nefarius,,,Hero,BRMA13_1H,,,,,,,,,,,30,,,
Blackrock Mountain,Macht der Drachen,Erhöhte Werte.,,Enchantment,BRM_020e,,,,,,,,,,,,,,
