SET,NAME,FACTION,TEXT,RARITY,COST,TYPE,ID,PLAYERCLASS,COLLECTIBLE,HEALTH,ARTIST,HOWTOGETGOLD,FLAVOR,HOWTOGET,MECHANICS,DURABILITY,ATTACK,RACE,INPLAYTEXT
Basic,Drachlingmechanikerin,Alliance,<b>Kampfschrei:</b> Ruft einen Mechanischen Drachling (2/1) herbei.,Common,4,Minion,EX1_025,,True,4,Warren Mahy,Wird freigeschaltet wenn Ihr als Magier Stufe 53 erreicht.,Sie arbeitet immer noch an der Integration von Raketenwerfern in ihr Design.,,Battlecry,,2,,
Basic,Dunkelschuppenheilerin,Neutral,<b>Kampfschrei:</b> Stellt bei allen befreundeten Charakteren 2 Leben wieder her.,Common,5,Minion,DS1_055,,True,5,Jesper Ejsing,Wird freigeschaltet wenn Ihr als Priester Stufe 55 erreicht.,Sie ist eigentlich nur eine Heilerin auf Teilzeit.,,Battlecry,,4,,
Basic,Eber,Neutral,,Common,1,Minion,CS2_boar,,,1,,,,,,,1,Beast,
Basic,Echtsilberchampion,Neutral,Stellt bei Eurem Helden jedes Mal 2 Leben wieder her wenn er angreift.,Common,4,Weapon,CS2_097,Paladin,True,,Ryan Sook,Wird auf Stufe 40 freigeschaltet.,Der Champion unter den Schwertern. Schneidet einfach alles. Außerdem gibt es von uns noch eine Heilung gratis dazu. Dieses Angebot ist einfach unschlagbar.,Wird auf Stufe 2 freigeschaltet.,,2,4,,
Basic,Eisenborkenbeschützer,Neutral,<b>Spott</b>,Common,8,Minion,CS2_232,Druid,True,8,Dave Allsop,Wird auf Stufe 49 freigeschaltet.,Wenn selbst die Bäume von Darnassus einen verspotten sollte man ins Grübeln kommen.,Wird auf Stufe 10 freigeschaltet.,Taunt,,8,,
Basic,Eisenpelzgrizzly,Neutral,<b>Spott</b>,Common,3,Minion,CS2_125,,True,3,Lars Grant-West,Wird freigeschaltet wenn Ihr als Jäger Stufe 59 erreicht.,„1/10 Bärengerippe gesammelt“,,Taunt,,3,Beast,
Basic,Eiswindyeti,Neutral,,Common,4,Minion,CS2_182,,True,5,Mauro Cascioli,Wird freigeschaltet wenn Ihr als Krieger Stufe 55 erreicht.,Sein Name hat nichts mit eventuellen Verdauungsproblemen zu tun. Echt ehrlich.,,,,4,,
Basic,Elfenbogenschützin,Horde,<b>Kampfschrei:</b> Verursacht 1 Schaden.,Common,1,Minion,CS2_189,,True,1,Steve Prescott,Wird freigeschaltet wenn Ihr als Druide Stufe 57 erreicht.,Fragt sie bloß nicht nach einem Date – oder Ihr werdet erfahren wie sehr Amors Pfeil schmerzen kann.,,Battlecry,,1,,
Basic,Elitesoldat der Kor&sbquo;kron,,<b>Ansturm</b>,Common,4,Minion,NEW1_011,Warrior,True,3,Alex Horley Orlandelli,Wird auf Stufe 44 freigeschaltet.,Die Kor&sbquo;kron sind die Elitestreitkräfte von Garrosh Höllschrei. Ihnen wollt Ihr nicht begegnen während Ihr einen blauen Wappenrock tragt.,Wird auf Stufe 4 freigeschaltet.,Charge,,4,,
Basic,Erzmagier,Alliance,<b>Zauberschaden +1</b>,Common,6,Minion,CS2_155,,True,7,Steve Ellis,Wird freigeschaltet wenn Ihr als Magier Stufe 57 erreicht.,Als Erzmagier muss man sich vor rein gar nichts fürchten – außer vor dem Großen Verhütter.,,Spellpower,,4,,
Basic,Fährtenlesen,Neutral,Schaut Euch die drei obersten Karten Eures Decks an. Zieht eine davon und werft die anderen beiden ab.,Free,1,Spell,DS1_184,Hunter,True,,Mauro Cascioli,Wird auf Stufe 15 freigeschaltet.,Ideal für diejenigen die sich nicht entscheiden können was sie ihrem Deck hinzufügen sollen. Denn so wissen sie auch nicht was sie ihrer Hand hinzufügen sollen.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Fass!,Neutral,Verursacht $3 Schaden. Verursacht stattdessen $5 Schaden wenn Ihr ein Wildtier auf dem Schlachtfeld habt.,Common,3,Spell,EX1_539,Hunter,True,,Gabe from Penny Arcade,Wird auf Stufe 49 freigeschaltet.,Meist der letzte Ausruf den das Opfer in seinem Leben hören wird außer seinem eigenen Geschrei natürlich.,Wird auf Stufe 10 freigeschaltet.,,,,,
Basic,Feuerball,Neutral,Verursacht $6 Schaden.,Free,4,Spell,CS2_029,Mage,True,,Ralph Horsley,Wird auf Stufe 44 freigeschaltet.,Dieser Zauber ist nützlich um Dinge zu verbrennen. Wenn Ihr nach Zaubern sucht die Dinge rösten oder sie einfach nur aufwärmen seid Ihr an der falschen Adresse.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Feuerelementar,Neutral,<b>Kampfschrei:</b> Verursacht 3 Schaden.,Common,6,Minion,CS2_042,Shaman,True,5,Ralph Horsley,Wird auf Stufe 49 freigeschaltet.,Leider ist sein Handschlag kaum von einem Feuerschlag zu unterscheiden.,Wird auf Stufe 10 freigeschaltet.,Battlecry,,6,,
Basic,Feuerschlag,Neutral,<b>Heldenfähigkeit</b>Verursacht 1 Schaden.,Free,2,Hero Power,CS2_034,Mage,,,,,,,,,,,
Basic,Feurige Kriegsaxt,Neutral,,Free,2,Weapon,CS2_106,Warrior,True,,Lucas Graciano,Wird auf Stufe 49 freigeschaltet.,In Zeiten der Ruhe und der Harmonie wurde diese Waffe bei ihrem weniger bekannten Namen genannt: Kühlende Friedensaxt.,Wird auf Stufe 1 freigeschaltet.,,2,3,,
Basic,Finsterer Stoß,Neutral,Fügt dem feindlichen Helden $3 Schaden zu.,Free,1,Spell,CS2_075,Rogue,True,,Frank Cho,Wird auf Stufe 15 freigeschaltet.,Niemand mag einen solchen Stoß. Man könnte sagen dieser Stoß verfinstert einem das Gemüt.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Flammenstoß,Neutral,Fügt allen feindlichen Dienern $4 Schaden zu.,Common,7,Spell,CS2_032,Mage,True,,Romain De Santi,Wird auf Stufe 51 freigeschaltet.,Frühe Magier waren verblüfft als sie herausfanden dass dieser Zauber auch unter Wasser funktioniert.,Wird auf Stufe 10 freigeschaltet.,,,,,
Basic,Flammenzunge,,+2 Angriff von Totem der Flammenzunge.,,,Enchantment,EX1_565o,Shaman,,,,,,,,,,,
Basic,Flammenzungentotem,Neutral,Benachbarte Diener haben +2 Angriff.,Common,2,Minion,EX1_565,Shaman,True,3,Jonathan Ryder,Wird auf Stufe 43 freigeschaltet.,Totemschmiede verwenden nur die seltensten Hölzer um ihre Totems herzustellen. Es gibt sogar Gerüchte dass einige aus Eisenborkenbeschützern bestehen.,Wird auf Stufe 4 freigeschaltet.,AdjacentBuff|Aura,,0,Totem,
Basic,Flusskrokilisk,,,Free,2,Minion,CS2_120,,True,3,Daren Bader,Wird freigeschaltet wenn Ihr als Druide Stufe 55 erreicht.,Edward „Einhand“ Smith versuchte einst aus einem Flusskrokilisken Handgepäck zu machen.,,,,2,Beast,
Basic,Frosch,Neutral,<b>Spott</b>,Common,0,Minion,hexfrog,,,1,,,,,Taunt,,0,Beast,
Basic,Frostblitz,Neutral,Fügt einem Charakter $3 Schaden zu und <b>friert</b> ihn ein.,Common,2,Spell,CS2_024,Mage,True,,Steve Ellis,Wird auf Stufe 40 freigeschaltet.,Es ist üblich „Bleib cool!“ „Eiskalt erwischt!“ oder „Ice Ice Baby!“ zu rufen wenn Ihr diese Karte ausspielt.,Wird auf Stufe 2 freigeschaltet.,Freeze,,,,
Basic,Frostnova,Neutral,<b>Friert</b> alle feindlichen Diener ein.,Common,3,Spell,CS2_026,Mage,True,,Josh Tallman,Wird auf Stufe 23 freigeschaltet.,Friert außerdem die Gesichtszüge des Gegners ein.,Wird auf Stufe 6 freigeschaltet.,Freeze,,,,
Basic,Frostschock,Neutral,Fügt einem feindlichen Charakter $1 Schaden zu und <b>friert</b> ihn ein.,Free,1,Spell,CS2_037,Shaman,True,,Alex Horley Orlandelli,Wird auf Stufe 32 freigeschaltet.,FROSTSCHOCK!,Wird auf Stufe 1 freigeschaltet.,Freeze,,,,
Basic,Frostwolfgrunzer,Neutral,<b>Spott</b>,Common,2,Minion,CS2_121,,True,2,Richie Marella,Wird freigeschaltet wenn Ihr als Schamane Stufe 57 erreicht.,Grunzen ist mehr als ein Job. Es ist eine Lebenseinstellung.,,Taunt,,2,,
Basic,Frostwolfkriegsfürst,Horde,<b>Kampfschrei:</b> Erhält +1/+1 für jeden anderen befreundeten Diener auf dem Schlachtfeld.,Common,5,Minion,CS2_226,,True,4,James Ryman,Wird freigeschaltet wenn Ihr als Schamane Stufe 53 erreicht.,Schon lange streiten die Frostwölfe und der Sturmlanzenklan um die Vorherrschaft im Alteractal. Bisher sind sämtliche Friedensverhandlungen daran gescheitert dass Hauptmann Galvangar die Vermittler getötet hat.,,Battlecry,,4,,
Basic,Fußsoldat von Goldhain,Alliance,<b>Spott</b>,Common,1,Minion,CS1_042,,True,2,Donato Giancola,Wird freigeschaltet wenn Ihr als Paladin Stufe 57 erreicht.,Man könnte annehmen dass Goldhain schon längst überrannt sein sollte wenn es lediglich durch Diener mit 1/2 verteidigt wird.,,Taunt,,1,,
Basic,Garrosh Höllschrei,Neutral,,Free,,Hero,HERO_01,Warrior,True,30,,,,,,,,,
Basic,Gedankenkontrolle,Neutral,Dieser Diener hat seinen Meister gewechselt.,Common,,Enchantment,CS1_113e,Priest,,,,,,,,,,,
Basic,Gedankenkontrolle,Neutral,Übernehmt die Kontrolle über einen feindlichen Diener.,Common,10,Spell,CS1_113,Priest,True,,Sean O’Daniels,Wird auf Stufe 49 freigeschaltet.,Nominiert als „Meistgehasster Zauber aller Zeiten“.,Wird auf Stufe 10 freigeschaltet.,,,,,
Basic,Gedankenschlag,Neutral,Fügt dem feindlichen Helden $5 Schaden zu.,Free,2,Spell,DS1_233,Priest,True,,Dave Allsop,Wird auf Stufe 15 freigeschaltet.,Dieser Zauber schlägt sich förmlich in den Gedanken nieder.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Gedankensicht,Neutral,Kopiert eine zufällige Karte aus der Hand Eures Gegners und fügt sie Eurer Hand hinzu.,Common,1,Spell,CS2_003,Priest,True,,Michael Komarck,Wird auf Stufe 32 freigeschaltet.,„Jemandem in die Karten sehen“ ist hier noch wortwörtlich zu verstehen.,Wird auf Stufe 4 freigeschaltet.,,,,,
Basic,Gerechtigkeit des Lichts,Neutral,,Free,1,Weapon,CS2_091,Paladin,True,,Glenn Rane,Wird auf Stufe 36 freigeschaltet.,Prinz Malchezaar war ein Sammler seltener Waffen. Er hauchte ihnen Leben ein und ließ sie für sich tanzen.,Wird auf Stufe 1 freigeschaltet.,,4,1,,
Basic,Geringe Heilung,Neutral,<b>Heldenfähigkeit</b>Stellt 2 Leben wieder her.,Free,2,Hero Power,CS1h_001,Priest,,,,,,,,,,,
Basic,Geschärft,,+1 Angriff in diesem Zug.,,,Enchantment,CS2_083e,Rogue,,,,,,,OneTurnEffect,,,,
Basic,Gestaltwandel,Neutral,<b>Heldenfähigkeit</b>+1 Angriff in diesem Zug.+1 Rüstung.,Free,2,Hero Power,CS2_017,Druid,,,,,,,,,,,
Basic,Glück der Münze,,Da Ihr als Zweites dran seid habt Ihr mehr Leben.,,,Enchantment,GAME_001,,,,,,,,,,,,
Basic,Gnomische Erfinderin,Alliance,<b>Kampfschrei:</b> Zieht eine Karte.,Common,4,Minion,CS2_147,,True,4,Court Jones,Wird freigeschaltet wenn Ihr als Priester Stufe 57 erreicht.,Wenn sie etwas bastelt weiß sie nie was am Ende dabei herauskommt.,,Battlecry,,2,,
Basic,Goblinleibwächter,Horde,<b>Spott</b>,Common,5,Minion,CS2_187,,True,4,Matt Cavotta,Wird freigeschaltet wenn Ihr als Schamane Stufe 55 erreicht.,Ihr könnt ihn zwar anheuern aber seid Euch dabei bewusst dass er absolut käuflich ist.,,Taunt,,5,,
Basic,Göttlicher Wille,,Verdoppelt das Leben eines Dieners.,Common,2,Spell,CS2_236,Priest,True,,Jim Pavelec,Wird auf Stufe 28 freigeschaltet.,Der Beweis für das Sprichwort: Doppelt hält besser!,Wird auf Stufe 2 freigeschaltet.,,,,,
Basic,Göttlicher Wille,,Dieser Diener hat doppeltes Leben.,,,Enchantment,CS2_236e,Priest,,,,,,,,,,,
Basic,Grimmschuppenorakel,Neutral,ALLE anderen Murlocs haben +1 Angriff.,Common,1,Minion,EX1_508,,True,1,Phil Saunders,Wird freigeschaltet wenn Ihr als Hexenmeister Stufe 53 erreicht.,Sie sind die Genies unter den Murlocs. Aber auch das will nicht viel heißen.,,Aura,,1,Murloc,
Basic,Grummel,,<b>Ansturm</b>,Common,3,Minion,NEW1_034,Hunter,,2,,,,,Charge,,4,Beast,
Basic,Gul&sbquo;dan,Neutral,,Free,,Hero,HERO_07,Warlock,True,30,,,,,,,,,
Basic,Gurubashiberserker,Neutral,Erhält jedes Mal +3 Angriff wenn dieser Diener Schaden erleidet.,Common,5,Minion,EX1_399,,True,7,Alex Horley Orlandelli,Wird freigeschaltet wenn Ihr als Hexenmeister Stufe 57 erreicht.,Wer den Schaden hat braucht für den ... Schaden nicht zu sorgen.,,,,2,,
Basic,Hammer des Zorns,Neutral,Verursacht $3 Schaden. Zieht eine Karte.,Free,4,Spell,CS2_094,Paladin,True,,Efrem Palacios,Wird auf Stufe 32 freigeschaltet.,Ein guter Paladin hat viele Werkzeuge: den Hammer des Zorns die Zange der Rache die Säge der Gerechtigkeit usw.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Hand des Schutzes,Neutral,Verleiht einem Diener <b>Gottesschild</b>.,Free,1,Spell,EX1_371,Paladin,True,,Clint Langley,Wird auf Stufe 23 freigeschaltet.,Dieser Zauber wurde so oft umbenannt dass sogar unter Paladinen keine Einigkeit über seinen richtigen Namen herrscht.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Heilende Berührung,Neutral,Stellt #8 Leben wieder her.,Free,3,Spell,CS2_007,Druid,True,,Cyril Van Der Haegen,Wird auf Stufe 15 freigeschaltet.,8 Leben – das sind sogar noch mehr als Mr. Bigglesworth übrig hat!,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Heilige Nova,Neutral,Fügt allen Feinden $2 Schaden zu. Stellt bei allen befreundeten Charakteren #2 Leben wieder her.,Common,5,Spell,CS1_112,Priest,True,,Luca Zontini,Wird auf Stufe 45 freigeschaltet.,Wenn das heilige Licht Euch verlassen hat bedeutet das dass Ihr hiervon besser die Finger lassen solltet. Außerdem trifft es eine Aussage über Euren Charakter.,Wird auf Stufe 6 freigeschaltet.,,,,,
Basic,Heilige Pein,Neutral,Verursacht $2 Schaden.,Free,1,Spell,CS1_130,Priest,True,,Steve Ellis,Wird auf Stufe 23 freigeschaltet.,Es macht keinen Unterschied wie gläubig man ist. Ab und zu kann jeder mal etwas Pein vertragen.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Heiliges Licht,Neutral,Stellt #6 Leben wieder her.,Free,2,Spell,CS2_089,Paladin,True,,Zoltan & Gabor,Wird auf Stufe 15 freigeschaltet.,Führt bei fortwährender Anwendung zu einem gesunden Teint.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Heiltotem,,Stellt am Ende Eures Zuges bei allen befreundeten Dienern 1 Leben wieder her.,Free,1,Minion,NEW1_009,Shaman,,2,,,,,,,0,Totem,
Basic,Heilung der Ahnen,Neutral,Stellt das volle Leben eines Dieners wieder her und verleiht ihm <b>Spott</b>.,Free,0,Spell,CS2_041,Shaman,True,,Dan Scott,Wird auf Stufe 15 freigeschaltet.,Wenn man bedenkt dass die Ahnen mittlerweile alle tot sind wird diese Heilung vielleicht etwas überschätzt.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Heldenhafter Stoß,Neutral,Verleiht Eurem Helden +4 Angriff in diesem Zug.,Free,2,Spell,CS2_105,Warrior,True,,Jonboy Meyers,Wird auf Stufe 15 freigeschaltet.,Wenn Ihr ein Held seid sollte dies <i>eigentlich</i> Euer Standardangriff sein.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Heldenhafter Stoß,,+4 Angriff in diesem Zug.,,,Enchantment,CS2_105e,Warrior,,,,,,,OneTurnEffect,,,,
Basic,Herr der Arena,Alliance,<b>Spott</b>,Common,6,Minion,CS2_162,,True,5,E.M. Gist,Wird freigeschaltet wenn Ihr als Priester Stufe 59 erreicht.,Einst war er ein Arenaspieler mit einer Wertung von über 2100. Aber das ist schon Jahre her und er hört einfach nicht auf davon zu erzählen.,,Taunt,,6,,
Basic,Himmelsauge,,Leokk verleiht diesem Diener +1 Angriff.,,,Enchantment,NEW1_033o,Hunter,,,,,,,,,,,
Basic,Hinrichten,Neutral,Vernichtet einen verletzten feindlichen Diener.,Free,1,Spell,CS2_108,Warrior,True,,Dany Orizio,Wird auf Stufe 47 freigeschaltet.,In Wirklichkeit darf er einfach nur früher nach Hause.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Höllenfeuer,Neutral,Fügt ALLEN Charakteren $3 Schaden zu.,Free,4,Spell,CS2_062,Warlock,True,,Chippy,Wird auf Stufe 49 freigeschaltet.,Zauber wie dieser machen es anderen schwer gute Beziehungen zu Hexenmeistern zu pflegen.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Hundemeister,Neutral,<b>Kampfschrei:</b> Verleiht einem befreundeten Wildtier +2/+2 und <b>Spott</b>.,Free,4,Minion,DS1_070,Hunter,True,3,Dan Brereton,Wird auf Stufe 28 freigeschaltet.,Wenn er fragt wer die Hunde losgelassen hat ist das bloß eine rhetorische Frage.,Wird auf Stufe 1 freigeschaltet.,Battlecry,,4,,
Basic,Ingenieurslehrling,Alliance,<b>Kampfschrei:</b> Zieht eine Karte.,Free,2,Minion,EX1_015,,True,1,Karl Richardson,Wird freigeschaltet wenn Ihr als Druide Stufe 59 erreicht.,„Die Hälfte der anwesenden Studenten wird die Abschlussprüfung nur noch als Hühnchen erleben.“– Tüftlermeister Oberfunks,,Battlecry,,1,,
Basic,Irre Raketenschützin,Horde,<b>Ansturm</b>,Free,6,Minion,CS2_213,,True,2,John Polidora,Wird freigeschaltet wenn Ihr als Schamane Stufe 59 erreicht.,Rakete: 300 Gold. Feuerzeug: 25 Gold. Mangelnder Selbsterhaltungstrieb: Unbezahlbar.,,Charge,,5,,
Basic,Jägerin der Klingenhauer,Horde,<b>Kampfschrei:</b> Ruft einen Eber (1/1) herbei.,Common,3,Minion,CS2_196,,True,3,Clint Langley,Wird freigeschaltet wenn Ihr als Jäger Stufe 55 erreicht.,Einmal hat sich jemand mit Zahna ein Späßchen erlaubt. Ein einziges Mal.,,Battlecry,,2,,
Basic,Jaina Prachtmeer,Neutral,,Free,,Hero,HERO_08,Mage,True,30,,,,,,,,,
Basic,Kampfrausch,Neutral,Verleiht Euren Dienern +3 Angriff in diesem Zug.,Common,5,Spell,CS2_046,Shaman,True,,Luca Zontini,Wird auf Stufe 40 freigeschaltet.,blaarghghLLGHRHARAAHAHHH!!,Wird auf Stufe 2 freigeschaltet.,,,,,
Basic,Kampfrausch,,+3 Angriff in diesem Zug.,,,Enchantment,CS2_046e,Shaman,,,,,,,OneTurnEffect,,,,
Basic,Kernhund,,,Common,7,Minion,CS2_201,,True,5,E.M. Gist,Wird freigeschaltet wenn Ihr als Jäger Stufe 51 erreicht.,Einen Kernhund zähmt man nicht man bringt ihm nur bei jemand anderen als sein Herrchen zu fressen.,,,,9,Beast,
Basic,Klaue,,+2 Angriff in diesem Zug.,,,Enchantment,CS2_005o,Druid,,,,,,,OneTurnEffect,,,,
Basic,Klaue,Neutral,Verleiht Eurem Helden +2 Angriff in diesem Zug und 2 Rüstung.,Free,1,Spell,CS2_005,Druid,True,,Dany Orizio,Wird auf Stufe 32 freigeschaltet.,Die Klaue bestimmt wer geht und wer bleibt.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Klauen,,Euer Held hat +1 Angriff in diesem Zug.,,,Enchantment,CS2_017o,Druid,,,,,,,OneTurnEffect,,,,
Basic,Klerikerin von Nordhain,,Zieht jedes Mal eine Karte wenn ein Diener geheilt wird.,Free,1,Minion,CS2_235,Priest,True,3,Terese Nielsen,Wird auf Stufe 40 freigeschaltet.,Sie helfen den Bedürftigen heilen schwerste Wunden und sie backen Schokoladenplätzchen.,Wird auf Stufe 1 freigeschaltet.,HealTarget,,1,,
Basic,Klinge des Assassinen,Neutral,,Common,5,Weapon,CS2_080,Rogue,True,,Brian Huang,Wird auf Stufe 32 freigeschaltet.,Gehörte garantiert einem echten Assassinen. Zertifikat liegt bei.,Wird auf Stufe 2 freigeschaltet.,,4,3,,
Basic,Koboldgeomant,Horde,<b>Zauberschaden +1</b>,Common,2,Minion,CS2_142,,True,2,Gabor Szikszai,Wird freigeschaltet wenn Ihr als Hexenmeister Stufe 59 erreicht.,Früher waren die Kobolde noch die besten Kerzenhändler im ganzen Land. Aber irgendwann reichte es ihnen ...,,Spellpower,,2,,
Basic,Kopfnuss,Neutral,Lasst einen feindlichen Diener auf die Hand Eures Gegners zurückkehren.,Free,2,Spell,EX1_581,Rogue,True,,Scott Altmann,Wird auf Stufe 40 freigeschaltet.,Verschafft den Gegnern des Schurken eine Denkpause.,Wird auf Stufe 1 freigeschaltet.,,,,,
