TEXT,SET,TYPE,ID,NAME,FACTION,RARITY,COST,ATTACK,HEALTH,MECHANICS,DURABILITY,INPLAYTEXT,PLAYERCLASS,COLLECTIBLE,ARTIST,RACE,FLAVOR,ELITE,HOWTOGET,HOWTOGETGOLD
,Missions,Weapon,TU4e_004,Kriegsgleve von Azzinoth,,Common,2,2,,,2,,,,,,,,,
,Missions,Hero,TU4f_001,Lehrensucher Cho,,,,,25,,,,,,,,,,,
,Missions,Hero,TU4b_001,Millhaus Manasturm,,Common,,,20,,,,Mage,,,,,,,
So stark! Und nur 6 Mana?!,Missions,Minion,TU4c_007,Muklas großer Bruder,,Common,6,10,10,,,,,,,,,,,
<b></b>,Missions,Minion,TU4e_003,Myrmidone der Naga,,Common,1,1,1,,,,,,,,,,,
,Missions,Minion,TU4f_002,Pandarenspäher,,Common,1,1,1,,,,,,,,,,,
,Missions,Minion,TU4a_005,Riesengnoll,,Common,4,5,2,,,,,,,,,,,
<b>Heldenfähigkeit</b>
Verursacht 1 Schaden.,Missions,Hero Power,TU4d_003,Schrotladung,,Common,2,,,,,,Hunter,,,,,,,
,Missions,Minion,TU4f_003,Shado-Pan-Mönch,,Common,2,2,2,,,,,,,,,,,
Fügt allen Feinden 2 Schaden zu.,Missions,Spell,TU4c_004,Stampfen,Neutral,Common,2,,,,,,,,,,,,,
Cho kann nicht angegriffen werden bevor Ihr seine Diener erledigt habt.,Missions,Spell,TU4f_006,Transzendenz,,Common,1,,,,,,,,,,,,,
Cho kann nicht angegriffen werden bevor Ihr seine Diener erledigt habt.,Missions,Enchantment,TU4f_006o,Transzendenz,,,,,,,,,,,,,,,,
Verleiht Euren Dienern +2/+2. <i>(+2 Angriff/+2 Leben)</i>,Missions,Spell,TU4f_004,Vermächtnis des Kaisers,,Common,3,,,,,,,,,,,,,
Dieser Diener hat +2/+2. <i>(+2 Angriff/+2 Leben)</i>,Missions,Enchantment,TU4f_004o,Vermächtnis des Kaisers,,,,,,,,,,,,,,,,
Versteckte sich in einem Fass!,Missions,Minion,TU4c_005,Versteckter Gnom,Neutral,Common,2,1,3,,,,,,,,,,,
,Missions,Minion,TU4d_002,Wahnsinniger Jäger,,Common,1,1,1,,,,,,,,,,,
Dieser Diener hat +2 Angriff in diesem Zug.,Classic,Enchantment,CS2_188o,„Inspiriert“,,,,,,OneTurnEffect,,,,,,,,,,
Erhält jedes Mal +2/+1 wenn ein befreundetes Wildtier stirbt.,Classic,Minion,EX1_531,Aasfressende Hyäne,,Common,2,2,2,,,,Hunter,True,Jim Nelson,Beast,Jeder braucht ein Aas im Ärmel.
– Asera,,,
Erhält jedes Mal +1 Haltbarkeit wenn ein eigenes <b>Geheimnis</b> aufgedeckt wird.,Classic,Weapon,EX1_536,Adlerhornbogen,,Rare,3,3,,,2,,Hunter,True,Cyril Van Der Haegen,,Erste Lektion: Das Spitze muss ins Lebendige.,,,
Zieht jedes Mal eine Karte wenn dieser Diener Schaden erleidet.,Classic,Minion,EX1_007,Akolyth des Schmerzes,,Common,3,1,3,,,,,True,Dave Kendall,,Als er klein war wollte er eines Tages ein Akolyth der Freude werden aber manchmal kommen die Dinge eben anders als man denkt.,,,
<b>Windzorn</b> <b>Ansturm</b> <b>Gottesschild</b> <b>Spott</b>,Classic,Minion,NEW1_010,AlAkir der Windlord,,Legendary,8,3,5,Charge|Divine Shield|Taunt|Windfury,,,Shaman,True,Raymond Swanland,,Er ist der schwächste der vier Elementarlords. Und die anderen drei lassen ihn dies stetig wissen.,True,,
Tauscht zu Beginn Eures Zuges diesen Diener gegen einen zufälligen Diener auf Eurer Hand aus.,Classic,Minion,EX1_006,Alarm-o-Bot,,Rare,3,0,3,,,,,True,Sean O’Daniels,Mech,WARNUNG. WARNUNG. WARNUNG.,,,
<b>Kampfschrei:</b> Setzt das verbleibende Leben eines Helden auf 15.,Classic,Minion,EX1_561,Alexstrasza,Neutral,Legendary,9,8,8,Battlecry,,,,True,Raymond Swanland,Dragon,Alexstrasza die Lebensbinderin bringt Leben und Hoffnung zu jedem. Außer zu Todesschwinge. Oder Malygos. Oder Nekros.,True,,
Leben auf 15 gesetzt.,Classic,Enchantment,EX1_561e,Alexstraszas Feuer,,,,,,,,,,,,,,,,
Verleiht einem Diener +5/+5. Zu Beginn Eures nächsten Zuges wird er vernichtet.,Classic,Spell,DREAM_05,Alptraum,,,0,,,,,,Dream,,,,,,,
Dieser Diener hat +5/+5 aber er wird bald vernichtet.,Classic,Enchantment,DREAM_05e,Alptraum,,,,,,,,,,,,,,,,
<b>Wutanfall:</b> +3 Angriff,Classic,Minion,EX1_393,Amaniberserker,Neutral,Common,2,2,3,Enrage,,,,True,Chippy,,Wenn ein Amaniberserker fragt „Du laberst mich an?!“ ist die korrekte Antwort „Nein Mann“.,,,
<b>Kampfschrei:</b> Legt eine Waffe (2/2) an.,Classic,Minion,EX1_398,Arathiwaffenschmiedin,Neutral,Common,4,3,3,Battlecry,,,Warrior,True,Samwise,,50 % Rabatt auf alle Faustwaffen! Nur begrenzte Zeit verfügbar!,,,
<b>Kampfschrei:</b> Verleiht einem befreundeten Diener <b>Gottesschild</b>.,Classic,Minion,EX1_362,Argentumbeschützer,Neutral,Common,2,2,2,Battlecry,,,Paladin,True,Doug Alexander,,„Ich sage nicht dass Ihr Feuerbällen ausweichen könnt. Ich sage Euch dass Ihr es mit diesem Schild nicht mehr müsst.“,,,
<b>Gottesschild</b>,Classic,Minion,EX1_008,Argentumknappin,Alliance,Common,1,1,1,Divine Shield,,,,True,Zoltan & Gabor,,„Ich schwöre feierlich für das Licht zu streiten die Welt von der Dunkelheit zu befreien und mich ausschließlich von Süßigkeiten zu ernähren.“
– Schwur der Argentumdämmerung,,,
<b>Ansturm</b> <b>Gottesschild</b>,Classic,Minion,EX1_067,Argentumkommandant,Neutral,Rare,6,4,2,Charge|Divine Shield,,,,True,James Ryman,,Die Argentumdämmerung stellt sich tapfer der Geißel entgegen – und Leuten die sich an der Supermarktkasse vordrängeln wollen.,,,
<b>Ansturm</b>. <b>Kampfschrei:</b> Gebt Eurem Gegner 1 Manakristall.,Classic,Minion,EX1_089,Arkangolem,Neutral,Rare,3,4,2,Battlecry|Charge,,,,True,Sedhayu Ardian,,Arkangolems sind unglaublich beliebte Einrichtungsgegenstände für die Blutelfenschickeria.,,,
,Classic,Weapon,EX1_383t,Aschenbringer,,Legendary,5,5,,,3,,Paladin,,,,,,,
Erhält +2/+2 wenn Ihr am Ende Eures Zuges über ein aktives <b>Geheimnis</b> verfügt.,Classic,Minion,EX1_274,Astraler Arkanist,,Rare,4,3,3,,,,Mage,True,Michael Komarck,,Die Astralen umwickeln sich mit Tüchern um ihrer unkörperlichen Gestalt eine körperliche Form zu verleihen. Dazu kommt dass Tücher stark in Mode sind.,False,,
Eure Karten und Fähigkeiten die Leben wiederherstellen verursachen stattdessen nun Schaden.,Classic,Minion,EX1_591,Auchenaiseelenpriesterin,Neutral,Rare,4,3,5,Aura,,,Priest,True,Doug Alexander,,Die Auchenai sind sich sicher dass das Ende kommen wird allerdings wissen sie nicht genau wann.,,,
+2 Angriff.,Classic,Enchantment,EX1_603e,Auf Zack gebracht,,,,,,,,,Warrior,,,,,,,
+1 Angriff und +1 Haltbarkeit.,Classic,Enchantment,EX1_409e,Aufgewertet,,,,,,,,,Warrior,,,,,,,
Erhöhte Haltbarkeit.,Classic,Enchantment,EX1_536e,Aufgewertet,,,,,,,,,Hunter,,,,,,,
Wenn Ihr eine Waffe habt erhält sie +1/+1. Legt anderenfalls eine Waffe (1/3) an.,Classic,Spell,EX1_409,Aufwertung,Neutral,Rare,1,,,,,,Warrior,True,Matt Cavotta,,Mindestens 50 DKP wert.,,,
<b>Geheimnis:</b> Wenn Euer Held Schaden erleidet wird dem feindlichen Helden ebenso viel Schaden zugefügt.,Classic,Spell,EX1_132,Auge um Auge,Neutral,Common,1,,,Secret,,,Paladin,True,James Ryman,,Gerechtigkeit nimmt manchmal die Form einer ziemlich harten Faust auf einer ziemlich weichen Backe an.,,,
Verursacht $2 Schaden. <b>Combo:</b> Verursacht stattdessen $4 Schaden.,Classic,Spell,EX1_124,Ausweiden,Neutral,Common,2,,,Combo,,,Rogue,True,Ariel Olivetti,,Zerstört auf langfristige Sicht jede Art von Beziehung.,,,
<b>Zauberschaden +1</b>. <b>Kampfschrei:</b> Zieht eine Karte.,Classic,Minion,EX1_284,Azurblauer Drache,Neutral,Rare,5,4,4,Battlecry|Spellpower,,,,True,Ben Zhang,Dragon,Ursprünglich wollten sie sich die Beryll- oder Saphirdrachen nennen aber das war ihnen dann doch ein wenig zu hochgestochen.,,,
,Classic,Minion,EX1_110t,Baine Bluthuf,,Legendary,4,4,5,,,,,,,,,True,,
+1/+1.,Classic,Enchantment,EX1_014te,Banane,,,,,,,,,,,,,,,,
Verleiht einem Diener +1/+1.,Classic,Spell,EX1_014t,Banane,,,1,,,,,,,,,,,,,
,Classic,Minion,EX1_131t,Bandit der Defias,Neutral,,1,2,1,,,,Rogue,,,,,,,
Bringt einen Diener zum <b>Schweigen</b>.,Classic,Spell,EX1_166b,Bannen,Neutral,,,,,Silence,,,Druid,,,,,,,
+2 Leben und <b>Spott</b>.,Classic,Spell,EX1_165b,Bärengestalt,Neutral,Common,,,,,,,Druid,,,,,,,
Fügt am Ende Eures Zuges ALLEN anderen Charakteren 2 Schaden zu.,Classic,Minion,EX1_249,Baron Geddon,Neutral,Legendary,7,7,5,,,,,True,Ian Ameling,,Baron Geddon war Ragnaros oberster Leutnant bevor er GEFEUERT wurde.,True,,
Das Leben Eurer Diener kann in diesem Zug nicht unter 1 fallen. Zieht eine Karte.,Classic,Spell,NEW1_036,Befehlsruf,,Rare,2,,,,,,Warrior,True,Wayne Reynolds,,Da bekommt der Ausdruck „guter Ruf“ gleich eine ganz andere Bedeutung.,,,
Kann in diesem Zug nicht unter 1 Leben fallen.,Classic,Enchantment,NEW1_036e,Befehlsruf,,,,,,OneTurnEffect,,,Warrior,,,,,,,
Das Leben Eurer Diener kann in diesem Zug nicht unter 1 fallen.,Classic,Enchantment,NEW1_036e2,Befehlsruf,,,,,,OneTurnEffect,,,Warrior,,,,,,,
Kostet (1) weniger für jede andere Karte auf Eurer Hand.,Classic,Minion,EX1_105,Bergriese,Neutral,Epic,12,8,8,,,,,True,Samwise,,Seine Mutter meinte immer nur dass er schwere Knochen hätte.,,,
,Classic,Minion,skele21,Beschädigter Golem,Neutral,Common,1,2,1,,,,,,,Mech,,,,
Eure Diener kosten (2) weniger aber nicht weniger als (1).,Classic,Minion,EX1_315,Beschwörungsportal,Neutral,Common,4,0,4,Aura,,,Warlock,True,Tyler Walpole,,NICHT WENIGER ALS 1! Kommt nicht auf dumme Gedanken!,,,
<b>Todesröcheln:</b> Zieht eine Karte.,Classic,Minion,EX1_096,Beutehamsterer,Neutral,Common,2,2,1,Deathrattle,,,,True,Jim Nelson,,Würfelt immer auf Bedarf.,,,
Erhöhter Angriff.,Classic,Enchantment,NEW1_037e,Bewaffnet,,,,,,,,,,False,,,,,,
Verleiht Eurem Helden +4 Angriff in diesem Zug und 4 Rüstung.,Classic,Spell,EX1_570,Biss,Neutral,Rare,4,,,,,,Druid,True,Tom Baxa,,Das Kauen nicht vergessen!,,,
+4 Angriff in diesem Zug.,Classic,Enchantment,EX1_570e,Biss,,,,,,OneTurnEffect,,,,,,,,,,
Erhöhter Angriff.,Classic,Enchantment,EX1_509e,Blarghghl,,,,,,,,,,,,,,,,
Verursacht $3 Schaden. <b>Überladung:</b> (1),Classic,Spell,EX1_238,Blitzschlag,Neutral,Common,1,,,,,,Shaman,True,Daarken,,Auf Azeroth ist die Chance vom Blitz getroffen zu werden ziemlich hoch.,,,
Fügt allen feindlichen Dienern $2 Schaden zu und <b>friert</b> sie ein.,Classic,Spell,CS2_028,Blizzard,Neutral,Rare,6,,,Freeze,,,Mage,True,Chris Seaman,,Dieser Zauber ist pures Entertainment.,,,
<b>Zauberschaden +1</b>. <b>Todesröcheln:</b> Zieht eine Karte.,Classic,Minion,EX1_012,Blutmagier Thalnos,Neutral,Legendary,2,1,1,Deathrattle|Spellpower,,,,True,Alex Horley Orlandelli,,Er hat kürzlich eine Kampagne zum Blutspenden ins Leben gerufen – natürlich aus komplett uneigennützigen Gründen.,True,,
Erhöhtes Leben.,Classic,Enchantment,CS2_059o,Blutpakt,,,,,,,,,Warlock,,,,,,,
Kein Haltbarkeitsverlust.,Classic,Enchantment,EX1_411e,Blutrausch,,,,,,,,,Warrior,,,,,,,
<b>Kampfschrei:</b> Alle Diener verlieren <b>Gottesschild</b>. Erhält +3/+3 für jeden verlorenen Schild.,Classic,Minion,EX1_590,Blutritter,Neutral,Epic,3,3,3,Battlecry,,,,True,Trent Kaniuga,,Die Blutritter ziehen ihre Kraft aus den heiligen Energien des Sonnenbrunnens in dem Baden STRENG VERBOTEN ist.,,,
Angriffe gegen Diener kosten 1 Angriff anstatt 1 Haltbarkeit.,Classic,Weapon,EX1_411,Blutschrei,Neutral,Epic,7,7,,,1,,Warrior,True,Zoltan & Gabor,,Grommash Höllschreis berühmte Axt. Irgendwie ist sie in den Besitz von Prinz Malchezaar gelangt. Ein wahres Mysterium!,,,
<b>Kampfschrei:</b> Zieht 1 Haltbarkeit von der Waffe Eures Gegners ab.,Classic,Minion,NEW1_025,Blutsegelkorsar,,Rare,1,1,2,Battlecry,,,,True,Randy Gallegos,Pirate,Alle Piraten verfügen über dieselbe vierstellige PIN um auf den Goldautomaten zuzugreifen. Man nennt sie den „Piratencode“.,,,
<b>Kampfschrei:</b> Erhält Angriff entsprechend dem Angriff Eurer Waffe.,Classic,Minion,NEW1_018,Blutsegelräuberin,,Common,2,2,3,Battlecry,,,,True,Jim Nelson,Pirate,„Ich stehle nur an Tagen die auf g enden. Manchmal mache ich aber auch Ausnahmen.“,,,
<b>Verstohlenheit</b>. Verleiht am Ende Eures Zuges einem anderen zufälligen befreundeten Diener +1 Leben.,Classic,Minion,CS2_059,Blutwichtel,Neutral,Common,1,0,1,Stealth,,,Warlock,True,Bernie Kang,Demon,Wichtel geben sich damit zufrieden sich zu verstecken und dann wahllos Leute zu beleidigen.,,,
Leben auf 1 verringert.,Classic,Enchantment,EX1_379e,Buße,,,,,,,,,Paladin,,,,,,,
<b>Geheimnis:</b> Wenn Euer Gegner einen Diener ausspielt wird dessen Leben auf 1 verringert.,Classic,Spell,EX1_379,Buße,Neutral,Common,1,,,Secret,,,Paladin,True,Gonzalo Ordonez,,Ironischerweise kommt die Buße oft vor der Vernichtung.,,,
<b>Todesröcheln:</b> Ruft Baine Bluthuf (4/5) herbei.,Classic,Minion,EX1_110,Cairne Bluthuf,Alliance,Legendary,6,4,5,Deathrattle,,,,True,Wayne Reynolds,,Cairne wurde von Garrosh getötet also steckt diese Karte besser nicht in ein Kriegerdeck. Das wäre ganz schön unsensibel.,True,,
<b>Wählt aus:</b> Verleiht Euren anderen Dienern +2/+2; oder ruft zwei Treants (2/2) mit <b>Spott</b> herbei.,Classic,Minion,EX1_573,Cenarius,Neutral,Legendary,9,5,8,,,,Druid,True,Alex Horley Orlandelli,,Ja er ist ein Halbgott. Und nein er braucht kein Hemd zu tragen.,True,,
Fügt Eurer Hand zwei zufällige Dämonen aus Eurem Deck hinzu.,Classic,Spell,EX1_317,Dämonen wahrnehmen,Neutral,Common,3,,,,,,Warlock,True,Raven Mimura,,Dämonen machen normalerweise keinen Hehl aus ihrer Anwesenheit also braucht es eigentlich keinen Zauber um sie aufzuspüren.,,,
Fügt einem Diener $2 Schaden zu. Wenn das Ziel ein befreundeter Dämon ist erhält er stattdessen +2/+2.,Classic,Spell,EX1_596,Dämonenfeuer,Neutral,Common,2,,,,,,Warlock,True,Ben Wootten,,Dämonenfeuer ist eigentlich ganz normales Feuer aber ES HÖRT NICHT AUF ZU BRENNEN! HILFEEEEEE!!!,,,
Dieser Dämon hat +2/+2.,Classic,Enchantment,EX1_596e,Dämonenfeuer,Neutral,Common,0,,,,,,Warlock,,,,,,,
Dieser Diener hat -3 Angriff in diesem Zug.,Classic,Enchantment,EX1_161o,Demoralisierendes Gebrüll,,,,,,OneTurnEffect,,,Druid,,,,,,,
<b>Kampfschrei:</b> Vernichtet einen feindlichen Diener mit <b>Spott</b>.,Classic,Minion,EX1_002,Der Schwarze Ritter,,Legendary,6,4,5,Battlecry,,,,True,Alex Horley Orlandelli,,Er geht regelmäßig Blut spenden. Nicht sein eigenes und auch nicht für wohltätige Zwecke aber immerhin.
– Tobias K.,True,,
<b>Todesröcheln:</b> Ruft Finkle Einhorn (3/3) für Euren Gegner herbei.,Classic,Minion,EX1_577,Die Bestie,Neutral,Legendary,6,9,7,Deathrattle,,,,True,Glenn Rane,Beast,Hat Kürschner zum Fressen gern.,True,,
<b>Spott</b>,Classic,Minion,EX1_165t2,Druide der Klaue,,Common,5,4,6,Taunt,,,Druid,,,Beast,,,,
<b>Wählt aus:</b> <b>Ansturm</b>; oder +2 Leben und <b>Spott</b>.,Classic,Minion,EX1_165,Druide der Klaue,Neutral,Common,5,4,4,,,,Druid,True,Luca Zontini,,Katze? Bär? Katze? Bär? Katze? Bär? Oh Mann ich kann mich einfach nicht entscheiden!,,,
<b>Ansturm</b>,Classic,Minion,EX1_165t1,Druide der Klaue,,Common,5,4,4,Charge,,,Druid,,,Beast,,,,
<b>Verstohlenheit</b>,Classic,Minion,EX1_017,Dschungelpanther,Horde,Common,3,4,2,Stealth,,,,True,Jaemin Kim,Beast,Das Schlingendorntal ist der sprichwörtliche Dschungel. Überleben ist Glückssache.,,,
<b>Kampfschrei:</b> Verleiht einem Diener +2 Angriff in diesem Zug.,Classic,Minion,EX1_046,Dunkeleisenzwerg,Alliance,Common,4,4,4,Battlecry,,,,True,Scott Hampton,,Die Wächter des Dunkeleisenerzes. Vielleicht das nervigste Erz wenn man bedenkt wo man es verhütten muss.,,,
Dieser Diener hat für diesen Zug seinen Meister gewechselt.,Classic,Enchantment,EX1_334e,Dunkler Befehl,,,,,,,,,Priest,,,,,,,
Übernehmt bis zum Ende des Zuges die Kontrolle über einen feindlichen Diener mit max. 3 Angriff.,Classic,Spell,EX1_334,Dunkler Wahnsinn,Neutral,Rare,4,,,,,,Priest,True,Mark Gibbons,,Für den übernehmenden Spieler der helle Wahnsinn!,,,
<b>Combo:</b> Erhält für jede in diesem Zug bereits ausgespielte Karte +2/+2.,Classic,Minion,EX1_613,Edwin van Cleef,Neutral,Legendary,3,2,2,Combo,,,Rogue,True,Efrem Palacios,,Er leitete die Steinmetze beim Wiederaufbau von Sturmwind und als die Adligen nicht zahlen wollten gründete er die Bruderschaft der Defias um Sturmwind nun ja wieder <i>abzubauen</i>.,True,,
,Classic,Minion,EX1_tk28,Eichhörnchen,Neutral,Common,1,1,1,,,,,,,Beast,,,,
<b>Geheimnis:</b> Wenn Euer Held angegriffen wird erhält er 8 Rüstung.,Classic,Spell,EX1_289,Eisbarriere,Neutral,Common,3,,,Secret,,,Mage,True,Alex Garner,,Wenn Ihr Eurem Gegner mal so richtig die kalte Schulter zeigen wollt.,,,
Euer Held ist <b>immun</b> in diesem Zug.,Classic,Enchantment,EX1_295o,Eisblock,,,,,,OneTurnEffect,,,Mage,,,,,,,
<b>Geheimnis:</b> Wenn Euer Held tödlichen Schaden erleidet wird dieser verhindert und der Held wird <b>immun</b> in diesem Zug.,Classic,Spell,EX1_295,Eisblock,Neutral,Epic,3,,,Secret,,,Mage,True,Carl Frank,,Eis hält jung und bekommt selten einen Sprung.,,,
<b>Kampfschrei:</b> Bringt einen Diener zum <b>Schweigen</b>.,Classic,Minion,CS2_203,Eisenschnabeleule,Horde,Common,2,2,1,Battlecry,,,,True,Trevor Jacobs,Beast,Sie fliegen auf leisen Schwingen doch bedecket Eure Ohren so sie singen ... äh kreischen.,,,
<b>Geheimnis:</b> Wenn ein feindlicher Diener angreift lasst ihn auf die Hand seines Besitzers zurückkehren. Zusätzlich kostet er (2) mehr.,Classic,Spell,EX1_611,Eiskältefalle,Neutral,Common,2,,,Secret,,,Hunter,True,Matt Gaser,,Wenn man in diese Falle gerät heißt es lediglich: abwarten und Tee trinken.,,,
<b>Friert</b> einen Charakter ein. Wenn er bereits <b>eingefroren</b> ist werden ihm stattdessen $4 Schaden zugefügt.,Classic,Spell,CS2_031,Eislanze,Neutral,Common,1,,,Freeze,,,Mage,True,Alex Horley Orlandelli,,Der Trick dabei ist die Lanze nicht abzubrechen. Ihr habt ansonsten „Eisscherben“. Eisscherben sind nicht besonders effektiv.,,,
Erhöhtes Leben.,Classic,Enchantment,EX1_004e,Elunes Anmut,,,,,,,,,,,,,,,,
Erhält jedes Mal +1/+1 wenn Ihr eine Karte mit <b>Überladung</b> ausspielt.,Classic,Minion,EX1_258,Entfesselter Elementar,Neutral,Common,3,2,4,,,,Shaman,True,Matt Gaser,,Anders als gefesselte Elementare gehen entfesselte Elementare auch öfter mal aus.,,,
<b>Combo:</b> Lasst einen Diener auf die Hand seines Besitzers zurückkehren.,Classic,Minion,NEW1_005,Entführer,,Epic,6,5,3,Combo,,,Rogue,True,Dave Allsop,,Er möchte Leuten einfach nur seine Briefmarkensammlung zeigen.,,,
+5 Angriff.,Classic,Spell,EX1_178b,Entwurzeln,Neutral,,,,,,,,Druid,,,,,,,
+5 Angriff.,Classic,Enchantment,EX1_178be,Entwurzelt,,,,,,,,,Druid,,,,,,,
<b>Spott</b> <b>Überladung:</b> (3),Classic,Minion,EX1_250,Erdelementar,Neutral,Epic,5,7,8,Taunt,,,Shaman,True,Dan Scott,,Marmor Stein und Eisen bricht ... nicht!,,,
Bringt einen Diener zum <b>Schweigen</b> und fügt ihm dann $1 Schaden zu.,Classic,Spell,EX1_245,Erdschock,Neutral,Common,1,,,Silence,,,Shaman,True,Kevin Chin,,Erdschock? Sollte es nicht eher „Azerothschock“ heißen?,,,
<b>Geheimnis:</b> Wenn einer Eurer Diener stirbt wird er mit 1 Leben wiederbelebt.,Classic,Spell,EX1_136,Erlösung,Neutral,Common,1,,,Secret,,,Paladin,True,Ittoku,,Einen Herrn kann man erlösen eine Dame muss man sielösen.,,,
<b>Todesröcheln:</b> Ruft einen Beschädigten Golem (2/1) herbei.,Classic,Minion,EX1_556,Erntegolem,Neutral,Common,3,2,3,Deathrattle,,,,True,Brian Despain,Mech,„Grenzwert für Hitzeresistenz überschritten. Systemausfall. Weizen verstopft Luke B. Fahre herunter.“,,,
Erhaltet jedes Mal einen „Feuerball“-Zauber auf Eure Hand wenn Ihr einen Zauber wirkt.,Classic,Minion,EX1_559,Erzmagier Antonidas,Neutral,Legendary,7,5,7,,,,Mage,True,Wayne Reynolds,,Der Großmagus der Kirin Tor und Dalarans großartigster Sohn. Selbst Zwerge beneideten ihn um seinen Bart.,True,,
Der Verrückte Alchemist hat Angriff und Leben vertauscht.,Classic,Enchantment,EX1_059e,Experimente!,,,,,,,,,,,,,,,,
Fügt einem Diener $5 Schaden und benachbarten Dienern $2 Schaden zu.,Classic,Spell,EX1_537,Explosivschuss,Neutral,Rare,5,,,,,,Hunter,True,Tom Baxa,,Stift ziehen bis 5 zählen abfeuern und ducken.,,,
Kann nicht als Ziel von Zaubern oder Heldenfähigkeiten gewählt werden.,Classic,Minion,NEW1_023,Feendrache,,Common,2,3,2,,,,,True,Samwise,Dragon,Putzig. Immun gegen Magie. Pinkelt nicht auf den Teppich. Das perfekte Haustier!,,,
Eine Eurer Karten kostet (3) weniger.,Classic,Enchantment,CS2_053e,Fernsicht,,,,,,,,,Shaman,,Lars Grant-West,,,,,
Zieht eine Karte. Diese Karte kostet (3) weniger.,Classic,Spell,CS2_053,Fernsicht,Neutral,Epic,3,,,,,,Shaman,True,Lars Grant-West,,Achtung – zu viel fern sehen ist nicht gut für die Augen.
– Sandra K.,,,
+5 Leben und <b>Spott</b>.,Classic,Spell,EX1_178a,Festgewurzelt,Neutral,,,,,,,,Druid,,,,,,,
+5 Leben und <b>Spott</b>.,Classic,Enchantment,EX1_178ae,Festgewurzelt,,,,,,,,,Druid,,,,,,,
<b>Kampfschrei:</b> Fügt einem Diener 1 Schaden zu und verleiht ihm +2 Angriff.,Classic,Minion,EX1_603,Fieser Zuchtmeister,Neutral,Common,2,2,2,Battlecry,,,Warrior,True,Phroilan Gardner,,„Am Sonntag werdet Ihr Überstunden machen müssen.“ – Fieser Zuchtmeister,,,
,Classic,Minion,EX1_finkle,Finkle Einhorn,Neutral,Legendary,2,3,3,,,,,,,,,True,,
,Classic,Minion,EX1_614t,Flamme von Azzinoth,,,1,2,1,,,,,,,,,,,
<b>Kampfschrei:</b> Fügt Eurem Helden 3 Schaden zu.,Classic,Minion,EX1_319,Flammenwichtel,Neutral,Common,1,3,2,Battlecry,,,Warlock,True,Alex Horley Orlandelli,Demon,Wichtel können einfach nicht verstehen warum Ihr es nicht so toll findet in Brand gesteckt zu werden.,,,
Erhält jedes Mal +1 Angriff wenn ein Diener stirbt.,Classic,Minion,tt_004,Fleischfressender Ghul,Neutral,Common,3,2,3,,,,,True,Alex Horley Orlandelli,,Oder habt Ihr schon einmal von einem pflanzenfressenden Ghul gehört?,,,
