TYPE,SET,HEALTH,ID,NAME,TEXT,FACTION,RARITY,COST,MECHANICS,INPLAYTEXT,ATTACK,PLAYERCLASS,DURABILITY,COLLECTIBLE,ARTIST,RACE,FLAVOR,ELITE,HOWTOGET,HOWTOGETGOLD
Enchantment,Missions,,TU4f_004o,Legado do Imperador,Tem +2/+2. <i>(+2 de Ataque/+2 de Vida)</i>,,,,,,,,,,,,,,,
Spell,Missions,,TU4f_004,Legado do Imperador,Conceda +2/+2 aos seus lacaios. <i>(+2 de Ataque/+2 de Vida)</i>,,Common,3,,,,,,,,,,,,
Minion,Missions,2,TU4f_007,Macaco Louco,<b>Grito de Guerra:</b> Arremessa Bananas.,,Common,1,Battlecry,,1,,,,,,,,,
Minion,Missions,4,TU4f_005,Mestre Cervejeiro,,,Common,4,,,4,,,,,,,,,
Hero,Missions,20,TU4b_001,Millhouse Manavento,,,Common,,,,,Mage,,,,,,,,
Minion,Missions,1,TU4e_003,Mirmidão Naga,<b></b>,,Common,1,,,1,,,,,,,,,
Minion,Missions,2,TU4f_003,Monge Shado-Pan,,,Common,2,,,2,,,,,,,,,
Spell,Missions,,TU4c_004,Pisada,Cause 2 de dano a todos os inimigos.,Neutral,Common,2,,,,,,,,,,,,
Enchantment,Missions,,TU4c_008e,Poder de Mukla,O Rei Mukla tem +8 de Ataque neste turno.,,,,OneTurnEffect,,,,,,,,,,,
Hero,Missions,26,TU4c_001,Rei Mukla,,,Common,,,,,,,,,,,,,
Hero,Missions,20,TU4d_001,Rosarães Guima,,,Common,,,,,Hunter,,,,,,,,
Spell,Missions,,TU4f_006,Transcendência,Cho não pode ser atacado até que você mate todos os lacaios dele.,,Common,1,,,,,,,,,,,,
Enchantment,Missions,,TU4f_006o,Transcendência,Cho não pode ser atacado até que você mate todos os lacaios dele.,,,,,,,,,,,,,,,
Spell,Missions,,TU4c_008,Vontade de Mukla,Restaure 8 de Vida.,,Common,3,,,,,,,,,,,,
Enchantment,Classic,,CS2_188o,&bdquo;Inspirado&bdquo;,Este lacaio tem +2 de Ataque neste turno.,,,,OneTurnEffect,,,,,,,,,,,
Minion,Classic,7,EX1_577,A Fera,<b>Último Suspiro:</b> Evoque um Jonas Tiragosto 3/3 para o seu oponente.,Neutral,Legendary,6,Deathrattle,,9,,,True,Glenn Rane,Beast,Ele vive na Montanha Rocha Negra. E come gnomos. É basicamente isso.,True,,
Minion,Classic,4,EX1_097,Abominação,<b>Provocar</b>. <b>Último Suspiro:</b> Cause 2 de dano a TODOS os personagens.,Neutral,Rare,5,Deathrattle|Taunt,,4,,,True,Alex Horley Orlandelli,,Abominações adoram carne fresca e longas caminhadas pela praia.,,,
Minion,Classic,3,EX1_007,Acólito da Dor,Sempre que este lacaio receber dano compre um card.,,Common,3,,,1,,,True,Dave Kendall,,Quando era mais jovem ele estava treinando para ser um Acólito da Alegria mas as coisas não saíram bem como ele esperava.,,,
Minion,Classic,1,EX1_096,Acumulador de Tesouros,<b>Último Suspiro:</b> Compre um card.,Neutral,Common,2,Deathrattle,,2,,,True,Jim Nelson,,Sempre jogue necessidade.,,,
Enchantment,Classic,,CS2_146o,Afiada,+1 de Durabilidade.,,,,,,,,,,,,,,,
Enchantment,Classic,,CS2_221e,Afiado!,+2 de Ataque do Ferreiro Rancoroso.,,,,,,,,,,,,,,,
Minion,Classic,3,EX1_134,Agente da AVIN,<b>Combo:</b> Cause 2 de dano.,Neutral,Rare,3,Combo,,3,Rogue,,True,Chris Moeller,,Os agentes da AVIN são responsáveis pelas atividades secretas de Ventobravo. Seus deveres incluem espionagem assassinato e planejar festas-surpresa para a família real.,,,
Minion,Classic,7,NEW1_021,Agoureiro,No início do seu turno destrua TODOS os lacaios.,,Epic,2,,,0,,,True,Alex Horley Orlandelli,,Ele esteve quase certo tantas vezes. Ele tinha <i>certeza</i> que o fim do mundo chegaria no Cataclismo.,,,
Hero Power,Classic,,EX1_625t,Aguilhão Mental,<b>Poder Heroico</b>
Cause 2 de dano.,,,2,,,,Priest,,,,,,,,
Minion,Classic,5,NEW1_010,Al&sbquo;Akir o Senhor do Vento,<b>Fúria dos Ventos Investida Escudo Divino Provocar</b>,,Legendary,8,Charge|Divine Shield|Taunt|Windfury,,3,Shaman,,True,Raymond Swanland,,Ele é o mais fraco dos Lordes Elementais. E os outros três não o deixam esquecer.,True,,
Minion,Classic,3,EX1_006,Alarmobô,No início do turno troque este lacaio por um lacaio aleatório da sua mão.,,Rare,3,,,0,,,True,Sean O’Daniels,Mech,ALERTA. ALERTA. ALERTA.,,,
Minion,Classic,8,EX1_561,Alexstrasza,<b>Grito de Guerra:</b> Defina a vida remanescente do herói para 15.,Neutral,Legendary,9,Battlecry,,8,,,True,Raymond Swanland,Dragon,Alexstrasza a Mãe da Vida traz vida e esperança a todos. Menos para o Asa da Morte. E Malygos. E Nekros.,True,,
Enchantment,Classic,,EX1_158e,Alma da Floresta,Último Suspiro: Evoque um Arvoroso 2/2.,,,,,,,Druid,,,,,,,,
Spell,Classic,,EX1_158,Alma da Floresta,Conceda aos seus lacaios: <b>Último Suspiro:</b> Evoque um Arvoroso 2/2.,Neutral,Common,4,,,,Druid,,True,Markus Erdt,,De repente &bdquo;Reflorestamento&bdquo; virou uma palavra aterrorizante.,,,
Minion,Classic,2,EX1_059,Alquimista Enlouquecido,<b>Grito de Guerra:</b> Troque o Ataque pela Vida de um lacaio.,Neutral,Rare,2,Battlecry,,2,,,True,Tom Fleming,,Ele diz: &bdquo;Você vai <i>adorar</i> minha nova receita!&bdquo; ...principalmente se não estiver satisfeito com seu número atual de membros.,,,
Enchantment,Classic,,CS2_104e,Alvoroço,+3/+3.,,,,,,,Warrior,,,,,,,,
Spell,Classic,,CS2_104,Alvoroço,Conceda +3/+3 a um lacaio ferido.,Neutral,Common,2,,,,Warrior,,True,Jonboy Meyers,,Lacaio fica RAIVOSO! Lacaio ESMAGA!,,,
Minion,Classic,4,EX1_046,Anão Ferro Negro,<b>Grito de Guerra:</b> Conceda +2 de Ataque a um lacaio neste turno.,Alliance,Common,4,Battlecry,,4,,,True,Scott Hampton,,Guardiões do Minério de Ferro Negro. Talvez seja o minério mais irritante de todos considerando aonde você precisa ir para forjá-lo.,,,
Minion,Classic,5,EX1_178,Anciente da Guerra,<b>Escolha Um</b> -
+5 de Ataque; ou +5 de Vida e <b>Provocar</b>.,Neutral,Epic,7,,,5,Druid,,True,Sean O’Daniels,,Jovens elfos noturnos adoram jogar &bdquo;Quem consegue desarraigar o Anciente da Guerra?&bdquo; – Você perde se for esmagado até a morte.,,,
Minion,Classic,5,NEW1_008,Anciente da Tradição,<b>Escolha Um</b> - Compre 2 cards; ou Restaure 5 de Vida.,,Epic,7,,,5,Druid,,True,Patrik Hjelm,,Vá em frente entalhe seu nome nele.,,,
Minion,Classic,5,EX1_032,Andarilha do Sol,<b>Provocar</b>. <b>Escudo Divino</b>,Alliance,Rare,6,Divine Shield|Taunt,,4,,,True,Andrea Uderzo,,Ela não anda pelo sol de verdade. É só um nome. Não se preocupe!,,,
Minion,Classic,4,EX1_100,Andarilho das Lendas Cho,Quando um jogador lançar um feitiço coloque uma cópia dele na mão do outro jogador.,Neutral,Legendary,2,,,0,,,True,Mark Zug,,O Andarilho das Lendas Cho registra e compartilha contos da terra de Pandária mas o que ele mais gosta é aquele onde descobrem quem matou Odete Roitman.,True,,
Minion,Classic,2,EX1_616,Aparição de Mana,TODOS os lacaios custam (1) a mais.,Neutral,Rare,2,Aura,,2,,,True,Luca Zontini,,Elas chegam de noite para comer os restos de cristais de mana. Elas dizem &bdquo;nomnomnomnom&bdquo;.,,,
Minion,Classic,2,EX1_608,Aprendiz de Feiticeiro,Seus feitiços custam (1) a menos.,Neutral,Common,2,Aura,,3,Mage,,True,Alex Horley Orlandelli,,Aprendizes servem para obedecer. &bdquo;Conjure uns pãezinhos de mana para mim! E um café! Ou melhor um café de mana!&bdquo;,,,
Minion,Classic,1,NEW1_026t,Aprendiz Violeta,,,,0,,,1,,,,,,,,,
Enchantment,Classic,,EX1_409e,Aprimorado,+1 de Ataque e +1 de Durabilidade.,,,,,,,Warrior,,,,,,,,
Enchantment,Classic,,EX1_536e,Aprimorado,Durabilidade Aumentada.,,,,,,,Hunter,,,,,,,,
Spell,Classic,,EX1_409,Aprimoramento!,Se você tiver uma arma conceda-lhe +1/+1. Se não tiver equipe uma arma 1/3.,Neutral,Rare,1,,,,Warrior,,True,Matt Cavotta,,Vale 50 PCM fácil.,,,
Minion,Classic,3,EX1_274,Arcanista Etéreo,Se você controlar um <b>Segredo</b> no final do seu turno receba +2/+2.,,Rare,4,,,3,Mage,,True,Michael Komarck,,Os etéreos se cobrem com panos para dar forma a seus seres incorpóreos. E também porque é macio e cheiroso.,False,,
Weapon,Classic,,EX1_536,Arco Hastáguia,Sempre que um <b>Segredo</b> aliado for revelado receba +1 de Durabilidade.,,Rare,3,,,3,Hunter,2,True,Cyril Van Der Haegen,,Primeira lição: o lado pontudo vai no outro cara.,,,
Weapon,Classic,,DS1_188,Arco Longo do Gladiador,Seu herói fica <b>Imune</b> enquanto ataca.,Neutral,Epic,7,,,5,Hunter,2,True,Peter C. Lee,,O arco longo permite atirar flechas mais de longe e é útil para disparar contra alvos especialmente fedorentos.,,,
Spell,Classic,,EX1_611,Armadilha Congelante,<b>Segredo:</b> Quando um lacaio inimigo atacar devolva-o à mão do dono custando (2) a mais.,Neutral,Common,2,Secret,,,Hunter,,True,Matt Gaser,,&bdquo;Caramba que frio.&bdquo; – resposta apropriada ao cair na Armadilha Congelante ou tropeçar num cadáver.,,,
Spell,Classic,,EX1_554,Armadilha de Cobra,<b>Segredo:</b> Quando um de seus lacaios for atacado evoque três Cobras 1/1.,Neutral,Epic,2,Secret,,,Hunter,,True,Bernie Kang,,Por que tinha que ser cobras?,,,
Spell,Classic,,EX1_610,Armadilha Explosiva,<b>Segredo:</b> Quando seu herói for atacado cause $2 de dano a todos os inimigos.,Neutral,Common,2,Secret,,,Hunter,,True,Brandon Kitkouski,,Aprisiona sua comida e ainda cozinha pra você!,,,
Minion,Classic,3,EX1_398,Armeira de Arathi,<b>Grito de Guerra:</b> Equipe uma arma 2/2.,Neutral,Common,4,Battlecry,,3,Warrior,,True,Samwise,,50% de desconto nas armas de punho! É só hoje!,,,
Minion,Classic,7,EX1_559,Arquimago Antônidas,Sempre que você lançar um feitiço adicione um feitiço &bdquo;Bola de Fogo&bdquo; à sua mão.,Neutral,Legendary,7,,,5,Mage,,True,Wayne Reynolds,,Antônidas foi o Grão-mago do Kirin Tor e mentor de Jaina. Foi um enorme passo desde seu tempo como Grão-mago das Jujubas.,True,,
Minion,Classic,2,EX1_158t,Arvoroso,,Neutral,,1,,,2,Druid,,,,,,,,
Minion,Classic,2,EX1_tk9,Arvoroso,<b>Investida</b>. No final do turno destrua este lacaio.,Neutral,Common,1,Charge,,2,Druid,,,,,,,,
Minion,Classic,2,EX1_573t,Arvoroso,<b>Provocar</b>,,,1,Taunt,,2,Druid,,,,,,,,
Minion,Classic,12,NEW1_030,Asa da Morte,<b>Grito de Guerra:</b> Destrua todos os outros lacaios e descarte a sua mão.,,Legendary,10,Battlecry,,12,,,True,Bernie Kang,Dragon,Outrora um nobre dragão chamado Neltharion Asa da Morte enlouqueceu e despedaçou Azeroth antes de ser derrotado. Problemas com o papai?,True,,
Minion,Classic,5,CS2_161,Assassino de Corvoforte,<b>Furtividade</b>,Alliance,Rare,7,Stealth,,7,,,True,Ralph Horsley,,É só mandar um pacote com um nome e dez mil de ouro. Ele cuida do resto.,,,
Minion,Classic,1,EX1_522,Assassino Paciente,<b>Furtividade</b>. Destrua qualquer lacaio atingido por este lacaio.,Neutral,Epic,2,Poisonous|Stealth,,1,Rogue,,True,Ben Olson,,Ele não é tão paciente assim. Só demora um pouco para aparecer alguém que ele é capaz de alcançar.,,,
Minion,Classic,2,EX1_044,Aventureiro em Missão,Sempre que você jogar um card receba +1/+1.,Alliance,Rare,3,,,2,,,True,Attila Adorjany,,&bdquo;Alguém aí tem peles de javali sobrando?&bdquo;,,,
Minion,Classic,5,EX1_110t,Baine Casco Sangrento,,,Legendary,4,,,4,,,,,,,True,,
Enchantment,Classic,,EX1_382e,Baixem as armas!,Ataque alterado para 1.,,,,,,,Paladin,,,,,,,,
Enchantment,Classic,,EX1_014te,Bananas,Tem +1/+1.,,,,,,,,,,,,,,,
Spell,Classic,,EX1_014t,Bananas,Conceda +1/+1 a um lacaio.,,,1,,,,,,,,,,,,
Minion,Classic,1,EX1_131t,Bandido Défias,,Neutral,,1,,,2,Rogue,,,,,,,,
Minion,Classic,5,EX1_249,Barão Geddon,No final do seu turno cause 2 de dano a TODOS os outros personagens.,Neutral,Legendary,7,,,7,,,True,Ian Ameling,,O Barão Geddon era o primeiro tenente de Ragnaros até que ele ficou QUEIMADO com o chefe.,True,,
Spell,Classic,,EX1_289,Barreira de Gelo,<b>Segredo:</b> Quando seu herói for atacado receba 8 de Armadura.,Neutral,Common,3,Secret,,,Mage,,True,Alex Garner,,Este é o Grau 1. O Grau 2 é Barreira de Achocolatado.,,,
Enchantment,Classic,,NEW1_017e,Barriga Cheia,+2/+2. Cheia de Murloc.,,,,,,,,,,,,,,,
Spell,Classic,,EX1_391,Batida,Cause $2 de dano a um lacaio. Se ele sobreviver compre um card.,Neutral,Common,2,,,,Warrior,,True,E.M. Gist,,&bdquo;Dun da dun dun da dun&bdquo;: se você ouvir um ogro cantando isso é tarde demais.,,,
Enchantment,Classic,,EX1_531e,Bem Alimentado,Ataque e Vida aumentados.,,,,,,,Hunter,,,,,,,,
Spell,Classic,,EX1_363,Bênção de Sabedoria,Escolha um lacaio. Sempre que ele atacar compre um card.,,Common,1,,,,Paladin,,True,Chippy,,Aparentemente com sabedoria vem o conhecimento de que você provavelmente deveria atacar em todos os turnos.,,,
Enchantment,Classic,,EX1_363e2,Bênção de Sabedoria,Quando este lacaio atacar o inimigo comprará um card.,,,,,,,Paladin,,,,,,,,
Enchantment,Classic,,EX1_363e,Bênção de Sabedoria,Quando este lacaio atacar o jogador que o abençoou compra um card.,,,,,,,Paladin,,,,,,,,
Enchantment,Classic,,EX1_604o,Berserk,Ataque aumentado.,,,,,,,Warrior,,,,,,,,
Minion,Classic,3,EX1_393,Berserker Amani,<b>Enfurecer:</b> +3 de Ataque.,Neutral,Common,2,Enrage,,2,,,True,Chippy,,Se um berserker Amani perguntar &bdquo;Tá olhando pra mim?!&bdquo; a resposta correta é Tô não véi&bdquo;.,,,
Minion,Classic,4,EX1_604,Berserker Espumante,Sempre que um lacaio receber dano receba +1 de Ataque.,Neutral,Rare,3,,,2,Warrior,,True,Simon Bisley,,Ele era contador antes de tentar ser um berserker.,,,
Enchantment,Classic,,EX1_509e,Blarghghl,Ataque aumentado.,,,,,,,,,,,,,,,
Enchantment,Classic,,EX1_295o,Bloco de Gelo,Seu herói fica <b>Imune</b> até o final do turno.,,,,OneTurnEffect,,,Mage,,,,,,,,
Spell,Classic,,EX1_295,Bloco de Gelo,<b>Segredo:</b> Quando seu herói receber dano fatal ignore-o e fique <b>Imune</b> até o fim do turno.,Neutral,Epic,3,Secret,,,Mage,,True,Carl Frank,,Gelo é bom e basta!,,,
Minion,Classic,2,EX1_082,Bombardeiro Louco,<b>Grito de Guerra:</b> Cause 3 de dano divididos aleatoriamente entre todos os outros personagens.,Alliance,Common,2,Battlecry,,3,,,True,Mike Sass,,Ele não é tão louco assim. Só não toma tanto cuidado com os explosivos quanto deveria.,,,
Enchantment,Classic,,NEW1_036e,Brado de Comando,Não podem ser reduzidos a menos de 1 de Vida neste turno.,,,,OneTurnEffect,,,Warrior,,,,,,,,
Spell,Classic,,NEW1_036,Brado de Comando,A Vida de seus lacaios não pode ser reduzida a menos de 1 neste turno. Compre um card.,,Rare,2,,,,Warrior,,True,Wayne Reynolds,,Esmaga geral! Esmaga geral! Esmaga geral! — Dica para guerreiros em treinamento,,,
Enchantment,Classic,,NEW1_036e2,Brado de Comando,A Vida de seus lacaios não pode ser reduzida a menos de 1 neste turno.,,,,OneTurnEffect,,,Warrior,,,,,,,,
Spell,Classic,,EX1_407,Briga,Destrua todos os lacaios menos um. <i>(escolhido aleatoriamente)</i>,Neutral,Epic,5,,,,Warrior,,True,Wayne Reynolds,,Você sabe a primeira regra do Clube da Briga?,,,
Minion,Classic,2,EX1_005,Caçador Profissional,<b>Grito de Guerra:</b> Destrua um lacaio com 7 ou mais de Ataque.,,Epic,3,Battlecry,,4,,,True,Chris Seaman,,Meros demossauros não o apetecem mais. Logo ele vai tentar capturar Onyxia apenas com uma Lâmina Krol cega.,,,
Minion,Classic,5,EX1_110,Caerne Casco Sangrento,<b>Último Suspiro:</b> Evoque Baine Casco Sangrento 4/5.,Alliance,Legendary,6,Deathrattle,,4,,,True,Wayne Reynolds,,Caerne foi morto por Garrosh... então não coloque esse cara em um deck de Guerreiro. Não seja insensível.,True,,
Enchantment,Classic,,EX1_355e,Campeão Abençoado,O Ataque do seu lacaio foi dobrado.,,,,,,,Paladin,,,,,,,,
Spell,Classic,,EX1_355,Campeão Abençoado,Dobre o Ataque de um lacaio.,,Rare,5,,,,Paladin,,True,Tyler Walpole,,Este card causa o dobro da confusão MAIS o dobro de diversão.,,,
Enchantment,Classic,,tt_004o,Canibalizar,Ataque aumentado.,,,,,,,,,,,,,,,
Minion,Classic,1,EX1_538t,Cão,<b>Investida</b>,,,1,Charge,,1,Hunter,,,,Beast,,,,
Minion,Classic,2,EX1_603,Capataz Cruel,<b>Grito de Guerra:</b> Cause 1 de dano a um lacaio e conceda-lhe +2 de Ataque.,Neutral,Common,2,Battlecry,,2,Warrior,,True,Phroilan Gardner,,&bdquo;Vou precisar que você venha trabalhar no domingo.&bdquo; — Capataz Cruel,,,
Minion,Classic,3,NEW1_027,Capitão dos Mares do Sul,Seus outros Piratas têm +1/+1.,,Epic,3,Aura,,3,,,True,Ken Steacy,Pirate,Quando ele já tiver pilhado o suficiente ele vai mandar fazer um chapéu de capitão enorme. Rola uma certa invejinha de chapéus aí.,,,
Minion,Classic,4,NEW1_024,Capitão Peleverde,<b>Grito de Guerra:</b> Conceda +1/+1 à sua arma.,,Legendary,5,Battlecry,,5,,,True,Dan Scott,Pirate,Ele estava <i>pertinho assim</i> de bater um Arrojo enorme contra o porto de Ventobravo. Ah se não fossem aqueles garotos intrometidos!!,True,,
Enchantment,Classic,,EX1_611e,Capturado,Ficará <b>Congelado</b> novamente no início do próximo turno.,,,,,,,Hunter,,,,,,,,
Minion,Classic,2,NEW1_017,Caranguejo Faminto,<b>Grito de Guerra:</b> Destrua um murloc e receba +2/+2.,,Epic,1,Battlecry,,1,,,True,Jaemin Kim,Beast,Murloc. É isso que tem pra janta.,,,
Minion,Classic,3,tt_004,Carniçal Devora-carne,Sempre que um lacaio morrer receba +1 de Ataque.,Neutral,Common,3,,,2,,,True,Alex Horley Orlandelli,,Devora-carne é um nome injusto. Na verdade não tem muito mais coisas para ele comer.,,,
Minion,Classic,4,EX1_405,Carrega-escudo,<b>Provocar</b>,Neutral,Common,1,Taunt,,0,,,True,Carl Critchlow,,Você já reparou no tamanho dos escudos nesse jogo? Não é um trabalho fácil.,,,
Minion,Classic,4,CS2_151,Cavaleiro do Punho de Prata,<b>Grito de Guerra:</b> Evoque um Escudeiro 2/2.,Alliance,Common,5,Battlecry,,4,,,True,Matt Starbuck,,É bom ser um cavaleiro. Já ser escudeiro de um nem tanto.,,,
Minion,Classic,3,EX1_590,Cavaleiro Sangrento,<b>Grito de Guerra:</b> Todos os lacaios perdem <b>Escudo Divino</b>. Receba +3/+3 para cada Escudo perdido.,Neutral,Epic,3,Battlecry,,3,,,True,Trent Kaniuga,,Os Cavaleiros Sangrentos recebem seus poderes sagrados da Nascente do Sol que NÃO é um lugar para tomar banho.,,,
Minion,Classic,8,EX1_573,Cenarius,<b>Escolha Um</b> - Conceda +2/+2 aos seus outros lacaios ou evoque dois Arvorosos 2/2 com <b>Provocar</b>.,Neutral,Legendary,9,,,5,Druid,,True,Alex Horley Orlandelli,,Sim ele é um semideus. Não ele não precisa usar uma camisa.,True,,
Enchantment,Classic,,EX1_561e,Chama de Alexstrasza,Vida definida para 15.,,,,,,,,,,,,,,,
Spell,Classic,,EX1_303,Chama Sombria,Destrua um lacaio aliado e cause o dano de ataque dele a todos os lacaios inimigos.,Neutral,Rare,4,AffectedBySpellPower,,,Warlock,,True,Dave Kendall,,Comece jogando um lacaio poderoso e jogue uma Chama Sombria pra diversão começar!,,,
Minion,Classic,2,EX1_509,Chamaré Murloc,Sempre que um Murloc for evocado receba +1 de Ataque.,Neutral,Rare,1,,,1,,,True,Jaemin Kim,Murloc,Esse carinha fica insanamente forte nos encontros de família.,,,
Enchantment,Classic,,EX1_603e,Chicoteado até Obedecer,+2 de Ataque,,,,,,,Warrior,,,,,,,,
Spell,Classic,,EX1_245,Choque Terreno,<b>Silencie</b> um lacaio e cause $1 de dano a ele.,Neutral,Common,1,Silence,,,Shaman,,True,Kevin Chin,,Choque Terreno? Não deveria ser &bdquo;Choque Azerothiano&bdquo;?,,,
Spell,Classic,,NEW1_007a,Chuva Estelar,Cause $2 de dano a todos os lacaios inimigos.,,,,,,,Druid,,,,,,,,
Spell,Classic,,NEW1_007,Chuva Estelar,<b>Escolha Um</b> - Cause $5 de dano a um lacaio ou $2 de dano a todos os lacaios inimigos.,,Rare,5,,,,Druid,,True,Richard Wright,,O céu está caindo? Sim está caindo sim.,,,
Spell,Classic,,NEW1_007b,Chuva Estelar,Cause $5 de dano a um lacaio.,,,,,,,Druid,,,,,,,,
Spell,Classic,,EX1_621,Círculo de Cura,Restaure #4 de Vida de TODOS os lacaios.,,Common,0,,,,Priest,,True,Daarken,,Não é um círculo na verdade.,,,
Minion,Classic,3,EX1_021,Clarividente de Thrallmar,<b>Fúria dos Ventos</b>,Horde,Common,3,Windfury,,2,,,True,Efrem Palacios,,Ele está alocado na Península Fogo do Inferno mas tem esperanças de ser transferido para algum lugar mais perto de Orgrimmar... ou em qualquer lugar que o chão não esteja pegando fogo.,,,
Minion,Classic,3,CS2_117,Clarividente Telúrico,<b>Grito de Guerra:</b> Restaure 3 de Vida.,,Common,3,Battlecry,,3,,,True,Alex Horley Orlandelli,,Ele vê tudo claramente e nem precisa de óculos!,,,
Minion,Classic,1,EX1_554t,Cobra,,Neutral,Common,0,,,1,Hunter,,,,Beast,,,,
Minion,Classic,2,EX1_067,Comandante Argênteo,<b>Investida</b> <b>Escudo Divino</b>,Neutral,Rare,6,Charge|Divine Shield,,4,,,True,James Ryman,,A Aurora Argêntea continua sua vigília contra o Flagelo assim como contra pessoas que furam fila nos cafés.,,,
Enchantment,Classic,,EX1_334e,Comando Negro,Este lacaio trocou de controlador neste turno.,,,,,,,Priest,,,,,,,,
Enchantment,Classic,,NEW1_024o,Comando Peleverde,+1/+1.,,,,,,,,,,,,,,,
Spell,Classic,,EX1_275,Cone de Frio,<b>Congele</b> um lacaio e os lacaios vizinhos causando-lhes $1 de dano.,Neutral,Common,4,Freeze,,,Mage,,True,Leo Che,,Os magos do Kirin Tor já lançavam Cubos de Frio muitos anos antes de os Cones entrarem na moda há uns 90 anos.,,,
Enchantment,Classic,,EX1_304e,Consumir,Atributos aumentados.,,,,,,,Warlock,,,,,,,,
Spell,Classic,,EX1_287,Contrafeitiço,<b>Segredo:</b> Quando seu oponente lançar um feitiço <b>Anule</b>-o.,Neutral,Rare,3,Secret,,,Mage,,True,Jason Chan,,Qual a diferença entre um mago que está usando Contrafeitiço e um mago que não está? O que não está vai levar um Ignimpacto na cara.,,,
Spell,Classic,,EX1_379,Contrição,<b>Segredo:</b> Quando seu oponente jogar um lacaio reduza a Vida dele para 1.,Neutral,Common,1,Secret,,,Paladin,,True,Gonzalo Ordonez,,O arrependimento frequentemente antecede a aniquilação. Curioso.,,,
Enchantment,Classic,,EX1_379e,Contrição,Vida reduzida a 1.,,,,,,,Paladin,,,,,,,,
Enchantment,Classic,,EX1_tk31,Controlando a mente,,Neutral,Common,,Summoned,,,Priest,,,,,,,,
Minion,Classic,2,NEW1_025,Corsário da Vela Sangrenta,<b>Grito de Guerra:</b> Remova 1 de Durabilidade da arma do seu oponente.,,Rare,1,Battlecry,,1,,,True,Randy Gallegos,Pirate,Todo pirata usa os mesmos quatro dígitos para acessar Caixas Automáticos de Ouro. É o &bdquo;Código Pirata&bdquo;.,,,
Minion,Classic,3,NEW1_022,Corsário Terrível,<b>Provocar</b>. Custa (1) a menos por Ataque da sua arma.,,Common,4,Taunt,,3,,,True,Trent Kaniuga,Pirate,&bdquo;Iaarrrr&bdquo; é uma palavra pirata que quer dizer &bdquo;Olá milorde&bdquo;.,,,
