MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,ELITE,RARITY,RACE,COLLECTIBLE,ARTIST,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,DURABILITY,FACTION
,Blackrock Mountain,Ativar Arcanotron,<b>Poder Heroico</b>Ativar Arcanotron!,,2,,Hero Power,BRMA14_2,,,,,,,,,,,
,Blackrock Mountain,Ativar Arcanotron,<b>Poder Heroico</b>Ativar Arcanotron!,,0,,Hero Power,BRMA14_2H,,,,,,,,,,,
,Blackrock Mountain,Ativar Eléctron,<b>Poder Heroico</b>Ativar Eléctron!,,4,,Hero Power,BRMA14_6H,,,,,,,,,,,
,Blackrock Mountain,Ativar Eléctron,<b>Poder Heroico</b>Ativar Eléctron!,,6,,Hero Power,BRMA14_6,,,,,,,,,,,
,Blackrock Mountain,Ativar Magmatron,<b>Poder Heroico</b>Ativar Magmatron!,,6,,Hero Power,BRMA14_8H,,,,,,,,,,,
,Blackrock Mountain,Ativar Magmatron,<b>Poder Heroico</b>Ativar Magmatron!,,8,,Hero Power,BRMA14_8,,,,,,,,,,,
,Blackrock Mountain,Ativar Toxitron,<b>Poder Heroico</b>Ativar Toxitron!,,2,,Hero Power,BRMA14_4H,,,,,,,,,,,
,Blackrock Mountain,Ativar Toxitron,<b>Poder Heroico</b>Ativar Toxitron!,,4,,Hero Power,BRMA14_4,,,,,,,,,,,
,Blackrock Mountain,Ativar!,<b>Poder Heroico</b>Ative um Tron aleatório.,,2,,Hero Power,BRMA14_10H,,,,,,,,,,,
,Blackrock Mountain,Ativar!,<b>Poder Heroico</b>Ative um Tron aleatório.,,4,,Hero Power,BRMA14_10,,,,,,,,,,,
,Blackrock Mountain,Atramedes,,,,30,Hero,BRMA16_1H,,,,,,,,,,,
,Blackrock Mountain,Atramedes,,,,30,Hero,BRMA16_1,,,,,,,,,,,
,Blackrock Mountain,Barão Geddon,,,,30,Hero,BRMA05_1,,,,,,,,,,,
,Blackrock Mountain,Barão Geddon,,,,50,Hero,BRMA05_1H,,,,,,,,,,,
Taunt,Blackrock Mountain,Beberrão,<b>Provocar</b>,1,1,1,Minion,BRMA01_4t,,,,,,,,,,,
,Blackrock Mountain,Bomba Viva,No turno de Geddon cause 5 de dano a tudo seu.,,,,Enchantment,BRMA05_3e,,,,,,,,,,,
,Blackrock Mountain,Bomba Viva,Escolha um lacaio inimigo. Se ele viver até seu próximo turno cause $10 de dano a todos os inimigos.,,3,,Spell,BRMA05_3H,,,,,,,,,,,
,Blackrock Mountain,Bomba Viva,No turno de Geddon cause 10 de dano a tudo seu.,,,,Enchantment,BRMA05_3He,,,,,,,,,,,
,Blackrock Mountain,Bomba Viva,Escolha um lacaio inimigo. Se ele viver até seu próximo turno cause $5 de dano a todos os inimigos.,,4,,Spell,BRMA05_3,,,,,,,,,,,
,Blackrock Mountain,Cego de Raiva,Ataque aumentado.,,,,Enchantment,BRMA10_6e,,,,,,,,,,,
,Blackrock Mountain,Chefe da Gangue dos Diabretes,Sempre que este lacaio receber dano evoque um Diabrete 1/1.,2,3,4,Minion,BRM_006,,Common,Demon,True,Steve Prescott,Pode ser criado após a derrota do Senescal Executus no Núcleo Derretido.,A gangue dos diabretes se diverte entrando em Ventobravo para pichar &bdquo;Só Ragnaros purifica&bdquo; na Torre dos Magos.,Desbloqueado após a derrota do Senescal Executus no Núcleo Derretido.,Warlock,,
,Blackrock Mountain,Choque de Lava,Cause $2 de dano.Desbloqueie Cristais de Mana <b>Sobrecarregados</b>.,,2,,Spell,BRM_011,,Rare,,True,Zoltan Boros,Pode ser criado após a conclusão do Desafio do Xamã na Montanha Rocha Negra.,Bolo de chocolava é tão delicioso que chega a ser chocolante quer dizer chocante.,Desbloqueado após a conclusão do Desafio do Xamã da Montanha Rocha Negra.,Shaman,,
OneTurnEffect,Blackrock Mountain,Choque de Lava,Cards jogados por você neste turno não causam <b>Sobrecarga</b>.,,,,Enchantment,BRM_011t,,,,,,,,,Shaman,,
Windfury,Blackrock Mountain,Cinzas Rodopiantes,<b>Fúria dos Ventos</b>,4,0,5,Minion,BRMA13_7,,,,,,,,,,,
Battlecry,Blackrock Mountain,Consorte Dragônica,<b>Grito de Guerra:</b> O próximo Dragão que você jogar custa (2) a menos.,5,5,5,Minion,BRM_018,,Rare,Dragon,True,Raymond Swanland,Pode ser criado após a derrota do General Drakkisath no Pico da Rocha Negra.,Todo mundo gosta de dormir de conchinha. Inclusive feras dragônicas gigantescas cobertas de escamas dotadas de alto poder destrutivo.,Desbloqueado após a derrota do General Drakkisath no Pico da Rocha Negra.,Paladin,,
,Blackrock Mountain,Constructo Ósseo,,4,1,2,Minion,BRMA17_6H,,,,,,,,,,,
,Blackrock Mountain,Constructo Ósseo,,2,1,1,Minion,BRMA17_6,,,,,,,,,,,
,Blackrock Mountain,Coração Flamejante,Compre 2 cards.Receba 4 de Armadura.,,3,,Spell,BRMA_01,,,,,,,,,,,
,Blackrock Mountain,Coren Cervatroz,,,,30,Hero,BRMA01_1H,,,,,,,,,,,
,Blackrock Mountain,Coren Cervatroz,,,,30,Hero,BRMA01_1,,,,,,,,,,,
,Blackrock Mountain,Cromaggus,,,,30,Hero,BRMA12_1,,,,,,,,,,,
,Blackrock Mountain,Cromaggus,Sempre que comprar um card coloque outra cópia na sua mão.,6,8,8,Minion,BRM_031,True,Legendary,Dragon,True,Todd Lockwood,Pode ser criado após a conclusão do Covil Asa Negra.,A cabeça direita e a esquerda nunca concordam no que fazer para o jantar então acabam comendo miojo de novo.,Desbloqueado após a conclusão do Covil Asa Negra.,,,
,Blackrock Mountain,Cromaggus,,,,60,Hero,BRMA12_1H,,,,,,,,,,,
,Blackrock Mountain,Dente de Dragão,Sempre que o oponente jogar um card receba +1 de Ataque.,0,1,,Weapon,BRMA16_5,,,,,,,,,,6,
OneTurnEffect,Blackrock Mountain,Derreter,Ataque alterado para 0 neste turno.,,,,Enchantment,BRM_001e,,,,,,,,,Priest,,
,Blackrock Mountain,Desmontar,<b>Poder Heroico</b>Evoque Gyth. Receba um novo Poder Heroico.,,4,,Hero Power,BRMA09_5,,,,,,,,,,,
,Blackrock Mountain,Desmontar,<b>Poder Heroico</b>Evoque Gyth. Receba um novo Poder Heroico.,,4,,Hero Power,BRMA09_5H,,,,,,,,,,,
Battlecry,Blackrock Mountain,Desvirtuador Asa Negra,<b>Grito de Guerra</b>: Se tiver um Dragão na mão cause 3 de dano.,5,5,4,Minion,BRM_034,,Common,,True,Greg Staples,Pode ser criado após a derrota de Maloriak no Laboratório Oculto.,Ele ganhou esse nome do próprio Asa Negra depois de descolar umas HQs e uns discos de rock.,Desbloqueado após a derrota de Maloriak no Laboratório Oculto.,,,Neutral
Deathrattle,Blackrock Mountain,Devoto do Fogo,<b>Último Suspiro:</b> Cause 3 de dano ao herói inimigo para cada Devoto do Fogo morto neste turno.,0,0,5,Minion,BRMA04_3H,,,,,,,,,,,
Deathrattle,Blackrock Mountain,Devoto do Fogo,<b>Último Suspiro:</b> Cause 1 de dano ao herói inimigo para cada Devoto do Fogo morto neste turno.,0,0,5,Minion,BRMA04_3,,,,,,,,,,,
,Blackrock Mountain,Diabrete,,1,1,1,Minion,BRM_006t,,,Demon,,,,,,Warlock,,
AffectedBySpellPower,Blackrock Mountain,Disparo Veloz,Cause $3 de dano.Se sua mão estiver vazia compre um card.,,2,,Spell,BRM_013,,Common,,True,Jonboy Meyers,Pode ser criado após a conclusão do Desafio do Caçador na Montanha Rocha Negra.,Han atirou primeiro.,Desbloqueado após a conclusão do Desafio do Caçador da Montanha Rocha Negra.,Hunter,,
,Blackrock Mountain,Draco Cromático,,7,4,3,Minion,BRMA10_5,,,,,,,,,,,
,Blackrock Mountain,Draco Cromático,,7,4,7,Minion,BRMA10_5H,,,,,,,,,,,
,Blackrock Mountain,Draco Vulcânico,Custa (1) a menos para cada lacaio morto neste turno.,6,6,4,Minion,BRM_025,,Common,Dragon,True,Lucas Graciano,Pode ser criado após a derrota do Sistema de Defesa Omnitron no Laboratório Oculto.,Os dracos vulcânicos cospem lava em vez de fogo. O vendedor de antiácido do Posto de Tório ganha uma nota preta com eles.,Desbloqueado após a derrota do Sistema de Defesa Omnitron no Laboratório Oculto.,,,
,Blackrock Mountain,Draconiano,,5,1,4,Minion,BRMA09_4Ht,,,Dragon,,,,,,,,
,Blackrock Mountain,Draconiano,,3,1,1,Minion,BRMA09_4t,,,Dragon,,,,,,,,
,Blackrock Mountain,Draconiano Cromático,Sempre que o adversário lançar um feitiço receba +2/+2.,2,2,3,Minion,BRMA12_8t,,,Dragon,,,,,,,,
,Blackrock Mountain,Draconiano Cromático,,,,30,Hero,BRMA12_9,,,,,,,,,,,
Battlecry,Blackrock Mountain,Dragão Faminto,<b>Grito de Guerra:</b> Evoque um lacaio aleatório com 1 de custo para o seu oponente.,5,4,6,Minion,BRM_026,,Common,Dragon,True,John Polidora,Pode ser criado após a derrota de Cromaggus no Covil Asa Negra.,Levar um Dragão Faminto pra uma churrascaria rodízio é uma boa ideia?,Desbloqueado após a derrota de Cromaggus no Covil Asa Negra.,,,
,Blackrock Mountain,Dragonete,,1,1,1,Minion,BRMA09_2t,,,Dragon,,,,,,,,
,Blackrock Mountain,Dragonete,,2,1,2,Minion,BRMA09_2Ht,,,Dragon,,,,,,,,
,Blackrock Mountain,Dragonete,,1,1,1,Minion,BRM_004t,,,,,,,,,,,
Battlecry,Blackrock Mountain,Dragonete Crepuscular,<b>Grito de Guerra:</b> Se você tiver um Dragão na mão receba +2 pontos de vida.,2,1,1,Minion,BRM_004,,Common,Dragon,True,Sam Nielson,Pode ser criado após a conclusão do Desafio do Sacerdote na Montanha Rocha Negra.,Os dragonetes crepusculares são basicamente vampiros de magia. Apesar disso não têm nada a ver com nenhum sucesso das livrarias.,Desbloqueado após a conclusão do Desafio do Sacerdote da Montanha Rocha Negra.,Priest,,
,Blackrock Mountain,Dragonete Negro,,2,1,1,Minion,BRM_022t,,Common,Dragon,,Jaemin Kim,,,,,,
,Blackrock Mountain,Druida da Chama,,2,3,5,Minion,BRM_010t2,,Common,Beast,,Hideaki Takamura,,,,Druid,,
,Blackrock Mountain,Druida da Chama,,5,3,2,Minion,BRM_010t,,Common,Beast,,Ben Zhang,,,,Druid,,
,Blackrock Mountain,Druida da Chama,<b>Escolha Um</b> - Transforme num lacaio 5/2; ou num lacaio 2/5.,2,3,2,Minion,BRM_010,,Common,,True,Stanley Lau,Pode ser criado após a derrota de Garr no Núcleo Derretido.,Os druidas que passavam muito tempo combatendo em Nortúndria eram facilmente seduzidos por Ragnaros. Um chocolate quente bastava.,Desbloqueado após a derrota de Garr no Núcleo Derretido.,Druid,,
,Blackrock Mountain,Ecolocalizar,<b>Poder Heroico</b>Equipe uma arma que cresce à medida que seu oponente joga cards.,,1,,Hero Power,BRMA16_2,,,,,,,,,,,
,Blackrock Mountain,Ecolocalizar,<b>Poder Heroico</b>Equipe uma arma que cresce à medida que seu oponente joga cards.,,0,,Hero Power,BRMA16_2H,,,,,,,,,,,
Aura,Blackrock Mountain,Eléctron,Todos os feitiços custam (3) a menos.,5,3,5,Minion,BRMA14_7,True,Legendary,Mech,,,,,,,,
,Blackrock Mountain,Eléctron,Todos os feitiços custam (3) a menos.,6,3,6,Minion,BRMA14_7H,True,Legendary,Mech,,,,,,,,
,Blackrock Mountain,Em Chamas!,Ataque aumentado.,,,,Enchantment,BRM_012e,,,,,,,,,,,
Battlecry,Blackrock Mountain,Esmagador Draconídeo,<b>Grito de Guerra:</b> Se seu adversário tiver 15 ou menos pontos de vida receba +3/+3.,6,6,6,Minion,BRM_024,,Common,Dragon,True,Slawomir Maniak,Pode ser criado após a derrota de Atramedes no Laboratório Oculto.,Os draconídeos ficaram com as piores partes dos dragões mas em forma de humanoide. Pra que isso gente?,Desbloqueado após a derrota de Atramedes no Laboratório Oculto.,,,
Taunt,Blackrock Mountain,Espectador Ferro Negro,<b>Provocar</b>,1,1,1,Minion,BRMA02_2t,,,,,,,,,,,
,Blackrock Mountain,Essência da Vermelha,<b>Poder Heroico</b>Cada jogador compra 2 cards.,,0,,Hero Power,BRMA11_2,,,,,,,,,,,
,Blackrock Mountain,Essência da Vermelha,<b>Poder Heroico</b>Cada jogador compra 3 cards. Receba um Cristal de Mana.,,0,,Hero Power,BRMA11_2H,,,,,,,,,,,
,Blackrock Mountain,Estou te ouvindo...,Ataque aumentado.,,,,Enchantment,BRMA16_5e,,,,,,,,,,,
,Blackrock Mountain,Feiticeiro Draconiano,Sempre que você alvejar este lacaio com um feitiço receba +1/+1.,3,4,5,Minion,BRM_020,,Common,Dragon,True,Edouard Guiton & Stuido HIVE,Pode ser criado após a derrota de Nefarian no Laboratório Oculto.,Os Feiticeiros Draconianos dizem &bdquo;Rapá feitiço é com o papai aqui&bdquo; e todo mundo diz &bdquo;eita.&bdquo;,Desbloqueado após a derrota de Nefarian no Laboratório Oculto.,,,
Battlecry,Blackrock Mountain,Ferro Negro Bisbilhoteiro,<b>Grito de Guerra:</b> Cause 2 de dano a todos os lacaios inimigos ilesos.,4,5,3,Minion,BRM_008,,Rare,,True,Eric Braddock,Pode ser criado após a conclusão do Desafio do Ladino na Montanha Rocha Negra.,Ele adora bisbilhotar. Bisbilhota por horas a fio pelo puro prazer da coisa mas os amigos acham que ele vai acabar se queimando.,Desbloqueado após a conclusão do Desafio do Ladino da Montanha Rocha Negra.,Rogue,,
Battlecry,Blackrock Mountain,Filho do Fogo,<b>Grito de Guerra:</b> Cause 6 de dano.,6,0,3,Minion,BRMA13_5,,,,,,,,,,,
Battlecry,Blackrock Mountain,Flamiguarda Destruidor,<b>Grito de Guerra:</b> Receba 1-4 de Ataque. <b>Sobrecarga:</b> (1),3,4,6,Minion,BRM_012,,Common,,True,Paul Mafayon,Pode ser criado após a derrota de Lorde Victor Nefarius no Covil Asa Negra.,Ragnaros entrevista centenas de Elementais do Fogo para o cargo de Destruidor mas poucos têm o ardor necessário.,Desbloqueado após a derrota de Lorde Victor Nefarius no Covil Asa Negra.,Shaman,,
OneTurnEffect,Blackrock Mountain,Força do Dragão,Custa (3) a menos neste turno.,,,,Enchantment,BRM_003e,,,,,,,,,Mage,,
,Blackrock Mountain,Forma de Falcão de Fogo,Transforme num lacaio 2/5.,,,,Spell,BRM_010b,,Common,Beast,,,,,,Druid,,
,Blackrock Mountain,Forma de Gato de Fogo,Transforme num lacaio 5/2.,,,,Spell,BRM_010a,,Common,Beast,,,,,,Druid,,
,Blackrock Mountain,Forma Verdadeira,<b>Poder Heroico</b>Que comecem os jogos!,,1,,Hero Power,BRMA13_2H,,,,,,,,,,,
,Blackrock Mountain,Forma Verdadeira,<b>Poder Heroico</b>Que comecem os jogos!,,1,,Hero Power,BRMA13_2,,,,,,,,,,,
,Blackrock Mountain,Formação de Quadrilha,Escolha um lacaio. Embaralhe 3 cópias dele no seu deck.,,2,,Spell,BRM_007,,Common,,True,Jim Nelson,Pode ser criado após vencer a Arena Ferro Negro no Abismo Rocha Negra.,Se estiver pensando em visitar o Arroio da Lua é bom abrir o &bdquo;oio&bdquo;.,Desbloqueado após vencer a Arena Ferro Negro no Abismo Rocha Negra.,Rogue,,
,Blackrock Mountain,Freguês Carrancudo,Sempre que este lacaio sobreviver a dano evoque outro Freguês Carrancudo.,3,5,3,Minion,BRM_019,,Rare,,True,Bobby Chiu,Pode ser criado após vencer o Glutão Implacável no Abismo Rocha Negra.,Se você gosta de levar socos na fuça vem pro Glutão Implacável!,Desbloqueado após vencer o Glutão Implacável no Abismo Rocha Negra.,,,
Battlecry,Blackrock Mountain,Furiante do Núcleo,<b>Grito de Guerra:</b> Se sua mão estiver vazia receba +3/+3.,4,4,4,Minion,BRM_014,,Rare,Beast,True,Jomaro Kindred,Pode ser criado após a derrota do Grão-lorde Omokk no Pico da Rocha Negra.,Tem que ser caçador mesmo pra ter a pachorra de entrar num poço de lava e pegar um bicho feio assim pra levar pra casa e criar que nem bichinho de estimação.,Desbloqueado após a derrota do Grão-lorde Omokk no Pico da Rocha Negra.,Hunter,,
,Blackrock Mountain,Furiante Poderoso,+3/+3,,,,Enchantment,BRM_014e,,,,,,,,,Hunter,,
,Blackrock Mountain,Garr,,,,45,Hero,BRMA04_1H,,,,,,,,,,,
,Blackrock Mountain,Garr,,,,30,Hero,BRMA04_1,,,,,,,,,,,
,Blackrock Mountain,Garras de Violâminus,Sempre que um Ovo Corrompido morrer receba +1 de Ataque.,1,1,,Weapon,BRMA10_6,,,,,,,,,,5,
,Blackrock Mountain,Garras Longas,+3/+3.,,,,Enchantment,BRM_024e,,,,,,,,,,,
,Blackrock Mountain,General Drakkisath,,,,50,Hero,BRMA08_1H,,,,,,,,,,,
,Blackrock Mountain,General Drakkisath,,,,50,Hero,BRMA08_1,,,,,,,,,,,
,Blackrock Mountain,Gongo Reveberante,Destrua a arma do seu oponente.,,1,,Spell,BRMA16_4,,,,,,,,,,,
,Blackrock Mountain,Graça Imperial,Custa (1) a menos.,,,,Enchantment,BRM_028e,,,,,,,,,,,
,Blackrock Mountain,Grão-lorde Omokk,,,,30,Hero,BRMA07_1H,,,,,,,,,,,
,Blackrock Mountain,Grão-lorde Omokk,,,,30,Hero,BRMA07_1,,,,,,,,,,,
,Blackrock Mountain,Gyth,,8,3,4,Minion,BRMA09_5t,True,Legendary,Dragon,,,,,,,,
,Blackrock Mountain,Gyth,,8,3,8,Minion,BRMA09_5Ht,True,Legendary,Dragon,,,,,,,,
,Blackrock Mountain,HORA DE ESMAGAR,Cause $5 de dano a um inimigo aleatório. Receba 5 de Armadura.,,4,,Spell,BRMA07_3,,,,,,,,,,,
,Blackrock Mountain,Imperador Thaurissan,,,,30,Hero,BRMA03_1H,,,,,,,,,,,
,Blackrock Mountain,Imperador Thaurissan,,,,30,Hero,BRMA03_1,,,,,,,,,,,
,Blackrock Mountain,Imperador Thaurissan,No fim do seu turno reduza em (1) o custo dos cards na sua mão.,5,6,5,Minion,BRM_028,True,Legendary,,True,Wayne Reynolds,Pode ser criado após a conclusão do Abismo Rocha Negra.,Seu segundo maior arrependimento é ter evocado um Senhor do Fogo maligno que escravizou todo seu povo.,Desbloqueado após a conclusão do Abismo Rocha Negra.,,,
,Blackrock Mountain,Incendiar Mana,<b>Poder Heroico</b>Cause 5 de dano ao herói inimigo se ele tiver Mana.,,0,,Hero Power,BRMA05_2,,,,,,,,,,,
,Blackrock Mountain,Incendiar Mana,<b>Poder Heroico</b>Cause 10 de dano ao herói inimigo se ele tiver Mana.,,0,,Hero Power,BRMA05_2H,,,,,,,,,,,
,Blackrock Mountain,Incubação,Vida aumentada.,,,,Enchantment,BRMA10_3e,,,,,,,,,,,
AffectedBySpellPower,Blackrock Mountain,Ira Demoníaca,Cause $2 de dano a todos os lacaios menos aos Demônios.,,3,,Spell,BRM_005,,Rare,,True,Raymond Swanland,Pode ser criado após a conclusão do Desafio do Bruxo na Montanha Rocha Negra.,Na maior parte do tempo os demônios não sentem raiva. Jogando este card você dá aquele empurrãozinho necessário.,Desbloqueado após a conclusão do Desafio do Bruxo da Montanha Rocha Negra.,Warlock,,
,Blackrock Mountain,Lacaios Descarnados,<b>Poder Heroico</b>Evoque dois Constructos Ósseos 2/1.,,2,,Hero Power,BRMA17_5,,,,,,,,,,,
,Blackrock Mountain,Lacaios Descarnados,<b>Poder Heroico</b>Evoque dois Constructos Ósseos 4/2.,,2,,Hero Power,BRMA17_5H,,,,,,,,,,,
,Blackrock Mountain,Laceral Mão Negra,,,,30,Hero,BRMA09_1H,,,,,,,,,,,
Battlecry,Blackrock Mountain,Laceral Mão Negra,<b>Grito de Guerra:</b> Se tiver um Dragão na mão destrua um lacaio <b>Lendário</b>.,8,7,4,Minion,BRM_029,True,Legendary,,True,Alex Horley,Pode ser criado após a conclusão do Pico da Rocha Negra.,Laceral acreditando ser o verdadeiro Chefe Guerreiro da Horda fica botando a própria foto na página de &bdquo;Chefe Guerreiro da Horda&bdquo; na Wikipédia.,Desbloqueado após a conclusão do Pico da Rocha Negra.,,,
,Blackrock Mountain,Laceral Mão Negra,,,,30,Hero,BRMA09_1,,,,,,,,,,,
Taunt,Blackrock Mountain,Lava Viva,<b>Provocar</b>,6,0,6,Minion,BRMA13_6,,,,,,,,,,,
,Blackrock Mountain,LAVA!,Cause $2 de dano a todos os lacaios.,,2,,Spell,BRMA17_4,,,,,,,,,,,
,Blackrock Mountain,Leão de Chácara Ferro Negro,Ganha todas as Brigas.,4,6,8,Minion,BRMA01_3,,,,,,,,,,,
,Blackrock Mountain,Livre!,Seu próximo Dragão custa (2) a menos.,,,,Enchantment,BRM_018e,,,,,,,,,Paladin,,
,Blackrock Mountain,Lorde Victor Nefarius,,,,30,Hero,BRMA13_1H,,,,,,,,,,,
,Blackrock Mountain,Lorde Victor Nefarius,,,,30,Hero,BRMA13_1,,,,,,,,,,,
,Blackrock Mountain,Magia Selvagem,<b>Poder Heroico</b>Coloque um feitiço aleatório da classe do oponente na sua mão.,,1,,Hero Power,BRMA13_4,,,,,,,,,,,
,Blackrock Mountain,Magia Selvagem,<b>Poder Heroico</b>Coloque um feitiço aleatório da classe do oponente na sua mão.,,1,,Hero Power,BRMA13_4H,,,,,,,,,,,
Aura,Blackrock Mountain,Magmatron,Sempre que um jogador jogar um card Magmatron causa 2 de dano a ele.,7,5,7,Minion,BRMA14_9,True,Legendary,Mech,,,,,,,,
,Blackrock Mountain,Magmatron,Sempre que um jogador jogar um card Magmatron causa 2 de dano a ele.,8,5,8,Minion,BRMA14_9H,True,Legendary,Mech,,,,,,,,
Taunt,Blackrock Mountain,Magorja,<b>Provocar</b>,10,5,2,Minion,BRMA14_12,True,Legendary,,,,,,,,,
,Blackrock Mountain,Maloriak,,,,30,Hero,BRMA15_1,,,,,,,,,,,
,Blackrock Mountain,Maloriak,,,,30,Hero,BRMA15_1H,,,,,,,,,,,
,Blackrock Mountain,MIM ESMAGA,<b>Poder Heroico</b>Destrua um lacaio inimigo aleatório.,,0,,Hero Power,BRMA07_2H,,,,,,,,,,,
,Blackrock Mountain,MIM ESMAGA,<b>Poder Heroico</b>Destrua um lacaio inimigo ferido aleatório.,,1,,Hero Power,BRMA07_2,,,,,,,,,,,
Aura,Blackrock Mountain,Moira Barbabronze,O Poder Heroico de Thaurissan não pode ser usado.Só ataca lacaios com <b>Provocar</b>.,3,2,1,Minion,BRMA03_3H,,,,,,,,,,,
Aura,Blackrock Mountain,Moira Barbabronze,O Poder Heroico de Thaurissan não pode ser usado.Só ataca lacaios com <b>Provocar</b>.,1,2,3,Minion,BRMA03_3,,,,,,,,,,,
,Blackrock Mountain,Montinho!,<b>Poder Heroico</b>Coloque dois lacaios do seu deck e um do deck adversário no campo de batalha.,,0,,Hero Power,BRMA01_2H,,,,,,,,,,,
,Blackrock Mountain,Montinho!,<b>Poder Heroico</b>Coloque um lacaio de cada deck no campo de batalha.,,0,,Hero Power,BRMA01_2,,,,,,,,,,,
,Blackrock Mountain,MORRA INSETO!,<b>Poder Heroico</b>Cause 8 de dano a um inimigo aleatório.,,2,,Hero Power,BRM_027p,,,,,,,,,,,
AffectedBySpellPower,Blackrock Mountain,MORRA INSETO!,Cause $8 de dano a um inimigo aleatório.,,0,,Spell,BRMA13_8,,,,,,,,,,,
,Blackrock Mountain,MORRAM INSETOS!,<b>Poder Heroico</b>Causa 8 de dano a um inimigo aleatório. DUAS VEZES.,,2,,Hero Power,BRM_027pH,,,,,,,,,,,
,Blackrock Mountain,Mutação,<b>Poder Heroico</b>Descarte um card aleatório.,,1,,Hero Power,BRMA12_10,,,,,,,,,,,
,Blackrock Mountain,Mutação Cromática,Transforme um lacaio num Draconiano Cromático 2/2.,,2,,Spell,BRMA12_8,,,,,,,,,,,
Battlecry,Blackrock Mountain,Nefarian,<b>Grito de Guerra:</b> Adicione 2 feitiços aleatórios à sua mão <i>(da classe do seu adversário)</i>.,8,9,8,Minion,BRM_030,True,Legendary,Dragon,True,Ruan Jia,Pode ser criado após a conclusão do Laboratório Oculto.,Eles o chamam de Asa Negra porque ele é um dragão negro... e tem... asas.,Desbloqueado ao derrotar todos os chefes da Montanha Rocha Negra!,,,
,Blackrock Mountain,Nefarian,,,,30,Hero,BRMA13_3,,,,,,,,,,,
,Blackrock Mountain,Nefarian,,,,30,Hero,BRMA17_2,,,,,,,,,,,
,Blackrock Mountain,Nefarian,,,,30,Hero,BRMA13_3H,,,,,,,,,,,
,Blackrock Mountain,Nefarian,,,,30,Hero,BRMA17_2H,,,,,,,,,,,
,Blackrock Mountain,Nefarian,,,,30,Hero,BRMC_02,,,,,,,,,,,
,Blackrock Mountain,Nefarian Ataca!,<b>Poder Heroico</b>Nefarian faz chover fogo dos céus!,,0,,Hero Power,BRMA17_8,,,,,,,,,,,
,Blackrock Mountain,Nefarian Ataca!,<b>Poder Heroico</b>Nefarian faz chover fogo dos céus!,,0,,Hero Power,BRMA17_8H,,,,,,,,,,,
,Blackrock Mountain,O Alquimista,<b>Poder Heroico Passivo</b>O Ataque e a Vida dos lacaios são trocados.Seus lacaios recebem +2/+2.,,,,Hero Power,BRMA15_2H,,,,,,,,,,,
