SET,NAME,TEXT,COST,TYPE,ID,HEALTH,ARTIST,RARITY,ATTACK,RACE,MECHANICS,COLLECTIBLE,FACTION,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,ELITE,DURABILITY
Blackrock Mountain,부화장,<b>영웅 능력</b>모든 타락한 알에게 생명력을 +1 부여한 후 타락한 알을 하나 더 소환합니다.,0,Hero Power,BRMA10_3H,,,,,,,,,,,,,,
Blackrock Mountain,부화장,<b>영웅 능력</b>모든 타락한 알에게 생명력을 +1 부여한 후 타락한 알을 하나 더 소환합니다.,1,Hero Power,BRMA10_3,,,,,,,,,,,,,,
Blackrock Mountain,부활,이번 게임에서 죽은 아군 하수인 중에 무작위로 선택된 하수인 하나를 소환합니다.,2,Spell,BRM_017,,Luke Mancini,Rare,,,,True,,검은바위 나락의 제왕 타우릿산을 쓰러뜨린 후 제작 가능,던전에 들어간 나는 죽은 모험가를 발견했다. 마지막 순간 그는 온 힘을 짜내어 먼지 덮인 벽에 이승에서 남기고 싶은 마지막 말을 썼던 것 같다. 두 마디였다. &bdquo;부활 좀&bdquo;,검은바위 나락의 제왕 타우릿산을 쓰러뜨려 잠금 해제,Priest,,
Blackrock Mountain,분노에 눈이 멈,공격력 증가,,Enchantment,BRMA10_6e,,,,,,,,,,,,,,
Blackrock Mountain,불꽃꼬리 수행사제,,2,Minion,BRMA06_4,3,,,1,,,,,,,,,,
Blackrock Mountain,불꽃꼬리 수행사제,,2,Minion,BRMA06_4H,3,,,3,,,,,,,,,,
Blackrock Mountain,불꽃꼬리 전사,내 주문이 시전된 후에 모든 적에게 2의 피해를 무작위로 나누어 입힙니다.,3,Minion,BRM_002,4,Alex Horley Orlandelli,Rare,2,,,True,,검은날개 둥지의 밸라스트라즈를 쓰러뜨린 후 제작 가능,불꽃꼬리 전사는 빨간색 나가라고 불리는 것을 엄청나게 싫어합니다. 이들은 불꽃꼬리 전사입니다. 나가는 물에서 찾으세요!,검은날개 둥지의 밸라스트라즈를 쓰러뜨려 잠금 해제,Mage,,
Blackrock Mountain,불꽃매 변신,2/5 하수인으로 변신합니다.,,Spell,BRM_010b,,,Common,,Beast,,,,,,,Druid,,
Blackrock Mountain,불꽃의 추종자,<b>죽음의 메아리:</b> 적 영웅에게 이번 턴에 죽은 불꽃의 추종자 하나당 피해를 1씩 줍니다.,0,Minion,BRMA04_3,5,,,0,,Deathrattle,,,,,,,,
Blackrock Mountain,불꽃의 추종자,<b>죽음의 메아리:</b> 적 영웅에게 이번 턴에 죽은 불꽃의 추종자 하나당 피해를 3씩 줍니다.,0,Minion,BRMA04_3H,5,,,0,,Deathrattle,,,,,,,,
Blackrock Mountain,불꽃표범 변신,5/2 하수인으로 변신합니다.,,Spell,BRM_010a,,,Common,,Beast,,,,,,,Druid,,
Blackrock Mountain,불의 군주 라그나로스,,,Hero,BRMA06_3,8,,,,,,,,,,,,,
Blackrock Mountain,불의 군주 라그나로스,,,Hero,BRMC_01,30,,,,,,,,,,,,,
Blackrock Mountain,불의 군주 라그나로스,,,Hero,BRM_027h,8,,,,,,,,,,,,,
Blackrock Mountain,불의 군주 라그나로스,,,Hero,BRMA06_3H,30,,,,,,,,,,,,,
Blackrock Mountain,불의 군주의 힘,<b>영웅 능력</b>피해를 30 줍니다.,2,Hero Power,BRMA03_2,,,,,,,,,,,,,,
Blackrock Mountain,불이다!,공격력 증가,,Enchantment,BRM_012e,,,,,,,,,,,,,,
Blackrock Mountain,불타는 아드레날린,적 영웅에게 피해를 $2 줍니다.,0,Spell,BRMA11_3,,,,,,,,,,,,,,
Blackrock Mountain,비전골렘,두 플레이어 모두 <b>주문 공격력 +2</b>를 얻습니다.,0,Minion,BRMA14_3,2,,Legendary,2,Mech,Spellpower,,,,,,,True,
Blackrock Mountain,비전골렘 가동,<b>영웅 능력</b>비전골렘 가동!,0,Hero Power,BRMA14_2H,,,,,,,,,,,,,,
Blackrock Mountain,비전골렘 가동,<b>영웅 능력</b>비전골렘 가동!,2,Hero Power,BRMA14_2,,,,,,,,,,,,,,
Blackrock Mountain,사령관 드라키사스,,,Hero,BRMA08_1,50,,,,,,,,,,,,,
Blackrock Mountain,사령관 드라키사스,,,Hero,BRMA08_1H,50,,,,,,,,,,,,,
Blackrock Mountain,살아있는 용암,<b>도발</b>,0,Minion,BRMA13_6,6,,,6,,Taunt,,,,,,,,
Blackrock Mountain,살아있는 폭탄,게돈의 턴에 모든 아군에게 5의 피해,,Enchantment,BRMA05_3e,,,,,,,,,,,,,,
Blackrock Mountain,살아있는 폭탄,게돈의 턴에 모든 아군에게 10의 피해,,Enchantment,BRMA05_3He,,,,,,,,,,,,,,
Blackrock Mountain,살아있는 폭탄,적 하수인을 하나 선택합니다. 그 하수인이 다음 턴까지 살아남으면 <b>모든</b> 적에게 피해를 $10 줍니다.,3,Spell,BRMA05_3H,,,,,,,,,,,,,,
Blackrock Mountain,살아있는 폭탄,적 하수인을 하나 선택합니다. 그 하수인이 다음 턴까지 살아남으면 <b>모든</b> 적에게 피해를 $5 줍니다.,4,Spell,BRMA05_3,,,,,,,,,,,,,,
Blackrock Mountain,새끼용,,1,Minion,BRMA09_2t,1,,,1,Dragon,,,,,,,,,
Blackrock Mountain,새끼용,,1,Minion,BRMA09_2Ht,2,,,2,Dragon,,,,,,,,,
Blackrock Mountain,새끼용,,1,Minion,BRM_004t,1,,,1,,,,,,,,,,
Blackrock Mountain,서슬송곳니의 발톱,타락한 알이 죽을 때마다 공격력이 +1 증가합니다.,1,Weapon,BRMA10_6,,,,1,,,,,,,,,,5
Blackrock Mountain,소용돌이치는 잿불덩이,<b>질풍</b>,0,Minion,BRMA13_7,5,,,4,,Windfury,,,,,,,,
Blackrock Mountain,속사,피해를 $3 줍니다.만약 내 손에 카드가 없으면 카드를 1장 뽑습니다.,2,Spell,BRM_013,,Jonboy Meyers,Common,,,AffectedBySpellPower,True,,검은바위 산의 사냥꾼 직업 도전 과제를 완료한 후 제작 가능,이번 턴엔 내가 쏜다.,검은바위 산의 사냥꾼 직업 도전 과제를 완료하여 잠금 해제,Hunter,,
Blackrock Mountain,아트라메데스,,,Hero,BRMA16_1H,30,,,,,,,,,,,,,
Blackrock Mountain,아트라메데스,,,Hero,BRMA16_1,30,,,,,,,,,,,,,
Blackrock Mountain,악마의 격노,악마를 제외한 <b>모든</b> 하수인에게 피해를 $2 줍니다.,3,Spell,BRM_005,,Raymond Swanland,Rare,,,AffectedBySpellPower,True,,검은바위 산의 흑마법사 직업 도전 과제를 완료한 후 제작 가능,사실 악마들은 점잖아서 화를 잘 내지 않기 때문에 이 카드가 나오면 상당히 난감해 합니다.,검은바위 산의 흑마법사 직업 도전 과제를 완료하여 잠금 해제,Warlock,,
Blackrock Mountain,야유하는 군중,<b>영웅 능력</b><b>도발</b> 능력을 가진 1/1 구경꾼을 하나 소환합니다.,1,Hero Power,BRMA02_2,,,,,,,,,,,,,,
Blackrock Mountain,야유하는 군중,<b>영웅 능력</b><b>도발</b> 능력을 가진 1/1 구경꾼을 하나 소환합니다.,0,Hero Power,BRMA02_2H,,,,,,,,,,,,,,
Blackrock Mountain,엄숙한 애도,카드를 2장 뽑습니다. 이번 턴에 죽은 하수인 하나당 비용이 (1)씩 감소합니다.,5,Spell,BRM_001,,Jaime Jones,Common,,,,True,,검은바위 산의 성기사 직업 도전 과제를 완료한 후 제작 가능,매년 검은바위 산 앞에서는 정신 지배 주문에 당해 용암 속으로 뛰어들어간 이들을 추모하는 행사가 열립니다.,검은바위 산의 성기사 직업 도전 과제를 완료하여 잠금 해제,Paladin,,
Blackrock Mountain,연금술사,<b>지속 영웅 능력</b>하수인들의 공격력과 생명력이 바뀝니다.내 하수인은 +2/+2를 얻습니다.,,Hero Power,BRMA15_2H,,,,,,,,,,,,,,
Blackrock Mountain,연금술사,<b>지속 영웅 능력</b>하수인이 소환될 때마다 그 하수인의 공격력과 생명력을 바꿉니다.,,Hero Power,BRMA15_2,,,,,,,,,,,,,,
Blackrock Mountain,옛 호드,<b>영웅 능력</b><b>도발</b> 능력을 가진 1/1 오크 2명을 소환합니다. 새로운 영웅 능력을 얻습니다.,2,Hero Power,BRMA09_3,,,,,,,,,,,,,,
Blackrock Mountain,옛 호드,<b>영웅 능력</b><b>도발</b> 능력을 가진 2/2 오크 2명을 소환합니다. 새로운 영웅 능력을 얻습니다.,2,Hero Power,BRMA09_3H,,,,,,,,,,,,,,
Blackrock Mountain,옛 호드 오크,<b>도발</b>,1,Minion,BRMA09_3Ht,2,,,2,,Taunt,,,,,,,,
Blackrock Mountain,옛 호드 오크,<b>도발</b>,1,Minion,BRMA09_3t,1,,,1,,Taunt,,,,,,,,
Blackrock Mountain,오닉시아,,,Hero,BRMA17_3H,30,,,,,,,,,,,,,
Blackrock Mountain,오닉시아,,,Hero,BRMA17_3,15,,,,,,,,,,,,,
Blackrock Mountain,오닉시아의 발톱,,2,Weapon,BRMA17_9,,,,2,,,,,,,,,,6
Blackrock Mountain,오색 돌연변이,하수인 하나를 2/2 오색 용혈족으로 변신시킵니다.,2,Spell,BRMA12_8,,,,,,,,,,,,,,
Blackrock Mountain,오색 비룡,,4,Minion,BRMA10_5,3,,,7,,,,,,,,,,
Blackrock Mountain,오색 비룡,,4,Minion,BRMA10_5H,7,,,7,,,,,,,,,,
Blackrock Mountain,오색 실험체,<b>도발</b>,2,Minion,BRMA17_7,4,,,1,,Taunt,,,,,,,,
Blackrock Mountain,오색 용혈족,,,Hero,BRMA12_9,30,,,,,,,,,,,,,
Blackrock Mountain,오색 용혈족,상대편이 주문을 시전할 때마다 +2/+2를 얻습니다.,2,Minion,BRMA12_8t,3,,,2,Dragon,,,,,,,,,
Blackrock Mountain,용기병 분쇄자,<b>전투의 함성:</b> 만약 상대편의 생명력이 15 이하라면 +3/+3을 얻습니다.,6,Minion,BRM_024,6,Slawomir Maniak,Common,6,Dragon,Battlecry,True,,숨겨진 연구실의 아트라메데스를 쓰러뜨린 후 제작 가능,용기병은 용의 모든 단점을 지닌 인간형으로 설계되었습니다. 왜? 대체 왜?,숨겨진 연구실의 아트라메데스를 쓰러뜨려 잠금 해제,,,
Blackrock Mountain,용암 충격,피해를 $2 줍니다.<b>과부하</b>된 내 마나 수정이 모두 잠금 해제됩니다.,2,Spell,BRM_011,,Zoltan Boros,Rare,,,,True,,검은바위 산의 주술사 직업 도전 과제를 완료한 후 제작 가능,허니 용암 칩은 충격적으로 맛있습니다.,검은바위 산의 주술사 직업 도전 과제를 완료하여 잠금 해제,Shaman,,
Blackrock Mountain,용암 충격,이번 턴에 내가 내는 카드는 <b>과부하</b> 효과가 발동하지 않습니다.,,Enchantment,BRM_011t,,,,,,OneTurnEffect,,,,,,Shaman,,
Blackrock Mountain,용암!,<b>모든</b> 하수인에게 피해를 $2 줍니다.,2,Spell,BRMA17_4,,,,,,,,,,,,,,
Blackrock Mountain,용암골렘,각 플레이어가 카드를 낼 때마다 그 플레이어에게 피해를 2 줍니다.,5,Minion,BRMA14_9,7,,Legendary,7,Mech,Aura,,,,,,,True,
Blackrock Mountain,용암골렘,각 플레이어가 카드를 낼 때마다 그 플레이어에게 피해를 2 줍니다.,5,Minion,BRMA14_9H,8,,Legendary,8,Mech,,,,,,,,True,
Blackrock Mountain,용암골렘 가동,<b>영웅 능력</b>용암골렘 가동!,6,Hero Power,BRMA14_8H,,,,,,,,,,,,,,
Blackrock Mountain,용암골렘 가동,<b>영웅 능력</b>용암골렘 가동!,8,Hero Power,BRMA14_8,,,,,,,,,,,,,,
Blackrock Mountain,용암아귀,<b>도발</b>,5,Minion,BRMA14_12,2,,Legendary,10,,Taunt,,,,,,,True,
Blackrock Mountain,용의 배우자,<b>전투의 함성:</b> 다음에 내가 내는 용족 하수인의 비용이 (2) 감소합니다.,5,Minion,BRM_018,5,Raymond Swanland,Rare,5,Dragon,Battlecry,True,,검은바위 첨탑의 사령관 드라키사스를 쓰러뜨린 후 제작 가능,누구에게나 꼭 달라붙어 온기를 나눌 존재가 필요한 법입니다. 강철 같은 비늘로 무장하고 파괴를 자행하는 커다란 용들도 마찬가지입니다.,검은바위 첨탑의 사령관 드라키사스를 쓰러뜨려 잠금 해제,Paladin,,
Blackrock Mountain,용의 숨결,피해를 $4 줍니다. 이번 턴에 죽은 하수인 하나당 비용이 (1)씩 감소합니다.,5,Spell,BRM_003,,Mauricio Herrera,Common,,,,True,,검은바위 산의 마법사 직업 도전 과제를 완료한 후 제작 가능,사실 용은 솜사탕도 뿜어낼 줄 압니다. 없어 보이니까 불만 뿜는 거죠.,검은바위 산의 마법사 직업 도전 과제를 완료하여 잠금 해제,Mage,,
Blackrock Mountain,용의 알,이 하수인은 피해를 입을 때마다 2/1 새끼용을 소환합니다.,1,Minion,BRM_022,2,Jaemin Kim,Rare,0,,,True,,검은바위 첨탑의 렌드 블랙핸드를 쓰러뜨린 후 제작 가능,이래서 리로이처럼 알을 건드리면 안 되는 겁니다.,검은바위 첨탑의 렌드 블랙핸드를 쓰러뜨려 잠금 해제,,,
Blackrock Mountain,용의 피,+1/+1,,Enchantment,BRM_033e,,,,,,,,,,,,,,
Blackrock Mountain,용의 힘,이번 턴에 비용이 (3) 감소합니다.,,Enchantment,BRM_003e,,,,,,OneTurnEffect,,,,,,Mage,,
Blackrock Mountain,용이빨,상대편이 카드를 낼 때마다 공격력을 +1 얻습니다.,1,Weapon,BRMA16_5,,,,0,,,,,,,,,,6
Blackrock Mountain,용족의 힘,능력치 증가,,Enchantment,BRM_020e,,,,,,,,,,,,,,
Blackrock Mountain,용혈족,,1,Minion,BRMA09_4Ht,4,,,5,Dragon,,,,,,,,,
Blackrock Mountain,용혈족,,1,Minion,BRMA09_4t,1,,,3,Dragon,,,,,,,,,
Blackrock Mountain,용혈족 마술사,내가 주문의 대상으로 이 하수인을 지정할 때마다 +1/+1을 얻습니다.,4,Minion,BRM_020,5,Edouard Guiton & Stuido HIVE,Common,3,Dragon,,True,,숨겨진 연구실의 네파리안을 쓰러뜨린 후 제작 가능,용혈족 마술사와 마법사를 어떻게 구분하냐고요? 모자 안에 비둘기가 있으면 마술사입니다.,숨겨진 연구실의 네파리안을 쓰러뜨려 잠금 해제,,,
Blackrock Mountain,융해,이번 턴에 공격력이 0이 됩니다.,,Enchantment,BRM_001e,,,,,,OneTurnEffect,,,,,,Priest,,
Blackrock Mountain,음파 숨결,하수인 하나에게 피해를 $3 줍니다. 내 무기에 공격력을 +3 부여합니다.,4,Spell,BRMA16_3,,,,,,,,,,,,,,
Blackrock Mountain,음파 숨결,공격력 +3,,Enchantment,BRMA16_3e,,,,,,,,,,,,,,
Blackrock Mountain,음파 탐지,<b>영웅 능력</b>상대편이 카드를 낼 때마다 강해지는 무기를 장착합니다.,1,Hero Power,BRMA16_2,,,,,,,,,,,,,,
Blackrock Mountain,음파 탐지,<b>영웅 능력</b>상대편이 카드를 낼 때마다 강해지는 무기를 장착합니다.,0,Hero Power,BRMA16_2H,,,,,,,,,,,,,,
Blackrock Mountain,임프,,1,Minion,BRM_006t,1,,,1,Demon,,,,,,,Warlock,,
