SET,NAME,RARITY,ATTACK,COST,HEALTH,TYPE,ID,TEXT,MECHANICS,PLAYERCLASS,FACTION,DURABILITY,INPLAYTEXT,COLLECTIBLE,ARTIST,FLAVOR,RACE,ELITE,HOWTOGET,HOWTOGETGOLD
Classic,강화!,Rare,,1,,Spell,EX1_409,내가 무기를 장착하고 있으면 +1/+1을 부여합니다. 무기가 없다면 1/3 무기를 장착합니다.,,Warrior,Neutral,,,True,Matt Cavotta,상대편의 스트레스 지수도 높아집니다.,,,,
Classic,강화됨,,,,,Enchantment,EX1_536e,내구도 증가,,Hunter,,,,,,,,,,
Classic,강화됨,,,,,Enchantment,EX1_409e,공격력 +1 내구도 +1,,Warrior,,,,,,,,,,
Classic,개들을 풀어라,Common,,3,,Spell,EX1_538,적 하수인 하나당 <b>돌진</b> 능력이 있는 1/1 사냥개를 1마리씩 소환합니다.,,Hunter,,,,True,Linggar Bramanty,이 카드를 낼 때마다 "물어!"라고 크게 외쳐야 합니다.,,,,
Classic,거울상,Common,,3,,Spell,EX1_294,<b>비밀:</b> 상대편이 하수인을 내면 그 하수인을 복사합니다.,Secret,Mage,Neutral,,,True,Raven Mimura,"네가 앞장서라." - 거수 크루쉬고르가 그의 애완동물 멧돼지에게 명령하며.,,,,
Classic,거품 무는 광전사,Rare,2,3,4,Minion,EX1_604,하수인이 피해를 입을 때마다 공격력을 +1 얻습니다.,,Warrior,Neutral,,,True,Simon Bisley,거품 물기 전까지는 회계사였답니다.,,,,
Classic,검 제작의 대가,Rare,1,2,3,Minion,NEW1_037,내 턴이 끝날 때 다른 무작위 아군 하수인에게 공격력을 +1 부여합니다.,,,,,,True,E.M. Gist,현재는 다른 모든 대장장이들의 만류에도 불구하고 "도리깨 도끼"라는 무기를 제작하고 있습니다.,,,,
Classic,검은무쇠 드워프,Common,4,4,4,Minion,EX1_046,<b>전투의 함성:</b> 이번 턴에 하수인 하나에게 공격력을 +2 부여합니다.,Battlecry,,Alliance,,,True,Scott Hampton,검은무쇠 주괴의 수호자들입니다. 이 주괴가 필요한 자들에게는 참으로 귀찮은 존재가 아닐 수 없습니다.,,,,
Classic,검투사의 장궁,Epic,5,7,,Weapon,DS1_188,내 영웅이 공격할 때 <b>피해 면역</b> 상태가 됩니다.,,Hunter,Neutral,2,,True,Peter C. Lee,멀리서 쏠 수 있기 때문에 냄새가 지독한 적을 상대할 때 유용합니다.,,,,
Classic,격돌,Common,,2,,Spell,EX1_391,하수인 하나에게 피해를 $2 줍니다. 그 하수인이 생존하면 카드를 1장 뽑습니다.,,Warrior,Neutral,,,True,E.M. Gist,난 딱 죽지 않을 만큼만 패지.,,,,
Classic,고귀한 희생,Common,,1,,Spell,EX1_130,<b>비밀:</b> 적이 공격할 때 대신 맞아주는 2/1 수호자를 1명 소환합니다.,Secret,Paladin,Neutral,,,True,Zoltan & Gabor,아아 못다핀 꽃 한 송이 그대의 이름은 "수호자"!,,,,
Classic,고대의 감시자,Rare,4,2,5,Minion,EX1_045,이 하수인은 적을 공격할 수 없습니다.,,,Alliance,,,True,Richard Wright,왜 지날 때마다 눈이 날 따라 움직이는 것 같을까요?,,,,
Classic,고대의 마법사,Rare,2,4,5,Minion,EX1_584,<b>전투의 함성:</b> 양옆의 하수인들에게 <b>주문 공격력 +1</b>을 부여합니다.,Battlecry,,Neutral,,,True,Howard Lyon,깜빡하고 다른 사람의 게임에 등장하기도 합니다.,,,,
Classic,고대의 비밀,,,,,Spell,NEW1_008b,생명력을 5 회복시킵니다.,,Druid,,,,,,,,,,
Classic,고대의 양조사,Common,5,4,4,Minion,EX1_057,<b>전투의 함성:</b> 전장의 아군 하수인 하나를 내 손으로 다시 가져옵니다.,Battlecry,,Alliance,,,True,Bernie Kang,대부분의 판다렌은 그의 맥주에서 야크 맛이 난다고 평합니다... 네 칭찬입니다.,,,,
Classic,고대의 영혼,,,,,Enchantment,CS2_038e,<b>죽음의 메아리:</b> 이 하수인을 다시 소환함,,Shaman,,,,,,,,,,
Classic,고대의 영혼,Rare,,2,,Spell,CS2_038,하수인 하나에게 "<b>죽음의 메아리:</b> 이 하수인을 다시 소환합니다." 능력을 부여합니다.,,Shaman,Neutral,,,True,Zoltan & Gabor,네가 죽은 건 추진력을 얻기 위해서였다!,,,,
Classic,고대의 지식,,,,,Spell,NEW1_008a,카드를 2장 뽑습니다.,,Druid,,,,,,,,,,
Classic,고무,,,,,Enchantment,NEW1_025e,생명력 증가,,,,,,,,,,,,
Classic,고통의 수행사제,Common,1,3,3,Minion,EX1_007,이 하수인이 피해를 입을 때마다 카드를 1장 뽑습니다.,,,,,,True,Dave Kendall,사실은 기쁨의 수행사제가 되고 싶었던 사람입니다. 이것으로 우리는 고통과 기쁨이 종이 한 장 차이라는 걸 알 수 있습니다.,,,,
Classic,곰 변신,Common,,,,Spell,EX1_165b,생명력 +2와 <b>도발</b> 능력을 얻습니다.,,Druid,Neutral,,,,,,,,,
Classic,공포의 해적,Common,3,4,3,Minion,NEW1_022,<b>도발.</b> 내 무기의 공격력만큼 비용이 감소합니다.,Taunt,,,,,True,Trent Kaniuga,"야아아르"는 해적 말로 "안녕하십니까"라는 뜻입니다.,Pirate,,,
Classic,공허의 괴물,Rare,3,3,3,Minion,EX1_304,<b>전투의 함성:</b> 이 하수인 양옆에 있는 하수인들을 처치하고 그들의 공격력과 생명력을 얻습니다.,Battlecry,Warlock,,,,True,Alexander Alexandrov,이 카드를 덱에 넣으면 다른 하수인들의 신뢰를 잃습니다.,Demon,,,
Classic,과부하됨,,,,,Enchantment,EX1_258e,능력치 증가,,Shaman,,,,,,,,,,
Classic,광기의 연금술사,Rare,2,2,2,Minion,EX1_059,<b>전투의 함성:</b> 하수인 하나의 공격력과 생명력을 바꿉니다.,Battlecry,,Neutral,,,True,Tom Fleming,"새 물약이 마음에 들 겁니다."라는군요. 당신이 가진 팔다리의 개수가 마음에 안 든다면 뭐... 맞는 말이겠네요.,,,,
Classic,광기의 화염술사,Rare,3,2,2,Minion,NEW1_020,내 주문이 시전된 후에 <b>모든</b> 하수인에게 피해를 1 줍니다.,,,,,,True,Alex Horley Orlandelli,한여름엔 왕따 한겨울엔 인기 폭발인 친구입니다.,,,,
Classic,광란,,,,,Enchantment,CS2_104e,+3/+3,,Warrior,,,,,,,,,,
Classic,광란,Common,,2,,Spell,CS2_104,피해를 입은 하수인 하나에게 +3/+3을 부여합니다.,,Warrior,Neutral,,,True,Jonboy Meyers,하수인 화났다. 하수인 부순다!,,,,
Classic,광포한 늑대 우두머리,Common,2,2,2,Minion,EX1_162,양옆의 하수인들이 공격력을 +1 얻습니다.,AdjacentBuff|Aura,,Neutral,,,True,John Dickenson,정작 광포해지는 건 양옆이지만 어쨌든 먼저 처치해야 할 것 같습니다.,Beast,,,
Classic,광폭화,,,,,Enchantment,EX1_604o,공격력 증가,,Warrior,,,,,,,,,,
Classic,괴수,Legendary,9,6,7,Minion,EX1_577,<b>죽음의 메아리:</b> 상대편에게 3/3 핑클 아인혼을 소환해 줍니다.,Deathrattle,,Neutral,,,True,Glenn Rane,검은바위 산에 살고 노움을 먹습니다. 더 할 말이 없네요.,Beast,True,,
Classic,구원,Common,,1,,Spell,EX1_136,<b>비밀:</b> 내 하수인이 죽으면 1의 생명력과 함께 부활시킵니다.,Secret,Paladin,Neutral,,,True,Ittoku,죽었다 살아나서 그런지 몸이 예전같지 않군요.,,,,
Classic,군주 자락서스,Legendary,3,9,15,Minion,EX1_323,<b>전투의 함성:</b> 내 영웅을 군주 자락서스로 교체합니다.,Battlecry,Warlock,,,,True,Alex Horley Orlandelli,"벼에서 쌀을!!!!",Demon,True,,
Classic,군주 자락서스,Legendary,0,0,15,Hero,EX1_323h,,,Warlock,Neutral,,,,,,Demon,,,
Classic,굶주린 게,Epic,1,1,2,Minion,NEW1_017,<b>전투의 함성:</b> 멀록 1마리를 처치하고 +2/+2를 얻습니다.,Battlecry,,,,,True,Jaemin Kim,멀록은 저녁 거리입니다.,Beast,,,
Classic,굶주린 식인 구울,Common,2,3,3,Minion,tt_004,하수인이 죽을 때마다 공격력을 +1 얻습니다.,,,Neutral,,,True,Alex Horley Orlandelli,먹을 게 없어서 시체를 먹습니다.,,,,
Classic,그롬마쉬 헬스크림,Legendary,4,8,9,Minion,EX1_414,<b>돌진</b>
<b>격노:</b> 공격력 +6,Charge|Enrage,Warrior,Neutral,,,True,Glenn Rane,그롬마쉬는 만노로스의 오염된 피를 마시고 오크들에게 영원히 사라지지 않는 초록색 피부와 붉은 눈을 남겼습니다! 썩 좋은 생각은 아니었던 것 같네요.,,True,,
Classic,그룰,Legendary,7,8,7,Minion,NEW1_038,각 플레이어의 턴이 끝날 때마다 +1/+1을 얻습니다.,,,,,,True,Kev Walker,그룰은 "용학살자"입니다만 사실 용들을 꼭 안아주고 싶었을 뿐입니다.,,True,,
Classic,그린스킨의 지휘,,,,,Enchantment,NEW1_024o,+1/+1,,,,,,,,,,,,
Classic,그림자 밟기,Common,,0,,Spell,EX1_144,아군 하수인 하나를 다시 내 손으로 가져옵니다. 그 하수인은 비용이 (2) 감소합니다.,,Rogue,Neutral,,,True,Graven Tung,도적 무용단은 가끔 공연의 마지막을 그림자 밟기로 장식하곤 합니다. 관객들의 호응이 엄청나거든요.,,,,
Classic,깨어난 이세라,,,2,,Spell,DREAM_02,이세라를 제외한 모든 캐릭터에게 피해를 $5 줍니다.,,Dream,,,,,,,,,,
Classic,꿈,,,0,,Spell,DREAM_04,하수인 하나를 주인의 손으로 돌려보냅니다.,,Dream,,,,,,,,,,
Classic,나 이런 사냥꾼이야,Epic,4,3,2,Minion,EX1_005,<b>전투의 함성:</b> 공격력 7 이상인 하수인을 하나 처치합니다.,Battlecry,,,,,True,Chris Seaman,그에게 데빌사우루스 따윈 코웃음만 나옵니다. 조만간 크롤 칼 하나 들고 오닉시아를 잡으러 간다더군요.,,,,
Classic,나무정령,,2,1,2,Minion,EX1_158t,,,Druid,Neutral,,,,,,,,,
Classic,나무정령,Common,2,1,2,Minion,EX1_tk9,<b>돌진</b>. 턴이 끝날 때 이 하수인을 처치합니다.,Charge,Druid,Neutral,,,,,,,,,
Classic,나무정령,,2,1,2,Minion,EX1_573t,<b>도발</b>,Taunt,Druid,,,,,,,,,,
Classic,난투,Epic,,5,,Spell,EX1_407,무작위로 선정된 하수인 하나를 제외한 모든 하수인을 처치합니다.,,Warrior,Neutral,,,True,Wayne Reynolds,싸움꾼 조합의 첫 번째 규칙이 뭐죠?,,,,
Classic,날뛰는 코도,Rare,3,5,5,Minion,NEW1_041,<b>전투의 함성:</b> 공격력이 2 이하인 무작위 적 하수인 하나를 처치합니다.,Battlecry,,,,,True,Daren Bader,이 코도가 미쳐 날뛰고 있습니다!,Beast,,,
Classic,남작 게돈,Legendary,7,7,5,Minion,EX1_249,내 턴이 끝날 때 다른 <b>모든</b> 캐릭터에게 피해를 2 줍니다.,,,Neutral,,,True,Ian Ameling,한때 라그나로스의 충직한 부관이었지만 지금은 실직자입니다.,,True,,
Classic,남쪽바다 갑판원,Common,2,1,1,Minion,CS2_146,내 영웅이 무기를 장착하고 있으면 <b>돌진</b>을 얻습니다.,,,Alliance,,,True,Dan Brereton,요즘 해적들 사이에서 "시체 놀이"가 유행이랍니다. 누가 시체냐고요? 글쎄요.,Pirate,,,
Classic,남쪽바다 선장,Epic,3,3,3,Minion,NEW1_027,나의 다른 해적들이 +1/+1을 얻습니다.,Aura,,,,,True,Ken Steacy,그의 꿈은 해적 왕... 아니 어마어마하게 큰 해적 모자를 사는 겁니다. 좀 모자에 많이 집착하는 친구거든요.,Pirate,,,
Classic,납치범,Epic,5,6,3,Minion,NEW1_005,<b>연계:</b> 하수인 하나를 주인의 손으로 돌려보냅니다.,Combo,Rogue,,,,True,Dave Allsop,하수인을 돌려보낸 죄밖에 없습니다.,,,,
Classic,내면의 분노,Common,,0,,Spell,EX1_607,하수인 하나에게 피해를 $1 주고 공격력을 +2 증가시킵니다.,,Warrior,Neutral,,,True,Slawomir Maniak,이것으로 우리는 빛샘도 소환의 문도 모두 감정이 있다는 걸 알 수 있습니다.,,,,
Classic,내면의 분노,,,,,Enchantment,EX1_607e,공격력 +2,,Warrior,,,,,,,,,,
Classic,내면의 열정,Common,,1,,Spell,CS1_129,하수인 하나의 공격력을 생명력과 같은 수치로 바꿉니다.,,Priest,Neutral,,,True,Steve Prescott,추천: 하수인 강화하기. 비추: 불모의 땅에서 대화 상대 찾기,,,,
Classic,내면의 열정,,,,,Enchantment,CS1_129e,공격력과 생명력이 같아짐,,Priest,,,,,,,,,,
Classic,내트 페이글,Legendary,0,2,4,Minion,EX1_557,내 턴이 시작될 때 50%의 확률로 추가 카드를 1장 뽑습니다.,,,Neutral,,,True,Steve Prescott,아제로스 최고의 낚시꾼 내트 페이글입니다! 그는 강태공 도우미 3000 낚싯대 연장기 3000 그리고 물고기 떼 생성기 2099(아직 시험 중)를 발명했습니다.,,True,,
Classic,냉기 돌풍,Common,,4,,Spell,EX1_275,선택한 하수인과 그 양옆의 하수인들을 <b>빙결</b> 상태로 만들고 피해를 $1 줍니다.,Freeze,Mage,Neutral,,,True,Leo Che,키린 토 마법사들은 주문 시전의 최신 유행을 선도합니다. 90년 전 마법사들이 냉기 장풍을 쓰는 모습을 본다면 분명 촌스럽다고 생각하실 겁니다.,,,,
Classic,냉기 정령,Common,5,6,5,Minion,EX1_283,<b>전투의 함성:</b> 캐릭터 하나를 <b>빙결</b> 상태로 만듭니다.,Battlecry|Freeze,,Neutral,,,True,Dan Scott,물의 정령과 얼음의 정령이 사랑에 빠지면...,,,,
Classic,냉혈,,,,,Enchantment,CS2_073e,공격력 +2,,Rogue,,,,,,,,,,
Classic,냉혈,Common,,1,,Spell,CS2_073,하수인 하나에게 공격력을 +2 부여합니다. <b>연계:</b> 공격력을 +4 부여합니다.,Combo,Rogue,Neutral,,,True,Alex Horley Orlandelli,나는야 차가운 도적 남자.,,,,
Classic,냉혈,,,,,Enchantment,CS2_073e2,공격력 +4,,Rogue,,,,,,,,,,
Classic,노움 자동경보기,Rare,0,3,3,Minion,EX1_006,내 턴이 시작될 때 이 하수인이 내 손에 있는 다른 무작위 하수인 하나와 교체됩니다.,,,,,,True,Sean O’Daniels,삐뽀. 삐뽀. 삐뽀.,Mech,,,
Classic,노즈도르무,Legendary,8,9,8,Minion,EX1_560,플레이어들의 턴 제한 시간이 15초로 감소합니다.,,,Neutral,,,True,James Ryman,여기 뭔가 써야 하는데 시간이 모자라네요.,Dragon,True,,
Classic,놀,,2,2,2,Minion,NEW1_040t,<b>도발</b>,Taunt,,,,,,,,,,,
Classic,누더기골렘,Rare,4,5,4,Minion,EX1_097,<b>도발</b>. <b>죽음의 메아리:</b>
<b>모든</b> 캐릭터에게 피해를 2 줍니다.,Deathrattle|Taunt,,Neutral,,,True,Alex Horley Orlandelli,누더기들은 신선한 고기와 해변 산책을 즐깁니다.,,,,
Classic,눈보라,Rare,,6,,Spell,CS2_028,모든 적 하수인에게 피해를 $2 주고 <b>빙결</b> 상태로 만듭니다.,Freeze,Mage,Neutral,,,True,Chris Seaman,왠지 모르게 정이 가는 이름의 주문입니다.,,,,
Classic,눈속임,Rare,,2,,Spell,EX1_533,<b>비밀:</b> 내 영웅을 공격하는 캐릭터가 다른 무작위 캐릭터 하나를 공격하게 됩니다.,Secret,Hunter,Neutral,,,True,Daren Bader,가짜 수염을 달고 옆 사람을 가리키는 것 만으로도 잘 속아줄 때가 있죠.,,,,
Classic,눈에는 눈,Common,,1,,Spell,EX1_132,<b>비밀:</b> 내 영웅이 피해를 입으면 적 영웅에게도 같은 피해를 줍니다.,Secret,Paladin,Neutral,,,True,James Ryman,주먹이 정의를 대변할 때도 종종 있답니다.,,,,
Classic,늑대 정령,Rare,2,2,3,Minion,EX1_tk11,<b>도발</b>,Taunt,Shaman,Neutral,,,,,,,,,
Classic,늑대인간 침투요원,Common,2,1,1,Minion,EX1_010,<b>은신</b>,Stealth,,Alliance,,,True,Raymond Swanland,늑대인간이 침투하지 못하게 만드는 방법은 간단합니다. 함정 위에 개껌을 던져두세요.,,,,
Classic,다람쥐,Common,1,1,1,Minion,EX1_tk28,,,,Neutral,,,,,,Beast,,,
Classic,단검 곡예사,Rare,3,2,2,Minion,NEW1_019,내 하수인이 소환된 후에 무작위 적 하나에게 피해를 1 줍니다.,,,,,,True,Matt Cavotta,야심찬 단검 곡예사가 자라면 폭탄 곡예사가 되기도 합니다. 하지만 카드로 만들어질 만큼 오래 살아남는 경우는 없습니다.,,,,
Classic,단련,,,,,Enchantment,EX1_046e,이번 턴에 공격력 +2,OneTurnEffect,,,,,,,,,,,
Classic,달빛섬광,,,,,Spell,EX1_166a,피해를 2 줍니다.,,Druid,Neutral,,,,,,,,,
Classic,대규모 무효화,Rare,,4,,Spell,EX1_626,모든 적 하수인을 <b>침묵</b>시킵니다. 카드를 1장 뽑습니다.,Silence,Priest,,,,True,Sean O'Daniels,강화 효과와 힘 희망과 꿈까지 무효화합니다.,,,,
Classic,대마법사 안토니다스,Legendary,5,7,7,Minion,EX1_559,내가 주문을 시전할 때마다 '화염구' 카드 1장을 손으로 가져옵니다.,,Mage,Neutral,,,True,Wayne Reynolds,안토니다스는 키린 토의 대학자이자 제이나의 스승이었습니다. 젤리 도넛의 대학자였던 그로선 장족의 발전이라 할 수 있죠.,,True,,
Classic,대지 고리회 선견자,Common,3,3,3,Minion,CS2_117,<b>전투의 함성:</b> 생명력을 3 회복시킵니다.,Battlecry,,,,,True,Alex Horley Orlandelli,선견지명이 대단합니다. 이름값을 한다고나 할까요.,,,,
Classic,대지 충격,Common,,1,,Spell,EX1_245,하수인 하나를 <b>침묵</b>시키고 피해를 $1 줍니다.,Silence,Shaman,Neutral,,,True,Kevin Chin,돼지 충격이라고요? 이런 아니군요. 배가 너무 고파서 그만.,,,,
Classic,대지의 정령,Epic,7,5,8,Minion,EX1_250,<b>도발</b>. <b>과부하:</b> (3),Taunt,Shaman,Neutral,,,True,Dan Scott,한 대 치는 순간 계란이 되는 겁니다.,,,,
Classic,덫에 걸림,,,,,Enchantment,EX1_611e,다음 턴이 시작될 때 다시 <b>빙결</b> 상태가 됨,,Hunter,,,,,,,,,,
Classic,데빌사우루스,Common,5,5,5,Minion,EX1_tk29,,,,Neutral,,,,,,Beast,,,
Classic,데스윙,Legendary,12,10,12,Minion,NEW1_030,<b>전투의 함성:</b> 전장의 다른 모든 하수인을 처치하고 내 손의 카드를 모두 버립니다.,Battlecry,,,,,True,Bernie Kang,한때 고귀한 용족 넬타리온이었던 데스윙은 이성을 잃고 아제로스를 산산조각 냈습니다. 사춘기였나봐요.,Dragon,True,,
Classic,데피아즈단 두목,Common,2,2,2,Minion,EX1_131,<b>연계:</b> 2/1 데피아즈단 무법자를 1명 소환합니다.,Combo,Rogue,Neutral,,,True,Dany Orizio,두목은 묵직해야 합니다.,,,,
Classic,데피아즈단 무법자,,2,1,1,Minion,EX1_131t,,,Rogue,Neutral,,,,,,,,,
Classic,독수리뿔 장궁,Rare,3,3,,Weapon,EX1_536,내 <b>비밀</b>이 밝혀질 때마다 내구도를 +1 얻습니다.,,Hunter,,2,,True,Cyril Van Der Haegen,깡통들을 위한 장궁 제1장: 화살촉은 내가 아닌 상대방을 향하라,,,,
Classic,둠해머,Epic,2,5,,Weapon,EX1_567,<b>질풍 과부하:</b> (2),Windfury,Shaman,Neutral,8,,True,John Polidora,오그림 둠해머는 자신의 전설적인 무기를 스랄에게 주었습니다. 무기와 그의 이름이 같은 건... 그저 우연입니다.,,,,
Classic,뒤틀린 황천,Epic,,8,,Spell,EX1_312,모든 하수인을 처치합니다.,,Warlock,Neutral,,,True,Dave Allsop,뒤틀린 황천은 마법과 환상 죽은 하수인들로 가득한 형태 없는 공간입니다.,,,,
Classic,들창코,Legendary,4,6,4,Minion,NEW1_040,내 턴이 끝날 때 <b>도발</b> 능력이 있는 2/2 놀을 1마리 소환합니다.,,,,,,True,Laurel D. Austin,들창코는 정말 강력합니다. 만약 처치했다면 그가 <i>봐줬기</i> 때문입니다.,,True,,
Classic,라벤홀트 암살자,Rare,7,7,5,Minion,CS2_161,<b>은신</b>,Stealth,,Alliance,,,True,Ralph Horsley,이름과 10000 골드를 동봉하세요. 나머지는 그가 알아서 처리할 겁니다.,,,,
Classic,레벨 상승!,,,,,Enchantment,EX1_044e,공격력과 생명력 증가,,,,,,,,,,,,
Classic,리로이 젠킨스,Legendary,6,5,2,Minion,EX1_116,<b>돌진</b>. <b>전투의 함성:</b> 상대편에게 1/1 새끼용을 둘 소환해 줍니다.,Battlecry|Charge,,Alliance,,,True,Gabe from Penny Arcade,"때가 왔다! 가자! 리로이이이이이이이이 젠킨스으으으으으으!",,True,,
Classic,마나 망령,Rare,2,2,2,Minion,EX1_616,<b>모든</b> 하수인의 비용이 (1) 증가합니다.,Aura,,Neutral,,,True,Luca Zontini,이들은 밤에 나타나 남은 마나 수정을 먹습니다. "으으으음..." 소리를 내곤 하지요.,,,,
Classic,마나 중독자,Rare,1,2,3,Minion,EX1_055,내가 주문을 시전할 때마다 이번 턴에만 공격력을 +2 얻습니다.,,,Alliance,,,True,Hideaki Takamura,끊으려고 노력하는 그녀지만 스트레스 받은 날에는 참기 힘들답니다.,,,,
Classic,마나 지룡,Common,1,1,3,Minion,NEW1_012,내가 주문을 시전할 때마다 공격력을 +1 얻습니다.,,Mage,,,,True,Blizzard Cinematics,이 지룡들은 비전 에너지를 먹고 삽니다. 이들은 큰 위협이라기보단 좀 귀찮은 존재일 뿐이지만 절대 마나 곁에 혼자 두진 마십시오.,,,,
