MECHANICS,SET,NAME,TEXT,TYPE,ID,COLLECTIBLE,FACTION,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,PLAYERCLASS,RACE,INPLAYTEXT,DURABILITY,ELITE
Battlecry,"Classic","광기의 연금술사","<b>전투의 함성:</b> 하수인 하나의 공격력과 생명력을 바꿉니다.","Minion","EX1_059",True,"Neutral","Tom Fleming","Rare",2,2,2,""새 물약이 마음에 들 겁니다."라는군요. 당신이 가진 팔다리의 개수가 마음에 안 든다면 뭐... 맞는 말이겠네요.",,,,,
,"Classic","광기의 화염술사","내 주문이 시전된 후에 <b>모든</b> 하수인에게 피해를 1 줍니다.","Minion","NEW1_020",True,,"Alex Horley Orlandelli","Rare",3,2,2,"한여름엔 왕따 한겨울엔 인기 폭발인 친구입니다.",,,,,
,"Classic","광란","+3/+3","Enchantment","CS2_104e",,,,,,,,,"Warrior",,,,
,"Classic","광란","피해를 입은 하수인 하나에게 +3/+3을 부여합니다.","Spell","CS2_104",True,"Neutral","Jonboy Meyers","Common",,2,,"하수인 화났다. 하수인 부순다!","Warrior",,,,
AdjacentBuff|Aura,"Classic","광포한 늑대 우두머리","양옆의 하수인들이 공격력을 +1 얻습니다.","Minion","EX1_162",True,"Neutral","John Dickenson","Common",2,2,2,"정작 광포해지는 건 양옆이지만 어쨌든 먼저 처치해야 할 것 같습니다.",,"Beast","",,
,"Classic","광폭화","공격력 증가","Enchantment","EX1_604o",,,,,,,,,"Warrior",,,,
Deathrattle,"Classic","괴수","<b>죽음의 메아리:</b> 상대편에게 3/3 핑클 아인혼을 소환해 줍니다.","Minion","EX1_577",True,"Neutral","Glenn Rane","Legendary",9,6,7,"검은바위 산에 살고 노움을 먹습니다. 더 할 말이 없네요.",,"Beast",,,True
Secret,"Classic","구원","<b>비밀:</b> 내 하수인이 죽으면 1의 생명력과 함께 부활시킵니다.","Spell","EX1_136",True,"Neutral","Ittoku","Common",,1,,"죽었다 살아나서 그런지 몸이 예전같지 않군요.","Paladin",,,,
Battlecry,"Classic","군주 자락서스","<b>전투의 함성:</b> 내 영웅을 군주 자락서스로 교체합니다.","Minion","EX1_323",True,,"Alex Horley Orlandelli","Legendary",3,9,15,""벼에서 쌀을!!!!"","Warlock","Demon",,,True
,"Classic","군주 자락서스",,"Hero","EX1_323h",,"Neutral",,"Legendary",0,0,15,,"Warlock","Demon",,,
Battlecry,"Classic","굶주린 게","<b>전투의 함성:</b> 멀록 1마리를 처치하고 +2/+2를 얻습니다.","Minion","NEW1_017",True,,"Jaemin Kim","Epic",1,1,2,"멀록은 저녁 거리입니다.",,"Beast",,,
,"Classic","굶주린 식인 구울","하수인이 죽을 때마다 공격력을 +1 얻습니다.","Minion","tt_004",True,"Neutral","Alex Horley Orlandelli","Common",2,3,3,"먹을 게 없어서 시체를 먹습니다.",,,"",,
Charge|Enrage,"Classic","그롬마쉬 헬스크림","<b>돌진</b>
<b>격노:</b> 공격력 +6","Minion","EX1_414",True,"Neutral","Glenn Rane","Legendary",4,8,9,"그롬마쉬는 만노로스의 오염된 피를 마시고 오크들에게 영원히 사라지지 않는 초록색 피부와 붉은 눈을 남겼습니다! 썩 좋은 생각은 아니었던 것 같네요.","Warrior",,,,True
,"Classic","그룰","각 플레이어의 턴이 끝날 때마다 +1/+1을 얻습니다.","Minion","NEW1_038",True,,"Kev Walker","Legendary",7,8,7,"그룰은 "용학살자"입니다만 사실 용들을 꼭 안아주고 싶었을 뿐입니다.",,,"",,True
,"Classic","그린스킨의 지휘","+1/+1","Enchantment","NEW1_024o",,,,,,,,,,,,,
,"Classic","그림자 밟기","아군 하수인 하나를 다시 내 손으로 가져옵니다. 그 하수인은 비용이 (2) 감소합니다.","Spell","EX1_144",True,"Neutral","Graven Tung","Common",,0,,"도적 무용단은 가끔 공연의 마지막을 그림자 밟기로 장식하곤 합니다. 관객들의 호응이 엄청나거든요.","Rogue",,,,
,"Classic","깨어난 이세라","이세라를 제외한 모든 캐릭터에게 피해를 $5 줍니다.","Spell","DREAM_02",,,,,,2,,,"Dream",,,,
,"Classic","꿈","하수인 하나를 주인의 손으로 돌려보냅니다.","Spell","DREAM_04",,,,,,0,,,"Dream",,,,
Battlecry,"Classic","나 이런 사냥꾼이야","<b>전투의 함성:</b> 공격력 7 이상인 하수인을 하나 처치합니다.","Minion","EX1_005",True,,"Chris Seaman","Epic",4,3,2,"그에게 데빌사우루스 따윈 코웃음만 나옵니다. 조만간 크롤 칼 하나 들고 오닉시아를 잡으러 간다더군요.",,,,,
,"Classic","나무정령",,"Minion","EX1_158t",,"Neutral",,,2,1,2,,"Druid",,,,
Charge,"Classic","나무정령","<b>돌진</b>. 턴이 끝날 때 이 하수인을 처치합니다.","Minion","EX1_tk9",,"Neutral",,"Common",2,1,2,,"Druid",,,,
Taunt,"Classic","나무정령","<b>도발</b>","Minion","EX1_573t",,,,,2,1,2,,"Druid",,,,
,"Classic","난투","무작위로 선정된 하수인 하나를 제외한 모든 하수인을 처치합니다.","Spell","EX1_407",True,"Neutral","Wayne Reynolds","Epic",,5,,"싸움꾼 조합의 첫 번째 규칙이 뭐죠?","Warrior",,,,
Battlecry,"Classic","날뛰는 코도","<b>전투의 함성:</b> 공격력이 2 이하인 무작위 적 하수인 하나를 처치합니다.","Minion","NEW1_041",True,,"Daren Bader","Rare",3,5,5,"이 코도가 미쳐 날뛰고 있습니다!",,"Beast",,,
,"Classic","남작 게돈","내 턴이 끝날 때 다른 <b>모든</b> 캐릭터에게 피해를 2 줍니다.","Minion","EX1_249",True,"Neutral","Ian Ameling","Legendary",7,7,5,"한때 라그나로스의 충직한 부관이었지만 지금은 실직자입니다.",,,,,True
,"Classic","남쪽바다 갑판원","내 영웅이 무기를 장착하고 있으면 <b>돌진</b>을 얻습니다.","Minion","CS2_146",True,"Alliance","Dan Brereton","Common",2,1,1,"요즘 해적들 사이에서 "시체 놀이"가 유행이랍니다. 누가 시체냐고요? 글쎄요.",,"Pirate",,,
Aura,"Classic","남쪽바다 선장","나의 다른 해적들이 +1/+1을 얻습니다.","Minion","NEW1_027",True,,"Ken Steacy","Epic",3,3,3,"그의 꿈은 해적 왕... 아니 어마어마하게 큰 해적 모자를 사는 겁니다. 좀 모자에 많이 집착하는 친구거든요.",,"Pirate",,,
Combo,"Classic","납치범","<b>연계:</b> 하수인 하나를 주인의 손으로 돌려보냅니다.","Minion","NEW1_005",True,,"Dave Allsop","Epic",5,6,3,"하수인을 돌려보낸 죄밖에 없습니다.","Rogue",,,,
,"Classic","내면의 분노","하수인 하나에게 피해를 $1 주고 공격력을 +2 증가시킵니다.","Spell","EX1_607",True,"Neutral","Slawomir Maniak","Common",,0,,"이것으로 우리는 빛샘도 소환의 문도 모두 감정이 있다는 걸 알 수 있습니다.","Warrior",,,,
,"Classic","내면의 분노","공격력 +2","Enchantment","EX1_607e",,,,,,,,,"Warrior",,,,
,"Classic","내면의 열정","하수인 하나의 공격력을 생명력과 같은 수치로 바꿉니다.","Spell","CS1_129",True,"Neutral","Steve Prescott","Common",,1,,"추천: 하수인 강화하기. 비추: 불모의 땅에서 대화 상대 찾기","Priest",,,,
,"Classic","내면의 열정","공격력과 생명력이 같아짐","Enchantment","CS1_129e",,,,,,,,,"Priest",,,,
,"Classic","내트 페이글","내 턴이 시작될 때 50%의 확률로 추가 카드를 1장 뽑습니다.","Minion","EX1_557",True,"Neutral","Steve Prescott","Legendary",0,2,4,"아제로스 최고의 낚시꾼 내트 페이글입니다! 그는 강태공 도우미 3000 낚싯대 연장기 3000 그리고 물고기 떼 생성기 2099(아직 시험 중)를 발명했습니다.",,,"",,True
Freeze,"Classic","냉기 돌풍","선택한 하수인과 그 양옆의 하수인들을 <b>빙결</b> 상태로 만들고 피해를 $1 줍니다.","Spell","EX1_275",True,"Neutral","Leo Che","Common",,4,,"키린 토 마법사들은 주문 시전의 최신 유행을 선도합니다. 90년 전 마법사들이 냉기 장풍을 쓰는 모습을 본다면 분명 촌스럽다고 생각하실 겁니다.","Mage",,,,
Battlecry|Freeze,"Classic","냉기 정령","<b>전투의 함성:</b> 캐릭터 하나를 <b>빙결</b> 상태로 만듭니다.","Minion","EX1_283",True,"Neutral","Dan Scott","Common",5,6,5,"물의 정령과 얼음의 정령이 사랑에 빠지면...",,,,,
,"Classic","냉혈","공격력 +2","Enchantment","CS2_073e",,,,,,,,,"Rogue",,,,
Combo,"Classic","냉혈","하수인 하나에게 공격력을 +2 부여합니다. <b>연계:</b> 공격력을 +4 부여합니다.","Spell","CS2_073",True,"Neutral","Alex Horley Orlandelli","Common",,1,,"나는야 차가운 도적 남자.","Rogue",,,,
,"Classic","냉혈","공격력 +4","Enchantment","CS2_073e2",,,,,,,,,"Rogue",,,,
,"Classic","노움 자동경보기","내 턴이 시작될 때 이 하수인이 내 손에 있는 다른 무작위 하수인 하나와 교체됩니다.","Minion","EX1_006",True,,"Sean O’Daniels","Rare",0,3,3,"삐뽀. 삐뽀. 삐뽀.",,"Mech",,,
,"Classic","노즈도르무","플레이어들의 턴 제한 시간이 15초로 감소합니다.","Minion","EX1_560",True,"Neutral","James Ryman","Legendary",8,9,8,"여기 뭔가 써야 하는데 시간이 모자라네요.",,"Dragon","",,True
Taunt,"Classic","놀","<b>도발</b>","Minion","NEW1_040t",,,,,2,2,2,,,,,,
Deathrattle|Taunt,"Classic","누더기골렘","<b>도발</b>. <b>죽음의 메아리:</b>
<b>모든</b> 캐릭터에게 피해를 2 줍니다.","Minion","EX1_097",True,"Neutral","Alex Horley Orlandelli","Rare",4,5,4,"누더기들은 신선한 고기와 해변 산책을 즐깁니다.",,,,,
Freeze,"Classic","눈보라","모든 적 하수인에게 피해를 $2 주고 <b>빙결</b> 상태로 만듭니다.","Spell","CS2_028",True,"Neutral","Chris Seaman","Rare",,6,,"왠지 모르게 정이 가는 이름의 주문입니다.","Mage",,,,
Secret,"Classic","눈속임","<b>비밀:</b> 내 영웅을 공격하는 캐릭터가 다른 무작위 캐릭터 하나를 공격하게 됩니다.","Spell","EX1_533",True,"Neutral","Daren Bader","Rare",,2,,"가짜 수염을 달고 옆 사람을 가리키는 것 만으로도 잘 속아줄 때가 있죠.","Hunter",,,,
Secret,"Classic","눈에는 눈","<b>비밀:</b> 내 영웅이 피해를 입으면 적 영웅에게도 같은 피해를 줍니다.","Spell","EX1_132",True,"Neutral","James Ryman","Common",,1,,"주먹이 정의를 대변할 때도 종종 있답니다.","Paladin",,,,
Taunt,"Classic","늑대 정령","<b>도발</b>","Minion","EX1_tk11",,"Neutral",,"Rare",2,2,3,,"Shaman",,,,
Stealth,"Classic","늑대인간 침투요원","<b>은신</b>","Minion","EX1_010",True,"Alliance","Raymond Swanland","Common",2,1,1,"늑대인간이 침투하지 못하게 만드는 방법은 간단합니다. 함정 위에 개껌을 던져두세요.",,,,,
,"Classic","다람쥐",,"Minion","EX1_tk28",,"Neutral",,"Common",1,1,1,,,"Beast",,,
,"Classic","단검 곡예사","내 하수인이 소환된 후에 무작위 적 하나에게 피해를 1 줍니다.","Minion","NEW1_019",True,,"Matt Cavotta","Rare",3,2,2,"야심찬 단검 곡예사가 자라면 폭탄 곡예사가 되기도 합니다. 하지만 카드로 만들어질 만큼 오래 살아남는 경우는 없습니다.",,,"",,
OneTurnEffect,"Classic","단련","이번 턴에 공격력 +2","Enchantment","EX1_046e",,,,,,,,,,,,,
,"Classic","달빛섬광","피해를 2 줍니다.","Spell","EX1_166a",,"Neutral",,,,,,,"Druid",,,,
Silence,"Classic","대규모 무효화","모든 적 하수인을 <b>침묵</b>시킵니다. 카드를 1장 뽑습니다.","Spell","EX1_626",True,,"Sean O'Daniels","Rare",,4,,"강화 효과와 힘 희망과 꿈까지 무효화합니다.","Priest",,,,
,"Classic","대마법사 안토니다스","내가 주문을 시전할 때마다 '화염구' 카드 1장을 손으로 가져옵니다.","Minion","EX1_559",True,"Neutral","Wayne Reynolds","Legendary",5,7,7,"안토니다스는 키린 토의 대학자이자 제이나의 스승이었습니다. 젤리 도넛의 대학자였던 그로선 장족의 발전이라 할 수 있죠.","Mage",,"",,True
Battlecry,"Classic","대지 고리회 선견자","<b>전투의 함성:</b> 생명력을 3 회복시킵니다.","Minion","CS2_117",True,,"Alex Horley Orlandelli","Common",3,3,3,"선견지명이 대단합니다. 이름값을 한다고나 할까요.",,,,,
Silence,"Classic","대지 충격","하수인 하나를 <b>침묵</b>시키고 피해를 $1 줍니다.","Spell","EX1_245",True,"Neutral","Kevin Chin","Common",,1,,"돼지 충격이라고요? 이런 아니군요. 배가 너무 고파서 그만.","Shaman",,,,
Taunt,"Classic","대지의 정령","<b>도발</b>. <b>과부하:</b> (3)","Minion","EX1_250",True,"Neutral","Dan Scott","Epic",7,5,8,"한 대 치는 순간 계란이 되는 겁니다.","Shaman",,,,
,"Classic","덫에 걸림","다음 턴이 시작될 때 다시 <b>빙결</b> 상태가 됨","Enchantment","EX1_611e",,,,,,,,,"Hunter",,,,
,"Classic","데빌사우루스",,"Minion","EX1_tk29",,"Neutral",,"Common",5,5,5,,,"Beast",,,
Battlecry,"Classic","데스윙","<b>전투의 함성:</b> 전장의 다른 모든 하수인을 처치하고 내 손의 카드를 모두 버립니다.","Minion","NEW1_030",True,,"Bernie Kang","Legendary",12,10,12,"한때 고귀한 용족 넬타리온이었던 데스윙은 이성을 잃고 아제로스를 산산조각 냈습니다. 사춘기였나봐요.",,"Dragon",,,True
Combo,"Classic","데피아즈단 두목","<b>연계:</b> 2/1 데피아즈단 무법자를 1명 소환합니다.","Minion","EX1_131",True,"Neutral","Dany Orizio","Common",2,2,2,"두목은 묵직해야 합니다.","Rogue",,,,
,"Classic","데피아즈단 무법자",,"Minion","EX1_131t",,"Neutral",,,2,1,1,,"Rogue",,,,
,"Classic","독수리뿔 장궁","내 <b>비밀</b>이 밝혀질 때마다 내구도를 +1 얻습니다.","Weapon","EX1_536",True,,"Cyril Van Der Haegen","Rare",3,3,,"깡통들을 위한 장궁 제1장: 화살촉은 내가 아닌 상대방을 향하라","Hunter",,,2,
Windfury,"Classic","둠해머","<b>질풍 과부하:</b> (2)","Weapon","EX1_567",True,"Neutral","John Polidora","Epic",2,5,,"오그림 둠해머는 자신의 전설적인 무기를 스랄에게 주었습니다. 무기와 그의 이름이 같은 건... 그저 우연입니다.","Shaman",,,8,
,"Classic","뒤틀린 황천","모든 하수인을 처치합니다.","Spell","EX1_312",True,"Neutral","Dave Allsop","Epic",,8,,"뒤틀린 황천은 마법과 환상 죽은 하수인들로 가득한 형태 없는 공간입니다.","Warlock",,,,
,"Classic","들창코","내 턴이 끝날 때 <b>도발</b> 능력이 있는 2/2 놀을 1마리 소환합니다.","Minion","NEW1_040",True,,"Laurel D. Austin","Legendary",4,6,4,"들창코는 정말 강력합니다. 만약 처치했다면 그가 <i>봐줬기</i> 때문입니다.",,,,,True
Stealth,"Classic","라벤홀트 암살자","<b>은신</b>","Minion","CS2_161",True,"Alliance","Ralph Horsley","Rare",7,7,5,"이름과 10000 골드를 동봉하세요. 나머지는 그가 알아서 처리할 겁니다.",,,,,
,"Classic","레벨 상승!","공격력과 생명력 증가","Enchantment","EX1_044e",,,,,,,,,,,,,
Battlecry|Charge,"Classic","리로이 젠킨스","<b>돌진</b>. <b>전투의 함성:</b> 상대편에게 1/1 새끼용을 둘 소환해 줍니다.","Minion","EX1_116",True,"Alliance","Gabe from Penny Arcade","Legendary",6,5,2,""때가 왔다! 가자! 리로이이이이이이이이 젠킨스으으으으으으!"",,,,,True
Aura,"Classic","마나 망령","<b>모든</b> 하수인의 비용이 (1) 증가합니다.","Minion","EX1_616",True,"Neutral","Luca Zontini","Rare",2,2,2,"이들은 밤에 나타나 남은 마나 수정을 먹습니다. "으으으음..." 소리를 내곤 하지요.",,,,,
,"Classic","마나 중독자","내가 주문을 시전할 때마다 이번 턴에만 공격력을 +2 얻습니다.","Minion","EX1_055",True,"Alliance","Hideaki Takamura","Rare",1,2,3,"끊으려고 노력하는 그녀지만 스트레스 받은 날에는 참기 힘들답니다.",,,"",,
,"Classic","마나 지룡","내가 주문을 시전할 때마다 공격력을 +1 얻습니다.","Minion","NEW1_012",True,,"Blizzard Cinematics","Common",1,1,3,"이 지룡들은 비전 에너지를 먹고 삽니다. 이들은 큰 위협이라기보단 좀 귀찮은 존재일 뿐이지만 절대 마나 곁에 혼자 두진 마십시오.","Mage",,"",,
,"Classic","마나 해일 토템","내 턴이 끝날 때 카드를 1장 뽑습니다.","Minion","EX1_575",True,"Neutral","Scott Altmann","Rare",0,3,3,"주술사들의 여름철 필수품입니다.","Shaman","Totem",,,
,"Classic","마나에 굶주림","공격력 증가","Enchantment","NEW1_012o",,,,,,,,,"Mage",,,,
Secret,"Classic","마법 차단","<b>비밀:</b> 상대편이 주문을 시전하면 <b>차단</b>합니다.","Spell","EX1_287",True,"Neutral","Jason Chan","Rare",,3,,"마법 차단을 쓰는 마법사와 안 쓰는 마법사의 차이요? 안 쓰는 마법사는 얼굴에 불덩이 작렬을 맞는다는 거?","Mage",,,,
Aura,"Classic","마술사의 수습생","내가 쓰는 주문의 비용이 (1) 감소합니다.","Minion","EX1_608",True,"Neutral","Alex Horley Orlandelli","Common",3,2,2,"수습생들은 이래라 저래라 시키기 좋습니다. "마나 찐빵 만들어 와! 커피도! 마나는 두 스푼만!"","Mage",,,,
,"Classic","마음가짐","이번 턴에 내가 시전하는 다음 주문의 비용이 (3) 감소합니다.","Spell","EX1_145",True,"Neutral","Clint Langley","Epic",,0,,""항상 대비하라." - 도적 격언","Rogue",,,,
OneTurnEffect,"Classic","마음가짐","이번 턴에 내가 시전하는 다음 주문의 비용이 (3) 감소합니다.","Enchantment","EX1_145o",,,,,,,,,"Rogue",,,,
Spellpower,"Classic","말리고스","<b>주문 공격력 +5</b>","Minion","EX1_563",True,"Neutral","Michael Komarck","Legendary",4,9,12,"말리고스는 필멸자들이 마법 쓰는 걸 싫어합니다. 그럼 제이나는?",,"Dragon",,,True
Combo,"Classic","머리 후려치기","적 영웅에게 피해를 $2 줍니다.
<b>연계:</b> 다음 턴에 이 카드를 다시 내 손으로 가져옵니다.","Spell","EX1_137",True,"Neutral","James Zhang","Rare",,3,,"모든 공격이 실패해도 머리 후려치기만큼은 당신을 배신하지 않을 겁니다.","Rogue",,,,
,"Classic","먹어치우기","능력치 증가","Enchantment","EX1_304e",,,,,,,,,"Warlock",,,,
Windfury,"Classic","먼지 악령","<b>질풍</b>. <b>과부하:</b> (2)","Minion","EX1_243",True,"Neutral","Raymond Swanland","Common",3,1,1,"서부 몰락지대는 먼지 악령 대머리수리 미친 골렘 해적으로 가득합니다. 대체 왜 여기 사람이 살까요?","Shaman",,,,
Aura,"Classic","멀록 전투대장","다른 <b>모든</b> 멀록이 +2/+1을 얻습니다.","Minion","EX1_507",True,"Neutral","Tim McBurnie","Epic",3,3,3,"멀록들은 매일 똑같은 소리만 내는 게 지겹지 않을까요? 아니요! 므라아옳옳옳옳옳옳!",,"Murloc",,,
,"Classic","멀록 파도술사","멀록이 1마리 소환될 때마다 공격력을 +1 얻습니다.","Minion","EX1_509",True,"Neutral","Jaemin Kim","Rare",1,1,2,"함께 있으면 우린 아무 것도 두려울 게 없었다!",,"Murloc",,,
Taunt,"Classic","모구샨 감시자","<b>도발</b>","Minion","EX1_396",True,"Neutral","Cole Eastburn","Common",1,4,7,"천둥왕 밖에 모르는 바보!",,,,,
,"Classic","무거운 도끼",,"Weapon","EX1_409t",,,,,1,1,,,"Warrior",,,3,
,"Classic","무기 연마","내구도 +1","Enchantment","CS2_146o",,,,,,,,,,,,,
,"Classic","무뎌진 날","공격력 감소","Enchantment","EX1_411e2",,,,,,,,,"Warrior",,,,
,"Classic","무리의 우두머리","+1/+1","Enchantment","EX1_160be",,,,,,,,,"Druid",,,,
,"Classic","무리의 우두머리","내 하수인들에게 +1/+1을 부여합니다.","Spell","EX1_160b",,"Neutral",,,,,,,"Druid",,,,
,"Classic","무리의 힘","광포한 늑대 우두머리가 공격력 +1 부여","Enchantment","EX1_162o",,,,,,,,,,,,,
Battlecry,"Classic","무쇠부리 올빼미","<b>전투의 함성:</b> 하수인을 하나 <b>침묵</b>시킵니다.","Minion","CS2_203",True,"Horde","Trevor Jacobs","Common",2,2,1,"그들의 날갯짓은 조용하지만 울음소리는... 일단 조용함과는 거리가 멉니다.",,"Beast",,,
,"Classic","무장","공격력 증가","Enchantment","NEW1_037e",False,,,,,,,,,,,,
