SET,NAME,TEXT,TYPE,ID,PLAYERCLASS,COLLECTIBLE,ARTIST,RARITY,ATTACK,COST,HEALTH,RACE,FLAVOR,MECHANICS,ELITE,DURABILITY
Goblins vs Gnomes,Experimentador Gnômico,<b>Grito de Guerra:</b> Compre um card. Se for um lacaio transforme-o em uma Galinha.,Minion,GVG_092,,True,Jesper Esjing,Rare,3,3,2,,Ele sempre fica surpreso de verdade quando se transforma em galinha.,Battlecry,,
Goblins vs Gnomes,Fingir de Morto,Ative todos os <b>Últimos Suspiros</b> dos seus lacaios.,Spell,GVG_026,Hunter,True,Luca Zontini,Epic,,2,,,O mais difícil de "Fingir de Morto" é conseguir exalar o cheiro certo. Requer muita força de vontade.,,,
Goblins vs Gnomes,Fogo Enfático,<b>Escolha Um -</b> Evoque 5 Fogos-fátuos ou Conceda +5/+5 e <b>Provocar</b> a um lacaio.,Spell,GVG_041,Druid,True,Trent Kaniuga,Epic,,6,,,Não se preocupe a gente despediu a pessoa que traduziu esse card.,,,
Goblins vs Gnomes,Fogo Enfático,Evoque 5 Fogos-fátuos.,Spell,GVG_041b,Druid,,,,,,,,,,,
Goblins vs Gnomes,Fogo Enfático,+5/+5 e <b>Provocar</b>.,Enchantment,GVG_041c,Druid,,,,,,,,,,,
Goblins vs Gnomes,Fogo Enfático,+5/+5 e <b>Provocar</b>.,Spell,GVG_041a,Druid,,,,,,,,,,,
Goblins vs Gnomes,Foi-no-tranco,+2/+2.,Enchantment,GVG_055e,Warrior,,,,,,,,,,,
Goblins vs Gnomes,Fulminatron Giratório,<b>Fúria dos Ventos</b>,Minion,GVG_037,Shaman,True,Jim Nelson,Common,3,2,2,Mech,Com um pouquinho mais de grana dá para comprar na cor "vermelho-maça". Não não é "vermelho-maçã" é MAÇA mesmo.,Windfury,,
Goblins vs Gnomes,Gahzrilla,Sempre que este lacaio receber dano dobre o Ataque dele.,Minion,GVG_049,Hunter,True,Raymond Swanland,Legendary,6,7,9,Beast,A banda preferida do pessoal da Aldeia Senjin é "Os Gahzrillas".,,True,
Goblins vs Gnomes,Galinha,,Minion,GVG_092t,,,,,1,1,1,Beast,,,,
Goblins vs Gnomes,Garra de MalGanis,MalGanis concede +2/+2.,Enchantment,GVG_021e,Warlock,,,,,,,,,,,
Goblins vs Gnomes,Gasganete,Sempre que você lançar um feitiço com custo 1 de mana adicione um Mecanoide aleatório à sua mão.,Minion,GVG_117,,True,Luke Mancini,Legendary,3,6,6,,Gasganete foi eleito o aluno "Com Mais Chance de Explodir" no colégio.,,True,
Goblins vs Gnomes,Gigante de Corda,Custa (1) a menos para cada card na mão do seu oponente.,Minion,GVG_121,,True,Dan Scott,Epic,8,12,8,Mech,Ele e o Gigante da Montanha não se dão muito bem.,,,
Goblins vs Gnomes,Glaivezuca,+1 de Ataque.,Enchantment,GVG_043e,Hunter,,,,,,,,,,,
Goblins vs Gnomes,Glaivezuca,<b>Grito de Guerra:</b> Conceda +1 de Ataque a um lacaio aliado aleatório.,Weapon,GVG_043,Hunter,True,Gino Whitehall,Common,2,2,,,Para aquelas horas em que uma bazuca normal não dá conta do recado.,Battlecry,,2
Goblins vs Gnomes,Gnomo de Corda,<b>Último Suspiro:</b> Adicione um card <b>Peça Sobressalente</b> à sua mão.,Minion,GVG_082,,True,Matt Dixon,Common,2,1,1,Mech,Gnomos de corda são ótimos companheiros de escalada.,Deathrattle,,
Goblins vs Gnomes,Golem Ânima,No final do turno destrua este lacaio se ele for o seu único.,Minion,GVG_077,Warlock,True,Josh Harris,Epic,9,6,9,Mech,O Animus Sombrio é maligno e misterioso e enorme e forte e bacana e fala assim de um jeito que parece um chiuaua superempolgado.,,,
Goblins vs Gnomes,Golem Celeste Guiado,<b>Último Suspiro:</b> Evoque um lacaio aleatório com 4 de Custo.,Minion,GVG_105,,True,Michael Phillippi,Epic,6,6,4,Mech,O ápice da engenharia goblínica. Inclui uma máquina de espresso e um massageador de pés.,Deathrattle,,
Goblins vs Gnomes,Guardião de Cobalto,Sempre que você evocar um Mecanoide ganhe <b>Escudo Divino</b>.,Minion,GVG_062,Paladin,True,Jim Nelson,Rare,6,5,3,Mech,Os Guardiões eram feitos de adamantium mas a fábrica se mudou para Geringontzan e lá o cobalto é mais barato.,,,
Goblins vs Gnomes,Guaribando tique-taques,Atributos aumentados.,Enchantment,GVG_027e,Rogue,,,,,,,,,,,
Goblins vs Gnomes,Guerrobô,<b>Enfurecer:</b> +1 de Ataque.,Minion,GVG_051,Warrior,True,Tyler Walpole,Common,1,1,3,Mech,A produção em massa dos guerrobôs foi interrompida porque o tamanho deles tinha sido configurado para "tamanho de amostra grátis".,Enrage,,
Goblins vs Gnomes,Hobgoblin,Sempre que você jogar um lacaio com 1 de Ataque conceda-lhe +2/+2.,Minion,GVG_104,,True,Laurel D. Austin,Epic,2,3,3,,Os hobgoblins vão se reunir na semana que vem para discutir os pacotes de benefícios do sindicato. Primeiro tópico: plano odontológico.,,,
Goblins vs Gnomes,Iluminador,Se você controlar um <b>Segredo</b> no final do seu turno restaure 4 de Vida do seu herói.,Minion,GVG_089,,True,Jim Nelson,Rare,2,3,4,,Não ninguém vai gritar "LUMOS!" aqui. Cê tá achando o que que aqui é Hogwarts?,,,
Goblins vs Gnomes,Implosão de Diabrete,Cause $2-$4 de dano a um lacaio. Evoque um Diabrete 1/1 para cada ponto de dano causado.,Spell,GVG_045,Warlock,True,Jaemin Kim,Rare,,4,,,Os pedaços de metal voando a altíssima velocidade são bem piores que a explosão.,,,
Goblins vs Gnomes,Infantaria de Gnomeregan,<b>Investida</b>
<b>Provocar</b>,Minion,GVG_098,,True,Zoltan & Gabor,Common,1,3,4,,Os gnomos são valentes e estão prontos para voltar para à sua terra natal irradiada e sem ventilação!,Charge|Taunt,,
Goblins vs Gnomes,Intendente,<b>Grito de Guerra:</b> Conceda +2/+2 aos seus Recrutas do Punho de Prata.,Minion,GVG_060,Paladin,True,Phroilan Gardner,Epic,2,5,5,,A especialidade dele é dividir as coisas em quatro partes.,Battlecry,,
Goblins vs Gnomes,Interrompe-feitiços Nanico,Lacaios adjacentes não podem ser alvo de feitiços nem de Poderes Heroicos.,Minion,GVG_122,Mage,True,Jonboy Meyers,Epic,2,4,5,,Sua capacidade de interromper feitiços lhe valeu o apelido de "Empata-fada".,Aura,,
Goblins vs Gnomes,Invertido,Ataque e Vida foram invertidos pela Chave Reversora.,Enchantment,PART_006a,,,,,,,,,,,,
Goblins vs Gnomes,Jaganata de Ferro,<b>Grito de Guerra:</b> Coloque uma Mina no deck do seu oponente. Ao ser comprada ela explode causando 10 de dano.,Minion,GVG_056,Warrior,True,Raymond Swanland,Legendary,6,6,5,Mech,O Jaganata de Ferro protege Orgrimmar e acabou de ganhar o prêmio de "Funcionário do Mês"!,Battlecry,True,
Goblins vs Gnomes,Jarbas,Ao final dos respectivos turnos cada jogador compra até ter 3 cards.,Minion,GVG_094,,True,Matt Dixon,Rare,1,4,4,Mech,Pelas barbas do Jarbas! Não foi nada não é só que a gente sempre quis dizer isso.,,,
Goblins vs Gnomes,Lâmina Quicante,Cause $1 de dano a um lacaio aleatório. Repita até um lacaio morrer.,Spell,GVG_050,Warrior,True,Andrew Hou,Epic,,3,,,Só um goblin para achar que isso é uma boa ideia. E até eles já estão começando a ter dúvidas.,,,
Goblins vs Gnomes,Lâminas Rodopiantes,+1 de Ataque.,Enchantment,PART_007e,,,,,,,,,,,,
Goblins vs Gnomes,Lâminas Rodopiantes,Conceda +1 de Ataque a um lacaio.,Spell,PART_007,,,Nutchapol Thitinunthakorn,,,1,,,,,,
Goblins vs Gnomes,Leviatã Flamejante,Ao comprar este card cause 2 de dano a todos os personagens.,Minion,GVG_007,Mage,True,Aleksi Briclot,Legendary,7,7,7,Mech,Mimiron gosta de levar o Leviatã Flamejante para dar umas voltinhas... conseguir umas gatinhas...,,True,
Goblins vs Gnomes,Luz dos Naarus,Restaure #3 de Vida. Se o alvo ainda estiver ferido evoque uma Guardiã da Luz.,Spell,GVG_012,Priest,True,Jesper Ejsing,Rare,,1,,,"Bota fogo!" - Ordem dada aos Guardiões da Luz e Goblins com Canhões de Chamas.,,,
Goblins vs Gnomes,Maça do Poder,<b>Último Suspiro:</b> Conceda +2/+2 a um Mecanoide aliado aleatório.,Weapon,GVG_036,Shaman,True,Zoltan and Gabor,Rare,3,3,,,As pessoas acham que os xamãs controlam os elementos mas eles só meio que pedem um favor e os elementos respondem "ah claro sem problema".,Deathrattle,,2
Goblins vs Gnomes,Magia Metabolizada,Ataque aumentado.,Enchantment,GVG_067a,,,,,,,,,,Aura,,
Goblins vs Gnomes,Magia Metabolizada,Ataque aumentado.,Enchantment,GVG_068a,,,,,,,,,,Aura,,
Goblins vs Gnomes,Mago Explosivo Goblin,<b>Grito de Guerra:</b> Se você tiver um Mecanoide cause 4 de dano dividido aleatoriamente entre todos os inimigos.,Minion,GVG_004,Mage,True,Glenn Rane,Rare,5,4,4,,Sem bombas para jogar? Basta usar qualquer invenção goblínica.... dá no mesmo.,Battlecry,,
Goblins vs Gnomes,MalGanis,Seus outros Demônios ganham +2/+2.
Seu herói fica <b>Imune</b>.,Minion,GVG_021,Warlock,True,Wayne Reynolds,Legendary,9,9,7,Demon,MalGanis não gosta de ser traído. Cuidado ao descartá-lo.,Aura,True,
Goblins vs Gnomes,Malorne,<b>Último Suspiro:</b> Coloque este lacaio no seu deck.,Minion,GVG_035,Druid,True,Oliver Chipping,Legendary,9,7,7,Beast,Qual a bebida preferida de Malorne o espírito cervo? Cerveja? Não é água pura da fonte. Não foge não que eu vou ligar pro IBAMA.,Deathrattle,True,
Goblins vs Gnomes,Mantenedora do Bosque,<b>Escolha Um -</b> Conceda um Cristal de Mana a cada jogador; ou Cada jogador compra um card.,Minion,GVG_032,Druid,True,Chris Rahn,Rare,2,3,4,,Gosta de: fazer trilha e ficar ao ar livre. Não gosta de: retalhadores goblínicos e sandálias (nenhuma cabe!).,,,
Goblins vs Gnomes,Máquina de Cerco,Sempre que você ganhar Armadura conceda +1 de Ataque a este lacaio.,Minion,GVG_086,Warrior,True,Zero Yue,Rare,5,5,5,Mech,O ponto fraco da Bastilha de Invérnia!,,,
Goblins vs Gnomes,Máquina Voadora,<b>Fúria dos Ventos</b>,Minion,GVG_084,,True,Matt Dixon,Common,1,3,4,Mech,Para funcionar esse dispositivo precisa de uns dados de pelúcia amarrados no retrovisor. Sem isso ele é só uma "máquina despencadora".,Windfury,,
Goblins vs Gnomes,Mecangenheiro Termaplugue,Sempre que um lacaio inimigo morrer evoque um Gnomo Leproso.,Minion,GVG_116,,True,Trent Kaniuga,Legendary,9,9,7,Mech,Ele era obcecado por explosivos até descobrir o tricô. Agora ele grita: "CASAQUINHOS! MAIS CASAQUINHOS!",,True,
Goblins vs Gnomes,Mecano-traslador,Seus Mecanoides custam (1) a menos.,Minion,GVG_006,,True,Phil Saunders,Common,2,2,3,Mech,Mecanoides que evocam mecanoides? Qual vai ser a próxima novidade? Churros que evocam churros? Hmmm...,Aura,,
Goblins vs Gnomes,Mecano-Urso-Felino,Sempre que este lacaio receber dano adicione um card <b>Peça Sobressalente</b> à sua mão.,Minion,GVG_034,Druid,True,Trent Kaniuga,Rare,7,6,6,Mech,Nas horas de folga gosta de ouvir Renatto Urso.,,,
Goblins vs Gnomes,Mecanoide Aprimorador,<b>Grito de Guerra:</b> Conceda <b>Fúria dos Ventos</b> <b>Provocar</b> ou <b>Escudo Divino</b> aos seus outros lacaios.
<i>(aleatoriamente)</i>,Minion,GVG_107,,True,Zoltan Boros,Epic,3,4,2,Mech,Os aprimoramentos dele não contêm glúten!,Battlecry,,
Goblins vs Gnomes,Mestre da Engrenagem,Ganha +2 de Ataque enquanto você tiver um Mecanoide.,Minion,GVG_013,,True,Trent Kaniuga,Common,1,1,2,,Depois de um tempo você nem vê mais engrenagens e porcas. É tudo "robô" "tanque-aranha" "raio da morte"...,Aura,,
Goblins vs Gnomes,Micromáquina,No início de cada turno receba +1 de Ataque.,Minion,GVG_103,,True,Skan Srisuwan,Common,1,2,2,Mech,Esse card é do balacobaco.,,,
Goblins vs Gnomes,Mina Entocada,Ao comprar este card ele explode. Recebe 10 de dano e compre um card.,Spell,GVG_056t,Warrior,,Chris Seaman,,,0,,,,ImmuneToSpellpower,,
Goblins vs Gnomes,Minimago,<b>Furtividade</b>
<b>+1 de Dano Mágico</b>,Minion,GVG_109,,True,Ben Olson,Epic,4,4,1,,Às vezes ele se esconde no baú de tesouros da Arena de Gurubashi.,Spellpower|Stealth,,
Goblins vs Gnomes,Minirrobô Blindado,<b>Escudo Divino</b>,Minion,GVG_058,Paladin,True,Raymond Swanland,Common,2,2,2,Mech,Ele prefere acreditar naquilo em que foi programado para acreditar!,Divine Shield,,
Goblins vs Gnomes,Mística de Kezan,<b>Grito de Guerra:</b> Assuma o controle de um <b>Segredo</b> aleatório do inimigo.,Minion,GVG_074,,True,Jakub Kasper,Rare,4,4,3,,Eles fingem ser sensatos e esclarecidos mas na verdade só não gostam de ficar de fora das fofocas.,Battlecry,,
Goblins vs Gnomes,Moa Perdida,,Minion,GVG_071,,True,Benjamin Zhang,Common,5,4,4,Beast,A mensagem "se encontrar favor devolvê-lo a Mulgore" está gravada na traseira.,,,
Goblins vs Gnomes,Modo de Ataque,+1 de Ataque.,Spell,GVG_030a,Druid,,,,,,,,,,,
Goblins vs Gnomes,Modo de Ataque,+1 de Ataque.,Enchantment,GVG_030ae,Druid,,,,,,,,,,,
Goblins vs Gnomes,Modo Tanque,+1 de Vida.,Spell,GVG_030b,Druid,,,,,,,,,,,
Goblins vs Gnomes,Modo Tanque,+1 de Vida.,Enchantment,GVG_030be,Druid,,,,,,,,,,,
Goblins vs Gnomes,Moeda de Gallywix,Receba 1 Cristal de Mana somente neste turno.
<i>(Não ativa Gallywix.)</i>,Spell,GVG_028t,,,,,,0,,,,,,
Goblins vs Gnomes,Mogor o Ogro,Todos os lacaios têm 50% de chance de atacar o inimigo errado.,Minion,GVG_112,,True,Michal Ivan,Legendary,7,6,6,,Mogor já ajudou a reabrir o Portal Negro. A gente sabe que está encrencado quando precisa confiar em um ogro.,,True,
Goblins vs Gnomes,Neptulon,<b>Grito de Guerra:</b> Adicione 4 Murlocs aleatórios à sua mão. <b>Sobrecarga: (3)</b>,Minion,GVG_042,Shaman,True,Ruan Jia,Legendary,7,7,7,,Neptulon é o "Caçador das Marés". Ele é um dos quatro senhores elementais. E dizem que quando se reúnem ele e Ragnaros vão direto pra sauna.,Battlecry,True,
Goblins vs Gnomes,Nulificador Arcano X-21,<b>Provocar</b>
Não pode ser alvo de feitiços nem de Poderes Heroicos.,Minion,GVG_091,,True,Zero Yue,Rare,2,4,5,Mech,Os magos e os engenheiros gnomos vivem se estapeando para decidir quem foi que inventou esse mecanoide.,Taunt,,
Goblins vs Gnomes,O Rei,Ataque aumentado.,Enchantment,GVG_046e,Hunter,,,,,,,,,,,
Goblins vs Gnomes,Observador Flutuante,Sempre que seu herói receber dano no seu turno receba +2/+2.,Minion,GVG_100,Warlock,True,Todd Lockwood,Common,4,5,4,Demon,O nome original era "Olho Boladão do Mal Furioso em Chamas" mas o marketing achou que ficaria meio demais.,,,
