HEALTH,SET,TYPE,ID,NAME,MECHANICS,COLLECTIBLE,ARTIST,ELITE,TEXT,RARITY,ATTACK,COST,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,DURABILITY,RACE
5,Curse of Naxxramas,Minion,FP1_030,Лотхиб,Battlecry,True,Samwise,True,<b>Боевой клич:</b> в следующий ход противника его заклинания стоят на (5) маны больше.,Legendary,5,5,Можно создать после убийства всех боссов Чумного квартала.,А ведь когда-то Лотхиб был обычным болотным чудищем. Вам не кажется что давно пора задуматься об экологии Азерота?,Награда за победу над всеми боссами Чумного квартала.,,,
30,Curse of Naxxramas,Hero,NAX3_01,Мексна,,,,,,,,,,,,,,
8,Curse of Naxxramas,Minion,FP1_010,Мексна,Poisonous,True,Howard Lyon,True,Уничтожает любое существо которому нанесла урон.,Legendary,2,6,Можно создать после убийства всех боссов Паучьего квартала.,Мексна очень обижается когда ее называют «Мекси» или «Максин».,Награда за победу над всеми боссами Паучьего квартала.,,,Beast
45,Curse of Naxxramas,Hero,NAX3_01H,Мексна,,,,,,,,,,,,,,
,Curse of Naxxramas,Hero Power,NAX6_02,Мертвенная аура,,,,,<b>Сила героя</b>
Наносит 3 ед. урона герою противника.,,,2,,,,,,
,Curse of Naxxramas,Enchantment,FP1_030e,Мертвенная аура,,,,,Ваши заклинания стоят на (5) маны больше.,,,,,,,,,
,Curse of Naxxramas,Hero Power,NAX6_02H,Мертвенная аура,,,,,<b>Сила героя</b>
Наносит 3 ед. урона герою противника.,,,0,,,,,,
,Curse of Naxxramas,Enchantment,NAX6_03te,Микоз,,,,,Атака увеличена.,,,,,,,,,
1,Curse of Naxxramas,Minion,NAX15_05,Мистер Бигглсуорт,,,,True,<i>Это любимый кот Кел&sbquo;Тузада.</i>,Legendary,1,0,,,,,,Beast
2,Curse of Naxxramas,Minion,FP1_028,Могильщик,,True,Jonboy Meyers,,Получает +1 к атаке когда вы призываете на поле боя существо со способностью <b>«Предсмертный хрип»</b>.,Common,1,1,Можно создать после победы над Лоскутиком в Квартале Мерзости.,В мире где каждый умерший первым делом бежит к целителю душ и воскресает могильщики чуть не остались без работы.,Награда за победу над Лоскутиком в Квартале Мерзости.,,,
,Curse of Naxxramas,Enchantment,NAX11_04e,Мутагенный укол,,,,,+4/+4 и способность <b>«Провокация»</b>.,,,,,,,,,
,Curse of Naxxramas,Spell,NAX11_04,Мутагенный укол,,,,,Выбранное существо получает +4/+4 и способность <b>«Провокация»</b>.,,,3,,,,,,
2,Curse of Naxxramas,Minion,NAX11_03,Мутная слизь,,,,,,,2,1,,,,,,
,Curse of Naxxramas,Enchantment,NAX15_01e,Незваный гость!,,,,,,,,,,,,,,
,Curse of Naxxramas,Enchantment,NAX15_01He,Незваный гость!,,,,,,,,,,,,,,
6,Curse of Naxxramas,Minion,NAXM_001,Некрорыцарь,Deathrattle,,,,<b>Предсмертный хрип:</b> уничтожает находящихся рядом с ним существ.,,5,4,,,,,,
,Curse of Naxxramas,Spell,NAX3_03,Некротический яд,,,,,Уничтожает выбранное существо.,,,2,,,,,,
4,Curse of Naxxramas,Minion,NAX1h_03,Неруб,,,,,,,4,2,,,,,,
4,Curse of Naxxramas,Minion,FP1_007t,Неруб,,,,,,Rare,4,3,,,,,,
1,Curse of Naxxramas,Minion,NAX1_03,Неруб,,,,,,,3,2,,,,,,
5,Curse of Naxxramas,Minion,FP1_026,Неруб-душитель,Deathrattle,True,Nate Bowden,,<b>Предсмертный хрип:</b> возвращает ваше случайное существо в руку.,Common,5,4,Можно создать после завершения испытания разбойника в Наксрамасе.,Сначала его хотели назвать «Неруб возвращающий существо в руку» но название не влезло на карту.,Награда за прохождение испытания разбойника в Наксрамасе.,Rogue,,
2,Curse of Naxxramas,Minion,FP1_007,Нерубское яйцо,Deathrattle,True,Justin Thavirat,,<b>Предсмертный хрип:</b> призывает на поле боя неруба 4/4.,Rare,0,2,Можно создать после победы над Мексной в Паучьем квартале.,Яйца – отличный источник белков и нерубов.,Награда за победу над Мексной в Паучьем квартале.,,,
3,Curse of Naxxramas,Minion,FP1_024,Нестабильный вурдалак,Deathrattle|Taunt,True,Mike Nicholson,,<b>Провокация</b>. <b>Предсмертный хрип:</b> наносит 1 ед. урона всем существам.,Common,1,2,Можно создать после победы над Хейганом Нечестивым в Чумном квартале.,Первое чему учат в школе некромантов – не давать вурдалакам ракетное топливо.,Награда за победу над Хейганом Нечестивым в Чумном квартале.,,,
,Curse of Naxxramas,Hero Power,NAX9_06,Нечестивая тень,,,,,<b>Сила героя</b>
 Берет 2 карты.,,,5,,,,,,
,Curse of Naxxramas,Enchantment,NAX12_03e,Новые зубы,,,,,Атака увеличена.,,,,,,,,,
30,Curse of Naxxramas,Hero,NAX4_01,Нот Чумной,,,,,,,,,,,,Mage,,
45,Curse of Naxxramas,Hero,NAX4_01H,Нот Чумной,,,,,,,,,,,,Mage,,
,Curse of Naxxramas,Hero Power,NAX2_03H,Огненный ливень,ImmuneToSpellpower,,,,<b>Сила героя</b>
Делает по выстрелу за каждую карту в руке противника.,,,1,,,,,,
,Curse of Naxxramas,Hero Power,NAX2_03,Огненный ливень,ImmuneToSpellpower,,,,<b>Сила героя</b>
Делает по выстрелу за каждую карту в руке противника.,,,2,,,,,,
,Curse of Naxxramas,Weapon,NAX7_04H,Огромный клинок,,,,,Наносит двойной урон героям.,,10,3,,,,,2,
,Curse of Naxxramas,Weapon,NAX7_04,Огромный клинок,,,,,Наносит двойной урон героям.,,5,3,,,,,2,
2,Curse of Naxxramas,Minion,FP1_002,Одержимый ползун,Deathrattle,True,Jeremy Cranford,,<b>Предсмертный хрип:</b> призывает на поле боя двух призрачных пауков 1/1.,Common,1,2,Можно создать после победы над Ануб&sbquo;Реканом в Паучьем квартале.,Ложноарахнофобия: боязнь ложных пауков.,Награда за победу над Ануб&sbquo;Реканом в Паучьем квартале.,,,Beast
,Curse of Naxxramas,Spell,FP1_020,Отмщение,Secret,True,Zoltan & Gabor,,<b>Секрет:</b> когда одно из ваших существ умирает случайное ваше существо получает +3/+2.,Common,,1,Можно создать после завершения испытания паладина в Наксрамасе.,Однажды несколько паладинов решили создать комитет по справедливому воздаянию. Они хотели назвать свою организацию «Лига справедливости» но юристы их отговорили.,Награда за прохождение испытания паладина в Наксрамасе.,Paladin,,
,Curse of Naxxramas,Enchantment,FP1_020e,Отмщение,,,,,+3/+2.,,,,,,,Paladin,,
,Curse of Naxxramas,Hero Power,NAX11_02H,Отравленное облако,,,,,<b>Сила героя</b>
 Наносит 2 ед. урона всем персонажам противника. Если какое-либо существо умирает призывается слизь.,,,0,,,,,,
,Curse of Naxxramas,Hero Power,NAX11_02,Отравленное облако,,,,,<b>Сила героя</b>
 Наносит 1 ед. урона всем существам. Если какое-либо существо умирает призывается слизь.,,,2,,,,,,
,Curse of Naxxramas,Hero Power,NAX1h_04,Паучий шелест,,,,,<b>Сила героя</b>
 Призывает на поле боя неруба 4/4.,,,2,,,,,,
,Curse of Naxxramas,Hero Power,NAX1_04,Паучий шелест,,,,,<b>Сила героя</b>
 Призывает на поле боя неруба 3/1.,,,2,,,,,,
,Curse of Naxxramas,Enchantment,FP1_005e,Поглощение,,,,,Характеристики увеличены.,,,,,,,,,
,Curse of Naxxramas,Enchantment,NAX13_02e,Полярность,,,,,Атака и здоровье поменялись местами.,,,,,,,,,
4,Curse of Naxxramas,Minion,NAX2_05,Почитатель,Aura,,,,Герой получает +1 к атаке в свой ход.,,1,3,,,,,,
4,Curse of Naxxramas,Minion,NAX2_05H,Почитатель,Aura,,,,Герой получает +3 к атаке в свой ход.,,2,3,,,,,,
4,Curse of Naxxramas,Minion,NAX8_04t,Призрачный воин,,,,,В начале вашего хода наносит 1 ед. урона вашему герою.,,0,3,,,,,,
6,Curse of Naxxramas,Minion,NAX8_05t,Призрачный всадник,,,,,В начале вашего хода наносит 1 ед. урона вашему герою.,,0,5,,,,,,
2,Curse of Naxxramas,Minion,NAX8_03t,Призрачный новобранец,,,,,В начале вашего хода наносит 1 ед. урона вашему герою.,,0,1,,,,,,
1,Curse of Naxxramas,Minion,FP1_002t,Призрачный паук,,,,,,,1,1,,,,,,
6,Curse of Naxxramas,Minion,FP1_008,Призрачный рыцарь,,True,Chris Rahn,,Не может быть целью заклинаний или силы героя.,Common,4,5,Можно создать после победы над Готиком Жнецом в Военном квартале.,Что общего у чудесных дракончиков и призрачных рыцарей? Они оба любят покушать!,Награда за победу над Готиком Жнецом в Военном квартале.,,,
4,Curse of Naxxramas,Minion,FP1_022,Призыватель Бездны,Deathrattle,True,Robb Shoberg,,<b>Предсмертный хрип:</b> вы призываете на поле боя случайного демона из вашей руки.,Common,3,4,Можно создать после завершения испытания чернокнижника в Наксрамасе.,«Бездна! Эй Бездна! Ко мне!»,Награда за прохождение испытания чернокнижника в Наксрамасе.,Warlock,,Demon
,Curse of Naxxramas,Enchantment,NAX15_04a,Раб Кел&sbquo;Тузада,,,,,МОЕ!,,,,,,,,,
,Curse of Naxxramas,Spell,FP1_018,Раздвоение,Secret,True,Alex Garner,,<b>Секрет:</b> когда умирает ваше существо вы кладете в руку две его копии.,Common,,3,Можно создать после завершения испытания мага в Наксрамасе.,Тот редкий случай когда вашу учетную запись не заблокируют за удвоение карт.,Награда за прохождение испытания мага в Наксрамасе.,Mage,,
,Curse of Naxxramas,Spell,NAX1_05,Рой саранчи,,,,,Наносит $3 ед. урона всем существам противника. Восстанавливает #3 ед. здоровья вашему герою.,,,7,,,,,,
,Curse of Naxxramas,Weapon,NAX9_05,Рунический клинок,,,,,Если остальные всадники мертвы получает +3 к атаке.,,1,3,,,,,3,
,Curse of Naxxramas,Weapon,NAX9_05H,Рунический клинок,,,,,Если остальные всадники мертвы получает +6 к атаке.,,2,3,,,,,3,
30,Curse of Naxxramas,Hero,NAX14_01,Сапфирон,,,,,,,,,,,,,,
45,Curse of Naxxramas,Hero,NAX14_01H,Сапфирон,,,,,,,,,,,,,,
,Curse of Naxxramas,Hero Power,NAX7_03H,Сбить с ног,,,,,<b>Сила героя</b>
Наносит 4 ед. урона.,,,1,,,,,,
,Curse of Naxxramas,Hero Power,NAX7_03,Сбить с ног,,,,,<b>Сила героя</b>
 Наносит 3 ед. урона.,,,2,,,,,,
,Curse of Naxxramas,Hero Power,NAX13_02,Сдвиг полярности,,,,,<b>Сила героя</b>
 Меняет местами атаку и здоровье всех существ.,,,0,,,,,,
,Curse of Naxxramas,Enchantment,FP1_023e,Сила зиккурата,,,,,+3 к здоровью.,,,,,,,Priest,,
1,Curse of Naxxramas,Minion,NAX4_03,Скелет,,,,,,,1,1,,,,,,
5,Curse of Naxxramas,Minion,NAX4_03H,Скелет,,,,,,,5,5,,,,,,
3,Curse of Naxxramas,Minion,NAXM_002,Скелет-кузнец,Deathrattle,,,,<b>Предсмертный хрип:</b> уничтожает оружие противника.,,4,3,,,,,,
2,Curse of Naxxramas,Minion,FP1_012t,Слизь,Taunt,,,,<b>Провокация</b>,,1,1,,,,,,
1,Curse of Naxxramas,Minion,NAX6_03t,Спора,Deathrattle,,,,<b>Предсмертный хрип:</b> все существа противника получают +8 к атаке.,,0,0,,,,,,
4,Curse of Naxxramas,Minion,NAX13_05H,Сталагг,,,,True,,Legendary,7,5,,,,,,
4,Curse of Naxxramas,Minion,FP1_014,Сталагг,Deathrattle,True,Dany Orizio,True,<b>Предсмертный хрип:</b> если во время этого матча умер Фойген призывает на поле боя Таддиуса.,Legendary,7,5,Можно создать после убийства всех боссов Квартала Мерзости.,Сталагг сам придумал себе художественный текст:  &bdquo;Сталагг хороший!&bdquo;,Награда за победу над всеми боссами Квартала Мерзости.,,,
5,Curse of Naxxramas,Minion,FP1_016,Стенающая душа,Battlecry,True,Glenn Rane,,<b>Боевой клич:</b> накладывает эффект <b>немоты</b> на прочих ваших существ.,Rare,3,4,Можно создать после победы над Таддиусом в Квартале Мерзости.,Эта душа так громко стенает что иногда хочется чтобы она умела накладывать немоту сама на себя.,Награда за победу над Таддиусом в Квартале Мерзости.,,,
5,Curse of Naxxramas,Minion,NAX15_03t,Страж Ледяной Короны,Taunt,,,,<b>Провокация</b>,,5,4,,,,,,
3,Curse of Naxxramas,Minion,NAX15_03n,Страж Ледяной Короны,Taunt,,,,<b>Провокация</b>,,3,4,,,,,,
,Curse of Naxxramas,Spell,NAX13_03,Суперзаряд,,,,,Ваши существа получают +2 к здоровью.,,,2,,,,,,
,Curse of Naxxramas,Enchantment,NAX13_03e,Суперзарядка,,,,,+2 к здоровью.,,,,,,,,,
7,Curse of Naxxramas,Minion,NAX9_04,Сэр Зелиек,,,,True,Ваш герой <b>неуязвим</b>.,,1,3,,,,,,
7,Curse of Naxxramas,Minion,NAX9_04H,Сэр Зелиек,,,,True,Ваш герой <b>неуязвим</b>.,,2,3,,,,,,
45,Curse of Naxxramas,Hero,NAX13_01H,Таддиус,,,,,,,,,,,,,,
11,Curse of Naxxramas,Minion,FP1_014t,Таддиус,,,,True,,Legendary,11,10,,,,,,
30,Curse of Naxxramas,Hero,NAX13_01,Таддиус,,,,,,,,,,,,,,
7,Curse of Naxxramas,Minion,NAX9_03,Тан Кортазз,,,,True,Ваш герой <b>неуязвим</b>.,,1,3,,,,,,
7,Curse of Naxxramas,Minion,NAX9_03H,Тан Кортазз,,,,True,Ваш герой <b>неуязвим</b>.,,2,3,,,,,,
4,Curse of Naxxramas,Minion,FP1_029,Танцующие клинки,Deathrattle,True,Jon McConnell,,<b>Предсмертный хрип:</b> противник берет карту.,Common,4,3,Можно создать после победы над инструктором Разувием в Военном квартале.,Больше всего они любят танцевать лезгинку.,Награда за победу над инструктором Разувием в Военном квартале.,,,
4,Curse of Naxxramas,Minion,FP1_023,Темный сектант,Deathrattle,True,Phroilan Gardner,,<b>Предсмертный хрип:</b> увеличивает здоровье вашего случайного существа на 3.,Common,3,3,Можно создать после завершения испытания жреца в Наксрамасе.,Культ Проклятых пришел к выводу что при наборе новых сектантов лучше не упоминать название их организации.,Награда за прохождение испытания жреца в Наксрамасе.,Priest,,
1,Curse of Naxxramas,Minion,FP1_011,Тенетник,Deathrattle,True,Dan Brereton,,<b>Предсмертный хрип:</b> вы кладете в руку случайную карту зверя.,Common,1,1,Можно создать после завершения испытания охотника в Наксрамасе.,Никогда не знаешь что найдешь в паучьем коконе!,Награда за прохождение испытания охотника в Наксрамасе.,Hunter,,Beast
2,Curse of Naxxramas,Minion,FP1_005,Тень Наксрамаса,Stealth,True,Ittoku Seta,,<b>Маскировка</b>. В начале вашего хода получает +1/+1.,Epic,2,3,Можно создать после победы над Кел&sbquo;Тузадом в Логове ледяного змея.,Тени Наксрамаса ненавидят все живое. Они даже кличку смертным придумали – «живчики».,Награда за победу над Кел&sbquo;Тузадом в Логове ледяного змея.,,,
,Curse of Naxxramas,Hero Power,NAX10_03,Удар ненависти,,,,,<b>Сила героя</b>
 Уничтожает существо.,,,4,,,,,,
,Curse of Naxxramas,Hero Power,NAX10_03H,Удар ненависти,,,,,<b>Сила героя</b>
 Уничтожает существо.,,,4,,,,,,
,Curse of Naxxramas,Weapon,FP1_021,Укус смерти,Deathrattle,True,Jim Nelson,,<b>Предсмертный хрип:</b> наносит 1 ед. урона всем существам.,Common,4,4,Можно создать после завершения испытания воина в Наксрамасе.,Кто бы мог подумать что у смерти есть зубы!,Награда за прохождение испытания воина в Наксрамасе.,Warrior,2,
7,Curse of Naxxramas,Minion,NAX7_02,Ученик,Taunt,,,,<b>Провокация</b>,,0,2,,,,,,
7,Curse of Naxxramas,Minion,FP1_015,Фойген,Deathrattle,True,Dany Orizio,True,<b>Предсмертный хрип:</b> если во время этого матча умер Сталагг призывает на поле боя Таддиуса.,Legendary,4,5,Можно создать после убийства всех боссов Квартала Мерзости.,Фойген такой грустный потому что Сталагга любят больше.,Награда за победу над всеми боссами Квартала Мерзости.,,,
7,Curse of Naxxramas,Minion,NAX13_04H,Фойген,,,,True,,Legendary,4,5,,,,,,
30,Curse of Naxxramas,Hero,NAX5_01,Хейган Нечестивый,,,,,,,,,,,,Warlock,,
45,Curse of Naxxramas,Hero,NAX5_01H,Хейган Нечестивый,,,,,,,,,,,,Warlock,,
,Curse of Naxxramas,Hero Power,NAX15_04H,Цепи,,,,,<b>Сила героя</b>
Получает контроль над случайным существом противника.,,,8,,,,,,
,Curse of Naxxramas,Hero Power,NAX15_04,Цепи,,,,,<b>Сила героя</b>
Получает контроль над случайным существом противника до конца хода.,,,8,,,,,,
,Curse of Naxxramas,Weapon,NAX12_03,Челюсти,,,,,Получает +2 к атаке когда умирает существо со способностью <b>«Предсмертный хрип»</b>.,,1,1,,,,,5,
,Curse of Naxxramas,Weapon,NAX12_03H,Челюсти,,,,,Получает +2 к атаке когда умирает существо со способностью <b>«Предсмертный хрип»</b>.,,3,1,,,,,5,
,Curse of Naxxramas,Spell,NAX14_04,Чистый холод,Freeze,,,,Наносит $8 ед. урона герою противника и <b>замораживает</b> его.,,,5,,,,,,
