MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,RACE,PLAYERCLASS,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,ELITE,FACTION,DURABILITY
,Blackrock Mountain,В отрыв!,Призывает на поле боя 3 огнекамня. <b>Перегрузка:</b> (2),,3,,Spell,BRMA04_4H,,,,,,,,,,,
,Blackrock Mountain,Валестраз Порочный,,,,30,Hero,BRMA11_1H,,,,,,,,,,,
,Blackrock Mountain,Валестраз Порочный,,,,30,Hero,BRMA11_1,,,,,,,,,,,
,Blackrock Mountain,Взять их!,Призывает на поле боя четырех дворфов 1/1 со способностью <b>«Провокация»</b>.,,3,,Spell,BRMA01_4,,,,,,,,,,,
,Blackrock Mountain,Вождь Омокк,,,,30,Hero,BRMA07_1H,,,,,,,,,,,
,Blackrock Mountain,Вождь Омокк,,,,30,Hero,BRMA07_1,,,,,,,,,,,
,Blackrock Mountain,Возгорание!,Атака увеличена.,,,,Enchantment,BRM_012e,,,,,,,,,,,
,Blackrock Mountain,Возмездие,Наносит $1 ед. урона всем существам. Если у вашего героя 12 или меньше ед. здоровья вместо этого наносит $3 ед. урона.,,2,,Spell,BRM_015,,Warrior,True,Ben Olson,Rare,Можно создать после победы над Бритвосмертом в Логове Крыла Тьмы.,Это лучше чем «Чародейский взрыв». Уж теперь воины перестанут жаловаться что «Огненный шар» магов лучше чем их «Смертельный удар».,Награда за победу над Бритвосмертом в Логове Крыла Тьмы.,,,
,Blackrock Mountain,Волновое дыхание,Наносит $3 ед. урона выбранному существу. Ваше оружие получает +3 к атаке.,,4,,Spell,BRMA16_3,,,,,,,,,,,
,Blackrock Mountain,Волновое дыхание,+3 к атаке.,,,,Enchantment,BRMA16_3e,,,,,,,,,,,
,Blackrock Mountain,Воскрешение,Призывает на поле боя ваше случайное существо которое умерло в течение этого матча.,,2,,Spell,BRM_017,,Priest,True,Luke Mancini,Rare,Можно создать после победы над императором Тауриссаном в Глубинах Черной горы.,Я зашел в подземелье и увидел мертвого искателя приключений. Перед самой смертью он успел нацарапать на стене что-то непонятное и зловещее: «рес плз».,Награда за победу над императором Тауриссаном в Глубинах Черной горы.,,,
,Blackrock Mountain,Воспламенение маны,<b>Сила героя</b>Если у героя противника осталась неистраченная мана наносит ему 10 ед. урона.,,0,,Hero Power,BRMA05_2H,,,,,,,,,,,
,Blackrock Mountain,Воспламенение маны,<b>Сила героя</b>Если у героя противника осталась неистраченная мана наносит ему 5 ед. урона.,,0,,Hero Power,BRMA05_2,,,,,,,,,,,
,Blackrock Mountain,Вулканический дракон,Стоит на (1) ману меньше за каждое существо умершее на этом ходу.,6,6,4,Minion,BRM_025,Dragon,,True,Lucas Graciano,Common,Можно создать после победы над защитной системой «Омнитрон» в Тайной лаборатории.,Вулканические драконы выдыхают не пламя но потоки лавы. А из нее можно делать забавные безделушки и ребята из лагеря Братства Тория на этом зарабатывают.,Награда за победу над защитной системой «Омнитрон» в Тайной лаборатории.,,,
Taunt,Blackrock Mountain,Вулканический древень,<b>Провокация.</b>Стоит на (1) ману меньше за каждое существо умершее на этом ходу.,7,9,8,Minion,BRM_009,,Druid,True,Trent Kaniuga,Rare,Можно создать после завершения испытания друида в Черной горе.,А я теряю корни-и-и-и!,Награда за прохождение испытания друида в Черной горе.,,,
,Blackrock Mountain,Гарр,,,,30,Hero,BRMA04_1,,,,,,,,,,,
,Blackrock Mountain,Гарр,,,,45,Hero,BRMA04_1H,,,,,,,,,,,
,Blackrock Mountain,Генерал Драккисат,,,,50,Hero,BRMA08_1H,,,,,,,,,,,
,Blackrock Mountain,Генерал Драккисат,,,,50,Hero,BRMA08_1,,,,,,,,,,,
,Blackrock Mountain,Гит,,8,3,8,Minion,BRMA09_5Ht,Dragon,,,,Legendary,,,,True,,
,Blackrock Mountain,Гит,,8,3,4,Minion,BRMA09_5t,Dragon,,,,Legendary,,,,True,,
,Blackrock Mountain,Главарь банды бесов,Призывает на поле боя беса 1/1 каждый раз когда получает урон.,2,3,4,Minion,BRM_006,Demon,Warlock,True,Steve Prescott,Common,Можно создать после победы над Мажордомом Экзекутусом в Огненных Недрах.,Бесы из его банды любят пробираться к Башне Магов в Штормграде и покрывать ее стены надписями вроде «Рагнарос рулит».,Награда за победу над Мажордомом Экзекутусом в Огненных Недрах.,,,
,Blackrock Mountain,Гнездовье,<b>Сила героя</b>Все оскверненные яйца получают +1 к здоровью после чего призывает оскверненное яйцо.,,0,,Hero Power,BRMA10_3H,,,,,,,,,,,
,Blackrock Mountain,Гнездовье,<b>Сила героя</b>Все оскверненные яйца получают +1 к здоровью после чего призывает оскверненное яйцо.,,1,,Hero Power,BRMA10_3,,,,,,,,,,,
Battlecry,Blackrock Mountain,Голодный дракон,<b>Боевой клич:</b> призывает случайное существо за 1 ману на сторону вашего противника.,5,4,6,Minion,BRM_026,Dragon,,True,John Polidora,Common,Можно создать после победы над Хромаггусом в Логове Крыла Тьмы.,Очень голодный и злой дракон – это НЕ весело.,Награда за победу над Хромаггусом в Логове Крыла Тьмы.,,,
,Blackrock Mountain,Горящий адреналин,Наносит $2 ед. урона герою противника.,,0,,Spell,BRMA11_3,,,,,,,,,,,
Battlecry,Blackrock Mountain,Губитель Крыла Тьмы,<b>Боевой клич:</b> наносит 3 ед. урона если у вас в руке есть дракон.,5,5,4,Minion,BRM_034,,,True,Greg Staples,Common,Можно создать после победы над Малориаком в Тайной лаборатории.,Он получил свое прозвище когда принес в логово Крыла Тьмы комиксы и записи рок-концертов.,Награда за победу над Малориаком в Тайной лаборатории.,,Neutral,
,Blackrock Mountain,Дворф-вышибала,Всегда выигрывает в потасовке.,4,6,8,Minion,BRMA01_3,,,,,,,,,,,
AffectedBySpellPower,Blackrock Mountain,Демонический гнев,Наносит $2 ед. урона всем существам не являющимся демонами.,,3,,Spell,BRM_005,,Warlock,True,Raymond Swanland,Rare,Можно создать после завершения испытания чернокнижника в Черной горе.,Большую часть времени демоны притворяются довольно милыми существами но они не могут сдержать злорадство когда кто-то разыгрывает эту карту.,Награда за прохождение испытания чернокнижника в Черной горе.,,,
,Blackrock Mountain,Дикая магия,<b>Сила героя</b>Кладет в руку случайное классовое заклинание противника.,,1,,Hero Power,BRMA13_4,,,,,,,,,,,
,Blackrock Mountain,Дикая магия,<b>Сила героя</b>Кладет в руку случайное классовое заклинание противника.,,1,,Hero Power,BRMA13_4H,,,,,,,,,,,
Battlecry,Blackrock Mountain,Драконид-сокрушитель,<b>Боевой клич:</b> получает +3/+3 если у героя вашего противника осталось 15 или меньше ед. здоровья.,6,6,6,Minion,BRM_024,Dragon,,True,Slawomir Maniak,Common,Можно создать после победы над Атрамедом в Тайной лаборатории.,Дракониды будучи гуманоидами сочетают в себе самые худшие черты драконов. Такими они были созданы. Но вот зачем?,Награда за победу над Атрамедом в Тайной лаборатории.,,,
,Blackrock Mountain,Драконор,,5,1,4,Minion,BRMA09_4Ht,Dragon,,,,,,,,,,
,Blackrock Mountain,Драконор,,3,1,1,Minion,BRMA09_4t,Dragon,,,,,,,,,,
,Blackrock Mountain,Драконор-чародей,Получает +1/+1 когда вы выбираете это существо целью заклинания.,3,4,5,Minion,BRM_020,Dragon,,True,Edouard Guiton & Stuido HIVE,Common,Можно создать после победы над Нефарианом в Тайной лаборатории.,Драконоры-чародеи такие: «Мы волшебники». А все остальные такие: «Ой неееет».,Награда за победу над Нефарианом в Тайной лаборатории.,,,
,Blackrock Mountain,Дракончик,,1,1,1,Minion,BRMA09_2t,Dragon,,,,,,,,,,
,Blackrock Mountain,Дракончик,,1,1,1,Minion,BRM_004t,,,,,,,,,,,
,Blackrock Mountain,Дракончик,,2,1,2,Minion,BRMA09_2Ht,Dragon,,,,,,,,,,
,Blackrock Mountain,Друид пламени,,5,3,2,Minion,BRM_010t,Beast,Druid,,Ben Zhang,Common,,,,,,
,Blackrock Mountain,Друид пламени,<b>Выберите эффект:</b> превращается в существо 5/2 или в существо 2/5.,2,3,2,Minion,BRM_010,,Druid,True,Stanley Lau,Common,Можно создать после победы над Гарром в Огненных Недрах.,Рагнарос легко привлек на свою сторону тех из друидов кто слишком долго сражался на ледяных просторах Нордскола. Чашка горячего какао порой творит чудеса.,Награда за победу над Гарром в Огненных Недрах.,,,
,Blackrock Mountain,Друид пламени,,2,3,5,Minion,BRM_010t2,Beast,Druid,,Hideaki Takamura,Common,,,,,,
,Blackrock Mountain,Душа красных драконов,<b>Сила героя</b>Каждый игрок берет 2 карты.,,0,,Hero Power,BRMA11_2,,,,,,,,,,,
,Blackrock Mountain,Душа красных драконов,<b>Сила героя</b>Получает кристалл маны. Каждый игрок берет 3 карты.,,0,,Hero Power,BRMA11_2H,,,,,,,,,,,
,Blackrock Mountain,Дыхание дракона,Наносит $4 ед. урона. Это заклинание стоит на (1) ману меньше за каждое существо умершее на этом ходу.,,5,,Spell,BRM_003,,Mage,True,Mauricio Herrera,Common,Можно создать после завершения испытания мага в Черной горе.,А вы знали что драконы могут выдыхать не только огонь но и сахарную вату? Правда их довольно сложно на это уговорить.,Награда за прохождение испытания мага в Черной горе.,,,
,Blackrock Mountain,Живая бомба,Выберите существо противника. Если оно останется на поле боя в начале вашего следующего хода живая бомба нанесет $10 ед. урона всем персонажам противника.,,3,,Spell,BRMA05_3H,,,,,,,,,,,
,Blackrock Mountain,Живая бомба,Наносит всем вашим персонажам 5 ед. урона в начале хода Геддона.,,,,Enchantment,BRMA05_3e,,,,,,,,,,,
,Blackrock Mountain,Живая бомба,Наносит всем вашим персонажам 10 ед. урона в начале хода Геддона.,,,,Enchantment,BRMA05_3He,,,,,,,,,,,
,Blackrock Mountain,Живая бомба,Выберите существо противника. Если оно останется на поле боя в начале вашего следующего хода живая бомба нанесет $5 ед. урона всем персонажам противника.,,4,,Spell,BRMA05_3,,,,,,,,,,,
Taunt,Blackrock Mountain,Живая лава,<b>Провокация</b>,6,0,6,Minion,BRMA13_6,,,,,,,,,,,
,Blackrock Mountain,Зелье силы,+2/+2.,,,,Enchantment,BRMA15_2He,,,,,,,,,,,
Taunt,Blackrock Mountain,Зритель Черного Железа,<b>Провокация</b>,1,1,1,Minion,BRMA02_2t,,,,,,,,,,,
,Blackrock Mountain,Зубы дракона,Каждый раз когда ваш противник разыгрывает карту это оружие получает +1 к атаке.,0,1,,Weapon,BRMA16_5,,,,,,,,,,,6
,Blackrock Mountain,Император Тауриссан,,,,30,Hero,BRMA03_1H,,,,,,,,,,,
,Blackrock Mountain,Император Тауриссан,В конце вашего хода уменьшает стоимость карт в вашей руке на (1) ману.,5,6,5,Minion,BRM_028,,,True,Wayne Reynolds,Legendary,Можно создать после убийства всех боссов в Глубинах Черной горы.,Вторым поступком о котором он жалеет был призыв Повелителя Огня поработившего в итоге его народ.,Награда за победу над всеми боссами Глубин Черной горы.,True,,
,Blackrock Mountain,Император Тауриссан,,,,30,Hero,BRMA03_1,,,,,,,,,,,
,Blackrock Mountain,Инкубация,Здоровье увеличено.,,,,Enchantment,BRMA10_3e,,,,,,,,,,,
,Blackrock Mountain,Истинная форма,<b>Сила героя</b>Ну что ж поиграем!,,1,,Hero Power,BRMA13_2,,,,,,,,,,,
,Blackrock Mountain,Истинная форма,<b>Сила героя</b>Ну что ж поиграем!,,1,,Hero Power,BRMA13_2H,,,,,,,,,,,
,Blackrock Mountain,Истинный вождь,Уничтожает выбранное легендарное существо.,,1,,Spell,BRMA09_6,,,,,,,,,,,
,Blackrock Mountain,Коготь Ониксии,,2,2,,Weapon,BRMA17_9,,,,,,,,,,,6
,Blackrock Mountain,Когти Бритвосмерта,Получает +1 к атаке каждый раз когда умирает оскверненное яйцо.,1,1,,Weapon,BRMA10_6,,,,,,,,,,,5
,Blackrock Mountain,Корен Худовар,,,,30,Hero,BRMA01_1H,,,,,,,,,,,
,Blackrock Mountain,Корен Худовар,,,,30,Hero,BRMA01_1,,,,,,,,,,,
,Blackrock Mountain,Костяное создание,,4,1,2,Minion,BRMA17_6H,,,,,,,,,,,
,Blackrock Mountain,Костяное создание,,2,1,1,Minion,BRMA17_6,,,,,,,,,,,
,Blackrock Mountain,Костяные прислужники,<b>Сила героя</b>Призывает два костяных создания 2/1.,,2,,Hero Power,BRMA17_5,,,,,,,,,,,
,Blackrock Mountain,Костяные прислужники,<b>Сила героя</b>Призывает два костяных создания 4/2.,,2,,Hero Power,BRMA17_5H,,,,,,,,,,,
,Blackrock Mountain,Кровь дракона,+1/+1.,,,,Enchantment,BRM_033e,,,,,,,,,,,
Windfury,Blackrock Mountain,Кружащийся пепел,<b>Неистовство ветра</b>,4,0,5,Minion,BRMA13_7,,,,,,,,,,,
,Blackrock Mountain,КРУШИ-И-ИТЬ!!,Наносит $5 ед. урона случайному персонажу противника. Вы получаете +5 к броне.,,4,,Spell,BRMA07_3,,,,,,,,,,,
,Blackrock Mountain,Крыло Тьмы,<b>Сила героя</b>Призывает на поле боя драконора 3/1. Изменяет силу героя.,,1,,Hero Power,BRMA09_4,,,,,,,,,,,
,Blackrock Mountain,Крыло Тьмы,<b>Сила героя</b>Призывает на поле боя драконора 5/4. Изменяет силу героя.,,1,,Hero Power,BRMA09_4H,,,,,,,,,,,
,Blackrock Mountain,Куча мала!,<b>Сила героя</b>Кладет на поле боя по одному существу из каждой колоды.,,0,,Hero Power,BRMA01_2,,,,,,,,,,,
,Blackrock Mountain,Куча мала!,<b>Сила героя</b>Кладет на поле боя два существа из своей колоды и одно существо из колоды противника.,,0,,Hero Power,BRMA01_2H,,,,,,,,,,,
,Blackrock Mountain,ЛАВА!,Наносит $2 ед. урона всем существам.,,2,,Spell,BRMA17_4,,,,,,,,,,,
OneTurnEffect,Blackrock Mountain,Лавовый шок,Карты которые вы разыграете на этом ходу не вызывают <b>Перегрузку</b>.,,,,Enchantment,BRM_011t,,Shaman,,,,,,,,,
,Blackrock Mountain,Лавовый шок,Наносит $2 ед. урона.Все ваши кристаллы маны освобождаются от эффекта <b>Перегрузки</b>.,,2,,Spell,BRM_011,,Shaman,True,Zoltan Boros,Rare,Можно создать после завершения испытания шамана в Черной горе.,Шокирующие новости от оргриммарских ученых! Оказывается лава обжигает!,Награда за прохождение испытания шамана в Черной горе.,,,
,Blackrock Mountain,Лорд Виктор Нефарий,,,,30,Hero,BRMA13_1,,,,,,,,,,,
,Blackrock Mountain,Лорд Виктор Нефарий,,,,30,Hero,BRMA13_1H,,,,,,,,,,,
,Blackrock Mountain,Магия бронзовых драконов,Существа Хромаггуса стоят на (1) ману меньше пока у вас в руке находится эта карта.,,1,,Spell,BRMA12_7,,,,,,,,,,,
,Blackrock Mountain,Магия бронзовых драконов,Существа Хромаггуса стоят на (3) маны меньше пока у вас в руке находится эта карта.,,3,,Spell,BRMA12_7H,,,,,,,,,,,
,Blackrock Mountain,Магия драконов,<b>Сила героя</b>В конце вашего хода противник кладет в руку карту «Магия драконов».,,0,,Hero Power,BRMA12_2,,,,,,,,,,,
,Blackrock Mountain,Магия драконов,<b>Сила героя</b>В конце вашего хода противник получает в руку карту «Магия драконов»,,0,,Hero Power,BRMA12_2H,,,,,,,,,,,
,Blackrock Mountain,Магия зеленых драконов,Пока у вас в руке находится эта карта вы восстанавливаете 6 ед. здоровья герою противника в начале вашего хода.,,3,,Spell,BRMA12_4H,,,,,,,,,,,
,Blackrock Mountain,Магия зеленых драконов,Пока у вас в руке находится эта карта вы восстанавливаете 2 ед. здоровья герою противника в начале вашего хода.,,1,,Spell,BRMA12_4,,,,,,,,,,,
ImmuneToSpellpower,Blackrock Mountain,Магия красных драконов,Пока у вас в руке находится эта карта ваш герой получает 1 ед. урона в начале вашего хода.,,1,,Spell,BRMA12_3,,,,,,,,,,,
ImmuneToSpellpower,Blackrock Mountain,Магия красных драконов,Пока у вас в руке находится эта карта ваш герой получает 3 ед. урона в начале вашего хода.,,3,,Spell,BRMA12_3H,,,,,,,,,,,
,Blackrock Mountain,Магия синих драконов,Заклинания Хромаггуса стоят на (1) ману меньше пока у вас в руке находится эта карта.,,1,,Spell,BRMA12_5,,,,,,,,,,,
,Blackrock Mountain,Магия синих драконов,Заклинания Хромаггуса стоят на (3) маны меньше пока у вас в руке находится эта карта.,,3,,Spell,BRMA12_5H,,,,,,,,,,,
,Blackrock Mountain,Магия черных драконов,Пока у вас в руке находится эта карта Хромаггус получает в руку копию каждой карты которую берет из колоды.,,3,,Spell,BRMA12_6H,,,,,,,,,,,
,Blackrock Mountain,Магия черных драконов,Пока у вас в руке находится эта карта Хромаггус получает в руку копию каждой карты которую берет из колоды.,,1,,Spell,BRMA12_6,,,,,,,,,,,
Taunt,Blackrock Mountain,Магмарь,<b>Провокация</b>,10,5,2,Minion,BRMA14_12,,,,,Legendary,,,,True,,
Aura,Blackrock Mountain,Магматрон,Каждый раз когда игрок разыгрывает карту Магматрон наносит ему 2 ед. урона.,7,5,7,Minion,BRMA14_9,Mech,,,,Legendary,,,,True,,
,Blackrock Mountain,Магматрон,Каждый раз когда игрок разыгрывает карту Магматрон наносит ему 2 ед. урона.,8,5,8,Minion,BRMA14_9H,Mech,,,,Legendary,,,,True,,
,Blackrock Mountain,Мажордом,<b>Сила героя</b>Призывает на поле боя поджигателя-послушника 1/3.,,2,,Hero Power,BRMA06_2,,,,,,,,,,,
,Blackrock Mountain,Мажордом,<b>Сила героя</b>Призывает на поле боя поджигателя-послушника 3/3.,,2,,Hero Power,BRMA06_2H,,,,,,,,,,,
Deathrattle,Blackrock Mountain,Мажордом Экзекутус,<b>Предсмертный хрип:</b> заменяет вашего героя Рагнаросом.,9,9,7,Minion,BRM_027,,,True,Alex Horley Orlandelli,Legendary,Можно создать после убийства всех боссов в Огненных Недрах.,Думаешь Экзекутус превратил тебя в Рагнароса? На самом деле Рагнарос жил в твоей душе все это время.,Награда за победу над всеми боссами Огненных Недр.,True,,
,Blackrock Mountain,Мажордом Экзекутус,,,,30,Hero,BRMA06_1,,,,,,,,,,,
,Blackrock Mountain,Мажордом Экзекутус,,,,30,Hero,BRMA06_1H,,,,,,,,,,,
,Blackrock Mountain,Малориак,,,,30,Hero,BRMA15_1,,,,,,,,,,,
,Blackrock Mountain,Малориак,,,,30,Hero,BRMA15_1H,,,,,,,,,,,
,Blackrock Mountain,Метатель топоров,Наносит герою противника 2 ед. урона каждый раз когда это существо получает урон.,2,4,5,Minion,BRM_016,,Warrior,True,Efrem Palacios,Common,Можно создать после завершения испытания воина в Черной горе.,Он фанат своего дела. Начинал с метания прутиков но стремится в будущем научиться метать тауренов.,Награда за прохождение испытания воина в Черной горе.,,,
,Blackrock Mountain,Милость императора,Стоит на (1) ману меньше.,,,,Enchantment,BRM_028e,,,,,,,,,,,
,Blackrock Mountain,Могучий яростень,+3/+3,,,,Enchantment,BRM_014e,,Hunter,,,,,,,,,
Aura,Blackrock Mountain,Мойра Бронзобород,Тауриссан не может использовать свою силу героя.Не может атаковать существ без способности <b>«Провокация»</b>.,3,2,1,Minion,BRMA03_3H,,,,,,,,,,,
Aura,Blackrock Mountain,Мойра Бронзобород,Тауриссан не может использовать свою силу героя.Не может атаковать существ без способности <b>«Провокация»</b>.,1,2,3,Minion,BRMA03_3,,,,,,,,,,,
OneTurnEffect,Blackrock Mountain,Мощь дракона,Стоит на (3) маны меньше до конца хода.,,,,Enchantment,BRM_003e,,Mage,,,,,,,,,
,Blackrock Mountain,Мощь Повелителя Огня,<b>Сила героя</b>Наносит 30 ед. урона.,,2,,Hero Power,BRMA03_2,,,,,,,,,,,
,Blackrock Mountain,Мрачный завсегдатай,Призывает на поле боя свою копию каждый раз когда получает несмертельный урон.,3,5,3,Minion,BRM_019,,,True,Bobby Chiu,Rare,Можно создать после победы в «Угрюмом обжоре» в Глубинах Черной горы.,Нравится получать по лицу? Добро пожаловать в таверну «Угрюмый обжора»!,Награда за победу в «Угрюмом обжоре» в Глубинах Черной горы.,,,
,Blackrock Mountain,Мутация,<b>Сила героя</b>Заставляет сбросить случайную карту.,,1,,Hero Power,BRMA12_10,,,,,,,,,,,
,Blackrock Mountain,Насмехающаяся толпа,<b>Сила героя</b>Призывает на поле боя зрителя 1/1 со способностью <b>Провокация</b>.,,0,,Hero Power,BRMA02_2H,,,,,,,,,,,
,Blackrock Mountain,Насмехающаяся толпа,<b>Сила героя</b>Призывает на поле боя зрителя 1/1 со способностью <b>Провокация</b>.,,1,,Hero Power,BRMA02_2,,,,,,,,,,,
,Blackrock Mountain,Нефариан,,,,30,Hero,BRMA13_3H,,,,,,,,,,,
,Blackrock Mountain,Нефариан,,,,30,Hero,BRMA17_2,,,,,,,,,,,
,Blackrock Mountain,Нефариан,,,,30,Hero,BRMA13_3,,,,,,,,,,,
,Blackrock Mountain,Нефариан,,,,30,Hero,BRMC_02,,,,,,,,,,,
Battlecry,Blackrock Mountain,Нефариан,<b>Боевой клич:</b> вы кладете в руку два случайных заклинания <i>(класса вашего противника)</i>.,8,9,8,Minion,BRM_030,Dragon,,True,Ruan Jia,Legendary,Можно создать после убийства всех боссов в Тайной лаборатории.,Его называют «Крыло Тьмы» потому что он – темный дракон... и у него есть крылья.,Награда за победу над всеми боссами Черной Горы!,True,,
,Blackrock Mountain,Нефариан,,,,30,Hero,BRMA17_2H,,,,,,,,,,,
Taunt,Blackrock Mountain,Обжора,<b>Провокация</b>,1,1,1,Minion,BRMA01_4t,,,,,,,,,,,
,Blackrock Mountain,Облик огненной кошки,Превратить в существо 5/2.,,,,Spell,BRM_010a,Beast,Druid,,,Common,,,,,,
,Blackrock Mountain,Облик огнеястреба,Превратить в существо 2/5.,,,,Spell,BRM_010b,Beast,Druid,,,Common,,,,,,
Deathrattle,Blackrock Mountain,Огнекамень,<b>Предсмертный хрип:</b> наносит 3 ед. урона герою противника за каждый огнекамень умерший на этом ходу.,0,0,5,Minion,BRMA04_3H,,,,,,,,,,,
Deathrattle,Blackrock Mountain,Огнекамень,<b>Предсмертный хрип:</b> наносит 1 ед. урона герою противника за каждый огнекамень умерший на этом ходу.,0,0,5,Minion,BRMA04_3,,,,,,,,,,,
Battlecry,Blackrock Mountain,Огнестраж-разрушитель,<b>Боевой клич:</b> получает +1-4 к атаке. <b>Перегрузка:</b> (1),3,4,6,Minion,BRM_012,,Shaman,True,Paul Mafayon,Common,Можно создать после победы над лордом Виктором Нефарием в Логове Крыла Тьмы.,Многие огненные элементали претендовали на должность разрушителя. Но собеседование у Рагнароса успешно прошли единицы.,Награда за победу над лордом Виктором Нефарием в Логове Крыла Тьмы.,,,
,Blackrock Mountain,Огромные когти,+3/+3.,,,,Enchantment,BRM_024e,,,,,,,,,,,
,Blackrock Mountain,Ониксия,,,,30,Hero,BRMA17_3H,,,,,,,,,,,
,Blackrock Mountain,Ониксия,,,,15,Hero,BRMA17_3,,,,,,,,,,,
Taunt,Blackrock Mountain,Орк Старой Орды,<b>Провокация</b>,2,1,2,Minion,BRMA09_3Ht,,,,,,,,,,,
Taunt,Blackrock Mountain,Орк Старой Орды,<b>Провокация</b>,1,1,1,Minion,BRMA09_3t,,,,,,,,,,,
,Blackrock Mountain,Освобождение аберраций!,Призывает на поле боя 3 аберрации.,,2,,Spell,BRMA15_3,,,,,,,,,,,
,Blackrock Mountain,Оскверненное яйцо,Когда это существо имеет 5 или больше ед. здоровья оно вылупляется.,0,1,3,Minion,BRMA10_4H,,,,,,,,,,,
,Blackrock Mountain,Оскверненное яйцо,Когда это существо имеет 4 или больше ед. здоровья оно вылупляется.,0,1,1,Minion,BRMA10_4,,,,,,,,,,,
,Blackrock Mountain,Открыть ворота,<b>Сила героя</b>Призывает на поле боя трех дракончиков 1/1. Изменяет силу героя.,,2,,Hero Power,BRMA09_2,,,,,,,,,,,
,Blackrock Mountain,Открыть ворота,<b>Сила героя</b>Призывает на поле боя трех дракончиков 2/2. Изменяет силу героя.,,2,,Hero Power,BRMA09_2H,,,,,,,,,,,
,Blackrock Mountain,Перезарядка,Восполняет все пустые кристаллы маны.,,0,,Spell,BRMA14_11,,,,,,,,,,,
,Blackrock Mountain,Пламенное сердце,Вы берете 2 карты и получаете +4 к броне.,,3,,Spell,BRMA_01,,,,,,,,,,,
,Blackrock Mountain,Пламя Нефариана,<b>Сила героя</b>Нефариан обрушивает с небес огненный ливень!,,0,,Hero Power,BRMA17_8,,,,,,,,,,,
,Blackrock Mountain,Пламя Нефариана,<b>Сила героя</b>Нефариан обрушивает с небес огненный ливень!,,0,,Hero Power,BRMA17_8H,,,,,,,,,,,
,Blackrock Mountain,Повеление Драккисата,Уничтожает выбранное существо. Вы получаете +10 к броне.,,1,,Spell,BRMA08_3,,,,,,,,,,,
