COLLECTIBLE,SET,NAME,FACTION,TEXT,ARTIST,RARITY,ATTACK,COST,HEALTH,INPLAYTEXT,FLAVOR,TYPE,ID,MECHANICS,PLAYERCLASS,ELITE,RACE,DURABILITY
True,Classic,Владычица бесов,Neutral,В конце вашего хода получает 1 ед. урона и призывает на поле боя беса 1/1.,Mark Gibbons,Rare,1,3,5,,Эта работа нравилась бы ей гораздо больше если б только бесы не были такими кусачими!,Minion,EX1_597,,,,,
True,Classic,Внутренний огонь,Neutral,Атака выбранного существа становится равна его здоровью.,Steve Prescott,Common,,1,,,Сделать своих существ сильнее – хорошая идея. Начинать разговор в Степях – плохая идея.,Spell,CS1_129,,Priest,,,
,Classic,Внутренний огонь,,Атака этого существа равна его здоровью.,,,,,,,,Enchantment,CS1_129e,,Priest,,,
,Classic,Внутренняя ярость,,+2 к атаке.,,,,,,,,Enchantment,EX1_607e,,Warrior,,,
True,Classic,Внутренняя ярость,Neutral,Наносит $1 ед. урона выбранному существу. Это существо получает +2 к атаке.,Slawomir Maniak,Common,,0,,,На лицо прекрасные ужасные внутри.,Spell,EX1_607,,Warrior,,,
True,Classic,Вожак лютых волков,Neutral,Находящиеся по обе стороны существа получают +1 к атаке.,John Dickenson,Common,2,2,2,,Если по обе стороны находятся одинаковые существа вожак лютых волков загадывает желание.,Minion,EX1_162,AdjacentBuff|Aura,,,Beast,
,Classic,Вожак стаи,Neutral,Ваши существа получают +1/+1.,,,,,,,,Spell,EX1_160b,,Druid,,,
,Classic,Вожак стаи,,+1/+1.,,,,,,,,Enchantment,EX1_160be,,Druid,,,
True,Classic,Возложение рук,Neutral,Восстанавливает #8 ед. здоровья. Вы берете 3 карты.,Raymond Swanland,Epic,,8,,,Если кому-то нужна рука помощи не забывайте что у вас их целых две!,Spell,EX1_354,,Paladin,,,
True,Classic,Вольный элементаль,Neutral,Когда вы разыгрываете карту с <b>Перегрузкой</b> это существо получает +1/+1.,Matt Gaser,Common,2,3,4,,В отличие от <i>безвольных</i> элементалей эти умеют добиваться своего.,Minion,EX1_258,,Shaman,,,
True,Classic,Ворген-разведчик,Alliance,<b>Маскировка</b>,Raymond Swanland,Common,2,1,1,,Если вы хотите прогнать воргена который лезет к вам в дом на разведку просто крикните ему: «Фу! Плохой песик!»,Minion,EX1_010,Stealth,,,,
,Classic,Время Сумерек,,Здоровье увеличено.,,,,,,,,Enchantment,EX1_043e,,,,,
True,Classic,Выброс лавы,Neutral,Наносит $5 ед. урона. <b>Перегрузка:</b> (2),Dan Scott,Rare,,3,,,Словно вы хлебнули раскаленной магмы!,Spell,EX1_241,,Shaman,,,
True,Classic,Высокогрив саванны,,<b>Предсмертный хрип:</b> призывает на поле боя двух гиен 2/2.,Milivoj Ceran,Rare,6,6,5,,Где-то в джунглях в дремучих джунглях... льва сейчас доедают гиены.,Minion,EX1_534,Deathrattle,Hunter,,Beast,
True,Classic,Вытягивание души,Neutral,Уничтожает существо. Восстанавливает #3 ед. здоровья вашему герою.,Tyler Walpole,Rare,,6,,,Лучше не заниматься вытягиванием собственной души иначе вы рискуете навечно зависнуть в таком состоянии.,Spell,EX1_309,,Warlock,,,
,Classic,Вытянувший корни,,+5 к атаке.,,,,,,,,Enchantment,EX1_178be,,Druid,,,
,Classic,Вытянуть корни,Neutral,+5 к атаке.,,,,,,,,Spell,EX1_178b,,Druid,,,
,Classic,Гиена,,,Andrew Robinson,Rare,2,2,2,,,Minion,EX1_534t,,Hunter,,Beast,
True,Classic,Гиена-падальщица,,Каждый раз когда ваш зверь умирает это существо получает +2/+1.,Jim Nelson,Common,2,2,2,,Гиены предпочитают питаться костями кодо или крылатых змеев но на самом деле они едят практически все. Даже вареный лук.,Minion,EX1_531,,Hunter,,Beast,
True,Classic,Глава культа,Neutral,Когда другое ваше существо умирает вы берете карту.,Raymond Swanland,Common,4,4,2,,Между прочим даже став злобной главой культа она по-прежнему раз в неделю звонит своим родителям.,Minion,EX1_595,,,,,
True,Classic,Главарь Братства,Neutral,<b>Серия приемов:</b> призывает на поле боя бандита Братства 2/1.,Dany Orizio,Common,2,2,2,,Пару лет назад он украл дарственную на город так что на самом деле весь город <i>действительно</i> принадлежит ему. А еще он называет других ничтожествами чтобы все знали какой он злой.,Minion,EX1_131,Combo,Rogue,,,
,Classic,Гнев,Neutral,Наносит существу $1 ед. урона. Вы берете карту.,,,,,,,,Spell,EX1_154b,,Druid,,,
,Classic,Гнев,Neutral,Наносит существу $3 ед. урона.,,,,,,,,Spell,EX1_154a,,Druid,,,
True,Classic,Гнев,Neutral,<b>Выберите эффект:</b> наносит существу $3 ед. урона; или наносит $1 ед. урона существу и вы берете карту.,Raymond Swanland,Common,,2,,,В кабестанской таверне уверены что этой карте самое место среди легендарных.,Spell,EX1_154,,Druid,,,
True,Classic,Гнев карателя,Neutral,Наносит $8 ед. урона случайно распределяемого между всеми персонажами противника.,Alex Garner,Epic,,6,,,Бам! Бам! Бам! Бам! Бам! Бам! Бам! Бам!,Spell,EX1_384,ImmuneToSpellpower,Paladin,,,
True,Classic,Гнев небес,Neutral,Вы берете карту и наносите урон равный ее стоимости.,Justin Sweet,Rare,,5,,,Ну же пусть это будет «Огненный великан!»,Spell,EX1_365,,Paladin,,,
,Classic,Гнолл,,<b>Провокация</b>,,,2,2,2,,,Minion,NEW1_040t,Taunt,,,,
True,Classic,Гном-призыватель,Alliance,Первое существо которое вы разыгрываете на каждом ходу стоит на (1) ману меньше.,Ron Spears,Rare,2,2,2,,Размер не имеет значения!,Minion,EX1_076,Aura,,,,
True,Classic,Гоблин-аукционист,Neutral,Каждый раз когда вы разыгрываете заклинание вы берете карту.,Matt Dixon,Rare,4,6,4,,Когда-то он заведовал аукционом на черном рынке но его утомляли постоянные драки среди покупателей.,Minion,EX1_095,,,,,
True,Classic,Голодный краб,,<b>Боевой клич:</b> уничтожает выбранного мурлока и получает +2/+2.,Jaemin Kim,Epic,1,1,2,,Сегодня у нас на ужин мурлоки!,Minion,NEW1_017,Battlecry,,,Beast,
,Classic,Гончая,,<b>Рывок</b>,,,1,1,1,,,Minion,EX1_538t,Charge,Hunter,,Beast,
True,Classic,Горный великан,Neutral,Стоит на (1) ману меньше за каждую другую карту в вашей руке.,Samwise,Epic,8,12,8,,Его мама считает что у него просто широкая кость.,Minion,EX1_105,,,,,
True,Classic,Гроза,Neutral,Наносит $2-$3 ед. урона всем существам противника. <b>Перегрузка:</b> (2),Christopher Moeller,Rare,,3,,,Боюсь от этой грозы зонтик вам не поможет.,Spell,EX1_259,,Shaman,,,
True,Classic,Громмаш Адский Крик,Neutral,<b>Рывок</b>. 
<b>Исступление:</b> +6 к атаке.,Glenn Rane,Legendary,4,8,9,,Громмаш выпил оскверненную кровь Маннорота и обрек орков на зеленую кожу и красные глаза. Возможно это было не лучшим из его решений.,Minion,EX1_414,Charge|Enrage,Warrior,True,,
True,Classic,Груул,,В конце каждого хода получает +1/+1.,Kev Walker,Legendary,7,8,7,,Груул Драконобой просто хотел погладить дракончика... но не рассчитал силу.,Minion,NEW1_038,,,True,,
,Classic,Дальнее зрение,,Одна из ваших карт стоит на (3) маны меньше.,Lars Grant-West,,,,,,,Enchantment,CS2_053e,,Shaman,,,
True,Classic,Дальнее зрение,Neutral,Вы берете карту. Эта карта стоит на (3) маны меньше.,Lars Grant-West,Epic,,3,,,ДрекТар лишен зрения но он <i>видит</i>. Понимаете? Если нет то ничего страшного.,Spell,CS2_053,,Shaman,,,
True,Classic,Дар природы,Neutral,<b>Выберите эффект:</b> вы получаете 2 кристалла маны; или вы берете 3 карты.,Terese Nielsen,Rare,,5,,,Друиды черпают вдохновение во многих вещах: в силе природы в пении птиц и в шоколадных тортиках.,Spell,EX1_164,,Druid,,,
,Classic,Дар природы,Neutral,Вы берете 3 карты.,,,,,,,,Spell,EX1_164b,,Druid,,,
,Classic,Дар природы,Neutral,Вы получаете 2 кристалла маны.,,,,,,,,Spell,EX1_164a,,Druid,,,
True,Classic,Дворф Черного Железа,Alliance,<b>Боевой клич:</b> выбранное существо получает +2 к атаке до конца хода.,Scott Hampton,Common,4,4,4,,Дворфы Черного Железа отличаются скверным характером. Принимая во внимание где это железо выплавляется в этом нет ничего удивительного.,Minion,EX1_046,Battlecry,,,,
True,Classic,Демонический огонь,Neutral,Наносит $2 ед. урона выбранному существу. Если выбран ваш демон вместо этого он получает +2/+2.,Ben Wootten,Common,,2,,,Демонический огонь – это тот же огонь только ОН НИКОГДА НЕ ГАСНЕТ. А-А ГОРЮ-Ю!,Spell,EX1_596,,Warlock,,,
,Classic,Демонический огонь,Neutral,Этот демон получил +2/+2.,,Common,,0,,,,Enchantment,EX1_596e,,Warlock,,,
True,Classic,Дерзкая налетчица,,<b>Боевой клич:</b> получает бонус к атаке равный атаке вашего оружия.,Jim Nelson,Common,2,2,3,,«Я граблю только семь дней в неделю».,Minion,NEW1_018,Battlecry,,,Pirate,
True,Classic,Дикость,Neutral,Наносит существу противника урон равный силе атаки вашего героя.,Dave Rapoza,Rare,,1,,,Конечно встречаются и дикие друиды но есть и такие которым больше по душе чашечка чая в спокойной обстановке.,Spell,EX1_578,AffectedBySpellPower,Druid,,,
,Classic,Длань Аргуса,,+1/+1 и способность <b>«Провокация»</b>.,,,,,,,,Enchantment,EX1_093e,,,,,
True,Classic,Длинный лук,Neutral,Атакуя ваш герой не получает урона.,Peter C. Lee,Epic,5,7,,,Длинный лук позволяет стрелять намного дальше что особенно полезно при стрельбе по дурно пахнущим целям.,Weapon,DS1_188,,Hunter,,,2
,Classic,Дракончик,Neutral,,,,1,1,1,,,Minion,ds1_whelptoken,,,,Dragon,
,Classic,Дракончик,,,,,1,1,1,,,Minion,EX1_116t,,,,Dragon,
,Classic,Древень,Neutral,,,,2,1,2,,,Minion,EX1_158t,,Druid,,,
,Classic,Древень,Neutral,<b>Рывок</b>. В конце хода это существо будет уничтожено.,,Common,2,1,2,,,Minion,EX1_tk9,Charge,Druid,,,
,Classic,Древень,,<b>Провокация</b>,,,2,1,2,,,Minion,EX1_573t,Taunt,Druid,,,
,Classic,Древние тайны,,Восстанавливает 5 ед. здоровья.,,,,,,,,Spell,NEW1_008b,,Druid,,,
,Classic,Древние учения,,Вы берете 2 карты.,,,,,,,,Spell,NEW1_008a,,Druid,,,
True,Classic,Древний дозорный,Alliance,Не может атаковать.,Richard Wright,Rare,4,2,5,,Почему у вас такое ощущение что его глаза следят за вами когда вы проходите мимо?,Minion,EX1_045,,,,,
True,Classic,Древний маг,Neutral,<b>Боевой клич:</b> находящиеся по обе стороны существа получают способность <b>«Урон от заклинаний +1»</b>.,Howard Lyon,Rare,2,4,5,,Иногда он забывает куда ему идти и забредает в чужую игру.,Minion,EX1_584,Battlecry,,,,
True,Classic,Древо войны,Neutral,<b>Выберите эффект:</b>
+5 к атаке; 
 или +5 к здоровью и способность <b>«Провокация»</b>.,Sean O’Daniels,Epic,5,7,5,,Юные ночные эльфы любят играть в игру «Догони меня древо войны». Если вас раздавило – вы проиграли.,Minion,EX1_178,,Druid,,,
True,Classic,Древо мудрости,,<b>Выберите эффект:</b> вы берете две карты; или восстанавливает 5 ед. здоровья.,Patrik Hjelm,Epic,5,7,5,,Давайте попробуйте выцарапать на нем свои инициалы.,Minion,NEW1_008,,Druid,,,
True,Classic,Дробитель,,В конце вашего хода вы призываете на поле боя гнолла 2/2 со способностью <b>«Провокация»</b>.,Laurel D. Austin,Legendary,4,6,4,,Дробитель ужасно сильный. Если вы убьете его то это значит что он вам <i>поддался</i>.,Minion,NEW1_040,,,True,,
,Classic,Друид когтя,,<b>Провокация</b>,,Common,4,5,6,,,Minion,EX1_165t2,Taunt,Druid,,Beast,
True,Classic,Друид когтя,Neutral,<b>Выберите эффект:</b> <b>Рывок</b>; или +2 к здоровью и способность <b>«Провокация»</b>.,Luca Zontini,Common,4,5,4,,Кошка или медведь? Медведь или кошка? Очень сложный выбор!,Minion,EX1_165,,Druid,,,
,Classic,Друид когтя,,<b>Рывок</b>,,Common,4,5,4,,,Minion,EX1_165t1,Charge,Druid,,Beast,
,Classic,Дух волка,Neutral,<b>Провокация</b>,,Rare,2,2,3,,,Minion,EX1_tk11,Taunt,Shaman,,,
True,Classic,Дух дикого волка,Neutral,Призывает на поле боя двух духов волка 2/3 со способностью <b>«Провокация»</b>. <b>Перегрузка:</b> (2),Clint Langley,Rare,,3,,,Духи волков кусают не слабее обычных волков.,Spell,EX1_248,,Shaman,,,
,Classic,Дух предков,,<b>Предсмертный хрип:</b> после смерти это существо вернется на поле боя.,,,,,,,,Enchantment,CS2_038e,,Shaman,,,
True,Classic,Дух предков,Neutral,Выбранное существо получает способность «<b>Предсмертный хрип:</b> после смерти это существо вернется на поле боя».,Zoltan & Gabor,Rare,,2,,,Это была всего лишь царапина.,Spell,CS2_038,,Shaman,,,
True,Classic,Душа леса,Neutral,Ваши существа получают способность <b>«Предсмертный хрип»:</b> призывает на поле боя древня 2/2.,Markus Erdt,Common,,4,,,Выражение «восстановление лесных массивов» вдруг обрело устрашающее значение.,Spell,EX1_158,,Druid,,,
,Classic,Душа леса,,Предсмертный хрип: призывает на поле боя древня 2/2.,,,,,,,,Enchantment,EX1_158e,,Druid,,,
,Classic,Дьявозавр,Neutral,,,Common,5,5,5,,,Minion,EX1_tk29,,,,Beast,
,Classic,Жажда сокровищ,,Атака увеличена.,,,,,,,,Enchantment,NEW1_018e,,,,,
True,Classic,Железноклюв,Horde,<b>Боевой клич:</b> накладывает эффект <b>немоты</b> на выбранное существо.,Trevor Jacobs,Common,2,2,1,,Полет совы безмолвен. И вообще совы – не то чем они кажутся.,Minion,CS2_203,Battlecry,,,Beast,
True,Classic,Жонглер кинжалами,,После того как вы призвали на поле боя существо наносит 1 ед. урона случайному персонажу противника.,Matt Cavotta,Rare,3,2,2,,Некоторые отчаянные жонглеры кинжалами меняют профессию и начинают жонглировать бомбами но еще ни одному не удалось продержаться так долго чтобы стать одной из карт.,Minion,NEW1_019,,,,,
True,Classic,Жрица Тьмы,Neutral,<b>Боевой клич:</b> вы получаете контроль над существом противника с атакой 2 или меньше.,Chippy,Epic,4,6,5,,Никогда не знаешь кого встретишь темной ночью у холодильника...,Minion,EX1_091,Battlecry,Priest,,,
True,Classic,Жрица Элуны,Neutral,<b>Боевой клич:</b> восстанавливает 4 ед. здоровья вашему герою.,Dan Scott,Common,5,6,4,,Иногда она врывается на поле боя с криком: «Я несу исцеление во имя Луны!»,Minion,EX1_583,Battlecry,,,,
True,Classic,Жуткий корсар,,<b>Провокация</b>. Стоит на (1) ману меньше за каждую единицу атаки вашего оружия.,Trent Kaniuga,Common,3,4,3,,В переводе с пиратского «Арррр!» означает «Приветствую вас милостивый государь».,Minion,NEW1_022,Taunt,,,Pirate,
,Classic,Закаленная сталь,,+2 к атаке до конца хода.,,,,,,,,Enchantment,EX1_046e,OneTurnEffect,,,,
True,Classic,Замаскировать,Neutral,Ваши существа получают способность <b>«Маскировка»</b> до вашего следующего хода.,Steve Hui,Common,,1,,,Разбойники все время носят маски но они не в силах замаскировать собственные чувства. Как начнут жаловаться за жизнь – так ничем их не остановишь!,Spell,EX1_128,,Rogue,,,
True,Classic,Заступник Авангарда,Neutral,<b>Боевой клич:</b> ваше выбранное существо получает способность <b>«Божественный щит»</b>.,Doug Alexander,Common,2,2,2,,«Я и не говорю что ты можешь уклониться от огненного шара. Но с моим щитом тебе это не понадобится.»,Minion,EX1_362,Battlecry,Paladin,,,
True,Classic,Заступница синдорай,Alliance,<b>Боевой клич:</b> Находящиеся по обе стороны существа получают способность <b>«Провокация»</b>.,James Ryman,Rare,2,2,3,,«Будь джентльменом подержи щит!»

Андрей М. «Wishmaster»,Minion,EX1_058,Battlecry,,,,
,Classic,Защитник,Neutral,,,Common,2,1,1,,,Minion,EX1_130a,,Paladin,,,
True,Classic,Защитник Аргуса,Alliance,<b>Боевой клич:</b> существа находящиеся по обе стороны получают +1/+1 и способность <b>«Провокация»</b>.,Alex Horley Orlandelli,Rare,2,4,3,,Всем нужны защитники. Даже Аргусу.,Minion,EX1_093,Battlecry,,,,
,Classic,Звездопад,,Наносит $2 ед. урона всем существам противника.,,,,,,,,Spell,NEW1_007a,,Druid,,,
,Classic,Звездопад,,Наносит существу $5 ед. урона.,,,,,,,,Spell,NEW1_007b,,Druid,,,
True,Classic,Звездопад,,<b>Выберите эффект:</b> наносит существу $5 ед. урона; или $2 ед. урона всем существам противника.,Richard Wright,Rare,,5,,,«Если вы встретили друида и заметили падающую звезду не загадывайте желание... Бегите!»

Андрей М. «Wishmaster»,Spell,NEW1_007,,Druid,,,
True,Classic,Звериный гнев,Neutral,Ваш выбранный зверь получает +2 к атаке и <b>неуязвимость</b> до конца хода.,Alex Horley Orlandelli,Epic,,1,,,Безудержный гнев – лишь внешнее проявление чувств. Под ним скрывается дикая вспыльчивость и легкое недовольство.,Spell,EX1_549,,Hunter,,,
,Classic,Звериный гнев,,+2 к атаке и <b>неуязвимость</b> до конца хода.,,,,,,,,Enchantment,EX1_549o,OneTurnEffect,Hunter,,,
True,Classic,Земной шок,Neutral,Накладывает на выбранное существо эффект <b>немоты</b> и затем наносит ему $1 ед. урона.,Kevin Chin,Common,,1,,,Почему это заклинание называется «Земной шок» а не «Азеротский шок»?,Spell,EX1_245,Silence,Shaman,,,
True,Classic,Злая курица,,<b>Исступление:</b> +5 к атаке.,Mike Sass,Rare,1,1,1,,Нет зверя страшнее (или смешнее?) чем разъяренная курица.,Minion,EX1_009,Enrage,,,Beast,
True,Classic,Зловещий кузнец,Horde,<b>Исступление:</b> ваше оружие получает +2 к атаке.,Justin Sweet,Common,4,5,6,,Она выкует вам меч но сначала вам придется принести ей 5 железных слитков 3 частицы земли и скальп предыдущего покупателя.,Minion,CS2_221,Enrage,,,,
True,Classic,Злой надсмотрщик,Neutral,<b>Боевой клич:</b> наносит 1 ед. урона выбранному существу. При этом существо получает +2 к атаке.,Phroilan Gardner,Common,2,2,2,,«Тебе нужно будет прийти на работу в воскресенье.»

Злой надсмотрщик,Minion,EX1_603,Battlecry,Warrior,,,
True,Classic,Змеиная ловушка,Neutral,<b>Секрет:</b> когда одно из ваших существ будет атаковано вы призываете на поле боя трех змей 1/1.,Bernie Kang,Epic,,2,,,Змеи! Ну почему именно змеи...,Spell,EX1_554,Secret,Hunter,,,
,Classic,Змея,Neutral,,,Common,1,0,1,,,Minion,EX1_554t,,Hunter,,Beast,
,Classic,Знак природы,Neutral,+4 к атаке.,,,,,,,,Spell,EX1_155a,,Druid,,,
,Classic,Знак природы,,+4 к здоровью и способность <b>«Провокация»</b>.,,,,,,,,Enchantment,EX1_155be,,Druid,,,
,Classic,Знак природы,,Это существо получило +4 к атаке.,,,,,,,,Enchantment,EX1_155ae,,Druid,,,
True,Classic,Знак природы,Neutral,<b>Выберите эффект:</b> существо получает +4 к атаке; или +4 к здоровью и <b>«Провокацию»</b>.,Clint Langley,Common,,3,,,Друиды называют это заклинание «Знак природы». Все остальные называют его «пора принять ванну».,Spell,EX1_155,,Druid,,,
,Classic,Знак природы,Neutral,+4 к здоровью и способность <b>«Провокация»</b>.,,,,,,,,Spell,EX1_155b,,Druid,,,
True,Classic,Игры разума,Neutral,Вы призываете на поле боя копию случайного существа из колоды противника.,Zoltan & Gabor,Epic,,4,,,«Если в вашей колоде нет легендарных существ то стоит поискать их в колоде противника.»

Сергей К. «Склиф»,Spell,EX1_345,,Priest,,,
