TEXT,SET,TYPE,ID,NAME,FACTION,RARITY,COST,ATTACK,HEALTH,MECHANICS,INPLAYTEXT,PLAYERCLASS,DURABILITY,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
В конце вашего хода наносит 2 ед. урона ВСЕМ остальным персонажам.,Classic,Minion,EX1_249,Барон Геддон,Neutral,Legendary,7,7,5,,,,,True,Ian Ameling,В детстве его дразнили «Геддон-армагеддон». Он вырос и пошел работать на Рагнароса.,True,,,
<b>Боевой клич:</b> становится копией выбранного существа.,Classic,Minion,EX1_564,Безликий манипулятор,Neutral,Epic,5,3,3,Battlecry,,,,True,Raymond Swanland,Безликие – слуги Йогг-Сарона и они питаются страхом. Вот прямо сейчас они смакуют ваш страх случайно распылить все хорошие карты.,,,,
<b>Боевой клич:</b> меняет местами атаку и здоровье выбранного существа.,Classic,Minion,EX1_059,Безумный алхимик,Neutral,Rare,2,2,2,Battlecry,,,,True,Tom Fleming,«Тебе <i>понравится</i> мой новый рецепт!» — приговаривает он. Да уж... особенно если вы недовольны количеством ваших конечностей.,,,,
,Classic,Minion,EX1_110t,Бейн Кровавое Копыто,,Legendary,4,4,5,,,,,,,,True,,,
,Classic,Minion,EX1_tk28,Белка,Neutral,Common,1,1,1,,,,,,,,,Beast,,
Атака увеличена.,Classic,Enchantment,EX1_604o,Берсерк,,,,,,,,Warrior,,,,,,,,
,Classic,Minion,EX1_598,Бес,Neutral,Rare,1,1,1,,,,,,,,,Demon,,
Наносит $2 ед. урона выбранному персонажу. Если это его убьет на поле боя призывается случайный демон.,Classic,Spell,EX1_320,Бич судьбы,Neutral,Epic,5,,,,,Warlock,,True,Raymond Swanland,Настоятельно рекомендуется его избегать.,,,,
Здоровье увеличено.,Classic,Enchantment,EX1_004e,Благодать Элуны,,,,,,,,,,,,,,,,
Атака этого существа удвоена.,Classic,Enchantment,EX1_355e,Благословение силы,,,,,,,,Paladin,,,,,,,,
Удваивает атаку выбранного существа.,Classic,Spell,EX1_355,Благословение силы,,Rare,5,,,,,Paladin,,True,Tyler Walpole,Эта карта удваивает все: и радости и горести.,,,,
Уничтожает существо. Ваш противник берет 2 карты.,Classic,Spell,EX1_161,Близость к природе,Neutral,Common,1,,,,,Druid,,True,Leo Che,Еще один повержен в прах.,,,,
Вы берете карту за каждого вашего персонажа с неполным здоровьем.,Classic,Spell,EX1_392,Боевая ярость,Neutral,Common,2,,,,,Warrior,,True,Alex Horley Orlandelli,«Лучше не зли меня. Тебе это не понравится.»,,,,
,Classic,Weapon,EX1_398t,Боевой топор,,,1,2,,,,Warrior,2,,,,,,,
Вы берете карты до тех пор пока у вас в руке не будет столько же карт сколько у вашего противника.,Classic,Spell,EX1_349,Божественная милость,Neutral,Rare,3,,,,,Paladin,,True,Lucas Graciano,Это не просто милость а божественная милость. Почти такая же как помыть в гостях посуду.,,,,
<b>Боевой клич:</b> выбранное существо получает +2 к атаке до конца хода.,Classic,Minion,CS2_188,Бранящийся сержант,Alliance,Common,1,2,1,Battlecry,,,,True,Luca Zontini,ПОЛОЖИ МЕНЯ В КОЛОДУ ТУПИЦА!,,,,
Существо с неполным здоровьем получает +3/+3.,Classic,Spell,CS2_104,Буйство,Neutral,Common,2,,,,,Warrior,,True,Jonboy Meyers,Кто буйный? Я БУЙНЫЙ?!,,,,
+3/+3.,Classic,Enchantment,CS2_104e,Буйство,,,,,,,,Warrior,,,,,,,,
Это существо будет <b>заморожено</b> в начале следующего хода.,Classic,Enchantment,EX1_611e,В ловушке,,,,,,,,Hunter,,,,,,,,
Это существо получило +2 к атаке.,Classic,Enchantment,CS2_181e,В полную силу,,,,,,,,,,,,,,,,
<b>Боевой клич:</b> каждый игрок берет 2 карты.,Classic,Minion,EX1_050,Вайш&sbquo;ирский оракул,Neutral,Rare,3,2,2,Battlecry,,,,True,Steve Prescott,Он может предсказать ваше будущее. В будущем оба игрока будут брать карты.,,Murloc,,
<b>Боевой клич:</b> все прочие мурлоки получают +2 к здоровью.,Classic,Minion,EX1_103,Вайш&sbquo;ирский провидец,Neutral,Rare,3,2,3,Battlecry,,,,True,Arthur Gimaldinov,Вайш&sbquo;ирские мурлоки обитают в самых глубоких расщелинах Бездонных глубин. Это доказывает что от мурлоков нигде нельзя спрятаться.,,Murloc,,
В начале вашего хода уничтожает ВСЕХ существ.,Classic,Minion,NEW1_021,Вестник рока,,Epic,2,0,7,,,,,True,Alex Horley Orlandelli,Столько раз он был близок к истине предрекая конец света... Он был совершенно уверен что Катаклизм уж точно положит конец всему сущему.,,,,
<b>Секрет:</b> когда вашего героя атакуют наносит 2 ед. урона всем персонажам противника.,Classic,Spell,EX1_610,Взрывная ловушка,Neutral,Common,2,,,Secret,,Hunter,,True,Brandon Kitkouski,Эта штука не только поймает ваш обед но и зажарит его для вас!,,,,
<b>Боевой клич:</b> наносит 5 ед. урона вашему герою.,Classic,Minion,EX1_313,Владыка преисподней,Neutral,Epic,4,5,6,Battlecry,,Warlock,,True,Glenn Rane,Маннорот Магтеридон и Бруталл мертвы. Но похоже в преисподней ОЧЕНЬ много владык.,,Demon,,
В конце вашего хода получает 1 ед. урона и призывает на поле боя беса 1/1.,Classic,Minion,EX1_597,Владычица бесов,Neutral,Rare,3,1,5,,,,,True,Mark Gibbons,Эта работа нравилась бы ей гораздо больше если б только бесы не были такими кусачими!,,,,
Атака выбранного существа становится равна его здоровью.,Classic,Spell,CS1_129,Внутренний огонь,Neutral,Common,1,,,,,Priest,,True,Steve Prescott,Сделать своих существ сильнее – хорошая идея. Начинать разговор в Степях – плохая идея.,,,,
Атака этого существа равна его здоровью.,Classic,Enchantment,CS1_129e,Внутренний огонь,,,,,,,,Priest,,,,,,,,
+2 к атаке.,Classic,Enchantment,EX1_607e,Внутренняя ярость,,,,,,,,Warrior,,,,,,,,
Наносит $1 ед. урона выбранному существу. Это существо получает +2 к атаке.,Classic,Spell,EX1_607,Внутренняя ярость,Neutral,Common,0,,,,,Warrior,,True,Slawomir Maniak,На лицо прекрасные ужасные внутри.,,,,
Находящиеся по обе стороны существа получают +1 к атаке.,Classic,Minion,EX1_162,Вожак лютых волков,Neutral,Common,2,2,2,AdjacentBuff|Aura,,,,True,John Dickenson,Если по обе стороны находятся одинаковые существа вожак лютых волков загадывает желание.,,Beast,,
Ваши существа получают +1/+1.,Classic,Spell,EX1_160b,Вожак стаи,Neutral,,,,,,,Druid,,,,,,,,
+1/+1.,Classic,Enchantment,EX1_160be,Вожак стаи,,,,,,,,Druid,,,,,,,,
Восстанавливает #8 ед. здоровья. Вы берете 3 карты.,Classic,Spell,EX1_354,Возложение рук,Neutral,Epic,8,,,,,Paladin,,True,Raymond Swanland,Если кому-то нужна рука помощи не забывайте что у вас их целых две!,,,,
Когда вы разыгрываете карту с <b>Перегрузкой</b> это существо получает +1/+1.,Classic,Minion,EX1_258,Вольный элементаль,Neutral,Common,3,2,4,,,Shaman,,True,Matt Gaser,В отличие от <i>безвольных</i> элементалей эти умеют добиваться своего.,,,,
<b>Маскировка</b>,Classic,Minion,EX1_010,Ворген-разведчик,Alliance,Common,1,2,1,Stealth,,,,True,Raymond Swanland,Если вы хотите прогнать воргена который лезет к вам в дом на разведку просто крикните ему: «Фу! Плохой песик!»,,,,
Здоровье увеличено.,Classic,Enchantment,EX1_043e,Время Сумерек,,,,,,,,,,,,,,,,
Наносит $5 ед. урона. <b>Перегрузка:</b> (2),Classic,Spell,EX1_241,Выброс лавы,Neutral,Rare,3,,,,,Shaman,,True,Dan Scott,Словно вы хлебнули раскаленной магмы!,,,,
<b>Предсмертный хрип:</b> призывает на поле боя двух гиен 2/2.,Classic,Minion,EX1_534,Высокогрив саванны,,Rare,6,6,5,Deathrattle,,Hunter,,True,Milivoj Ceran,Где-то в джунглях в дремучих джунглях... льва сейчас доедают гиены.,,Beast,,
Уничтожает существо. Восстанавливает #3 ед. здоровья вашему герою.,Classic,Spell,EX1_309,Вытягивание души,Neutral,Rare,6,,,,,Warlock,,True,Tyler Walpole,Лучше не заниматься вытягиванием собственной души иначе вы рискуете навечно зависнуть в таком состоянии.,,,,
+5 к атаке.,Classic,Enchantment,EX1_178be,Вытянувший корни,,,,,,,,Druid,,,,,,,,
+5 к атаке.,Classic,Spell,EX1_178b,Вытянуть корни,Neutral,,,,,,,Druid,,,,,,,,
,Classic,Minion,EX1_534t,Гиена,,Rare,2,2,2,,,Hunter,,,Andrew Robinson,,,Beast,,
Каждый раз когда ваш зверь умирает это существо получает +2/+1.,Classic,Minion,EX1_531,Гиена-падальщица,,Common,2,2,2,,,Hunter,,True,Jim Nelson,Гиены предпочитают питаться костями кодо или крылатых змеев но на самом деле они едят практически все. Даже вареный лук.,,Beast,,
Когда другое ваше существо умирает вы берете карту.,Classic,Minion,EX1_595,Глава культа,Neutral,Common,4,4,2,,,,,True,Raymond Swanland,Между прочим даже став злобной главой культа она по-прежнему раз в неделю звонит своим родителям.,,,,
<b>Серия приемов:</b> призывает на поле боя бандита Братства 2/1.,Classic,Minion,EX1_131,Главарь Братства,Neutral,Common,2,2,2,Combo,,Rogue,,True,Dany Orizio,Пару лет назад он украл дарственную на город так что на самом деле весь город <i>действительно</i> принадлежит ему. А еще он называет других ничтожествами чтобы все знали какой он злой.,,,,
Наносит существу $1 ед. урона. Вы берете карту.,Classic,Spell,EX1_154b,Гнев,Neutral,,,,,,,Druid,,,,,,,,
Наносит существу $3 ед. урона.,Classic,Spell,EX1_154a,Гнев,Neutral,,,,,,,Druid,,,,,,,,
<b>Выберите эффект:</b> наносит существу $3 ед. урона; или наносит $1 ед. урона существу и вы берете карту.,Classic,Spell,EX1_154,Гнев,Neutral,Common,2,,,,,Druid,,True,Raymond Swanland,В кабестанской таверне уверены что этой карте самое место среди легендарных.,,,,
Наносит $8 ед. урона случайно распределяемого между всеми персонажами противника.,Classic,Spell,EX1_384,Гнев карателя,Neutral,Epic,6,,,ImmuneToSpellpower,,Paladin,,True,Alex Garner,Бам! Бам! Бам! Бам! Бам! Бам! Бам! Бам!,,,,
Вы берете карту и наносите урон равный ее стоимости.,Classic,Spell,EX1_365,Гнев небес,Neutral,Rare,5,,,,,Paladin,,True,Justin Sweet,Ну же пусть это будет «Огненный великан!»,,,,
<b>Провокация</b>,Classic,Minion,NEW1_040t,Гнолл,,,2,2,2,Taunt,,,,,,,,,,
Первое существо которое вы разыгрываете на каждом ходу стоит на (1) ману меньше.,Classic,Minion,EX1_076,Гном-призыватель,Alliance,Rare,2,2,2,Aura,,,,True,Ron Spears,Размер не имеет значения!,,,,
Каждый раз когда вы разыгрываете заклинание вы берете карту.,Classic,Minion,EX1_095,Гоблин-аукционист,Neutral,Rare,6,4,4,,,,,True,Matt Dixon,Когда-то он заведовал аукционом на черном рынке но его утомляли постоянные драки среди покупателей.,,,,
<b>Боевой клич:</b> уничтожает выбранного мурлока и получает +2/+2.,Classic,Minion,NEW1_017,Голодный краб,,Epic,1,1,2,Battlecry,,,,True,Jaemin Kim,Сегодня у нас на ужин мурлоки!,,Beast,,
<b>Рывок</b>,Classic,Minion,EX1_538t,Гончая,,,1,1,1,Charge,,Hunter,,,,,,Beast,,
Стоит на (1) ману меньше за каждую другую карту в вашей руке.,Classic,Minion,EX1_105,Горный великан,Neutral,Epic,12,8,8,,,,,True,Samwise,Его мама считает что у него просто широкая кость.,,,,
Наносит $2-$3 ед. урона всем существам противника. <b>Перегрузка:</b> (2),Classic,Spell,EX1_259,Гроза,Neutral,Rare,3,,,,,Shaman,,True,Christopher Moeller,Боюсь от этой грозы зонтик вам не поможет.,,,,
<b>Рывок</b>. <b>Исступление:</b> +6 к атаке.,Classic,Minion,EX1_414,Громмаш Адский Крик,Neutral,Legendary,8,4,9,Charge|Enrage,,Warrior,,True,Glenn Rane,Громмаш выпил оскверненную кровь Маннорота и обрек орков на зеленую кожу и красные глаза. Возможно это было не лучшим из его решений.,True,,,
В конце каждого хода получает +1/+1.,Classic,Minion,NEW1_038,Груул,,Legendary,8,7,7,,,,,True,Kev Walker,Груул Драконобой просто хотел погладить дракончика... но не рассчитал силу.,True,,,
Одна из ваших карт стоит на (3) маны меньше.,Classic,Enchantment,CS2_053e,Дальнее зрение,,,,,,,,Shaman,,,Lars Grant-West,,,,,
Вы берете карту. Эта карта стоит на (3) маны меньше.,Classic,Spell,CS2_053,Дальнее зрение,Neutral,Epic,3,,,,,Shaman,,True,Lars Grant-West,Дрек&sbquo;Тар лишен зрения но он <i>видит</i>. Понимаете? Если нет то ничего страшного.,,,,
<b>Выберите эффект:</b> вы получаете 2 кристалла маны; или вы берете 3 карты.,Classic,Spell,EX1_164,Дар природы,Neutral,Rare,5,,,,,Druid,,True,Terese Nielsen,Друиды черпают вдохновение во многих вещах: в силе природы в пении птиц и в шоколадных тортиках.,,,,
Вы берете 3 карты.,Classic,Spell,EX1_164b,Дар природы,Neutral,,,,,,,Druid,,,,,,,,
Вы получаете 2 кристалла маны.,Classic,Spell,EX1_164a,Дар природы,Neutral,,,,,,,Druid,,,,,,,,
<b>Боевой клич:</b> выбранное существо получает +2 к атаке до конца хода.,Classic,Minion,EX1_046,Дворф Черного Железа,Alliance,Common,4,4,4,Battlecry,,,,True,Scott Hampton,Дворфы Черного Железа отличаются скверным характером. Принимая во внимание где это железо выплавляется в этом нет ничего удивительного.,,,,
Наносит $2 ед. урона выбранному существу. Если выбран ваш демон вместо этого он получает +2/+2.,Classic,Spell,EX1_596,Демонический огонь,Neutral,Common,2,,,,,Warlock,,True,Ben Wootten,Демонический огонь – это тот же огонь только ОН НИКОГДА НЕ ГАСНЕТ. А-А ГОРЮ-Ю!,,,,
Этот демон получил +2/+2.,Classic,Enchantment,EX1_596e,Демонический огонь,Neutral,Common,0,,,,,Warlock,,,,,,,,
<b>Боевой клич:</b> получает бонус к атаке равный атаке вашего оружия.,Classic,Minion,NEW1_018,Дерзкая налетчица,,Common,2,2,3,Battlecry,,,,True,Jim Nelson,«Я граблю только семь дней в неделю».,,Pirate,,
Наносит существу противника урон равный силе атаки вашего героя.,Classic,Spell,EX1_578,Дикость,Neutral,Rare,1,,,AffectedBySpellPower,,Druid,,True,Dave Rapoza,Конечно встречаются и дикие друиды но есть и такие которым больше по душе чашечка чая в спокойной обстановке.,,,,
+1/+1 и способность <b>«Провокация»</b>.,Classic,Enchantment,EX1_093e,Длань Аргуса,,,,,,,,,,,,,,,,
Атакуя ваш герой не получает урона.,Classic,Weapon,DS1_188,Длинный лук,Neutral,Epic,7,5,,,,Hunter,2,True,Peter C. Lee,Длинный лук позволяет стрелять намного дальше что особенно полезно при стрельбе по дурно пахнущим целям.,,,,
,Classic,Minion,ds1_whelptoken,Дракончик,Neutral,,1,1,1,,,,,,,,,Dragon,,
,Classic,Minion,EX1_116t,Дракончик,,,1,1,1,,,,,,,,,Dragon,,
,Classic,Minion,EX1_158t,Древень,Neutral,,1,2,2,,,Druid,,,,,,,,
<b>Рывок</b>. В конце хода это существо будет уничтожено.,Classic,Minion,EX1_tk9,Древень,Neutral,Common,1,2,2,Charge,,Druid,,,,,,,,
<b>Провокация</b>,Classic,Minion,EX1_573t,Древень,,,1,2,2,Taunt,,Druid,,,,,,,,
Восстанавливает 5 ед. здоровья.,Classic,Spell,NEW1_008b,Древние тайны,,,,,,,,Druid,,,,,,,,
Вы берете 2 карты.,Classic,Spell,NEW1_008a,Древние учения,,,,,,,,Druid,,,,,,,,
Не может атаковать.,Classic,Minion,EX1_045,Древний дозорный,Alliance,Rare,2,4,5,,,,,True,Richard Wright,Почему у вас такое ощущение что его глаза следят за вами когда вы проходите мимо?,,,,
<b>Боевой клич:</b> находящиеся по обе стороны существа получают способность <b>«Урон от заклинаний +1»</b>.,Classic,Minion,EX1_584,Древний маг,Neutral,Rare,4,2,5,Battlecry,,,,True,Howard Lyon,Иногда он забывает куда ему идти и забредает в чужую игру.,,,,
<b>Выберите эффект:</b>+5 к атаке;  или +5 к здоровью и способность <b>«Провокация»</b>.,Classic,Minion,EX1_178,Древо войны,Neutral,Epic,7,5,5,,,Druid,,True,Sean O’Daniels,Юные ночные эльфы любят играть в игру «Догони меня древо войны». Если вас раздавило – вы проиграли.,,,,
<b>Выберите эффект:</b> вы берете две карты; или восстанавливает 5 ед. здоровья.,Classic,Minion,NEW1_008,Древо мудрости,,Epic,7,5,5,,,Druid,,True,Patrik Hjelm,Давайте попробуйте выцарапать на нем свои инициалы.,,,,
В конце вашего хода вы призываете на поле боя гнолла 2/2 со способностью <b>«Провокация»</b>.,Classic,Minion,NEW1_040,Дробитель,,Legendary,6,4,4,,,,,True,Laurel D. Austin,Дробитель ужасно сильный. Если вы убьете его то это значит что он вам <i>поддался</i>.,True,,,
<b>Провокация</b>,Classic,Minion,EX1_165t2,Друид когтя,,Common,5,4,6,Taunt,,Druid,,,,,,Beast,,
<b>Выберите эффект:</b> <b>Рывок</b>; или +2 к здоровью и способность <b>«Провокация»</b>.,Classic,Minion,EX1_165,Друид когтя,Neutral,Common,5,4,4,,,Druid,,True,Luca Zontini,Кошка или медведь? Медведь или кошка? Очень сложный выбор!,,,,
<b>Рывок</b>,Classic,Minion,EX1_165t1,Друид когтя,,Common,5,4,4,Charge,,Druid,,,,,,Beast,,
<b>Провокация</b>,Classic,Minion,EX1_tk11,Дух волка,Neutral,Rare,2,2,3,Taunt,,Shaman,,,,,,,,
Призывает на поле боя двух духов волка 2/3 со способностью <b>«Провокация»</b>. <b>Перегрузка:</b> (2),Classic,Spell,EX1_248,Дух дикого волка,Neutral,Rare,3,,,,,Shaman,,True,Clint Langley,Духи волков кусают не слабее обычных волков.,,,,
<b>Предсмертный хрип:</b> после смерти это существо вернется на поле боя.,Classic,Enchantment,CS2_038e,Дух предков,,,,,,,,Shaman,,,,,,,,
Выбранное существо получает способность «<b>Предсмертный хрип:</b> после смерти это существо вернется на поле боя».,Classic,Spell,CS2_038,Дух предков,Neutral,Rare,2,,,,,Shaman,,True,Zoltan & Gabor,Это была всего лишь царапина.,,,,
Ваши существа получают способность <b>«Предсмертный хрип»:</b> призывает на поле боя древня 2/2.,Classic,Spell,EX1_158,Душа леса,Neutral,Common,4,,,,,Druid,,True,Markus Erdt,Выражение «восстановление лесных массивов» вдруг обрело устрашающее значение.,,,,
Предсмертный хрип: призывает на поле боя древня 2/2.,Classic,Enchantment,EX1_158e,Душа леса,,,,,,,,Druid,,,,,,,,
,Classic,Minion,EX1_tk29,Дьявозавр,Neutral,Common,5,5,5,,,,,,,,,Beast,,
Атака увеличена.,Classic,Enchantment,NEW1_018e,Жажда сокровищ,,,,,,,,,,,,,,,,
<b>Боевой клич:</b> накладывает эффект <b>немоты</b> на выбранное существо.,Classic,Minion,CS2_203,Железноклюв,Horde,Common,2,2,1,Battlecry,,,,True,Trevor Jacobs,Полет совы безмолвен. И вообще совы – не то чем они кажутся.,,Beast,,
После того как вы призвали на поле боя существо наносит 1 ед. урона случайному персонажу противника.,Classic,Minion,NEW1_019,Жонглер кинжалами,,Rare,2,3,2,,,,,True,Matt Cavotta,Некоторые отчаянные жонглеры кинжалами меняют профессию и начинают жонглировать бомбами но еще ни одному не удалось продержаться так долго чтобы стать одной из карт.,,,,
<b>Боевой клич:</b> вы получаете контроль над существом противника с атакой 2 или меньше.,Classic,Minion,EX1_091,Жрица Тьмы,Neutral,Epic,6,4,5,Battlecry,,Priest,,True,Chippy,Никогда не знаешь кого встретишь темной ночью у холодильника...,,,,
<b>Боевой клич:</b> восстанавливает 4 ед. здоровья вашему герою.,Classic,Minion,EX1_583,Жрица Элуны,Neutral,Common,6,5,4,Battlecry,,,,True,Dan Scott,Иногда она врывается на поле боя с криком: «Я несу исцеление во имя Луны!»,,,,
<b>Провокация</b>. Стоит на (1) ману меньше за каждую единицу атаки вашего оружия.,Classic,Minion,NEW1_022,Жуткий корсар,,Common,4,3,3,Taunt,,,,True,Trent Kaniuga,В переводе с пиратского «Арррр!» означает «Приветствую вас милостивый государь».,,Pirate,,
