MECHANICS,SET,NAME,ARTIST,ELITE,TEXT,RARITY,ATTACK,COST,HEALTH,RACE,TYPE,ID,COLLECTIBLE,FLAVOR,PLAYERCLASS,DURABILITY
Battlecry,Goblins vs Gnomes,凱贊秘術使,Jakub Kasper,,<b>戰吼:</b>控制一個隨機的敵方<b>秘密</b>,Rare,4,4,3,,Minion,GVG_074,True,他們假裝很有智慧又高深莫測，但其實他們超八卦的，打聽秘密是他們最愛的活動。,,
Freeze,Goblins vs Gnomes,剷雪機器人,Gabor Szikszai,,<b>凍結</b>任何被此手下傷害的角色,Common,2,2,3,Mech,Minion,GVG_002,True,在他經過時跟著喊:剷剷剷!,Mage,
,Goblins vs Gnomes,加茲瑞拉,Raymond Swanland,True,每當此手下受到傷害，使其攻擊力加倍,Legendary,6,7,9,Beast,Minion,GVG_049,True,森金高中的足球隊就是叫「加茲瑞拉隊」。,Hunter,
,Goblins vs Gnomes,加茲魯維,Luke Mancini,True,每當你施放消耗為1點的法術，就放一個隨機的機械到你的手牌中,Legendary,3,6,6,,Minion,GVG_117,True,上高中時，加茲魯維以最高票當選「最有可能爆炸死亡的人」。,,
,Goblins vs Gnomes,加里維克斯的硬幣,,,在本回合內獲得額外一顆法力水晶。(不會觸發加里維克斯的能力),,,0,,,Spell,GVG_028t,,,,
,Goblins vs Gnomes,動力強化,,,+2/+2,,,,,,Enchantment,GVG_036e,,,Shaman,
Deathrattle,Goblins vs Gnomes,動力戰錘,Zoltan and Gabor,,<b>死亡之聲:</b>賦予一個隨機友方機械+2/+2,Rare,3,3,,,Weapon,GVG_036,True,人們以為薩滿能控制元素，但其實他們只是問元素說可不可以這樣那樣，然後元素回答說，噢好啊。,Shaman,2
Battlecry,Goblins vs Gnomes,升級版修理機器人,Nutchapol Thitinunthakorn,,<b>戰吼:</b>賦予一個友方機械+4生命值,Rare,5,5,5,Mech,Minion,GVG_083,True,其實這一代跟上一代一模一樣，他們只是在上面多刻了「升級版」三個字，然後把標價加倍。,Priest,
,Goblins vs Gnomes,卡片之賜,,,每個玩家抽一張牌,,,,,,Spell,GVG_032b,,,Druid,
Battlecry,Goblins vs Gnomes,古董治療機器人,Jesper Ejsing,,<b>戰吼:</b>使你的英雄恢復8點生命值,Common,3,5,3,Mech,Minion,GVG_069,True,這個型號已經停產了!(因為發生了幾起爆炸事故),,
,Goblins vs Gnomes,召喚寵物,E.M. Gist,,抽一張牌。若是野獸卡片，其消耗減少(4)點,Rare,,2,,,Spell,GVG_017,True,真正的獵人都抓飢餓的螃蟹。,Hunter,
Stealth,Goblins vs Gnomes,吉爾布林潛獵者,Seamus Gallagher,,<b>潛行</b>,Common,2,2,3,,Minion,GVG_081,True,「等等!我聽到怪聲。」「啊，大概是我聽錯了。」-很多守衛死前的最後一句話。,,
,Goblins vs Gnomes,吉福斯,Matt Dixon,,在每一個玩家回合結束時，替該玩家抽牌直到手上至少有3張牌,Rare,1,4,4,Mech,Minion,GVG_094,True,這個管家機器人最大的問題就是 - 管太多。,,
Aura,Goblins vs Gnomes,哥布林工兵,Jesper Ejsing,,若你的對手有6張以上的手牌，便獲得+4攻擊力,Rare,2,3,4,,Minion,GVG_095,True,拆雷、爆破他都會。比較需要擔心的是他一邊拆，一邊爆。,,
Battlecry,Goblins vs Gnomes,哥布林自動理髮師,Zolton Boros,,<b>戰吼:</b>賦予你的武器+1攻擊力,Common,3,2,2,Mech,Minion,GVG_023,True,自動修整你的髮型，或者身高。,Rogue,
Battlecry,Goblins vs Gnomes,哥布林轟炸法師,Glenn Rane,,<b>戰吼:</b>若你有機械，造成4點傷害，隨機分給敵方角色,Rare,5,4,4,,Minion,GVG_004,True,如果你手頭上沒有炸彈可以丟，隨便拿起一個哥布林的發明扔出去就對了。,Mage,
,Goblins vs Gnomes,回收,Brandon Kitkouski,,將一個敵方手下洗回你對手的牌堆中,Rare,,6,,,Spell,GVG_031,True,德魯伊的回收方式是把塑膠分類在一袋，敵方手下分類在另一袋。,Druid,
,Goblins vs Gnomes,回收升級,,,屬性提高,,,,,,Enchantment,GVG_106e,,,,
,Goblins vs Gnomes,地精區之力,,,+1/+1,,,,,,Enchantment,GVG_102e,,,,
Battlecry,Goblins vs Gnomes,地精區技師,Gabor Szikszai,,<b>戰吼:</b>若你有機械，獲得+1/+1並放一張<b>備用零件</b>到你的手牌中,Common,3,3,3,,Minion,GVG_102,True,他經常夾帶零件回家。事實上，幾乎每個技師都這麼做。,,
Battlecry,Goblins vs Gnomes,地精實驗家,Jesper Ejsing,,<b>戰吼:</b>抽一張牌。若抽到手下，將它變形為一隻雞,Rare,3,3,2,,Minion,GVG_092,True,哈哈，我怎麼可能把自己變成...咕咕!咕咕!,,
ImmuneToSpellpower,Goblins vs Gnomes,地雷,Chris Seaman,,當你抽到它時會爆炸。你會受到10點傷害並抽一張牌,,,0,,,Spell,GVG_056t,,,Warrior,
,Goblins vs Gnomes,坦克模式,,,+1生命值,,,,,,Spell,GVG_030b,,,Druid,
,Goblins vs Gnomes,坦克模式,,,+1生命值,,,,,,Enchantment,GVG_030be,,,Druid,
,Goblins vs Gnomes,大哥布林,Laurel D. Austin,,每當你打出攻擊力為1的手下，賦予該手下+2/+2,Epic,2,3,3,,Minion,GVG_104,True,大哥布林下個星期要聚會討論公會福利。在清單上的第一個項目是:牙醫津貼。,,
Battlecry,Goblins vs Gnomes,奈普圖隆,Ruan Jia,True,<b>戰吼:</b>放4張隨機的魚人到你的手牌中。<b>超載:</b>(3),Legendary,7,7,7,,Minion,GVG_042,True,奈普圖隆是「獵潮者」，他是四大元素領主之一。他和拉格納羅斯共同舉辦的桑拿活動無人能比。,Shaman,
Battlecry,Goblins vs Gnomes,女盾侍,Alex Horley Orlandelli,,<b>戰吼:</b>獲得5點護甲值,Rare,5,6,5,,Minion,GVG_053,True,她通常會帶著三個負盾兵跟班，這樣盾牌只要快壞了就能馬上換新的。,Warrior,
Aura,Goblins vs Gnomes,嬌小的法術干擾師,Jonboy Meyers,,兩側的手下無法被法術或英雄能力指定,Epic,2,4,5,,Minion,GVG_122,True,聽說法師都恨她恨得牙癢癢的。,Mage,
,Goblins vs Gnomes,對調,,,攻擊力和生命值被逆向開關所對調,,,,,,Enchantment,PART_006a,,,,
Battlecry|Taunt,Goblins vs Gnomes,小小驅魔者,Jim Nelson,,<b>嘲諷</b><b>戰吼:</b>戰場上每一個有<b>死亡之聲</b>的敵方手下都使其+1/+1,Rare,2,3,3,,Minion,GVG_097,True,很多術士都把她的電話號碼背了起來，以免叫錯惡魔時求救無門。,,
,Goblins vs Gnomes,小鬼,,,,,1,1,1,Demon,Minion,GVG_045t,,,Warlock,
,Goblins vs Gnomes,小鬼爆破,Jaemin Kim,,對一個手下造成$2點到$4點傷害。每造成一點傷害，便召喚一個1/1的小鬼,Rare,,4,,,Spell,GVG_045,True,爆炸後的裂片，比爆炸本身還要糟多了。,Warlock,
Battlecry,Goblins vs Gnomes,尖牙德魯伊,Brandon Kitkouski,,<b>戰吼:</b>若你有野獸，將此手下變形為7/7,Common,4,5,4,,Minion,GVG_080,True,為什麼尖牙德魯伊都住在哀嚎洞穴?因為他們出門以後就不叫尖牙德魯伊了。,Druid,
,Goblins vs Gnomes,尖牙德魯伊,Massive Black,,,,7,5,7,Beast,Minion,GVG_080t,,,Druid,
Stealth,Goblins vs Gnomes,巨魔忍者,Samwise,,<b>潛行</b>有50%機率攻擊錯誤的敵人,Rare,6,5,6,,Minion,GVG_088,True,他原本不符合進入忍者學校的條件。是他爸爸通過關係把他送進去的。,Rogue,
,Goblins vs Gnomes,巨魔戰槌,Richard Wright,,有50%機率攻擊錯誤的敵人,Common,4,3,,,Weapon,GVG_054,True,簡單，粗暴，異常危險。你懂的，就跟大部分的巨魔武器一樣。,Warrior,2
,Goblins vs Gnomes,巨魔莫古,Michal Ivan,True,全部的手下都有50%機率攻擊錯誤的敵人,Legendary,7,6,6,,Minion,GVG_112,True,莫古曾經幫忙重新開啟黑暗之門。你也知道需要依賴巨魔幫忙的後果。,,
,Goblins vs Gnomes,巨魔蠻卒,Vinod Rams,,有50%機率攻擊錯誤的敵人,Common,4,3,4,,Minion,GVG_065,True,有一個學說主張，要不是巨魔有這種嚴重的問題，他們早就統治全世界了。,,
Battlecry,Goblins vs Gnomes,布靈登3000型,Jomaro Kindred,True,<b>戰吼:</b>替每一個玩家裝備一把隨機武器,Legendary,3,5,4,Mech,Minion,GVG_119,True,立刻執行派對準備指令。,,
Battlecry,Goblins vs Gnomes,強化機器人,Zoltan Boros,,<b>戰吼:</b>隨機賦予你其他手下<b>風怒</b>、<b>嘲諷</b>或<b>聖盾術</b>,Epic,3,4,2,Mech,Minion,GVG_107,True,他的強化可以賒帳，不收利息，可以說是人人都愛!,,
,Goblins vs Gnomes,彈跳鋒刃,Andrew Hou,,對一個隨機手下造成$1點傷害。反覆彈跳直到一個手下死亡為止,Epic,,3,,,Spell,GVG_050,True,只有哥布林會覺得這是個好主意。現在，就連他們自己也開始產生疑慮了。,Warrior,
,Goblins vs Gnomes,彌米倫之首,Trent Kaniuga,True,在你的回合開始時，若你擁有至少3個機械，將它們全部摧毀並組成V-07-TR-0N,Legendary,4,5,5,Mech,Minion,GVG_111,True,千萬別按那個最大的紅色按鈕!,,
,Goblins vs Gnomes,得到啟發,,,屬性提高,,,,,,Enchantment,GVG_027e,,,Rogue,
,Goblins vs Gnomes,微型裝甲,Skan Srisuwan,,在每個回合開始時獲得+1攻擊力,Common,1,2,2,Mech,Minion,GVG_103,True,沒有人敢小覷它的威力。,,
,Goblins vs Gnomes,惡魔之心,,,+5/+5,,,,,,Enchantment,GVG_019e,,,Warlock,
,Goblins vs Gnomes,惡魔之心,Kerem Beyit,,對一個手下造成$5點傷害。若目標是友方惡魔，賦予它+5/+5,Epic,,5,,,Spell,GVG_019,True,幾乎每個贊成通過惡魔使用法案的人都是術士。怪了。,Warlock,
,Goblins vs Gnomes,惡魔劫奪者,Zoltan & Gabor,,每當你的對手出一張牌，捨棄你牌堆最上面的三張牌,Epic,8,5,8,Mech,Minion,GVG_016,True,反正只要夠大隻就行了!,,
,Goblins vs Gnomes,惡魔火砲,Matt Gaser,,在你的回合結束時，對一個非機械的手下造成2點傷害,Rare,3,4,5,Mech,Minion,GVG_020,True,使用說明書上寫著:「最新升級版，保證多打1點!」,Warlock,
,Goblins vs Gnomes,憎惡魔像,Josh Harris,,每個回合結束時，若此手下是你唯一在場上的手下，摧毀它,Epic,9,6,9,Mech,Minion,GVG_077,True,黑暗憎惡魔像很邪惡、神秘、巨大，而且一個句子都寫不完整。,Warlock,
,Goblins vs Gnomes,懲戒,,,攻擊力提高,,,,,,Enchantment,GVG_063a,,,,
Enrage,Goblins vs Gnomes,戰爭機器人,Tyler Walpole,,<b>狂怒:</b>+1攻擊力,Common,1,1,3,Mech,Minion,GVG_051,True,戰爭機器人的量產在突然發現尺寸輸出成樣品版後喊停。結果達拉然的神奇玩具屋忽然就被數以千計的戰爭機器人玩具塞爆了。,Warrior,
Battlecry|Deathrattle,Goblins vs Gnomes,托斯利,Zoltan & Gabor,True,<b>戰吼及死亡之聲:</b>放一張<b>備用零件</b>到你的手牌中,Legendary,5,6,7,,Minion,GVG_115,True,他似乎跟能量轉換器之類的東西有點關聯。,,
Combo,Goblins vs Gnomes,技工的磨刀油,Den,,賦予你的武器+3攻擊力。<b>連擊:</b>賦予一個隨機友方手下+3攻擊力,Common,,4,,,Spell,GVG_022,True,「加油!加油!加油!」-超老套的加油方式,Rogue,
,Goblins vs Gnomes,技工的磨刀油,,,+3攻擊力,,,,,,Enchantment,GVG_022a,,,,
,Goblins vs Gnomes,技工的磨刀油,,,+3攻擊力,,,,,,Enchantment,GVG_022b,,,,
Battlecry,Goblins vs Gnomes,投彈手,Luca Zontini,,<b>戰吼:</b>對一個隨機敵方手下造成4點傷害,Rare,3,5,3,,Minion,GVG_099,True,最近上頭對他因誤炸而收到的帳單金額感到很不滿意。,,
,Goblins vs Gnomes,拾荒機器人,Zoltan Boros,,每當一隻友方機械死亡，獲得+2/+2,Epic,1,5,5,Mech,Minion,GVG_106,True,一個機器人的垃圾零件，對另一個機器人來說可是超讚的升級零件!,,
,Goblins vs Gnomes,掩蔽,,,潛行，直到你的下一回合為止,,,,,,Enchantment,PART_004e,,,,
,Goblins vs Gnomes,攻城機具,Zero Yue,,每當你獲得護甲值，賦予此手下+1攻擊力,Rare,5,5,5,Mech,Minion,GVG_086,True,冬握湖要塞唯一的弱點!,Warrior,
,Goblins vs Gnomes,攻擊模式,,,+1攻擊力,,,,,,Spell,GVG_030a,,,Druid,
,Goblins vs Gnomes,攻擊模式,,,+1攻擊力,,,,,,Enchantment,GVG_030ae,,,Druid,
,Goblins vs Gnomes,整裝備戰,Mike Hayes,,召喚三個1/1的白銀之手新兵。裝備一把1/4的武器,Rare,,3,,,Spell,GVG_061,True,「披薩來了!」 -目前效果最棒的白銀之手戰吼,Paladin,
,Goblins vs Gnomes,敵人收割者4000,James Ryman,True,同時也會對他目標身邊的手下造成傷害,Legendary,6,8,9,Mech,Minion,GVG_113,True,收割敵人跟收割農作物其實沒什麼兩樣。,,
Deathrattle,Goblins vs Gnomes,斯尼德的伐木機,Christopher Moeller,True,<b>死亡之聲:</b>召喚一個隨機的傳說手下,Legendary,5,8,7,Mech,Minion,GVG_114,True,斯尼德在死亡礦坑被擊敗後，他的伐木機就被一個不知名的買家從拍賣場買走了。(大概是霍格。),,
Battlecry,Goblins vs Gnomes,旋刃火箭筒,Gino Whitehall,,<b>戰吼:</b>賦予一個隨機的友方手下+1攻擊力,Common,2,2,,,Weapon,GVG_043,True,當一般的火箭筒不夠力時，用這個就對了。,Hunter,2
,Goblins vs Gnomes,旋刃火箭筒,,,+1攻擊力,,,,,,Enchantment,GVG_043e,,,Hunter,
,Goblins vs Gnomes,時光回溯器,Nutthapon Petthai,,使一個友方手下返回你的手上,,,1,,,Spell,PART_002,,,,
,Goblins vs Gnomes,暗影拳擊手,Dan Scott,,每當有角色受到治療，對一個隨機敵人造成1點傷害,Rare,2,2,3,Mech,Minion,GVG_072,True,它的主要功能是直拳攻擊。它的次要功能...也是直拳攻擊。,Priest,
Battlecry,Goblins vs Gnomes,暗影炸彈手,Matt Dixon,,<b>戰吼:</b>對雙方英雄造成3點傷害,Epic,2,1,1,,Minion,GVG_009,True,暗影炸彈手會達成目標，但是她的工作態度有點隨便就是了。,Priest,
,Goblins vs Gnomes,暗影獵殺,,,生命值被對調,,,,,,Enchantment,GVG_014a,,,Priest,
Battlecry,Goblins vs Gnomes,更瘋狂的炸彈客,Alex Horley Orlandelli,,<b>戰吼:</b>造成6點傷害，隨機分給其他角色,Rare,5,5,4,,Minion,GVG_090,True,你說瘋狂炸彈客很機車?來，看看這一位。,,
Deathrattle,Goblins vs Gnomes,有駕駛的伐木機,Dan Scott,,<b>死亡之聲:</b>召喚一個法力消耗為2點的隨機手下,Common,4,4,3,Mech,Minion,GVG_096,True,以前只有哥布林會駕駛伐木機。現在?連末日預言者跟博學行者阿洲都開了一台在跑。,,
Deathrattle,Goblins vs Gnomes,有駕駛的飛天魔像,Michael Phillippi,,<b>死亡之聲:</b>召喚一個法力消耗為4點的隨機手下,Epic,6,6,4,Mech,Minion,GVG_105,True,哥布林工程學的巔峰成就。內建義式咖啡機及腳底按摩功能。,,
,Goblins vs Gnomes,林地看管者,Chris Rahn,,<b>二選一:</b>賦予每個玩家一顆法力水晶，或每個玩家各抽一張牌,Rare,2,3,4,,Minion,GVG_032,True,喜歡:爬山、大自然。不喜歡:哥布林伐木機、拖鞋。(因為找不到合腳的!),Druid,
,Goblins vs Gnomes,栓緊螺絲,,,+2/+2,,,,,,Enchantment,GVG_055e,,,Warrior,
Aura,Goblins vs Gnomes,機械召喚師,Phil Saunders,,你的機械消耗減少(1)點,Common,2,2,3,Mech,Minion,GVG_006,True,會召喚機械的機械?接下來呢?會召喚甜甜圈的甜甜圈嗎?嗯...聽起來不錯。,,
,Goblins vs Gnomes,機械熊-貓,Trent Kaniuga,,每當此手下受到傷害，就放一張<b>備用零件</b>到你的手牌中,Rare,7,6,6,Mech,Minion,GVG_034,True,牠徒手拆建築物的效率讓怪手望塵莫及。,Druid,
Deathrattle,Goblins vs Gnomes,機械雪人,Chris Seaman,,<b>死亡之聲:</b>給與每個玩家一張<b>備用零件</b>,Common,4,4,5,Mech,Minion,GVG_078,True,冰風崗哨的雪人經常在聯盟與部落之間的爭鬥中遭到池魚之殃。,,
,Goblins vs Gnomes,機電師瑟瑪普拉格,Trent Kaniuga,True,每當有敵方手下死亡，召喚一個麻瘋地精,Legendary,9,9,7,Mech,Minion,GVG_116,True,他以前是炸藥偏執狂，直到他愛上針織毛衣。現在他逢人就喊:「毛衣!更多的毛衣!」,,
Battlecry,Goblins vs Gnomes,沃金,Raymond Swanland,True,<b>戰吼:</b>與另一個手下對調生命值,Legendary,6,5,2,,Minion,GVG_014,True,沃金是個暗影獵手。跟暗影牧師差不多意思，只是更巫毒了點。,Priest,
,Goblins vs Gnomes,沙鰭靈行者,Clint Langley,,每當另一個友方魚人死亡，抽一張牌。<b>超載:</b>(1),Epic,2,4,5,Murloc,Minion,GVG_040,True,不要以為魚人語就不能跟元素溝通。你看看他。,Shaman,
,Goblins vs Gnomes,法力之賜,,,賦予每個玩家一顆法力水晶,,,,,,Spell,GVG_032a,,,Druid,
,Goblins vs Gnomes,活力圖騰,Guangjian Huang,,你的回合結束時，為你的英雄恢復4點生命值,Rare,0,2,3,Totem,Minion,GVG_039,True,這些圖騰在週六的跳蚤市場上都可以找得到。,Shaman,
,Goblins vs Gnomes,活塞,,,攻擊力提高,,,,,,Enchantment,GVG_076a,,,,
,Goblins vs Gnomes,淤泥踐踏者,Jaemin Kim,,,Common,3,2,2,Murloc,Minion,GVG_064,True,他最愛假裝自己是魚斯拉。,,
,Goblins vs Gnomes,漂浮看守者,Todd Lockwood,,每當你的英雄在你的回合中受到傷害，獲得+2/+2,Common,4,5,4,Demon,Minion,GVG_100,True,一開始他的名字是「邪惡之眼末日看守者」，後來行銷部門的人覺得這個名字太有侵略性，怕影響到銷售，就改了。,Warlock,
Windfury,Goblins vs Gnomes,漩渦打擊裝置,Jim Nelson,,<b>風怒</b>,Common,3,2,2,Mech,Minion,GVG_037,True,原本這個是拿來打蛋用的。,Shaman,
,Goblins vs Gnomes,烈焰戰輪,Aleksi Briclot,True,當你抽到這張牌，對全部角色造成2點傷害,Legendary,7,7,7,Mech,Minion,GVG_007,True,彌米倫喜歡開著烈焰戰輪出去兜風。,Mage,
,Goblins vs Gnomes,烈焰火砲,Mauricio Herrera,,對一個隨機敵方手下造成$4點傷害,Common,,2,,,Spell,GVG_001,True,稱它為烈焰火砲，說實在的，並不能把它跟其他的哥布林裝置做出什麼區隔。反正都會冒火!!!,Mage,
Spellpower,Goblins vs Gnomes,煤煙噴吐機器人,Phil Saunders,,<b>法術傷害+1</b>,Rare,3,3,3,Mech,Minion,GVG_123,True,據說哥布林伐木機的發明者跟煤煙噴吐機器人的發明者有好幾件官司正在打。,Mage,
Divine Shield|Taunt,Goblins vs Gnomes,煩人機器人,Matt Dixon,,<b>嘲諷</b><b>聖盾術</b>,Common,1,2,2,Mech,Minion,GVG_085,True,煩人機器人的發明者被技工學校立即退學，然後被趕出地精區，最後整個被踢出東部王國。,,
,Goblins vs Gnomes,熱砂狙擊手,Jun Kang,,你的英雄能力能夠以手下為目標,Epic,2,2,3,,Minion,GVG_087,True,難得有哥布林有耐心當狙擊手。他們大部分都喜歡衝上去丟手榴彈。,Hunter,
Battlecry,Goblins vs Gnomes,爆爆博士,Alex Garner,True,<b>戰吼:</b>召喚兩個1/1的爆爆機器人。警告:它們有爆炸之虞,Legendary,7,7,7,,Minion,GVG_110,True,讚嘆他的力量!,,
Deathrattle,Goblins vs Gnomes,爆爆機器人,,,<b>死亡之聲:</b>對一個隨機敵人造成1點到4點傷害,,1,1,1,Mech,Minion,GVG_110t,,,,
,Goblins vs Gnomes,特別銳利,,,+1攻擊力,,,,,,Enchantment,GVG_023a,,,,
,Goblins vs Gnomes,特洛格佐爾,Mike Sass,True,每當你的對手施放法術，召喚一個魁梧的石顎穴居怪,Legendary,6,7,6,,Minion,GVG_118,True,不要小看穴居怪。不信，你讓特洛格佐爾砸一下試試。,,
,Goblins vs Gnomes,獨眼騙子,Danny Beck,,每當你召喚海盜，獲得<b>潛行</b>,Rare,4,2,1,Pirate,Minion,GVG_025,True,海盜都會騙人，但他連海盜都能騙得死死的。,Rogue,
Deathrattle,Goblins vs Gnomes,瑪洛尼,Oliver Chipping,True,<b>死亡之聲:</b>將此手下洗入牌堆中,Legendary,9,7,7,Beast,Minion,GVG_035,True,我不是馴鹿!我不認識什麼聖誕老人!,Druid,
Aura,Goblins vs Gnomes,瑪爾加尼斯,Wayne Reynolds,True,你的其他惡魔擁有+2/+2。你的英雄<b>免疫</b>,Legendary,9,9,7,Demon,Minion,GVG_021,True,瑪爾加尼斯不喜歡被背叛，所以如果你把他捨棄，最好把皮繃緊一點。,Warlock,
,Goblins vs Gnomes,瑪爾加尼斯之握,,,瑪爾加尼斯賦予了+2/+2,,,,,,Enchantment,GVG_021e,,,Warlock,
,Goblins vs Gnomes,生命之樹,Steve Prescott,,將全部角色恢復到最大生命值,Epic,,9,,,Spell,GVG_033,True,治療，是會長在樹上的!,Druid,
,Goblins vs Gnomes,生鏽的號角,Peerasak Senalai,,賦予一個手下<b>嘲諷</b>,,,1,,,Spell,PART_003,,,,
Deathrattle,Goblins vs Gnomes,發條地精,Matt Dixon,,<b>死亡之聲:</b>放一張<b>備用零件</b>到你的手牌中,Common,2,1,1,Mech,Minion,GVG_082,True,發條地精最常問的問題就是現在幾點鐘。,,
,Goblins vs Gnomes,發條巨人,Dan Scott,,你對手的每一張手牌使消耗減少(1)點,Epic,8,12,8,Mech,Minion,GVG_121,True,他跟山嶺巨人不和。,,
,Goblins vs Gnomes,皺眉,,,屬性提高,,,,,,Enchantment,GVG_100e,,,Warlock,
,Goblins vs Gnomes,眼鏡蛇射擊,Howard Lyon,,對一個手下及敵方英雄造成$3點傷害,Common,,5,,,Spell,GVG_073,True,比較蹩腳的獵人通常會用青竹絲或龜殼花的蛇毒來蒙混過去。,Hunter,
,Goblins vs Gnomes,石裂穴居怪,Peet Cooper,,每當你的對手施放法術，獲得+1攻擊力,Common,2,2,3,,Minion,GVG_067,True,傳說跟穴居怪關在一起的臭味足以讓最強硬的嫌犯在三天內把一切都招了。,,
Windfury,Goblins vs Gnomes,砂槌薩滿,José Ladrönn,,<b>風怒，超載:</b>(1)有50%機率攻擊錯誤的敵人,Rare,5,4,4,,Minion,GVG_066,True,他通常都閉上眼睛亂敲一通。吼吼!,Shaman,
Combo,Goblins vs Gnomes,破壞工作,Dave Allsop,,摧毀一個隨機敵方手下。<b>連擊:</b>也摧毀對手的武器,Epic,,4,,,Spell,GVG_047,True,殺人放火金腰帶。所以殺完人，當然要順便放火，才叫完美的破壞工作。,Rogue,
Battlecry,Goblins vs Gnomes,破舊的維修機甲,Jesper Ejsing,,<b>戰吼:</b>賦予一個友方機械+2/+2,Rare,2,4,5,Mech,Minion,GVG_055,True,如果出現故障，從屁股下面45度角踢它幾下通常可以修好。,Warrior,
,Goblins vs Gnomes,祖爾法拉克之力,,,攻擊力加倍,,,,,,Enchantment,GVG_049e,,,Hunter,
Battlecry|Taunt,Goblins vs Gnomes,萬獸之王,Seamus Gallagher,,<b>嘲諷</b>。<b>戰吼:</b>每擁有一隻其他野獸，便獲得+1攻擊力,Rare,2,5,6,Beast,Minion,GVG_046,True,獅子是萬獸之王。所以獅子王是萬獸之王之王。這樣說對吧?好，把剛才那句話很快的唸十次看看。,Hunter,
,Goblins vs Gnomes,萬獸之王,,,攻擊力提高,,,,,,Enchantment,GVG_046e,,,Hunter,
Taunt,Goblins vs Gnomes,秘法剋星X-21,Zero Yue,,<b>嘲諷</b>無法被法術或英雄能力指定,Rare,2,4,5,Mech,Minion,GVG_091,True,為了這個新發明，地精法師跟地精工程師差點翻臉打起來。,,
,Goblins vs Gnomes,粉碎,Michael Sutfin,,摧毀一個手下。若你有受傷的手下在場上，消耗減少(4)點,Epic,,7,,,Spell,GVG_052,True,很多野蠻人都說，使用這張牌的感覺令他們畢生難忘。,Warrior,
,Goblins vs Gnomes,純淨,,,屬性提高,,,,,,Enchantment,GVG_101e,,,Paladin,
Freeze,Goblins vs Gnomes,緊急冷卻劑,Peerasak Senalai,,<b>凍結</b>一個手下,,,1,,,Spell,PART_005,,,,
OneTurnEffect,Goblins vs Gnomes,縮小射線,,,本回合-2攻擊力,,,,,,Enchantment,GVG_011a,,,,
Battlecry,Goblins vs Gnomes,縮小射線工程師,Jim Nelson,,<b>戰吼:</b>本回合賦予一個手下-2攻擊力,Common,3,2,2,,Minion,GVG_011,True,在地精世界放大器的那場災難過後，地精現在對改變大小的發明都很有戒心。,Priest,
,Goblins vs Gnomes,老水手,Alex Horley Orlandelli,,,Common,7,5,4,Pirate,Minion,GVG_070,True,他終於擺脫「那個菜鳥」的稱謂了。,,
AffectedBySpellPower,Goblins vs Gnomes,聖光炸彈,Luca Zontini,,對每個手下造成相當於其攻擊力的傷害,Epic,,6,,,Spell,GVG_008,True,這就是讓哥布林當牧師的下場。,Priest,
