SET,NAME,HEALTH,TYPE,ID,PLAYERCLASS,DURABILITY,RARITY,ATTACK,COST,TEXT,FACTION,MECHANICS,INPLAYTEXT,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
"Classic","伊利丹·怒風",5,"Minion","EX1_614",,,"Legendary",7,6,"每當你出牌，召喚一個2/1的埃辛諾斯火焰","Neutral",,,True,"Alex Horley Orlandelli","伊利丹的哥哥瑪法里恩把他關在海加爾底下10000年。怒風家族對於舊怨一向記得很清楚。",True,"Demon",,
"Classic","伊瑟拉",12,"Minion","EX1_572",,,"Legendary",4,9,"在你的回合結束時，抽一張夢境卡","Neutral",,,True,"Gabor Szikszai","伊瑟拉統治著翡翠夢境，一個像是真實世界的綠色鏡像版本之類的世界。",True,"Dragon",,
"Classic","伊瑟拉之覺醒",,"Spell","DREAM_02","Dream",,,,2,"對伊瑟拉以外的全部角色造成$5點傷害",,,,,,,,,,
"Classic","伊露恩之賜",,"Enchantment","EX1_004e",,,,,,"生命值提高",,,,,,,,,,
"Classic","伊露恩的女祭司",4,"Minion","EX1_583",,,"Common",5,6,"<b>戰吼:</b>使你的英雄恢復4點生命值","Neutral",Battlecry,,True,"Dan Scott","如果她說要代替月亮來「懲罰」你，別做太多的聯想。",,,,
"Classic","伸張正義",,"Enchantment","EX1_366e","Paladin",,,,,"擁有+1/+1",,,,,,,,,,
"Classic","侍從",2,"Minion","CS2_152",,,"Common",2,1,,"Alliance",,,,,,,,,
"Classic","保密",,"Enchantment","EX1_080o",,,,,,"屬性提高",,,,,,,,,,
"Classic","保密者",2,"Minion","EX1_080",,,"Rare",1,1,"每當有人施放<b>秘密</b>，獲得+1/+1","Alliance",,"",True,"Gonzalo Ordonez","她答應不會告訴其他人，你昨晚跟那個人做的那件事情。",,,,
"Classic","偽裝大師",4,"Minion","NEW1_014","Rogue",,"Rare",4,4,"<b>戰吼:</b>使一個友方手下獲得<b>潛行</b>",,Battlecry,,True,"Ron Spencer","其實她是男性牛頭人。大家叫他「偽裝大師」不是沒有道理的。",,,,
"Classic","充分進食",,"Enchantment","EX1_531e","Hunter",,,,,"攻擊力及生命值提高",,,,,,,,,,
"Classic","兇蠻",,"Spell","EX1_578","Druid",,"Rare",,1,"對一個敵方手下造成等同於你英雄攻擊力的傷害","Neutral",AffectedBySpellPower,,True,"Dave Rapoza","有些德魯伊很兇蠻是事實，但是其他的德魯伊還是很喜歡喝杯好茶享受寧靜的時光。",,,,
"Classic","先祖之魂",,"Spell","CS2_038","Shaman",,"Rare",,2,"賦予一個手下「<b>死亡之聲:</b>重新召喚這個手下」","Neutral",,,True,"Zoltan & Gabor","這只是皮肉之傷。",,,,
"Classic","先祖之魂",,"Enchantment","CS2_038e","Shaman",,,,,"<b>死亡之聲:</b>重新召喚這個手下",,,,,,,,,,
"Classic","光明籠罩",,"Enchantment","EX1_001e",,,,,,"攻擊力提高",,,,,,,,,,
"Classic","光束泉",5,"Minion","EX1_341","Priest",,"Rare",0,2,"你的回合開始時，恢復一個受傷的友方角色3點生命值","Neutral",,"",True,"Blizzard Entertainment","很難說人們是刻意無視光束泉的存在，還是它本身就是隱形的。",,,,
"Classic","光榮犧牲",,"Spell","EX1_130","Paladin",,"Common",,1,"<b>秘密:</b>當一個敵人進攻時，召喚一個2/1防衛者成為新目標","Neutral",Secret,,True,"Zoltan & Gabor","我們會記得你的，「防衛者」!",,,,
"Classic","克洛許王",8,"Minion","EX1_543","Hunter",,"Legendary",8,9,"<b>衝鋒</b>","Neutral",Charge,,True,"Alex Horley Orlandelli","要防禦克洛許王最好的辦法就是讓你討厭的人站在你前面。",True,"Beast",,
"Classic","冰凍陷阱",,"Spell","EX1_611","Hunter",,"Common",,2,"<b>秘密:</b>將一個進攻的敵方手下返回手上，並使其消耗增加(2)點","Neutral",Secret,,True,"Matt Gaser","「很冷耶。」-對冰凍陷阱的反應，或者是對冷笑話的反應。",,,,
"Classic","冰錐術",,"Spell","EX1_275","Mage",,"Common",,4,"<b>凍結</b>一個手下及其兩側的手下，並對他們造成$1點傷害","Neutral",Freeze,,True,"Leo Che","祈倫托的法師本來都愛用<b>冰塊術</b>，直到90多年前甜筒開始流行。",,,,
"Classic","冰霜元素",5,"Minion","EX1_283",,,"Common",5,6,"<b>戰吼:</b><b>凍結</b>一個角色","Neutral",Battlecry|Freeze,,True,"Dan Scott","這是水元素跟冰元素愛的結晶...",,,,
"Classic","冰霜長矛",,"Spell","CS2_031","Mage",,"Common",,1,"<b>凍結</b>一個角色。如果該角色已<b>凍結</b>，則改為造成$4點傷害","Neutral",Freeze,,True,"Alex Horley Orlandelli","訣竅在於不要把長矛弄碎。不然，你放的就叫「冰霜碎片」。冰霜碎片的效果比較差。",,,,
"Classic","冷光先知",3,"Minion","EX1_103",,,"Rare",2,3,"<b>戰吼:</b>賦予全部其他魚人+2生命值","Neutral",Battlecry,,True,"Arthur Gimaldinov","要逃離魚人沒那麼簡單，連地獄深淵都有冷光魚人住在那裡。",,"Murloc",,
"Classic","冷光神諭者",2,"Minion","EX1_050",,,"Rare",2,3,"<b>戰吼:</b>每一個玩家抽2張牌","Neutral",Battlecry,,True,"Steve Prescott","他們可以看到未來。在那個未來中，雙方玩家各會抽到更多牌。嚇死人嘍!",,"Murloc",,
"Classic","冷血",,"Spell","CS2_073","Rogue",,"Common",,1,"賦予一個手下+2攻擊力。<b>連擊:</b>改為+4攻擊力","Neutral",Combo,,True,"Alex Horley Orlandelli","「我是冷血動物，你摸摸看!」",,,,
"Classic","冷血",,"Enchantment","CS2_073e2","Rogue",,,,,"+4攻擊力",,,,,,,,,,
"Classic","冷血",,"Enchantment","CS2_073e","Rogue",,,,,"+2攻擊力",,,,,,,,,,
"Classic","凱恩·血蹄",5,"Minion","EX1_110",,,"Legendary",4,6,"<b>死亡之聲:</b>召喚一個4/5的貝恩·血蹄","Alliance",Deathrattle,,True,"Wayne Reynolds","凱恩是被卡爾洛斯殺死的。所以呢，別把他放進戰士的套牌，那樣太不考慮他的心情了。",True,,,
"Classic","利爪德魯伊",4,"Minion","EX1_165t1","Druid",,"Common",4,5,"<b>衝鋒</b>",,Charge,,,,,,"Beast",,
"Classic","利爪德魯伊",6,"Minion","EX1_165t2","Druid",,"Common",4,5,"<b>嘲諷</b>",,Taunt,,,,,,"Beast",,
"Classic","利爪德魯伊",4,"Minion","EX1_165","Druid",,"Common",4,5,"<b>二選一:</b><b>衝鋒</b>，或+2生命值及<b>嘲諷</b>","Neutral",,,True,"Luca Zontini","獵豹還是熊?獵豹還是熊?我沒辦法決定啦!",,,,
"Classic","剔骨",,"Spell","EX1_124","Rogue",,"Common",,2,"造成$2點傷害。<b>連擊:</b>改為造成$4點傷害","Neutral",Combo,,True,"Ariel Olivetti","要剔敵人的骨得要付出很大的代價:要過很久很久，皮甲上才會看不到血跡。",,,,
"Classic","劍刃亂舞",,"Spell","CS2_233","Rogue",,"Rare",,2,"摧毀你的武器，對全部敵人造成等同其攻擊力的傷害","Neutral",AffectedBySpellPower,,True,"Hideaki Takamura","「聽著，這不只是非常快速地揮舞匕首而已。比那樣還要複雜多了。」-杉，盜賊訓練師",,,,
"Classic","劍類鍛造大師",3,"Minion","NEW1_037",,,"Rare",1,2,"你的回合結束時，賦予另一個隨機友方手下+1攻擊力",,,"",True,"E.M. Gist","他最近想要打造出一條「連枷斧」，但是其他鑄劍師都說那是不可能的。",,,,
"Classic","力量充沛",,"Enchantment","CS2_181e",,,,,,"這個手下擁有+2攻擊力",,,,,,,,,,
"Classic","加基森拍賣師",4,"Minion","EX1_095",,,"Rare",4,6,"每當你施放法術，抽一張牌","Neutral",,"",True,"Matt Dixon","他原本在經營黑市的拍賣場，後來暴力問題實在太嚴重，他只好搬家。",,,,
"Classic","勇者祝福",,"Spell","EX1_355","Paladin",,"Rare",,5,"使一個手下的攻擊力加倍",,,,True,"Tyler Walpole","這張牌會製造加倍的麻煩，還有加倍的樂趣喔!",,,,
"Classic","勇者祝福",,"Enchantment","EX1_355e","Paladin",,,,,"這個手下的攻擊力加倍",,,,,,,,,,
"Classic","升級!",,"Spell","EX1_409","Warrior",,"Rare",,1,"若你裝備了武器，賦予它+1/+1。若無，則裝備一把1/3的武器","Neutral",,,True,"Matt Cavotta","這至少值50點的DKP。",,,,
"Classic","升級了!",,"Enchantment","EX1_044e",,,,,,"攻擊力及生命值提高",,,,,,,,,,
"Classic","半神的恩眷",,"Spell","EX1_573a","Druid",,,,,"賦予你其他手下+2/+2","Neutral",,,,,,,,,
"Classic","半神的恩眷",,"Enchantment","EX1_573ae","Druid",,,,,"+2/+2","Neutral",,,,,,,,,
"Classic","南海水手",1,"Minion","CS2_146",,,"Common",2,1,"若你裝備了武器，他便擁有<b>衝鋒</b>","Alliance",,,True,"Dan Brereton","最近海盜迷上了一個新活動:跳板跳水。",,"Pirate",,
"Classic","南海船長",3,"Minion","NEW1_027",,,"Epic",3,3,"你的其他海盜獲得+1/+1",,Aura,,True,"Ken Steacy","等他存夠錢，他會去訂做一頂超巨大的船長帽。他有很嚴重的帽子情結。",,"Pirate",,
"Classic","博學行者阿洲",4,"Minion","EX1_100",,,"Legendary",0,2,"每當有玩家施放法術，對手便獲得一張同樣的法術","Neutral",,"",True,"Mark Zug","博學行者阿洲記錄並分享潘達利亞大陸的故事，但是他最喜歡的故事其實是龍捲風系列的肥皂劇。",True,,,
"Classic","卡巴暗影牧師",5,"Minion","EX1_091","Priest",,"Epic",4,6,"<b>戰吼:</b>控制一個攻擊力在2點以下的敵方手下","Neutral",Battlecry,,True,"Chippy","你永遠不知道誰在偷偷為卡巴做事...",,,,
"Classic","原生恐狼",2,"Minion","EX1_162",,,"Common",2,2,"兩側的手下+1攻擊力","Neutral",AdjacentBuff|Aura,"",True,"John Dickenson","他們說原生的恐狼比較大隻。我想，他們咬人應該也會比較痛。要不然你去讓牠咬咬看?",,"Beast",,
"Classic","叉狀閃電",,"Spell","EX1_251","Shaman",,"Common",,1,"對2個隨機敵方手下造成$2點傷害。<b>超載:</b>(2)","Neutral",,,True,"Ralph Horsley","再收集到匙狀閃電跟刀狀閃電，你就擁有整套餐具組了。",,,,
"Classic","受傷的大劍師",7,"Minion","CS2_181",,,"Rare",4,3,"<b>戰吼:</b>對他自己造成4點傷害","Horde",Battlecry,"",True,"Samwise","他宣稱那是在戰爭中受到的舊傷，但我們認為那只是刮鬍子時不小心刮傷的。",,,,
"Classic","受損的魔像",1,"Minion","skele21",,,"Common",2,1,,"Neutral",,,,,,,"Mech",,
"Classic","叢林豹",2,"Minion","EX1_017",,,"Common",4,3,"<b>潛行</b>","Horde",Stealth,,True,"Jaemin Kim","荊棘谷是個觀光的好去處，但你不會想要住在那裡。",,"Beast",,
"Classic","古老的教誨",,"Spell","NEW1_008a","Druid",,,,,"抽2張牌",,,,,,,,,,
"Classic","古老的秘密",,"Spell","NEW1_008b","Druid",,,,,"恢復5點生命值",,,,,,,,,,
"Classic","召喚一隻獵豹",,"Spell","EX1_160a","Druid",,,,,"召喚一隻3/2獵豹","Neutral",,,,,,,,,
"Classic","召喚傳送門",4,"Minion","EX1_315","Warlock",,"Common",0,4,"你的手下消耗減少(2)點，但不會低於(1)點","Neutral",Aura,"",True,"Tyler Walpole","不會低於1點!別亂想了!",,,,
"Classic","吞噬",,"Enchantment","EX1_304e","Warlock",,,,,"屬性提高",,,,,,,,,,
"Classic","命令之吼",,"Enchantment","NEW1_036e2","Warrior",,,,,"你的手下們在本回合內生命值不會低於1點",,OneTurnEffect,,,,,,,,
"Classic","命令之吼",,"Enchantment","NEW1_036e","Warrior",,,,,"本回合內生命值不會低於1點",,OneTurnEffect,,,,,,,,
"Classic","命令之吼",,"Spell","NEW1_036","Warrior",,"Rare",,2,"你手下的生命值在本回合內不會低於1點。抽一張牌",,,,True,"Wayne Reynolds","「吼!吼!再大聲一點!」-對菜鳥戰士的建言",,,,
"Classic","哈里遜·瓊斯",4,"Minion","EX1_558",,,"Legendary",5,5,"<b>戰吼:</b>摧毀對手的武器並抽相當於其耐久度的牌","Neutral",Battlecry,,True,"Matt Dixon","「那件文物應該被放到探險者大廳!」",True,,,
"Classic","嚴厲的士官",1,"Minion","CS2_188",,,"Common",2,1,"<b>戰吼:</b>本回合賦予一個手下+2攻擊力","Alliance",Battlecry,,True,"Luca Zontini","把我加進你的套牌裡，蠢蛋!",,,,
"Classic","土元素",8,"Minion","EX1_250","Shaman",,"Epic",7,5,"<b>嘲諷</b>。<b>超載:</b>(3)","Neutral",Taunt,,True,"Dan Scott","剪刀跟布都不該贏石頭。",,,,
"Classic","土狼",2,"Minion","EX1_534t","Hunter",,"Rare",2,2,,,,,,"Andrew Robinson",,,"Beast",,
"Classic","埃辛諾斯火焰",1,"Minion","EX1_614t",,,,2,1,,,,,,,,,,,
"Classic","塞納留斯",8,"Minion","EX1_573","Druid",,"Legendary",5,9,"<b>二選一:</b>使你其他的手下+2/+2，或召喚兩個有<b>嘲諷</b>的2/2樹人","Neutral",,"",True,"Alex Horley Orlandelli","是的，他是個半神。不，他不需要穿上衣。",True,,,
"Classic","塵魔",1,"Minion","EX1_243","Shaman",,"Common",3,1,"<b>風怒</b>。<b>超載:</b>(2)","Neutral",Windfury,,True,"Raymond Swanland","西部荒野到處都是塵魔。還有禿鷲。還有瘋狂的魔像。還有海盜。怎麼會有人想住在這種地方?",,,,
"Classic","墮滅之刃",,"Weapon","EX1_133","Rogue",2,"Rare",2,3,"<b>戰吼:</b>造成1點傷害。<b>連擊:</b>改為造成2點傷害","Neutral",Battlecry|Combo,,True,"Daren Bader","墮滅之刃是拉格納羅斯把薩弗拉斯放在拍賣場時拿來備用的武器。",,,,
"Classic","壓倒性的力量",,"Spell","EX1_316","Warlock",,"Common",,1,"賦予一個友方手下+4/+4到回合結束。然後它會悲慘地死去","Neutral",,,True,"Tom Baxa","我們根本無法描述這種死亡有多悲慘。像瘋狂一般的慘啊!也許比那樣還糟。反正別這麼做就對了。",,,,
"Classic","壓倒性的力量",,"Enchantment","EX1_316e","Warlock",,,,,"這手下擁有+4/+4，但回合結束時會悲慘地死去","Neutral",,,,,,,,,
"Classic","夢境",,"Spell","DREAM_04","Dream",,,,0,"使一個手下返回擁有者的手上",,,,,,,,,,
"Classic","夢魘",,"Enchantment","DREAM_05e",,,,,,"這個手下擁有+5/+5，但很快就會被摧毀",,,,,,,,,,
"Classic","夢魘",,"Spell","DREAM_05","Dream",,,,0,"賦予一個手下+5/+5。在你下回合開始的時候，摧毀它",,,,,,,,,,
"Classic","大地震擊",,"Spell","EX1_245","Shaman",,"Common",,1,"<b>沉默</b>一個手下，然後對它造成$1點傷害","Neutral",Silence,,True,"Kevin Chin","大地震擊並不會引發毀滅性的大地震動。請安心使用。",,,,
"Classic","大法師安東尼達斯",7,"Minion","EX1_559","Mage",,"Legendary",5,7,"每當你施放法術，就放一張「火球術」到你的手牌中","Neutral",,"",True,"Wayne Reynolds","安東尼達斯生前是祈倫托的大魔導師，也是珍娜的導師。這比果凍甜甜圈的大魔導師高尚多了。",True,,,
"Classic","奔竄的科多獸",5,"Minion","NEW1_041",,,"Rare",3,5,"<b>戰吼:</b>隨機摧毀一個攻擊力在2點以下的敵方手下",,Battlecry,,True,"Daren Bader","這隻科多獸十分巨大，大到他可以<b>獨自</b>達成奔竄。",,"Beast",,
"Classic","奧多爾保安官",3,"Minion","EX1_382","Paladin",,"Rare",3,3,"<b>戰吼:</b>使一個敵方手下的攻擊力降為1點","Neutral",Battlecry,,True,"Dany Orizio","奧多爾最討厭兩個東西:占卜者和時尚爵士樂。",,,,
"Classic","奧奇奈靈魂牧師",5,"Minion","EX1_591","Priest",,"Rare",3,4,"你原本的治療卡片和能力改為造成傷害","Neutral",Aura,,True,"Doug Alexander","奧奇奈知道末日即將來臨，但是他們不知道何時會發生。",,,,
"Classic","奧妮克希亞",8,"Minion","EX1_562",,,"Legendary",8,9,"<b>戰吼:</b>召喚1/1幼龍直到你戰場的位置全滿","Neutral",Battlecry,,True,"Dany Orizio","奧妮克希亞化身為卡特拉娜·普瑞斯托女士，暗中操控暴風城朝政好長一段時間。只是，她巨大的翅膀跟鱗片應該會很容易洩漏她的真實身分才對的...",True,"Dragon",,
"Classic","好利!",,"Enchantment","CS2_221e",,,,,,"由惡毒的鐵匠獲得+2攻擊力",,,,,,,,,,
"Classic","姆嘎哈歐",,"Enchantment","EX1_103e",,,,,,"+2生命值",,,,,,,,,,
"Classic","姆嘎啦葛歐!",,"Enchantment","EX1_507e",,,,,,"魚人隊長賦予了+2/+1",,,,,,,,,,
"Classic","寒冰屏障",,"Enchantment","EX1_295o","Mage",,,,,"你的英雄在本回合<b>免疫</b>",,OneTurnEffect,,,,,,,,
"Classic","寒冰屏障",,"Spell","EX1_295","Mage",,"Epic",,3,"<b>秘密:</b>抵銷你英雄受到的致命傷，並在該回合內<b>免疫</b>","Neutral",Secret,,True,"Carl Frank","為什麼老師叫我被追殺時要「開冰箱」?",,,,
"Classic","寒冰護體",,"Spell","EX1_289","Mage",,"Common",,3,"<b>秘密:</b>當你的英雄被攻擊時，立即獲得8點護甲值","Neutral",Secret,,True,"Alex Garner","這是第1級。第2級是巧克力牛奶護體。",,,,
"Classic","實驗!",,"Enchantment","EX1_059e",,,,,,"攻擊力和生命值被瘋狂的鍊金師所對調",,,,,,,,,,
"Classic","尊師的教導",,"Spell","EX1_573b","Druid",,,,,"召喚兩個有<b>嘲諷</b>的2/2樹人","Neutral",,,,,,,,,
"Classic","小鬼",1,"Minion","EX1_598",,,"Rare",1,1,,"Neutral",,,,,,,"Demon",,
"Classic","小鬼召喚師",5,"Minion","EX1_597",,,"Rare",1,3,"你的回合結束時，使其受到1點傷害並召喚一個1/1小鬼","Neutral",,"",True,"Mark Gibbons","如果那些小鬼不會一直咬她，她應該會更喜歡這份工作。",,,,
"Classic","小龍鷹",1,"Minion","CS2_169",,,"Common",1,1,"<b>風怒</b>","Horde",Windfury,,True,"Greg Hildebrandt","冠軍牛頭球隊「龍鷹隊」就是以牠們做為吉祥物的。",,"Beast",,
"Classic","山嶺巨人",8,"Minion","EX1_105",,,"Epic",8,12,"你手上的其他每一張牌使消耗減少(1)點","Neutral",,,True,"Samwise","他媽媽跟他說，他只是骨架大而已。",,,,
"Classic","巫士的學徒",2,"Minion","EX1_608","Mage",,"Common",3,2,"你的法術消耗減少(1)點","Neutral",Aura,,True,"Alex Horley Orlandelli","學徒非常好使喚。「幫我做些法力麵包!和一杯咖啡!不然乾脆做杯法力咖啡好了!」",,,,
"Classic","已升級",,"Enchantment","EX1_409e","Warrior",,,,,"+1攻擊力及+1耐久度",,,,,,,,,,
"Classic","已升級",,"Enchantment","EX1_536e","Hunter",,,,,"耐久度提高",,,,,,,,,,
"Classic","布拉勾勾",,"Enchantment","EX1_509e",,,,,,"攻擊力提高",,,,,,,,,,
"Classic","希瓦娜斯·風行者",5,"Minion","EX1_016",,,"Legendary",5,6,"<b>死亡之聲:</b>控制一個隨機敵方手下",,Deathrattle,,True,"Glenn Rane","希瓦娜斯是被阿薩斯轉化為女妖之王的，但他當初應該殺死她就算了，因為那麼做只是惹毛她而已。",True,,,
"Classic","帝王眼鏡蛇",3,"Minion","EX1_170",,,"Rare",2,3,"摧毀被帝王眼鏡蛇傷害到的任何手下","Neutral",Poisonous,"",True,"Lars Grant-West","休拉薩盆地有許多可怕的生物。如果你要去度假，記得帶殺蟲劑。最好再穿上鎧甲。",,"Beast",,
"Classic","年輕的女牧師",1,"Minion","EX1_004",,,"Rare",2,1,"你的回合結束時，賦予另一個隨機友方手下+1生命值",,,,True,"Vance Kovacs","她等不及想要學等級2的真言術:韌了。",,,,
"Classic","年輕的釀酒大師",2,"Minion","EX1_049",,,"Common",3,2,"<b>戰吼:</b>使一個友方手下從戰場返回你的手上","Alliance",Battlecry,,True,"Wei Wang","年輕的熱忱無法保證他釀酒的品質。千萬不要喝他釀的魔古黑啤!",,,,
"Classic","幼龍",1,"Minion","ds1_whelptoken",,,,1,1,,"Neutral",,,,,,,"Dragon",,
"Classic","幼龍",1,"Minion","EX1_116t",,,,1,1,,,,,,,,,"Dragon",,
"Classic","幽光",1,"Minion","CS2_231",,,"Common",1,0,,"Neutral",,,True,"Malcolm Davis","如果你用足夠數量的幽光攻擊埃雷達爾領主，他就會爆炸。但為什麼會這樣呢?",,,,
"Classic","幽靈狼",3,"Minion","EX1_tk11","Shaman",,"Rare",2,2,"<b>嘲諷</b>","Neutral",Taunt,,,,,,,,
"Classic","強化",,"Enchantment","EX1_055o",,,,,,"魔法成癮者的攻擊力提高",,OneTurnEffect,,,,,,,,
"Classic","復仇之怒",,"Spell","EX1_384","Paladin",,"Epic",,6,"造成$8點傷害，隨機分給敵方角色","Neutral",ImmuneToSpellpower,,True,"Alex Garner","轟!轟!轟!轟!轟!轟!轟!轟!",,,,
"Classic","心理遊戲",,"Spell","EX1_345","Priest",,"Epic",,4,"從對手的牌堆中複製一個隨機手下並放到戰場","Neutral",,,True,"Zoltan & Gabor","有時候感覺起來這整個就是場遊戲。",,,,
"Classic","心靈之怒",,"Spell","EX1_607","Warrior",,"Common",,0,"對一個手下造成$1點傷害。它獲得+2攻擊力","Neutral",,,True,"Slawomir Maniak","他們只是皮笑肉不笑。",,,,
"Classic","心靈之怒",,"Enchantment","EX1_607e","Warrior",,,,,"+2攻擊力",,,,,,,,,,
"Classic","心靈之火",,"Enchantment","CS1_129e","Priest",,,,,"這個手下的攻擊力等於生命值",,,,,,,,,,
"Classic","心靈之火",,"Spell","CS1_129","Priest",,"Common",,1,"使一個手下的攻擊力等同於生命值","Neutral",,,True,"Steve Prescott","好主意:強化你的手下。壞主意:在貧瘠之地進行聊天。",,,,
