COLLECTIBLE,SET,NAME,ARTIST,TEXT,RARITY,COST,HOWTOGETGOLD,FLAVOR,HOWTOGET,TYPE,ID,PLAYERCLASS,HEALTH,ELITE,ATTACK,RACE,MECHANICS,DURABILITY,FACTION
,Blackrock Mountain,奈法利安,,,,,,,,Hero,BRMA17_2H,,30,,,,,,
,Blackrock Mountain,奈法利安,,,,,,,,Hero,BRMA13_3,,30,,,,,,
True,Blackrock Mountain,奈法利安,Ruan Jia,<b>战吼：</b>随机将两张<i>（你的对手职业的）</i>法术牌加入你的手牌。,Legendary,9,在击败秘密实验室的所有首领后能够制作。,据说他的眼泪所凝结成的晶体具有提高法术命中的功效。,在击败秘密实验室的所有首领后解锁。,Minion,BRM_030,,8,True,8,Dragon,Battlecry,,
,Blackrock Mountain,奈法利安,,,,,,,,Hero,BRMA17_2,,30,,,,,,
,Blackrock Mountain,奈法利安,,,,,,,,Hero,BRMC_02,,30,,,,,,
,Blackrock Mountain,奥妮克希亚,,,,,,,,Hero,BRMA17_3H,,30,,,,,,
,Blackrock Mountain,奥妮克希亚,,,,,,,,Hero,BRMA17_3,,15,,,,,,
,Blackrock Mountain,奥妮克希亚之爪,,,,2,,,,Weapon,BRMA17_9,,,,2,,,6,
,Blackrock Mountain,奥能金刚,,每个玩家获得<b>法术伤害+2</b>。,Legendary,0,,,,Minion,BRMA14_3,,2,True,2,Mech,Spellpower,,
,Blackrock Mountain,孵化,,生命值增加。,,,,,,Enchantment,BRMA10_3e,,,,,,,,
,Blackrock Mountain,小鬼,,,,1,,,,Minion,BRM_006t,Warlock,1,,1,Demon,,,
True,Blackrock Mountain,小鬼首领,Steve Prescott,每当该随从受到伤害时，召唤一个1/1的小鬼。,Common,3,在击败熔火之心的管理者埃克索图斯后能够制作。,每到夜深人静，他就会带着一群小鬼潜入暴风城，在法师塔的墙上到处涂鸦，比如写上一些“拉格纳罗斯最厉害！”之类的标语。,在击败熔火之心的管理者埃克索图斯后解锁。,Minion,BRM_006,Warlock,4,,2,Demon,,,
,Blackrock Mountain,巨型龙爪,,+3/+3。,,,,,,Enchantment,BRM_024e,,,,,,,,
,Blackrock Mountain,干杯！,,<b>英雄技能</b>从你的牌库中将两个随从置入战场；从对手的牌库中将一个随从置入战场。,,0,,,,Hero Power,BRMA01_2H,,,,,,,,
,Blackrock Mountain,干杯！,,<b>英雄技能</b>从双方的牌库中各将一个随从置入战场。,,0,,,,Hero Power,BRMA01_2,,,,,,,,
,Blackrock Mountain,强势围观,,<b>英雄技能</b>召唤一个1/1并具有<b>嘲讽</b>的观众。,,1,,,,Hero Power,BRMA02_2,,,,,,,,
,Blackrock Mountain,强势围观,,<b>英雄技能</b>召唤一个1/1并具有<b>嘲讽</b>的观众。,,0,,,,Hero Power,BRMA02_2H,,,,,,,,
True,Blackrock Mountain,快速射击,Jonboy Meyers,造成$3点伤害。如果你没有其他手牌，则抽一张牌。,Common,2,在完成黑石山的猎人职业挑战后能够制作。,光有神射手还不够，你需要一个神抽手。,在完成黑石山的猎人职业挑战后解锁。,Spell,BRM_013,Hunter,,,,,AffectedBySpellPower,,
True,Blackrock Mountain,恐怖的奴隶主,Bobby Chiu,每当该随从受到伤害并没有死亡，召唤另一个恐怖的奴隶主。,Rare,5,在通过黑石深渊的黑铁酒吧后能够制作。,如果你喜欢自己脸被打肿的样子，就请来到黑铁酒吧！,在通过黑石深渊的黑铁酒吧后解锁。,Minion,BRM_019,,3,,3,,,,
True,Blackrock Mountain,恶魔之怒,Raymond Swanland,对所有非恶魔随从造成$2点伤害。,Rare,3,在完成黑石山的术士职业挑战后能够制作。,恶魔在绝大多数时候都不太愤怒，他们只是觉得在愤怒的时候，他们的模样会更加帅气。,在完成黑石山的术士职业挑战后解锁。,Spell,BRM_005,Warlock,,,,,AffectedBySpellPower,,
,Blackrock Mountain,我听见你了……,,攻击力增加。,,,,,,Enchantment,BRMA16_5e,,,,,,,,
,Blackrock Mountain,打开大门,,<b>英雄技能</b>召唤三个2/2的雏龙。获得另一个英雄技能。,,2,,,,Hero Power,BRMA09_2H,,,,,,,,
,Blackrock Mountain,打开大门,,<b>英雄技能</b>召唤三个1/1的雏龙。获得另一个英雄技能。,,2,,,,Hero Power,BRMA09_2,,,,,,,,
,Blackrock Mountain,扫尾,,造成$4点伤害。,,4,,,,Spell,BRM_030t,,,,,,,,
,Blackrock Mountain,拉佐格尔之爪,,每当一个腐化的蛋死亡，便获得+1攻击力。,,1,,,,Weapon,BRMA10_6,,,,1,,,5,
True,Blackrock Mountain,掷斧者,Efrem Palacios,每当该随从受到伤害时，对敌方英雄造成2点伤害。,Common,4,在完成黑石山的战士职业挑战后能够制作。,曾经他只是一个“掷棍者”，但随着他的技艺不断提高，他正踏上追寻梦想的道路：“掷牛头人者”。,在完成黑石山的战士职业挑战后解锁。,Minion,BRM_016,Warrior,5,,2,,,,
,Blackrock Mountain,搞定他们!,,召唤四个1/1并具有<b>嘲讽</b>的矮人。,,3,,,,Spell,BRMA01_4,,,,,,,,
,Blackrock Mountain,无可束缚,,你的下一张龙牌的法力值消耗减少（2）点。,,,,,,Enchantment,BRM_018e,Paladin,,,,,,,
,Blackrock Mountain,旧部落,,<b>英雄技能</b>召唤两个2/2并具有<b>嘲讽</b>的兽人。获得另一个英雄技能。,,2,,,,Hero Power,BRMA09_3H,,,,,,,,
,Blackrock Mountain,旧部落,,<b>英雄技能</b>召唤两个1/1并具有<b>嘲讽</b>的兽人。获得另一个英雄技能。,,2,,,,Hero Power,BRMA09_3,,,,,,,,
,Blackrock Mountain,旧部落兽人,,<b>嘲讽</b>,,1,,,,Minion,BRMA09_3Ht,,2,,2,,Taunt,,
,Blackrock Mountain,旧部落兽人,,<b>嘲讽</b>,,1,,,,Minion,BRMA09_3t,,1,,1,,Taunt,,
,Blackrock Mountain,暮光坚韧,,生命值增加。,,,,,,Enchantment,BRM_004e,,,,,,,,
True,Blackrock Mountain,暮光雏龙,Sam Nielson,<b>战吼：</b>如果你的手牌中有龙牌，便获得+2生命值。,Common,1,在完成黑石山的牧师职业挑战后能够制作。,当听见要和一群吸血鬼一起拍电视剧时，这些雏龙们都非常高兴，尽管最后它们的戏份都被删减了。,在完成黑石山的牧师职业挑战后解锁。,Minion,BRM_004,Priest,1,,2,Dragon,Battlecry,,
,Blackrock Mountain,欧莫克大王,,,,,,,,Hero,BRMA07_1H,,30,,,,,,
,Blackrock Mountain,欧莫克大王,,,,,,,,Hero,BRMA07_1,,30,,,,,,
,Blackrock Mountain,死吧，你们这些卑鄙的家伙！,,<b>英雄技能</b>对一个随机敌人造成8点伤害。施放两次。,,2,,,,Hero Power,BRM_027pH,,,,,,,,
,Blackrock Mountain,死吧，你这卑鄙的家伙！,,对一个随机敌人造成$8点伤害。,,0,,,,Spell,BRMA13_8,,,,,,AffectedBySpellPower,,
,Blackrock Mountain,死吧，你这卑鄙的家伙！,,<b>英雄技能</b>对一个随机敌人造成8点伤害。,,2,,,,Hero Power,BRM_027p,,,,,,,,
,Blackrock Mountain,活体炸弹,,选择一个敌方随从。在你的下个回合开始时，如果该随从依然存活，则对所有敌人造成$5点伤害。,,4,,,,Spell,BRMA05_3,,,,,,,,
,Blackrock Mountain,活体炸弹,,在迦顿的回合开始时，对你的所有随从和英雄造成5点伤害。,,,,,,Enchantment,BRMA05_3e,,,,,,,,
,Blackrock Mountain,活体炸弹,,选择一个敌方随从。在你的下个回合开始时，如果该随从依然存活，则对所有敌人造成$10点伤害。,,3,,,,Spell,BRMA05_3H,,,,,,,,
,Blackrock Mountain,活体炸弹,,在迦顿的回合开始时，对你的所有角色造成10点伤害。,,,,,,Enchantment,BRMA05_3He,,,,,,,,
,Blackrock Mountain,活体熔岩,,<b>嘲讽</b>,,0,,,,Minion,BRMA13_6,,6,,6,,Taunt,,
,Blackrock Mountain,激活！,,<b>英雄技能</b>随机激活一个金刚。,,2,,,,Hero Power,BRMA14_10H,,,,,,,,
,Blackrock Mountain,激活！,,<b>英雄技能</b>随机激活一个金刚。,,4,,,,Hero Power,BRMA14_10,,,,,,,,
,Blackrock Mountain,激活剧毒金刚,,<b>英雄技能</b>激活剧毒金刚！,,4,,,,Hero Power,BRMA14_4,,,,,,,,
,Blackrock Mountain,激活剧毒金刚,,<b>英雄技能</b>激活剧毒金刚！,,2,,,,Hero Power,BRMA14_4H,,,,,,,,
,Blackrock Mountain,激活奥能金刚,,<b>英雄技能</b>激活奥能金刚！,,0,,,,Hero Power,BRMA14_2H,,,,,,,,
,Blackrock Mountain,激活奥能金刚,,<b>英雄技能</b>激活奥能金刚！,,2,,,,Hero Power,BRMA14_2,,,,,,,,
,Blackrock Mountain,激活熔岩金刚,,<b>英雄技能</b>激活熔岩金刚！,,8,,,,Hero Power,BRMA14_8,,,,,,,,
,Blackrock Mountain,激活熔岩金刚,,<b>英雄技能</b>激活熔岩金刚！,,6,,,,Hero Power,BRMA14_8H,,,,,,,,
,Blackrock Mountain,激活电荷金刚,,<b>英雄技能</b>激活电荷金刚！,,4,,,,Hero Power,BRMA14_6H,,,,,,,,
,Blackrock Mountain,激活电荷金刚,,<b>英雄技能</b>激活电荷金刚！,,6,,,,Hero Power,BRMA14_6,,,,,,,,
True,Blackrock Mountain,火妖,Alex Horley Orlandelli,每当你使用一个法术，便造成2点伤害，随机分配到所有敌人身上。,Rare,3,在击败黑翼之巢的瓦拉斯塔兹后能够制作。,他们深居于炎热的洞窟之中，听候管理者的命令：消灭一切胆敢打扰炎魔之王的敌人。,在击败黑翼之巢的瓦拉斯塔兹后解锁。,Minion,BRM_002,Mage,4,,2,,,,
,Blackrock Mountain,火妖卫士,,,,2,,,,Minion,BRMA06_4,,3,,1,,,,
,Blackrock Mountain,火妖卫士,,,,2,,,,Minion,BRMA06_4H,,3,,3,,,,
,Blackrock Mountain,火妖管理者,,<b>英雄技能</b>召唤一个3/3的火妖卫士。,,2,,,,Hero Power,BRMA06_2H,,,,,,,,
,Blackrock Mountain,火妖管理者,,<b>英雄技能</b>召唤一个1/3的火妖卫士。,,2,,,,Hero Power,BRMA06_2,,,,,,,,
True,Blackrock Mountain,火山幼龙,Lucas Graciano,在本回合中每有一个随从死亡，该牌的法力值消耗就减少（1）点。,Common,6,在击败秘密实验室的全能金刚防御系统后能够制作。,火山幼龙喷吐的是熔岩而不是火焰。瑟银哨塔的抗酸剂小贩靠这个赚了不少钱。,在击败秘密实验室的全能金刚防御系统后解锁。,Minion,BRM_025,,4,,6,Dragon,,,
True,Blackrock Mountain,火山邪木,Trent Kaniuga,<b>嘲讽</b>在本回合中每有一个随从死亡，该牌的法力值消耗就减少（1）点。,Rare,9,在完成黑石山的德鲁伊职业挑战后能够制作。,树根，树根，树根着火了！,在完成黑石山的德鲁伊职业挑战后解锁。,Minion,BRM_009,Druid,8,,7,,Taunt,,
,Blackrock Mountain,火焰猎豹形态,,变形成为5/2的随从。,Common,,,,,Spell,BRM_010a,Druid,,,,Beast,,,
True,Blackrock Mountain,火焰驱逐者,Paul Mafayon,<b>战吼：</b>获得1-4点攻击力。<b>过载：</b>（1）,Common,4,在击败黑翼之巢的维克多·奈法里奥斯后能够制作。,很多火元素竞相面试“火焰驱逐者”的职位，但拉格纳罗斯认为只有极少数火元素能够胜任。,在击败黑翼之巢的维克多·奈法里奥斯后解锁。,Minion,BRM_012,Shaman,6,,3,,Battlecry,,
,Blackrock Mountain,火誓者,,<b>亡语：</b>在本回合中每死亡一个火誓者，便对敌方英雄造成1点伤害。,,0,,,,Minion,BRMA04_3,,5,,0,,Deathrattle,,
,Blackrock Mountain,火誓者,,<b>亡语：</b>在本回合中每死亡一个火誓者，便对敌方英雄造成3点伤害。,,0,,,,Minion,BRMA04_3H,,5,,0,,Deathrattle,,
,Blackrock Mountain,火鹰形态,,变形成为2/5的随从。,Common,,,,,Spell,BRM_010b,Druid,,,,Beast,,,
,Blackrock Mountain,灰烬漩涡,,<b>风怒</b>,,0,,,,Minion,BRMA13_7,,5,,4,,Windfury,,
,Blackrock Mountain,炎魔之王拉格纳罗斯,,,,,,,,Hero,BRMA06_3H,,30,,,,,,
,Blackrock Mountain,炎魔之王拉格纳罗斯,,,,,,,,Hero,BRM_027h,,8,,,,,,
,Blackrock Mountain,炎魔之王拉格纳罗斯,,,,,,,,Hero,BRMC_01,,30,,,,,,
,Blackrock Mountain,炎魔之王拉格纳罗斯,,,,,,,,Hero,BRMA06_3,,8,,,,,,
,Blackrock Mountain,炎魔之王的力量,,<b>英雄技能</b>造成30点伤害。,,2,,,,Hero Power,BRMA03_2,,,,,,,,
,Blackrock Mountain,点燃法力,,<b>英雄技能</b>如果敌方英雄有任何未使用的法力水晶，便对其造成10点伤害。,,0,,,,Hero Power,BRMA05_2H,,,,,,,,
,Blackrock Mountain,点燃法力,,<b>英雄技能</b>如果敌方英雄有任何未使用的法力水晶，便对其造成5点伤害。,,0,,,,Hero Power,BRMA05_2,,,,,,,,
,Blackrock Mountain,炼金师,,<b>被动英雄技能</b>使所有随从的攻击力和生命值互换。你的随从获得+2/+2。,,,,,,Hero Power,BRMA15_2H,,,,,,,,
,Blackrock Mountain,炼金师,,<b>被动英雄技能</b>每当随从被召唤时，随从的攻击力和生命值将被互换。,,,,,,Hero Power,BRMA15_2,,,,,,,,
,Blackrock Mountain,烈焰之子,,<b>战吼：</b>造成6点伤害。,,0,,,,Minion,BRMA13_5,,3,,6,,Battlecry,,
,Blackrock Mountain,烈焰之心,,抽两张牌。获得4点护甲值。,,3,,,,Spell,BRMA_01,,,,,,,,
,Blackrock Mountain,烈焰德鲁伊,Hideaki Takamura,,Common,3,,,,Minion,BRM_010t2,Druid,5,,2,Beast,,,
True,Blackrock Mountain,烈焰德鲁伊,Stanley Lau,<b>抉择：</b>将该随从变形成为5/2；或者将该随从变形成为2/5。,Common,3,在击败熔火之心的加尔后能够制作。,这些德鲁伊们在诺森德战斗了很久，所以特别容易受到拉格纳罗斯的引诱；一杯热腾腾的巧克力就能让他们就范。,在击败熔火之心的加尔后解锁。,Minion,BRM_010,Druid,2,,2,,,,
,Blackrock Mountain,烈焰德鲁伊,Ben Zhang,,Common,3,,,,Minion,BRM_010t,Druid,2,,5,Beast,,,
,Blackrock Mountain,熔化,,在本回合中，攻击力变为0点。,,,,,,Enchantment,BRM_001e,Priest,,,,,OneTurnEffect,,
,Blackrock Mountain,熔喉,,<b>嘲讽</b>,Legendary,5,,,,Minion,BRMA14_12,,2,True,10,,Taunt,,
,Blackrock Mountain,熔岩！,,对所有随从造成$2点伤害。,,2,,,,Spell,BRMA17_4,,,,,,,,
,Blackrock Mountain,熔岩脉动,,<b>英雄技能</b>对所有随从造成1点伤害。,,1,,,,Hero Power,BRMA04_2,,,,,,,,
,Blackrock Mountain,熔岩金刚,,每当一个玩家使用一张牌时，熔岩金刚便对其造成2点伤害。,Legendary,5,,,,Minion,BRMA14_9,,7,True,7,Mech,Aura,,
,Blackrock Mountain,熔岩金刚,,每当一个玩家使用一张牌时，熔岩金刚便对其造成2点伤害。,Legendary,5,,,,Minion,BRMA14_9H,,8,True,8,Mech,,,
True,Blackrock Mountain,熔岩震击,Zoltan Boros,造成$2点伤害。将你所有<b>过载</b>的法力水晶解锁。,Rare,2,在完成黑石山的萨满祭司职业挑战后能够制作。,比熔岩震击更震撼的是热巧克力震击。,在完成黑石山的萨满祭司职业挑战后解锁。,Spell,BRM_011,Shaman,,,,,,,
,Blackrock Mountain,熔岩震击,,所有在本回合中使用的牌不会造成<b>过载</b>。,,,,,,Enchantment,BRM_011t,Shaman,,,,,OneTurnEffect,,
True,Blackrock Mountain,熔火怒犬,Jomaro Kindred,<b>战吼：</b>如果你没有其他手牌，则获得+3/+3。,Rare,4,在击败黑石塔的欧莫克大王后能够制作。,有些猎人就是喜欢稀奇古怪的宠物，比如深入炎热无比的熔岩坑，哄骗一头在那里长大的野兽跟他回家，还要乖乖地和其他宠物呆在兽栏里……,在击败黑石塔的欧莫克大王后解锁。,Minion,BRM_014,Hunter,4,,4,Beast,Battlecry,,
,Blackrock Mountain,燃烧刺激,,对敌方英雄造成$2点伤害。,,0,,,,Spell,BRMA11_3,,,,,,,,
,Blackrock Mountain,狂暴怒意,,+3/+3,,,,,,Enchantment,BRM_014e,Hunter,,,,,,,
,Blackrock Mountain,狂野的拉佐格尔,,,,,,,,Hero,BRMA10_1,,30,,,,,,
,Blackrock Mountain,狂野的拉佐格尔,,,,,,,,Hero,BRMA10_1H,,30,,,,,,
,Blackrock Mountain,狂野魔法,,<b>英雄技能</b>随机将一个属于你的对手职业的法术牌加入你的手中。,,1,,,,Hero Power,BRMA13_4,,,,,,,,
,Blackrock Mountain,狂野魔法,,<b>英雄技能</b>随机将一个属于你的对手职业的法术牌加入你的手中。,,1,,,,Hero Power,BRMA13_4H,,,,,,,,
,Blackrock Mountain,猛烈凝视,,<b>被动英雄技能</b>所有卡牌法力值消耗改为（1）点。你最多只能拥有两个法力水晶，你的对手最多只能拥有一个法力水晶。,,,,,,Hero Power,BRMA08_2H,,,,,,,,
,Blackrock Mountain,猛烈凝视,,<b>被动英雄技能</b>所有卡牌的法力值消耗改为（1）点。玩家最多只能拥有一个法力水晶。,,,,,,Hero Power,BRMA08_2,,,,,,,,
,Blackrock Mountain,猛砸,,<b>英雄技能</b>随机消灭一个受伤的敌方随从。,,1,,,,Hero Power,BRMA07_2,,,,,,,,
,Blackrock Mountain,猛砸,,<b>英雄技能</b>随机消灭一个敌方随从。,,0,,,,Hero Power,BRMA07_2H,,,,,,,,
,Blackrock Mountain,电荷金刚,,所有法术的法力值消耗减少（3）点。,Legendary,3,,,,Minion,BRMA14_7H,,6,True,6,Mech,,,
,Blackrock Mountain,电荷金刚,,所有法术的法力值消耗减少（3）点。,Legendary,3,,,,Minion,BRMA14_7,,5,True,5,Mech,Aura,,
,Blackrock Mountain,畸变怪,,<b>冲锋</b>,,1,,,,Minion,BRMA15_4,,1,,1,,Charge,,
,Blackrock Mountain,白骨爪牙,,<b>英雄技能</b>召唤两个4/2的白骨结构体。,,2,,,,Hero Power,BRMA17_5H,,,,,,,,
,Blackrock Mountain,白骨爪牙,,<b>英雄技能</b>召唤两个2/1的白骨结构体。,,2,,,,Hero Power,BRMA17_5,,,,,,,,
,Blackrock Mountain,白骨魔像,,,,1,,,,Minion,BRMA17_6,,1,,2,,,,
,Blackrock Mountain,白骨魔像,,,,1,,,,Minion,BRMA17_6H,,2,,4,,,,
,Blackrock Mountain,盖斯,,,Legendary,3,,,,Minion,BRMA09_5t,,4,True,8,Dragon,,,
,Blackrock Mountain,盖斯,,,Legendary,3,,,,Minion,BRMA09_5Ht,,8,True,8,Dragon,,,
,Blackrock Mountain,盲目怒火,,攻击力增加。,,,,,,Enchantment,BRMA10_6e,,,,,,,,
,Blackrock Mountain,真正形态,,<b>英雄技能</b>游戏开始！,,1,,,,Hero Power,BRMA13_2,,,,,,,,
,Blackrock Mountain,真正形态,,<b>英雄技能</b>游戏开始！,,1,,,,Hero Power,BRMA13_2H,,,,,,,,
,Blackrock Mountain,真正的酋长,,消灭一个传说随从,,1,,,,Spell,BRMA09_6,,,,,,,,
,Blackrock Mountain,着火了！,,攻击力增加。,,,,,,Enchantment,BRM_012e,,,,,,,,
,Blackrock Mountain,砸烂,,对一个随机敌人造成$5点伤害。获得5点护甲值。,,4,,,,Spell,BRMA07_3,,,,,,,,
,Blackrock Mountain,科林·烈酒,,,,,,,,Hero,BRMA01_1,,30,,,,,,
,Blackrock Mountain,科林·烈酒,,,,,,,,Hero,BRMA01_1H,,30,,,,,,
,Blackrock Mountain,管理者埃克索图斯,,,,,,,,Hero,BRMA06_1H,,30,,,,,,
,Blackrock Mountain,管理者埃克索图斯,,,,,,,,Hero,BRMA06_1,,30,,,,,,
True,Blackrock Mountain,管理者埃克索图斯,Alex Horley Orlandelli,<b>亡语：</b>用炎魔之王拉格纳罗斯替换你的英雄。,Legendary,9,在击败熔火之心的所有首领后能够制作。,你觉得是埃克索图斯把你变成了拉格纳罗斯，但其实，拉格纳罗斯就在你心中。,在击败熔火之心的所有首领后解锁。,Minion,BRM_027,,7,True,9,,Deathrattle,,
True,Blackrock Mountain,索瑞森大帝,Wayne Reynolds,在你的回合结束时，你所有手牌的法力值消耗减少（1）点。,Legendary,6,在击败黑石深渊的所有首领后能够制作。,把一个邪恶的炎魔之王召唤到这个世界上，然后看着这个家伙奴役了他所有的子民并非是他最为后悔的事情。,在击败黑石深渊的所有首领后解锁。,Minion,BRM_028,,5,True,5,,,,
,Blackrock Mountain,索瑞森大帝,,,,,,,,Hero,BRMA03_1H,,30,,,,,,
,Blackrock Mountain,索瑞森大帝,,,,,,,,Hero,BRMA03_1,,30,,,,,,
,Blackrock Mountain,索瑞森大帝的眷顾,,法力值消耗减少（1）点。,,,,,,Enchantment,BRM_028e,,,,,,,,
,Blackrock Mountain,红龙精华,,<b>英雄技能</b>每个玩家抽两张牌。,,0,,,,Hero Power,BRMA11_2,,,,,,,,
,Blackrock Mountain,红龙精华,,<b>英雄技能</b>每个玩家抽三张牌并获得一个法力水晶。,,0,,,,Hero Power,BRMA11_2H,,,,,,,,
,Blackrock Mountain,维克多·奈法里奥斯,,,,,,,,Hero,BRMA13_1,,30,,,,,,
,Blackrock Mountain,维克多·奈法里奥斯,,,,,,,,Hero,BRMA13_1H,,30,,,,,,
,Blackrock Mountain,群居雏龙,,<b>英雄技能</b>使所有腐化的蛋获得+1生命值，并召唤一个腐化的蛋。,,0,,,,Hero Power,BRMA10_3H,,,,,,,,
,Blackrock Mountain,腐化的蛋,,当该随从的生命值大于或等于4时，它便会孵化。,,1,,,,Minion,BRMA10_4,,1,,0,,,,
,Blackrock Mountain,腐化的蛋,,当该随从的生命值大于或等于5时，它便会孵化。,,1,,,,Minion,BRMA10_4H,,3,,0,,,,
,Blackrock Mountain,艾卓曼德斯,,,,,,,,Hero,BRMA16_1,,30,,,,,,
,Blackrock Mountain,艾卓曼德斯,,,,,,,,Hero,BRMA16_1H,,30,,,,,,
,Blackrock Mountain,茉艾拉·铜须,,索瑞森无法使用他的英雄技能。不攻击随从，除了具有<b>嘲讽</b>的随从。,,2,,,,Minion,BRMA03_3,,3,,1,,Aura,,
,Blackrock Mountain,茉艾拉·铜须,,索瑞森无法使用他的英雄技能。不攻击随从，除了具有<b>嘲讽</b>的随从。,,2,,,,Minion,BRMA03_3H,,1,,3,,Aura,,
,Blackrock Mountain,裁决者格里斯通,,,,,,,,Hero,BRMA02_1H,,30,,,,,,
,Blackrock Mountain,裁决者格里斯通,,,,,,,,Hero,BRMA02_1,,30,,,,,,
,Blackrock Mountain,跃下坐骑,,<b>英雄技能</b>召唤盖斯。获得另一个英雄技能。,,4,,,,Hero Power,BRMA09_5H,,,,,,,,
