SET,NAME,TEXT,COST,FLAVOR,TYPE,ID,COLLECTIBLE,FACTION,RARITY,HEALTH,PLAYERCLASS,ARTIST,ATTACK,HOWTOGETGOLD,MECHANICS,HOWTOGET,DURABILITY,INPLAYTEXT,RACE
Basic,奉献,对所有敌人造成$2点伤害。,4,神圣的能量从圣洁的大地涌出。但是，味道也有点熏人。,Spell,CS2_093,True,Neutral,Common,,Paladin,Vance Kovacs,,达到43级后解锁。,,达到4级后解锁。,,,
Basic,奥术射击,造成$2点伤害。,1,法师们用奥术强化箭矢，然后出售给猎人；后来猎人们自己学会了足够的魔法之后便能够自给自足。不少法师因此失业，给暴风城的经济带来不小的冲击。,Spell,DS1_185,True,Neutral,Free,,Hunter,Luca Zontini,,达到32级后解锁。,,达到1级后解锁。,,,
Basic,奥术智慧,抽两张牌。,3,使用这张牌能让你变得更聪明。面对现实吧：变聪明些对我们大家来说都是好事。,Spell,CS2_023,True,Neutral,Free,,Mage,Dave Berggren,,达到15级后解锁。,,达到1级后解锁。,,,
Basic,奥术飞弹,造成$3点伤害，随机分配到所有敌人身上。,1,既然你想要做一个超级厉害的法师，就必须得把奥术飞弹控制得好一些。,Spell,EX1_277,True,Neutral,Free,,Mage,Warren Mahy,,达到32级后解锁。,ImmuneToSpellpower,达到1级后解锁。,,,
Basic,奥金斧,,5,“那个消失了的潜行者再也不曾出现过...”,Weapon,CS2_112,True,Neutral,Common,,Warrior,Stefan Kopinski,5,达到51级后解锁。,,达到10级后解锁。,2,,
Basic,妖术,使一个随从变形成为一个0/1并具有<b>嘲讽</b>的青蛙。,3,如果你对一个鱼人使用妖术...其实结果也没什么变化，对不对？,Spell,EX1_246,True,Neutral,Free,,Shaman,Steve Hui,,达到47级后解锁。,,达到1级后解锁。,,,
Basic,妖术变形,该随从被变形了！,,,Enchantment,EX1_246e,,,,,Shaman,,,,Morph,,,,
Basic,姆啦咯咯若啦咯啦啦哔！,该鱼人获得+1攻击力。,,,Enchantment,EX1_508o,,,,,,,,,,,,,
Basic,安度因·乌瑞恩,,,,Hero,HERO_09,True,Neutral,Free,30,Priest,,,,,,,,
Basic,寒冰箭,对一个角色造成$3点伤害，并使其<b>冻结</b>。,2,在你用这张牌的时候，你可以随意喊出一些咒语，比如“冻住！”“冻结！”或者“结冰，结冰吧，宝贝儿！”,Spell,CS2_024,True,Neutral,Common,,Mage,Steve Ellis,,达到40级后解锁。,Freeze,达到2级后解锁。,,,
Basic,岩浆暴怒者,,3,尽管现在每个人都能单刷熔火之心了，但他依然觉得自己很厉害。,Minion,CS2_118,True,,Free,1,,Matt Gaser,5,萨满祭司达到51级后解锁。,,,,,
Basic,工程师学徒,<b>战吼：</b>抽一张牌。,2,“班里的一半学生无法毕业...因为他们会被变成小鸡。”——工匠大师欧沃斯巴克，授课于齿轮101班,Minion,EX1_015,True,Alliance,Free,1,,Karl Richardson,1,德鲁伊达到59级后解锁。,Battlecry,,,,
Basic,巫医,<b>战吼：</b>恢复2点生命值。,1,别以为带上大坏蛋面具，再把两根筷子插在嘴里，你就是巫医了，伙计。,Minion,EX1_011,True,Horde,Free,1,,Karl Richardson,2,潜行者达到55级后解锁。,Battlecry,,,,
Basic,幸运币,,,,Enchantment,GAME_005e,,,,,,,,,,,,,
Basic,幸运币,在本回合中，获得一个法力水晶。,,,Spell,GAME_005,,,,,,,,,,,,,
Basic,幸运币化身,<i>你失去了先手，但比赛依然掌握在你的手里。</i>,0,,Minion,GAME_002,,,Free,1,,,1,,,,,,
Basic,幸运币复仇,后手出牌会使你的第一个随从获得增强。,,,Enchantment,GAME_003,,,,,,,,,,,,,
Basic,幸运币复仇,后手出牌会使你的第一个随从获得增强。,,,Enchantment,GAME_003e,,,,,,,,,,,,,
Basic,幸运币祝福,后手出牌会使你的生命值提高。,,,Enchantment,GAME_001,,,,,,,,,,,,,
Basic,库卡隆精英卫士,<b>冲锋</b>,4,库卡隆就是加尔鲁什·地狱咆哮的精英部队。这么说吧，你最好不要穿着蓝色的战袍出现在这些壮汉面前。,Minion,NEW1_011,True,,Common,3,Warrior,Alex Horley Orlandelli,4,达到44级后解锁。,Charge,达到4级后解锁。,,,
Basic,强化,团队领袖使得该随从获得+1攻击力。,,,Enchantment,CS2_122e,,,,,,,,,,,,,
Basic,影袭,对敌方英雄造成$3点伤害。,1,尽管这个技能的名字已被改变，但这并不意味着它就不再“邪恶”。,Spell,CS2_075,True,Neutral,Free,,Rogue,Frank Cho,,达到15级后解锁。,,达到1级后解锁。,,,
Basic,心灵视界,随机复制你的对手手牌中的一张牌，将其置入你的手牌。,1,你刚才做的事情我都看见了。,Spell,CS2_003,True,Neutral,Common,,Priest,Michael Komarck,,达到32级后解锁。,,达到4级后解锁。,,,
Basic,心灵震爆,对敌方英雄造成$5点伤害。,2,这个法术直接震爆你的心灵。,Spell,DS1_233,True,Neutral,Free,,Priest,Dave Allsop,,达到15级后解锁。,,达到1级后解锁。,,,
Basic,恐惧地狱火,<b>战吼：</b>对所有其他角色造成1点伤害。,6,“地狱火！”——加拉克苏斯，燃烧军团的艾瑞达之王,Minion,CS2_064,True,Neutral,Common,6,Warlock,Zoltan & Gabor,6,达到23级后解锁。,Battlecry,达到10级后解锁。,,,Demon
Basic,愤怒之锤,造成$3点伤害。抽一张牌。,4,一个称职的圣骑士身上会携带很多工具。愤怒之锤、复仇之钳、正义之锯，等等。,Spell,CS2_094,True,Neutral,Free,,Paladin,Efrem Palacios,,达到32级后解锁。,,达到1级后解锁。,,,
Basic,战歌指挥官,每当你召唤一个攻击力小于或等于3的随从，使该随从获得<b>冲锋</b>。,3,战歌氏族中闹剧不断，什么三教九流的人都能当上他们的指挥官。,Minion,EX1_084,True,Neutral,Free,3,Warrior,Wei Wang,2,达到36级后解锁。,,达到1级后解锁。,,,
Basic,打磨,这把武器本回合获得+1攻击力。,,,Enchantment,CS2_083e,,,,,Rogue,,,,OneTurnEffect,,,,
Basic,援军,<b>英雄技能</b>召唤一个1/1的白银之手新兵。,2,,Hero Power,CS2_101,,Neutral,Free,,Paladin,,,,,,,,
Basic,斩杀,消灭一个受伤的敌方随从。,1,这没什么，他罪有应得。,Spell,CS2_108,True,Neutral,Free,,Warrior,Dany Orizio,,达到47级后解锁。,,达到1级后解锁。,,,
Basic,旋风斩,对所有随从造成$1点伤害。,1,分辨资深战士和新手战士的最好办法：新手在用旋风斩时会喊“哇哇哇”。,Spell,EX1_400,True,Neutral,Common,,Warrior,Jonboy Meyers,,达到32级后解锁。,,达到6级后解锁。,,,
Basic,星火术,造成$5点伤害。抽一张牌。,6,平衡对德鲁伊来说很重要。这张卡牌现在就很平衡了。,Spell,EX1_173,True,Neutral,Common,,Druid,Alex Horley Orlandelli,,达到45级后解锁。,,达到2级后解锁。,,,
Basic,暂离,你的回合时间减少。,,,Enchantment,GAME_004,,,,,,,,,,,,,
Basic,暗影箭,对一个随从造成$4点伤害。,3,黑暗中的威胁 —— 明枪易躲，暗箭难防。,Spell,CS2_057,True,Neutral,Free,,Warlock,Dave Allsop,,达到47级后解锁。,,达到1级后解锁。,,,
Basic,暗言术：灭,消灭一个攻击力大于或等于5的随从。,3,如果你的法术没有命中，那么你的目标身上会留下一道闪电形状的伤疤。,Spell,EX1_622,True,,Common,,Priest,Raymond Swanland,,达到43级后解锁。,,达到8级后解锁。,,,
Basic,暗言术：痛,消灭一个攻击力小于或等于3的随从。,2,许多寺僧学徒都会施放：“暗言术：怒”，这个法术是它的进阶法术。,Spell,CS2_234,True,,Free,,Priest,Raymond Swanland,,达到36级后解锁。,,达到1级后解锁。,,,
Basic,暗鳞先知,所有其他鱼人获得+1攻击力。,1,这些算是有头脑的鱼人。但仍然有些名不副实。,Minion,EX1_508,True,Neutral,Common,1,,Phil Saunders,1,术士达到53级后解锁。,Aura,,,,Murloc
Basic,暗鳞治愈者,<b>战吼：</b>为所有友方角色恢复2点生命值。,5,她只是在闲暇时间做一些治疗工作。这其实只不过是一个业余爱好罢了。,Minion,DS1_055,True,Neutral,Common,5,,Jesper Ejsing,4,牧师达到55级后解锁。,Battlecry,,,,
Basic,暴风城之力,获得+1/+1。,,,Enchantment,CS2_222o,,,,,,,,,,,,,
Basic,暴风城勇士,你的其他随从获得+1/+1。,7,在死亡之翼攻击主城的时候，这个士兵是小队中唯一活下来的一个。现在，他已经变得忍辱负重，镇定自若了。,Minion,CS2_222,True,Alliance,Common,6,,Doug Alexander,6,圣骑士达到59级后解锁。,Aura,,,,
Basic,暴风城骑士,<b>冲锋</b>,4,对于“死亡之翼毁城事件”，他仍然耿耿于怀。,Minion,CS2_131,True,Alliance,Common,5,,Ladronn,2,圣骑士达到55级后解锁。,Charge,,,,
Basic,月火术,造成$1点伤害。,0,“把月火术拖到每一个技能栏位上。”——《如何成为一名德鲁伊》，第五章，第三节,Spell,CS2_008,True,Neutral,Common,,Druid,Richard Wright,,达到40级后解锁。,,达到6级后解锁。,,,
Basic,机械幼龙,,1,,Minion,EX1_025t,,Neutral,Common,1,,,2,,,,,,Mech
Basic,机械幼龙技工,<b>战吼：</b>召唤一个2/1的机械幼龙。,4,她依然在想办法为咬咬先生装上火箭发射器。,Minion,EX1_025,True,Alliance,Common,4,,Warren Mahy,2,法师达到53级后解锁。,Battlecry,,,,
Basic,杀戮命令,造成$3点伤害。如果你控制任何野兽，则改为造成$5点伤害。,3,“咬死他！”，他下达了命令。,Spell,EX1_539,True,Neutral,Common,,Hunter,Gabe from Penny Arcade,,达到49级后解锁。,,达到10级后解锁。,,,
Basic,森林狼,你的其他野兽获得+1攻击力。,1,其他野兽最喜欢和森林狼一起外出打猎了。,Minion,DS1_175,True,Neutral,Free,1,Hunter,Malcolm Davis,1,达到23级后解锁。,Aura,达到1级后解锁。,,,Beast
Basic,森金持盾卫士,<b>嘲讽</b>,4,如果你喜欢巨魔和沙尘的话，森金村还是个不错的地方。,Minion,CS2_179,True,Horde,Free,5,,Brian Despain,3,潜行者达到59级后解锁。,Taunt,,,,
Basic,横扫,对一个敌人造成$4点伤害，并对所有其他敌人造成$1点伤害。,4,当一只熊向后仰身张开它的前臂时，他就要横扫！...或者拥抱你了。,Spell,CS2_012,True,Neutral,Common,,Druid,Sean O’Daniels,,达到47级后解锁。,,达到8级后解锁。,,,
Basic,次级治疗术,<b>英雄技能</b>恢复2点生命值。,2,,Hero Power,CS1h_001,,Neutral,Free,,Priest,,,,,,,,
Basic,死亡缠绕,对一个随从造成$1点伤害，如果死亡缠绕将其杀死，抽一张牌。,1,很久以前，术士们发现只要在普通的法术中加入一点令人作呕的颜色，就能在伤害敌人的同时使其恐惧。真是一举两得。,Spell,EX1_302,True,Neutral,Common,,Warlock,Matt Gaser,,达到43级后解锁。,,达到4级后解锁。,,,
Basic,毒刃,造成$1点伤害，抽一张牌。,2,毒如鹤顶，刃若清刚；图穷匕现，君命难长。,Spell,EX1_278,True,Neutral,Common,,Rogue,Alex Garner,,达到45级后解锁。,,达到6级后解锁。,,,
Basic,水元素,<b>冻结</b>任何受到该随从伤害的角色。,4,千万别在晚会上召唤水元素。它会把一切都搞砸的。,Minion,CS2_033,True,Neutral,Common,6,Mage,John Avon,3,达到49级后解锁。,Freeze,达到8级后解锁。,,,
Basic,治疗之触,恢复#8点生命值。,3,见效快，疗效好，无毒副作用。,Spell,CS2_007,True,Neutral,Free,,Druid,Cyril Van Der Haegen,,达到15级后解锁。,,达到1级后解锁。,,,
Basic,治疗图腾,在你的回合结束时，为所有友方随从恢复1点生命值。,1,,Minion,NEW1_009,,,Free,2,Shaman,,0,,,,,,Totem
Basic,法力过剩,抽一张牌。<i>（你最多可以拥有10个法力水晶。）</i>,0,,Spell,CS2_013t,,,,,Druid,,,,,,,,
Basic,消失,将所有随从移回其拥有者的手牌。,6,,Spell,NEW1_004,True,,Common,,Rogue,Sean O’Daniels,,达到23级后解锁。,,达到8级后解锁。,,,
Basic,淡水鳄,,2,“左撇子”爱德华·史密斯曾经试着从一条淡水鳄的嘴里把行李夺回来。,Minion,CS2_120,True,,Free,3,,Daren Bader,2,德鲁伊达到55级后解锁。,,,,,Beast
Basic,激活,仅在本回合中，获得两个法力水晶。,0,有些德鲁伊做梦时都回响着陌生人的喊叫声：“给我个激活！”,Spell,EX1_169,True,Neutral,Free,,Druid,Doug Alexander,,达到36级后解锁。,,达到1级后解锁。,,,
Basic,火元素,<b>战吼：</b>造成3点伤害。,6,他从来不洗澡。嗯...,Minion,CS2_042,True,Neutral,Common,5,Shaman,Ralph Horsley,6,达到49级后解锁。,Battlecry,达到10级后解锁。,,,
Basic,火焰冲击,<b>英雄技能</b>造成1点伤害。,2,,Hero Power,CS2_034,,Neutral,Free,,Mage,,,,,,,,
Basic,火球术,造成$6点伤害。,4,这个法术会让东西烧起来。如果你是在寻找能把东西烤熟，或者只是加热的法术，你就找错对象了。,Spell,CS2_029,True,Neutral,Free,,Mage,Ralph Horsley,,达到44级后解锁。,,达到1级后解锁。,,,
Basic,火舌,火舌图腾使其获得+2攻击力。,,,Enchantment,EX1_565o,,,,,Shaman,,,,,,,,
Basic,火舌图腾,相邻的随从获得+2攻击力。,2,图腾制造师喜欢用最稀有的木材来打造图腾。甚至有传言说，这些图腾是由埃隆巴克保护者身上的树皮做的。,Minion,EX1_565,True,Neutral,Common,3,Shaman,Jonathan Ryder,0,达到43级后解锁。,AdjacentBuff|Aura,达到4级后解锁。,,,Totem
Basic,灵魂之火,造成$4点伤害，随机弃一张牌。,1,是把别人的灵魂点燃？还是用自己的灵魂把别人点燃？这似乎是有很大区别的。,Spell,EX1_308,True,Neutral,Common,,Warlock,Raymond Swanland,,达到28级后解锁。,,达到6级后解锁。,,,
Basic,灼热图腾,,1,,Minion,CS2_050,,Neutral,Free,1,Shaman,,1,,,,,,Totem
Basic,炽炎战斧,,2,在安宁祥和的年代，人们用另一个不太流行的名字称呼这把武器，寒冰静谧战斧。,Weapon,CS2_106,True,Neutral,Free,,Warrior,Lucas Graciano,3,达到49级后解锁。,,达到1级后解锁。,2,,
Basic,烈焰风暴,对所有敌方随从造成$4点伤害。,7,当地板着火的时候，无论你在地上怎么打滚，都是没用的。,Spell,CS2_032,True,Neutral,Common,,Mage,Romain De Santi,,达到51级后解锁。,,达到10级后解锁。,,,
Basic,熔火恶犬,,7,你无法驯服一头熔火恶犬。你只能通过训练让它在吃掉你之前先吃掉其他人。,Minion,CS2_201,True,,Common,5,,E.M. Gist,9,猎人达到51级后解锁。,,,,,Beast
Basic,爪击,使你的英雄获得2点护甲值，并在本回合中获得+2攻击力。,1,谁去谁留，都由爪子决定。,Spell,CS2_005,True,Neutral,Free,,Druid,Dany Orizio,,达到32级后解锁。,,达到1级后解锁。,,,
Basic,爪击,在本回合中，获得+2攻击力。,,,Enchantment,CS2_005o,,,,,Druid,,,,OneTurnEffect,,,,
Basic,牺牲契约,牺牲一个恶魔，为你的英雄恢复#5点生命值。,0,这就是为何恶魔不愿意和术士交朋友的原因。,Spell,NEW1_003,True,,Common,,Warlock,Jim Nelson,,达到15级后解锁。,,达到8级后解锁。,,,
Basic,狂怒之嚎,森林狼使得这只野兽获得+1攻击力。,,,Enchantment,DS1_175o,,,,,Hunter,,,,,,,,
Basic,狂暴,该随从的攻击力增加。,,,Enchantment,EX1_399e,,,,,,,,,,,,,
Basic,狗头人地卜师,<b>法术伤害+1</b>,2,在过去，狗头人是这片土地上最好的蜡烛交易商，直到它们被逼太甚...,Minion,CS2_142,True,Horde,Common,2,,Gabor Szikszai,2,术士达到59级后解锁。,Spellpower,,,,
Basic,狼骑兵,<b>冲锋</b>,3,兽人劫掠者们以狼作为坐骑是因为它们能够适应艰苦的环境，而且它们特别温顺，很会讨兽人喜欢。,Minion,CS2_124,True,Horde,Free,1,,Dany Orizio,3,战士达到59级后解锁。,Charge,,,,
Basic,猎人印记,使一个随从的生命值变为1。,0,千万不要和猎人玩捉迷藏的游戏。,Spell,CS2_084,True,Neutral,Common,,Hunter,Jimmy Lo,,达到40级后解锁。,,达到6级后解锁。,,,
Basic,猎人印记,该随从的生命值变为1。,,,Enchantment,CS2_084e,,,,,Hunter,,,,,,,,
Basic,王者祝福,使一个随从获得+4/+4。<i>（+4攻击力/+4生命值）</i>,4,你知道世界上有多少所谓的“王者”被暗杀了吗？你确定还想要王者祝福吗？,Spell,CS2_092,True,Neutral,Common,,Paladin,Lucas Graciano,,达到49级后解锁。,,达到10级后解锁。,,,
Basic,王者祝福,+4/+4。,,,Enchantment,CS2_092e,,,,,Paladin,,,,,,,,
Basic,玛法里奥·怒风,,,,Hero,HERO_06,True,Neutral,Free,30,Druid,,,,,,,,
Basic,瓦莉拉·萨古纳尔,,,,Hero,HERO_03,True,Neutral,Free,30,Rogue,,,,,,,,
Basic,生命分流,<b>英雄技能</b>抽一张牌并受到2点伤害。,2,,Hero Power,CS2_056,,Neutral,Free,,Warlock,,,,,,,,
Basic,疾跑,抽四张牌。,7,潜行者们通常都不擅长慢跑。,Spell,CS2_077,True,Neutral,Common,,Rogue,James Zhang,,达到49级后解锁。,,达到10级后解锁。,,,
Basic,白银之手新兵,,1,,Minion,CS2_101t,,,Free,1,Paladin,,1,,,,,,
Basic,盾牌格挡,获得5点护甲值。抽一张牌。,3,光有面罩是不够的，所以人们发明了盾牌。,Spell,EX1_606,True,Neutral,Common,,Warrior,Michael Komarck,,达到28级后解锁。,,达到8级后解锁。,,,
Basic,真言术：盾,使一个随从获得+2生命值。抽一张牌。,1,额外的保护自然不错，但是这护盾阻碍了视野。,Spell,CS2_004,True,Neutral,Free,,Priest,Jessica Jung,,达到47级后解锁。,,达到1级后解锁。,,,
Basic,真言术：盾,+2生命值。,,,Enchantment,CS2_004e,,,,,Priest,,,,,,,,
Basic,真银圣剑,每当你的英雄进攻，便为其恢复2点生命值。,4,它能用来切片，也能切块。你还可以用它来开罐头。（但你不会这么做的。）,Weapon,CS2_097,True,Neutral,Common,,Paladin,Ryan Sook,4,达到40级后解锁。,,达到2级后解锁。,2,,
Basic,石化武器,在本回合中，使一个友方角色获得+3攻击力。,1,如果你的敌人是石头做的，那就再好不过了。,Spell,CS2_045,True,Neutral,Free,,Shaman,Alex Horley Orlandelli,,达到36级后解锁。,,达到1级后解锁。,,,
