SET,NAME,HEALTH,TYPE,ID,PLAYERCLASS,DURABILITY,RARITY,ATTACK,COST,TEXT,FACTION,MECHANICS,INPLAYTEXT,COLLECTIBLE,ARTIST,FLAVOR,RACE,ELITE,HOWTOGET,HOWTOGETGOLD
Classic,伺机待发,,Spell,EX1_145,Rogue,,Epic,,0,在本回合中，你所施放的下一个法术的法力值消耗减少（3）点。,Neutral,,,True,Clint Langley,“随时准备伺机待发。”——潜行者座右铭,,,,
Classic,侍从,2,Minion,CS2_152,,,Common,2,1,,Alliance,,,,,,,,,
Classic,先知维伦,7,Minion,EX1_350,Priest,,Legendary,7,7,使你的法术牌和英雄技能的伤害和治疗效果翻倍。,Neutral,,,True,Wei Wang,他被逐出他的家园。他兄弟们都变成了邪恶的主宰......但是除此之外，他好像也没有什么别的可以抱怨的了。,,True,,
Classic,先祖之魂,,Enchantment,CS2_038e,Shaman,,,,,<b>亡语：</b>再次召唤该随从。,,,,,,,,,,
Classic,先祖之魂,,Spell,CS2_038,Shaman,,Rare,,2,使一个随从获得“<b>亡语</b>：再次召唤该随从。”,Neutral,,,True,Zoltan & Gabor,只是伤到些皮毛而已。,,,,
Classic,光明之泉,5,Minion,EX1_341,Priest,,Rare,0,2,在你的回合开始时，随机为一个受伤的友方角色恢复3点生命值。,Neutral,,,True,Blizzard Entertainment,以前有很多牧师都不明白，究竟是因为队友看不见光明之泉呢，还是他们故意不想点它呢？,,,,
Classic,光耀之子,5,Minion,EX1_335,Priest,,Common,0,4,该随从的攻击力等同于其生命值。,Neutral,,,True,Daarken,光耀孕育之子嗣，吾等子嗣之光耀。,,,,
Classic,公正之剑,,Weapon,EX1_366,Paladin,5,Epic,1,3,每当你召唤一个随从，使它获得+1/+1，这把武器失去1点耐久度。,Neutral,,,True,Efrem Palacios,我封你为“牛腰肉爵士”！,,,,
Classic,关门放狗,,Spell,EX1_538,Hunter,,Common,,3,战场上每有一个敌方随从，便召唤一个1/1并具有<b>冲锋</b>的猎犬。,,,,True,Linggar Bramanty,在你使用这张牌的时候，一定要喊出它的名字。,,,,
Classic,兽群领袖,,Enchantment,EX1_160be,Druid,,,,,+1/+1,,,,,,,,,,
Classic,兽群领袖,,Spell,EX1_160b,Druid,,,,,使你所有的随从获得+1/+1。,Neutral,,,,,,,,,
Classic,军情七处特工,3,Minion,EX1_134,Rogue,,Rare,3,3,<b>连击：</b>造成2点伤害。,Neutral,Combo,,True,Chris Moeller,军情七处的特工们负责暴风城内的所有隐秘行动，包括间谍活动、暗杀以及秘密筹备皇室成员的生日派对。,,,,
Classic,冰冻陷阱,,Spell,EX1_611,Hunter,,Common,,2,<b>奥秘：</b>当一个敌方随从进攻时，将其移回其拥有者的手中，并使其法力值消耗增加（2）点。,Neutral,Secret,,True,Matt Gaser,“呃，好冷。”——当你中了冰冻陷阱或是听到一个冷笑话时，通常都是这个反应。,,,,
Classic,冰枪术,,Spell,CS2_031,Mage,,Common,,1,使一个角色<b>冻结</b>，如果它已经被<b>冻结</b>，则改为对其造成$4点伤害。,Neutral,Freeze,,True,Alex Horley Orlandelli,这个把戏的重点是别把冰枪弄断。否则，“冰渣术”可就没这么厉害了。,,,,
Classic,冰锥术,,Spell,EX1_275,Mage,,Common,,4,<b>冻结</b>一个随从和其相邻的随从，并对它们造成$1点伤害。,Neutral,Freeze,,True,Leo Che,冰锥术在大约90年前开始流行起来，而在那之前，肯瑞托的法师们习惯用的是冰块术。,,,,
Classic,冰霜元素,5,Minion,EX1_283,,,Common,5,6,<b>战吼：</b><b>冻结</b>一个角色。,Neutral,Battlecry|Freeze,,True,Dan Scott,当水元素和冰元素相爱到一定程度的时候...,,,,
Classic,冷血,,Enchantment,CS2_073e2,Rogue,,,,,+4攻击力。,,,,,,,,,,
Classic,冷血,,Enchantment,CS2_073e,Rogue,,,,,+2攻击力。,,,,,,,,,,
Classic,冷血,,Spell,CS2_073,Rogue,,Common,,1,使一个随从获得+2攻击力；<b>连击：</b>改为获得+4攻击力。,Neutral,Combo,,True,Alex Horley Orlandelli,静如冰封，动如激瀑。,,,,
Classic,凯恩·血蹄,5,Minion,EX1_110,,,Legendary,4,6,<b>亡语：</b>召唤一个4/5的贝恩·血蹄。,Alliance,Deathrattle,,True,Wayne Reynolds,凯恩被加尔鲁什杀害了，所以...别把这张牌放在战士的套牌里，这完全说不通。,,True,,
Classic,利爪德鲁伊,6,Minion,EX1_165t2,Druid,,Common,4,5,<b>嘲讽</b>,,Taunt,,,,,Beast,,,
Classic,利爪德鲁伊,4,Minion,EX1_165,Druid,,Common,4,5,<b>抉择</b>：<b>冲锋</b>；或者+2生命值并具有<b>嘲讽</b>。,Neutral,,,True,Luca Zontini,是猎豹还是熊？！是猎豹还是熊？！真是艰难的抉择！,,,,
Classic,利爪德鲁伊,4,Minion,EX1_165t1,Druid,,Common,4,5,<b>冲锋</b>,,Charge,,,,,Beast,,,
Classic,刺骨,,Spell,EX1_124,Rogue,,Common,,2,造成$2点伤害；<b>连击：</b>改为造成$4点伤害。,Neutral,Combo,,True,Ariel Olivetti,对你的对手使用刺骨可麻烦了：从皮革上把血渍去除要花很长时间。,,,,
Classic,剑刃乱舞,,Spell,CS2_233,Rogue,,Rare,,2,摧毁你的武器，对所有敌方角色造成等同于其攻击力的伤害。,Neutral,AffectedBySpellPower,,True,Hideaki Takamura,“注意看好，并不是把匕首飞快地挥来挥去就行了，比那要复杂得多。”——潜行者训练师，肖,,,,
Classic,力量的代价,,Enchantment,EX1_316e,Warlock,,,,,该随从获得+4/+4，但是在回合结束时将死于非命。,Neutral,,,,,,,,,
Classic,力量的代价,,Spell,EX1_316,Warlock,,Common,,1,使一个友方随从获得+4/+4，在回合结束时，将其消灭。,Neutral,,,True,Tom Baxa,别让那个随从知道他死后的样子。那惨象无可言状。,,,,
Classic,加固,,Enchantment,NEW1_025e,,,,,,生命值增加。,,,,,,,,,,
Classic,加基森拍卖师,4,Minion,EX1_095,,,Rare,4,6,每当你施放一个法术，抽一张牌。,Neutral,,,True,Matt Dixon,他曾经经营过黑市的拍卖行，但是那里的暴力冲突太多了，他只好被迫离开。,,,,
Classic,加拉克苏斯大王,15,Minion,EX1_323,Warlock,,Legendary,3,9,<b>战吼：</b>消灭你的英雄，并用加拉克苏斯大王替换他。,,Battlecry,,True,Alex Horley Orlandelli,“渺小的侏儒！你们的傲慢将会招致灭亡！”,Demon,True,,
Classic,加拉克苏斯大王,15,Hero,EX1_323h,Warlock,,Legendary,0,0,,Neutral,,,,,,Demon,,,
Classic,劫持者,3,Minion,NEW1_005,Rogue,,Epic,5,6,<b>连击：</b>将一个随从移回其拥有者的手牌。,,Combo,,True,Dave Allsop,他只是希望有人能看看他在假期里拍摄的照片而已。,,,,
Classic,升级,,Enchantment,EX1_409e,Warrior,,,,,+1攻击力和+1耐久度。,,,,,,,,,,
Classic,升级,,Enchantment,EX1_536e,Hunter,,,,,耐久度增加。,,,,,,,,,,
Classic,升级！,,Spell,EX1_409,Warrior,,Rare,,1,如果你装备一把武器，使它获得+1/+1。否则，装备一把1/3的武器。,Neutral,,,True,Matt Cavotta,50点DKP玩一下，值！,,,,
Classic,升级！,,Enchantment,EX1_044e,,,,,,攻击力和生命值增加。,,,,,,,,,,
Classic,半神的恩赐,,Spell,EX1_573a,Druid,,,,,使你的所有其他随从获得+2/+2。,Neutral,,,,,,,,,
Classic,半神的恩赐,,Enchantment,EX1_573ae,Druid,,,,,+2/+2。,Neutral,,,,,,,,,
Classic,南海船工,1,Minion,CS2_146,,,Common,2,1,当你装备一把武器时，该随从获得<b>冲锋</b>。,Alliance,,,True,Dan Brereton,海盗们都非常热衷于这项新的时尚活动：“趴甲板”。,Pirate,,,
Classic,南海船长,3,Minion,NEW1_027,,,Epic,3,3,你的其他海盗获得+1/+1。,,Aura,,True,Ken Steacy,当他掠夺到足够的财宝之后，他一定要去订做一顶帅气的船长帽子。他是帽子控。,Pirate,,,
Classic,原始的能量！,,Enchantment,EX1_274e,Mage,,,,,属性值提高。,,,,,,,,,,
Classic,叉状闪电,,Spell,EX1_251,Shaman,,Common,,1,对两个随机敌方随从造成$2点伤害，<b>过载：</b>（2）,Neutral,,,True,Ralph Horsley,配上勺状闪电和刀状闪电，你就集齐整套闪电餐具了。,,,,
Classic,受祝福的勇士,,Spell,EX1_355,Paladin,,Rare,,5,使一个随从的攻击力翻倍。,,,,True,Tyler Walpole,”攻击翻倍，快乐加倍！“,,,,
Classic,受祝福的勇士,,Enchantment,EX1_355e,Paladin,,,,,该随从的攻击力翻倍。,,,,,,,,,,
Classic,古老的教诲,,Spell,NEW1_008a,Druid,,,,,抽两张牌。,,,,,,,,,,
Classic,古老的秘密,,Spell,NEW1_008b,Druid,,,,,恢复5点生命值。,,,,,,,,,,
Classic,叫嚣的中士,1,Minion,CS2_188,,,Common,2,1,<b>战吼：</b>本回合中，使一个随从获得+2攻击力。,Alliance,Battlecry,,True,Luca Zontini,“把我加入你的套牌，白痴！”,,,,
Classic,召唤传送门,4,Minion,EX1_315,Warlock,,Common,0,4,你的随从牌的法力值消耗减少（2）点，但不能少于（1）点。,Neutral,Aura,,True,Tyler Walpole,不能少于1点！你在想什么坏主意呢！,,,,
Classic,召唤猎豹,,Spell,EX1_160a,Druid,,,,,召唤一个3/2的猎豹。,Neutral,,,,,,,,,
Classic,吃饱了,,Enchantment,NEW1_017e,,,,,,+2/+2。一个鱼人就吃饱了。,,,,,,,,,,
Classic,吞噬,,Enchantment,EX1_304e,Warlock,,,,,属性值提高。,,,,,,,,,,
Classic,呀！,,Enchantment,NEW1_027e,,,,,,南海船长使其获得+1/+1,,,,,,,,,,
Classic,命令怒吼,,Spell,NEW1_036,Warrior,,Rare,,2,在本回合中，你的随从的生命值无法被降到1点以下。抽一张牌。,,,,True,Wayne Reynolds,“大声吼出来！把你的怒气吼出来！”——对训练中的战士的建议,,,,
Classic,命令怒吼,,Enchantment,NEW1_036e,Warrior,,,,,在本回合中，生命值无法被降到1点以下。,,OneTurnEffect,,,,,,,,
Classic,命令怒吼,,Enchantment,NEW1_036e2,Warrior,,,,,在本回合中，你的随从的生命值无法被降到1点以下。,,OneTurnEffect,,,,,,,,
Classic,咘啦咯咯啦！,,Enchantment,EX1_509e,,,,,,攻击力增加。,,,,,,,,,,
Classic,哈里森·琼斯,4,Minion,EX1_558,,,Legendary,5,5,<b>战吼：</b>摧毁对手的武器，并抽数量等同于其耐久度的牌。,Neutral,Battlecry,,True,Matt Dixon,“这东西应该陈列在探险者大厅里！”,,True,,
Classic,嗜魔增幅,,Enchantment,EX1_055o,,,,,,魔瘾者的攻击力增加。,,OneTurnEffect,,,,,,,,
Classic,噩梦,,Enchantment,DREAM_05e,,,,,,该随从获得+5/+5，但它马上会被消灭。,,,,,,,,,,
Classic,噩梦,,Spell,DREAM_05,Dream,,,,0,使一个随从获得+5/+5，在你的下一个回合开始时，消灭该随从。,,,,,,,,,,
Classic,土元素,8,Minion,EX1_250,Shaman,,Epic,7,5,<b>嘲讽</b>，<b>过载：</b>（3）,Neutral,Taunt,,True,Dan Scott,硬如磐石，坚不可破。,,,,
Classic,土狼,2,Minion,EX1_534t,Hunter,,Rare,2,2,,,,,,Andrew Robinson,,Beast,,,
Classic,圣光护卫者,2,Minion,EX1_001,,,Rare,1,1,每当一个角色获得治疗，便获得+2攻击力。,,,,True,Erik Ko,她善于从别人的希望之中获取力量。,,,,
Classic,圣殿执行者,6,Minion,EX1_623,Priest,,Common,6,6,<b>战吼：</b>使一个友方随从获得+3生命值。,,Battlecry,,True,Daren Bader,他在每周四的夜晚都会悄然出现在猪和哨声旅店担当保镖。,,,,
Classic,圣疗术,,Spell,EX1_354,Paladin,,Epic,,8,恢复#8点生命值，抽三张牌。,Neutral,,,True,Raymond Swanland,抓住最后一根救命稻草。,,,,
Classic,地狱火,6,Minion,EX1_tk34,Warlock,,Common,6,6,,Neutral,,,,,,Demon,,,
Classic,地狱火！,,Hero Power,EX1_tk33,Warlock,,,,2,<b>英雄技能</b>召唤一个6/6的地狱火。,Neutral,,,,,,,,,
Classic,埃辛诺斯之焰,1,Minion,EX1_614t,,,,2,1,,,,,,,,,,,
Classic,塞纳留斯,8,Minion,EX1_573,Druid,,Legendary,5,9,<b>抉择：</b>使你的所有其他随从获得+2/+2；或者召唤两个2/2并具有<b>嘲讽</b>的树人。,Neutral,,,True,Alex Horley Orlandelli,“当它们还是种子的时候，我便认识它们了……”,,True,,
Classic,复仇之怒,,Spell,EX1_384,Paladin,,Epic,,6,造成$8点伤害，随机分配给敌方角色。,Neutral,ImmuneToSpellpower,,True,Alex Garner,打！打！打！打！打！打！打！打！,,,,
Classic,大地之环先知,3,Minion,CS2_117,,,Common,3,3,<b>战吼：</b>恢复3点生命值。,,Battlecry,,True,Alex Horley Orlandelli,他确实能看得很远，他才不像那些肮脏的海盗们需要用望远镜。,,,,
Classic,大地震击,,Spell,EX1_245,Shaman,,Common,,1,<b>沉默</b>一个随从，然后对其造成$1点伤害。,Neutral,Silence,,True,Kevin Chin,大地震击？确切地说，就是“艾泽拉斯震击”吗？,,,,
Classic,大法师安东尼达斯,7,Minion,EX1_559,Mage,,Legendary,5,7,每当你施放一个法术，将一张“火球术”法术牌置入你的手牌。,Neutral,,,True,Wayne Reynolds,肯瑞托的首席法师，达拉然最伟大的子民，安东尼达斯在被巫妖王阿尔萨斯杀死之前，曾是吉安娜的导师。,,True,,
Classic,奥妮克希亚,8,Minion,EX1_562,,,Legendary,8,9,<b>战吼：</b>召唤数个1/1的雏龙，直到你的随从数量达到上限。,Neutral,Battlecry,,True,Dany Orizio,伪装成女伯爵卡特拉娜·普瑞斯托，奥妮克希亚长期控制着暴风城议会。你可能会想，一定是她的大翅膀和鳞片让她漏出了马脚。,Dragon,True,,
Classic,奥尔多卫士,3,Minion,EX1_382,Paladin,,Rare,3,3,<b>战吼：</b>使一个敌方随从的攻击力变为1。,Neutral,Battlecry,,True,Dany Orizio,奥尔多痛恨两样东西：占星者和湿鳞蜥蜴的眼睛。,,,,
Classic,奥术傀儡,2,Minion,EX1_089,,,Rare,4,3,<b>冲锋</b>，<b>战吼：</b>使你的对手获得一个法力水晶。,Neutral,Battlecry|Charge,,True,Sedhayu Ardian,如果家里有一台奥术傀儡的话，一定能够使房间蓬荜生辉，格调提高，而且，它们还能成为不错的谈资。,,,,
Classic,奥秘守护者,2,Minion,EX1_080,,,Rare,1,1,每当有一张<b>奥秘</b>牌被使用时，便获得+1/+1。,Alliance,,,True,Gonzalo Ordonez,她答应你不会告诉任何人昨晚你和那个人做了什么事情。,,,,
Classic,奥金尼灵魂祭司,5,Minion,EX1_591,Priest,,Rare,3,4,你的恢复生命值的牌和技能改为造成等量的伤害。,Neutral,Aura,,True,Doug Alexander,奥金尼的人们知道末日即将来临，只是不确定它到来的时间。,,,,
Classic,姆若咯啦啊咯啦！,,Enchantment,EX1_507e,,,,,,鱼人领军使其他鱼人获得+2/+1。,,,,,,,,,,
Classic,守护奥秘,,Enchantment,EX1_080o,,,,,,属性值提高。,,,,,,,,,,
Classic,实验！,,Enchantment,EX1_059e,,,,,,疯狂的炼金师使其攻击力和生命值互换。,,,,,,,,,,
Classic,寒光先知,3,Minion,EX1_103,,,Rare,2,3,<b>战吼：</b>使所有其他鱼人获得+2生命值。,Neutral,Battlecry,,True,Arthur Gimaldinov,寒光鱼人终年居住于无底海源最黑暗的洞穴之中。所以，是的，你到哪儿都别想摆脱鱼人。,Murloc,,,
Classic,寒光智者,2,Minion,EX1_050,,,Rare,2,3,<b>战吼：</b>每个玩家抽两张牌。,Neutral,Battlecry,,True,Steve Prescott,他们能够预见未来。在未来的时间里，双方玩家都将抽更多的牌。真准！,Murloc,,,
Classic,寒冰屏障,,Enchantment,EX1_295o,Mage,,,,,在本回合中，你的英雄获得<b>免疫</b>。,,OneTurnEffect,,,,,,,,
Classic,寒冰屏障,,Spell,EX1_295,Mage,,Epic,,3,<b>奥秘：</b>当你的英雄将要承受致命伤害时，防止这些伤害，并使其在本回合中获得<b>免疫</b>。,Neutral,Secret,,True,Carl Frank,法师们都很奇怪，为什么把一样东西塞进冰箱需要三个步骤？,,,,
Classic,寒冰护体,,Spell,EX1_289,Mage,,Common,,3,<b>奥秘：</b>当你的英雄受到攻击时，获得8点护甲值。,Neutral,Secret,,True,Alex Garner,这只是这个技能的第一级，第二级会是...巧克力牛奶护体。,,,,
Classic,小个子召唤师,2,Minion,EX1_076,,,Rare,2,2,你每个回合使用的第一张随从牌的法力值消耗减少（1）点。,Alliance,Aura,,True,Ron Spears,大个子召唤师就是由她召唤出来的。,,,,
Classic,小精灵,1,Minion,CS2_231,,,Common,1,0,,Neutral,,,True,Malcolm Davis,如果你用足够多的小精灵攻击艾瑞达领主的话，他就会爆炸。但这是为什么呢？,,,,
Classic,小鬼,1,Minion,EX1_598,,,Rare,1,1,,Neutral,,,,,,Demon,,,
Classic,小鬼召唤师,5,Minion,EX1_597,,,Rare,1,3,在你的回合结束时，对该随从造成1点伤害，并召唤一个1/1的小鬼。,Neutral,,,True,Mark Gibbons,如果她能让这些小鬼不再咬她的话，她会更加享受这份工作的。,,,,
Classic,尘魔,1,Minion,EX1_243,Shaman,,Common,3,1,<b>风怒</b>，<b>过载：</b>（2）,Neutral,Windfury,,True,Raymond Swanland,西部荒野满是尘魔。还有秃鹰。还有失控的傀儡。还有海盗。为什么谁都喜欢住在这地方？,,,,
Classic,山岭巨人,8,Minion,EX1_105,,,Epic,8,12,你每有一张其他手牌，该牌的法力值消耗便减少（1）点。,Neutral,,,True,Samwise,他的妈妈说，他只是骨架比较大而已。,,,,
Classic,崇高牺牲,,Spell,EX1_130,Paladin,,Common,,1,<b>奥秘：</b>当一个敌人攻击时，召唤一个2/1的防御者，并使其成为攻击的目标。,Neutral,Secret,,True,Zoltan & Gabor,我们永远不会忘记你，“守护者！”,,,,
Classic,工匠大师欧沃斯巴克,3,Minion,EX1_083,,,Legendary,3,3,<b>战吼：</b>使另一个随机随从变形成为一个5/5的恐龙或一个1/1的松鼠。,Alliance,Battlecry,,True,Tom Baxa,在09年度的铁炉堡松鼠大暴走事件之后，工匠大师欧沃斯巴克差点丢掉了他的工匠执照。,,True,,
Classic,巫师学徒,2,Minion,EX1_608,Mage,,Common,3,2,你的法术的法力值消耗减少（1）点。,Neutral,Aura,,True,Alex Horley Orlandelli,学徒们就是用来到处使唤的。“给我做点魔法面包，再来杯咖啡！我要魔法咖啡！”,,,,
Classic,希尔瓦娜斯·风行者,5,Minion,EX1_016,,,Legendary,5,6,<b>亡语：</b>控制一个随机敌方随从。,,Deathrattle,,True,Glenn Rane,没有人比女王更渴望真正地死去。,,True,,
Classic,帝王眼镜蛇,3,Minion,EX1_170,,,Rare,2,3,消灭任何受到该随从伤害的随从。,Neutral,Poisonous,,True,Lars Grant-West,索拉查盆地栖息着很多非常恐怖的生物。如果你一定要去那里，带上杀虫剂，还要穿上板甲。,Beast,,,
Classic,年轻的女祭司,1,Minion,EX1_004,,,Rare,2,1,在你的回合结束时，使另一个随机友方随从获得+1生命值。,,,,True,Vance Kovacs,她已经等不及想要学习2级的真言术：韧了。,,,,
Classic,年轻的酒仙,2,Minion,EX1_049,,,Common,3,2,<b>战吼：</b>使一个友方随从从战场上移回你的手牌。,Alliance,Battlecry,,True,Wei Wang,他对酿酒的热忱并不意味着他有出色的酿酒技术。别碰魔古烈酒！,,,,
Classic,年迈的法师,5,Minion,EX1_584,,,Rare,2,4,<b>战吼：</b>使相邻的随从获得<b>法术伤害+1</b>。,Neutral,Battlecry,,True,Howard Lyon,有时候他会很健忘，甚至迷迷糊糊地走进别人的游戏中去。,,,,
Classic,年迈的酒仙,4,Minion,EX1_057,,,Common,5,4,<b>战吼：</b>使一个友方随从从战场上移回你的手牌。,Alliance,Battlecry,,True,Bernie Kang,大部分熊猫人都喜欢去他的酒坊喝酒，然后在好几天以后才能记起回家的路。,,,,
Classic,幼龙鹰,1,Minion,CS2_169,,,Common,1,1,<b>风怒</b>,Horde,Windfury,,True,Greg Hildebrandt,无论是战士还是诗人，都能从美丽的龙鹰身上获取战斗或是写作的灵感。,Beast,,,
Classic,幽灵狼,3,Minion,EX1_tk11,Shaman,,Rare,2,2,<b>嘲讽</b>,Neutral,Taunt,,,,,,,,
