TEXT,SET,TYPE,ID,NAME,PLAYERCLASS,FACTION,COST,RARITY,COLLECTIBLE,ARTIST,FLAVOR,MECHANICS,ATTACK,HEALTH,INPLAYTEXT,ELITE,RACE,DURABILITY
+1 p. de durabilidad.,Classic,Enchantment,CS2_146o,Afilada,,,,,,,,,,,,,,
<b>Combo:</b> Inflige 2 p. de daño.,Classic,Minion,EX1_134,Agente del IV:7,Rogue,Neutral,3,Rare,True,Chris Moeller,Los agentes del IV:7 son los espías de Ventormenta. Este es el día más largo de su vida.,Combo,3,3,,,,
<b>Viento Furioso Cargar Escudo divino Provocar</b>,Classic,Minion,NEW1_010,AlAkir Señor del Viento,Shaman,,8,Legendary,True,Raymond Swanland,Es el más débil de los cuatro señores elementales y los otros tres no dejan de recordárselo.,Charge|Divine Shield|Taunt|Windfury,3,5,,True,,
<b>Grito de batalla:</b> Destruye a todos los demás esbirros y descarta tu mano.,Classic,Minion,NEW1_030,Alamuerte,,,10,Legendary,True,Bernie Kang,Alamuerte ha venido a Hearthstone para desencadenar... EL CARTACLISMO.,Battlecry,12,12,,True,Dragon,
<b>Grito de batalla:</b> Fija la salud restante de un héroe en 15 p.,Classic,Minion,EX1_561,Alexstrasza,,Neutral,9,Legendary,True,Raymond Swanland,Alexstrasza la Protectora trae vida y esperanza para todo el mundo. Menos para Alamuerte. Y Malygos. Y Nekros.,Battlecry,8,8,,True,Dragon,
Otorga a tus esbirros "<b>Último aliento:</b> Invoca a un antárbol 2/2".,Classic,Spell,EX1_158,Alma del bosque,Druid,Neutral,4,Common,True,Markus Erdt,La reforestación acaba de convertirse en un concepto aterrador.,,,,,,,
Último aliento: Invoca a un antárbol 2/2.,Classic,Enchantment,EX1_158e,Alma del bosque,Druid,,,,,,,,,,,,,
<b>Grito de batalla:</b> Intercambia el ataque y la salud de un esbirro.,Classic,Minion,EX1_059,Alquimista loco,,Neutral,2,Rare,True,Tom Fleming,"¡Te va a encantar esta receta!". Sí especialmente si no estás satisfecho con tu cantidad actual de extremidades.,Battlecry,2,2,,,,
Destruye tu arma e inflige su daño a todos los enemigos.,Classic,Spell,CS2_233,Aluvión de acero,Rogue,Neutral,2,Rare,True,Hideaki Takamura,"Oye no se trata solo de agitar dagas muy rápido. Es mucho más complicado". - Shan instructor de pícaros,AffectedBySpellPower,,,,,,
<b>Elige una:</b> +5 p. de ataque o bien +5 p. de salud y <b>Provocar</b>.,Classic,Minion,EX1_178,Anciano de la guerra,Druid,Neutral,7,Epic,True,Sean O’Daniels,Siempre se va por las ramas.,,5,5,,,,
<b>Elige una:</b> Roba 2 cartas o bien restaura 5 p. de salud.,Classic,Minion,NEW1_008,Anciano del Conocimiento,Druid,,7,Epic,True,Patrik Hjelm,Tiene más de anciano que de conocimiento.,,5,5,,,,
Todos los esbirros cuestan (1) cristal más.,Classic,Minion,EX1_616,Ánima de maná,,Neutral,2,Rare,True,Luca Zontini,Se manifiestan por las noches para devorar los cristales de maná que sobran de las partidas.,Aura,2,2,,,,
<b>Cargar</b>. Al final del turno destruye a este esbirro.,Classic,Minion,EX1_tk9,Antárbol,Druid,Neutral,1,Common,,,,Charge,2,2,,,,
,Classic,Minion,EX1_158t,Antárbol,Druid,Neutral,1,,,,,,2,2,,,,
<b>Provocar</b>,Classic,Minion,EX1_573t,Antárbol,Druid,,1,,,,,Taunt,2,2,,,,
,Classic,Minion,NEW1_026t,Aprendiz violeta,,,0,,,,,,1,1,,,,
Tus hechizos cuestan (1) cristal menos.,Classic,Minion,EX1_608,Aprendiza de hechicera,Mage,Neutral,2,Common,True,Alex Horley Orlandelli,Tiene prohibido encantar escobas.,Aura,3,2,,,,
Si controlas un <b>secreto</b> al final de tu turno obtiene +2/+2.,Classic,Minion,EX1_274,Arcanista etéreo,Mage,,4,Rare,True,Michael Komarck,Los etéreos se envuelven en tela para dar forma a su masa incorpórea... y además es tan suave y calentita.,,3,3,,False,,
Cada vez que lanzas un hechizo añade un hechizo "Bola de Fuego" a tu mano.,Classic,Minion,EX1_559,Archimago Antonidas,Mage,Neutral,7,Legendary,True,Wayne Reynolds,Antonidas fue el gran mago del Kirin Tor y el mentor de Jaina. Todo esto antes de convertirse en monumento conmemorativo.,,5,7,,True,,
Obtiene +1 p. de durabilidad cada vez que se revela un <b>secreto</b> amistoso.,Classic,Weapon,EX1_536,Arco de cuerno de águila,Hunter,,3,Rare,True,Cyril Van Der Haegen,Primera lección: las flechas se clavan en los malos.,,3,,,,,2
Tu héroe es <b>inmune</b> al atacar.,Classic,Weapon,DS1_188,Arco largo de Gladiador,Hunter,Neutral,7,Epic,True,Peter C. Lee,El arco largo permite disparar desde mayores distancias y es muy útil para eliminar a objetivos particularmente apestosos.,,5,,,,,2
,Classic,Minion,EX1_tk28,Ardilla,,Neutral,1,Common,,,,,1,1,,,Beast,
<b>Grito de batalla:</b> Equipa un arma 2/2.,Classic,Minion,EX1_398,Armera de Arathi,Warrior,Neutral,4,Common,True,Samwise,¡Es una orca asesina!,Battlecry,3,3,,,,
<b>Viento Furioso</b>,Classic,Minion,EX1_033,Arpía Viento Furioso,,Alliance,6,Common,True,Luke Mancini,Las arpías no son aves cantoras precisamente.,Windfury,4,5,,,,
<b>Secreto:</b> Cuando tu oponente juega un esbirro reduce su salud a 1 p.,Classic,Spell,EX1_379,Arrepentimiento,Paladin,Neutral,1,Common,True,Gonzalo Ordonez,El arrepentimiento suele ser lo que precede a la aniquilación. Un dato curioso.,Secret,,,,,,
Salud reducida a 1 p.,Classic,Enchantment,EX1_379e,Arrepentimiento,Paladin,,,,,,,,,,,,,
<b>Grito de batalla:</b> Obtiene una cantidad de puntos de ataque equivalente al ataque de tu arma.,Classic,Minion,NEW1_018,Asaltante Velasangre,,,2,Common,True,Jim Nelson,Solo saquea de lunes a domingo.,Battlecry,2,3,,,Pirate,
<b>Sigilo</b>,Classic,Minion,CS2_161,Asesino de Ravenholdt,,Alliance,7,Rare,True,Ralph Horsley,Por diez mil monedas de oro se encargará de cualquier problema.,Stealth,7,5,,,,
<b>Sigilo</b>. Destruye a todo esbirro dañado por este esbirro.,Classic,Minion,EX1_522,Asesino paciente,Rogue,Neutral,2,Epic,True,Ben Olson,Lo de la paciencia viene de tener que esperar a que pasen víctimas de su misma estatura.,Poisonous|Stealth,1,1,,,,
Seguirá <b>congelado</b> al comienzo del siguiente turno.,Classic,Enchantment,EX1_611e,Atrapado,Hunter,,,,,,,,,,,,,
Atacar a un esbirro cuesta 1 p. de ataque en vez de 1 p. de durabilidad.,Classic,Weapon,EX1_411,Aullavísceras,Warrior,Neutral,7,Epic,True,Zoltan & Gabor,La famosa hacha de Grommash Grito Infernal. No se sabe cómo acabó en manos del príncipe Malchezaar. ¡Qué misterio!,,7,,,,,1
Obtiene +1/+1 cada vez que juegas una carta.,Classic,Minion,EX1_044,Aventurero en misión,,Alliance,3,Rare,True,Attila Adorjany,Todavía le hacen falta pellejos de jabalí.,,2,2,,,,
,Classic,Minion,EX1_110t,Baine Pezuña de Sangre,,,4,Legendary,,,,,4,5,,True,,
,Classic,Minion,EX1_131t,Bandido Defias,Rogue,Neutral,1,,,,,,2,1,,,,
Al final de tu turno inflige 2 p. de daño a todos los demás personajes.,Classic,Minion,EX1_249,Barón Geddon,,Neutral,7,Legendary,True,Ian Ameling,El barón Geddon era el teniente de Ragnaros pero el puesto le daba ardores.,,7,5,,True,,
<b>Secreto:</b> Tu héroe obtiene 8 p. de armadura cuando vaya a recibir un ataque.,Classic,Spell,EX1_289,Barrera de hielo,Mage,Neutral,3,Common,True,Alex Garner,Con el rango 1 te dan el hielo y con el 2 los refrescos.,Secret,,,,,,
Cada vez que este esbirro ataca el jugador que lo ha bendecido roba una carta.,Classic,Enchantment,EX1_363e,Bendición de sabiduría,Paladin,,,,,,,,,,,,,
Elige a un esbirro. Cada vez que ataca roba una carta.,Classic,Spell,EX1_363,Bendición de sabiduría,Paladin,,1,Common,True,Chippy,Al parecer la sabiduría aporta el conocimiento de que seguramente deberías atacar cada turno.,,,,,,,
Cada vez que este esbirro ataca el jugador enemigo roba una carta.,Classic,Enchantment,EX1_363e2,Bendición de sabiduría,Paladin,,,,,,,,,,,,,
Todos los esbirros pierden <b>Sigilo</b>. Destruye todos los <b>secretos</b> del enemigo. Roba una carta.,Classic,Spell,EX1_544,Bengala,Hunter,Neutral,2,Rare,True,Tyler Walpole,También viene bien en caso de naufragio.,,,,,,,
Ataque y salud aumentados.,Classic,Enchantment,EX1_531e,Bien alimentada,Hunter,,,,,,,,,,,,,
Ataque aumentado.,Classic,Enchantment,EX1_509e,Blarghghl,,,,,,,,,,,,,,
<b>Secreto:</b> Cuando tu héroe vaya a recibir daño letal lo evita y se vuelve <b>inmune</b> ese turno.,Classic,Spell,EX1_295,Bloque de hielo,Mage,Neutral,3,Epic,True,Carl Frank,¡Es hielo! ¡En un bloque!,Secret,,,,,,
Tu héroe es <b>inmune</b> este turno.,Classic,Enchantment,EX1_295o,Bloque de hielo,Mage,,,,,,,OneTurnEffect,,,,,,
<b>Grito de batalla:</b> Inflige 3 p. de daño que se dividen aleatoriamente entre todos los demás personajes.,Classic,Minion,EX1_082,Bombardero loco,,Alliance,2,Common,True,Mike Sass,Hay que estar loco para manipular bombas goblin.,Battlecry,3,2,,,,
<b>Grito de batalla:</b> Todos los esbirros pierden <b>Escudo divino</b>. Obtiene +3/+3 por cada escudo perdido.,Classic,Minion,EX1_590,Caballero de sangre,,Neutral,3,Epic,True,Trent Kaniuga,Los caballeros de sangre obtenían sus poderes sagrados de la Fuente del Sol hasta que la Plaga cerró el grifo.,Battlecry,3,3,,,,
<b>Grito de batalla:</b> Invoca a un escudero 2/2.,Classic,Minion,CS2_151,Caballero Mano de Plata,,Alliance,5,Common,True,Matt Starbuck,Adonde va el caballero va el escudero.,Battlecry,4,4,,,,
<b>Último aliento:</b> Invoca a Baine Pezuña de Sangre (4/5).,Classic,Minion,EX1_110,Cairne Pezuña de Sangre,,Alliance,6,Legendary,True,Wayne Reynolds,Garrosh mató a Cairne así que mejor no pongas esta carta en un mazo de guerrero. Es una falta de respeto.,Deathrattle,4,5,,True,,
<b>Provocar</b>. <b>Escudo divino</b>,Classic,Minion,EX1_032,Caminasol,,Alliance,6,Rare,True,Andrea Uderzo,Aunque sea Protección sigue siendo una vaca sagrada.,Divine Shield|Taunt,4,5,,,,
Destruye a todos los esbirros menos a uno <i>(elegido al azar)</i>.,Classic,Spell,EX1_407,Camorra,Warrior,Neutral,5,Epic,True,Wayne Reynolds,¿Conoces la primera regla de la Hermandad de camorristas?,,,,,,,
Duplica el ataque de un esbirro.,Classic,Spell,EX1_355,Campeón bendito,Paladin,,5,Rare,True,Tyler Walpole,Esta carta aporta el doble de problemas ¡y el doble de diversión!,,,,,,,
El ataque de este esbirro se ha duplicado.,Classic,Enchantment,EX1_355e,Campeón bendito,Paladin,,,,,,,,,,,,,
<b>Grito de batalla:</b> Destruye a un múrloc y obtiene +2/+2.,Classic,Minion,NEW1_017,Cangrejo hambriento,,,1,Epic,True,Jaemin Kim,¡Hoy cenamos múrloc!,Battlecry,1,2,,,Beast,
Ataque aumentado.,Classic,Enchantment,tt_004o,Canibalismo,,,,,,,,,,,,,,
<b>Grito de batalla:</b> Inflige 1 p. de daño a un esbirro y le otorga +2 p. de ataque.,Classic,Minion,EX1_603,Capataz cruel,Warrior,Neutral,2,Common,True,Phroilan Gardner,Te obligará a hacer horas extra. En domingo.,Battlecry,2,2,,,,
Tus otros piratas tienen +1/+1.,Classic,Minion,NEW1_027,Capitán de Mares del Sur,,,3,Epic,True,Ken Steacy,Cuando ahorre suficiente botín tiene pensado comprarse un sombrero enorme. Le encantan los sombreros.,Aura,3,3,,,Pirate,
<b>Grito de batalla:</b> Otorga +1/+1 a tu arma.,Classic,Minion,NEW1_024,Capitán Verdetez,,,5,Legendary,True,Dan Scott,Estuvo a punto de aplastar Ventormenta con un robot enorme. Si no fuera por los grupos de aventureros...,Battlecry,5,4,,True,Pirate,
Coloca a 2 demonios aleatorios de tu mazo en tu mano.,Classic,Spell,EX1_317,Captar demonios,Warlock,Neutral,3,Common,True,Raven Mimura,¡A mí me daban dos!,,,,,,,
<b>Grito de batalla</b>: Destruye a un esbirro con 7 p. de ataque o más.,Classic,Minion,EX1_005,Cazador de fieras,,,3,Epic,True,Chris Seaman,Los meros demosaurios ya no le interesan. Pronto intentará cazar a Onyxia sin más arma que una hoja Krol roma.,Battlecry,4,2,,,,
<b>Provocar</b>,Classic,Minion,EX1_396,Celador Mogushan,,Neutral,4,Common,True,Cole Eastburn,Tuvo que cambiar de trabajo cuando derrotaron al Rey del Trueno.,Taunt,1,7,,,,
Obtiene +2 p. de ataque cada vez que se sana a un personaje.,Classic,Minion,EX1_001,Celadora de la Luz,,,1,Rare,True,Erik Ko,Así es como reacciona cada vez que alguien llama "cabras espaciales" a los draenei.,,1,2,,,,
<b>Elige una:</b> Otorga +2/+2 a tus otros esbirros o bien invoca dos antárboles 2/2 con <b>Provocar</b>.,Classic,Minion,EX1_573,Cenarius,Druid,Neutral,9,Legendary,True,Alex Horley Orlandelli,Sí es un semidiós. No no le pasa nada en la mano.,,5,8,,True,,
<b>Grito de batalla:</b> Restaura 3 p. de salud.,Classic,Minion,CS2_117,Chamán clarividente,,,3,Common,True,Alex Horley Orlandelli,Puede ver a lo lejos y no le hace falta un catalejo como a los piratas.,Battlecry,3,3,,,,
<b>Silencia</b> a un esbirro y luego le inflige $1 p. de daño.,Classic,Spell,EX1_245,Choque de tierra,Shaman,Neutral,1,Common,True,Kevin Chin,Si los gnomos fueran chamanes ¿podrían ser sus propios tótems?,Silence,,,,,,
Restaura #4 p. de salud a todos los esbirros.,Classic,Spell,EX1_621,Círculo de sanación,Priest,,0,Common,True,Daarken,En realidad no es un círculo.,,,,,,,
Obtiene +1 p. de ataque cada vez que se invoca a un múrloc.,Classic,Minion,EX1_509,Clamamareas múrloc,,Neutral,1,Rare,True,Jaemin Kim,Se vuelve extraordinariamente fuerte en las cenas familiares.,,1,2,,,Murloc,
<b>Viento Furioso</b>,Classic,Minion,EX1_021,Clarividente de Thrallmar,,Horde,3,Common,True,Efrem Palacios,Trabaja en la Península del Fuego Infernal pero le gustaría que lo destacaran en Orgrimmar o en cualquier otro sitio que no esté ardiendo permanentemente.,Windfury,2,3,,,,
Destruye a cualquier esbirro dañado por este esbirro.,Classic,Minion,EX1_170,Cobra emperador,,Neutral,3,Rare,True,Lars Grant-West,En la Cuenca de Sholazar viven todo tipo de criaturas horribles. Si tienes pensado viajar allí ponte repelente. Y armadura de placas.,Poisonous,2,3,,,Beast,
Inflige $1 p. de daño a un esbirro. Roba una carta.,Classic,Spell,EX1_154b,Cólera,Druid,Neutral,,,,,,,,,,,,
Inflige $3 p. de daño a un esbirro.,Classic,Spell,EX1_154a,Cólera,Druid,Neutral,,,,,,,,,,,,
<b>Elige una:</b> Inflige $3 p. de daño a un esbirro o bien inflige $1 p. de daño y roba una carta.,Classic,Spell,EX1_154,Cólera,Druid,Neutral,2,Common,True,Raymond Swanland,¿Qué hace un pollo de 200 kg en un árbol? Lanzar Cólera.,,,,,,,
+2 p. de ataque e <b>Inmune</b> este turno.,Classic,Enchantment,EX1_549o,Cólera de las bestias,Hunter,,,,,,,OneTurnEffect,,,,,,
Otorga +2 p. de ataque e <b>Inmune</b> a una bestia amistosa este turno.,Classic,Spell,EX1_549,Cólera de las bestias,Hunter,Neutral,1,Epic,True,Alex Horley Orlandelli,Es una cólera que está en tu interior por debajo de las costillas entre la tostada del desayuno y el pescado del almuerzo.,,,,,,,
Roba una carta e inflige un daño equivalente a su coste.,Classic,Spell,EX1_365,Cólera Sagrada,Paladin,Neutral,5,Rare,True,Justin Sweet,¡Ojalá salga un Gigante fundido!,,,,,,,
Inflige $8 p. de daño divididos aleatoriamente entre los personajes enemigos.,Classic,Spell,EX1_384,Cólera vengativa,Paladin,Neutral,6,Epic,True,Alex Garner,A la Luz rogando y con el mazo dando.,ImmuneToSpellpower,,,,,,
<b>Cargar</b> <b>Escudo divino</b>,Classic,Minion,EX1_067,Comandante Argenta,,Neutral,6,Rare,True,James Ryman,El Alba Argenta protege al mundo de la Plaga y de la gente que se salta las colas.,Charge|Divine Shield,4,2,,,,
<b>Congela</b> a un esbirro y a los esbirros adyacentes al mismo y les inflige $1 p. de daño.,Classic,Spell,EX1_275,Cono de frío,Mage,Neutral,4,Common,True,Leo Che,Más frío que robando pingüinos.,Freeze,,,,,,
Estadísticas aumentadas.,Classic,Enchantment,EX1_304e,Consumir,Warlock,,,,,,,,,,,,,
<b>Secreto:</b> Cuando tu oponente lanza un hechizo lo <b>contrarrestas</b>.,Classic,Spell,EX1_287,Contrahechizo,Mage,Neutral,3,Rare,True,Jason Chan,¿En qué se diferencian un mago que tiene Contrahechizo y otro que no? El que no lo tiene está a punto de recibir una Piroexplosión en toda la cara.,Secret,,,,,,
,Classic,Enchantment,EX1_tk31,Control mental,Priest,Neutral,,Common,,,,Summoned,,,,,,
<b>Provocar.</b> Cuesta (1) cristal menos por cada punto de ataque de tu arma.,Classic,Minion,NEW1_022,Corsario aterrador,,,4,Common,True,Trent Kaniuga,"Arrr" es una palabra del idioma pirata que significa "Buenos días tenga vuestra merced".,Taunt,3,3,,,Pirate,
<b>Grito de batalla:</b> Elimina 1 p. de durabilidad del arma de tu oponente.,Classic,Minion,NEW1_025,Corsario Velasangre,,,1,Rare,True,Randy Gallegos,No se te ocurra llamar pirata a un corsario.,Battlecry,1,2,,,Pirate,
Gruul crece...,Classic,Enchantment,NEW1_038o,Crecimiento,,,,,,,,,,,,,,
,Classic,Weapon,EX1_383t,Crematoria,Paladin,,5,Legendary,,,,,5,,,,,3
,Classic,Minion,ds1_whelptoken,Cría,,Neutral,1,,,,,,1,1,,,Dragon,
,Classic,Minion,EX1_116t,Cría,,,1,,,,,,1,1,,,Dragon,
<b>Último aliento:</b> Invoca dos hienas 2/2.,Classic,Minion,EX1_534,Crinalta de la sabana,Hunter,,6,Rare,True,Milivoj Ceran,En la jungla la negra jungla el postre es el león.,Deathrattle,6,5,,,Beast,
<b>Escudo divino</b>,Classic,Minion,EX1_020,Cruzada Escarlata,,Alliance,3,Common,True,Gonzalo Ordonez,¡El infiel será purificado!,Divine Shield,3,1,,,,
,Classic,Minion,EX1_554t,Culebra,Hunter,Neutral,0,Common,,,,,1,1,,,Beast,
,Classic,Minion,EX1_130a,Defensor,Paladin,Neutral,1,Common,,,,,2,1,,,,
<b>Grito de batalla:</b> Otorga +1/+1 y <b>Provocar</b> a los esbirros adyacentes.,Classic,Minion,EX1_093,Defensor de Argus,,Alliance,4,Rare,True,Alex Horley Orlandelli,Si pretende defender Argus ¿qué hace aquí?,Battlecry,2,3,,,,
Toma el control de un esbirro enemigo con 3 p. de ataque o menos hasta el final del turno.,Classic,Spell,EX1_334,Demencia oscura,Priest,Neutral,4,Rare,True,Mark Gibbons,¡Eso es jugar sucio! ¡Bien hecho!,,,,,,,
Al comienzo de tu turno inflige 2 p. de daño a un enemigo aleatorio.,Classic,Minion,EX1_102,Demoledor,,Neutral,3,Rare,True,Raymond Swanland,Los asedios ya no son lo mismo ahora que todo el mundo tiene montura voladora.,,1,4,,,Mech,
,Classic,Minion,EX1_tk29,Demosaurio,,Neutral,5,Common,,,,,5,5,,,Beast,
+5 p. de ataque.,Classic,Enchantment,EX1_178be,Desarraigado,Druid,,,,,,,,,,,,,
+5 p. de ataque.,Classic,Spell,EX1_178b,Desarraigar,Druid,Neutral,,,,,,,,,,,,
Inflige $3 p. de daño. <b>Sobrecarga:</b> (1),Classic,Spell,EX1_238,Descarga de relámpagos,Shaman,Neutral,1,Common,True,Daarken,¡Relámpagos! ¡Relámpagos! ¡Relámpagos!,,,,,,,
+3/+3.,Classic,Enchantment,CS2_104e,Desenfreno,Warrior,,,,,,,,,,,,,
Otorga +3/+3 a un esbirro dañado.,Classic,Spell,CS2_104,Desenfreno,Warrior,Neutral,2,Common,True,Jonboy Meyers,¡Esbirro machaca!,,,,,,,
<b>Poder de héroe</b>
Inflige 3 p. de daño.,Classic,Hero Power,EX1_625t2,Despedazamiento mental,Priest,,2,,,,,,,,,,,
<b>Grito de batalla:</b> Otorga +3 p. de salud a un esbirro amistoso.,Classic,Minion,EX1_623,Déspota del templo,Priest,,6,Common,True,Daren Bader,Se saca un sobresueldo trabajando de portero en la taberna del Cerdo Borracho.,Battlecry,6,6,,,,
,Classic,Minion,EX1_598,Diablillo,,Neutral,1,Rare,,,,,1,1,,,Demon,
<b>Grito de batalla:</b> Inflige 3 p. de daño a tu héroe.,Classic,Minion,EX1_319,Diablillo de llamas,Warlock,Neutral,1,Common,True,Alex Horley Orlandelli,¡Diablillo a domicilio!,Battlecry,3,2,,,Demon,
<i>¡Se te han acabado los demonios! Al menos siempre quedarán los diablillos...</i>,Classic,Minion,EX1_317t,Diablillo inútil,Warlock,,1,Common,,,,,1,1,,,Demon,
<b>Sigilo</b>. Al final de tu turno otorga +1 p. de salud a otro esbirro amistoso aleatorio.,Classic,Minion,CS2_059,Diablillo sangriento,Warlock,Neutral,1,Common,True,Bernie Kang,¡Esto no estaba en su contrato!,Stealth,0,1,,,Demon,
<b>Viento Furioso</b>. <b>Sobrecarga:</b> (2),Classic,Minion,EX1_243,Diablo de polvo,Shaman,Neutral,1,Common,True,Raymond Swanland,Entre los diablos de polvo las águilas los gólems de la cosecha y los piratas los Páramos de Poniente han perdido mucho últimamente.,Windfury,3,1,,,,
<b>Silencia</b> a todos los esbirros enemigos. Roba una carta.,Classic,Spell,EX1_626,Disipación en masa,Priest,,4,Rare,True,Sean ODaniels,Disipa beneficios poderes esperanzas y sueños.,Silence,,,,,,
<b>Silencia</b> a un esbirro.,Classic,Spell,EX1_166b,Disipar,Druid,Neutral,,,,,,Silence,,,,,,
<b>Secreto:</b> Cuando tu oponente juega un esbirro le inflige $4 p. de daño.,Classic,Spell,EX1_609,Disparo de francotirador,Hunter,Neutral,2,Common,True,Lorenzo Minaca,Un buen francotirador da en la diana... Y si esa diana es un jugoso lomo de jabalí mejor que mejor.,Secret,,,,,,
Inflige $5 p. de daño a un esbirro y $2 p. de daño a los esbirros adyacentes.,Classic,Spell,EX1_537,Disparo explosivo,Hunter,Neutral,5,Rare,True,Tom Baxa,Apunta dispara y corre.,,,,,,,
Destruye un esbirro enemigo aleatorio.,Classic,Spell,EX1_617,Disparo mortal,Hunter,Neutral,3,Common,True,Steve Prescott,La precisión no es una cualidad muy valorada entre los Moknathal pero la letalidad es indispensable.,,,,,,,
<b>+1 p. de daño con hechizos</b>. <b>Grito de batalla:</b> Roba una carta.,Classic,Minion,EX1_284,Draco azur,,Neutral,5,Rare,True,Ben Zhang,Mucha gente los llama dracos "azules" pero no tiene el mismo prestigio.,Battlecry|Spellpower,4,4,,,Dragon,
<b>Grito de batalla:</b> Obtiene +1 p. de salud por cada carta que tengas en tu mano.,Classic,Minion,EX1_043,Draco Crepuscular,,Neutral,4,Rare,True,Jaemin Kim,Los dracos Crepusculares se alimentan de energía mística. Y de gnomos.,Battlecry,4,1,,,Dragon,
,Classic,Minion,DREAM_03,Draco esmeralda,Dream,,4,,,,,,7,6,,,Dragon,
<b>Viento Furioso</b>,Classic,Minion,CS2_169,Dracohalcón joven,,Horde,1,Common,True,Greg Hildebrandt,Dan nombre a los Dracohalcones los deportistas de élite de Cima del Trueno.,Windfury,1,1,,,Beast,
No puede ser objetivo de hechizos ni de poderes de héroe.,Classic,Minion,NEW1_023,Dragón feérico,,,2,Common,True,Samwise,Es adorable inmune a la magia y barato de mantener. ¡Es la mascota perfecta!,,3,2,,,Dragon,
<b>Elige una:</b> <b>Cargar</b> o bien + 2 p. de salud y <b>Provocar</b>.,Classic,Minion,EX1_165,Druida de la Zarpa,Druid,Neutral,5,Common,True,Luca Zontini,¿Gato u oso? ¡¿Gato u oso?! ¡Decisiones! ¡Decisiones!,,4,4,,,,
<b>Provocar</b>,Classic,Minion,EX1_165t2,Druida de la Zarpa,Druid,,5,Common,,,,Taunt,4,6,,,Beast,
<b>Cargar</b>,Classic,Minion,EX1_165t1,Druida de la Zarpa,Druid,,5,Common,,,,Charge,4,4,,,Beast,
<b>Combo:</b> Obtiene +2/+2 por cada carta que se haya jugado en este turno.,Classic,Minion,EX1_613,Edwin VanCleef,Rogue,Neutral,3,Legendary,True,Efrem Palacios,Lideraba a los albañiles que reconstruyeron Ventormenta y cuando los nobles se negaron a pagarle fundó la Hermandad Defias para en fin <i>deconstruir</i> Ventormenta.,Combo,2,2,,True,,
<b>Grito de batalla:</b> Destruye a un esbirro enemigo con <b>Provocar</b>.,Classic,Minion,EX1_002,El Caballero Negro,,,6,Legendary,True,Alex Horley Orlandelli,No es más que un arañazo.,Battlecry,4,5,,True,,
<b>Grito de batalla:</b> <b>Congela</b> a un personaje.,Classic,Minion,EX1_283,Elemental de Escarcha,,Neutral,6,Common,True,Dan Scott,Esto es lo que resulta al fusionar un elemental de agua y un elemental de hielo.,Battlecry|Freeze,5,5,,,,
<b>Provocar</b>. <b>Sobrecarga:</b> (3),Classic,Minion,EX1_250,Elemental de tierra,Shaman,Neutral,5,Epic,True,Dan Scott,La roca es más fuerte que la espada... ¿o eso era la pluma?,Taunt,7,8,,,,
