SET,NAME,TEXT,COST,TYPE,ID,PLAYERCLASS,MECHANICS,ATTACK,HEALTH,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,ELITE,RACE,DURABILITY,FACTION
Blackrock Mountain,Activar Magmatron,<b>Poder de héroe</b>¡Se activa Magmatron!,8,Hero Power,BRMA14_8,,,,,,,,,,,,,,
Blackrock Mountain,Activar Magmatron,<b>Poder de héroe</b>¡Se activa Magmatron!,6,Hero Power,BRMA14_8H,,,,,,,,,,,,,,
Blackrock Mountain,Activar Toxitron,<b>Poder de héroe</b>¡Se activa Toxitron!,2,Hero Power,BRMA14_4H,,,,,,,,,,,,,,
Blackrock Mountain,Activar Toxitron,<b>Poder de héroe</b>¡Se activa Toxitron!,4,Hero Power,BRMA14_4,,,,,,,,,,,,,,
Blackrock Mountain,Adrenalina ardiente,Inflige $2 p. de daño al héroe enemigo.,0,Spell,BRMA11_3,,,,,,,,,,,,,,
Blackrock Mountain,Aflicción del linaje,<b>Poder de héroe</b>Al final de tu turno añade una carta de aflicción del linaje a la mano del oponente.,0,Hero Power,BRMA12_2H,,,,,,,,,,,,,,
Blackrock Mountain,Aflicción del linaje,<b>Poder de héroe</b>Al final de tu turno añade una carta de aflicción del linaje a la mano del oponente.,0,Hero Power,BRMA12_2,,,,,,,,,,,,,,
Blackrock Mountain,Aflicción del linaje: azul,Mientras esta carta está en tu mano los hechizos de Chromaggus cuestan (3) cristales menos.,3,Spell,BRMA12_5H,,,,,,,,,,,,,,
Blackrock Mountain,Aflicción del linaje: azul,Mientras esta carta está en tu mano los hechizos de Chromaggus cuestan (1) cristal menos.,1,Spell,BRMA12_5,,,,,,,,,,,,,,
Blackrock Mountain,Aflicción del linaje: bronce,Mientras esta carta está en tu mano los esbirros de Chromaggus cuestan (3) cristales menos.,3,Spell,BRMA12_7H,,,,,,,,,,,,,,
Blackrock Mountain,Aflicción del linaje: bronce,Mientras esta carta está en tu mano los esbirros de Chromaggus cuestan (1) cristal menos.,1,Spell,BRMA12_7,,,,,,,,,,,,,,
Blackrock Mountain,Aflicción del linaje: negro,Mientras esta carta está en tu mano cada vez que Chromaggus roba una carta consigue otra copia de la misma.,1,Spell,BRMA12_6,,,,,,,,,,,,,,
Blackrock Mountain,Aflicción del linaje: negro,Mientras esta carta está en tu mano cada vez que Chromaggus roba una carta consigue otra copia de la misma.,3,Spell,BRMA12_6H,,,,,,,,,,,,,,
Blackrock Mountain,Aflicción del linaje: rojo,Mientras esta carta está en tu mano recibes 1 p. de daño al comienzo de tu turno.,1,Spell,BRMA12_3,,ImmuneToSpellpower,,,,,,,,,,,,
Blackrock Mountain,Aflicción del linaje: rojo,Mientras esta carta está en tu mano recibes 3 p. de daño al comienzo de tu turno.,3,Spell,BRMA12_3H,,ImmuneToSpellpower,,,,,,,,,,,,
Blackrock Mountain,Aflicción del linaje: verde,Mientras esta carta está en tu mano restaura 2 p. de salud a tu oponente al comienzo de tu turno.,1,Spell,BRMA12_4,,,,,,,,,,,,,,
Blackrock Mountain,Aflicción del linaje: verde,Mientras esta carta está en tu mano restaura 6 p. de salud a tu oponente al comienzo de tu turno.,3,Spell,BRMA12_4H,,,,,,,,,,,,,,
Blackrock Mountain,Alanegra,<b>Poder de héroe</b>Invoca a un dragonante 5/4. Obtiene un nuevo poder de héroe.,1,Hero Power,BRMA09_4H,,,,,,,,,,,,,,
Blackrock Mountain,Alanegra,<b>Poder de héroe</b>Invoca a un dragonante 3/1. Obtiene un nuevo poder de héroe.,1,Hero Power,BRMA09_4,,,,,,,,,,,,,,
Blackrock Mountain,Aliento de dragón,Inflige $4 p. de daño. Cuesta (1) cristal menos por cada esbirro que haya muerto este turno.,5,Spell,BRM_003,Mage,,,,True,Mauricio Herrera,Common,Se puede crear tras completar el desafío de clase del mago en la Montaña Roca Negra.,Además de expulsar fuego los dragones también pueden expulsar algodón de azúcar por la boca. Pero no suelen estar de humor para hacerlo.,Se desbloquea al completar el desafío de clase del mago en la Montaña Roca Negra.,,,,
Blackrock Mountain,Aliento sónico,+3 p. de ataque.,,Enchantment,BRMA16_3e,,,,,,,,,,,,,,
Blackrock Mountain,Aliento sónico,Inflige $3 p. de daño a un esbirro. Otorga +3 p. de ataque a tu arma.,4,Spell,BRMA16_3,,,,,,,,,,,,,,
Blackrock Mountain,Alto justiciero Pedrasiniestra,,,Hero,BRMA02_1,,,,30,,,,,,,,,,
Blackrock Mountain,Alto justiciero Pedrasiniestra,,,Hero,BRMA02_1H,,,,30,,,,,,,,,,
Blackrock Mountain,Alto señor Omokk,,,Hero,BRMA07_1,,,,30,,,,,,,,,,
Blackrock Mountain,Alto señor Omokk,,,Hero,BRMA07_1H,,,,30,,,,,,,,,,
Blackrock Mountain,Arcanotron,Ambos jugadores tienen <b>+2 p. de daño con hechizos</b>.,0,Minion,BRMA14_3,,Spellpower,2,2,,,Legendary,,,,True,Mech,,
Blackrock Mountain,Atramedes,,,Hero,BRMA16_1H,,,,30,,,,,,,,,,
Blackrock Mountain,Atramedes,,,Hero,BRMA16_1,,,,30,,,,,,,,,,
Blackrock Mountain,Barón Geddon,,,Hero,BRMA05_1,,,,30,,,,,,,,,,
Blackrock Mountain,Barón Geddon,,,Hero,BRMA05_1H,,,,50,,,,,,,,,,
Blackrock Mountain,Bomba viva,Elige a un esbirro enemigo. Si sobrevive hasta tu siguiente turno inflige $5 p. de daño a todos los enemigos.,4,Spell,BRMA05_3,,,,,,,,,,,,,,
Blackrock Mountain,Bomba viva,Durante el turno de Geddon inflige 5 p. de daño a todas tus cosas.,,Enchantment,BRMA05_3e,,,,,,,,,,,,,,
Blackrock Mountain,Bomba viva,Elige a un esbirro enemigo. Si sobrevive hasta tu siguiente turno inflige $10 p. de daño a todos los enemigos.,3,Spell,BRMA05_3H,,,,,,,,,,,,,,
Blackrock Mountain,Bomba viva,Durante el turno de Geddon inflige 10 p. de daño a todas tus cosas.,,Enchantment,BRMA05_3He,,,,,,,,,,,,,,
Blackrock Mountain,Cegado por la ira,Ataque aumentado.,,Enchantment,BRMA10_6e,,,,,,,,,,,,,,
Blackrock Mountain,Ceniza arremolinada,<b>Viento Furioso</b>,0,Minion,BRMA13_7,,Windfury,4,5,,,,,,,,,,
Blackrock Mountain,Choque de lava,Las cartas que juegues este turno no provocan <b>Sobrecarga</b>.,,Enchantment,BRM_011t,Shaman,OneTurnEffect,,,,,,,,,,,,
Blackrock Mountain,Choque de lava,Inflige $2 p. de daño.Desbloquea tus cristales de maná con <b>Sobrecarga</b>.,2,Spell,BRM_011,Shaman,,,,True,Zoltan Boros,Rare,Se puede crear tras completar el desafío de clase del chamán en la Montaña Roca Negra.,La única lava que merece la pena es la del volcán de chocolate.,Se desbloquea al completar el desafío de clase del chamán en la Montaña Roca Negra.,,,,
Blackrock Mountain,Chromaggus,,,Hero,BRMA12_1H,,,,60,,,,,,,,,,
Blackrock Mountain,Chromaggus,,,Hero,BRMA12_1,,,,30,,,,,,,,,,
Blackrock Mountain,Chromaggus,Cada vez que robas una carta pone otra copia en tu mano.,8,Minion,BRM_031,,,6,8,True,Todd Lockwood,Legendary,Se puede crear tras completar la Guarida de Alanegra.,La cabeza izquierda y la derecha nunca se ponen de acuerdo en qué cenar así que siempre acaban comiendo ramen.,Se desbloquea al completar la Guarida de Alanegra.,True,Dragon,,
Blackrock Mountain,Cólera demoníaca,Inflige $2 p. de daño a todos los esbirros que no sean demonios.,3,Spell,BRM_005,Warlock,AffectedBySpellPower,,,True,Raymond Swanland,Rare,Se puede crear tras completar el desafío de clase del brujo en la Montaña Roca Negra.,Los demonios no se enfadan con facilidad. A menos que uses esta carta entonces sí que se cabrean de verdad.,Se desbloquea al completar el desafío de clase del brujo en la Montaña Roca Negra.,,,,
Blackrock Mountain,Colmillos de dragón,Cada vez que tu oponente juega una carta obtiene +1 p. de ataque.,1,Weapon,BRMA16_5,,,0,,,,,,,,,,6,
Blackrock Mountain,Consorte dragón,<b>Grito de batalla:</b> El siguiente dragón que juegues costará (2) cristales menos.,5,Minion,BRM_018,Paladin,Battlecry,5,5,True,Raymond Swanland,Rare,Se puede crear tras derrotar al general Drakkisath en la Cumbre de Roca Negra.,Las enormes y terroríficas bestias dracónicas acorazadas también tienen derecho a tener a alguien a quien abrazar por las noches.,Se desbloquea al derrotar al general Drakkisath en la Cumbre de Roca Negra.,,Dragon,,
Blackrock Mountain,Corazón de llamas,Roba 2 cartas.Obtienes 4 p. de armadura.,3,Spell,BRMA_01,,,,,,,,,,,,,,
Blackrock Mountain,Coren Cerveza Temible,,,Hero,BRMA01_1H,,,,30,,,,,,,,,,
Blackrock Mountain,Coren Cerveza Temible,,,Hero,BRMA01_1,,,,30,,,,,,,,,,
Blackrock Mountain,Corruptor Alanegra,<b>Grito de batalla:</b> Inflige 3 p. de daño si hay un dragón en tu mano.,5,Minion,BRM_034,,Battlecry,5,4,True,Greg Staples,Common,Se puede crear tras derrotar a Maloriak en el Laboratorio Secreto.,Recibió ese nombre tras haberle dado a Alanegra unos cuantos cómics y unos discos de rock & roll.,Se desbloquea al derrotar a Maloriak en el Laboratorio Secreto.,,,,Neutral
Blackrock Mountain,Cría,,1,Minion,BRMA09_2t,,,1,1,,,,,,,,Dragon,,
Blackrock Mountain,Cría,,1,Minion,BRMA09_2Ht,,,2,2,,,,,,,,Dragon,,
Blackrock Mountain,Cría,,1,Minion,BRM_004t,,,1,1,,,,,,,,,,
Blackrock Mountain,Cría Crepuscular,<b>Grito de batalla:</b> Obtiene +2 p. de salud si hay un dragón en tu mano.,1,Minion,BRM_004,Priest,Battlecry,2,1,True,Sam Nielson,Common,Se puede crear tras completar el desafío de clase del sacerdote en la Montaña Roca Negra.,Las crías crepusculares son básicamente vampiros mágicos... ¡Nada que ver con cierta colección de novelas famosa!,Se desbloquea al completar el desafío de clase del sacerdote en la Montaña Roca Negra.,,Dragon,,
Blackrock Mountain,Cría negra,,1,Minion,BRM_022t,,,2,1,,Jaemin Kim,Common,,,,,Dragon,,
Blackrock Mountain,Desmontar,<b>Poder de héroe</b>Invoca a Gyth. Obtiene un nuevo poder de héroe.,4,Hero Power,BRMA09_5,,,,,,,,,,,,,,
Blackrock Mountain,Desmontar,<b>Poder de héroe</b>Invoca a Gyth. Obtiene un nuevo poder de héroe.,4,Hero Power,BRMA09_5H,,,,,,,,,,,,,,
Blackrock Mountain,Despiertallamas,Después de que lances un hechizo inflige 2 p. de daño que se dividen aleatoriamente entre todos los enemigos.,3,Minion,BRM_002,Mage,,2,4,True,Alex Horley Orlandelli,Rare,Se puede crear tras derrotar a Vaelastrasz en la Guarida de Alanegra.,Los despiertallamas odian que los confundan con caminallamas. Ellos despiertan el fuego no caminan sobre él. ¡Eso es de LOCOS!,Se desbloquea al derrotar a Vaelastrasz en la Guarida de Alanegra.,,,,
Blackrock Mountain,Destructor guardia de fuego,<b>Grito de batalla:</b> Obtiene 1-4 p. de ataque. <b>Sobrecarga:</b> (1),4,Minion,BRM_012,Shaman,Battlecry,3,6,True,Paul Mafayon,Common,Se puede crear tras derrotar a Lord Victor Nefarius en la Guarida de Alanegra.,Ragnaros entrevista a cientos de elementales de fuego para el puesto de &bdquo;Destructor&bdquo; pero muy pocos tienen lo que hay que tener.,Se desbloquea al derrotar a Lord Victor Nefarius en la Guarida de Alanegra.,,,,
Blackrock Mountain,Diablillo,,1,Minion,BRM_006t,Warlock,,1,1,,,,,,,,Demon,,
Blackrock Mountain,Disparo presuroso,Inflige $3 p. de daño.Si tu mano está vacía roba una carta.,2,Spell,BRM_013,Hunter,AffectedBySpellPower,,,True,Jonboy Meyers,Common,Se puede crear tras completar el desafío de clase del cazador en la Montaña Roca Negra.,Han disparó primero.,Se desbloquea al completar el desafío de clase del cazador en la Montaña Roca Negra.,,,,
Blackrock Mountain,Draco cromático,,4,Minion,BRMA10_5H,,,7,7,,,,,,,,,,
Blackrock Mountain,Draco cromático,,4,Minion,BRMA10_5,,,7,3,,,,,,,,,,
Blackrock Mountain,Draco volcánico,Cuesta (1) cristal menos por cada esbirro que haya muerto este turno.,6,Minion,BRM_025,,,6,4,True,Lucas Graciano,Common,Se puede crear tras derrotar al Sistema de Defensa de Omnitron en el Laboratorio Secreto.,Los dracos volcánicos escupen lava en vez de fuego... ¡y el vendedor de antiácido del Puesto del Torio está haciendo su agosto!,Se desbloquea al derrotar al Sistema de Defensa de Omnitron en el Laboratorio Secreto.,,Dragon,,
Blackrock Mountain,Dragón hambriento,<b>Grito de batalla:</b> Invoca a un esbirro aleatorio de coste 1 para tu oponente.,4,Minion,BRM_026,,Battlecry,5,6,True,John Polidora,Common,Se puede crear tras derrotar a Chromaggus en la Guarida de Alanegra.,Nunca juegues al parchís con un dragón. Se toman demasiado en serio lo de comerse al otro jugador.,Se desbloquea al derrotar a Chromaggus en la Guarida de Alanegra.,,Dragon,,
Blackrock Mountain,Dragonante,,1,Minion,BRMA09_4Ht,,,5,4,,,,,,,,Dragon,,
Blackrock Mountain,Dragonante,,1,Minion,BRMA09_4t,,,3,1,,,,,,,,Dragon,,
Blackrock Mountain,Dragonante cromático,Cada vez que tu oponente lanza un hechizo obtiene +2/+2.,2,Minion,BRMA12_8t,,,2,3,,,,,,,,Dragon,,
Blackrock Mountain,Dragonante cromático,,,Hero,BRMA12_9,,,,30,,,,,,,,,,
Blackrock Mountain,Druida de la Llama,<b>Elige una:</b> Se transforma en un esbirro 5/2 o bien en un esbirro 2/5.,3,Minion,BRM_010,Druid,,2,2,True,Stanley Lau,Common,Se puede crear tras derrotar a Garr en el Núcleo de Magma.,A menudo los confunden con los druidas de la Alpaca.,Se desbloquea al derrotar a Garr en el Núcleo de Magma.,,,,
Blackrock Mountain,Druida de la Llama,,3,Minion,BRM_010t2,Druid,,2,5,,Hideaki Takamura,Common,,,,,Beast,,
Blackrock Mountain,Druida de la Llama,,3,Minion,BRM_010t,Druid,,5,2,,Ben Zhang,Common,,,,,Beast,,
Blackrock Mountain,Ecolocalizar,<b>Poder de héroe</b>Equipa un arma que crece a medida que tu oponente juega sus cartas.,1,Hero Power,BRMA16_2,,,,,,,,,,,,,,
Blackrock Mountain,Ecolocalizar,<b>Poder de héroe</b>Equipa un arma que crece a medida que tu oponente juega sus cartas.,0,Hero Power,BRMA16_2H,,,,,,,,,,,,,,
Blackrock Mountain,El alquimista,<b>Poder de héroe pasivo</b>Cada vez que se invoca a un esbirro intercambia su ataque y su salud.,,Hero Power,BRMA15_2,,,,,,,,,,,,,,
Blackrock Mountain,El alquimista,<b>Poder de héroe pasivo</b>Se intercambian el ataque y la salud de los esbirros.Tus esbirros tienen +2/+2.,,Hero Power,BRMA15_2H,,,,,,,,,,,,,,
Blackrock Mountain,El auténtico Jefe de Guerra,Destruye a un esbirro legendario.,1,Spell,BRMA09_6,,,,,,,,,,,,,,
Blackrock Mountain,El Grajero,<b>Poder de héroe</b>Otorga +1 p. de salud a todos los huevos corruptos y luego invoca uno.,1,Hero Power,BRMA10_3,,,,,,,,,,,,,,
Blackrock Mountain,El Grajero,<b>Poder de héroe</b>Otorga +1 p. de salud a todos los huevos corruptos y luego invoca uno.,0,Hero Power,BRMA10_3H,,,,,,,,,,,,,,
Blackrock Mountain,El mayordomo,<b>Poder de héroe</b>Invoca a un acólito despiertallamas 3/3.,2,Hero Power,BRMA06_2H,,,,,,,,,,,,,,
Blackrock Mountain,El mayordomo,<b>Poder de héroe</b>Invoca a un acólito despiertallamas 1/3.,2,Hero Power,BRMA06_2,,,,,,,,,,,,,,
Blackrock Mountain,Electron,Todos los hechizos cuestan (3) cristales menos.,3,Minion,BRMA14_7,,Aura,5,5,,,Legendary,,,,True,Mech,,
Blackrock Mountain,Electron,Todos los hechizos cuestan (3) cristales menos.,3,Minion,BRMA14_7H,,,6,6,,,Legendary,,,,True,Mech,,
Blackrock Mountain,Emperador Thaurissan,,,Hero,BRMA03_1H,,,,30,,,,,,,,,,
Blackrock Mountain,Emperador Thaurissan,Al final de tu turno reduce (1) cristal el coste de las cartas en tu mano.,6,Minion,BRM_028,,,5,5,True,Wayne Reynolds,Legendary,Se puede crear tras completar las Profundidades de Roca Negra.,La segunda cosa de la que más se arrepiente es haber invocado a un Señor del Fuego malvado que esclavizó a su pueblo.,Se desbloquea al completar las Profundidades de Roca Negra.,True,,,
Blackrock Mountain,Emperador Thaurissan,,,Hero,BRMA03_1,,,,30,,,,,,,,,,
Blackrock Mountain,Ensamblaje osario,,1,Minion,BRMA17_6H,,,4,2,,,,,,,,,,
Blackrock Mountain,Ensamblaje osario,,1,Minion,BRMA17_6,,,2,1,,,,,,,,,,
Blackrock Mountain,Esbirros osarios,<b>Poder de héroe</b>Invoca dos ensamblajes osarios 4/2.,2,Hero Power,BRMA17_5H,,,,,,,,,,,,,,
Blackrock Mountain,Esbirros osarios,<b>Poder de héroe</b>Invoca dos ensamblajes osarios 2/1.,2,Hero Power,BRMA17_5,,,,,,,,,,,,,,
Blackrock Mountain,Esencia de lo Rojo,<b>Poder de héroe</b>Cada jugador roba 3 cartas. Obtiene un cristal de maná.,0,Hero Power,BRMA11_2H,,,,,,,,,,,,,,
Blackrock Mountain,Esencia de lo Rojo,<b>Poder de héroe</b>Cada jugador roba 2 cartas.,0,Hero Power,BRMA11_2,,,,,,,,,,,,,,
Blackrock Mountain,Espectador Hierro Negro,<b>Provocar</b>,1,Minion,BRMA02_2t,,Taunt,1,1,,,,,,,,,,
Blackrock Mountain,Faucemagma,<b>Provocar</b>,5,Minion,BRMA14_12,,Taunt,10,2,,,Legendary,,,,True,,,
Blackrock Mountain,Favor imperial,Cuesta (1) cristal menos.,,Enchantment,BRM_028e,,,,,,,,,,,,,,
Blackrock Mountain,Flagelo de cola,Inflige $4 p. de daño.,4,Spell,BRM_030t,,,,,,,,,,,,,,
Blackrock Mountain,Forma de felino de fuego,Se transforma en un esbirro 5/2.,,Spell,BRM_010a,Druid,,,,,,Common,,,,,Beast,,
Blackrock Mountain,Forma de halcón de fuego,Se transforma en un esbirro 2/5.,,Spell,BRM_010b,Druid,,,,,,Common,,,,,Beast,,
Blackrock Mountain,Forma verdadera,<b>Poder de héroe</b>¡Que comiencen los juegos!,1,Hero Power,BRMA13_2,,,,,,,,,,,,,,
Blackrock Mountain,Forma verdadera,<b>Poder de héroe</b>¡Que comiencen los juegos!,1,Hero Power,BRMA13_2H,,,,,,,,,,,,,,
Blackrock Mountain,Fundir,Ataque cambiado a 0 p. este turno.,,Enchantment,BRM_001e,Priest,OneTurnEffect,,,,,,,,,,,,
Blackrock Mountain,Furibundo de poder,+3/+3,,Enchantment,BRM_014e,Hunter,,,,,,,,,,,,,
Blackrock Mountain,Furibundo del Núcleo,<b>Grito de batalla:</b> Si tu mano está vacía obtiene +3/+3.,4,Minion,BRM_014,Hunter,Battlecry,4,4,True,Jomaro Kindred,Rare,Se puede crear tras derrotar al alto señor Omokk en la Cumbre de Roca Negra.,Solo un cazador muy especial sería capaz de aventurarse en las profundidades de un foso de lava y convencer al monstruo que allí mora de que vaya a casa con él y se convierta en una adorable mascota.,Se desbloquea al derrotar al alto señor Omokk en la Cumbre de Roca Negra.,,Beast,,
Blackrock Mountain,Garr,,,Hero,BRMA04_1,,,,30,,,,,,,,,,
Blackrock Mountain,Garr,,,Hero,BRMA04_1H,,,,45,,,,,,,,,,
Blackrock Mountain,Garra de Onyxia,,2,Weapon,BRMA17_9,,,2,,,,,,,,,,6,
Blackrock Mountain,Garras de Sangrevaja,Cada vez que un huevo corrupto muere obtiene +1 de ataque.,1,Weapon,BRMA10_6,,,1,,,,,,,,,,5,
Blackrock Mountain,General Drakkisath,,,Hero,BRMA08_1H,,,,50,,,,,,,,,,
Blackrock Mountain,General Drakkisath,,,Hero,BRMA08_1,,,,50,,,,,,,,,,
Blackrock Mountain,Gong resonante,Destruye el arma de tu oponente.,1,Spell,BRMA16_4,,,,,,,,,,,,,,
Blackrock Mountain,Grandes garras,+3/+3.,,Enchantment,BRM_024e,,,,,,,,,,,,,,
Blackrock Mountain,Gyth,,3,Minion,BRMA09_5Ht,,,8,8,,,Legendary,,,,True,Dragon,,
Blackrock Mountain,Gyth,,3,Minion,BRMA09_5t,,,8,4,,,Legendary,,,,True,Dragon,,
Blackrock Mountain,Hechicero dragonante,Obtiene +1/+1 cada vez que este esbirro es el objetivo de alguno de tus hechizos.,4,Minion,BRM_020,,,3,5,True,Edouard Guiton & Stuido HIVE,Common,Se puede crear tras derrotar a Nefarian en el Laboratorio Secreto.,Los hechiceros dragonantes siempre con su &bdquo;Soy un mago&bdquo; y los demás en plan &bdquo;¡Mecachis!&bdquo;.,Se desbloquea al derrotar a Nefarian en el Laboratorio Secreto.,,Dragon,,
Blackrock Mountain,Hijo del fuego,<b>Grito de batalla:</b> Inflige 6 p. de daño.,0,Minion,BRMA13_5,,Battlecry,6,3,,,,,,,,,,
Blackrock Mountain,HORA DE MACHACAR,Inflige $5 p. de daño a un enemigo aleatorio. Otorga 5 p. de armadura.,4,Spell,BRMA07_3,,,,,,,,,,,,,,
Blackrock Mountain,Huevo corrupto,Cuando este esbirro tiene 5 p. de salud o más eclosiona.,1,Minion,BRMA10_4H,,,0,3,,,,,,,,,,
Blackrock Mountain,Huevo corrupto,Cuando este esbirro tiene 4 p. de salud o más eclosiona.,1,Minion,BRMA10_4,,,0,1,,,,,,,,,,
Blackrock Mountain,Huevo de dragón,Cada vez que este esbirro recibe daño invoca a una cría 2/1.,1,Minion,BRM_022,,,0,2,True,Jaemin Kim,Rare,Se puede crear tras derrotar a Rend Puño Negro en la Cumbre de Roca Negra.,Piensa en ellos como munición para tu pistola dragón.,Se desbloquea al derrotar a Rend Puño Negro en la Cumbre de Roca Negra.,,,,
Blackrock Mountain,Ignición de maná,<b>Poder de héroe</b>Inflige 5 p. de daño al héroe enemigo si le queda maná sin usar.,0,Hero Power,BRMA05_2,,,,,,,,,,,,,,
Blackrock Mountain,Ignición de maná,<b>Poder de héroe</b>Inflige 10 p. de daño al héroe enemigo si le queda maná sin usar.,0,Hero Power,BRMA05_2H,,,,,,,,,,,,,,
Blackrock Mountain,Incubación,Salud aumentada.,,Enchantment,BRMA10_3e,,,,,,,,,,,,,,
Blackrock Mountain,Jefe de la banda de diablillos,Cada vez que este esbirro recibe daño invoca a un diablillo 1/1.,3,Minion,BRM_006,Warlock,,2,4,True,Steve Prescott,Common,Se puede crear tras derrotar al mayordomo Executus en el Núcleo de Magma.,A su banda de diablillos le encanta colarse en Ventormenta y llenar las paredes de la Torre de los Magos con grafitis de &bdquo;Ragnaros mola&bdquo;.,Se desbloquea al derrotar al mayordomo Executus en el Núcleo de Magma.,,Demon,,
Blackrock Mountain,Jurafuegos,<b>Último aliento:</b> Inflige 1 p. de daño al héroe enemigo por cada jurafuegos que haya muerto este turno.,0,Minion,BRMA04_3,,Deathrattle,0,5,,,,,,,,,,
Blackrock Mountain,Jurafuegos,<b>Último aliento:</b> Inflige 3 p. de daño al héroe enemigo por cada jurafuegos que haya muerto este turno.,0,Minion,BRMA04_3H,,Deathrattle,0,5,,,,,,,,,,
