SET,TYPE,ID,NAME,TEXT,COST,MECHANICS,COLLECTIBLE,ARTIST,RARITY,ATTACK,HEALTH,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,ELITE,RACE,DURABILITY
"Curse of Naxxramas","Minion","FP1_004","Científico loco","<b>Último aliento:</b> Coloca un <b>secreto</b> de tu mazo en el campo de batalla.",2,Deathrattle,True,"James Ryman","Common",2,2,"Se puede crear tras derrotar a Grobbulus en el Arrabal de los Ensamblajes.","Su madre quería que fuese mago o brujo pero noooo tenía que hacerse científico como su padre.","Se desbloquea al derrotar a Grobbulus en el Arrabal de los Ensamblajes.",,,,
"Curse of Naxxramas","Minion","FP1_022","Clamavacío","<b>Último aliento:</b> Coloca un demonio aleatorio de tu mano en el campo de batalla.",4,Deathrattle,True,"Robb Shoberg","Common",3,4,"Se puede crear tras completar el desafío de clase del brujo en Naxxramas.","¡Vacío vacío! ¡Ven aquí chico!","Se desbloquea al completar el desafío de clase del brujo en Naxxramas.","Warlock",,"Demon",
"Curse of Naxxramas","Enchantment","FP1_005e","Consumir","Estadísticas aumentadas.",,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX1h_04","Corretear","<b>Poder de héroe</b>
Invoca un nerubiano 4/4.",2,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX1_04","Corretear","<b>Poder de héroe</b>
Invoca un nerubiano 3/1.",2,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX8_02","Cosechar","<b>Poder de héroe</b>
Roba una carta.",2,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX8_02H","Cosechar","<b>Poder de héroe</b>
Roba una carta. Obtiene un cristal de maná.",1,,,,,,,,,,,,,
"Curse of Naxxramas","Enchantment","NAX6_03te","Crecimiento fúngico","Ataque aumentado.",,,,,,,,,,,,,,
"Curse of Naxxramas","Spell","NAX7_05","Cristal de control mental","¡Activa el cristal para controlar a los suplentes!",1,,,,,,,,,,,,,
"Curse of Naxxramas","Minion","FP1_023","Cultor oscuro","<b>Último aliento:</b> Otorga +3 p. de salud a un esbirro amistoso aleatorio.",3,Deathrattle,True,"Phroilan Gardner","Common",3,4,"Se puede crear tras completar el desafío de clase del sacerdote en Naxxramas.","El Culto de los Malditos se está dando cuenta de que es mejor no decir el nombre de la secta al reclutar nuevos adeptos.","Se desbloquea al completar el desafío de clase del sacerdote en Naxxramas.","Priest",,,
"Curse of Naxxramas","Minion","FP1_006","Destrero de la muerte","<b>Cargar. Último aliento:</b> Inflige 3 p. de daño a tu héroe.",1,Charge|Deathrattle,,,,2,3,,,,,,,
"Curse of Naxxramas","Enchantment","NAX12_03e","Dientes adicionales","Ataque aumentado.",,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX12_02H","Diezmar","<b>Poder de héroe</b>
Cambia la salud de los esbirros enemigos a 1 p.",0,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX12_02","Diezmar","<b>Poder de héroe</b>
Cambia la salud de todos los esbirros a 1 p.",2,,,,,,,,,,,,,
"Curse of Naxxramas","Enchantment","NAX12_02e","Diezmar","Salud cambiada a 1 p.",,,,,,,,,,,,,,
"Curse of Naxxramas","Spell","FP1_018","Duplicar","<b>Secreto:</b> Cuando un esbirro amistoso muere coloca 2 copias del mismo en tu mano.",3,Secret,True,"Alex Garner","Common",,,"Se puede crear tras completar el desafío de clase del mago en Naxxramas.","¡La única forma de duplicar cartas sin que te baneen!","Se desbloquea al completar el desafío de clase del mago en Naxxramas.","Mage",,,
"Curse of Naxxramas","Minion","FP1_003","Eco de moco","<b>Grito de batalla:</b> Invoca una copia exacta de este esbirro al final del turno.",2,Battlecry,True,"Eric Browning","Epic",1,2,"Se puede crear tras derrotar a Sapphiron en la Guarida de la Vermis.","MOCO... Moco... moco... (moco...)","Se desbloquea al derrotar a Sapphiron en la Guarida de la Vermis.",,,,
"Curse of Naxxramas","Minion","FP1_026","Emboscador Anub'ar","<b>Último aliento:</b> Devuelve a un esbirro amistoso aleatorio a tu mano.",4,Deathrattle,True,"Nate Bowden","Common",5,5,"Se puede crear tras completar el desafío de clase del pícaro en Naxxramas.","Al principio se llamaba "Tío que devuelve a un esbirro a tu mano Anub'ar" pero no sonaba muy bien.","Se desbloquea al completar el desafío de clase del pícaro en Naxxramas.","Rogue",,,
"Curse of Naxxramas","Enchantment","NAX12_04e","Enfurecer","+6 p. de ataque este turno.",,OneTurnEffect,,,,,,,,,,,,
"Curse of Naxxramas","Spell","NAX12_04","Enfurecer","Otorga +6 p. de ataque a tu héroe este turno.",3,,,,,,,,,,,,,
"Curse of Naxxramas","Spell","NAX1_05","Enjambre de langostas","Inflige $3 p. de daño a todos los esbirros enemigos. Restaura #3 p. de salud a tu héroe.",7,,,,,,,,,,,,,
"Curse of Naxxramas","Minion","FP1_028","Enterrador","Obtiene +1 p. de ataque cada vez que invocas a un esbirro con <b>Último aliento</b>.",1,,True,"Jonboy Meyers","Common",1,2,"Se puede crear tras derrotar a Remendejo en el Arrabal de los Ensamblajes.",""Hazte enterrador"  dijeron. "Tendrás mucho trabajo"  dijeron. Maldito Ángel de la Resurrección...","Se desbloquea al derrotar a Remendejo en el Arrabal de los Ensamblajes.",,,,
"Curse of Naxxramas","Minion","FP1_012","Eructador de lodo","<b>Provocar.
Último aliento:</b> Invoca una babosa 1/2 con <b>Provocar</b>.",5,Deathrattle|Taunt,True,"Nate Bowden","Rare",3,5,"Se puede crear tras derrotar a Loatheb en el Arrabal de la Peste.","¡¿Pero qué come?!","Se desbloquea al derrotar a Loatheb en el Arrabal de la Peste.",,,,
"Curse of Naxxramas","Hero Power","NAX5_02","Erupción","<b>Poder de héroe</b>
Inflige 2 p. de daño al primer esbirro enemigo por la izquierda.",1,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX5_02H","Erupción","<b>Poder de héroe</b>
Inflige 3 p. de daño al primer esbirro enemigo por la izquierda.",0,,,,,,,,,,,,,
"Curse of Naxxramas","Enchantment","NAX15_04a","Esclavo de Kel'Thuzad","¡A LA SACA!",,,,,,,,,,,,,,
"Curse of Naxxramas","Minion","FP1_029","Espadas danzantes","<b>Último aliento:</b> Tu oponente roba una carta.",3,Deathrattle,True,"Jon McConnell","Common",4,4,"Se puede crear tras derrotar al instructor Razuvious en el Arrabal Militar.","Ellas quieren marcha marcha.","Se desbloquea al derrotar al instructor Raxuvious en el Arrabal Militar.",,,,
"Curse of Naxxramas","Minion","NAX6_03t","Espora","<b>Último aliento:</b> Otorga +8 p. de ataque a todos los esbirros enemigos.",0,Deathrattle,,,,0,1,,,,,,,
"Curse of Naxxramas","Minion","NAX4_03","Esqueleto",,1,,,,,1,1,,,,,,,
"Curse of Naxxramas","Minion","NAX4_03H","Esqueleto",,5,,,,,5,5,,,,,,,
"Curse of Naxxramas","Hero Power","NAX15_02","Explosión de Escarcha","<b>Poder de héroe</b>
Inflige 2 p. de daño al héroe enemigo y lo <b>congela</b>.",0,Freeze,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX15_02H","Explosión de Escarcha","<b>Poder de héroe</b>
Inflige 3 p. de daño al héroe enemigo y lo <b>congela</b>.",0,Freeze,,,,,,,,,,,,
"Curse of Naxxramas","Minion","FP1_015","Feugen","<b>Último aliento:</b> Si Stalagg también ha muerto durante esta partida invoca a Thaddius.",5,Deathrattle,True,"Dany Orizio","Legendary",4,7,"Se puede crear tras completar el Arrabal de los Ensamblajes.","Feugen está deprimido porque todo el mundo prefiere a Stalagg.","Se desbloquea al completar el Arrabal de los Ensamblajes.",,True,,
"Curse of Naxxramas","Minion","NAX13_04H","Feugen",,5,,,,"Legendary",4,7,,,,,True,,
"Curse of Naxxramas","Spell","NAX6_03","Flor de muerte","Inflige $5 p. de daño a un esbirro. Invoca una espora.",4,,,,,,,,,,,,,
"Curse of Naxxramas","Spell","NAX14_04","Frío puro","Inflige $8 p. de daño al héroe enemigo y lo <b>congela</b>.",5,Freeze,,,,,,,,,,,,
"Curse of Naxxramas","Weapon","NAX10_02H","Gancho","<b>Viento Furioso</b>
<b>Último aliento:</b> Coloca esta carta en tu mano.",3,Deathrattle|Windfury,,,,4,,,,,,,,8
"Curse of Naxxramas","Weapon","NAX10_02","Gancho","<b>Último aliento:</b> Coloca esta arma en tu mano.",3,Deathrattle,,,,5,,,,,,,,8
"Curse of Naxxramas","Minion","FP1_027","Gárgola piel de piedra","Al comienzo de tu turno restaura toda la salud de este esbirro.",3,,True,"Matt Smith","Common",1,4,"Se puede crear tras derrotar a Noth el Pesteador en el Arrabal de la Peste.","El juego favorito de las gárgolas es el escondite inglés.","Se desbloquea al derrotar a Noth el Pesteador en el Arrabal de la Peste.",,,,
"Curse of Naxxramas","Hero","NAX12_01H","Gluth",,,,,,,,45,,,,,,,
"Curse of Naxxramas","Hero","NAX12_01","Gluth",,,,,,,,30,,,,,,,
"Curse of Naxxramas","Hero Power","NAX10_03","Golpe de odio","<b>Poder de héroe</b>
Destruye a un esbirro.",4,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX10_03H","Golpe de odio","<b>Poder de héroe</b>
Destruye a un esbirro.",4,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX7_03H","Golpe desequilibrante","<b>Poder de héroe</b>
Inflige 4 p. de daño.",1,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX7_03","Golpe desequilibrante","<b>Poder de héroe</b>
Inflige 3 p. de daño.",2,,,,,,,,,,,,,
"Curse of Naxxramas","Hero","NAX8_01","Gothik el Cosechador",,,,,,,,30,,,,,,,
"Curse of Naxxramas","Hero","NAX8_01H","Gothik el Cosechador",,,,,,,,45,,,,,,,
"Curse of Naxxramas","Hero","NAX2_01H","Gran Viuda Faerlina",,,,,,,,45,,,,,,,
"Curse of Naxxramas","Hero","NAX2_01","Gran Viuda Faerlina",,,,,,,,30,,,,,,,
"Curse of Naxxramas","Hero","NAX11_01","Grobbulus",,,,,,,,30,,,,,,,
"Curse of Naxxramas","Hero","NAX11_01H","Grobbulus",,,,,,,,45,,,,,,,
"Curse of Naxxramas","Minion","NAX15_03t","Guardián de Corona de Hielo","<b>Provocar</b>",4,Taunt,,,,5,5,,,,,,,
"Curse of Naxxramas","Minion","NAX15_03n","Guardián de Corona de Hielo","<b>Provocar</b>",4,Taunt,,,,3,3,,,,,,,
"Curse of Naxxramas","Minion","NAX8_04t","Guerrero espectral","Al comienzo de tu turno inflige 1 p. de daño a tu héroe.",3,,,,,0,4,,,,,,,
"Curse of Naxxramas","Minion","NAX8_04","Guerrero implacable","<b>Último aliento:</b> Invoca a un guerrero espectral para tu oponente.",3,Deathrattle,,,,3,4,,,,,,,
"Curse of Naxxramas","Hero","NAX5_01H","Heigan el Impuro",,,,,,,,45,,,,"Warlock",,,
"Curse of Naxxramas","Hero","NAX5_01","Heigan el Impuro",,,,,,,,30,,,,"Warlock",,,
"Curse of Naxxramas","Minion","NAXM_002","Herrero esquelético","<b>Último aliento:</b> Destruye el arma de tu oponente.",3,Deathrattle,,,,4,3,,,,,,,
"Curse of Naxxramas","Weapon","NAX9_05","Hojarruna","Tiene +3 p. de ataque si los demás jinetes han muerto.",3,,,,,1,,,,,,,,3
"Curse of Naxxramas","Weapon","NAX9_05H","Hojarruna","Tiene +6 p. de ataque si los demás jinetes han muerto.",3,,,,,2,,,,,,,,3
"Curse of Naxxramas","Weapon","NAX7_04","Hojarruna enorme","Inflige el doble de daño a héroes.",3,,,,,5,,,,,,,,2
"Curse of Naxxramas","Weapon","NAX7_04H","Hojarruna enorme","Inflige el doble de daño a héroes.",3,,,,,10,,,,,,,,2
"Curse of Naxxramas","Minion","FP1_007","Huevo nerubiano","<b>Último aliento:</b> Invoca un nerubiano 4/4.",2,Deathrattle,True,"Justin Thavirat","Rare",0,2,"Se puede crear tras derrotar a Maexxna en el Arrabal Arácnido.","Los huevos son una buena fuente de proteínas y nerubianos.","Se desbloquea al derrotar a Maexxna en el Arrabal Arácnido.",,,,
"Curse of Naxxramas","Hero","NAX7_01","Instructor Razuvious",,,,,,,,40,,,,,,,
"Curse of Naxxramas","Hero","NAX7_01H","Instructor Razuvious",,,,,,,,55,,,,,,,
"Curse of Naxxramas","Spell","NAX11_04","Inyección mutante","Otorga +4/+4 y <b>Provocar</b> a un esbirro.",3,,,,,,,,,,,,,
"Curse of Naxxramas","Enchantment","NAX11_04e","Inyección mutante","+4/+4 y <b>Provocar</b>.",,,,,,,,,,,,,,
"Curse of Naxxramas","Minion","NAX8_05t","Jinete espectral","Al comienzo de tu turno inflige 1 p. de daño a tu héroe.",5,,,,,0,6,,,,,,,
"Curse of Naxxramas","Minion","NAX8_05","Jinete inflexible","<b>Último aliento:</b> Invoca a un jinete espectral para tu oponente.",6,Deathrattle,,,,5,6,,,,,,,
"Curse of Naxxramas","Minion","FP1_013","Kel'Thuzad","Al final de cada turno invoca a todos los esbirros amistosos que han muerto este turno.",8,,True,"Chris Robinson","Legendary",6,8,"¡Se puede crear tras derrotar a todos los jefes de Naxxramas!","Kel'Thuzad no pudo resistirse a la llamada del Rey Exánime. Ni siquiera cuando eran teleoperadores haciendo encuestas sobre la Plaga.","¡Se desbloquea al derrotar a todos los jefes de Naxxramas!",,True,,
"Curse of Naxxramas","Hero","NAX15_01H","Kel'Thuzad",,,,,,,,45,,,,,,,
"Curse of Naxxramas","Hero","NAX15_01","Kel'Thuzad",,,,,,,,30,,,,,,,
"Curse of Naxxramas","Enchantment","FP1_028e","La oscuridad me llama","Estadísticas aumentadas.",,,,,,,,,,,,,,
"Curse of Naxxramas","Minion","NAX9_02","Lady Blaumeux","Tu héroe es <b>inmune</b>.",3,,,,,1,7,,,,,True,,
"Curse of Naxxramas","Minion","NAX9_02H","Lady Blaumeux","Tu héroe es <b>inmune</b>.",3,,,,,2,7,,,,,True,,
"Curse of Naxxramas","Hero Power","NAX4_04H","Levantar a muerto","<b>Poder de héroe pasivo</b>
Cada vez que un enemigo muere invoca un esqueleto 5/5.",0,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX4_04","Levantar muerto","<b>Poder de héroe pasivo</b>
Cada vez que un enemigo muere invoca un esqueleto 1/1.",0,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX2_03","Lluvia de Fuego","<b>Poder de héroe</b>
Lanza un proyectil por cada carta que haya en la mano del oponente.",2,ImmuneToSpellpower,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX2_03H","Lluvia de Fuego","<b>Poder de héroe</b>
Lanza un proyectil por cada carta en la mano del oponente.",1,ImmuneToSpellpower,,,,,,,,,,,,
"Curse of Naxxramas","Minion","FP1_030","Loatheb","<b>Grito de batalla:</b> Los hechizos enemigos cuestan (5) cristales más el próximo turno.",5,Battlecry,True,"Samwise","Legendary",5,5,"Se puede crear tras completar el Arrabal de la Peste.","Antes Loatheb era una bestia del pantano como cualquier otra. Cuando decimos que hay que regular más la minería y la agricultura no es broma.","Se desbloquea al completar el Arrabal de la Peste.",,True,,
"Curse of Naxxramas","Hero","NAX6_01H","Loatheb",,,,,,,,99,,,,,,,
"Curse of Naxxramas","Hero","NAX6_01","Loatheb",,,,,,,,75,,,,,,,
"Curse of Naxxramas","Hero","NAX3_01H","Maexxna",,,,,,,,45,,,,,,,
"Curse of Naxxramas","Minion","FP1_010","Maexxna","Destruye a cualquier esbirro dañado por este esbirro.",6,Poisonous,True,"Howard Lyon","Legendary",2,8,"Se puede crear tras completar el Arrabal Arácnido.","A Maexxna la saca de sus casillas que la gente la llame "Maxy" o "El bicho ese".","Se desbloquea al completar el Arrabal Arácnido.",,True,"Beast",
"Curse of Naxxramas","Hero","NAX3_01","Maexxna",,,,,,,,30,,,,,,,
"Curse of Naxxramas","Weapon","NAX12_03H","Mandíbulas","Cada vez que muere un esbirro con <b>Último aliento</b> obtiene +2 p. de ataque.",1,,,,,3,,,,,,,,5
"Curse of Naxxramas","Weapon","NAX12_03","Mandíbulas","Cada vez que muere un esbirro con <b>Último aliento</b> obtiene +2 p. de ataque.",1,,,,,1,,,,,,,,5
"Curse of Naxxramas","Spell","NAX9_07","Marca de los jinetes","Otorga +1/+1 a tus esbirros y a tu arma.",5,,,,,,,,,,,,,
"Curse of Naxxramas","Enchantment","NAX9_07e","Marca de los jinetes","+1/+1.",,,,,,,,,,,,,,
"Curse of Naxxramas","Spell","NAX5_03","Mentapocalipsis","Ambos jugadores roban 2 cartas y obtienen un cristal de maná.",2,,,,,,,,,,,,,
"Curse of Naxxramas","Minion","NAXM_001","Necrocaballero","<b>Último aliento:</b> Los esbirros adyacentes a este también mueren.",4,Deathrattle,,,,5,6,,,,,,,
"Curse of Naxxramas","Minion","FP1_024","Necrófago inestable","<b>Provocar</b>. <b>Último aliento:</b> Inflige 1 p. de daño a todos los esbirros.",2,Deathrattle|Taunt,True,"Mike Nicholson","Common",1,3,"Se puede crear tras derrotar a Heigan el Impuro en el Arrabal de la Peste.","Llenar a los necrófagos de dinamita es el último grito en la academia de nigromantes.","Se desbloquea al derrotar a Heigan el Impuro en el Arrabal de la Peste.",,,,
"Curse of Naxxramas","Minion","NAX1_03","Nerubiano",,2,,,,,3,1,,,,,,,
"Curse of Naxxramas","Minion","NAX1h_03","Nerubiano",,2,,,,,4,4,,,,,,,
"Curse of Naxxramas","Minion","FP1_007t","Nerubiano",,3,,,,"Rare",4,4,,,,,,,
"Curse of Naxxramas","Hero","NAX4_01H","Noth el Pesteador",,,,,,,,45,,,,"Mage",,,
"Curse of Naxxramas","Hero","NAX4_01","Noth el Pesteador",,,,,,,,30,,,,"Mage",,,
"Curse of Naxxramas","Hero Power","NAX11_02","Nube de veneno","<b>Poder de héroe</b>
Inflige 1 p. de daño a todos los esbirros. Si alguno muere invoca una babosa.",2,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX11_02H","Nube de veneno","<b>Poder de héroe</b>
Inflige 2 p. de daño a todos los enemigos. Si alguno muere invoca una babosa.",0,,,,,,,,,,,,,
"Curse of Naxxramas","Spell","NAX4_05","Peste","Destruye a todos los esbirros que no sean esqueletos.",6,,,,,,,,,,,,,
"Curse of Naxxramas","Weapon","FP1_021","Picadura de la Muerte","<b>Último aliento:</b> Inflige 1 p. de daño a todos los esbirros.",4,Deathrattle,True,"Jim Nelson","Common",4,,"Se puede crear tras completar el desafío de clase del guerrero en Naxxramas.",""Prueba. Está de muerte". - Señor de la Muerte Fiámbrez","Se desbloquea al completar el desafío de clase del guerrero en Naxxramas.","Warrior",,,2
"Curse of Naxxramas","Enchantment","FP1_023e","Poder del zigurat","+3 p. de salud.",,,,,,,,,,,"Priest",,,
"Curse of Naxxramas","Enchantment","NAX13_02e","Polaridad","Ataque y salud intercambiados.",,,,,,,,,,,,,,
"Curse of Naxxramas","Minion","NAX8_03t","Practicante espectral","Al comienzo de tu turno inflige 1 p. de daño a tu héroe.",1,,,,,0,2,,,,,,,
"Curse of Naxxramas","Minion","NAX8_03","Practicante inflexible","<b>Último aliento:</b> Invoca a un practicante espectral para tu oponente.",1,Deathrattle,,,,2,2,,,,,,,
"Curse of Naxxramas","Spell","NAX6_04","Ráfaga de esporas","Inflige $1 p. de daño a todos los esbirros enemigos. Invoca una espora.",1,,,,,,,,,,,,,
"Curse of Naxxramas","Spell","FP1_025","Reencarnar","Destruye a un esbirro y lo devuelve a la vida con toda su salud.",2,,True,"Dan Scott","Common",,,"Se puede crear tras completar el desafío de clase del chamán en Naxxramas.","Es como nacer solo que siendo adulto y tras haber muerto hace un rato.","Se desbloquea al completar el desafío de clase del chamán en Naxxramas.","Shaman",,,
"Curse of Naxxramas","Hero","NAX10_01","Remendejo",,,,,,,,30,,,,,,,
"Curse of Naxxramas","Hero","NAX10_01H","Remendejo",,,,,,,,45,,,,,,,
"Curse of Naxxramas","Hero","NAX14_01","Sapphiron",,,,,,,,30,,,,,,,
"Curse of Naxxramas","Hero","NAX14_01H","Sapphiron",,,,,,,,45,,,,,,,
"Curse of Naxxramas","Spell","FP1_019","Semillas venenosas","Destruye a todos los esbirros y los sustituye con antárboles 2/2.",4,,True,"Brian Despain","Common",,,"Se puede crear tras completar el desafío de clase del druida en Naxxramas.","El pan de semillas venenosas es el producto menos vendido de la Panadería Druídica de Zen'Kiki.","Se desbloquea al completar el desafío de clase del druida en Naxxramas.","Druid",,,
"Curse of Naxxramas","Minion","FP1_009","Señor de la Muerte","<b>Provocar. Último aliento:</b> Tu oponente coloca un esbirro de su mazo en el campo de batalla.",3,Deathrattle|Taunt,True,"Ben Olson","Rare",2,8,"Se puede crear tras derrotar a Los Cuatro Jinetes en el Arrabal Militar.",""¡Álzate de la tumba!". - Kel'Thuzad","Se desbloquea al derrotar a Los Cuatro Jinetes en el Arrabal Militar.",,,,
"Curse of Naxxramas","Minion","NAX9_03","Señor feudal Korth'azz","Tu héroe es <b>inmune</b>.",3,,,,,1,7,,,,,True,,
"Curse of Naxxramas","Minion","NAX9_03H","Señor feudal Korth'azz","Tu héroe es <b>inmune</b>.",3,,,,,2,7,,,,,True,,
"Curse of Naxxramas","Minion","FP1_017","Señor telaraña Nerub'ar","Los esbirros con <b>Grito de batalla</b> cuestan (2) cristales más.",2,Aura,True,"Alex Horley Orlandelli","Common",1,4,"Se puede crear tras derrotar a la Gran Viuda Faerlina en el Arrabal Arácnido.","Los señores telaraña se pasan la vida fabricando camas elásticas para los parques.","Se desbloquea al derrotar a la Gran Viuda Faerlina en el Arrabal Arácnido.",,,,
"Curse of Naxxramas","Minion","NAX9_04H","Sir Zeliek","Tu héroe es <b>inmune</b>.",3,,,,,2,7,,,,,True,,
"Curse of Naxxramas","Minion","NAX9_04","Sir Zeliek","Tu héroe es <b>inmune</b>.",3,,,,,1,7,,,,,True,,
"Curse of Naxxramas","Minion","FP1_005","Sombra de Naxxramas","<b>Sigilo.</b> Al comienzo de tu turno obtiene +1/+1.",3,Stealth,True,"Ittoku Seta","Epic",2,2,"Se puede crear tras derrotar a Kel'Thuzad en la Guarida de la Vermis.","Las sombras de Naxxramas <i>odian</i> a los vivos. Hasta tienen un insulto propio para ellos: <i>vivoncios</i>.","Se desbloquea al derrotar a Kel'Thuzad en la Guarida de la Vermis.",,,,
"Curse of Naxxramas","Hero Power","NAX9_06","Sombra impía","<b>Poder de héroe</b>
Roba 2 cartas.",5,,,,,,,,,,,,,
"Curse of Naxxramas","Minion","NAX13_05H","Stalagg",,5,,,,"Legendary",7,4,,,,,True,,
"Curse of Naxxramas","Minion","FP1_014","Stalagg","<b>Último aliento:</b> Si Feugen también ha muerto durante esta partida invoca a Thaddius.",5,Deathrattle,True,"Dany Orizio","Legendary",7,4,"Se puede crear tras completar el Arrabal de los Ensamblajes.","Stalagg querer escribir texto de carta. "STALAGG MOLA".","Se desbloquea al completar el Arrabal de los Ensamblajes.",,True,,
"Curse of Naxxramas","Spell","NAX13_03","Supercarga","Otorga +2 p. de salud a tus esbirros.",2,,,,,,,,,,,,,
"Curse of Naxxramas","Enchantment","NAX13_03e","Supercargado","+2 p. de salud.",,,,,,,,,,,,,,
"Curse of Naxxramas","Minion","NAX7_02","Suplente","<b>Provocar</b>",2,Taunt,,,,0,7,,,,,,,
"Curse of Naxxramas","Minion","FP1_011","Tejerred","<b>Último aliento:</b> Añade una carta de bestia aleatoria a tu mano.",1,Deathrattle,True,"Dan Brereton","Common",1,1,"Se puede crear tras completar el desafío de clase del cazador en Naxxramas.","¡Las crisálidas de las arañas son como pequeñas piñatas!","Se desbloquea al completar el desafío de clase del cazador en Naxxramas.","Hunter",,"Beast",
"Curse of Naxxramas","Minion","FP1_014t","Thaddius",,10,,,,"Legendary",11,11,,,,,True,,
"Curse of Naxxramas","Hero","NAX13_01H","Thaddius",,,,,,,,45,,,,,,,
"Curse of Naxxramas","Hero","NAX13_01","Thaddius",,,,,,,,30,,,,,,,
