SET,NAME,TEXT,RARITY,COST,TYPE,ID,MECHANICS,FACTION,HEALTH,INPLAYTEXT,ATTACK,PLAYERCLASS,DURABILITY,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
"Classic","¡Mrgglaargl!","El líder de guerra múrloc otorga +2/+1.",,,"Enchantment","EX1_507e",,,,,,,,,,,,,,
"Classic","¡Sube de nivel!","Ataque y salud aumentados.",,,"Enchantment","EX1_044e",,,,,,,,,,,,,,
"Classic","Abominación","<b>Provocar</b>. <b>Último aliento:</b> Inflige 2 p. de daño a todos los personajes.","Rare",5,"Minion","EX1_097",Deathrattle|Taunt,"Neutral",4,,4,,,True,"Alex Horley Orlandelli","La olerás mucho antes de verla.",,,,
"Classic","Acaparador de botín","<b>Último aliento:</b> Roba una carta.","Common",2,"Minion","EX1_096",Deathrattle,"Neutral",1,,2,,,True,"Jim Nelson","Le dará a necesidad digas lo que digas.",,,,
"Classic","Acólito de dolor","Roba una carta cada vez que este esbirro recibe daño.","Common",3,"Minion","EX1_007",,,3,,1,,,True,"Dave Kendall","Cuando era joven intentó buscar trabajo como acólito de la alegría pero la economía lo convirtió en lo que es ahora.",,,,
"Classic","Adicta al maná","Cada vez que lanzas un hechizo obtiene +2 p. de ataque este turno.","Rare",2,"Minion","EX1_055",,"Alliance",3,"",1,,,True,"Hideaki Takamura","Está intentando dejarlo pero sigue tomando maná cuando tiene un día duro.",,,,
"Classic","Afilada","+1 p. de durabilidad.",,,"Enchantment","CS2_146o",,,,,,,,,,,,,,
"Classic","Agente del IV:7","<b>Combo:</b> Inflige 2 p. de daño.","Rare",3,"Minion","EX1_134",Combo,"Neutral",3,,3,"Rogue",,True,"Chris Moeller","Los agentes del IV:7 son los espías de Ventormenta. Este es el día más largo de su vida.",,,,
"Classic","Al'Akir Señor del Viento","<b>Viento Furioso Cargar Escudo divino Provocar</b>","Legendary",8,"Minion","NEW1_010",Charge|Divine Shield|Taunt|Windfury,,5,,3,"Shaman",,True,"Raymond Swanland","Es el más débil de los cuatro señores elementales y los otros tres no dejan de recordárselo.",True,,,
"Classic","Alamuerte","<b>Grito de batalla:</b> Destruye a todos los demás esbirros y descarta tu mano.","Legendary",10,"Minion","NEW1_030",Battlecry,,12,,12,,,True,"Bernie Kang","Alamuerte ha venido a Hearthstone para desencadenar... EL CARTACLISMO.",True,"Dragon",,
"Classic","Alexstrasza","<b>Grito de batalla:</b> Fija la salud restante de un héroe en 15 p.","Legendary",9,"Minion","EX1_561",Battlecry,"Neutral",8,,8,,,True,"Raymond Swanland","Alexstrasza la Protectora trae vida y esperanza para todo el mundo. Menos para Alamuerte. Y Malygos. Y Nekros.",True,"Dragon",,
"Classic","Alma del bosque","Otorga a tus esbirros "<b>Último aliento:</b> Invoca a un antárbol 2/2".","Common",4,"Spell","EX1_158",,"Neutral",,,,"Druid",,True,"Markus Erdt","La reforestación acaba de convertirse en un concepto aterrador.",,,,
"Classic","Alma del bosque","Último aliento: Invoca a un antárbol 2/2.",,,"Enchantment","EX1_158e",,,,,,"Druid",,,,,,,,
"Classic","Alquimista loco","<b>Grito de batalla:</b> Intercambia el ataque y la salud de un esbirro.","Rare",2,"Minion","EX1_059",Battlecry,"Neutral",2,,2,,,True,"Tom Fleming",""¡Te va a encantar esta receta!". Sí especialmente si no estás satisfecho con tu cantidad actual de extremidades.",,,,
"Classic","Aluvión de acero","Destruye tu arma e inflige su daño a todos los enemigos.","Rare",2,"Spell","CS2_233",AffectedBySpellPower,"Neutral",,,,"Rogue",,True,"Hideaki Takamura",""Oye no se trata solo de agitar dagas muy rápido. Es mucho más complicado". - Shan instructor de pícaros",,,,
"Classic","Anciano de la guerra","<b>Elige una:</b> +5 p. de ataque o bien +5 p. de salud y <b>Provocar</b>.","Epic",7,"Minion","EX1_178",,"Neutral",5,,5,"Druid",,True,"Sean O’Daniels","Siempre se va por las ramas.",,,,
"Classic","Anciano del Conocimiento","<b>Elige una:</b> Roba 2 cartas o bien restaura 5 p. de salud.","Epic",7,"Minion","NEW1_008",,,5,,5,"Druid",,True,"Patrik Hjelm","Tiene más de anciano que de conocimiento.",,,,
"Classic","Ánima de maná","Todos los esbirros cuestan (1) cristal más.","Rare",2,"Minion","EX1_616",Aura,"Neutral",2,,2,,,True,"Luca Zontini","Se manifiestan por las noches para devorar los cristales de maná que sobran de las partidas.",,,,
"Classic","Antárbol","<b>Cargar</b>. Al final del turno destruye a este esbirro.","Common",1,"Minion","EX1_tk9",Charge,"Neutral",2,,2,"Druid",,,,,,,,
"Classic","Antárbol",,,1,"Minion","EX1_158t",,"Neutral",2,,2,"Druid",,,,,,,,
"Classic","Antárbol","<b>Provocar</b>",,1,"Minion","EX1_573t",Taunt,,2,,2,"Druid",,,,,,,,
"Classic","Aprendiz violeta",,,0,"Minion","NEW1_026t",,,1,,1,,,,,,,,,
"Classic","Aprendiza de hechicera","Tus hechizos cuestan (1) cristal menos.","Common",2,"Minion","EX1_608",Aura,"Neutral",2,,3,"Mage",,True,"Alex Horley Orlandelli","Tiene prohibido encantar escobas.",,,,
"Classic","Arcanista etéreo","Si controlas un <b>secreto</b> al final de tu turno obtiene +2/+2.","Rare",4,"Minion","EX1_274",,,3,,3,"Mage",,True,"Michael Komarck","Los etéreos se envuelven en tela para dar forma a su masa incorpórea... y además es tan suave y calentita.",False,,,
"Classic","Archimago Antonidas","Cada vez que lanzas un hechizo añade un hechizo "Bola de Fuego" a tu mano.","Legendary",7,"Minion","EX1_559",,"Neutral",7,"",5,"Mage",,True,"Wayne Reynolds","Antonidas fue el gran mago del Kirin Tor y el mentor de Jaina. Todo esto antes de convertirse en monumento conmemorativo.",True,,,
"Classic","Arco de cuerno de águila","Obtiene +1 p. de durabilidad cada vez que se revela un <b>secreto</b> amistoso.","Rare",3,"Weapon","EX1_536",,,,,3,"Hunter",2,True,"Cyril Van Der Haegen","Primera lección: las flechas se clavan en los malos.",,,,
"Classic","Arco largo de Gladiador","Tu héroe es <b>inmune</b> al atacar.","Epic",7,"Weapon","DS1_188",,"Neutral",,,5,"Hunter",2,True,"Peter C. Lee","El arco largo permite disparar desde mayores distancias y es muy útil para eliminar a objetivos particularmente apestosos.",,,,
"Classic","Ardilla",,"Common",1,"Minion","EX1_tk28",,"Neutral",1,,1,,,,,,,"Beast",,
"Classic","Armera de Arathi","<b>Grito de batalla:</b> Equipa un arma 2/2.","Common",4,"Minion","EX1_398",Battlecry,"Neutral",3,,3,"Warrior",,True,"Samwise","¡Es una orca asesina!",,,,
"Classic","Arpía Viento Furioso","<b>Viento Furioso</b>","Common",6,"Minion","EX1_033",Windfury,"Alliance",5,,4,,,True,"Luke Mancini","Las arpías no son aves cantoras precisamente.",,,,
"Classic","Arrepentimiento","<b>Secreto:</b> Cuando tu oponente juega un esbirro reduce su salud a 1 p.","Common",1,"Spell","EX1_379",Secret,"Neutral",,,,"Paladin",,True,"Gonzalo Ordonez","El arrepentimiento suele ser lo que precede a la aniquilación. Un dato curioso.",,,,
"Classic","Arrepentimiento","Salud reducida a 1 p.",,,"Enchantment","EX1_379e",,,,,,"Paladin",,,,,,,,
"Classic","Asaltante Velasangre","<b>Grito de batalla:</b> Obtiene una cantidad de puntos de ataque equivalente al ataque de tu arma.","Common",2,"Minion","NEW1_018",Battlecry,,3,,2,,,True,"Jim Nelson","Solo saquea de lunes a domingo.",,"Pirate",,
"Classic","Asesino de Ravenholdt","<b>Sigilo</b>","Rare",7,"Minion","CS2_161",Stealth,"Alliance",5,,7,,,True,"Ralph Horsley","Por diez mil monedas de oro se encargará de cualquier problema.",,,,
"Classic","Asesino paciente","<b>Sigilo</b>. Destruye a todo esbirro dañado por este esbirro.","Epic",2,"Minion","EX1_522",Poisonous|Stealth,"Neutral",1,"",1,"Rogue",,True,"Ben Olson","Lo de la paciencia viene de tener que esperar a que pasen víctimas de su misma estatura.",,,,
"Classic","Atrapado","Seguirá <b>congelado</b> al comienzo del siguiente turno.",,,"Enchantment","EX1_611e",,,,,,"Hunter",,,,,,,,
"Classic","Aullavísceras","Atacar a un esbirro cuesta 1 p. de ataque en vez de 1 p. de durabilidad.","Epic",7,"Weapon","EX1_411",,"Neutral",,,7,"Warrior",1,True,"Zoltan & Gabor","La famosa hacha de Grommash Grito Infernal. No se sabe cómo acabó en manos del príncipe Malchezaar. ¡Qué misterio!",,,,
"Classic","Aventurero en misión","Obtiene +1/+1 cada vez que juegas una carta.","Rare",3,"Minion","EX1_044",,"Alliance",2,"",2,,,True,"Attila Adorjany","Todavía le hacen falta pellejos de jabalí.",,,,
"Classic","Baine Pezuña de Sangre",,"Legendary",4,"Minion","EX1_110t",,,5,,4,,,,,,True,,,
"Classic","Bandido Defias",,,1,"Minion","EX1_131t",,"Neutral",1,,2,"Rogue",,,,,,,,
"Classic","Barón Geddon","Al final de tu turno inflige 2 p. de daño a todos los demás personajes.","Legendary",7,"Minion","EX1_249",,"Neutral",5,,7,,,True,"Ian Ameling","El barón Geddon era el teniente de Ragnaros pero el puesto le daba ardores.",True,,,
"Classic","Barrera de hielo","<b>Secreto:</b> Tu héroe obtiene 8 p. de armadura cuando vaya a recibir un ataque.","Common",3,"Spell","EX1_289",Secret,"Neutral",,,,"Mage",,True,"Alex Garner","Con el rango 1 te dan el hielo y con el 2 los refrescos.",,,,
"Classic","Bendición de sabiduría","Cada vez que este esbirro ataca el jugador que lo ha bendecido roba una carta.",,,"Enchantment","EX1_363e",,,,,,"Paladin",,,,,,,,
"Classic","Bendición de sabiduría","Elige a un esbirro. Cada vez que ataca roba una carta.","Common",1,"Spell","EX1_363",,,,,,"Paladin",,True,"Chippy","Al parecer la sabiduría aporta el conocimiento de que seguramente deberías atacar cada turno.",,,,
"Classic","Bendición de sabiduría","Cada vez que este esbirro ataca el jugador enemigo roba una carta.",,,"Enchantment","EX1_363e2",,,,,,"Paladin",,,,,,,,
"Classic","Bengala","Todos los esbirros pierden <b>Sigilo</b>. Destruye todos los <b>secretos</b> del enemigo. Roba una carta.","Rare",2,"Spell","EX1_544",,"Neutral",,,,"Hunter",,True,"Tyler Walpole","También viene bien en caso de naufragio.",,,,
"Classic","Bien alimentada","Ataque y salud aumentados.",,,"Enchantment","EX1_531e",,,,,,"Hunter",,,,,,,,
"Classic","Blarghghl","Ataque aumentado.",,,"Enchantment","EX1_509e",,,,,,,,,,,,,,
"Classic","Bloque de hielo","<b>Secreto:</b> Cuando tu héroe vaya a recibir daño letal lo evita y se vuelve <b>inmune</b> ese turno.","Epic",3,"Spell","EX1_295",Secret,"Neutral",,,,"Mage",,True,"Carl Frank","¡Es hielo! ¡En un bloque!",,,,
"Classic","Bloque de hielo","Tu héroe es <b>inmune</b> este turno.",,,"Enchantment","EX1_295o",OneTurnEffect,,,,,"Mage",,,,,,,,
"Classic","Bombardero loco","<b>Grito de batalla:</b> Inflige 3 p. de daño que se dividen aleatoriamente entre todos los demás personajes.","Common",2,"Minion","EX1_082",Battlecry,"Alliance",2,,3,,,True,"Mike Sass","Hay que estar loco para manipular bombas goblin.",,,,
"Classic","Caballero de sangre","<b>Grito de batalla:</b> Todos los esbirros pierden <b>Escudo divino</b>. Obtiene +3/+3 por cada escudo perdido.","Epic",3,"Minion","EX1_590",Battlecry,"Neutral",3,,3,,,True,"Trent Kaniuga","Los caballeros de sangre obtenían sus poderes sagrados de la Fuente del Sol hasta que la Plaga cerró el grifo.",,,,
"Classic","Caballero Mano de Plata","<b>Grito de batalla:</b> Invoca a un escudero 2/2.","Common",5,"Minion","CS2_151",Battlecry,"Alliance",4,,4,,,True,"Matt Starbuck","Adonde va el caballero va el escudero.",,,,
"Classic","Cairne Pezuña de Sangre","<b>Último aliento:</b> Invoca a Baine Pezuña de Sangre (4/5).","Legendary",6,"Minion","EX1_110",Deathrattle,"Alliance",5,,4,,,True,"Wayne Reynolds","Garrosh mató a Cairne así que mejor no pongas esta carta en un mazo de guerrero. Es una falta de respeto.",True,,,
"Classic","Caminasol","<b>Provocar</b>. <b>Escudo divino</b>","Rare",6,"Minion","EX1_032",Divine Shield|Taunt,"Alliance",5,,4,,,True,"Andrea Uderzo","Aunque sea Protección sigue siendo una vaca sagrada.",,,,
"Classic","Camorra","Destruye a todos los esbirros menos a uno <i>(elegido al azar)</i>.","Epic",5,"Spell","EX1_407",,"Neutral",,,,"Warrior",,True,"Wayne Reynolds","¿Conoces la primera regla de la Hermandad de camorristas?",,,,
"Classic","Campeón bendito","Duplica el ataque de un esbirro.","Rare",5,"Spell","EX1_355",,,,,,"Paladin",,True,"Tyler Walpole","Esta carta aporta el doble de problemas ¡y el doble de diversión!",,,,
"Classic","Campeón bendito","El ataque de este esbirro se ha duplicado.",,,"Enchantment","EX1_355e",,,,,,"Paladin",,,,,,,,
"Classic","Cangrejo hambriento","<b>Grito de batalla:</b> Destruye a un múrloc y obtiene +2/+2.","Epic",1,"Minion","NEW1_017",Battlecry,,2,,1,,,True,"Jaemin Kim","¡Hoy cenamos múrloc!",,"Beast",,
"Classic","Canibalismo","Ataque aumentado.",,,"Enchantment","tt_004o",,,,,,,,,,,,,,
"Classic","Capataz cruel","<b>Grito de batalla:</b> Inflige 1 p. de daño a un esbirro y le otorga +2 p. de ataque.","Common",2,"Minion","EX1_603",Battlecry,"Neutral",2,,2,"Warrior",,True,"Phroilan Gardner","Te obligará a hacer horas extra. En domingo.",,,,
"Classic","Capitán de Mares del Sur","Tus otros piratas tienen +1/+1.","Epic",3,"Minion","NEW1_027",Aura,,3,,3,,,True,"Ken Steacy","Cuando ahorre suficiente botín tiene pensado comprarse un sombrero enorme. Le encantan los sombreros.",,"Pirate",,
"Classic","Capitán Verdetez","<b>Grito de batalla:</b> Otorga +1/+1 a tu arma.","Legendary",5,"Minion","NEW1_024",Battlecry,,4,,5,,,True,"Dan Scott","Estuvo a punto de aplastar Ventormenta con un robot enorme. Si no fuera por los grupos de aventureros...",True,"Pirate",,
"Classic","Captar demonios","Coloca a 2 demonios aleatorios de tu mazo en tu mano.","Common",3,"Spell","EX1_317",,"Neutral",,,,"Warlock",,True,"Raven Mimura","¡A mí me daban dos!",,,,
"Classic","Cazador de fieras","<b>Grito de batalla</b>: Destruye a un esbirro con 7 p. de ataque o más.","Epic",3,"Minion","EX1_005",Battlecry,,2,,4,,,True,"Chris Seaman","Los meros demosaurios ya no le interesan. Pronto intentará cazar a Onyxia sin más arma que una hoja Krol roma.",,,,
"Classic","Celador Mogu'shan","<b>Provocar</b>","Common",4,"Minion","EX1_396",Taunt,"Neutral",7,,1,,,True,"Cole Eastburn","Tuvo que cambiar de trabajo cuando derrotaron al Rey del Trueno.",,,,
"Classic","Celadora de la Luz","Obtiene +2 p. de ataque cada vez que se sana a un personaje.","Rare",1,"Minion","EX1_001",,,2,,1,,,True,"Erik Ko","Así es como reacciona cada vez que alguien llama "cabras espaciales" a los draenei.",,,,
"Classic","Cenarius","<b>Elige una:</b> Otorga +2/+2 a tus otros esbirros o bien invoca dos antárboles 2/2 con <b>Provocar</b>.","Legendary",9,"Minion","EX1_573",,"Neutral",8,"",5,"Druid",,True,"Alex Horley Orlandelli","Sí es un semidiós. No no le pasa nada en la mano.",True,,,
"Classic","Chamán clarividente","<b>Grito de batalla:</b> Restaura 3 p. de salud.","Common",3,"Minion","CS2_117",Battlecry,,3,,3,,,True,"Alex Horley Orlandelli","Puede ver a lo lejos y no le hace falta un catalejo como a los piratas.",,,,
"Classic","Choque de tierra","<b>Silencia</b> a un esbirro y luego le inflige $1 p. de daño.","Common",1,"Spell","EX1_245",Silence,"Neutral",,,,"Shaman",,True,"Kevin Chin","Si los gnomos fueran chamanes ¿podrían ser sus propios tótems?",,,,
"Classic","Círculo de sanación","Restaura #4 p. de salud a todos los esbirros.","Common",0,"Spell","EX1_621",,,,,,"Priest",,True,"Daarken","En realidad no es un círculo.",,,,
"Classic","Clamamareas múrloc","Obtiene +1 p. de ataque cada vez que se invoca a un múrloc.","Rare",1,"Minion","EX1_509",,"Neutral",2,,1,,,True,"Jaemin Kim","Se vuelve extraordinariamente fuerte en las cenas familiares.",,"Murloc",,
"Classic","Clarividente de Thrallmar","<b>Viento Furioso</b>","Common",3,"Minion","EX1_021",Windfury,"Horde",3,,2,,,True,"Efrem Palacios","Trabaja en la Península del Fuego Infernal pero le gustaría que lo destacaran en Orgrimmar o en cualquier otro sitio que no esté ardiendo permanentemente.",,,,
"Classic","Cobra emperador","Destruye a cualquier esbirro dañado por este esbirro.","Rare",3,"Minion","EX1_170",Poisonous,"Neutral",3,"",2,,,True,"Lars Grant-West","En la Cuenca de Sholazar viven todo tipo de criaturas horribles. Si tienes pensado viajar allí ponte repelente. Y armadura de placas.",,"Beast",,
"Classic","Cólera","Inflige $1 p. de daño a un esbirro. Roba una carta.",,,"Spell","EX1_154b",,"Neutral",,,,"Druid",,,,,,,,
"Classic","Cólera","Inflige $3 p. de daño a un esbirro.",,,"Spell","EX1_154a",,"Neutral",,,,"Druid",,,,,,,,
"Classic","Cólera","<b>Elige una:</b> Inflige $3 p. de daño a un esbirro o bien inflige $1 p. de daño y roba una carta.","Common",2,"Spell","EX1_154",,"Neutral",,,,"Druid",,True,"Raymond Swanland","¿Qué hace un pollo de 200 kg en un árbol? Lanzar Cólera.",,,,
"Classic","Cólera de las bestias","+2 p. de ataque e <b>Inmune</b> este turno.",,,"Enchantment","EX1_549o",OneTurnEffect,,,,,"Hunter",,,,,,,,
"Classic","Cólera de las bestias","Otorga +2 p. de ataque e <b>Inmune</b> a una bestia amistosa este turno.","Epic",1,"Spell","EX1_549",,"Neutral",,,,"Hunter",,True,"Alex Horley Orlandelli","Es una cólera que está en tu interior por debajo de las costillas entre la tostada del desayuno y el pescado del almuerzo.",,,,
"Classic","Cólera Sagrada","Roba una carta e inflige un daño equivalente a su coste.","Rare",5,"Spell","EX1_365",,"Neutral",,,,"Paladin",,True,"Justin Sweet","¡Ojalá salga un Gigante fundido!",,,,
"Classic","Cólera vengativa","Inflige $8 p. de daño divididos aleatoriamente entre los personajes enemigos.","Epic",6,"Spell","EX1_384",ImmuneToSpellpower,"Neutral",,,,"Paladin",,True,"Alex Garner","A la Luz rogando y con el mazo dando.",,,,
"Classic","Comandante Argenta","<b>Cargar</b> <b>Escudo divino</b>","Rare",6,"Minion","EX1_067",Charge|Divine Shield,"Neutral",2,,4,,,True,"James Ryman","El Alba Argenta protege al mundo de la Plaga y de la gente que se salta las colas.",,,,
"Classic","Cono de frío","<b>Congela</b> a un esbirro y a los esbirros adyacentes al mismo y les inflige $1 p. de daño.","Common",4,"Spell","EX1_275",Freeze,"Neutral",,,,"Mage",,True,"Leo Che","Más frío que robando pingüinos.",,,,
"Classic","Consumir","Estadísticas aumentadas.",,,"Enchantment","EX1_304e",,,,,,"Warlock",,,,,,,,
"Classic","Contrahechizo","<b>Secreto:</b> Cuando tu oponente lanza un hechizo lo <b>contrarrestas</b>.","Rare",3,"Spell","EX1_287",Secret,"Neutral",,,,"Mage",,True,"Jason Chan","¿En qué se diferencian un mago que tiene Contrahechizo y otro que no? El que no lo tiene está a punto de recibir una Piroexplosión en toda la cara.",,,,
"Classic","Control mental",,"Common",,"Enchantment","EX1_tk31",Summoned,"Neutral",,,,"Priest",,,,,,,,
"Classic","Corsario aterrador","<b>Provocar.</b> Cuesta (1) cristal menos por cada punto de ataque de tu arma.","Common",4,"Minion","NEW1_022",Taunt,,3,,3,,,True,"Trent Kaniuga",""Arrr" es una palabra del idioma pirata que significa "Buenos días tenga vuestra merced".",,"Pirate",,
"Classic","Corsario Velasangre","<b>Grito de batalla:</b> Elimina 1 p. de durabilidad del arma de tu oponente.","Rare",1,"Minion","NEW1_025",Battlecry,,2,,1,,,True,"Randy Gallegos","No se te ocurra llamar pirata a un corsario.",,"Pirate",,
"Classic","Crecimiento","Gruul crece...",,,"Enchantment","NEW1_038o",,,,,,,,,,,,,,
"Classic","Crematoria",,"Legendary",5,"Weapon","EX1_383t",,,,,5,"Paladin",3,,,,,,,
"Classic","Cría",,,1,"Minion","ds1_whelptoken",,"Neutral",1,,1,,,,,,,"Dragon",,
"Classic","Cría",,,1,"Minion","EX1_116t",,,1,,1,,,,,,,"Dragon",,
"Classic","Crinalta de la sabana","<b>Último aliento:</b> Invoca dos hienas 2/2.","Rare",6,"Minion","EX1_534",Deathrattle,,5,"",6,"Hunter",,True,"Milivoj Ceran","En la jungla la negra jungla el postre es el león.",,"Beast",,
"Classic","Cruzada Escarlata","<b>Escudo divino</b>","Common",3,"Minion","EX1_020",Divine Shield,"Alliance",1,,3,,,True,"Gonzalo Ordonez","¡El infiel será purificado!",,,,
"Classic","Culebra",,"Common",0,"Minion","EX1_554t",,"Neutral",1,,1,"Hunter",,,,,,"Beast",,
"Classic","Defensor",,"Common",1,"Minion","EX1_130a",,"Neutral",1,,2,"Paladin",,,,,,,,
"Classic","Defensor de Argus","<b>Grito de batalla:</b> Otorga +1/+1 y <b>Provocar</b> a los esbirros adyacentes.","Rare",4,"Minion","EX1_093",Battlecry,"Alliance",3,,2,,,True,"Alex Horley Orlandelli","Si pretende defender Argus ¿qué hace aquí?",,,,
"Classic","Demencia oscura","Toma el control de un esbirro enemigo con 3 p. de ataque o menos hasta el final del turno.","Rare",4,"Spell","EX1_334",,"Neutral",,,,"Priest",,True,"Mark Gibbons","¡Eso es jugar sucio! ¡Bien hecho!",,,,
"Classic","Demoledor","Al comienzo de tu turno inflige 2 p. de daño a un enemigo aleatorio.","Rare",3,"Minion","EX1_102",,"Neutral",4,"",1,,,True,"Raymond Swanland","Los asedios ya no son lo mismo ahora que todo el mundo tiene montura voladora.",,"Mech",,
"Classic","Demosaurio",,"Common",5,"Minion","EX1_tk29",,"Neutral",5,,5,,,,,,,"Beast",,
"Classic","Desarraigado","+5 p. de ataque.",,,"Enchantment","EX1_178be",,,,,,"Druid",,,,,,,,
