SET,NAME,TEXT,RARITY,COST,TYPE,ID,FACTION,MECHANICS,HEALTH,INPLAYTEXT,ATTACK,PLAYERCLASS,DURABILITY,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
"Missions","Hermano mayor de Mukla","¡¿Tan poderoso y solo cuesta 6 de maná?!","Common",6,"Minion","TU4c_007",,,10,,10,,,,,,,,,
"Missions","Hogger",,"Common",,"Hero","TU4a_001",,,10,,,,,,,,,,,
"Missions","Illidan Tempestira",,,,"Hero","TU4e_001",,,30,,,"Hunter",,,,,,,,
"Missions","Jaina Valiente",,"Common",,"Hero","TU4a_006",,,27,,,"Mage",,,,,,,,
"Missions","Lanzar barril","Inflige 2 de daño.","Common",1,"Spell","TU4c_002","Neutral",,,,,,,,,,,,,
"Missions","Legado del Emperador","Otorga +2/+2 a tus esbirros. <i>(+2 de Ataque/+2 de Salud)</i>","Common",3,"Spell","TU4f_004",,,,,,,,,,,,,,
"Missions","Legado del Emperador","Tiene +2/+2. <i>(+2 de Ataque/+2 de Salud)</i>",,,"Enchantment","TU4f_004o",,,,,,,,,,,,,,
"Missions","Llama de Azzinoth",,"Common",1,"Minion","TU4e_002t",,,1,,2,,,,,,,,,
"Missions","Llamas de Azzinoth","<b>Poder de héroe</b>
Invoca dos esbirros 2/1.",,2,"Hero Power","TU4e_002",,,,,,,,,,,,,,
"Missions","Maestro cervecero",,"Common",4,"Minion","TU4f_005",,,4,,4,,,,,,,,,
"Missions","Mirmidón naga","<b></b>","Common",1,"Minion","TU4e_003",,,1,,1,,,,,,,,,
"Missions","Molino Tormenta de Maná",,"Common",,"Hero","TU4b_001",,,20,,,"Mage",,,,,,,,
"Missions","Monje del Shadopan",,"Common",2,"Minion","TU4f_003",,,2,,2,,,,,,,,,
"Missions","Mono chiflado","<b>Grito de batalla:</b> arroja Bananas.","Common",1,"Minion","TU4f_007",,Battlecry,2,,1,,,,,,,,,
"Missions","Pisotón","Inflige 2 de daño a todos los enemigos.","Common",2,"Spell","TU4c_004","Neutral",,,,,,,,,,,,,
"Missions","Poderío de Mukla","El Rey Mukla tiene +8 de Ataque en este turno.",,,"Enchantment","TU4c_008e",,OneTurnEffect,,,,,,,,,,,,
"Missions","Ráfaga de llamas","Dispara 5 misiles a enemigos aleatorios que infligen $1 de daño a cada uno.","Common",3,"Spell","TU4e_005",,,,,,,,,,,,,,
"Missions","Rey Mukla",,"Common",,"Hero","TU4c_001",,,26,,,,,,,,,,,
"Missions","Trascendencia","Hasta que no mates a los esbirros de Cho no podrás atacarlo.","Common",1,"Spell","TU4f_006",,,,,,,,,,,,,,
"Missions","Trascendencia","Hasta que no mates a los esbirros de Cho no podrás atacarlo.",,,"Enchantment","TU4f_006o",,,,,,,,,,,,,,
"Missions","Voluntad de Mukla","Restaura 8 de Salud.","Common",3,"Spell","TU4c_008",,,,,,,,,,,,,,
"Classic","¡Aarrrr!","El Capitán de los Mares del sur otorga +1/+1.",,,"Enchantment","NEW1_027e",,,,,,,,,,,,,,
"Classic","¡Afilada!","+2 de Ataque del Herrero malicioso.",,,"Enchantment","CS2_221e",,,,,,,,,,,,,,
"Classic","¡Descansen!","Cambia el Ataque a 1.",,,"Enchantment","EX1_382e",,,,,,"Paladin",,,,,,,,
"Classic","¡Experimentos!","El Alquimista enloquecido ha intercambiado el Ataque y la Salud.",,,"Enchantment","EX1_059e",,,,,,,,,,,,,,
"Classic","¡Fuerza bruta!","Estadísticas aumentadas.",,,"Enchantment","EX1_274e",,,,,,"Mage",,,,,,,,
"Classic","¡INFERNO!","<b>Poder de héroe</b>
Invoca un Infernal 6/6.",,2,"Hero Power","EX1_tk33","Neutral",,,,,"Warlock",,,,,,,,
"Classic","¡Maten a Molino!","¡Los hechizos cuestan (0) en este turno!","Legendary",,"Enchantment","NEW1_029t",,,,,,,,,,,,,,
"Classic","¡Mejora!","Si tienes un arma le otorga +1/+1. Si no equipa un arma 1/3.","Rare",1,"Spell","EX1_409","Neutral",,,,,"Warrior",,True,"Matt Cavotta","Como mínimo se merece una recompensa de 50 DKP.",,,,
"Classic","¡Mrgglaargl!","El Líder de guerra múrloc otorga +2/+1.",,,"Enchantment","EX1_507e",,,,,,,,,,,,,,
"Classic","¡Subiste de nivel!","Ataque y Salud aumentados.",,,"Enchantment","EX1_044e",,,,,,,,,,,,,,
"Classic","Abominación","<b>Provocación</b>. <b>Estertor:</b> inflige 2 de daño a TODOS los personajes.","Rare",5,"Minion","EX1_097","Neutral",Deathrattle|Taunt,4,,4,,,True,"Alex Horley Orlandelli","A las abominaciones les encanta la carne fresca y los largos paseos por la playa.",,,,
"Classic","Acaparador de botín","<b>Estertor:</b> roba una carta.","Common",2,"Minion","EX1_096","Neutral",Deathrattle,1,,2,,,True,"Jim Nelson","Siempre elige la necesidad.",,,,
"Classic","Acólito de dolor","Cada vez que este esbirro recibe daño roba una carta.","Common",3,"Minion","EX1_007",,,3,,1,,,True,"Dave Kendall","De joven entrenó mucho para convertirse en un acólito de alegría pero las cosas no le salieron como esperaba.",,,,
"Classic","Adicta al maná","Cada vez que lanzas un hechizo obtiene +2 de Ataque en este turno.","Rare",2,"Minion","EX1_055","Alliance",,3,"",1,,,True,"Hideaki Takamura","Está tratando de dejar el hábito. Pero todavía toma un poco de maná de vez en cuando si tiene un día difícil.",,,,
"Classic","Afilado","+1 de Durabilidad.",,,"Enchantment","CS2_146o",,,,,,,,,,,,,,
"Classic","Agente del IV:7","<b>Combo:</b> inflige 2 de daño.","Rare",3,"Minion","EX1_134","Neutral",Combo,3,,3,"Rogue",,True,"Chris Moeller","Los agentes del IV:7 son los responsables de las actividades encubiertas de Ventormenta. Sus tareas son el espionaje los asesinatos y la organización de fiestas de cumpleaños sorpresa para la familia real.",,,,
"Classic","Al'Akir el Señor del Viento","<b>Viento furioso Carga Escudo divino Provocación</b>","Legendary",8,"Minion","NEW1_010",,Charge|Divine Shield|Taunt|Windfury,5,,3,"Shaman",,True,"Raymond Swanland","Es el más débil de los cuatro señores elementales. Y los otros tres se encargan de que nunca lo olvide.",True,,,
"Classic","Alamuerte","<b>Grito de batalla:</b> destruye a todos los otros esbirros y descarta tu mano.","Legendary",10,"Minion","NEW1_030",,Battlecry,12,,12,,,True,"Bernie Kang","Alamuerte otrora un noble dragón conocido como Neltharion perdió la cordura y destrozó Azeroth antes de que lo derrotaran definitivamente. ¿Problemitas con papá quizá?",True,"Dragon",,
"Classic","Alexstrasza","<b>Grito de batalla:</b> establece la Salud restante de un héroe en 15.","Legendary",9,"Minion","EX1_561","Neutral",Battlecry,8,,8,,,True,"Raymond Swanland","Alexstrasza la Protectora les otorga vida y esperanza a todos. Menos a Alamuerte. Y a Malygos. Y a Nekros.",True,"Dragon",,
"Classic","Alma del bosque","Otorga a tus esbirros "<b>Estertor:</b> invoca un Antárbol 2/2".","Common",4,"Spell","EX1_158","Neutral",,,,,"Druid",,True,"Markus Erdt","De pronto "reforestación" es una palabra aterradora.",,,,
"Classic","Alma del bosque","Estertor: invoca un Antárbol 2/2.",,,"Enchantment","EX1_158e",,,,,,"Druid",,,,,,,,
"Classic","Alquimista enloquecido","<b>Grito de batalla:</b> intercambia el Ataque y la Salud de un esbirro.","Rare",2,"Minion","EX1_059","Neutral",Battlecry,2,,2,,,True,"Tom Fleming",""¡Te <i>encantará</i> mi nueva receta!" dice... en especial si querías algunas extremidades adicionales.",,,,
"Classic","Aluvión de acero","Destruye tu arma e inflige su daño a todos los enemigos.","Rare",2,"Spell","CS2_233","Neutral",AffectedBySpellPower,,,,"Rogue",,True,"Hideaki Takamura",""No se trata solo de revolear dagas a gran velocidad. Es mucho más complicado que eso". —Shan instructor de pícaros",,,,
"Classic","Anciano de la guerra","<b>Elige una opción:</b> 
+5 de Ataque o +5 de Salud y <b>Provocación</b>.","Epic",7,"Minion","EX1_178","Neutral",,5,,5,"Druid",,True,"Sean O’Daniels","A los elfos de la noche jóvenes les gusta jugar a "¿Quién se atreve a desarraigar al Anciano de la Guerra?". Pierdes si terminas aplastado.",,,,
"Classic","Anciano del conocimiento","<b>Elige una opción:</b> roba 2 cartas o restaura 5 de Salud.","Epic",7,"Minion","NEW1_008",,,5,,5,"Druid",,True,"Patrik Hjelm","Si te atreves tállale tu nombre de recuerdo.",,,,
"Classic","Ánima de maná","TODOS los esbirros cuestan (1) más.","Rare",2,"Minion","EX1_616","Neutral",Aura,2,,2,,,True,"Luca Zontini","Salen por la noche para comer sobras de cristales de maná. "Mmm ñami" dicen.",,,,
"Classic","Antárbol","<b>Carga</b>. Al final del turno destruye a este esbirro.","Common",1,"Minion","EX1_tk9","Neutral",Charge,2,,2,"Druid",,,,,,,,
"Classic","Antárbol","<b>Provocación</b>",,1,"Minion","EX1_573t",,Taunt,2,,2,"Druid",,,,,,,,
"Classic","Antárbol",,,1,"Minion","EX1_158t","Neutral",,2,,2,"Druid",,,,,,,,
"Classic","Aprendiz de hechicero","Tus hechizos cuestan (1) menos.","Common",2,"Minion","EX1_608","Neutral",Aura,2,,3,"Mage",,True,"Alex Horley Orlandelli","No hay nada como mandonear aprendices. "¡Que aparezcan unas tostadas de maná! ¡Y un café! ¡Que sea un café de maná!".",,,,
"Classic","Aprendiz violeta",,,0,"Minion","NEW1_026t",,,1,,1,,,,,,,,,
"Classic","Arcanista etéreo","Si controlas un <b>Secreto</b> al final de tu turno obtiene +2/+2.","Rare",4,"Minion","EX1_274",,,3,,3,"Mage",,True,"Michael Komarck","Los etéreos se envuelven en telas para dar forma a sus siluetas incorpóreas. Y también porque son suaves y lucen bien claro.",False,,,
"Classic","Archimago Antonidas","Cada vez que lanzas un hechizo agrega un hechizo "Bola de Fuego" a tu mano.","Legendary",7,"Minion","EX1_559","Neutral",,7,"",5,"Mage",,True,"Wayne Reynolds","Antes de llegar a ser el Gran mago de los Kirin Tor y el mentor de Jaina Antonidas era mejor conocido como el Gran mago de los bizcochos.",True,,,
"Classic","Arco de cuerno de águila","Cada vez que se revela un <b>Secreto</b> aliado obtiene +1 de Durabilidad.","Rare",3,"Weapon","EX1_536",,,,,3,"Hunter",2,True,"Cyril Van Der Haegen","Primera lección: la parte puntiaguda va en el adversario.",,,,
"Classic","Arco largo de Gladiador","Tu héroe es <b>Inmune</b> mientras ataca.","Epic",7,"Weapon","DS1_188","Neutral",,,,5,"Hunter",2,True,"Peter C. Lee","El arco largo te permite disparar desde más lejos y es muy útil cuando los enemigos son especialmente apestosos.",,,,
"Classic","Ardilla",,"Common",1,"Minion","EX1_tk28","Neutral",,1,,1,,,,,,,"Beast",,
"Classic","Arpía Viento furioso","<b>Viento furioso</b>","Common",6,"Minion","EX1_033","Alliance",Windfury,5,,4,,,True,"Luke Mancini","El chillido de las Arpías no es muy agradable. Y conste que estoy siendo educado.",,,,
"Classic","Arrepentimiento","Salud reducida a 1.",,,"Enchantment","EX1_379e",,,,,,"Paladin",,,,,,,,
"Classic","Arrepentimiento","<b>Secreto:</b> cuando tu adversario juegue un esbirro reduce su Salud a 1.","Common",1,"Spell","EX1_379","Neutral",Secret,,,,"Paladin",,True,"Gonzalo Ordonez","El arrepentimiento siempre aparece justo antes de la aniquilación. Muy oportuno.",,,,
"Classic","Asaltante Velasangre","<b>Grito de batalla:</b> obtiene Ataque equivalente al Ataque de tu arma.","Common",2,"Minion","NEW1_018",,Battlecry,3,,2,,,True,"Jim Nelson",""Solo saqueo de lunes a lunes".",,"Pirate",,
"Classic","Asesino de Ravenholdt","<b>Sigilo</b>","Rare",7,"Minion","CS2_161","Alliance",Stealth,5,,7,,,True,"Ralph Horsley","Tú limítate a enviarle un paquete con un nombre y 10.000 piezas de oro. Él se ocupará del resto.",,,,
"Classic","Asesino paciente","<b>Sigilo</b>. Destruye cualquier esbirro dañado por este esbirro.","Epic",2,"Minion","EX1_522","Neutral",Poisonous|Stealth,1,"",1,"Rogue",,True,"Ben Olson","En realidad no es tan paciente. Es que tiene que esperar mucho hasta que aparece alguno que le quede al alcance.",,,,
"Classic","Atiborrado de maná","Ataque aumentado.",,,"Enchantment","NEW1_012o",,,,,,"Mage",,,,,,,,
"Classic","Atrapado","Quedará <b>Congelado</b> nuevamente al comienzo del próximo turno.",,,"Enchantment","EX1_611e",,,,,,"Hunter",,,,,,,,
"Classic","Aullavísceras","Atacar a un esbirro cuesta 1 de Ataque en lugar de 1 de Durabilidad.","Epic",7,"Weapon","EX1_411","Neutral",,,,7,"Warrior",1,True,"Zoltan & Gabor","El arma famosa de Grommash Grito Infernal. No se sabe cómo esta pieza terminó en manos del Príncipe Malchezaar. ¡Un verdadero misterio!",,,,
"Classic","Aventurero explorador","Cada vez que juegas una carta obtiene +1/+1.","Rare",3,"Minion","EX1_044","Alliance",,2,"",2,,,True,"Attila Adorjany",""¿A alguien le sobra una pelambre de jabalí?".",,,,
"Classic","Baine Pezuña de sangre",,"Legendary",4,"Minion","EX1_110t",,,5,,4,,,,,,True,,,
"Classic","Bananas","Otorga +1/+1 a un esbirro.",,1,"Spell","EX1_014t",,,,,,,,,,,,,,
"Classic","Bananas","Tiene +1/+1.",,,"Enchantment","EX1_014te",,,,,,,,,,,,,,
"Classic","Bandido Defias",,,1,"Minion","EX1_131t","Neutral",,1,,2,"Rogue",,,,,,,,
"Classic","Barón Geddon","Al final de tu turno inflige 2 de daño a TODOS los otros personajes.","Legendary",7,"Minion","EX1_249","Neutral",,5,,7,,,True,"Ian Ameling","Y después se pregunta por qué nadie lo quiere...",True,,,
"Classic","Barrera de hielo","<b>Secreto:</b> cuando atacan a tu héroe obtiene 8 de Armadura.","Common",3,"Spell","EX1_289","Neutral",Secret,,,,"Mage",,True,"Alex Garner","Esto es rango 1. Rango 2 es una Barrera de leche chocolatada.",,,,
"Classic","Bendición de sabiduría","Cuando este esbirro ataca el jugador enemigo roba una carta.",,,"Enchantment","EX1_363e2",,,,,,"Paladin",,,,,,,,
"Classic","Bendición de sabiduría","Elige un esbirro. Cada vez que ese esbirro ataque roba una carta.","Common",1,"Spell","EX1_363",,,,,,"Paladin",,True,"Chippy","Aparentemente con la sabiduría llega la conciencia de que te conviene atacar en todos los turnos.",,,,
"Classic","Bendición de sabiduría","Cuando este esbirro ataca el jugador que lo bendijo roba una carta.",,,"Enchantment","EX1_363e",,,,,,"Paladin",,,,,,,,
"Classic","Bengala","Todos los esbirros pierden <b>Sigilo</b>. Destruye todos los <b>Secretos</b> enemigos. Roba una carta.","Rare",2,"Spell","EX1_544","Neutral",,,,,"Hunter",,True,"Tyler Walpole","No solo revela a tus enemigos ¡es ideal para las fiestas!",,,,
"Classic","Bien alimentada","Ataque y Salud aumentados.",,,"Enchantment","EX1_531e",,,,,,"Hunter",,,,,,,,
"Classic","Blarghghl","Ataque aumentado.",,,"Enchantment","EX1_509e",,,,,,,,,,,,,,
"Classic","Bloque de hielo","Tu héroe es <b>Inmune</b> en este turno.",,,"Enchantment","EX1_295o",,OneTurnEffect,,,,"Mage",,,,,,,,
"Classic","Bloque de hielo","<b>Secreto:</b> cuando tu héroe recibe daño mortal impide el daño y tu héroe se vuelve <b>Inmune</b> durante este turno.","Epic",3,"Spell","EX1_295","Neutral",Secret,,,,"Mage",,True,"Carl Frank","¡El hielo es el flagelo del lelo!",,,,
"Classic","Bombardero loco","<b>Grito de batalla:</b> inflige 3 de daño divididos aleatoriamente entre los otros personajes.","Common",2,"Minion","EX1_082","Alliance",Battlecry,2,,3,,,True,"Mike Sass","En realidad no está tan loco. El problema es que no es tan cuidadoso con los explosivos como debería.",,,,
"Classic","Caballero de la Mano de Plata","<b>Grito de batalla:</b> invoca un Escudero 2/2.","Common",5,"Minion","CS2_151","Alliance",Battlecry,4,,4,,,True,"Matt Starbuck","Ser un caballero es bueno. Ser el escudero de un caballero... no tanto.",,,,
"Classic","Caballero de sangre","<b>Grito de batalla:</b> remueve <b>Escudo divino</b> de los esbirros. Obtiene +3/+3 por cada Escudo perdido.","Epic",3,"Minion","EX1_590","Neutral",Battlecry,3,,3,,,True,"Trent Kaniuga","Los Caballeros de sangre obtienen su poder sagrado de la Fuente del Sol. Te recomendamos que NO la uses para bañarte.",,,,
"Classic","Cairne Pezuña de sangre","<b>Estertor:</b> invoca un Baine Pezuña de sangre 4/5.","Legendary",6,"Minion","EX1_110","Alliance",Deathrattle,5,,4,,,True,"Wayne Reynolds","Cairne murió a manos de Garrosh así que... no pongas a este tipo en un mazo de Guerrero ¡no seas insensible!",True,,,
"Classic","Caminasol","<b>Provocación</b>. <b>Escudo divino</b>","Rare",6,"Minion","EX1_032","Alliance",Divine Shield|Taunt,5,,4,,,True,"Andrea Uderzo","No te preocupes. Eso de que camina sobre el sol no es literal... ¡Es solo un nombre!",,,,
"Classic","Campeón bendito","El Ataque de este esbirro se ha duplicado.",,,"Enchantment","EX1_355e",,,,,,"Paladin",,,,,,,,
"Classic","Campeón bendito","Duplica el Ataque de un esbirro.","Rare",5,"Spell","EX1_355",,,,,,"Paladin",,True,"Tyler Walpole","Esta carta duplica el problema y TAMBIÉN la diversión.",,,,
"Classic","Cangrejo hambriento","<b>Grito de batalla:</b> destruye un múrloc y obtiene +2/+2.","Epic",1,"Minion","NEW1_017",,Battlecry,2,,1,,,True,"Jaemin Kim","Múrloc. Esa es la cena.",,"Beast",,
"Classic","Canibalismo","Ataque aumentado.",,,"Enchantment","tt_004o",,,,,,,,,,,,,,
"Classic","Capataz cruel","<b>Grito de batalla:</b> inflige 1 de daño a un esbirro y le otorga +2 de Ataque.","Common",2,"Minion","EX1_603","Neutral",Battlecry,2,,2,"Warrior",,True,"Phroilan Gardner",""Tendrás que venir el domingo". —Capataz cruel",,,,
"Classic","Capitán de los Mares del sur","Tus otros Piratas tienen +1/+1.","Epic",3,"Minion","NEW1_027",,Aura,3,,3,,,True,"Ken Steacy","Cuando ahorre suficiente botín encargará un sombrero de capitán gigante. Siente envidia por el sombrero.",,"Pirate",,
"Classic","Capitán Verdetez","<b>Grito de batalla:</b> le otorga +1/+1 a tu arma.","Legendary",5,"Minion","NEW1_024",,Battlecry,4,,5,,,True,"Dan Scott","Estuvo <i>así de cerca</i> de ser el piloto de una nave gigante que partió rumbo al Puerto de Ventormenta. ¡Si no hubiera sido por esos niños molestos!",True,"Pirate",,
"Classic","Captar demonios","Pon 2 Demonios aleatorios de tu mazo en tu mano.","Common",3,"Spell","EX1_317","Neutral",,,,,"Warlock",,True,"Raven Mimura","Generalmente los demonios son bastante obvios y no hace falta un hechizo para captar su atención.",,,,
"Classic","Cazador mayor","<b>Grito de batalla:</b> destruye un esbirro con 7 o más de Ataque.","Epic",3,"Minion","EX1_005",,Battlecry,2,,4,,,True,"Chris Seaman","Los simples demosaurios ya no lo apasionan. Pronto tratará de cazar a Onyxia con la sola ayuda de una hoja krol desafilada.",,,,
"Classic","Celador de Mogu'shan","<b>Provocación</b>","Common",4,"Minion","EX1_396","Neutral",Taunt,7,,1,,,True,"Cole Eastburn","Lo único que saben hacer estos tipos es hablar del Rey del Trueno. ¡ABURRIDOOOOOOO!",,,,
"Classic","Celadora de la luz","Cada vez que un personaje es sanado obtiene +2 de Ataque.","Rare",1,"Minion","EX1_001",,,2,,1,,,True,"Erik Ko","¿A quién no le gustaría que lo vigilara una celadora así?",,,,
"Classic","Cenarius","<b>Elige una opción:</b> otorga +2/+2 a tus otros esbirros o invoca dos Antárboles 2/2 con <b>Provocación</b>.","Legendary",9,"Minion","EX1_573","Neutral",,8,"",5,"Druid",,True,"Alex Horley Orlandelli","Sí es un semidiós. No no necesita una camisa.",True,,,
"Classic","Choque de tierra","<b>Silencia</b> a un esbirro y luego le inflige $1 de daño.","Common",1,"Spell","EX1_245","Neutral",Silence,,,,"Shaman",,True,"Kevin Chin","¿Choque de tierra? ¿No debería ser "Choque de Azeroth"?",,,,
"Classic","Círculo de sanación","Restaura #4 de Salud a TODOS los esbirros.","Common",0,"Spell","EX1_621",,,,,,"Priest",,True,"Daarken","No es un círculo en realidad.",,,,
"Classic","Clamamareas múrloc","Cada vez que se invoca a un múrloc obtiene +1 de Ataque.","Rare",1,"Minion","EX1_509","Neutral",,2,,1,,,True,"Jaemin Kim","No querrás encontrarte con este tipo en una reunión familiar...",,"Murloc",,
"Classic","Clarividente de Thrallmar","<b>Viento furioso</b>","Common",3,"Minion","EX1_021","Horde",Windfury,3,,2,,,True,"Efrem Palacios","Lo enviaron a la Península del Fuego Infernal pero pidió que lo reasignaran más cerca de Orgrimmar... o para ser sinceros a cualquier otro lugar donde no se le quemaran los pies.",,,,
"Classic","Cobra emperador","Destruye cualquier esbirro dañado por este esbirro.","Rare",3,"Minion","EX1_170","Neutral",Poisonous,3,"",2,,,True,"Lars Grant-West","En la Cuenca de Sholazar hay muchas cosas horrendas. Si vas a visitarla usa repelente. Y armadura.",,"Beast",,
"Classic","Cólera","<b>Elige una opción:</b> inflige $3 de daño a un esbirro o inflige $1 de daño y roba una carta.","Common",2,"Spell","EX1_154","Neutral",,,,,"Druid",,True,"Raymond Swanland","En la Posada de Trinquete se comenta que esta carta es demasiado buena y debería ser Legendaria.",,,,
"Classic","Cólera","Inflige $3 de daño a un esbirro.",,,"Spell","EX1_154a","Neutral",,,,,"Druid",,,,,,,,
"Classic","Cólera","Inflige $1 de daño a un esbirro. Roba una carta.",,,"Spell","EX1_154b","Neutral",,,,,"Druid",,,,,,,,
"Classic","Cólera de las bestias","Otorga +2 de Ataque y vuelve <b>Inmune</b> a una Bestia aliada en este turno.","Epic",1,"Spell","EX1_549","Neutral",,,,,"Hunter",,True,"Alex Horley Orlandelli","Bajo la superficie habita una cólera hirviente. Y bajo esa cólera yace un abandono salvaje seguido de un ligero fastidio.",,,,
"Classic","Cólera de las bestias","+2 de Ataque e <b>Inmunidad</b> en este turno.",,,"Enchantment","EX1_549o",,OneTurnEffect,,,,"Hunter",,,,,,,,
"Classic","Cólera sagrada","Roba una carta e inflige daño equivalente a su costo.","Rare",5,"Spell","EX1_365","Neutral",,,,,"Paladin",,True,"Justin Sweet","¡Vamos Gigante fundido!",,,,
"Classic","Cólera vengativa","Inflige $8 de daño dividido aleatoriamente entre los personajes enemigos.","Epic",6,"Spell","EX1_384","Neutral",ImmuneToSpellpower,,,,"Paladin",,True,"Alex Garner","¡Pum! ¡Pum! ¡Pum! ¡Pum! ¡Pum! ¡Pum! ¡Pum! ¡Pum!",,,,
"Classic","Comandante argenta","<b>Carga</b> <b>Escudo divino</b>","Rare",6,"Minion","EX1_067","Neutral",Charge|Divine Shield,2,,4,,,True,"James Ryman","El Alba Argenta está siempre alerta a la Plaga... y a la gente que se mete en la cola del banco.",,,,
"Classic","Cono de frío","<b>Congela</b> a un esbirro y a los esbirros adyacentes a él y les inflige $1 de daño.","Common",4,"Spell","EX1_275","Neutral",Freeze,,,,"Mage",,True,"Leo Che","Los magos del Kirin Tor conjuraban cubos de frío mucho antes de que los conos se pusieran de moda hace unos 90 años.",,,,
"Classic","Consumir","Estadísticas aumentadas.",,,"Enchantment","EX1_304e",,,,,,"Warlock",,,,,,,,
"Classic","Contrahechizo","<b>Secreto:</b> cuando tu adversario juegue un hechizo <b>contrarréstalo</b>.","Rare",3,"Spell","EX1_287","Neutral",Secret,,,,"Mage",,True,"Jason Chan","¿Cuál es la diferencia entre un mago que juega con contrahechizo y uno que no? Que el mago que no lo usa queda con la cara piroexplotada.",,,,
"Classic","Control mental",,"Common",,"Enchantment","EX1_tk31","Neutral",Summoned,,,,"Priest",,,,,,,,
"Classic","Corsario aterrador","<b>Provocación.</b> Cuesta (1) menos por cada punto de Ataque de tu arma.","Common",4,"Minion","NEW1_022",,Taunt,3,,3,,,True,"Trent Kaniuga",""Aarrrr" es una palabra pirata que significa "Saludos milord".",,"Pirate",,
"Classic","Corsario Velasangre","<b>Grito de batalla:</b> quita 1 de Durabilidad del arma de tu adversario.","Rare",1,"Minion","NEW1_025",,Battlecry,2,,1,,,True,"Randy Gallegos","Todos los piratas usan los mismos cuatro dígitos para acceder a los Dispensadores de Oro Automáticos. Es el famoso "Código del Pirata".",,"Pirate",,
"Classic","Crecimiento","Gruul está creciendo...",,,"Enchantment","NEW1_038o",,,,,,,,,,,,,,
"Classic","Crematoria",,"Legendary",5,"Weapon","EX1_383t",,,,,5,"Paladin",3,,,,,,,
"Classic","Cría",,,1,"Minion","EX1_116t",,,1,,1,,,,,,,"Dragon",,
"Classic","Cría",,,1,"Minion","ds1_whelptoken","Neutral",,1,,1,,,,,,,"Dragon",,
"Classic","Crinalta de la sabana","<b>Estertor:</b> invoca 2 Hienas 2/2.","Rare",6,"Minion","EX1_534",,Deathrattle,5,"",6,"Hunter",,True,"Milivoj Ceran","En la jungla tan imponente las hienas se comen al león bocado a bocado.",,"Beast",,
"Classic","Cruzada escarlata","<b>Escudo divino</b>","Common",3,"Minion","EX1_020","Alliance",Divine Shield,1,,3,,,True,"Gonzalo Ordonez","Consejo de amigo: no pongas a lavar tu ropa blanca con el traje de esta Cruzada.",,,,
"Classic","Culebra",,"Common",0,"Minion","EX1_554t","Neutral",,1,,1,"Hunter",,,,,,"Beast",,
"Classic","Defensor",,"Common",1,"Minion","EX1_130a","Neutral",,1,,2,"Paladin",,,,,,,,
"Classic","Defensor de Argus","<b>Grito de batalla:</b> otorga +1/+1 y <b>Provocación</b> a los esbirros adyacentes.","Rare",4,"Minion","EX1_093","Alliance",Battlecry,3,,2,,,True,"Alex Horley Orlandelli","Uno creería que Argus no necesita taaaanta defensa... ¡pero estaría equivocado!",,,,
