SET,NAME,TEXT,TYPE,ID,PLAYERCLASS,MECHANICS,COLLECTIBLE,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,RACE,ELITE,DURABILITY
Goblins vs Gnomes,Gahzrilla,Cada vez que este esbirro recibe daño duplica su Ataque.,Minion,GVG_049,Hunter,,True,Raymond Swanland,Legendary,6,7,9,Si dos cabezas piensan más que una ¡imagínate tres!,Beast,True,
Goblins vs Gnomes,Garras de MalGanis,MalGanis otorga +2/+2.,Enchantment,GVG_021e,Warlock,,,,,,,,,,,
Goblins vs Gnomes,Gazlowe,Cada vez que lanzas un hechizo que cuesta 1 de maná agrega un Meca aleatorio a tu mano.,Minion,GVG_117,,,True,Luke Mancini,Legendary,3,6,6,Todos sabíamos que la fama de Gazlowe explotaría algún día.,,True,
Goblins vs Gnomes,Gigante de cuerda,Cuesta (1) menos por cada carta en la mano de tu adversario.,Minion,GVG_121,,,True,Dan Scott,Epic,8,12,8,No se lleva muy bien con el Gigante montés.,Mech,,
Goblins vs Gnomes,Gigante férreo,<b>Grito de batalla:</b> coloca una Mina en el mazo de tu oponente. Cuando la robe explotará por 10 de daño.,Minion,GVG_056,Warrior,Battlecry,True,Raymond Swanland,Legendary,6,6,5,El Gigante férreo vigila Orgrimmar ¡y acaba de ganar el premio al "Empleado del mes"!,Mech,True,
Goblins vs Gnomes,Gnomo de cuerda,<b>Estertor:</b> agrega una carta de <b>Pieza de repuesto</b> a tu mano.,Minion,GVG_082,,Deathrattle,True,Matt Dixon,Common,2,1,1,Los gnomos de cuerda siempre están preguntando la hora.,Mech,,
Goblins vs Gnomes,Gólem celestial piloteado,<b>Estertor:</b> invoca un esbirro aleatorio con un costo de 4.,Minion,GVG_105,,Deathrattle,True,Michael Phillippi,Epic,6,6,4,El pináculo de la ingeniería goblin. Incluye máquina de café y masajeador de pies.,Mech,,
Goblins vs Gnomes,Gólem de ánima,Al final de cada turno destruye este esbirro si es el único que tienes.,Minion,GVG_077,Warlock,,True,Josh Harris,Epic,9,6,9,El Animus oscuro es maligno y misterioso y gigante y en verdad incapaz de escribir oraciones gramaticalmente correctas.,Mech,,
Goblins vs Gnomes,Guardián de cobalto,Cada vez que invocas un Meca obtiene <b>Escudo divino</b>.,Minion,GVG_062,Paladin,,True,Jim Nelson,Rare,6,5,3,Los guardianes solían estar hechos de adamantio pero se decidió pasar la producción a Gadgetzan porque el cobalto era muuucho más barato.,Mech,,
Goblins vs Gnomes,Guerra-bot,<b>Enfurecer:</b> +1 de Ataque.,Minion,GVG_051,Warrior,Enrage,True,Tyler Walpole,Common,1,1,3,La producción en masa de guerra-bots se detuvo cuando descubrieron que accidentalmente los estaban fabricando solo en tamaño de muestra.,Mech,,
Goblins vs Gnomes,Gujazuca,+1 de Ataque.,Enchantment,GVG_043e,Hunter,,,,,,,,,,,
Goblins vs Gnomes,Gujazuca,<b>Grito de batalla:</b> otorga +1 de Ataque a un esbirro aliado aleatorio.,Weapon,GVG_043,Hunter,Battlecry,True,Gino Whitehall,Common,2,2,,Para esos días en que una bazuca normal no es suficiente.,,,2
Goblins vs Gnomes,Hemet Nesingwary,<b>Grito de batalla:</b> destruye una Bestia.,Minion,GVG_120,,Battlecry,True,Ralph Horsley,Legendary,6,5,3,Es difícil decir que eres un buen cazador en un mundo donde las bestias reaparecen minutos después de matarlas.,,True,
Goblins vs Gnomes,Hobgoblin,Cada vez que juegas un esbirro con 1 de Ataque le otorga +2/+2.,Minion,GVG_104,,,True,Laurel D. Austin,Epic,2,3,3,Los hobgoblins harán una reunión para debatir sobre los beneficios del sindicato. Primer tema de la nómina: ¡plan dental!,,,
Goblins vs Gnomes,Hojas giratorias,+1 de Ataque.,Enchantment,PART_007e,,,,,,,,,,,,
Goblins vs Gnomes,Hojas giratorias,Otorga +1 de Ataque a un esbirro.,Spell,PART_007,,,,Nutchapol Thitinunthakorn,,,1,,,,,
Goblins vs Gnomes,Iluminadora,Si al final de tu turno controlas un <b>Secreto</b> restaura 4 de Salud a tu héroe.,Minion,GVG_089,,,True,Jim Nelson,Rare,2,3,4,¿¡Cómo "LUMOS"!? ¿Qué te crees que es esto? ¿Hogwarts?,,,
Goblins vs Gnomes,Infantería de Gnomeregan,<b>Carga</b>
<b>Provocación</b>,Minion,GVG_098,,Charge|Taunt,True,Zoltan & Gabor,Common,1,3,4,Cuando termina la batalla los valientes gnomos están listos para volver a su caluroso y mal ventilado hogar.,,,
Goblins vs Gnomes,Intendente,<b>Grito de batalla:</b> otorga +2/+2 a tus Reclutas de la Mano de Plata.,Minion,GVG_060,Paladin,Battlecry,True,Phroilan Gardner,Epic,2,5,5,Nadie puede acusarlo de no tener las mejores intendencias... digo intenciones.,,,
Goblins vs Gnomes,Jeeves,Al final del turno de cada jugador ese jugador roba cartas hasta tener 3.,Minion,GVG_094,,,True,Matt Dixon,Rare,1,4,4,¡Limpia pule y reparte cartas con una sonrisa!,Mech,,
Goblins vs Gnomes,Joyatrón 3000,<b>Grito de batalla:</b> equipa un arma aleatoria para cada jugador.,Minion,GVG_119,,Battlecry,True,Jomaro Kindred,Legendary,3,5,4,PREPAREN LOS SERVOS DE FIESTA PARA DESPLIEGUE INMEDIATO.,Mech,True,
Goblins vs Gnomes,Lanzabombas,<b>Grito de batalla:</b> inflige 4 de daño a un esbirro enemigo aleatorio.,Minion,GVG_099,,Battlecry,True,Luca Zontini,Rare,3,5,3,Los que lo conocen saben que su pasión por lanzar bombas no se limita a los explosivos: también le encanta dar malas noticias.,,,
Goblins vs Gnomes,Leva,Invoca tres Reclutas de la Mano de Plata 1/1. Equipa un arma 1/4.,Spell,GVG_061,Paladin,,True,Mike Hayes,Rare,,3,,"¡Toma este guacamole!" —Uno de los gritos de guerra más exitosos y extraños de la Mano de Plata.,,,
Goblins vs Gnomes,Leviatán de llamas,Cuando robas esta carta inflige 2 de daño a todos los personajes.,Minion,GVG_007,Mage,,True,Aleksi Briclot,Legendary,7,7,7,Mimiron adora sacar a pasear al Leviatán de llamas los fines de semana.,Mech,True,
Goblins vs Gnomes,Llamado de los ancestros,Coloca un esbirro aleatorio de la mano de cada jugador en el campo de batalla.,Spell,GVG_029,Shaman,,True,Dan Scott,Epic,,4,,"¡Qué onda Ancestros!" —Llamado de los ancestros,,,
Goblins vs Gnomes,Llamar a mascota,Roba una carta.
Si es una Bestia cuesta (4) menos.,Spell,GVG_017,Hunter,,True,E.M. Gist,Rare,,2,,Un verdadero cazador es el que se atreve a domesticar cangrejos hambrientos.,,,
Goblins vs Gnomes,Llave maestra,Tiene +2 de Ataque si tienes un Meca.,Weapon,GVG_024,Rogue,Aura,True,Richard Wright,Epic,1,3,,Tuercas saca ¡y a los troggs machaca!,,,3
Goblins vs Gnomes,Lumibomba,Inflige a los esbirros una cantidad de daño equivalente a su Ataque.,Spell,GVG_008,Priest,AffectedBySpellPower,True,Luca Zontini,Epic,,6,,Esto es lo que pasa cuando dejas que los goblins sean sacerdotes.,,,
Goblins vs Gnomes,Luz de los Naaru,Restaura #3 de Salud. Si el objetivo sigue dañado invoca una Celadora de la luz.,Spell,GVG_012,Priest,,True,Jesper Ejsing,Rare,,1,,¿No sería genial usar esta luz en fiestas electrónicas?,,,
Goblins vs Gnomes,Maestra del dolor,Cada vez que este esbirro inflige daño restaura la misma cantidad de Salud a tu héroe.,Minion,GVG_018,Warlock,,True,Carl Critchlow,Rare,1,2,4,Su hermana es la Maestra del olor. Vende perfumes y practica aromaterapia.,Demon,,
Goblins vs Gnomes,Maestro de los engranajes,Tiene +2 de Ataque mientras tengas un Meca.,Minion,GVG_013,,Aura,True,Trent Kaniuga,Common,1,1,2,Después de un tiempo dejas de ver engranajes y pistones. Todo lo que ves es robot montura araña rayo mortal...,,,
Goblins vs Gnomes,Maestro reductor,<b>Grito de batalla:</b> otorga -2 de Ataque a un esbirro en este turno.,Minion,GVG_011,Priest,Battlecry,True,Jim Nelson,Common,3,2,2,Después de la catástrofe del Amplificador de mundo los gnomos no quieren saber nada de inventos que alteran el tamaño.,,,
Goblins vs Gnomes,Magia metabolizada,Aumenta el Ataque.,Enchantment,GVG_067a,,Aura,,,,,,,,,,
Goblins vs Gnomes,Magia metabolizada,Aumenta el Ataque.,Enchantment,GVG_068a,,Aura,,,,,,,,,,
Goblins vs Gnomes,MalGanis,Tus otros Demonios tienen +2/+2.
Tu héroe es <b>Inmune</b>.,Minion,GVG_021,Warlock,Aura,True,Wayne Reynolds,Legendary,9,9,7,A MalGanis no le gusta que lo traicionen. Puedes descartarlo... pero prepárate.,Demon,True,
Goblins vs Gnomes,Malorne,<b>Estertor:</b> coloca este esbirro en tu mazo.,Minion,GVG_035,Druid,Deathrattle,True,Oliver Chipping,Legendary,9,7,7,Malorne no muestra piedad a los demonios pero llora como una Magdalena cuando mira Bambi.,Beast,True,
Goblins vs Gnomes,Máquina de asedio,Cada vez que obtienes Armadura este esbirro obtiene +1 de Ataque.,Minion,GVG_086,Warrior,,True,Zero Yue,Rare,5,5,5,¡El único punto débil de la fortaleza de Conquista del Invierno!,Mech,,
Goblins vs Gnomes,Máquina voladora,<b>Viento furioso</b>,Minion,GVG_084,,Windfury,True,Matt Dixon,Common,1,3,4,Incluye un desodorante de pino una botella de autobrillo y uno de esos muñecos que mueven la cabeza.,Mech,,
Goblins vs Gnomes,Martillo engranado,<b>Grito de batalla:</b> otorga <b>Escudo divino</b> y <b>Provocación</b> a un esbirro aliado aleatorio.,Weapon,GVG_059,Paladin,Battlecry,True,Danny Orizio,Epic,2,3,,Veamos: ¿tomaste esto de una máquina le grabaste algunas runas le clavaste una empuñadura y ahora dices que es un arma con un gran poder divino...? Parece auténtico.,,,3
Goblins vs Gnomes,Mazo de guerra ogro,50% de probabilidades de atacar al enemigo equivocado.,Weapon,GVG_054,Warrior,,True,Richard Wright,Common,4,3,,Simple descarriado y MUY peligroso. Como casi todas las cosas ogras bah.,,,2
Goblins vs Gnomes,Meca-oso-gato,Cada vez que este esbirro recibe daño agrega una carta de <b>Pieza de repuesto</b> a tu mano.,Minion,GVG_034,Druid,,True,Trent Kaniuga,Rare,7,6,6,El pobrecito tiene un tremendo trastorno de personalidad... no sabe si hibernar o salir a cazar ratones.,Mech,,
Goblins vs Gnomes,Mecamejorador,<b>Grito de batalla:</b> otorga <b>Viento furioso</b> <b>Provocación</b> o <b>Escudo divino</b> a tus otros esbirros.
<i>(Aleatoriamente)</i>,Minion,GVG_107,,Battlecry,True,Zoltan Boros,Epic,3,4,2,¡Ahora sus mejoras son libres de gluten!,Mech,,
Goblins vs Gnomes,Mecatransportador,Tus Mecas cuestan (1) menos.,Minion,GVG_006,,Aura,True,Phil Saunders,Common,2,2,3,¿Mecas que invocan mecas? ¿Y después qué? ¿Pizzas que invocan pizzas? Mmm... pizzas.,Mech,,
Goblins vs Gnomes,Megamaza,<b>Estertor</b>: otorga +2/+2 a un Meca aliado aleatorio.,Weapon,GVG_036,Shaman,Deathrattle,True,Zoltan and Gabor,Rare,3,3,,La gente cree que los chamanes controlan los elementos. En realidad ellos piden por favor y los elementos tienen el sí fácil.,,,2
Goblins vs Gnomes,Mekigeniero Termochufe,Cada vez que muere un esbirro enemigo invoca un Gnomo paria.,Minion,GVG_116,,,True,Trent Kaniuga,Legendary,9,9,7,Estaba obsesionado con los explosivos hasta que descubrió el crochet. Ahora grita: “¡BUFANDAS! ¡MÁS BUFANDAS!”,Mech,True,
Goblins vs Gnomes,Mina enterrada,Cuando robas esta carta explota. Recibes 10 de daño y robas una carta.,Spell,GVG_056t,Warrior,ImmuneToSpellpower,,Chris Seaman,,,0,,,,,
Goblins vs Gnomes,Minibot protegido,<b>Escudo divino</b>,Minion,GVG_058,Paladin,Divine Shield,True,Raymond Swanland,Common,2,2,2,¡Él elige creer en sus creencias programadas!,Mech,,
Goblins vs Gnomes,Minimago,<b>Sigilo</b>
<b>Daño de hechizo +1</b>,Minion,GVG_109,,Spellpower|Stealth,True,Ben Olson,Epic,4,4,1,A veces lo encuentran escondido en el cofre del tesoro de la Arena Gurubashi.,,,
Goblins vs Gnomes,Mística de Kezan,<b>Grito de batalla:</b> toma el control de un <b>Secreto</b> enemigo aleatorio.,Minion,GVG_074,,Battlecry,True,Jakub Kasper,Rare,4,4,3,Fingen ser sabias e iluminadas pero en realidad mueren de odio cuando las dejan fuera de un secreto.,,,
Goblins vs Gnomes,Modo de ataque,+1 de Ataque.,Enchantment,GVG_030ae,Druid,,,,,,,,,,,
Goblins vs Gnomes,Modo de ataque,+1 de Ataque.,Spell,GVG_030a,Druid,,,,,,,,,,,
Goblins vs Gnomes,Modo defensivo,+1 de Salud.,Spell,GVG_030b,Druid,,,,,,,,,,,
Goblins vs Gnomes,Modo defensivo,+1 de Salud.,Enchantment,GVG_030be,Druid,,,,,,,,,,,
Goblins vs Gnomes,Mogor el ogro,Todos los esbirros tienen un 50% de probabilidad de atacar al enemigo equivocado.,Minion,GVG_112,,,True,Michal Ivan,Legendary,7,6,6,Una vez pidieron la ayuda de Mogor para reabrir el Portal oscuro. No hay dudas: si tienes que recurrir a un ogro estás en serios problemas.,,True,
Goblins vs Gnomes,Molestrón,<b>Provocación</b>
<b>Escudo divino</b>,Minion,GVG_085,,Divine Shield|Taunt,True,Matt Dixon,Common,1,2,2,Al inventor del Molestrón lo expulsaron inmediatamente de la escuela de Manitas lo echaron de la ciudad y por último le prohibieron volver a poner un pie en los Reinos del Este.,Mech,,
