SET,TYPE,ID,NAME,TEXT,COST,MECHANICS,COLLECTIBLE,ARTIST,RARITY,ATTACK,HEALTH,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,ELITE,RACE,DURABILITY
Curse of Naxxramas,Minion,FP1_007t,Nerubiano,,3,,,,Rare,4,4,,,,,,,
Curse of Naxxramas,Hero,NAX4_01H,Noth el Pesteador,,,,,,,,45,,,,Mage,,,
Curse of Naxxramas,Hero,NAX4_01,Noth el Pesteador,,,,,,,,30,,,,Mage,,,
Curse of Naxxramas,Hero Power,NAX11_02,Nube venenosa,<b>Poder de héroe</b>
Inflige 1 de daño a todos los esbirros. Si alguno muere invoca una babosa.,2,,,,,,,,,,,,,
Curse of Naxxramas,Hero Power,NAX11_02H,Nube venenosa,<b>Poder de héroe</b>
Inflige 2 de daño a todos los enemigos. Si alguno muere invoca una babosa.,0,,,,,,,,,,,,,
Curse of Naxxramas,Spell,NAX4_05,Peste,Destruye a todos los esbirros que no son Esqueletos.,6,,,,,,,,,,,,,
Curse of Naxxramas,Weapon,FP1_021,Picadura de la Muerte,<b>Estertor:</b> inflige 1 de daño a todos los esbirros.,4,Deathrattle,True,Jim Nelson,Common,4,,Se puede crear luego de completar el desafío clase Guerrero en Naxxramas.,&bdquo;Muerte con gusto no pica&bdquo;. —McScruff el Señor de la muerte,Desbloqueada por completar el desafío clase Guerrero en Naxxramas.,Warrior,,,2
Curse of Naxxramas,Enchantment,FP1_023e,Poder del zigurat,+3 de Salud.,,,,,,,,,,,Priest,,,
Curse of Naxxramas,Enchantment,NAX13_02e,Polaridad,Ataque y Salud intercambiados.,,,,,,,,,,,,,,
Curse of Naxxramas,Minion,NAX8_03t,Practicante espectral,Al comienzo de tu turno inflige 1 de daño a tu héroe.,1,,,,,0,2,,,,,,,
Curse of Naxxramas,Minion,NAX8_03,Practicante inflexible,<b>Estertor:</b> invoca un Practicante espectral para tu adversario.,1,Deathrattle,,,,2,2,,,,,,,
Curse of Naxxramas,Spell,NAX6_04,Ráfaga de esporas,Inflige $1 de daño a todos los esbirros enemigos. Invoca una Espora.,1,,,,,,,,,,,,,
Curse of Naxxramas,Spell,FP1_025,Reencarnación,Destruye un esbirro y luego devuélvelo a la vida con toda la Salud.,2,,True,Dan Scott,Common,,,Se puede crear luego de completar el desafío clase Chamán en Naxxramas.,Es como nacer salvo que eres adulto y hasta hace un segundo estabas muerto.,Desbloqueada por completar el desafío clase Chamán en Naxxramas.,Shaman,,,
Curse of Naxxramas,Hero,NAX10_01H,Remendejo,,,,,,,,45,,,,,,,
Curse of Naxxramas,Hero,NAX10_01,Remendejo,,,,,,,,30,,,,,,,
Curse of Naxxramas,Hero,NAX14_01,Sapphiron,,,,,,,,30,,,,,,,
Curse of Naxxramas,Hero,NAX14_01H,Sapphiron,,,,,,,,45,,,,,,,
Curse of Naxxramas,Spell,FP1_019,Semillas venenosas,Destruye a todos los esbirros e invoca Antárboles 2/2 para reemplazarlos.,4,,True,Brian Despain,Common,,,Se puede crear luego de completar el desafío clase Druida en Naxxramas.,El &bdquo;Vensemillado&bdquo; es el plato menos pedido en el Emporio del guiso druida.,Desbloqueada por completar el desafío clase Druida en Naxxramas.,Druid,,,
Curse of Naxxramas,Minion,FP1_009,Señor de la muerte,<b>Provocación. Estertor:</b> tu adversario pone un esbirro de su mazo en el campo de batalla.,3,Deathrattle|Taunt,True,Ben Olson,Rare,2,8,Se puede crear luego de derrotar a Los cuatro jinetes en el Arrabal Militar.,&bdquo;¡Levántate de tu tumba!&bdquo; —Kel&sbquo;Thuzad,Desbloqueada por derrotar a Los cuatro jinetes en el Arrabal Militar.,,,,
Curse of Naxxramas,Minion,NAX9_03H,Señor feudal Korth&sbquo;azz,Tu héroe es <b>Inmune</b>.,3,,,,,2,7,,,,,True,,
Curse of Naxxramas,Minion,NAX9_03,Señor feudal Korth&sbquo;azz,Tu héroe es <b>Inmune</b>.,3,,,,,1,7,,,,,True,,
Curse of Naxxramas,Minion,FP1_017,Señor telaraña Nerub&sbquo;ar,Los esbirros con <b>Grito de batalla</b> cuestan (2) más.,2,Aura,True,Alex Horley Orlandelli,Common,1,4,Se puede crear luego de derrotar a la Gran Viuda Faerlina en el Arrabal Arácnido.,Los Señores telaraña pasan el día armando camas elásticas gigantes.,Desbloqueada por derrotar a la Gran Viuda Faerlina en el Arrabal Arácnido.,,,,
Curse of Naxxramas,Enchantment,NAX15_04a,Siervo de Kel&sbquo;Thuzad,¡MÍO!,,,,,,,,,,,,,,
Curse of Naxxramas,Minion,NAX9_04H,Sir Zeliek,Tu héroe es <b>Inmune</b>.,3,,,,,2,7,,,,,True,,
Curse of Naxxramas,Minion,NAX9_04,Sir Zeliek,Tu héroe es <b>Inmune</b>.,3,,,,,1,7,,,,,True,,
Curse of Naxxramas,Minion,FP1_005,Sombra de Naxxramas,<b>Sigilo.</b> Al comienzo de tu turno obtiene +1/+1.,3,Stealth,True,Ittoku Seta,Epic,2,2,Se puede crear luego de derrotar a Kel&sbquo;Thuzad en la Guarida de la Vermis.,Dicen que en Naxxramas faltan 50 sombras porque se fueron con Grey.,Desbloqueada por derrotar a Kel&sbquo;Thuzad en la Guarida de la Vermis.,,,,
Curse of Naxxramas,Hero Power,NAX9_06,Sombra impía,<b>Poder de héroe</b>
Roba 2 cartas.,5,,,,,,,,,,,,,
Curse of Naxxramas,Minion,FP1_014,Stalagg,<b>Estertor:</b> si Feugen también murió en esta partida invoca a Thaddius.,5,Deathrattle,True,Dany Orizio,Legendary,7,4,Se puede crear luego de completar el Arrabal de los Ensamblajes.,Stalagg escribe su propia frase sin ayuda. &bdquo;¡STALAGG GENIO!&bdquo;.,Desbloqueada por completar el Arrabal de los Ensamblajes.,,True,,
Curse of Naxxramas,Minion,NAX13_05H,Stalagg,,5,,,,Legendary,7,4,,,,,True,,
Curse of Naxxramas,Spell,NAX13_03,Supercarga,Otorga +2 de Salud a tus esbirros.,2,,,,,,,,,,,,,
Curse of Naxxramas,Enchantment,NAX13_03e,Supercargado,+2 de Salud.,,,,,,,,,,,,,,
Curse of Naxxramas,Minion,NAX7_02,Suplente,<b>Provocación</b>,2,Taunt,,,,0,7,,,,,,,
Curse of Naxxramas,Minion,FP1_011,Tejerred,<b>Estertor:</b> agrega una Bestia aleatoria a tu mano.,1,Deathrattle,True,Dan Brereton,Common,1,1,Se puede crear luego de completar el desafío clase Cazador en Naxxramas.,¡Los capullos de arañas son como minipiñatas!,Desbloqueada por completar el desafío clase Cazador en Naxxramas.,Hunter,,Beast,
Curse of Naxxramas,Hero,NAX13_01,Thaddius,,,,,,,,30,,,,,,,
Curse of Naxxramas,Minion,FP1_014t,Thaddius,,10,,,,Legendary,11,11,,,,,True,,
Curse of Naxxramas,Hero,NAX13_01H,Thaddius,,,,,,,,45,,,,,,,
Curse of Naxxramas,Hero Power,NAX3_02H,Trampa arácnida,<b>Poder de héroe</b>
Devuelve 2 esbirros enemigos aleatorios a la mano de tu adversario.,0,,,,,,,,,,,,,
Curse of Naxxramas,Hero Power,NAX3_02,Trampa arácnida,<b>Poder de héroe</b>
