MECHANICS,COLLECTIBLE,SET,NAME,ARTIST,TEXT,RARITY,ATTACK,COST,HEALTH,RACE,FLAVOR,TYPE,ID,PLAYERCLASS,ELITE,DURABILITY
Taunt,True,Goblins vs Gnomes,Cible leurre,Matt Dixon,<b>Provocation</b>,Rare,0,0,2,Mech,L’équivalent technologique d’une pancarte « Frappez-moi ».,Minion,GVG_093,,,
Aura,True,Goblins vs Gnomes,Clé de maître des rouages,Richard Wright,A +2 ATQ tant que vous avez un Méca.,Epic,1,3,,,Serre les vis et fracasse les troggs !,Weapon,GVG_024,Rogue,,3
Battlecry,True,Goblins vs Gnomes,Cliquetteur perce-vrille,Jesper Esjing,<b>Cri de guerre :</b> donne +2/+2 à un Méca allié.,Rare,2,4,5,Mech,S’il tombe en panne donnez-lui un grand coup en criant « Saleté de Méca ! »,Minion,GVG_055,Warrior,,
,,Goblins vs Gnomes,Cœur de démon,,+5/+5.,,,,,,,Enchantment,GVG_019e,Warlock,,
,True,Goblins vs Gnomes,Cœur de démon,Kerem Beyit,Inflige $5 |4(pointpoints) de dégâts à un serviteur. Si c’est un démon allié lui donne +5/+5 à la place.,Epic,,5,,,C’est la preuve que les démons ont bien un cœur.,Spell,GVG_019,Warlock,,
,True,Goblins vs Gnomes,Cogneguerre ogre,Richard Wright,50% de chance d’attaquer le mauvais adversaire.,Common,4,3,,,Une masse basique aberrante mais surtout incroyablement dangereuse. Enfin comme la plupart des objets ogres.,Weapon,GVG_054,Warrior,,2
Spellpower,True,Goblins vs Gnomes,Cracheur de suie,Phil Saunders,<b>Dégâts des sorts : +1</b>,Rare,3,3,3,Mech,Cette manie que tu as de cracher partout comme un lama !,Minion,GVG_123,Mage,,
,True,Goblins vs Gnomes,Crépitement,Warren Mahy,Inflige $3 à $6 points de dégâts. <b>Surcharge :</b> (1),Common,,2,,,Quand vous lancez ce sort et que vous entendez la cible faire cric crac croc c’est légèrement déconcertant.,Spell,GVG_038,Shaman,,
Deathrattle,True,Goblins vs Gnomes,Déchiqueteur piloté,Dan Scott,<b>Râle d’agonie :</b> invoque un serviteur aléatoire coûtant 2 cristaux.,Common,4,4,3,Mech,Autrefois seuls les gobelins pilotaient les déchiqueteurs. Aujourd’hui c’est devenu tellement branché que même le chroniqueur Cho en conduit un !,Minion,GVG_096,,,
,,Goblins vs Gnomes,Dents de métal,,+2 ATQ.,,,,,,,Enchantment,GVG_048e,Hunter,,
,,Goblins vs Gnomes,Diablotin,,,,1,1,1,Demon,,Minion,GVG_045t,Warlock,,
,,Goblins vs Gnomes,Dissimulé,,La Vie a été échangée.,,,,,,,Enchantment,GVG_014a,Priest,,
,,Goblins vs Gnomes,Don de carte,,Chaque joueur pioche une carte.,,,,,,,Spell,GVG_032b,Druid,,
,,Goblins vs Gnomes,Don de mana,,Donne à chaque joueur un cristal de mana.,,,,,,,Spell,GVG_032a,Druid,,
Battlecry,True,Goblins vs Gnomes,Dr Boum,Alex Garner,<b>Cri de guerre :</b> invoque deux Ro’Boum 1/1. <i>ATTENTION : les Ro’Boum peuvent exploser.</i>,Legendary,7,7,7,,À GENOUX DEVANT LE DOCTEUR BOUM !,Minion,GVG_110,,True,
,,Goblins vs Gnomes,Druide du Croc,Massive Black,,,7,5,7,Beast,,Minion,GVG_080t,Druid,,
Battlecry,True,Goblins vs Gnomes,Druide du Croc,Brandon Kitkouski,<b>Cri de guerre :</b> si vous avez une Bête transforme ce serviteur en une carte 7/7.,Common,4,5,4,,Ses crocs sont tranchants il aime votre goût. Mieux vaut prendre vos jambes à votre cou.,Minion,GVG_080,Druid,,
,True,Goblins vs Gnomes,Écho de Medivh,Alex Garner,Place une copie de chaque serviteur allié dans votre main.,Epic,,4,,,Tout est une copie d&sbquo;une copie d&sbquo;une copie...,Spell,GVG_005,Mage,,
,True,Goblins vs Gnomes,Écraser,Michael Sutfin,Détruit un serviteur. Si vous avez un serviteur blessé cette carte coûte (4) cristaux de moins.,Epic,,7,,,Écraser ses adversaires avec cette carte les voir mourir devant soi et entendre les lamentations de leurs femmes. Qu’y a-t-il de mieux dans la vie ?,Spell,GVG_052,Warrior,,
,True,Goblins vs Gnomes,Engin de siège,Zero Yue,Chaque fois que vous gagnez de l’Armure donne +1 ATQ à ce serviteur.,Rare,5,5,5,Mech,Le seul point faible de la forteresse de Joug-d’hiver !,Minion,GVG_086,Warrior,,
Divine Shield|Taunt,True,Goblins vs Gnomes,Ennuy-o-tron,Matt Dixon,<b>Provocation</b>
<b>Bouclier divin</b>,Common,1,2,2,Mech,Son inventeur a immédiatement été renvoyé de l’école des bricoleurs et banni de Brikabrok avant de finalement être expulsé de l’ensemble des royaumes de l’Est.,Minion,GVG_085,,,
,True,Goblins vs Gnomes,Éruption de diablotins,Jaemin Kim,Inflige $2 à $4 points de dégâts à un serviteur. Invoque un diablotin 1/1 pour chaque point de dégâts infligé.,Rare,,4,,,Bien pires qu’une éruption de boutons.,Spell,GVG_045,Warlock,,
,,Goblins vs Gnomes,Étreinte de Mal’Ganis,,Mal’Ganis confère +2/+2.,,,,,,,Enchantment,GVG_021e,Warlock,,
Battlecry,True,Goblins vs Gnomes,Expérimentateur gnome,Jesper Esjing,<b>Cri de guerre :</b> vous piochez une carte. Si c’est un serviteur le transforme en poulet.,Rare,3,3,2,,Il est toujours surpris quand il se transforme lui-même en poulet.,Minion,GVG_092,,,
Battlecry,True,Goblins vs Gnomes,Explomage gobelin,Glenn Rane,<b>Cri de guerre :</b> si vous possédez un Méca inflige 4 points de dégâts répartis de façon aléatoire entre tous les adversaires.,Rare,5,4,4,,Je t&sbquo;exploserai moi-même la cervelle… personnellement !,Minion,GVG_004,Mage,,
,True,Goblins vs Gnomes,Faucheur 4000,James Ryman,Inflige également des dégâts aux serviteurs à côté de celui qu’il attaque.,Legendary,6,8,9,Mech,Faucheur ou moissonneur au final c’est du pareil au même.,Minion,GVG_113,,True,
,True,Goblins vs Gnomes,Feindre la mort,Luca Zontini,Déclenche tous les <b>Râles d’agonie</b> de vos serviteurs.,Epic,,2,,,Le plus difficile c’est d’apprendre à exhaler une odeur de mort authentique ça demande beaucoup de pratique.,Spell,GVG_026,Hunter,,
,,Goblins vs Gnomes,Ferraille tordue,,+2/+2.,,,,,,,Enchantment,GVG_055e,Warrior,,
,True,Goblins vs Gnomes,Gahz’rilla,Raymond Swanland,Chaque fois que ce serviteur subit des dégâts double son Attaque.,Legendary,6,7,9,Beast,Les coups au cœur les coups au corps ce qui ne le tue pas le rend plus fort.,Minion,GVG_049,Hunter,True,
,True,Goblins vs Gnomes,Gangrecanon,Matt Gaser,À la fin de votre tour inflige 2 points de dégâts à un serviteur non Méca.,Rare,3,4,5,Mech,L’étiquette indique « Version améliorée contient 200% de gangrène supplémentaire ! »,Minion,GVG_020,Warlock,,
,True,Goblins vs Gnomes,Gardien de cobalt,Jim Nelson,Chaque fois que vous invoquez un Méca gagne <b>Bouclier divin</b>.,Rare,6,5,3,Mech,La ligne des Gardiens a été construite en vrai-argent pendant de nombreuses années avant que l’usine soit délocalisée à Gadgetzan.,Minion,GVG_062,Paladin,,
,True,Goblins vs Gnomes,Gazleu,Luke Mancini,Chaque fois que vous lancez un sort à 1 cristal ajoute un Méca aléatoire dans votre main.,Legendary,3,6,6,,À l’école Gazleu a été élu étudiant « le plus susceptible d’exploser ».,Minion,GVG_117,,True,
,True,Goblins vs Gnomes,Géant mécanique,Dan Scott,Coûte (1) |4(cristal cristaux) de moins pour chaque carte dans la main de votre adversaire.,Epic,8,12,8,Mech,Le géant des montagnes et lui ne s’entendent guère.,Minion,GVG_121,,,
,,Goblins vs Gnomes,Glaivezooka,,+1 ATQ.,,,,,,,Enchantment,GVG_043e,Hunter,,
Battlecry,True,Goblins vs Gnomes,Glaivezooka,Gino Whitehall,<b>Cri de guerre :</b> donne +1 ATQ à un serviteur allié aléatoire.,Common,2,2,,,Glaivezooka qui peut te battre ?,Weapon,GVG_043,Hunter,,2
Deathrattle,True,Goblins vs Gnomes,Gnome mécanique,Matt Dixon,<b>Râle d’agonie :</b> ajoute une carte <b>Pièce détachée</b> dans votre main.,Common,2,1,1,Mech,« Tu veux un petit clou ? »,Minion,GVG_082,,,
Deathrattle,True,Goblins vs Gnomes,Golem céleste piloté,Michael Phillippi,<b>Râle d’agonie :</b> invoque un serviteur aléatoire coûtant 4 cristaux.,Epic,6,6,4,Mech,Le summum de l’ingénierie gobeline. Masse les pieds et fait le café.,Minion,GVG_105,,,
,True,Goblins vs Gnomes,Golem d’anima,Josh Harris,À la fin de chaque tour détruit ce serviteur si c’est le seul que vous avez.,Epic,9,6,9,Mech,Le sombre animus est maléfique et mystérieux. Il est également très gros et incapable d’écrire des phrases grammaticalement correctes.,Minion,GVG_077,Warlock,,
,True,Goblins vs Gnomes,Guetteur flottant,Todd Lockwood,Chaque fois que votre héros subit des dégâts pendant votre tour
gagne +2/+2.,Common,4,5,4,Demon,Les guetteurs nous surveillent mais qui surveille les guetteurs ?,Minion,GVG_100,Warlock,,
,True,Goblins vs Gnomes,Haut-trotteur égaré,Benjamin Zhang,,Common,5,4,4,Beast,Sur son collier on peut lire : « Si vous le trouvez merci de le renvoyer à Mulgore ».,Minion,GVG_071,,,
Battlecry,True,Goblins vs Gnomes,Hemet Nesingwary,Ralph Horsley,<b>Cri de guerre :</b> détruit une Bête.,Legendary,6,5,3,,Dans un monde où les bêtes réapparaissent quelques minutes après avoir été tuées un chasseur a du mal à gagner sa vie.,Minion,GVG_120,,True,
,True,Goblins vs Gnomes,Hobgobelin,Laurel D. Austin,Chaque fois que vous jouez un serviteur avec 1 ATQ lui donne +2/+2.,Epic,2,3,3,,Voilà ce qui arrive quand on ne se brosse pas les dents trois fois par jour !,Minion,GVG_104,,,
Combo,True,Goblins vs Gnomes,Huile d’affûtage de Bricoleur,Den,Confère à votre arme +3 ATQ. <b>Combo :</b> donne à un serviteur allié aléatoire +3 ATQ.,Common,,4,,,J’aime quand on m’enduit d’huile…,Spell,GVG_022,Rogue,,
,,Goblins vs Gnomes,Huile d’affûtage de Bricoleur,,+3 ATQ.,,,,,,,Enchantment,GVG_022a,,,
,,Goblins vs Gnomes,Huile d’affûtage de Bricoleur,,+3 ATQ.,,,,,,,Enchantment,GVG_022b,,,
,True,Goblins vs Gnomes,Illuminatrice,Jim Nelson,Si vous contrôlez un <b>Secret</b> à la fin de votre tour rend 4 PV à votre héros.,Rare,2,3,4,,On ne l’a jamais entendue crier « LUMOS ! » vous vous croyez où moldu ?,Minion,GVG_089,,,
Charge|Taunt,True,Goblins vs Gnomes,Infanterie de Gnomeregan,Zoltan & Gabor,<b>Charge</b>
<b>Provocation</b>,Common,1,3,4,,Le seul gnome qui est mort d’avoir fait un trou à son pantalon était retourné à Gnomeregan !,Minion,GVG_098,,,
Battlecry,True,Goblins vs Gnomes,Intendant,Phroilan Gardner,<b>Cri de guerre :</b> donne +2/+2 à vos recrues de la Main d’argent.,Epic,2,5,5,,On va l’retrouver éparpillé par petits bouts façon puzzle. Moi quand on m’en fait trop je correctionne plus : j’dynamite… j’disperse… j’ventile !,Minion,GVG_060,Paladin,,
,,Goblins vs Gnomes,Inverseur,Nutthapon Petthai,Inverse l’Attaque et la Vie d’un serviteur.,,,1,,,,Spell,PART_006,,,
,,Goblins vs Gnomes,Inversion,,L’Attaque et la Vie ont été échangées par l’inverseur.,,,,,,,Enchantment,PART_006a,,,
,True,Goblins vs Gnomes,Jeeves,Matt Dixon,À la fin du tour d’un joueur ce dernier pioche jusqu’à avoir 3 cartes.,Rare,1,4,4,Mech,Moitié gnome moitié machine. Son squelette est un mécanisme de majordome hyper sophistiqué.,Minion,GVG_094,,,
,,Goblins vs Gnomes,Klaxon rouillé,Peerasak Senalai,Confère <b>Provocation</b> à un serviteur.,,,1,,,,Spell,PART_003,,,
,,Goblins vs Gnomes,Lame affûtée,,+1 ATQ.,,,,,,,Enchantment,GVG_023a,,,
,True,Goblins vs Gnomes,Lame rebondissante,Andrew Hou,Inflige $1 |4(pointpoints) de dégâts à un serviteur aléatoire. Recommence jusqu’à ce qu’un serviteur meure.,Epic,,3,,,Il n’y a que des gobelins pour avoir une idée pareille. Et encore ils commencent à la regretter.,Spell,GVG_050,Warrior,,
,,Goblins vs Gnomes,Lames tourbillonnantes,Nutchapol Thitinunthakorn,Donne +1 ATQ à un serviteur.,,,1,,,,Spell,PART_007,,,
,,Goblins vs Gnomes,Lames tourbillonnantes,,+1 ATQ.,,,,,,,Enchantment,PART_007e,,,
,,Goblins vs Gnomes,Le roi,,Attaque augmentée.,,,,,,,Enchantment,GVG_046e,Hunter,,
,True,Goblins vs Gnomes,Léviathan des flammes,Aleksi Briclot,Quand vous piochez cette carte inflige 2 points de dégâts à tous les personnages.,Legendary,7,7,7,Mech,Mimiron et sa monture ! Un héros des temps modernes dernier recours des innocents des sans-espoir victimes d’un monde cruel et impitoyable !,Minion,GVG_007,Mage,True,
Freeze,,Goblins vs Gnomes,Liquide de refroidissement,Peerasak Senalai,<b>Gèle</b> un serviteur.,,,1,,,,Spell,PART_005,,,
Battlecry,True,Goblins vs Gnomes,Lobe-Bombe,Luca Zontini,<b>Cri de guerre :</b> inflige 4 points de dégâts à un serviteur adverse aléatoire.,Rare,3,5,3,,Il faut se méfier des bombes… Comme on dit chez nous : « Para lobar la bomba… »,Minion,GVG_099,,,
,True,Goblins vs Gnomes,Lumière des naaru,Jesper Ejsing,Rend #3 |4(pointpoints) de vie. Si la cible est toujours blessée invoque un Gardelumière.,Rare,,1,,,« Allumez-moi ça ! » - Ordre s’appliquant aussi bien aux gardelumières qu’aux gobelins armés de lance-flammes.,Spell,GVG_012,Priest,,
Windfury,True,Goblins vs Gnomes,Machine volante,Matt Dixon,<b>Furie des vents</b>,Common,1,3,4,Mech,Pour fonctionner cette machine doit avoir une danseuse de hula sur le tableau de bord. Sinon autant la mettre directement à la casse.,Minion,GVG_084,,,
Aura,,Goblins vs Gnomes,Magie métabolisée,,Attaque augmentée.,,,,,,,Enchantment,GVG_068a,,,
Aura,,Goblins vs Gnomes,Magie métabolisée,,Attaque augmentée.,,,,,,,Enchantment,GVG_067a,,,
Aura,True,Goblins vs Gnomes,Maître des rouages,Trent Kaniuga,A +2 ATQ tant que vous avez un Méca.,Common,1,1,2,,On finit par s’y habituer et en fait on ne voit même plus les rouages et les pignons : tout ce qu’on voit c’est des robots des chars-araignées des rayons de la mort…,Minion,GVG_013,,,
,True,Goblins vs Gnomes,Maîtresse de Douleur,Carl Critchlow,Chaque fois que ce serviteur inflige des dégâts rend l&sbquo;équivalent sous forme de PV à votre héros.,Rare,1,2,4,Demon,Sa sœur la maîtresse de Douceur vend des cupcakes et autres sucreries.,Minion,GVG_018,Warlock,,
Aura,True,Goblins vs Gnomes,Mal’Ganis,Wayne Reynolds,Vos autres démons ont +2/+2. Votre héros est <b>insensible</b>.,Legendary,9,9,7,Demon,Mal’Ganis n’aime pas être trahi donc attention à vous si vous vous en défaussez.,Minion,GVG_021,Warlock,True,
Deathrattle,True,Goblins vs Gnomes,Malorne,Oliver Chipping,<b>Râle d’agonie :</b> replace ce serviteur dans votre deck.,Legendary,9,7,7,Beast,« Ils vont voir de quels bois je me chauffe ! »,Minion,GVG_035,Druid,True,
,True,Goblins vs Gnomes,Marche-esprit aileron vaseux,Clint Langley,Chaque fois qu’un autre murloc allié meurt vous piochez une carte.
<b>Surcharge :</b> (1),Epic,2,4,5,Murloc,Il paraît que les esprits comprennent tout ce qu’on leur dit même « MRGHRGLGLGL ! » mais cette théorie est un peu vaseuse…,Minion,GVG_040,Shaman,,
Deathrattle,True,Goblins vs Gnomes,Masse de puissance,Zoltan and Gabor,<b>Râle d’agonie :</b> donne à un Méca allié aléatoire +2/+2.,Rare,3,3,,,On pense que les chamans contrôlent les éléments alors qu’ils leur demandent juste un coup de main et les éléments répondent genre « Ouais OK pourquoi pas ».,Weapon,GVG_036,Shaman,,2
Battlecry,True,Goblins vs Gnomes,Mastodonte de fer,Raymond Swanland,<b>Cri de guerre :</b> place une mine dans le deck de votre adversaire. Quand elle est piochée elle explose et inflige 10 points de dégâts.,Legendary,6,6,5,Mech,Il a été élu récemment « Employé du mois » pour son boulot à Orgrimmar !,Minion,GVG_056,Warrior,True,
,True,Goblins vs Gnomes,Mataf,Alex Horley Orlandelli,,Common,7,5,4,Pirate,Mais pourquoi est-il aussi méchant ???,Minion,GVG_070,,,
,True,Goblins vs Gnomes,Méca chat-ours,Trent Kaniuga,Chaque fois que ce serviteur subit des dégâts place une carte <b>Pièce détachée</b> dans votre main.,Rare,7,6,6,Mech,C’est un chat ? C’est un ours ? Non c’est un chat-ours !,Minion,GVG_034,Druid,,
Aura,True,Goblins vs Gnomes,Méca-téléporteur,Phil Saunders,Vos Méca coûtent (1) |4(cristalcristaux) de moins.,Common,2,2,3,Mech,Un Méca qui invoque des Méca ? Et puis quoi encore un donut qui invoque des donuts ? Hum un donut…,Minion,GVG_006,,,
Battlecry,True,Goblins vs Gnomes,Mécano-amplificateur,Zoltan Boros,<b>Cri de guerre :</b> donne à vos autres serviteurs <b>Furie des vents</b> <b>Provocation</b> ou <b>Bouclier divin</b>. <i>(Au hasard)</i>,Epic,3,4,2,Mech,Tu as demandé un miracle ? Je t’offre mieux !,Minion,GVG_107,,,
,True,Goblins vs Gnomes,Mekgénieur Thermojoncteur,Trent Kaniuga,Chaque fois qu’un serviteur adverse meurt invoque un gnome lépreux.,Legendary,9,9,7,Mech,Il était obsédé par les explosions jusqu’à ce qu’il découvre le crochet. Maintenant il ne hurle plus que « DES ABAT-JOUR ! ENCORE DES ABAT-JOUR ! »,Minion,GVG_116,,True,
,True,Goblins vs Gnomes,Micro-machine,Skan Srisuwan,Gagne +1 ATQ au début de chaque tour.,Common,1,2,2,Mech,C’est micro mais c’est géant !,Minion,GVG_103,,,
ImmuneToSpellpower,,Goblins vs Gnomes,Mine enfouie,Chris Seaman,Quand vous la piochez elle explose vous infligeant 10 points de dégâts. Vous piochez une carte.,,,0,,,,Spell,GVG_056t,Warrior,,
Battlecry|Taunt,True,Goblins vs Gnomes,Mini exorciste,Jim Nelson,<b>Provocation</b>. <b>Cri de guerre :</b> gagne +1/+1 pour chaque serviteur adverse avec <b>Râle d’agonie</b>.,Rare,2,3,3,,Quelle excellente journée pour un exorcisme !,Minion,GVG_097,,,
Aura,True,Goblins vs Gnomes,Mini stoppe-sort,Jonboy Meyers,Les serviteurs adjacents ne peuvent pas être la cible de sorts ou de pouvoirs héroïques.,Epic,2,4,5,,La plaie des lanceurs de sorts.,Minion,GVG_122,Mage,,
Spellpower|Stealth,True,Goblins vs Gnomes,Mini-mage,Ben Olson,<b>Camouflage</b>
<b>Dégâts des sorts : +1</b>,Epic,4,4,1,,Il se cache parfois dans le coffre au trésor de l’arène des Gurubashi.,Minion,GVG_109,,,
Divine Shield,True,Goblins vs Gnomes,Mini-robot blindé,Raymond Swanland,<b>Bouclier divin</b>,Common,2,2,2,Mech,Il préfère croire ce pour quoi il a été programmé !,Minion,GVG_058,Paladin,,
,,Goblins vs Gnomes,Mode Attaque,,+1 ATQ.,,,,,,,Spell,GVG_030a,Druid,,
,,Goblins vs Gnomes,Mode Attaque,,+1 ATQ.,,,,,,,Enchantment,GVG_030ae,Druid,,
,,Goblins vs Gnomes,Mode Char,,+1 PV.,,,,,,,Enchantment,GVG_030be,Druid,,
,,Goblins vs Gnomes,Mode Char,,+1 PV.,,,,,,,Spell,GVG_030b,Druid,,
,True,Goblins vs Gnomes,Mogor l’ogre,Michal Ivan,Tous les serviteurs ont 50% de chance d’attaquer le mauvais adversaire.,Legendary,7,6,6,,Mogor a autrefois participé à la réouverture de la Porte des ténèbres. Quand vous devez compter sur un ogre vous savez d’avance que vous êtes dans le pétrin.,Minion,GVG_112,,True,
Deathrattle,True,Goblins vs Gnomes,Mouton explosif,Ralph Horsley,<b>Râle d’agonie :</b> inflige 2 points de dégâts à tous les serviteurs.,Common,1,2,1,Mech,Un mouton ! Parce qu’on est tous un peu mouton tu sais…,Minion,GVG_076,,,
Battlecry,True,Goblins vs Gnomes,Mystique de Kezan,Jakub Kasper,<b>Cri de guerre :</b> prend le contrôle d’un <b>Secret</b> adverse aléatoire.,Rare,4,4,3,,Les mystiques prétendent être des sages éclairés mais en fait ils adorent surtout dénicher des secrets.,Minion,GVG_074,,,
Battlecry,True,Goblins vs Gnomes,Neptulon,Ruan Jia,<b>Cri de guerre :</b> ajoute 4 murlocs aléatoires dans votre main.
<b>Surcharge :</b> (3),Legendary,7,7,7,,Neptulon est le « Chasse-Marées ». C’est un des quatre seigneurs élementaires. Quand Ragnaros et lui se retrouvent ils créent une ambiance sauna des plus agréables.,Minion,GVG_042,Shaman,True,
Stealth,True,Goblins vs Gnomes,Ninja ogre,Samwise,<b>Camouflage</b>
50% de chance d’attaquer le mauvais adversaire.,Rare,6,5,6,,Il n’avait pas le niveau pour la formation de ninja mais son père a tiré quelques ficelles.,Minion,GVG_088,Rogue,,
Taunt,True,Goblins vs Gnomes,Ourson robot anodisé,Eva Widermann,<b>Provocation</b>.
<b>Choix des armes :</b>
+1 ATQ ou +1 PV.,Common,2,2,2,Mech,Il est adorable ! AH MAIS POURQUOI IL A ÉTERNUÉ ???,Minion,GVG_030,Druid,False,
,,Goblins vs Gnomes,Pièce de Gallywix,,Gagne 1 cristal de mana pendant ce tour seulement. <i>(Ne déclenche pas le pouvoir de Gallywix.)</i>,,,0,,,,Spell,GVG_028t,,,
,,Goblins vs Gnomes,Pistons,,Attaque augmentée.,,,,,,,Enchantment,GVG_076a,,,
