SET,NAME,TEXT,COST,TYPE,ID,MECHANICS,ATTACK,HEALTH,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,ELITE,DURABILITY,PLAYERCLASS,RACE
Fait passer les points de vie de tous les serviteurs à 1.,2,Hero Power,NAX12_02,,,,,,,,,,,,,
Curse of Naxxramas,Décimer,<b>Pouvoir héroïque</b>
Fait passer les points de vie des serviteurs adverses à 1.,0,Hero Power,NAX12_02H,,,,,,,,,,,,,
Curse of Naxxramas,Décimer,Les points de vie sont passés à 1.,,Enchantment,NAX12_02e,,,,,,,,,,,,,
Curse of Naxxramas,Destrier de la mort,<b>Charge. Râle d’agonie :</b> inflige 3 points de dégâts à votre héros.,1,Minion,FP1_006,Charge|Deathrattle,2,3,,,,,,,,,,
Curse of Naxxramas,Double rangée de dents,Attaque augmentée.,,Enchantment,NAX12_03e,,,,,,,,,,,,,
Curse of Naxxramas,Doublure,<b>Provocation</b>,2,Minion,NAX7_02,Taunt,0,7,,,,,,,,,,
Curse of Naxxramas,Dupliquer,<b>Secret :</b> quand un serviteur allié meurt en place 2 copies dans votre main.,3,Spell,FP1_018,Secret,,,True,Alex Garner,Common,Peut être créée après avoir terminé le défi de la classe mage de Naxxramas.,C’est bien la seule fois où vous pourrez copier des cartes sans vous faire bannir votre compte !,Obtenue en terminant le défi de la classe mage de Naxxramas.,,,Mage,
Curse of Naxxramas,Embusqué anub’ar,<b>Râle d’agonie :</b> renvoie un serviteur allié aléatoire dans votre main.,4,Minion,FP1_026,Deathrattle,5,5,True,Nate Bowden,Common,Peut être créée après avoir terminé le défi de la classe voleur de Naxxramas.,Autrefois on l’appelait l’anub’ar-qui-renvoie-un-serviteur-dans-votre-main mais c’était un peu dur à dire.,Obtenue en terminant le défi de la classe voleur de Naxxramas.,,,Rogue,
Curse of Naxxramas,Entoilage,<b>Pouvoir héroïque</b>
Renvoie un serviteur ennemi aléatoire dans la main de votre adversaire.,3,Hero Power,NAX3_02,,,,,,,,,,,,,
Curse of Naxxramas,Entoilage,<b>Pouvoir héroïque</b>
Renvoie 2 serviteurs ennemis aléatoires dans la main de votre adversaire.,0,Hero Power,NAX3_02H,,,,,,,,,,,,,
Curse of Naxxramas,Épées dansantes,<b>Râle d’agonie :</b> votre adversaire pioche une carte.,3,Minion,FP1_029,Deathrattle,4,4,True,Jon McConnell,Common,Peut être créée après avoir battu l’instructeur Razuvious dans le quartier Militaire.,Leur chanson préférée c’est « Alors on danse ».,Obtenue en gagnant contre l’instructeur Razuvious dans le quartier Militaire.,,,,
Curse of Naxxramas,Éruption,<b>Pouvoir héroïque</b>
Inflige 2 points de dégâts au serviteur adverse tout à gauche.,1,Hero Power,NAX5_02,,,,,,,,,,,,,
Curse of Naxxramas,Éruption,<b>Pouvoir héroïque</b>
Inflige 3 points de dégâts au serviteur adverse tout à gauche.,0,Hero Power,NAX5_02H,,,,,,,,,,,,,
Curse of Naxxramas,Esclave de Kel’Thuzad,À MOI !,,Enchantment,NAX15_04a,,,,,,,,,,,,,
Curse of Naxxramas,État de supercharge,+2 PV.,,Enchantment,NAX13_03e,,,,,,,,,,,,,
Curse of Naxxramas,Explosion de spores,Inflige $1 |4(pointpoints) de dégâts à tous les serviteurs adverses. Invoque une spore.,1,Spell,NAX6_04,,,,,,,,,,,,,
Curse of Naxxramas,Feugen,<b>Râle d’agonie :</b> si Stalagg est aussi mort pendant cette partie invoque Thaddius.,5,Minion,FP1_015,Deathrattle,4,7,True,Dany Orizio,Legendary,Peut être créée après avoir terminé le quartier des Assemblages.,Feugen est tristounet parce que tout le monde préfère Stalagg.,Obtenue en terminant le quartier des Assemblages.,True,,,
Curse of Naxxramas,Feugen,,5,Minion,NAX13_04H,,4,7,,,Legendary,,,,True,,,
Curse of Naxxramas,Forgeron squelettique,<b>Râle d’agonie :</b> détruit l’arme de votre adversaire.,3,Minion,NAXM_002,Deathrattle,4,3,,,,,,,,,,
Curse of Naxxramas,Fossoyeur,Gagne +1 ATQ chaque fois que vous invoquez un serviteur avec <b>Râle d’agonie</b>.,1,Minion,FP1_028,,1,2,True,Jonboy Meyers,Common,Peut être créée après avoir battu le Recousu dans le quartier des Assemblages.,Dans un monde où il suffit de s’adresser à un gardien des âmes pour ressusciter fossoyeur n’est pas considéré comme un métier porteur.,Obtenue en gagnant contre le Recousu dans le quartier des Assemblages.,,,,
Curse of Naxxramas,Frappe déséquilibrante,<b>Pouvoir héroïque</b>
Inflige 3 points de dégâts.,2,Hero Power,NAX7_03,,,,,,,,,,,,,
Curse of Naxxramas,Frappe déséquilibrante,<b>Pouvoir héroïque</b>
Inflige 4 points de dégâts.,1,Hero Power,NAX7_03H,,,,,,,,,,,,,
Curse of Naxxramas,Frappe haineuse,<b>Pouvoir héroïque</b>
Détruit un serviteur.,4,Hero Power,NAX10_03,,,,,,,,,,,,,
Curse of Naxxramas,Frappe haineuse,<b>Pouvoir héroïque</b>
Détruit un serviteur.,4,Hero Power,NAX10_03H,,,,,,,,,,,,,
Curse of Naxxramas,Froid absolu,Inflige $8 |4(pointpoints) de dégâts au héros adverse et le <b>gèle</b>.,5,Spell,NAX14_04,Freeze,,,,,,,,,,,,
Curse of Naxxramas,Garde de la Couronne de glace,<b>Provocation</b>,4,Minion,NAX15_03t,Taunt,5,5,,,,,,,,,,
Curse of Naxxramas,Garde de la Couronne de glace,<b>Provocation</b>,4,Minion,NAX15_03n,Taunt,3,3,,,,,,,,,,
Curse of Naxxramas,Gargouille peau-de-pierre,Au début de votre tour rend tous ses points de vie à ce serviteur.,3,Minion,FP1_027,,1,4,True,Matt Smith,Common,Peut être créée après avoir battu Noth le Porte-Peste dans le quartier de la Peste.,Quel est le jeu préféré des gargouilles peau-de-pierre ? 1 2 3 soleil !,Obtenue en gagnant contre Noth le Porte-Peste dans le quartier de la Peste.,,,,
Curse of Naxxramas,Gelée,<b>Provocation</b>,1,Minion,FP1_012t,Taunt,1,2,,,,,,,,,,
Curse of Naxxramas,Gelée polluée,,1,Minion,NAX11_03,,2,2,,,,,,,,,,
Curse of Naxxramas,Gluth,,,Hero,NAX12_01,,,30,,,,,,,,,,
Curse of Naxxramas,Gluth,,,Hero,NAX12_01H,,,45,,,,,,,,,,
Curse of Naxxramas,Gothik le Moissonneur,,,Hero,NAX8_01,,,30,,,,,,,,,,
Curse of Naxxramas,Gothik le Moissonneur,,,Hero,NAX8_01H,,,45,,,,,,,,,,
Curse of Naxxramas,Goule instable,<b>Provocation</b>
<b>Râle d’agonie :</b> inflige 1 point de dégâts à tous les serviteurs.,2,Minion,FP1_024,Deathrattle|Taunt,1,3,True,Mike Nicholson,Common,Peut être créée après avoir battu Heigan l’Impur dans le quartier de la Peste.,Remplir ses goules de carburant pour fusée ça fait fureur dans les écoles de nécromancie.,Obtenue en gagnant contre Heigan l’Impur dans le quartier de la Peste.,,,,
Curse of Naxxramas,Graines de poison,Détruit tous les serviteurs et les remplace par des tréants 2/2.,4,Spell,FP1_019,,,,True,Brian Despain,Common,Peut être créée après avoir terminé le défi de la classe druide de Naxxramas.,La baguette tradition aux graines de poison est le produit le moins demandé de la boulangerie druidique de McTiggin.,Obtenue en terminant le défi de la classe druide de Naxxramas.,,,Druid,
Curse of Naxxramas,Grande veuve Faerlina,,,Hero,NAX2_01,,,30,,,,,,,,,,
Curse of Naxxramas,Grande veuve Faerlina,,,Hero,NAX2_01H,,,45,,,,,,,,,,
Curse of Naxxramas,Grobbulus,,,Hero,NAX11_01,,,30,,,,,,,,,,
Curse of Naxxramas,Grobbulus,,,Hero,NAX11_01H,,,45,,,,,,,,,,
Curse of Naxxramas,Grouillement,<b>Pouvoir héroïque</b>
Invoque un nérubien 3/1.,2,Hero Power,NAX1_04,,,,,,,,,,,,,
Curse of Naxxramas,Grouillement,<b>Pouvoir héroïque</b>
Invoque un nérubien 4/4.,2,Hero Power,NAX1h_04,,,,,,,,,,,,,
Curse of Naxxramas,Guerrier spectral,Au début de votre tour inflige 1 point de dégâts à votre héros.,3,Minion,NAX8_04t,,0,4,,,,,,,,,,
Curse of Naxxramas,Guerrier tenace,<b>Râle d’agonie :</b> invoque un guerrier spectral pour votre adversaire.,3,Minion,NAX8_04,Deathrattle,3,4,,,,,,,,,,
Curse of Naxxramas,Heigan l’Impur,,,Hero,NAX5_01,,,30,,,,,,,,,Warlock,
Curse of Naxxramas,Heigan l’Impur,,,Hero,NAX5_01H,,,45,,,,,,,,,Warlock,
Curse of Naxxramas,Horreb,<b>Cri de guerre :</b> les sorts adverses coûtent (5) cristaux de plus au prochain tour.,5,Minion,FP1_030,Battlecry,5,5,True,Samwise,Legendary,Peut être créée après avoir terminé le quartier de la Peste.,Au départ Horreb n’était qu’une simple créature des marais. C’est la raison pour laquelle il faut réglementer davantage l’utilisation des pesticides dans l’agriculture.,Obtenue en terminant le quartier de la Peste.,True,,,
Curse of Naxxramas,Horreb,,,Hero,NAX6_01,,,75,,,,,,,,,,
Curse of Naxxramas,Horreb,,,Hero,NAX6_01H,,,99,,,,,,,,,,
Curse of Naxxramas,Implorateur du Vide,<b>Râle d’agonie :</b> place un démon aléatoire de votre main sur le champ de bataille.,4,Minion,FP1_022,Deathrattle,3,4,True,Robb Shoberg,Common,Peut être créée après avoir terminé le défi de la classe démoniste de Naxxramas.,« Vide ! Allez Vide ! S’il te plaît... »,Obtenue en terminant le défi de la classe démoniste de Naxxramas.,,,Warlock,Demon
Curse of Naxxramas,Injection mutante,+4/+4 et <b>Provocation</b>.,,Enchantment,NAX11_04e,,,,,,,,,,,,,
Curse of Naxxramas,Injection mutante,Confère à un serviteur +4/+4 et <b>Provocation</b>.,3,Spell,NAX11_04,,,,,,,,,,,,,
Curse of Naxxramas,Instructeur Razuvious,,,Hero,NAX7_01H,,,55,,,,,,,,,,
Curse of Naxxramas,Instructeur Razuvious,,,Hero,NAX7_01,,,40,,,,,,,,,,
Curse of Naxxramas,Intrus !,,,Enchantment,NAX15_01e,,,,,,,,,,,,,
Curse of Naxxramas,Intrus !,,,Enchantment,NAX15_01He,,,,,,,,,,,,,
Curse of Naxxramas,Jeune recrue spectrale,Au début de votre tour inflige 1 point de dégâts à votre héros.,1,Minion,NAX8_03t,,0,2,,,,,,,,,,
Curse of Naxxramas,Jeune recrue tenace,<b>Râle d’agonie :</b> invoque une jeune recrue spectrale pour votre adversaire.,1,Minion,NAX8_03,Deathrattle,2,2,,,,,,,,,,
Curse of Naxxramas,Kel’Thuzad,À la fin de chaque tour invoque tous les serviteurs alliés qui sont morts pendant ce tour.,8,Minion,FP1_013,,6,8,True,Chris Robinson,Legendary,Peut être créée après avoir battu chacun des boss de Naxxramas !,Kel’Thuzad n’a pas pu résister à l’appel du roi-liche. Même si ce n’était qu’un appel automatique avec un message pré-enregistré vantant les vertus de son auteur.,Obtenue en gagnant contre chacun des boss de Naxxramas !,True,,,
Curse of Naxxramas,Kel’Thuzad,,,Hero,NAX15_01H,,,45,,,,,,,,,,
Curse of Naxxramas,Kel’Thuzad,,,Hero,NAX15_01,,,30,,,,,,,,,,
Curse of Naxxramas,Lame runique,A +6 ATQ si les autres cavaliers sont morts.,3,Weapon,NAX9_05H,,2,,,,,,,,,3,,
Curse of Naxxramas,Lame runique,A +3 ATQ si les autres cavaliers sont morts.,3,Weapon,NAX9_05,,1,,,,,,,,,3,,
Curse of Naxxramas,Lame runique massive,Inflige des dégâts doublés aux héros.,3,Weapon,NAX7_04,,5,,,,,,,,,2,,
Curse of Naxxramas,Lame runique massive,Inflige des dégâts doublés aux héros.,3,Weapon,NAX7_04H,,10,,,,,,,,,2,,
Curse of Naxxramas,Le Recousu,,,Hero,NAX10_01H,,,45,,,,,,,,,,
Curse of Naxxramas,Le Recousu,,,Hero,NAX10_01,,,30,,,,,,,,,,
Curse of Naxxramas,Limon résonnant,<b>Cri de guerre :</b> invoque une copie conforme de ce serviteur à la fin du tour.,2,Minion,FP1_003,Battlecry,1,2,True,Eric Browning,Epic,Peut être créée après avoir battu Saphiron dans l’antre du Wyrm de givre.,LIMON… Limon… limon… mon…,Obtenue en gagnant contre Saphiron dans l’antre du Wyrm de givre.,,,,
Curse of Naxxramas,M. Bigglesworth,<i>Le chat-chat adoré de Kel’Thuzad.</i>,0,Minion,NAX15_05,,1,1,,,Legendary,,,,True,,,Beast
Curse of Naxxramas,Mâchoires,Gagne +2 ATQ chaque fois qu’un serviteur avec <b>Râle d’agonie</b> meurt.,1,Weapon,NAX12_03,,1,,,,,,,,,5,,
Curse of Naxxramas,Mâchoires,Gagne +2 ATQ chaque fois qu’un serviteur avec <b>Râle d’agonie</b> meurt.,1,Weapon,NAX12_03H,,3,,,,,,,,,5,,
Curse of Naxxramas,Maexxna,,,Hero,NAX3_01,,,30,,,,,,,,,,
Curse of Naxxramas,Maexxna,Détruit tout serviteur blessé par ce serviteur.,6,Minion,FP1_010,Poisonous,2,8,True,Howard Lyon,Legendary,Peut être créée après avoir terminé le quartier des Arachnides.,Rien n’énerve plus Maexxna que d’être appelée « Maxena » ou « Maxxy ».,Obtenue en terminant le quartier des Arachnides.,True,,,Beast
Curse of Naxxramas,Maexxna,,,Hero,NAX3_01H,,,45,,,,,,,,,,
Curse of Naxxramas,Marque des cavaliers,Confère +1/+1 à vos serviteurs et à votre arme.,5,Spell,NAX9_07,,,,,,,,,,,,,
Curse of Naxxramas,Marque des cavaliers,+1/+1.,,Enchantment,NAX9_07e,,,,,,,,,,,,,
Curse of Naxxramas,Moisson,<b>Pouvoir héroïque</b>
Vous piochez une carte et gagnez un cristal de mana.,1,Hero Power,NAX8_02H,,,,,,,,,,,,,
Curse of Naxxramas,Moisson,<b>Pouvoir héroïque</b>
Pioche une carte.,2,Hero Power,NAX8_02,,,,,,,,,,,,,
Curse of Naxxramas,Morsure de la mort,<b>Râle d’agonie :</b> inflige 1 point de dégâts à tous les serviteurs.,4,Weapon,FP1_021,Deathrattle,4,,True,Jim Nelson,Common,Peut être créée après avoir terminé le défi de la classe guerrier de Naxxramas.,« Venez prendre un avant-goût de la Mort. » - Seigneur de la mort McScruff,Obtenue en terminant le défi de la classe guerrier de Naxxramas.,,2,Warrior,
Curse of Naxxramas,Mortelle floraison,Inflige $5 |4(pointpoints) de dégâts à un serviteur. Invoque une spore.,4,Spell,NAX6_03,,,,,,,,,,,,,
Curse of Naxxramas,Nécro-chevalier,<b>Râle d’agonie :</b> détruit les serviteurs adjacents.,4,Minion,NAXM_001,Deathrattle,5,6,,,,,,,,,,
Curse of Naxxramas,Nérubien,,2,Minion,NAX1h_03,,4,4,,,,,,,,,,
Curse of Naxxramas,Nérubien,,2,Minion,NAX1_03,,3,1,,,,,,,,,,
Curse of Naxxramas,Nérubien,,3,Minion,FP1_007t,,4,4,,,Rare,,,,,,,
Curse of Naxxramas,Noth le Porte-Peste,,,Hero,NAX4_01,,,30,,,,,,,,,Mage,
Curse of Naxxramas,Noth le Porte-Peste,,,Hero,NAX4_01H,,,45,,,,,,,,,Mage,
Curse of Naxxramas,Nuage empoisonné,<b>Pouvoir héroïque</b>
Inflige 1 point de dégâts à
 tous les serviteurs. Invoque une gelée si l’un d’eux meurt.,2,Hero Power,NAX11_02,,,,,,,,,,,,,
Curse of Naxxramas,Nuage empoisonné,<b>Pouvoir héroïque</b>
Inflige 2 points de dégâts à
 tous les adversaires. Invoque une gelée si l’un d’eux meurt.,0,Hero Power,NAX11_02H,,,,,,,,,,,,,
Curse of Naxxramas,Nuée de sauterelles,Inflige $3 |4(pointpoints) de dégâts à tous les serviteurs ennemis. Rend #3 |4(pointpoints) de vie à votre héros.,7,Spell,NAX1_05,,,,,,,,,,,,,
Curse of Naxxramas,Œuf de nérubien,<b>Râle d’agonie :</b> invoque un nérubien 4/4.,2,Minion,FP1_007,Deathrattle,0,2,True,Justin Thavirat,Rare,Peut être créée après avoir battu Maexxna dans le quartier des Arachnides.,Les œufs sont une excellente source de protéines et de nérubiens.,Obtenue en gagnant contre Maexxna dans le quartier des Arachnides.,,,,
Curse of Naxxramas,Ombre de Naxxramas,<b>Camouflage</b>
Gagne +1/+1 au début de votre tour.,3,Minion,FP1_005,Stealth,2,2,True,Ittoku Seta,Epic,Peut être créée après avoir battu Kel’Thuzad dans l’antre du Wyrm de givre.,Regardez vers la lumière les ombres resteront derrière vous !,Obtenue en gagnant contre Kel’Thuzad dans l’antre du Wyrm de givre.,,,,
Curse of Naxxramas,Ombre impie,<b>Pouvoir héroïque</b>
Pioche deux cartes.,5,Hero Power,NAX9_06,,,,,,,,,,,,,
Curse of Naxxramas,Peste,Détruit tous les serviteurs sauf les squelettes.,6,Spell,NAX4_05,,,,,,,,,,,,,
Curse of Naxxramas,Pluie de feu,<b>Pouvoir héroïque</b>
Tire un missile pour chaque
 carte dans la main de votre adversaire.,2,Hero Power,NAX2_03,ImmuneToSpellpower,,,,,,,,,,,,
Curse of Naxxramas,Pluie de feu,<b>Pouvoir héroïque</b>
Tire un missile pour chaque
 carte dans la main de votre adversaire.,1,Hero Power,NAX2_03H,ImmuneToSpellpower,,,,,,,,,,,,
Curse of Naxxramas,Poison nécrotique,Détruit un serviteur.,2,Spell,NAX3_03,,,,,,,,,,,,,
Curse of Naxxramas,Polarité,Attaque et vie inversées.,,Enchantment,NAX13_02e,,,,,,,,,,,,,
Curse of Naxxramas,Puissance de la ziggourat,+3 PV.,,Enchantment,FP1_023e,,,,,,,,,,,,Priest,
Curse of Naxxramas,Rampante hantée,<b>Râle d’agonie :</b> invoque deux araignées spectrales 1/1.,2,Minion,FP1_002,Deathrattle,1,2,True,Jeremy Cranford,Common,Peut être créée après avoir battu Anub’Rekhan dans le quartier des Arachnides.,Arachnofauxbie : peur des araignées en mousse.,Obtenue en gagnant contre Anub’Rekhan dans le quartier des Arachnides.,,,,Beast
Curse of Naxxramas,Réanimation morbide,<b>Pouvoir héroïque passif</b>
Chaque fois qu’un ennemi meurt un squelette 5/5 se lève.,0,Hero Power,NAX4_04H,,,,,,,,,,,,,
Curse of Naxxramas,Réanimation morbide,<b>Pouvoir héroïque passif</b>
Chaque fois qu’un ennemi meurt un squelette 1/1 se lève.,0,Hero Power,NAX4_04,,,,,,,,,,,,,
Curse of Naxxramas,Réincarnation,Détruit un serviteur puis le ramène à la vie avec tous ses PV.,2,Spell,FP1_025,,,,True,Dan Scott,Common,Peut être créée après avoir terminé le défi de la classe chaman de Naxxramas.,Pan t’es même pas mort !,Obtenue en terminant le défi de la classe chaman de Naxxramas.,,,Shaman,
Curse of Naxxramas,Saphiron,,,Hero,NAX14_01H,,,45,,,,,,,,,,
Curse of Naxxramas,Saphiron,,,Hero,NAX14_01,,,30,,,,,,,,,,
Curse of Naxxramas,Savant fou,<b>Râle d’agonie :</b> place un <b>Secret</b> de votre deck sur le champ de bataille.,2,Minion,FP1_004,Deathrattle,2,2,True,James Ryman,Common,Peut être créée après avoir battu Grobbulus dans le quartier des Assemblages.,Sa môman voulait qu’il devienne mage ou démoniste mais non il a fallu qu’il soit savant fou comme son papa.,Obtenue en gagnant contre Grobbulus dans le quartier des Assemblages.,,,,
Curse of Naxxramas,Seigneur de la mort,<b>Provocation. Râle d’agonie :</b> votre adversaire place un serviteur de son deck sur le champ de bataille.,3,Minion,FP1_009,Deathrattle|Taunt,2,8,True,Ben Olson,Rare,Peut être créée après avoir battu les quatre cavaliers dans le quartier Militaire.,« Lève-toi de ta tombe ! » - Kel’Thuzad,Obtenue en gagnant contre les quatre cavaliers dans le quartier Militaire.,,,,
Curse of Naxxramas,Seigneur de la toile nérub’ar,Les serviteurs avec <b>Cri de guerre</b> coûtent (2) cristaux de plus.,2,Minion,FP1_017,Aura,1,4,True,Alex Horley Orlandelli,Common,Peut être créée après avoir battu la grande veuve Faerlina dans le quartier des Arachnides.,Les seigneurs de la toile passent leur journée à tisser des trampolines géants. Vous parlez d’un boulot…,Obtenue en gagnant contre la grande veuve Faerlina dans le quartier des Arachnides.,,,,
Curse of Naxxramas,Sire Zeliek,Votre héros est <b>Insensible</b>.,3,Minion,NAX9_04H,,2,7,,,,,,,True,,,
Curse of Naxxramas,Sire Zeliek,Votre héros est <b>Insensible</b>.,3,Minion,NAX9_04,,1,7,,,,,,,True,,,
Curse of Naxxramas,Sombre sectateur,<b>Râle d’agonie :</b> confère +3 PV à un serviteur allié aléatoire.,3,Minion,FP1_023,Deathrattle,3,4,True,Phroilan Gardner,Common,Peut être créée après avoir terminé le défi de la classe prêtre de Naxxramas.,Le culte des Damnés s’est rendu compte qu’il valait mieux rester anonyme lors du recrutement de nouveaux sectateurs.,Obtenue en terminant le défi de la classe prêtre de Naxxramas.,,,Priest,
Curse of Naxxramas,Souffle de givre,<b>Pouvoir héroïque</b>
Détruit tous les serviteurs
 adverses qui ne sont pas <b>gelés</b>.,0,Hero Power,NAX14_02,,,,,,,,,,,,,
Curse of Naxxramas,Spore,<b>Râle d’agonie :</b> donne +8 ATQ à tous les serviteurs adverses.,0,Minion,NAX6_03t,Deathrattle,0,1,,,,,,,,,,
Curse of Naxxramas,Squelette,,1,Minion,NAX4_03,,1,1,,,,,,,,,,
Curse of Naxxramas,Squelette,,5,Minion,NAX4_03H,,5,5,,,,,,,,,,
Curse of Naxxramas,Stalagg,,5,Minion,NAX13_05H,,7,4,,,Legendary,,,,True,,,
Curse of Naxxramas,Stalagg,<b>Râle d’agonie :</b> si Feugen est aussi mort pendant cette partie invoque Thaddius.,5,Minion,FP1_014,Deathrattle,7,4,True,Dany Orizio,Legendary,Peut être créée après avoir terminé le quartier des Assemblages.,Stalagg voulait écrire sur sa carte : « STALAGG MEILLEUR ! »,Obtenue en terminant le quartier des Assemblages.,True,,,
