MECHANICS,SET,NAME,TEXT,TYPE,ID,COLLECTIBLE,FACTION,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,PLAYERCLASS,INPLAYTEXT,ELITE,RACE,DURABILITY
+5 ATQ ou +5 PV et <b>Provocation</b>.,Minion,EX1_178,True,Neutral,Sean O’Daniels,Epic,5,7,5,Les jeunes elfes de la nuit adorent jouer à « Qui arrivera à déraciner l’ancien de la guerre ? » Le perdant est celui qui se fait écraser à mort.,Druid,,,,
,Classic,Ancien du savoir,<b>Choix des armes :</b> rend 5 points de vie ou vous piochez 2 cartes.,Minion,NEW1_008,True,,Patrik Hjelm,Epic,5,7,5,Allez-y gravez vos initiales dessus pour voir !,Druid,,,,
Battlecry,Classic,Ancien maître brasseur,<b>Cri de guerre :</b> renvoie un serviteur allié du champ de bataille et le place dans votre main.,Minion,EX1_057,True,Alliance,Bernie Kang,Common,5,4,4,La plupart des pandarens disent que sa bière a goût de yack. Mais apparemment c’est un compliment.,,,,,
,Classic,Apprenti pourpre,,Minion,NEW1_026t,,,,,1,0,1,,,,,,
Aura,Classic,Apprentie du sorcier,Vos sorts coûtent (1) cristal de moins.,Minion,EX1_608,True,Neutral,Alex Horley Orlandelli,Common,3,2,2,Les apprentis c’est utile pour les basses besognes. « Invoque-moi des pains de manne ! Et un café ! Non plutôt un café de manne ! »,Mage,,,,
,Classic,Arc cornedaigle,Chaque fois qu’un <b>Secret</b> allié est révélé gagne +1 Durabilité.,Weapon,EX1_536,True,,Cyril Van Der Haegen,Rare,3,3,,Leçon n°1 : toujours le pointer vers l’adversaire !,Hunter,,,,2
,Classic,Arc long du gladiateur,Votre héros est <b>Insensible</b> quand il attaque.,Weapon,DS1_188,True,Neutral,Peter C. Lee,Epic,5,7,,Cet arc long permet de tirer depuis une certaine distance ce qui est particulièrement utile contre les cibles qui... sentent.,Hunter,,,,2
,Classic,Arcaniste éthérien,Si vous contrôlez un <b>Secret</b> à la fin de votre tour gagne +2/+2.,Minion,EX1_274,True,,Michael Komarck,Rare,3,4,3,Les éthériens s’enroulent dans des étoffes pour donner forme à leur silhouette. Mais aussi parce que c’est doux et seyant.,Mage,,False,,
,Classic,Archimage Antonidas,Chaque fois que vous lancez un sort ajoute un sort « boule de feu » dans votre main.,Minion,EX1_559,True,Neutral,Wayne Reynolds,Legendary,5,7,7,Antonidas était le grand magus du Kirin Tor et le mentor de Jaina. C’était une sacrée ascension sociale par rapport à l’époque où les gens l’appelaient le faux mage blanc.,Mage,,True,,
Stealth,Classic,Assassin de Ravenholdt,<b>Camouflage</b>,Minion,CS2_161,True,Alliance,Ralph Horsley,Rare,7,7,5,Pour l’engager envoyez-lui simplement 10 000 pièces d’or et le nom de la cible il s’occupera du reste.,,,,,
Poisonous|Stealth,Classic,Assassin patient,<b>Camouflage</b>. Détruit tout serviteur blessé par ce serviteur.,Minion,EX1_522,True,Neutral,Ben Olson,Epic,1,2,1,En fait ce n’est pas qu’il est patient. C’est juste qu’il faut du temps pour que quelqu’un passe à sa portée.,Rogue,,,,
,Classic,Auspice funeste,Au début de votre tour détruit TOUS les serviteurs.,Minion,NEW1_021,True,,Alex Horley Orlandelli,Epic,0,2,7,Il a toujours presque raison. Il était <i>certain</i> que la fin du monde allait se passer pendant le cataclysme.,,,,,
,Classic,Aventurier en pleine quête,Chaque fois que vous jouez une carte
gagne +1/+1.,Minion,EX1_044,True,Alliance,Attila Adorjany,Rare,2,3,2,« Quelqu’un aurait quelques peaux de sanglier en rab ? »,,,,,
,Classic,Baine Sabot-de-Sang,,Minion,EX1_110t,,,,Legendary,4,4,5,,,,True,,
,Classic,Banane,Confère +1/+1 à un serviteur.,Spell,EX1_014t,,,,,,1,,,,,,,
,Classic,Banane,A +1/+1.,Enchantment,EX1_014te,,,,,,,,,,,,,
,Classic,Bandit défias,,Minion,EX1_131t,,Neutral,,,2,1,1,,Rogue,,,,
,Classic,Baron Geddon,À la fin de votre tour inflige 2 points de dégâts à TOUS les autres personnages.,Minion,EX1_249,True,Neutral,Ian Ameling,Legendary,7,7,5,Le baron Geddon était le premier lieutenant de Ragnaros mais il s’enflammait trop vite et il a été viré.,,,True,,
Secret,Classic,Barrière de glace,<b>Secret :</b> quand votre héros est attaqué il gagne 8 points d’armure.,Spell,EX1_289,True,Neutral,Alex Garner,Common,,3,,D’accord vous êtes bien protégé... mais vous êtes gelé. Et impossible de faire un feu en plein combat !,Mage,,,,
,Classic,Baston,Détruit tous les serviteurs sauf un <i>(choisi au hasard)</i>.,Spell,EX1_407,True,Neutral,Wayne Reynolds,Epic,,5,,Vous connaissez la première règle des bastonneurs ?,Warrior,,,,
,Classic,Bénédiction de sagesse,Choisissez un serviteur. Chaque fois qu’il attaque vous piochez une carte.,Spell,EX1_363,True,,Chippy,Common,,1,,On dit que de la sagesse découle le savoir. Et vous savez qu’il faut attaquer à chaque tour.,Paladin,,,,
,Classic,Bénédiction de sagesse,Quand ce serviteur attaque le joueur adverse pioche une carte.,Enchantment,EX1_363e2,,,,,,,,,Paladin,,,,
,Classic,Bénédiction de sagesse,Quand ce serviteur attaque le joueur qui l’a béni pioche une carte.,Enchantment,EX1_363e,,,,,,,,,Paladin,,,,
,Classic,Bénédiction du champion,Double l’Attaque d’un serviteur.,Spell,EX1_355,True,,Tyler Walpole,Rare,,5,,Cette carte inflige deux fois plus de dégâts ET deux fois plus de joie !,Paladin,,,,
,Classic,Bénédiction du champion,L’Attaque de ce serviteur a été doublée.,Enchantment,EX1_355e,,,,,,,,,Paladin,,,,
,Classic,Berserk,Attaque augmentée.,Enchantment,EX1_604o,,,,,,,,,Warrior,,,,
Enrage,Classic,Berserker amani,<b>Accès de rage :</b> +3 ATQ,Minion,EX1_393,True,Neutral,Chippy,Common,2,2,3,Si un berserker amani vous demande « C’est moi que tu regardes ?! » la bonne réponse est « Non mec ».,,,,,
,Classic,Berserker écumant,Chaque fois qu’un serviteur subit des dégâts gagne +1 ATQ.,Minion,EX1_604,True,Neutral,Simon Bisley,Rare,2,3,4,Il était comptable avant de tenter une carrière de berserker.,Warrior,,,,
,Classic,Bien nourri,Les points d’Attaque et de Vie sont augmentés.,Enchantment,EX1_531e,,,,,,,,,Hunter,,,,
,Classic,Blarghghl,Attaque augmentée.,Enchantment,EX1_509e,,,,,,,,,,,,,
Freeze,Classic,Blizzard,Inflige $2 |4(pointpoints) de dégâts à tous les serviteurs adverses et les <b>gèle</b>.,Spell,CS2_028,True,Neutral,Chris Seaman,Rare,,6,,Ce sort a vraiment un nom génial !,Mage,,,,
OneTurnEffect,Classic,Bloc de glace,Votre héros est <b>Insensible</b> pour ce tour.,Enchantment,EX1_295o,,,,,,,,,Mage,,,,
Secret,Classic,Bloc de glace,<b>Secret :</b> protège votre héros des dégâts mortels et le rend <b>Insensible</b> pendant ce tour.,Spell,EX1_295,True,Neutral,Carl Frank,Epic,,3,,La glace c’est classe et ça carapace !,Mage,,,,
Battlecry,Classic,Bombardier fou,<b>Cri de guerre :</b> inflige 3 points de dégâts répartis de façon aléatoire entre tous les autres personnages.,Minion,EX1_082,True,Alliance,Mike Sass,Common,3,2,2,Il n’est pas si fou que ça c’est juste qu’il n’est pas aussi prudent qu’il devrait avec les explosifs.,,,,,
Battlecry,Classic,Brise-sort,<b>Cri de guerre :</b> réduit au <b>Silence</b> un serviteur.,Minion,EX1_048,True,Horde,Matt Cavotta,Common,4,4,3,Les brise-sorts peuvent arracher les enchantements des manieurs de magie. Le procédé est sans douleur et peut aussi se faire à domicile.,,,,,
,Classic,Briser l’esprit,<b>Pouvoir héroïque</b>
Inflige 3 points de dégâts.,Hero Power,EX1_625t2,,,,,,2,,,Priest,,,,
,Classic,Ça pique !,Le forgeron malveillant confère +2 ATQ.,Enchantment,CS2_221e,,,,,,,,,,,,,
Deathrattle,Classic,Cairne Sabot-de-Sang,<b>Râle d’agonie :</b> invoque Baine Sabot-de-Sang avec 4/5.,Minion,EX1_110,True,Alliance,Wayne Reynolds,Legendary,4,6,5,Cairne a été tué par Garrosh alors... ne le placez pas dans un deck de guerrier. Ça ne serait vraiment pas sympa.,,,True,,
,Classic,Cannibalisme,Attaque augmentée.,Enchantment,tt_004o,,,,,,,,,,,,,
Aura,Classic,Capitaine des mers du Sud,Vos autres pirates
ont +1/+1.,Minion,NEW1_027,True,,Ken Steacy,Epic,3,3,3,Il espère pouvoir amasser un butin suffisant pour monter une auberge avec toutes les recettes qu’il a « trouvées ». Pirate !,,,,Pirate,
Battlecry,Classic,Capitaine Vertepeau,<b>Cri de guerre :</b> confère +1/+1 à votre arme.,Minion,NEW1_024,True,,Dan Scott,Legendary,5,5,4,Il était <i>à ça</i> de pénétrer dans le port de Hurlevent avec un énorme mastodonte. Mais à cause de ces foutus gamins il n’a pas réussi !,,,True,Pirate,
Combo,Classic,Casse-tête,Inflige $2 |4(pointpoints) de dégâts au héros adverse. <b>Combo :</b> renvoie cette carte dans votre main au tour suivant.,Spell,EX1_137,True,Neutral,James Zhang,Rare,,3,,Quand tout le reste a échoué rien ne vaut un bon coup sur la tête.,Rogue,,,,
,Classic,Cauchemar,Ce serviteur a +5/+5 mais il sera bientôt détruit.,Enchantment,DREAM_05e,,,,,,,,,,,,,
,Classic,Cauchemar,Confère +5/+5 à un serviteur. Au début de votre prochain tour le détruit.,Spell,DREAM_05,,,,,,0,,,Dream,,,,
,Classic,Cénarius,<b>Choix des armes :</b> confère +2/+2 à vos autres serviteurs ou invoque deux tréants 2/2 avec <b>Provocation</b>.,Minion,EX1_573,True,Neutral,Alex Horley Orlandelli,Legendary,5,9,8,Oui c’est un demi-dieu et non il n’a pas besoin de porter de chemise.,Druid,,True,,
,Classic,Cercle de soins,Rend #4 |4(pointpoints) de vie à TOUS les serviteurs.,Spell,EX1_621,True,,Daarken,Common,,0,,Ce n’est pas vraiment un cercle.,Priest,,,,
Battlecry,Classic,Champion de la Main d’argent,<b>Cri de guerre :</b> invoque un écuyer 2/2.,Minion,CS2_151,True,Alliance,Matt Starbuck,Common,4,5,4,Écuyer c’est bien mais champion c’est mieux.,,,,,
Battlecry,Classic,Chasseur de gros gibier,<b>Cri de guerre :</b> détruit un serviteur avec 7 Attaque ou plus.,Minion,EX1_005,True,,Chris Seaman,Epic,4,3,2,Les simples diablosaures ne l’excitent même plus. Bientôt il voudra attraper Onyxia avec une lame de Krol émoussée.,,,,,
Aura,Classic,Chef de guerre murloc,TOUS les autres murlocs ont +2/+1.,Minion,EX1_507,True,Neutral,Tim McBurnie,Epic,3,3,3,Est-ce que les murlocs se lassent de pousser toujours le même cri ? Bien sûr que non ! Mrglglrglglglglglglgl !,,,,Murloc,
,Classic,Chef de la meute,+1/+1,Enchantment,EX1_160be,,,,,,,,,Druid,,,,
,Classic,Chef de la meute,Donne à vos serviteurs +1/+1.,Spell,EX1_160b,,Neutral,,,,,,,Druid,,,,
Battlecry,Classic,Chevalier de sang,<b>Cri de guerre :</b> tous les serviteurs perdent <b>Bouclier divin</b>. Gagne +3/+3 pour chaque bouclier perdu.,Minion,EX1_590,True,Neutral,Trent Kaniuga,Epic,3,3,3,Le chevalier de sang obtient ses pouvoirs du Puits de soleil. Mais ce n’est pas le meilleur endroit pour faire bronzette.,,,,,
Charge,Classic,Chien,<b>Charge</b>,Minion,EX1_538t,,,,,1,1,1,,Hunter,,,Beast,
Battlecry,Classic,Chouette bec-de-fer,<b>Cri de guerre :</b> réduit au <b>Silence</b> un serviteur.,Minion,CS2_203,True,Horde,Trevor Jacobs,Common,2,2,1,Son vol est peut-être discret mais son cri... n’est vraiment pas silencieux lui.,,,,Beast,
,Classic,Chroniqueur Cho,Quand un joueur lance un sort en place une copie dans la main de son adversaire.,Minion,EX1_100,True,Neutral,Mark Zug,Legendary,0,2,4,Le chroniqueur Cho raconte et archive toutes les légendes de la Pandarie mais son récit préféré est celui des aventures de Li Li et Chen.,,,True,,
Poisonous,Classic,Cobra empereur,Détruit tout serviteur blessé par ce serviteur.,Minion,EX1_170,True,Neutral,Lars Grant-West,Rare,2,3,3,Le bassin de Sholazar est l’habitat naturel d’un tas de bêtes pas très sympa. N’oubliez pas votre vaporisateur anti-insectes si vous vous rendez sur place. Ni votre armure.,,,,Beast,
,Classic,Colère,<b>Choix des armes :</b> inflige $3 |4(point points) de dégâts à un serviteur ; ou inflige $1 |4(pointpoints) de dégâts à un serviteur et vous piochez une carte.,Spell,EX1_154,True,Neutral,Raymond Swanland,Common,,2,,Les habitués de l’auberge de Gadgetzan trouvent que cette carte devrait être légendaire parce qu’elle est vraiment trop géniale.,Druid,,,,
,Classic,Colère,Inflige $3 |4(pointpoints) de dégâts à un serviteur.,Spell,EX1_154a,,Neutral,,,,,,,Druid,,,,
,Classic,Colère,Inflige $1 |4(pointpoints) de dégâts à un serviteur. Vous piochez une carte.,Spell,EX1_154b,,Neutral,,,,,,,Druid,,,,
,Classic,Colère divine,Vous piochez une carte et infligez des dégâts d’un montant égal à son coût.,Spell,EX1_365,True,Neutral,Justin Sweet,Rare,,5,,Viens à moi géant de lave !,Paladin,,,,
Charge|Divine Shield,Classic,Commandant d’Argent,<b>Charge</b>
<b>Bouclier divin</b>,Minion,EX1_067,True,Neutral,James Ryman,Rare,4,6,2,Quiconque possédera ce marteau s’il s’en trouve digne recevra le bouclier divin.,,,,,
,Classic,Commissaire-priseur,Vous piochez une carte chaque fois que vous lancez un sort.,Minion,EX1_095,True,Neutral,Matt Dixon,Rare,4,6,4,Il était en charge de l’hôtel des ventes au marché noir mais il y avait trop de violence et il a dû partir.,,,,,
Freeze,Classic,Cône de froid,<b>Gèle</b> et inflige $1 |4(pointpoints) de dégâts à un serviteur et ceux à côté de lui.,Spell,EX1_275,True,Neutral,Leo Che,Common,,4,,Les magi du Kirin Tor ont longtemps lancé des cubes de froid avant que les cônes ne deviennent à la mode il y a environ 90 ans.,Mage,,,,
,Classic,Connaissances anciennes,Vous piochez 2 cartes.,Spell,NEW1_008a,,,,,,,,,Druid,,,,
,Classic,Consumer,Caractéristiques augmentées.,Enchantment,EX1_304e,,,,,,,,,Warlock,,,,
Secret,Classic,Contresort,<b>Secret :</b> quand votre adversaire lance un sort le <b>contre</b>.,Spell,EX1_287,True,Neutral,Jason Chan,Rare,,3,,Quelle est la différence entre un mage jouant avec Contresort et un autre ? Le second se prend une explosion pyrotechnique dans la figure !,Mage,,,,
Summoned,Classic,Contrôle mental,,Enchantment,EX1_tk31,,Neutral,,Common,,,,,Priest,,,,
Battlecry,Classic,Contrôleur mental,<b>Cri de guerre :</b> si l’adversaire a 4 serviteurs ou plus prend le contrôle de l’un d’eux au hasard.,Minion,EX1_085,True,Alliance,Leo Che,Rare,3,3,3,La technologie du contrôle mental s’améliore petit à petit mais ce n’est pas encore ça.,,,,,
Taunt,Classic,Corsaire de l’effroi,<b>Provocation</b>. Coûte (1) cristal de moins par Attaque de votre arme.,Minion,NEW1_022,True,,Trent Kaniuga,Common,3,4,3,En langage pirate « Yarrrr » signifie « Bien le bonjour mon seigneur. ». Évidemment.,,,,Pirate,
,Classic,Coup de fouet motivant,+2 ATQ.,Enchantment,EX1_603e,,,,,,,,,Warrior,,,,
,Classic,Courbe-sort,,Minion,tt_010a,,,,Epic,1,0,3,,Mage,,,,
Secret,Classic,Courbe-sort,<b>Secret :</b> quand votre adversaire lance un sort sur un serviteur invoque un 1/3 qui devient la nouvelle cible.,Spell,tt_010,True,Neutral,Gonzalo Ordonez,Epic,,3,,Même si c’est sympa d’intercepter les éclairs adverses le courbe-sort préfère intercepter les Marques du fauve. Parce que c’est plus méchant. Et les elfes de sang... eh bien ils sont un peu méchants.,Mage,,,,
OneTurnEffect,Classic,Courroux bestial,+2 ATQ et <b>Insensible</b> pendant ce tour.,Enchantment,EX1_549o,,,,,,,,,Hunter,,,,
,Classic,Courroux bestial,Confère +2 ATQ et l’effet <b>Insensible</b> à une Bête alliée pendant ce tour.,Spell,EX1_549,True,Neutral,Alex Horley Orlandelli,Epic,,1,,Courroux coucou ça tache ça tache !,Hunter,,,,
ImmuneToSpellpower,Classic,Courroux vengeur,Inflige $8 |4(pointpoints) de dégâts répartis de façon aléatoire entre les personnages adverses.,Spell,EX1_384,True,Neutral,Alex Garner,Epic,,6,,Bam ! Bam ! Bam ! Bam ! Bam ! Bam ! Bam ! Bam !,Paladin,,,,
Battlecry,Classic,Crabe affamé,<b>Cri de guerre :</b> détruit un murloc et gagne +2/+2.,Minion,NEW1_017,True,,Jaemin Kim,Epic,1,1,2,Du murloc voilà ce qu’on mange ce soir.,,,,Beast,
OneTurnEffect,Classic,Cri de commandement,Les points de vie de vos serviteurs ne peuvent pas passer en dessous de 1 ce tour-ci.,Enchantment,NEW1_036e2,,,,,,,,,Warrior,,,,
OneTurnEffect,Classic,Cri de commandement,Ne peut pas avoir moins de 1 PV pendant ce tour.,Enchantment,NEW1_036e,,,,,,,,,Warrior,,,,
,Classic,Cri de commandement,Les points de vie de vos serviteurs ne peuvent pas passer en dessous de 1 ce tour-ci. Vous piochez une carte.,Spell,NEW1_036,True,,Wayne Reynolds,Rare,,2,,« Allez-y criez ! N’hésitez pas ça vous libérera ! » - Conseil pour les apprentis guerriers,Warrior,,,,
Divine Shield,Classic,Croisée écarlate,<b>Bouclier divin</b>,Minion,EX1_020,True,Alliance,Gonzalo Ordonez,Common,3,3,1,La croisée écarlate prend soin du linge que vous aimez.,,,,,
,Classic,Croissance,Gruul est en train de grandir...,Enchantment,NEW1_038o,,,,,,,,,,,,,
,Classic,Défenseur,,Minion,EX1_130a,,Neutral,,Common,2,1,1,,Paladin,,,,
Battlecry,Classic,Défenseur d’Argus,<b>Cri de guerre :</b> donne aux serviteurs adjacents +1/+1 et <b>Provocation</b>.,Minion,EX1_093,True,Alliance,Alex Horley Orlandelli,Rare,2,4,3,On n’imagine pas qu’Argus ait besoin d’être défendu. Mais c’est le cas.,,,,,
AffectedBySpellPower,Classic,Déluge de lames,Détruit votre arme dont les dégâts sont infligés à tous les adversaires.,Spell,CS2_233,True,Neutral,Hideaki Takamura,Rare,,2,,« Écoutez il ne s’agit pas simplement d’agiter des dagues très vite dans tous les sens. C’est un peu plus compliqué que ça. » - Shan maître des voleurs,Rogue,,,,
,Classic,Démolisseur,Au début de votre tour inflige 2 points de dégâts à un adversaire aléatoire.,Minion,EX1_102,True,Neutral,Raymond Swanland,Rare,1,3,4,Les sièges personne n’aime ça. En plus ce n’est vraiment pas efficace maintenant que tout le monde a des montures volantes.,,,,Mech,
,Classic,Déraciné,+5 Attaque.,Enchantment,EX1_178be,,,,,,,,,Druid,,,,
,Classic,Déraciner,+5 ATQ.,Spell,EX1_178b,,Neutral,,,,,,,Druid,,,,
,Classic,Des expériences !,L’Attaque et la Vie ont été échangées par l’alchimiste dément.,Enchantment,EX1_059e,,,,,,,,,,,,,
,Classic,Détection des démons,Place dans votre main 2 démons aléatoires de votre jeu.,Spell,EX1_317,True,Neutral,Raven Mimura,Common,,3,,En général les démons sont assez faciles à détecter sans avoir besoin d’un sort pour ça.,Warlock,,,,
Secret,Classic,Détournement,<b>Secret :</b> quand un personnage attaque votre héros il attaque un autre personnage aléatoire à la place.,Spell,EX1_533,True,Neutral,Daren Bader,Rare,,2,,C’est surprenant qu’un simple « REGARDE PAR LÀ-BAS ! » fonctionne si bien.,Hunter,,,,
Windfury,Classic,Diable de poussière,<b>Furie des vents</b>
<b>Surcharge :</b> (2),Minion,EX1_243,True,Neutral,Raymond Swanland,Common,3,1,1,Comme un ouragan la tempête en moi a balayé le passé...,Shaman,,,,
,Classic,Diablosaure,,Minion,EX1_tk29,,Neutral,,Common,5,5,5,,,,,Beast,
,Classic,Diablotin,,Minion,EX1_598,,Neutral,,Rare,1,1,1,,,,,Demon,
Stealth,Classic,Diablotin de sang,<b>Camouflage</b>. À la fin de votre tour donne +1 PV à un autre serviteur allié aléatoire.,Minion,CS2_059,True,Neutral,Bernie Kang,Common,0,1,1,Ces petits diablotins adorent se cacher et jouer de mauvais tours à tous ceux qui passent à leur portée.,Warlock,,,Demon,
Battlecry,Classic,Diablotin des flammes,<b>Cri de guerre :</b> inflige 3 points de dégâts à votre héros.,Minion,EX1_319,True,Neutral,Alex Horley Orlandelli,Common,3,1,2,Les diablotins s’enflamment toujours pour un rien.,Warlock,,,Demon,
,Classic,Diablotin sans valeur,<i>Vous n’avez plus de démons ! Heureusement il y a toujours des diablotins...</i>,Minion,EX1_317t,,,,Common,1,1,1,,Warlock,,,Demon,
,Classic,Dissimulé,Camouflé jusqu’à votre prochain tour.,Enchantment,EX1_128e,,,,,,,,,Rogue,,,,
,Classic,Dissimuler,Confère <b>Camouflage</b> à vos serviteurs jusqu’à votre prochain tour.,Spell,EX1_128,True,Neutral,Steve Hui,Common,,1,,Il n’y a que leurs émotions que les voleurs ne parviennent pas à dissimuler. Impossible de les empêcher de raconter tous leurs malheurs !,Rogue,,,,
Silence,Classic,Dissipation,Réduit au <b>Silence</b> un serviteur.,Spell,EX1_166b,,Neutral,,,,,,,Druid,,,,
Silence,Classic,Dissipation de masse,Réduit au <b>Silence</b> tous les serviteurs adverses. Vous piochez une carte.,Spell,EX1_626,True,,Sean ODaniels,Rare,,4,,Dissipe améliorations pouvoirs espoirs et rêves.,Priest,,,,
,Classic,Double vue,Une de vos cartes coûte (3) cristaux de moins.,Enchantment,CS2_053e,,,Lars Grant-West,,,,,,Shaman,,,,
,Classic,Double vue,Vous piochez une carte. Elle coûte (3) cristaux de moins.,Spell,CS2_053,True,Neutral,Lars Grant-West,Epic,,3,,« Un ami ça ne se perd pas de vue un ennemi encore moins. » - Devise de Drek’thar,Shaman,,,,
,Classic,Dragon féerique,Ne peut pas être la cible de sorts ou de pouvoirs héroïques.,Minion,NEW1_023,True,,Samwise,Common,3,2,2,Adorable insensible à la magie et ne fait pas pipi sur la moquette. L’animal de compagnie parfait !,,,,Dragon,
,Classic,Dragonnet,,Minion,EX1_116t,,,,,1,1,1,,,,,Dragon,
,Classic,Dragonnet,,Minion,ds1_whelptoken,,Neutral,,,1,1,1,,,,,Dragon,
Battlecry|Spellpower,Classic,Drake azur,<b>Dégâts des sorts : +1</b>.
<b>Cri de guerre :</b> vous piochez une carte.,Minion,EX1_284,True,Neutral,Ben Zhang,Rare,4,5,4,Au départ il voulait s’appeler drake béryl ou céruléen mais ça faisait un peu trop prétentieux.,,,,Dragon,
Battlecry,Classic,Drake du Crépuscule,<b>Cri de guerre :</b> gagne +1 PV pour chaque carte dans votre main.,Minion,EX1_043,True,Neutral,Jaemin Kim,Rare,4,4,1,Les drakes du Crépuscule se nourrissent d’énergie mystique. Et de crêpes au suc’.,,,,Dragon,
,Classic,Drake émeraude,,Minion,DREAM_03,,,,,7,4,6,,Dream,,,Dragon,
,Classic,Druide de la Griffe,<b>Choix des armes :</b> <b>Charge</b> ou confère +2 PV et <b>Provocation</b>.,Minion,EX1_165,True,Neutral,Luca Zontini,Common,4,5,4,Félin ou ours ? Ours ou félin ?! Je n’arrive PAS à décider !,Druid,,,,
Charge,Classic,Druide de la Griffe,<b>Charge</b>,Minion,EX1_165t1,,,,Common,4,5,4,,Druid,,,Beast,
