SET,NAME,FACTION,TEXT,RARITY,COST,TYPE,ID,ATTACK,HEALTH,PLAYERCLASS,DURABILITY,MECHANICS,INPLAYTEXT,COLLECTIBLE,ARTIST,FLAVOR,RACE,ELITE,HOWTOGET,HOWTOGETGOLD
Classic,Agent du SI:7,Neutral,<b>Combo :</b> inflige 2 points de dégâts.,Rare,3,Minion,EX1_134,3,3,Rogue,,Combo,,True,Chris Moeller,Les agents du SI:7 sont chargés des activités secrètes de Hurlevent. Cela comprend l’espionnage l’assassinat et les fêtes d’anniversaire surprise pour la famille royale.,,,,
Classic,Aile de mort,,<b>Cri de guerre :</b> détruit tous les autres serviteurs et vous défausse de votre main.,Legendary,10,Minion,NEW1_030,12,12,,,Battlecry,,True,Bernie Kang,Aile de mort autrefois nommé Neltharion était à l’époque un noble dragon mais il perdit la tête et ravagea Azeroth avant d’être vaincu. Un complexe d’Œdipe ?,Dragon,True,,
Classic,Al’Akir seigneur des Vents,,<b>Furie des vents Charge Bouclier divin Provocation</b>,Legendary,8,Minion,NEW1_010,3,5,Shaman,,Charge|Divine Shield|Taunt|Windfury,,True,Raymond Swanland,Quel est le comble pour Al’Akir ? Se prendre régulièrement un vent des trois autres seigneurs élémentaires.,,True,,
Classic,Alchimiste dément,Neutral,<b>Cri de guerre :</b> échange l’Attaque et la Vie d’un serviteur.,Rare,2,Minion,EX1_059,2,2,,,Battlecry,,True,Tom Fleming,« Vous allez <i>adooorer</i> ma nouvelle recette ! » affirme-t-il... en particulier si vous en avez assez d’être un bipède !,,,,
Classic,Alexstrasza,Neutral,<b>Cri de guerre :</b> fixe les points de vie restants d’un héros à 15.,Legendary,9,Minion,EX1_561,8,8,,,Battlecry,,True,Raymond Swanland,Alexstrasza la Lieuse-de-vie apporte vie et espoir à tout le monde. Sauf à Aile de mort. Et Malygos. Et Nekros.,Dragon,True,,
Classic,Amasseur de butin,Neutral,<b>Râle d’agonie :</b> vous piochez une carte.,Common,2,Minion,EX1_096,2,1,,,Deathrattle,,True,Jim Nelson,« Je peux ? C’est pour ma troisième spé ! » - Anachroniste,,,,
Classic,Âme de la forêt,Neutral,Confère à vos serviteurs « <b>Râle d’agonie :</b> invoque un tréant 2/2. »,Common,4,Spell,EX1_158,,,Druid,,,,True,Markus Erdt,C’est l’arbre qui cache la forêt.,,,,
Classic,Âme de la forêt,,Râle d’agonie : invoque un tréant 2/2.,,,Enchantment,EX1_158e,,,Druid,,,,,,,,,,
Classic,Âme en peine de mana,Neutral,TOUS les serviteurs coûtent (1) cristal de plus.,Rare,2,Minion,EX1_616,2,2,,,Aura,,True,Luca Zontini,Elles sortent de nuit pour manger les restes des cristaux de mana en poussant des « mmmmm » de contentement.,,,,
Classic,Amélioration,,Durabilité augmentée.,,,Enchantment,EX1_536e,,,Hunter,,,,,,,,,,
Classic,Amélioration !,Neutral,Si vous avez une arme lui donne +1/+1. Sinon vous équipe d’une arme 1/3.,Rare,1,Spell,EX1_409,,,Warrior,,,,True,Matt Cavotta,Elle vaut facilement 50 DKP !,,,,
Classic,Améliorée,,+1 ATQ et +1 Durabilité.,,,Enchantment,EX1_409e,,,Warrior,,,,,,,,,,
Classic,Ancien de la guerre,Neutral,<b>Choix des armes :</b> +5 ATQ ou +5 PV et <b>Provocation</b>.,Epic,7,Minion,EX1_178,5,5,Druid,,,,True,Sean O’Daniels,Les jeunes elfes de la nuit adorent jouer à « Qui arrivera à déraciner l’ancien de la guerre ? » Le perdant est celui qui se fait écraser à mort.,,,,
Classic,Ancien du savoir,,<b>Choix des armes :</b> rend 5 points de vie ou vous piochez 2 cartes.,Epic,7,Minion,NEW1_008,5,5,Druid,,,,True,Patrik Hjelm,Allez-y gravez vos initiales dessus pour voir !,,,,
Classic,Ancien maître brasseur,Alliance,<b>Cri de guerre :</b> renvoie un serviteur allié du champ de bataille et le place dans votre main.,Common,4,Minion,EX1_057,5,4,,,Battlecry,,True,Bernie Kang,La plupart des pandarens disent que sa bière a goût de yack. Mais apparemment c’est un compliment.,,,,
Classic,Apprenti pourpre,,,,0,Minion,NEW1_026t,1,1,,,,,,,,,,,
Classic,Apprentie du sorcier,Neutral,Vos sorts coûtent (1) cristal de moins.,Common,2,Minion,EX1_608,3,2,Mage,,Aura,,True,Alex Horley Orlandelli,Les apprentis c’est utile pour les basses besognes. « Invoque-moi des pains de manne ! Et un café ! Non plutôt un café de manne ! »,,,,
Classic,Arc cornedaigle,,Chaque fois qu’un <b>Secret</b> allié est révélé gagne +1 Durabilité.,Rare,3,Weapon,EX1_536,3,,Hunter,2,,,True,Cyril Van Der Haegen,Leçon n°1 : toujours le pointer vers l’adversaire !,,,,
Classic,Arc long du gladiateur,Neutral,Votre héros est <b>Insensible</b> quand il attaque.,Epic,7,Weapon,DS1_188,5,,Hunter,2,,,True,Peter C. Lee,Cet arc long permet de tirer depuis une certaine distance ce qui est particulièrement utile contre les cibles qui... sentent.,,,,
Classic,Arcaniste éthérien,,Si vous contrôlez un <b>Secret</b> à la fin de votre tour gagne +2/+2.,Rare,4,Minion,EX1_274,3,3,Mage,,,,True,Michael Komarck,Les éthériens s’enroulent dans des étoffes pour donner forme à leur silhouette. Mais aussi parce que c’est doux et seyant.,,False,,
Classic,Archimage Antonidas,Neutral,Chaque fois que vous lancez un sort ajoute un sort « boule de feu » dans votre main.,Legendary,7,Minion,EX1_559,5,7,Mage,,,,True,Wayne Reynolds,Antonidas était le grand magus du Kirin Tor et le mentor de Jaina. C’était une sacrée ascension sociale par rapport à l’époque où les gens l’appelaient le faux mage blanc.,,True,,
Classic,Assassin de Ravenholdt,Alliance,<b>Camouflage</b>,Rare,7,Minion,CS2_161,7,5,,,Stealth,,True,Ralph Horsley,Pour l’engager envoyez-lui simplement 10 000 pièces d’or et le nom de la cible il s’occupera du reste.,,,,
Classic,Assassin patient,Neutral,<b>Camouflage</b>. Détruit tout serviteur blessé par ce serviteur.,Epic,2,Minion,EX1_522,1,1,Rogue,,Poisonous|Stealth,,True,Ben Olson,En fait ce n’est pas qu’il est patient. C’est juste qu’il faut du temps pour que quelqu’un passe à sa portée.,,,,
Classic,Auspice funeste,,Au début de votre tour détruit TOUS les serviteurs.,Epic,2,Minion,NEW1_021,0,7,,,,,True,Alex Horley Orlandelli,Il a toujours presque raison. Il était <i>certain</i> que la fin du monde allait se passer pendant le cataclysme.,,,,
Classic,Aventurier en pleine quête,Alliance,Chaque fois que vous jouez une cartegagne +1/+1.,Rare,3,Minion,EX1_044,2,2,,,,,True,Attila Adorjany,« Quelqu’un aurait quelques peaux de sanglier en rab ? »,,,,
Classic,Baine Sabot-de-Sang,,,Legendary,4,Minion,EX1_110t,4,5,,,,,,,,,True,,
Classic,Banane,,A +1/+1.,,,Enchantment,EX1_014te,,,,,,,,,,,,,
Classic,Banane,,Confère +1/+1 à un serviteur.,,1,Spell,EX1_014t,,,,,,,,,,,,,
Classic,Bandit défias,Neutral,,,1,Minion,EX1_131t,2,1,Rogue,,,,,,,,,,
Classic,Baron Geddon,Neutral,À la fin de votre tour inflige 2 points de dégâts à TOUS les autres personnages.,Legendary,7,Minion,EX1_249,7,5,,,,,True,Ian Ameling,Le baron Geddon était le premier lieutenant de Ragnaros mais il s’enflammait trop vite et il a été viré.,,True,,
Classic,Barrière de glace,Neutral,<b>Secret :</b> quand votre héros est attaqué il gagne 8 points d’armure.,Common,3,Spell,EX1_289,,,Mage,,Secret,,True,Alex Garner,D’accord vous êtes bien protégé... mais vous êtes gelé. Et impossible de faire un feu en plein combat !,,,,
Classic,Baston,Neutral,Détruit tous les serviteurs sauf un <i>(choisi au hasard)</i>.,Epic,5,Spell,EX1_407,,,Warrior,,,,True,Wayne Reynolds,Vous connaissez la première règle des bastonneurs ?,,,,
Classic,Bénédiction de sagesse,,Quand ce serviteur attaque le joueur qui l’a béni pioche une carte.,,,Enchantment,EX1_363e,,,Paladin,,,,,,,,,,
Classic,Bénédiction de sagesse,,Quand ce serviteur attaque le joueur adverse pioche une carte.,,,Enchantment,EX1_363e2,,,Paladin,,,,,,,,,,
Classic,Bénédiction de sagesse,,Choisissez un serviteur. Chaque fois qu’il attaque vous piochez une carte.,Common,1,Spell,EX1_363,,,Paladin,,,,True,Chippy,On dit que de la sagesse découle le savoir. Et vous savez qu’il faut attaquer à chaque tour.,,,,
Classic,Bénédiction du champion,,Double l’Attaque d’un serviteur.,Rare,5,Spell,EX1_355,,,Paladin,,,,True,Tyler Walpole,Cette carte inflige deux fois plus de dégâts ET deux fois plus de joie !,,,,
Classic,Bénédiction du champion,,L’Attaque de ce serviteur a été doublée.,,,Enchantment,EX1_355e,,,Paladin,,,,,,,,,,
Classic,Berserk,,Attaque augmentée.,,,Enchantment,EX1_604o,,,Warrior,,,,,,,,,,
Classic,Berserker amani,Neutral,<b>Accès de rage :</b> +3 ATQ.,Common,2,Minion,EX1_393,2,3,,,Enrage,,True,Chippy,Si un berserker amani vous demande « C’est moi que tu regardes ?! » la bonne réponse est « Non mec ».,,,,
Classic,Berserker écumant,Neutral,Chaque fois qu’un serviteur subit des dégâts gagne +1 ATQ.,Rare,3,Minion,EX1_604,2,4,Warrior,,,,True,Simon Bisley,Il était comptable avant de tenter une carrière de berserker.,,,,
Classic,Bien nourri,,Les points d’Attaque et de Vie sont augmentés.,,,Enchantment,EX1_531e,,,Hunter,,,,,,,,,,
Classic,Blarghghl,,Attaque augmentée.,,,Enchantment,EX1_509e,,,,,,,,,,,,,
Classic,Blizzard,Neutral,Inflige $2 |4(pointpoints) de dégâts à tous les serviteurs adverses et les <b>gèle</b>.,Rare,6,Spell,CS2_028,,,Mage,,Freeze,,True,Chris Seaman,Ce sort a vraiment un nom génial !,,,,
Classic,Bloc de glace,Neutral,<b>Secret :</b> protège votre héros des dégâts mortels et le rend <b>Insensible</b> pendant ce tour.,Epic,3,Spell,EX1_295,,,Mage,,Secret,,True,Carl Frank,La glace c’est classe et ça carapace !,,,,
Classic,Bloc de glace,,Votre héros est <b>Insensible</b> pour ce tour.,,,Enchantment,EX1_295o,,,Mage,,OneTurnEffect,,,,,,,,
Classic,Bombardier fou,Alliance,<b>Cri de guerre :</b> inflige 3 points de dégâts répartis de façon aléatoire entre tous les autres personnages.,Common,2,Minion,EX1_082,3,2,,,Battlecry,,True,Mike Sass,Il n’est pas si fou que ça c’est juste qu’il n’est pas aussi prudent qu’il devrait avec les explosifs.,,,,
Classic,Brise-sort,Horde,<b>Cri de guerre :</b> réduit au <b>Silence</b> un serviteur.,Common,4,Minion,EX1_048,4,3,,,Battlecry,,True,Matt Cavotta,Les brise-sorts peuvent arracher les enchantements des manieurs de magie. Le procédé est sans douleur et peut aussi se faire à domicile.,,,,
Classic,Briser l’esprit,,<b>Pouvoir héroïque</b>Inflige 3 points de dégâts.,,2,Hero Power,EX1_625t2,,,Priest,,,,,,,,,,
Classic,Ça pique !,,Le forgeron malveillant confère +2 ATQ.,,,Enchantment,CS2_221e,,,,,,,,,,,,,
Classic,Cairne Sabot-de-Sang,Alliance,<b>Râle d’agonie :</b> invoque Baine Sabot-de-Sang avec 4/5.,Legendary,6,Minion,EX1_110,4,5,,,Deathrattle,,True,Wayne Reynolds,Cairne a été tué par Garrosh alors... ne le placez pas dans un deck de guerrier. Ça ne serait vraiment pas sympa.,,True,,
Classic,Cannibalisme,,Attaque augmentée.,,,Enchantment,tt_004o,,,,,,,,,,,,,
Classic,Capitaine des mers du Sud,,Vos autres piratesont +1/+1.,Epic,3,Minion,NEW1_027,3,3,,,Aura,,True,Ken Steacy,Il espère pouvoir amasser un butin suffisant pour monter une auberge avec toutes les recettes qu’il a « trouvées ». Pirate !,Pirate,,,
Classic,Capitaine Vertepeau,,<b>Cri de guerre :</b> confère +1/+1 à votre arme.,Legendary,5,Minion,NEW1_024,5,4,,,Battlecry,,True,Dan Scott,Il était <i>à ça</i> de pénétrer dans le port de Hurlevent avec un énorme mastodonte. Mais à cause de ces foutus gamins il n’a pas réussi !,Pirate,True,,
Classic,Casse-tête,Neutral,Inflige $2 |4(pointpoints) de dégâts au héros adverse. <b>Combo :</b> renvoie cette carte dans votre main au tour suivant.,Rare,3,Spell,EX1_137,,,Rogue,,Combo,,True,James Zhang,Quand tout le reste a échoué rien ne vaut un bon coup sur la tête.,,,,
Classic,Cauchemar,,Ce serviteur a +5/+5 mais il sera bientôt détruit.,,,Enchantment,DREAM_05e,,,,,,,,,,,,,
Classic,Cauchemar,,Confère +5/+5 à un serviteur. Au début de votre prochain tour le détruit.,,0,Spell,DREAM_05,,,Dream,,,,,,,,,,
Classic,Cénarius,Neutral,<b>Choix des armes :</b> confère +2/+2 à vos autres serviteurs ou invoque deux tréants 2/2 avec <b>Provocation</b>.,Legendary,9,Minion,EX1_573,5,8,Druid,,,,True,Alex Horley Orlandelli,Oui c’est un demi-dieu et non il n’a pas besoin de porter de chemise.,,True,,
Classic,Cercle de soins,,Rend #4 |4(pointpoints) de vie à TOUS les serviteurs.,Common,0,Spell,EX1_621,,,Priest,,,,True,Daarken,Ce n’est pas vraiment un cercle.,,,,
Classic,Champion de la Main d’argent,Alliance,<b>Cri de guerre :</b> invoque un écuyer 2/2.,Common,5,Minion,CS2_151,4,4,,,Battlecry,,True,Matt Starbuck,Écuyer c’est bien mais champion c’est mieux.,,,,
Classic,Chasseur de gros gibier,,<b>Cri de guerre :</b> détruit un serviteur avec 7 Attaque ou plus.,Epic,3,Minion,EX1_005,4,2,,,Battlecry,,True,Chris Seaman,Les simples diablosaures ne l’excitent même plus. Bientôt il voudra attraper Onyxia avec une lame de Krol émoussée.,,,,
Classic,Chef de guerre murloc,Neutral,TOUS les autres murlocs ont +2/+1.,Epic,3,Minion,EX1_507,3,3,,,Aura,,True,Tim McBurnie,Est-ce que les murlocs se lassent de pousser toujours le même cri ? Bien sûr que non ! Mrglglrglglglglglglgl !,Murloc,,,
Classic,Chef de la meute,,+1/+1,,,Enchantment,EX1_160be,,,Druid,,,,,,,,,,
Classic,Chef de la meute,Neutral,Donne à vos serviteurs +1/+1.,,,Spell,EX1_160b,,,Druid,,,,,,,,,,
Classic,Chevalier de sang,Neutral,<b>Cri de guerre :</b> tous les serviteurs perdent <b>Bouclier divin</b>. Gagne +3/+3 pour chaque bouclier perdu.,Epic,3,Minion,EX1_590,3,3,,,Battlecry,,True,Trent Kaniuga,Le chevalier de sang obtient ses pouvoirs du Puits de soleil. Mais ce n’est pas le meilleur endroit pour faire bronzette.,,,,
Classic,Chien,,<b>Charge</b>,,1,Minion,EX1_538t,1,1,Hunter,,Charge,,,,,Beast,,,
Classic,Chouette bec-de-fer,Horde,<b>Cri de guerre :</b> réduit au <b>Silence</b> un serviteur.,Common,2,Minion,CS2_203,2,1,,,Battlecry,,True,Trevor Jacobs,Son vol est peut-être discret mais son cri... n’est vraiment pas silencieux lui.,Beast,,,
Classic,Chroniqueur Cho,Neutral,Quand un joueur lance un sort en place une copie dans la main de son adversaire.,Legendary,2,Minion,EX1_100,0,4,,,,,True,Mark Zug,Le chroniqueur Cho raconte et archive toutes les légendes de la Pandarie mais son récit préféré est celui des aventures de Li Li et Chen.,,True,,
Classic,Cobra empereur,Neutral,Détruit tout serviteur blessé par ce serviteur.,Rare,3,Minion,EX1_170,2,3,,,Poisonous,,True,Lars Grant-West,Le bassin de Sholazar est l’habitat naturel d’un tas de bêtes pas très sympa. N’oubliez pas votre vaporisateur anti-insectes si vous vous rendez sur place. Ni votre armure.,Beast,,,
Classic,Colère,Neutral,Inflige $1 |4(pointpoints) de dégâts à un serviteur. Vous piochez une carte.,,,Spell,EX1_154b,,,Druid,,,,,,,,,,
Classic,Colère,Neutral,Inflige $3 |4(pointpoints) de dégâts à un serviteur.,,,Spell,EX1_154a,,,Druid,,,,,,,,,,
Classic,Colère,Neutral,<b>Choix des armes :</b> inflige $3 |4(pointpoints) de dégâts à un serviteur ; ou inflige $1 |4(pointpoints) de dégâts à un serviteur et vous piochez une carte.,Common,2,Spell,EX1_154,,,Druid,,,,True,Raymond Swanland,Les habitués de l’auberge de Gadgetzan trouvent que cette carte devrait être légendaire parce qu’elle est vraiment trop géniale.,,,,
Classic,Colère divine,Neutral,Vous piochez une carte et infligez des dégâts d’un montant égal à son coût.,Rare,5,Spell,EX1_365,,,Paladin,,,,True,Justin Sweet,Viens à moi géant de lave !,,,,
Classic,Commandant d’Argent,Neutral,<b>Charge</b><b>Bouclier divin</b>,Rare,6,Minion,EX1_067,4,2,,,Charge|Divine Shield,,True,James Ryman,Quiconque possédera ce marteau s’il s’en trouve digne recevra le bouclier divin.,,,,
Classic,Commissaire-priseur,Neutral,Vous piochez une carte chaque fois que vous lancez un sort.,Rare,6,Minion,EX1_095,4,4,,,,,True,Matt Dixon,Il était en charge de l’hôtel des ventes au marché noir mais il y avait trop de violence et il a dû partir.,,,,
Classic,Cône de froid,Neutral,<b>Gèle</b> et inflige $1 |4(pointpoints) de dégâts à un serviteur et ceux à côté de lui.,Common,4,Spell,EX1_275,,,Mage,,Freeze,,True,Leo Che,Les magi du Kirin Tor ont longtemps lancé des cubes de froid avant que les cônes ne deviennent à la mode il y a environ 90 ans.,,,,
Classic,Connaissances anciennes,,Vous piochez 2 cartes.,,,Spell,NEW1_008a,,,Druid,,,,,,,,,,
Classic,Consumer,,Caractéristiques augmentées.,,,Enchantment,EX1_304e,,,Warlock,,,,,,,,,,
Classic,Contresort,Neutral,<b>Secret :</b> quand votre adversaire lance un sort le <b>contre</b>.,Rare,3,Spell,EX1_287,,,Mage,,Secret,,True,Jason Chan,Quelle est la différence entre un mage jouant avec Contresort et un autre ? Le second se prend une explosion pyrotechnique dans la figure !,,,,
Classic,Contrôle mental,Neutral,,Common,,Enchantment,EX1_tk31,,,Priest,,Summoned,,,,,,,,
Classic,Contrôleur mental,Alliance,<b>Cri de guerre :</b> si l’adversaire a 4 serviteurs ou plus prend le contrôle de l’un d’eux au hasard.,Rare,3,Minion,EX1_085,3,3,,,Battlecry,,True,Leo Che,La technologie du contrôle mental s’améliore petit à petit mais ce n’est pas encore ça.,,,,
Classic,Corsaire de l’effroi,,<b>Provocation</b>. Coûte (1) cristal de moins par Attaque de votre arme.,Common,4,Minion,NEW1_022,3,3,,,Taunt,,True,Trent Kaniuga,En langage pirate « Yarrrr » signifie « Bien le bonjour mon seigneur. ». Évidemment.,Pirate,,,
Classic,Coup de fouet motivant,,+2 ATQ.,,,Enchantment,EX1_603e,,,Warrior,,,,,,,,,,
Classic,Courbe-sort,,,Epic,0,Minion,tt_010a,1,3,Mage,,,,,,,,,,
Classic,Courbe-sort,Neutral,<b>Secret :</b> quand votre adversaire lance un sort sur un serviteur invoque un 1/3 qui devient la nouvelle cible.,Epic,3,Spell,tt_010,,,Mage,,Secret,,True,Gonzalo Ordonez,Même si c’est sympa d’intercepter les éclairs adverses le courbe-sort préfère intercepter les Marques du fauve. Parce que c’est plus méchant. Et les elfes de sang... eh bien ils sont un peu méchants.,,,,
Classic,Courroux bestial,,+2 ATQ et <b>Insensible</b> pendant ce tour.,,,Enchantment,EX1_549o,,,Hunter,,OneTurnEffect,,,,,,,,
Classic,Courroux bestial,Neutral,Confère +2 ATQ et l’effet <b>Insensible</b> à une Bête alliée pendant ce tour.,Epic,1,Spell,EX1_549,,,Hunter,,,,True,Alex Horley Orlandelli,Courroux coucou ça tache ça tache !,,,,
Classic,Courroux vengeur,Neutral,Inflige $8 |4(pointpoints) de dégâts répartis de façon aléatoire entre tous les adversaires.,Epic,6,Spell,EX1_384,,,Paladin,,ImmuneToSpellpower,,True,Alex Garner,Bam ! Bam ! Bam ! Bam ! Bam ! Bam ! Bam ! Bam !,,,,
Classic,Crabe affamé,,<b>Cri de guerre :</b> détruit un murloc et gagne +2/+2.,Epic,1,Minion,NEW1_017,1,2,,,Battlecry,,True,Jaemin Kim,Du murloc voilà ce qu’on mange ce soir.,Beast,,,
Classic,Cri de commandement,,Ne peut pas avoir moins de 1 PV pendant ce tour.,,,Enchantment,NEW1_036e,,,Warrior,,OneTurnEffect,,,,,,,,
Classic,Cri de commandement,,Les points de vie de vos serviteurs ne peuvent pas passer en dessous de 1 ce tour-ci. Vous piochez une carte.,Rare,2,Spell,NEW1_036,,,Warrior,,,,True,Wayne Reynolds,« Allez-y criez ! N’hésitez pas ça vous libérera ! » - Conseil pour les apprentis guerriers,,,,
Classic,Cri de commandement,,Les points de vie de vos serviteurs ne peuvent pas passer en dessous de 1 ce tour-ci.,,,Enchantment,NEW1_036e2,,,Warrior,,OneTurnEffect,,,,,,,,
Classic,Croisée écarlate,Alliance,<b>Bouclier divin</b>,Common,3,Minion,EX1_020,3,1,,,Divine Shield,,True,Gonzalo Ordonez,La croisée écarlate prend soin du linge que vous aimez.,,,,
Classic,Croissance,,Gruul est en train de grandir...,,,Enchantment,NEW1_038o,,,,,,,,,,,,,
Classic,Défenseur,Neutral,,Common,1,Minion,EX1_130a,2,1,Paladin,,,,,,,,,,
Classic,Défenseur d’Argus,Alliance,<b>Cri de guerre :</b> donne aux serviteurs adjacents +1/+1 et <b>Provocation</b>.,Rare,4,Minion,EX1_093,2,3,,,Battlecry,,True,Alex Horley Orlandelli,On n’imagine pas qu’Argus ait besoin d’être défendu. Mais c’est le cas.,,,,
Classic,Déluge de lames,Neutral,Détruit votre arme dont les dégâts sont infligés à tous les adversaires.,Rare,2,Spell,CS2_233,,,Rogue,,AffectedBySpellPower,,True,Hideaki Takamura,« Écoutez il ne s’agit pas simplement d’agiter des dagues très vite dans tous les sens. C’est un peu plus compliqué que ça. » - Shan maître des voleurs,,,,
Classic,Démolisseur,Neutral,Au début de votre tour inflige 2 points de dégâts à un adversaire aléatoire.,Rare,3,Minion,EX1_102,1,4,,,,,True,Raymond Swanland,Les sièges personne n’aime ça. En plus ce n’est vraiment pas efficace maintenant que tout le monde a des montures volantes.,Mech,,,
