TEXT,SET,TYPE,ID,NAME,MECHANICS,PLAYERCLASS,COLLECTIBLE,FACTION,RARITY,HEALTH,COST,ARTIST,ATTACK,HOWTOGETGOLD,FLAVOR,HOWTOGET,RACE,INPLAYTEXT,DURABILITY
,Basic,Minion,CS2_201,Chien du Magma,,,True,,Common,5,7,E.M. Gist,9,Débloquée au niveau 51 du chasseur.,Un chien du Magma ça ne se dompte pas on peut juste lui apprendre à dévorer quelqu’un d’autre que nous.,,Beast,,
Inflige $4 |4(pointpoints) de dégâts à tous les serviteurs adverses.,Basic,Spell,CS2_032,Choc de flammes,,Mage,True,Neutral,Common,,7,Romain De Santi,,Débloquée au niveau 51.,Il suffira d’une étincelle d’un rien d’un geste pour... allumer le feu !,Débloquée au niveau 10.,,,
Vous piochez une carte chaque fois qu’un serviteur est soigné.,Basic,Minion,CS2_235,Clerc de Comté-du-Nord,HealTarget,Priest,True,,Free,3,1,Terese Nielsen,1,Débloquée au niveau 40.,Elle aide les faibles et les opprimés... et vend des biscuits.,Débloquée au niveau 1.,,,
<b>Cri de guerre :</b> confère +1/+1 à un serviteur allié.,Basic,Minion,EX1_019,Clerc du Soleil brisé,Battlecry,,True,Neutral,Common,2,3,Doug Alexander,3,Débloquée au niveau 53 du prêtre.,Elle a toujours sur elle une flasque de boisson énergétique du Puits de soleil !,,,,
<b>Cri de guerre :</b> inflige 2 points de dégâts.,Basic,Minion,CS2_150,Commando foudrepique,Battlecry,,True,Alliance,Common,2,5,Kev Walker,4,Débloquée au niveau 51 du paladin.,Les commandos foudrepiques sont des experts en démolition. Mais aussi du barbecue en toute saison.,,,,
Invoque un compagnon animal aléatoire.,Basic,Spell,NEW1_031,Compagnon animal,,Hunter,True,,Common,,3,Wei Wang,,Débloquée au niveau 45.,Vous pourriez invoquer Misha Leokk ou Souffleur ! Enfin Souffleur n’en vaut pas vraiment la peine.,Débloquée au niveau 2.,,,
<b>Pouvoir héroïque</b>Subit 2 points de dégâts. Vous piochez une carte.,Basic,Hero Power,CS2_056,Connexion,,Warlock,,Neutral,Free,,2,,,,,,,,
Inflige $2 |4(pointpoints) de dégâts à tous les adversaires.,Basic,Spell,CS2_093,Consécration,,Paladin,True,Neutral,Common,,4,Vance Kovacs,,Débloquée au niveau 43.,La politique de la terre brûlée ça sent un peu le cramé.,Débloquée au niveau 4.,,,
Prend le contrôle d’un serviteur adverse.,Basic,Spell,CS1_113,Contrôle mental,,Priest,True,Neutral,Common,,10,Sean O’Daniels,,Débloquée au niveau 49.,Sort nominé dans la catégorie « Comment faire perdre le contrôle à un adversaire ».,Débloquée au niveau 10.,,,
Ce serviteur a changé de propriétaire.,Basic,Enchantment,CS1_113e,Contrôle mental,,Priest,,Neutral,Common,,,,,,,,,,
Au début du tour du joueur utilisant Corruption détruit ce serviteur.,Basic,Enchantment,CS2_063e,Corruption,,Warlock,,,,,,,,,,,,,
Choisissez un serviteur adverse. Au début de votre tour il est détruit.,Basic,Spell,CS2_063,Corruption,,Warlock,True,Neutral,Common,,1,Wayne Reynolds,,Débloquée au niveau 32.,On commence par voler un stylo au travail et avant même de le savoir BOUM ! On est corrompu !,Débloquée au niveau 2.,,,
,Basic,Minion,CS2_120,Crocilisque des rivières,,,True,,Free,3,2,Daren Bader,2,Débloquée au niveau 55 du druide.,Edward « le Gaucher » Smith a essayé de se tailler des bottes dans un crocilisque des rivières une fois. C’est depuis ce jour-là qu’il a ce surnom...,,Beast,,
Confère un cristal de mana vide.,Basic,Spell,CS2_013,Croissance sauvage,,Druid,True,Neutral,Free,,2,James Ryman,,Débloquée au niveau 23.,Faites pousser vos propres cristaux de mana avec ce set de croissance au prix défiant toute concurrence de 3999 pièces d’or !,Débloquée au niveau 1.,,,
Renvoie tous les serviteurs dans la main de leur propriétaire.,Basic,Spell,NEW1_004,Disparition,,Rogue,True,,Common,,6,Sean O’Daniels,,Débloquée au niveau 23.,,Débloquée au niveau 8.,,,
<b>Cri de guerre :</b> rend 2 points de vie.,Basic,Minion,EX1_011,Docteur vaudou,Battlecry,,True,Horde,Free,1,1,Karl Richardson,2,Débloquée au niveau 55 du voleur.,Le vaudou est un art souvent incompris. Mais c’est un <i>art</i>.,,,,
Inflige $2 |4(pointpoints) de dégâts. Rend #2 |4(pointpoints) de vie à votre héros.,Basic,Spell,CS2_061,Drain de vie,,Warlock,True,Neutral,Free,,3,Alex Horley Orlandelli,,Débloquée au niveau 45.,« Tu ne le sais pas encore mais tu es déjà mort ! »,Débloquée au niveau 1.,,,
Inflige $3 |4(pointpoints) de dégâts à un personnage et le <b>gèle</b>.,Basic,Spell,CS2_024,Éclair de givre,Freeze,Mage,True,Neutral,Common,,2,Steve Ellis,,Débloquée au niveau 40.,D’habitude quand on joue cette carte on crie « Un gros cube un petit cube c’est l’heure du frigi-cube ! ».,Débloquée au niveau 2.,,,
,Basic,Minion,EX1_506a,Éclaireur murloc,,,,Neutral,Common,1,0,,1,,,,Murloc,,
Inflige $1 |4(pointpoints) de dégâts.,Basic,Spell,CS2_008,Éclat lunaire,,Druid,True,Neutral,Common,,0,Richard Wright,,Débloquée au niveau 40.,« Lancez Éclat lunaire sans discontinuer. » - Comment devenir druide chapitre 5 paragraphe 3,Débloquée au niveau 6.,,,
,Basic,Minion,CS2_168,Écumeur murloc,,,True,Alliance,Free,1,1,Dan Scott,2,Débloquée au niveau 51 du prêtre.,Mrrraggglhlhghghlgh mrgaaag blarrghlgaahahl mrgggg glhalhah a bghhll graggmgmg Garrosh mglhlhlh mrghlhlhl !!,,Murloc,,
<b>Gèle</b> tout personnage blessé par ce serviteur.,Basic,Minion,CS2_033,Élémentaire d’eau,Freeze,Mage,True,Neutral,Common,6,4,John Avon,3,Débloquée au niveau 49.,Avec l’élémentaire d’eau tout baigne !,Débloquée au niveau 8.,,,
<b>Cri de guerre :</b> inflige 3 points de dégâts.,Basic,Minion,CS2_042,Élémentaire de feu,Battlecry,Shaman,True,Neutral,Common,5,6,Ralph Horsley,6,Débloquée au niveau 49.,Nettoyage à sec conseillé !,Débloquée au niveau 10.,,,
Inflige $2 |4(pointpoints) de dégâts à deux serviteurs adverses aléatoires.,Basic,Spell,CS2_114,Enchaînement,,Warrior,True,Neutral,Common,,2,Phroilan Gardner,,Débloquée au niveau 40.,Ou comment faire d’une pierre deux coups !,Débloquée au niveau 2.,,,
,Basic,Minion,CS2_118,Enragé du magma,,,True,,Free,1,3,Matt Gaser,5,Débloquée au niveau 51 du chaman.,Il se croit puissant mais de nos jours quasiment tout le monde peut soloter le Cœur du Magma.,,,,
Double les points de vie d’un serviteur.,Basic,Spell,CS2_236,Esprit divin,,Priest,True,,Common,,2,Jim Pavelec,,Débloquée au niveau 28.,Règle deux : la double dose !,Débloquée au niveau 2.,,,
Les points de vie de ce serviteur sont doublés.,Basic,Enchantment,CS2_236e,Esprit divin,,Priest,,,,,,,,,,,,,
Inflige $1 |4(pointpoints) de dégâts à tous les serviteurs adverses. Vous piochez une carte.,Basic,Spell,EX1_129,Éventail de couteaux,,Rogue,True,Neutral,Common,,3,Andrew Robinson,,Débloquée au niveau 29.,Je ne dirais pas que j’ai des tonnes de couteaux mais plutôt un éventail bien fourni.,Débloquée au niveau 4.,,,
Vous piochez une carte. <i>(Vous ne pouvez avoir que 10 cristaux de mana en réserve.)</i>,Basic,Spell,CS2_013t,Excès de mana,,Druid,,,,,0,,,,,,,,
Détruit un serviteur adverse blessé.,Basic,Spell,CS2_108,Exécution,,Warrior,True,Neutral,Free,,1,Dany Orizio,,Débloquée au niveau 47.,Vous ordonnez il s’exécute.,Débloquée au niveau 1.,,,
<b>Pouvoir héroïque</b>Inflige 1 point de dégâts.,Basic,Hero Power,CS2_034,Explosion de feu,,Mage,,Neutral,Free,,2,,,,,,,,
Inflige $1 |4(pointpoints) de dégâts à tous les serviteurs adverses.,Basic,Spell,CS2_025,Explosion des Arcanes,,Mage,True,Neutral,Free,,2,Howard Lyon,,Débloquée au niveau 28.,Ce sort est bien meilleur qu’Implosion des Arcanes.,Débloquée au niveau 1.,,,
,Basic,Weapon,CS2_112,Faucheuse en arcanite,,Warrior,True,Neutral,Common,,5,Stefan Kopinski,5,Débloquée au niveau 51.,Oh attention chérie ça va couper !,Débloquée au niveau 10.,,,2
Inflige $4 |4(pointpoints) de dégâts. Vous défausse d’une carte aléatoire.,Basic,Spell,EX1_308,Feu de l’âme,,Warlock,True,Neutral,Common,,1,Raymond Swanland,,Débloquée au niveau 28.,Est-ce que vous mettez le feu à une âme ? Ou bien vous brûlez quelqu’un avec votre âme ? Il y a une différence !,Débloquée au niveau 6.,,,
Inflige $5 |4(pointpoints) de dégâts.Vous piochez une carte.,Basic,Spell,EX1_173,Feu stellaire,,Druid,True,Neutral,Common,,6,Alex Horley Orlandelli,,Débloquée au niveau 45.,L’équilibre est extrêmement important pour les druides. Et cette carte est parfaitement équilibrée.,Débloquée au niveau 2.,,,
Inflige $3 |4(pointpoints) de dégâts à TOUS les personnages.,Basic,Spell,CS2_062,Flammes infernales,,Warlock,True,Neutral,Free,,4,Chippy,,Débloquée au niveau 49.,C’est à cause de ce genre de sorts que les démonistes ont du mal à lier des relations durables.,Débloquée au niveau 1.,,,
Inflige $3 |4(pointpoints) de dégâts à deux serviteurs adverses aléatoires.,Basic,Spell,DS1_183,Flèches multiples,,Hunter,True,Neutral,Free,,4,Benjamin Zhang,,Débloquée au niveau 36.,Suivez les flèches.,Débloquée au niveau 1.,,,
Confère +4 ATQ à votre héros pendant ce tour.,Basic,Spell,CS2_105,Frappe héroïque,,Warrior,True,Neutral,Free,,2,Jonboy Meyers,,Débloquée au niveau 15.,Je veux que tu me frappes aussi <i>fort</i> que tu peux.,Débloquée au niveau 1.,,,
+4 ATQ pendant ce tour.,Basic,Enchantment,CS2_105e,Frappe héroïque,OneTurnEffect,Warrior,,,,,,,,,,,,,
Confère <b>Furie des vents</b> à un serviteur.,Basic,Spell,CS2_039,Furie des vents,,Shaman,True,Neutral,Free,,2,Justin Sweet,,Débloquée au niveau 23.,Attaaaaaque furie des vents de l’enfer !,Débloquée au niveau 1.,,,
+3 ATQ pendant ce tour.,Basic,Enchantment,CS2_046e,Furie sanguinaire,OneTurnEffect,Shaman,,,,,,,,,,,,,
Confère +3 ATQ à vos serviteurs pendant ce tour.,Basic,Spell,CS2_046,Furie sanguinaire,,Shaman,True,Neutral,Common,,5,Luca Zontini,,Débloquée au niveau 40.,BlaarghghLLGHRHARAAHAHHH !!!,Débloquée au niveau 2.,,,
<b>Cri de guerre :</b> inflige 1 point de dégâts.,Basic,Minion,CS2_141,Fusilier de Forgefer,Battlecry,,True,Alliance,Common,2,3,Tooth,2,Débloquée au niveau 55 du mage.,« Armez visez souriez ! »,,,,
<b>Pouvoir héroïque</b>Confère 2 points d’armure.,Basic,Hero Power,CS2_102,Gain d’armure !,,Warrior,,Neutral,Free,,2,,,,,,,,
<b>Provocation</b>,Basic,Minion,CS2_187,Garde de Baie-du-Butin,Taunt,,True,Horde,Common,4,5,Matt Cavotta,5,Débloquée au niveau 55 du chaman.,Il travaillera pour vous… jusqu’à ce qu’on lui fasse une meilleure offre.,,,,
<b>Cri de guerre :</b> rend 6 points de vie à votre héros.,Basic,Minion,CS2_088,Gardien des rois,Battlecry,Paladin,True,Neutral,Common,6,7,E.M. Gist,5,Débloquée au niveau 47.,Les êtres sacrés de l’au-delà font tellement cliché !,Débloquée au niveau 8.,,,
,Basic,Hero,HERO_01,Garrosh Hurlenfer,,Warrior,True,Neutral,Free,30,,,,,,,,,
<b>Dégâts des sorts : +1</b>,Basic,Minion,CS2_142,Géomancien kobold,Spellpower,,True,Horde,Common,2,2,Gabor Szikszai,2,Débloquée au niveau 59 du démoniste.,Autrefois les kobolds étaient des marchands qui vendaient les meilleures bougies au monde. Mais ça c’était avant...,,,,
,Basic,Minion,CS2_186,Golem de guerre,,,True,Neutral,Common,7,7,Dave Kendall,7,Débloquée au niveau 51 du voleur.,Les golems n’ont peur de rien mais quelque chose les pousse à fuir quand vous lancez le sort Peur. L’instinct peut-être ? Ou une volonté de s’intégrer ?,,,,
<b>Provocation</b>,Basic,Minion,hexfrog,Grenouille,Taunt,,,Neutral,Common,1,0,,0,,,,Beast,,
+2 ATQ pendant ce tour.,Basic,Enchantment,CS2_005o,Griffe,OneTurnEffect,Druid,,,,,,,,,,,,,
Confère à votre héros +2 ATQ pendant ce tour et +2 Armure.,Basic,Spell,CS2_005,Griffe,,Druid,True,Neutral,Free,,1,Dany Orizio,,Débloquée au niveau 32.,La griffe est notre maîtresse elle choisit ceux qui s’en vont et ceux qui restent.,Débloquée au niveau 1.,,,
Votre héros a +1 ATQ pendant ce tour.,Basic,Enchantment,CS2_017o,Griffes,OneTurnEffect,Druid,,,,,,,,,,,,,
<b>Provocation</b>,Basic,Minion,CS2_125,Grizzly Ferpoil,Taunt,,True,Neutral,Common,3,3,Lars Grant-West,3,Débloquée au niveau 59 du chasseur.,Touchez pas au grizzly !,,Beast,,
<b>Provocation</b>,Basic,Minion,CS2_121,Grunt loup-de-givre,Taunt,,True,Neutral,Common,2,2,Richie Marella,2,Débloquée au niveau 57 du chaman.,Son père et son grand-père étaient grunts comme lui. Ce n’est pas qu’un métier c’est une vocation !,,,,
Rend tous ses points de vie à un serviteur et lui confère <b>Provocation</b>.,Basic,Spell,CS2_041,Guérison ancestrale,,Shaman,True,Neutral,Free,,0,Dan Scott,,Débloquée au niveau 15.,J’aime pas trop les soins à l’ancienne je préfère guérir de suite. Mais bon c’est mon avis et je le partage.,Débloquée au niveau 1.,,,
<b>Charge</b>,Basic,Minion,CS2_173,Guerrier branchie-bleue,Charge,,True,Neutral,Common,1,2,Jakub Kasper,2,Débloquée au niveau 53 du paladin.,Il veut juste vous faire un câlin. Un bon gros câlin bien baveux.,,Murloc,,
,Basic,Minion,CS2_119,Gueule d’acier des oasis,,,True,,Free,7,4,Ittoku,2,Débloquée au niveau 51 du druide.,On ne peut pas tous porter le monde sur notre carapace !,,Beast,,
,Basic,Hero,HERO_07,Gul’dan,,Warlock,True,Neutral,Free,30,,,,,,,,,
,Basic,Weapon,CS2_106,Hache de guerre embrasée,,Warrior,True,Neutral,Free,,2,Lucas Graciano,3,Débloquée au niveau 49.,En période de paix et d’harmonie cette arme portait un nom beaucoup moins populaire. Hache de guerre froide.,Débloquée au niveau 1.,,,2
Inflige $1 |4(pointpoints) de dégâts à un personnage adverse et le <b>gèle</b>.,Basic,Spell,CS2_037,Horion de givre,Freeze,Shaman,True,Neutral,Free,,1,Alex Horley Orlandelli,,Débloquée au niveau 32.,HORION DE GIIIIIIIIIIVRE !,Débloquée au niveau 1.,,,
L’Attaque est passée à 1.,Basic,Enchantment,EX1_360e,Humilité,,Paladin,,Neutral,,,,,,,,,,,
L’Attaque d’un serviteur passe à 1.,Basic,Spell,EX1_360,Humilité,,Paladin,True,Neutral,Common,,1,Daren Bader,,Débloquée au niveau 28.,Cette carte mouille tout ce qu’elle touche. Oh une minute. Ça c’est l’humidité !,Débloquée au niveau 6.,,,
Le loup des bois confère +1 ATQ à cette Bête.,Basic,Enchantment,DS1_175o,Hurlement furieux,,Hunter,,,,,,,,,,,,,
Invoque deux serviteurs 0/2 avec <b>Provocation</b>.,Basic,Spell,CS2_027,Image miroir,,Mage,True,Neutral,Common,,1,Jim Nelson,,Débloquée au niveau 36.,Oh hé c’est une image miroir ! ! riorim egami enu tse’c éh hO,Débloquée au niveau 4.,,,
<b>Provocation</b>,Basic,Minion,CS2_mirror,Image miroir,Taunt,Mage,,Neutral,Common,2,0,,0,,,,,,
<b>Cri de guerre :</b> inflige 1 point de dégâts à TOUS les autres personnages.,Basic,Minion,CS2_064,Infernal de l’effroi,Battlecry,Warlock,True,Neutral,Common,6,6,Zoltan & Gabor,6,Débloquée au niveau 23.,« FEU D’ENFER ! » - Jaraxxus seigneur Érédar de la Légion ardente,Débloquée au niveau 10.,Demon,,
Provocation.,Basic,Enchantment,CS2_041e,Infusion ancestrale,Taunt,Shaman,,,,,,,,,,,,,
<b>Cri de guerre :</b> vous piochez une carte.,Basic,Minion,EX1_015,Ingénieur novice,Battlecry,,True,Alliance,Free,1,2,Karl Richardson,1,Débloquée au niveau 59 du druide.,« Seulement la moitié des étudiants obtiendra son diplôme... les autres auront été transformés en poulet avant la fin de l’année. » - Maître-bricoleur Suprétincelle professeur du cours de bidules pour débutant.,,,,
Vous gagnez 2 cristaux de mana pour ce tour uniquement.,Basic,Spell,EX1_169,Innervation,,Druid,True,Neutral,Free,,0,Doug Alexander,,Débloquée au niveau 36.,Certains druides font encore des cauchemars à propos d’inconnus leur criant « Innervation sur moi ! ».,Débloquée au niveau 1.,,,
Vous piochez 2 cartes.,Basic,Spell,CS2_023,Intelligence des Arcanes,,Mage,True,Neutral,Free,,3,Dave Berggren,,Débloquée au niveau 15.,Jouer cette carte vous rend plus INTELLIGENT. Et soyons honnêtes ça ne fait de mal à personne.,Débloquée au niveau 1.,,,
<b>Cri de guerre :</b> vous piochez une carte.,Basic,Minion,CS2_147,Inventrice gnome,Battlecry,,True,Alliance,Common,4,4,Court Jones,2,Débloquée au niveau 57 du prêtre.,Quelles que soient ses inventions elles sont toujours GÉNIALES !,,,,
,Basic,Hero,HERO_08,Jaina Portvaillant,,Mage,True,Neutral,Free,30,,,,,,,,,
,Basic,Weapon,CS2_091,Justice de la Lumière,,Paladin,True,Neutral,Free,,1,Glenn Rane,1,Débloquée au niveau 36.,Le prince Malchezaar était un grand collectionneur d’armes rares. Il les animait et les faisait danser pour son plaisir.,Débloquée au niveau 1.,,,4
Inflige $1 |4(pointpoints) de dégâts. Vous piochez une carte.,Basic,Spell,EX1_278,Kriss,,Rogue,True,Neutral,Common,,2,Alex Garner,,Débloquée au niveau 45.,Le juron préféré des voleurs ? « Kriss de tabarnak ! »,Débloquée au niveau 6.,,,
,Basic,Enchantment,GAME_005e,La pièce,,,,,,,,,,,,,,,
Confère 1 cristal de mana pendant ce tour uniquement.,Basic,Spell,GAME_005,La pièce,,,,,,,,,,,,,,,
,Basic,Weapon,CS2_080,Lame d’assassin,,Rogue,True,Neutral,Common,,5,Brian Huang,3,Débloquée au niveau 32.,A réellement appartenu à un assassin. Certificat d’authenticité fourni.,Débloquée au niveau 2.,,,4
,Basic,Weapon,CS2_082,Lame pernicieuse,,Rogue,,Neutral,Free,,1,,1,,,,,,2
<b>Cri de guerre :</b> inflige 3 points de dégâts au héros adverse.,Basic,Minion,EX1_593,Lamenuit,Battlecry,,True,Neutral,Free,4,5,Raymond Swanland,4,Débloquée au niveau 53 du druide.,Les voleurs mettent leurs lames où ils veulent... et c’est souvent dans la gueule.,,,,
